	TCGA.E9.A1RB.11A.33R.A157.07	TCGA.EK.A2GZ.01A.11R.A180.07	GTEX.1192X.1826.SM.5GIE2	GTEX.1399S.1526.SM.5P9JC	TCGA.KL.8346.01A.11R.2315.07	TCGA.KM.8443.01A.11R.2315.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.05.5420.01A.01R.1628.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.05.5423.01A.01R.1628.07	TCGA.44.3918.01A.01R.1107.07	TCGA.44.3918.01A.01R.A278.07	TCGA.44.2656.01A.02R.A278.07	TCGA.50.5066.01A.01R.1628.07	TCGA.50.5068.01A.01R.1628.07	TCGA.44.2661.01A.01R.1107.07	TCGA.73.4676.11A.01R.1755.07	GTEX.13OVJ.0726.SM.5KM1W	GTEX.POYW.1226.SM.2XCEP	GTEX.ZYY3.0926.SM.5E454	GTEX.13O3P.1026.SM.5N9E7	GTEX.1477Z.0626.SM.5NQB7	GTEX.X261.1026.SM.3NMDL	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.NPJ8.0326.SM.2D7VV	GTEX.X4EP.0526.SM.3P5YW	GTEX.13FHO.1026.SM.5KM1Q	TCGA.34.5234.01A.01R.1635.07	GTEX.13OVJ.0626.SM.5J2O2	TCGA.FL.A1YG.11A.12R.A16F.07
SLC25A16	476.71	77.79	295.11	220.32	154.42	141.02	234.57	450.94	0.0	0.35	376.41	229.72	493.56	633.73	460.44	647.07	532.74	256.78	228.13	389.72	181.28	172.65	177.53	176.29	187.71	208.38	241.19	139.07	473.41	191.67	185.11
SLC38A6	211.31	384.34	199.85	127.89	73.03	139.07	78.34	1044.52	0.0	0.09	780.44	486.75	728.11	575.03	808.0	785.88	915.51	511.0	486.75	674.59	190.34	260.38	281.09	177.53	426.57	146.03	249.73	255.0	796.86	176.29	87.65
TEFM	229.72	255.0	171.45	108.9	76.71	137.14	106.63	486.75	0.0	0.0	571.05	343.89	555.41	177.53	674.59	532.74	470.14	204.07	228.13	395.18	96.01	159.9	231.32	229.72	195.72	195.72	206.94	177.53	688.78	161.02	177.53
TFEC	66.65	12.18	18.16	18.56	0.85	1.33	4.94	872.1	0.0	0.53	191.67	480.04	1233.75	620.67	497.0	420.68	429.54	356.05	82.29	256.78	104.42	59.13	175.07	31.45	265.87	34.26	122.64	102.97	248.0	32.36	3.08
TIFA	466.88	190.34	115.97	98.04	88.26	71.0	42.11	842.36	0.0	0.01	454.09	616.37	708.18	620.67	753.83	780.44	579.04	323.03	157.68	120.1	591.22	155.5	107.38	105.15	409.15	96.01	221.86	329.84	595.34	275.28	115.16
TLR10	26.67	4.17	2.58	0.54	0.4	0.42	0.66	145.02	0.0	0.32	92.7	77.25	133.36	67.59	98.73	260.38	154.42	9.63	6.11	42.71	4.31	37.59	28.65	2.51	11.91	17.25	7.94	26.1	81.71	2.63	1.71
TMEM156	84.63	18.84	3.26	1.97	1.62	1.69	21.78	281.09	0.0	0.37	159.9	186.4	224.97	624.99	279.14	395.18	277.2	59.97	26.1	29.48	24.63	30.12	82.87	12.36	94.01	11.47	14.67	55.1	195.72	24.28	5.36
TMEM165	1151.06	24321.43	1583.71	1268.46	1388.16	1950.0	112.77	4298.64	0.0	0.88	4937.99	5831.91	7331.05	4704.07	4210.15	7589.61	3614.55	2163.77	2664.15	1388.16	4038.61	2335.28	1073.91	1175.27	1023.0	785.88	1277.29	1870.53	5831.91	1594.73	1066.48
TMEM62	447.82	204.07	420.68	205.5	299.25	297.17	244.57	1651.0	0.0	0.72	1191.69	764.36	941.27	878.17	551.56	1639.59	633.73	435.55	293.07	480.04	118.43	157.68	341.51	320.8	547.75	264.03	368.65	483.38	808.0	320.8	209.84
TNFRSF9	8.32	14.67	1.27	0.78	0.0	0.0	0.4	100.13	36.53	157.68	71.5	153.34	318.57	108.14	84.63	60.39	74.58	11.82	6.73	12.64	15.45	5.68	3.72	8.45	16.39	2.76	7.0	2.92	63.0	2.43	0.0
TRAT1	48.52	15.91	4.35	0.89	0.0	0.0	4.43	150.17	0.0	0.12	53.95	100.13	156.59	185.11	125.24	100.83	141.02	22.26	25.91	23.93	37.32	29.06	128.79	22.26	34.51	4.98	72.52	32.13	67.59	1.91	1.55
TRMT10A	143.01	88.26	45.21	44.89	40.07	93.35	65.26	144.01	0.0	0.0	180.02	232.94	417.77	329.84	147.06	176.29	99.43	82.87	68.07	114.36	31.67	71.5	55.1	101.54	155.5	48.18	83.45	45.21	157.68	54.72	38.12
UBD	231.32	60.82	106.63	32.13	7.88	1.36	199.85	26800.01	0.0	0.0	656.11	2855.44	2555.58	2468.49	2485.67	5672.41	2875.3	353.59	40.93	175.07	98.73	195.72	163.28	255.0	759.08	31.67	698.41	223.41	2875.3	38.4	21.01
UBE2W	414.87	287.01	187.71	198.47	175.07	209.84	107.38	902.89	540.19	460.44	1407.55	1119.56	2163.77	1540.37	1008.9	1216.75	819.3	343.89	260.38	473.41	551.56	255.0	258.57	297.17	620.67	153.34	269.6	301.33	825.0	180.02	223.41
VMP1	2209.26	1769.57	1359.57	796.86	336.79	536.45	718.08	8538.88	2835.7	8022.41	5076.84	12943.04	20451.65	10440.2	6607.01	15715.58	7695.57	2178.83	4268.94	2835.7	5791.62	3146.52	1662.49	1340.84	1639.59	2255.7	2537.92	2287.2	5219.6	4358.66	1175.27
VSIG1	6.16	11.91	5.87	3.26	0.41	2.12	0.0	9.2	2.94	94.67	126.12	698.41	616.37	336.79	162.14	928.3	293.07	28.45	67.59	255.0	12.0	4.86	40.64	28.65	9.7	32.59	9.85	32.36	51.35	0.27	0.4
WDR53	229.72	1250.98	99.43	228.13	133.36	173.85	66.65	248.0	0.0	0.39	325.29	392.44	540.19	234.57	493.56	361.04	307.69	172.65	212.78	258.57	108.14	102.25	229.72	157.68	256.78	373.81	320.8	191.67	638.15	177.53	186.4
ZCCHC9	511.0	728.11	547.75	366.09	143.01	351.14	146.03	1066.48	0.0	0.13	1008.9	1191.69	1277.29	921.88	1191.69	974.5	775.05	392.44	607.87	679.29	242.88	429.54	595.34	514.56	575.03	470.14	647.07	409.15	890.44	353.59	532.74
ZHX1-C8ORF76	16.75	21.94	29.48	32.59	28.65	20.26	10.39	248.0	0.0	0.27	65.72	107.38	172.65	82.87	116.78	149.12	63.45	44.89	27.25	23.59	38.12	31.67	41.52	28.86	28.65	20.56	30.78	37.59	108.9	33.54	18.03
ZNF101	231.32	143.01	127.0	97.36	102.97	144.01	31.45	490.14	0.0	0.37	273.37	356.05	551.56	403.5	381.68	500.46	450.94	159.9	163.28	417.77	87.65	127.0	229.72	293.07	189.02	258.57	155.5	166.73	463.65	140.04	106.63
