	TCGA.KM.8639.01A.11R.2403.07	GTEX.13OVI.1126.SM.5KLZF	TCGA.CJ.5686.01A.11R.1672.07	TCGA.B0.5707.01A.11R.1541.07	TCGA.A3.3363.01A.01R.0864.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.CW.5591.01A.01R.1541.07	TCGA.CJ.5680.11A.01R.1541.07	TCGA.CJ.5679.11A.01R.1541.07	TCGA.B0.5694.11A.01R.1541.07	TCGA.B8.5552.11A.01R.1672.07	TCGA.CW.5584.11A.01R.1541.07	TCGA.CZ.5987.11A.01R.1672.07	TCGA.GL.7773.01A.11R.A32Z.07	TCGA.2Z.A9J8.01A.11R.A42S.07	TCGA.PJ.A5Z9.01A.11R.A28H.07	TCGA.4A.A93W.01A.11R.A37K.07	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.IZ.8196.01A.11R.2404.07	TCGA.Y8.A897.01A.11R.A36F.07	TCGA.SX.A7SQ.01A.12R.A36F.07	TCGA.BQ.5879.01A.11R.1592.07	TCGA.5P.A9K3.01A.11R.A42S.07	TCGA.BQ.7045.01A.31R.1965.07	TCGA.DZ.6135.01A.11R.1965.07	TCGA.UZ.A9PP.01A.11R.A42S.07	TCGA.UZ.A9PJ.01A.11R.A38C.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.BQ.7044.01A.11R.1965.07	TCGA.UZ.A9PM.01A.21R.A38C.07	TCGA.5P.A9KA.01A.11R.A42S.07	TCGA.MH.A855.01A.11R.A355.07	TCGA.2Z.A9JL.01A.11R.A42S.07	TCGA.J7.6720.01A.11R.2139.07	TCGA.HE.A5NH.01A.11R.A26U.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.DZ.6132.01A.11R.1965.07	TCGA.4A.A93X.01A.11R.A37K.07	TCGA.UZ.A9PN.01A.11R.A38C.07	TCGA.A4.7915.01A.11R.2204.07	TCGA.P4.A5E7.01A.31R.A28H.07	TCGA.A4.7996.01A.11R.2204.07	TCGA.A4.7997.01A.11R.2204.07	TCGA.V9.A7HT.01A.11R.A33Z.07	TCGA.B1.7332.01A.11R.A32Z.07	TCGA.A4.7734.01A.11R.A32Z.07	TCGA.G7.6792.01A.21R.1965.07	TCGA.BQ.5878.01A.11R.1592.07	TCGA.MH.A561.01A.11R.A26U.07	TCGA.GL.A9DC.01A.11R.A37K.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.BQ.5883.01A.11R.1592.07	TCGA.F9.A97G.01A.11R.A38C.07	TCGA.GL.A9DD.01A.11R.A37K.07	TCGA.EV.5901.01A.11R.1592.07	TCGA.BQ.7053.01A.11R.1965.07	TCGA.5P.A9K4.01A.11R.A42S.07	TCGA.SX.A71S.01A.11R.A33Z.07	TCGA.G7.A8LE.01A.11R.A36F.07	TCGA.2Z.A9J3.01A.12R.A38C.07	TCGA.A4.8312.01A.11R.2404.07	TCGA.B9.4116.01A.02R.1351.07	TCGA.SX.A7SP.01A.11R.A355.07	TCGA.IA.A83S.01A.11R.A355.07	TCGA.DW.7838.01A.11R.2139.07	TCGA.O9.A75Z.01A.11R.A33Z.07	TCGA.2Z.A9JN.01A.21R.A42S.07	TCGA.GL.A59T.01A.21R.A28H.07	TCGA.BQ.7049.01A.11R.1965.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.BQ.5888.11A.01R.1592.07	TCGA.GL.7966.11A.01R.2204.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.O8.A75V.01A.11R.A32O.07	GTEX.YB5E.0326.SM.5IFHU
FBXL4	423.61	318.57	265.87	124.37	256.78	156.59	291.04	289.02	287.01	273.37	339.14	244.57	312.0	183.82	73.03	90.14	172.65	92.05	320.8	195.72	122.64	348.71	183.82	97.36	283.05	144.01	217.27	85.82	105.15	95.34	194.36	255.0	145.02	151.22	201.25	110.43	164.42	217.27	140.04	220.32	204.07	169.07	202.66	109.66	108.9	236.21	201.25	381.68	204.07	162.14	176.29	314.17	195.72	193.01	287.01	312.0	111.99	232.94	215.77	118.43	166.73	191.67	120.1	154.42	153.34	161.02	228.13	90.14	177.53	101.54	177.53	260.38	104.42	84.04	72.52	98.04	116.78	123.5	134.3
FNBP1L	1066.48	780.44	825.0	708.18	808.0	507.46	1457.23	1242.34	1151.06	1119.56	1208.34	981.29	1030.12	830.75	825.0	607.87	638.15	376.41	1322.37	947.83	1015.93	1208.34	195.72	791.35	1259.69	954.43	1037.29	547.75	417.77	435.55	928.3	703.28	866.07	1037.29	934.76	525.39	575.03	454.09	684.02	703.28	896.64	1001.93	1104.13	497.0	656.11	981.29	1286.18	988.12	842.36	921.88	728.11	759.08	620.67	651.58	961.07	842.36	684.02	947.83	947.83	669.92	775.05	860.08	624.99	607.87	665.29	842.36	591.22	651.58	759.08	466.88	909.17	1111.82	157.68	103.69	107.38	128.79	125.24	159.9	120.1
FOXO3	373.81	1350.18	642.59	400.71	260.38	406.31	651.58	612.11	514.56	514.56	457.25	450.94	764.36	555.41	214.27	291.04	395.18	309.83	529.06	400.71	423.61	878.17	232.94	460.44	638.15	441.64	583.07	279.14	336.79	275.28	412.0	483.38	368.65	511.0	518.15	283.05	629.35	490.14	521.76	480.04	379.04	543.96	420.68	314.17	476.71	703.28	660.68	567.1	384.34	417.77	339.14	291.04	536.45	351.14	723.08	551.56	366.09	454.09	571.05	346.29	273.37	543.96	353.59	260.38	423.61	651.58	249.73	264.03	624.99	271.48	400.71	579.04	253.23	132.44	85.22	180.02	414.87	138.1	221.86
FZD6	366.09	915.51	444.72	224.97	341.51	256.78	571.05	503.95	536.45	497.0	1051.79	547.75	703.28	536.45	255.0	185.11	232.94	191.67	579.04	368.65	285.03	703.28	119.26	162.14	403.5	309.83	387.02	141.02	336.79	140.04	348.71	224.97	277.2	264.03	373.81	127.89	392.44	120.94	363.56	620.67	256.78	486.75	406.31	438.59	167.9	476.71	497.0	253.23	320.8	603.67	140.04	438.59	297.17	236.21	379.04	387.02	208.38	389.72	376.41	277.2	361.04	384.34	201.25	205.5	228.13	234.57	403.5	170.25	420.68	125.24	536.45	872.1	279.14	180.02	31.9	85.82	244.57	25.91	122.64
G2E3	55.1	343.89	99.43	65.26	88.88	69.03	152.28	151.22	144.01	155.5	438.59	117.6	193.01	97.36	78.89	25.91	64.8	55.1	120.1	73.54	75.11	181.28	43.94	39.22	105.15	47.84	72.52	25.35	65.72	27.44	76.17	55.1	72.01	47.84	75.64	25.91	75.11	51.35	55.49	119.26	74.58	109.66	73.54	91.41	34.51	127.0	75.11	131.51	41.81	74.58	65.72	116.78	91.41	62.56	104.42	67.59	53.95	116.78	87.65	49.91	77.79	90.14	46.18	38.4	44.25	76.71	96.01	33.78	102.25	16.63	54.72	134.3	74.06	37.85	28.45	36.27	35.0	26.47	127.89
GAPVD1	223.41	603.67	438.59	169.07	234.57	260.38	348.71	358.54	320.8	373.81	417.77	285.03	361.04	237.86	202.66	103.69	152.28	161.02	466.88	185.11	181.28	224.97	120.1	157.68	332.14	185.11	244.57	117.6	163.28	99.43	232.94	173.85	239.52	164.42	242.88	100.13	291.04	105.89	293.07	246.28	218.79	376.41	334.46	217.27	172.65	353.59	260.38	269.6	134.3	221.86	175.07	303.44	208.38	201.25	379.04	241.19	122.64	303.44	303.44	129.69	151.22	323.03	161.02	115.16	157.68	211.31	195.72	115.97	244.57	76.71	202.66	277.2	108.9	70.01	46.84	48.52	80.01	64.8	89.51
GCC2	301.33	854.13	633.73	366.09	429.54	624.99	728.11	713.11	698.41	599.49	1295.13	529.06	808.0	473.41	283.05	316.37	273.37	167.9	759.08	373.81	497.0	638.15	224.97	299.25	688.78	397.93	507.46	106.63	334.46	85.22	536.45	223.41	579.04	320.8	403.5	57.49	473.41	177.53	543.96	497.0	447.82	547.75	753.83	669.92	318.57	633.73	785.88	536.45	277.2	518.15	371.22	536.45	299.25	327.56	688.78	346.29	320.8	638.15	679.29	217.27	387.02	693.58	316.37	175.07	199.85	612.11	514.56	253.23	693.58	279.14	460.44	723.08	125.24	74.06	75.11	77.25	81.71	63.45	52.45
GDAP2	127.0	88.26	122.64	132.44	236.21	110.43	199.85	249.73	223.41	177.53	348.71	173.85	273.37	234.57	176.29	116.78	151.22	131.51	199.85	149.12	114.36	307.69	58.3	169.07	187.71	175.07	193.01	129.69	98.73	143.01	149.12	185.11	114.36	201.25	177.53	102.25	231.32	61.68	141.02	208.38	159.9	175.07	248.0	114.36	76.71	173.85	163.28	178.77	209.84	112.77	153.34	244.57	139.07	134.3	171.45	166.73	111.21	182.55	155.5	124.37	202.66	156.59	133.36	122.64	115.97	170.25	173.85	137.14	175.07	149.12	139.07	180.02	130.6	88.26	108.14	85.82	89.51	75.64	111.21
GLIS3	87.03	521.76	507.46	327.56	215.77	376.41	1088.92	748.61	723.08	616.37	775.05	764.36	902.89	447.82	332.14	161.02	232.94	194.36	567.1	264.03	358.54	660.68	141.02	429.54	764.36	246.28	503.95	141.02	400.71	218.79	351.14	229.72	336.79	287.01	301.33	121.79	493.56	218.79	503.95	373.81	260.38	454.09	665.29	384.34	281.09	620.67	450.94	854.13	189.02	301.33	253.23	575.03	53.57	277.2	753.83	376.41	426.57	521.76	454.09	269.6	155.5	165.57	226.54	162.14	295.11	493.56	195.72	180.02	587.13	138.1	463.65	872.1	36.79	28.65	12.55	17.38	44.89	19.39	11.13
GMEB1	128.79	133.36	131.51	77.25	104.42	137.14	115.97	167.9	175.07	159.9	156.59	120.94	189.02	148.09	64.34	51.71	76.17	88.88	130.6	77.79	89.51	127.0	54.72	77.79	136.19	85.82	105.15	39.5	42.71	82.29	132.44	101.54	108.14	66.18	83.45	49.56	136.19	75.64	97.36	119.26	111.21	100.83	100.13	78.89	50.98	144.01	159.9	145.02	101.54	74.06	70.01	132.44	117.6	70.51	154.42	111.21	69.03	151.22	133.36	63.0	99.43	121.79	72.52	75.64	78.34	111.99	116.78	62.56	157.68	39.79	100.13	171.45	94.01	73.54	46.5	58.71	100.13	78.34	83.45
GNA13	571.05	866.07	860.08	417.77	559.28	684.02	748.61	785.88	723.08	651.58	1508.65	591.22	974.5	507.46	348.71	226.54	379.04	607.87	764.36	363.56	438.59	1331.57	591.22	733.19	507.46	540.19	748.61	277.2	417.77	381.68	429.54	392.44	287.01	536.45	563.18	273.37	718.08	346.29	417.77	718.08	665.29	660.68	688.78	490.14	403.5	947.83	651.58	728.11	559.28	551.56	638.15	540.19	500.46	642.59	769.69	450.94	384.34	728.11	693.58	327.56	260.38	518.15	409.15	353.59	1081.39	703.28	392.44	327.56	555.41	381.68	305.55	575.03	329.84	135.24	162.14	187.71	325.29	147.06	587.13
GNAI3	674.59	995.0	1008.9	753.83	1023.0	559.28	1286.18	1268.46	1104.13	1023.0	1733.13	1111.82	1407.55	934.76	728.11	660.68	764.36	679.29	915.51	872.1	775.05	1794.29	420.68	890.44	896.64	738.29	866.07	363.56	400.71	674.59	802.41	753.83	642.59	1096.5	909.17	500.46	954.43	435.55	854.13	1397.83	890.44	1037.29	802.41	620.67	743.43	1001.93	890.44	896.64	902.89	921.88	988.12	909.17	775.05	688.78	854.13	743.43	642.59	909.17	830.75	629.35	791.35	802.41	624.99	679.29	902.89	819.3	842.36	728.11	872.1	497.0	890.44	1191.69	521.76	395.18	334.46	563.18	486.75	376.41	1088.92
HDAC2	1250.98	1806.78	1378.57	1104.13	1286.18	1111.82	1857.6	1757.34	1519.15	1477.58	3212.66	1583.71	1832.01	1487.87	647.07	1183.45	1225.22	748.61	1388.16	1051.79	974.5	2335.28	934.76	909.17	1151.06	988.12	1378.57	669.92	1313.23	902.89	1119.56	1397.83	1073.91	1250.98	1159.07	603.67	1143.1	1225.22	1233.75	1561.89	1304.15	1096.5	1119.56	988.12	1066.48	1407.55	1183.45	1674.06	1359.57	1378.57	1369.04	1216.75	791.35	1059.11	1268.46	1119.56	1008.9	1322.37	1359.57	878.17	1119.56	1540.37	1023.0	1111.82	1051.79	1135.2	1242.34	954.43	981.29	1191.69	1111.82	1923.14	555.41	551.56	264.03	748.61	543.96	493.56	1119.56
IGSF3	1030.12	438.59	256.78	264.03	289.02	155.5	775.05	579.04	543.96	435.55	540.19	532.74	476.71	234.57	220.32	423.61	267.73	149.12	764.36	500.46	376.41	1175.27	90.77	483.38	497.0	208.38	483.38	112.77	130.6	334.46	381.68	447.82	305.55	435.55	480.04	136.19	420.68	65.72	312.0	679.29	551.56	547.75	543.96	303.44	287.01	693.58	476.71	444.72	368.65	395.18	260.38	470.14	269.6	460.44	848.22	536.45	186.4	591.22	457.25	255.0	624.99	232.94	361.04	265.87	476.71	400.71	551.56	283.05	392.44	93.35	878.17	679.29	69.52	25.35	14.67	32.13	34.51	52.45	16.27
INPP5A	316.37	500.46	343.89	258.57	269.6	236.21	447.82	358.54	435.55	414.87	389.72	435.55	447.82	236.21	134.3	275.28	273.37	145.02	343.89	297.17	231.32	368.65	182.55	234.57	323.03	256.78	262.2	183.82	212.78	226.54	273.37	293.07	295.11	307.69	239.52	208.38	239.52	165.57	339.14	334.46	293.07	289.02	170.25	149.12	323.03	432.53	255.0	277.2	301.33	260.38	269.6	273.37	138.1	180.02	412.0	295.11	180.02	371.22	403.5	165.57	346.29	295.11	256.78	232.94	258.57	293.07	305.55	166.73	309.83	150.17	441.64	444.72	234.57	212.78	115.97	228.13	199.85	211.31	323.03
INPP5F	197.09	325.29	190.34	114.36	125.24	212.78	269.6	273.37	212.78	248.0	423.61	249.73	248.0	120.1	49.21	84.63	180.02	119.26	239.52	92.05	118.43	169.07	79.45	84.04	148.09	125.24	162.14	150.17	134.3	103.69	134.3	120.94	123.5	109.66	169.07	50.27	100.83	77.25	189.02	159.9	138.1	127.0	142.01	96.01	95.34	187.71	195.72	105.15	92.05	112.77	96.01	190.34	47.5	96.01	191.67	134.3	98.73	189.02	185.11	98.73	136.19	229.72	87.03	77.79	90.14	153.34	165.57	59.55	109.66	70.51	228.13	287.01	48.18	55.49	25.54	35.25	26.28	37.05	38.95
ITGA2	480.04	620.67	201.25	162.14	127.89	68.07	547.75	318.57	429.54	466.88	1378.57	723.08	624.99	63.89	74.06	45.85	95.34	63.45	303.44	78.34	234.57	389.72	100.83	164.42	191.67	108.9	132.44	46.84	88.88	53.95	92.7	93.35	102.25	104.42	185.11	24.99	181.28	77.79	221.86	1135.2	182.55	128.79	231.32	82.29	94.67	400.71	307.69	158.79	50.63	115.97	60.82	785.88	74.06	79.45	297.17	150.17	52.82	221.86	171.45	105.89	961.07	318.57	43.94	53.19	99.43	208.38	429.54	33.54	287.01	14.67	559.28	507.46	22.92	14.45	1.68	9.13	11.13	19.39	16.51
JAK1	915.51	2935.74	2915.45	1605.83	1572.76	1191.69	2895.31	2417.67	2075.59	2287.2	3280.18	2520.38	2835.7	2720.15	1977.24	1709.26	1407.55	1313.23	2875.3	2351.53	2271.4	4671.57	571.05	2240.11	3081.75	1745.2	2351.53	1127.35	896.64	1467.37	2133.97	2018.8	1617.0	2061.24	1991.0	1447.15	2468.49	947.83	1991.0	2682.69	2645.74	2935.74	2609.3	1857.6	1467.37	2367.9	2573.36	3515.68	1605.83	2075.59	1388.16	3372.43	2303.12	1857.6	2875.3	2178.83	1417.35	2148.82	2271.4	1059.11	1313.23	2224.63	1233.75	1651.0	2384.37	1806.78	2468.49	1350.18	2835.7	1191.69	1508.65	2335.28	791.35	470.14	289.02	718.08	733.19	567.1	1111.82
KAT6A	154.42	633.73	271.48	125.24	119.26	180.02	361.04	283.05	289.02	314.17	579.04	256.78	444.72	220.32	121.79	73.54	117.6	105.15	376.41	116.78	126.12	323.03	61.68	119.26	279.14	138.1	180.02	78.89	108.9	59.97	175.07	105.89	163.28	145.02	175.07	75.11	241.19	91.41	164.42	202.66	136.19	218.79	232.94	204.07	94.01	351.14	228.13	262.2	103.69	152.28	94.67	303.44	143.01	128.79	366.09	171.45	100.83	258.57	224.97	51.35	120.1	249.73	98.73	72.52	137.14	209.84	170.25	61.68	269.6	45.53	180.02	251.48	73.54	79.45	29.48	35.76	102.97	34.51	68.55
KAT6B	162.14	339.14	172.65	86.43	59.13	159.9	176.29	186.4	181.28	228.13	262.2	144.01	198.47	111.21	42.11	42.41	92.05	80.01	183.82	94.01	110.43	128.79	55.1	76.17	185.11	90.77	121.79	64.8	116.78	47.5	127.89	86.43	118.43	97.36	90.77	49.91	143.01	90.77	117.6	113.56	102.97	115.16	141.02	98.73	87.65	148.09	120.94	256.78	61.25	115.16	101.54	260.38	78.89	70.51	198.47	171.45	76.71	141.02	150.17	82.87	149.12	150.17	67.12	51.71	59.13	95.34	123.5	50.63	158.79	15.34	137.14	189.02	46.84	29.06	25.17	34.02	40.64	29.91	27.64
KAT7	426.57	684.02	525.39	387.02	420.68	483.38	567.1	599.49	738.29	647.07	579.04	579.04	642.59	514.56	346.29	332.14	447.82	373.81	493.56	339.14	371.22	395.18	323.03	483.38	384.34	486.75	571.05	353.59	334.46	366.09	341.51	414.87	287.01	454.09	507.46	297.17	514.56	444.72	414.87	532.74	389.72	511.0	366.09	307.69	371.22	616.37	450.94	540.19	454.09	429.54	486.75	591.22	373.81	361.04	629.35	665.29	303.44	575.03	616.37	346.29	507.46	423.61	339.14	251.48	379.04	470.14	470.14	368.65	486.75	262.2	543.96	595.34	214.27	144.01	223.41	170.25	177.53	260.38	154.42
KCTD9	381.68	1001.93	854.13	237.86	414.87	599.49	366.09	426.57	497.0	490.14	791.35	316.37	476.71	361.04	373.81	180.02	231.32	215.77	665.29	318.57	316.37	441.64	92.7	387.02	454.09	336.79	409.15	214.27	314.17	193.01	438.59	295.11	336.79	332.14	400.71	287.01	346.29	165.57	395.18	563.18	543.96	392.44	587.13	351.14	234.57	409.15	587.13	327.56	265.87	361.04	255.0	521.76	395.18	291.04	432.53	406.31	212.78	454.09	463.65	107.38	409.15	237.86	341.51	283.05	540.19	371.22	363.56	193.01	417.77	128.79	500.46	351.14	115.97	99.43	50.63	54.33	76.71	58.71	575.03
KDM3B	454.09	1199.98	1119.56	723.08	575.03	791.35	825.0	842.36	738.29	802.41	738.29	738.29	825.0	329.84	490.14	381.68	518.15	543.96	884.29	486.75	748.61	366.09	358.54	567.1	915.51	579.04	743.43	281.09	713.11	454.09	679.29	583.07	688.78	595.34	616.37	507.46	764.36	802.41	591.22	567.1	559.28	660.68	1119.56	543.96	595.34	775.05	802.41	872.1	500.46	679.29	525.39	703.28	842.36	463.65	902.89	599.49	480.04	842.36	808.0	444.72	525.39	884.29	460.44	361.04	647.07	642.59	629.35	312.0	723.08	376.41	587.13	819.3	316.37	177.53	113.56	194.36	186.4	255.0	223.41
KDM5A	176.29	708.18	275.28	126.12	131.51	201.25	409.15	361.04	312.0	351.14	447.82	356.05	450.94	176.29	141.02	130.6	97.36	159.9	289.02	146.03	158.79	392.44	88.26	177.53	265.87	166.73	163.28	61.25	142.01	87.65	224.97	121.79	220.32	120.1	169.07	66.18	371.22	130.6	169.07	221.86	164.42	248.0	376.41	291.04	132.44	297.17	189.02	256.78	98.73	234.57	132.44	301.33	165.57	178.77	327.56	146.03	100.83	232.94	189.02	96.68	132.44	175.07	103.69	125.24	118.43	150.17	223.41	113.56	253.23	50.63	180.02	356.05	144.01	96.68	105.15	108.14	127.0	109.66	132.44
KIAA0319L	934.76	1397.83	1044.52	902.89	713.11	543.96	1066.48	988.12	954.43	941.27	1088.92	947.83	961.07	733.19	397.93	629.35	688.78	733.19	1199.98	813.63	753.83	1697.45	361.04	785.88	1051.79	884.29	954.43	435.55	343.89	723.08	915.51	796.86	1081.39	728.11	1159.07	642.59	1015.93	629.35	1104.13	1977.24	941.27	1159.07	1127.35	902.89	698.41	1059.11	872.1	884.29	764.36	1088.92	872.1	1151.06	802.41	775.05	1096.5	988.12	890.44	1001.93	1030.12	638.15	693.58	1023.0	836.53	684.02	733.19	872.1	1143.1	819.3	878.17	320.8	909.17	1191.69	536.45	486.75	529.06	348.71	503.95	679.29	723.08
KIAA0355	126.12	480.04	371.22	108.14	178.77	161.02	329.84	358.54	281.09	353.59	583.07	244.57	500.46	163.28	96.01	76.71	133.36	104.42	293.07	142.01	172.65	241.19	85.22	130.6	187.71	170.25	221.86	71.0	147.06	90.77	158.79	135.24	182.55	143.01	157.68	62.12	191.67	84.04	182.55	212.78	144.01	185.11	187.71	115.97	113.56	253.23	166.73	251.48	134.3	190.34	98.73	215.77	111.21	128.79	253.23	195.72	92.05	307.69	277.2	98.73	126.12	241.19	113.56	69.03	106.63	198.47	137.14	78.89	186.4	63.0	223.41	358.54	115.97	61.68	70.51	72.52	123.5	63.45	86.43
KIAA0754	15.68	223.41	86.43	66.65	12.09	50.63	563.18	332.14	214.27	199.85	483.38	353.59	267.73	58.71	37.59	4.24	7.4	18.29	191.67	35.5	59.55	339.14	3.47	59.13	170.25	33.06	47.5	9.85	52.82	10.63	39.22	12.0	53.57	14.35	96.68	9.48	159.9	6.57	82.29	18.84	37.59	134.3	193.01	86.43	15.56	234.57	170.25	154.42	8.92	94.01	71.5	275.28	34.75	28.45	133.36	41.52	19.68	80.57	44.57	22.92	37.05	101.54	17.9	7.11	63.0	49.91	251.48	7.82	145.02	0.37	51.35	197.09	5.92	1.03	0.96	2.07	2.48	3.38	28.24
KIAA1244	136.19	58.71	131.51	46.84	21.78	55.1	52.08	34.02	55.89	36.53	202.66	44.89	83.45	80.01	12.45	23.59	39.5	17.51	93.35	25.72	39.79	239.52	14.89	108.9	47.84	28.45	59.97	1.97	41.22	37.05	36.01	15.56	32.13	45.21	63.45	14.35	57.49	19.25	44.57	136.19	82.87	105.89	68.07	33.3	44.89	123.5	88.26	111.21	32.13	85.82	49.21	220.32	33.06	42.71	91.41	15.11	46.5	66.65	54.33	32.13	57.89	58.3	53.95	21.47	69.52	57.89	134.3	25.35	103.69	26.1	47.84	56.28	18.29	28.65	1.85	4.03	23.08	8.85	7.75
KIAA1328	107.38	136.19	72.52	58.71	80.01	52.45	89.51	103.69	122.64	105.15	115.97	78.89	98.73	34.26	46.84	51.35	74.58	51.71	87.65	62.56	47.84	35.76	24.99	32.36	76.17	74.58	125.24	12.64	22.75	48.87	85.22	58.3	76.71	52.82	82.29	47.5	65.72	24.11	56.28	71.5	74.06	81.14	64.34	64.8	26.28	85.82	75.11	76.17	63.45	58.3	46.18	52.45	22.1	44.89	96.68	62.56	60.82	96.68	150.17	44.25	83.45	44.89	64.34	60.39	57.49	72.01	59.97	44.89	78.89	41.52	74.58	131.51	39.5	22.92	51.71	23.93	35.76	33.54	51.35
KMT2A	113.56	753.83	305.55	121.79	115.97	260.38	358.54	334.46	275.28	348.71	361.04	251.48	361.04	194.36	163.28	92.7	149.12	120.1	500.46	127.89	176.29	642.59	105.15	144.01	339.14	182.55	244.57	59.55	88.26	75.64	221.86	118.43	246.28	140.04	195.72	80.01	295.11	100.13	295.11	351.14	126.12	248.0	265.87	190.34	111.21	420.68	273.37	336.79	94.01	191.67	114.36	283.05	64.8	143.01	420.68	237.86	120.94	368.65	351.14	94.67	136.19	457.25	126.12	63.89	115.16	239.52	182.55	73.03	303.44	65.26	209.84	307.69	74.06	38.95	48.87	34.75	43.32	35.25	34.75
LARGE	149.12	161.02	62.56	86.43	84.04	147.06	305.55	281.09	253.23	269.6	229.72	234.57	237.86	318.57	118.43	43.63	106.63	55.1	198.47	72.01	123.5	551.56	60.39	87.03	301.33	69.52	127.0	31.22	99.43	99.43	176.29	102.97	144.01	88.88	135.24	124.37	153.34	59.97	94.01	320.8	187.71	77.25	167.9	96.01	41.52	181.28	165.57	503.95	59.97	105.15	100.13	181.28	173.85	132.44	231.32	135.24	120.1	118.43	171.45	128.79	132.44	325.29	105.89	141.02	79.45	102.25	187.71	43.94	246.28	167.9	197.09	248.0	111.99	100.13	152.28	133.36	114.36	106.63	158.79
LATS1	182.55	297.17	197.09	102.25	183.82	182.55	256.78	255.0	249.73	246.28	381.68	183.82	281.09	159.9	46.5	62.56	131.51	94.01	253.23	136.19	126.12	234.57	93.35	113.56	239.52	110.43	163.28	73.54	111.99	73.54	147.06	101.54	142.01	126.12	153.34	60.82	189.02	108.14	152.28	159.9	139.07	185.11	190.34	104.42	105.89	229.72	159.9	150.17	105.89	127.89	80.01	231.32	124.37	115.16	269.6	163.28	90.14	212.78	182.55	98.04	133.36	248.0	77.79	82.29	119.26	148.09	138.1	52.82	212.78	46.18	170.25	231.32	65.26	41.81	32.36	45.53	66.18	31.0	38.95
LEPROT	1066.48	4802.93	2976.74	1950.0	3212.66	1044.52	3820.7	2701.35	2796.65	2451.44	3467.27	3303.0	3614.55	1909.85	2255.7	1674.06	1617.0	1844.76	3443.31	1936.53	1909.85	3124.78	620.67	1407.55	2739.08	1721.16	3039.3	1008.9	896.64	1268.46	2075.59	1397.83	2090.03	1991.0	2956.17	1331.57	2573.36	802.41	2701.35	3639.7	1769.57	3168.41	2555.58	1950.0	1498.22	2796.65	2004.85	2032.85	1936.53	2451.44	928.3	2609.3	1857.6	1819.35	2875.3	1936.53	2119.22	1721.16	2209.26	1008.9	1233.75	1378.57	1572.76	1540.37	2400.97	1508.65	1781.89	1936.53	1950.0	1066.48	1819.35	3901.01	603.67	575.03	307.69	532.74	647.07	647.07	1781.89
LRRC8B	92.05	197.09	68.07	67.12	69.52	59.97	165.57	132.44	144.01	141.02	223.41	109.66	165.57	64.34	89.51	38.67	60.82	47.5	147.06	52.82	63.89	110.43	26.67	57.89	163.28	63.89	83.45	28.24	34.02	51.71	82.87	50.27	76.71	72.52	80.01	46.84	85.82	36.79	54.33	93.35	98.04	105.89	114.36	84.63	55.89	107.38	106.63	72.01	44.89	64.34	49.21	156.59	66.18	85.22	110.43	69.03	58.3	82.29	92.05	77.79	58.3	97.36	54.72	49.91	91.41	74.58	108.9	69.52	97.36	20.71	77.79	104.42	36.01	18.84	22.92	35.5	28.24	18.56	34.02
LSM14A	1594.73	2664.15	1651.0	1313.23	1487.87	1417.35	1923.14	1794.29	1883.54	1628.26	2104.58	1757.34	1963.57	2224.63	1617.0	854.13	1561.89	1151.06	1757.34	1617.0	1561.89	1286.18	1628.26	1529.73	1794.29	1662.49	1963.57	1242.34	1417.35	1059.11	1551.09	1605.83	1397.83	1378.57	1378.57	890.44	1639.59	1605.83	1304.15	1923.14	1340.84	1662.49	1662.49	1369.04	1104.13	1909.85	1857.6	2061.24	1286.18	1651.0	1225.22	1331.57	1540.37	1191.69	2351.53	1572.76	1628.26	2047.0	2104.58	1437.15	1191.69	1697.45	1066.48	1167.14	1151.06	1757.34	1709.26	836.53	1594.73	1277.29	1277.29	2061.24	941.27	660.68	579.04	753.83	764.36	660.68	1073.91
MACF1	1304.15	2335.28	2209.26	2018.8	785.88	1322.37	5555.65	4937.99	3614.55	3564.78	5147.73	5147.73	3742.05	1923.14	1407.55	1508.65	1651.0	1340.84	2645.74	1685.71	1674.06	3325.99	743.43	1936.53	2148.82	1561.89	1844.76	1088.92	1073.91	1551.09	2209.26	1487.87	2133.97	1540.37	2335.28	785.88	2384.37	896.64	3257.52	1388.16	1745.2	1991.0	2384.37	2061.24	1183.45	2796.65	2645.74	1794.29	1295.13	2287.2	1857.6	2997.45	1447.15	1477.58	2224.63	1662.49	1745.2	1870.53	2148.82	1794.29	2178.83	3395.89	1313.23	1225.22	1819.35	1561.89	3901.01	1733.13	2537.92	728.11	2485.67	4010.71	988.12	607.87	559.28	429.54	759.08	759.08	603.67
