	TCGA.BH.A0B2.01A.11R.A10J.07	TCGA.BH.A0B2.01A.11R.A10J.07.1	TCGA.E2.A153.11A.31R.A12D.07	TCGA.A7.A0DC.11A.41R.A089.07	TCGA.AC.A2FF.11A.13R.A17B.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.A7.A0DC.11A.41R.A089.07.1	GTEX.WYBS.0926.SM.3NM94	GTEX.Q2AG.0326.SM.48U1O	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.CN.4726.01A.01R.1436.07	TCGA.F7.A50J.01A.21R.A28V.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.IQ.7631.01A.11R.2081.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.CV.5434.01A.01R.1686.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.IQ.A61J.01A.11R.A30B.07	TCGA.CR.7401.01A.11R.2016.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CQ.A4CA.01A.11R.A24Z.07	TCGA.CQ.7071.01A.12R.A30B.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.CV.6955.11A.01R.2016.07	TCGA.CV.7425.11A.01R.2081.07
ZC2HC1C	84.04	84.04	59.55	108.14	78.34	92.05	108.14	89.51	104.42	8.65	325.29	341.51	8.45	42.71	6.52	26.67	7.57	45.21	31.0	28.65	8.85	8.38	121.79	13.72	10.55	15.68	48.52	13.42	10.96	29.06	15.8	10.24	21.78	26.47	21.47	23.93	8.38	26.86	109.66	12.45
ZNF135	51.71	51.71	181.28	157.68	163.28	186.4	157.68	186.4	320.8	14.89	249.73	486.75	3.53	6.26	2.16	5.82	1.45	3.35	2.32	4.5	1.17	4.13	40.36	14.56	5.41	27.44	1.93	2.01	3.56	14.56	9.63	14.35	1.39	6.31	9.85	6.73	5.36	1.46	26.1	2.14
ZNF43	209.84	209.84	226.54	262.2	260.38	251.48	262.2	638.15	332.14	18.43	607.87	1331.57	2.32	3.89	4.62	12.18	3.14	7.22	5.28	12.18	5.54	10.71	37.05	26.28	10.96	29.06	1.25	5.19	3.99	31.0	24.46	35.25	7.28	3.32	22.1	12.74	4.86	2.76	66.65	12.74
ZNF439	115.97	115.97	153.34	142.01	147.06	173.85	142.01	343.89	156.59	525.39	180.02	234.57	9.2	7.28	21.78	10.47	6.11	8.32	27.05	9.13	17.13	4.17	19.39	18.84	12.27	19.68	7.28	5.63	9.27	26.1	18.03	26.86	5.02	5.06	18.97	12.36	8.06	10.96	57.49	10.63
ZNF471	50.63	50.63	136.19	90.14	100.83	130.6	90.14	140.04	148.09	7.22	108.14	101.54	4.28	2.48	1.87	4.94	1.17	1.55	3.44	1.97	1.33	1.13	20.56	11.64	5.87	7.46	0.64	0.77	1.64	11.64	8.0	16.39	1.13	1.69	12.18	2.66	1.95	1.19	17.9	1.35
ZNF540	31.45	31.45	73.03	62.56	106.63	116.78	62.56	143.01	50.63	14.56	105.89	121.79	0.0	10.0	12.83	4.39	0.68	3.17	5.59	11.21	4.35	5.63	43.02	34.51	4.94	17.64	2.07	12.83	5.96	21.94	19.82	29.06	12.55	2.12	13.52	5.32	9.41	7.22	42.71	4.74
ZNF546	48.87	48.87	42.71	80.57	53.57	56.68	80.57	92.7	78.34	8.19	73.54	65.72	1.46	3.5	5.11	5.02	1.46	4.17	2.34	4.94	3.14	2.2	18.97	16.15	1.83	21.94	8.71	2.94	3.59	18.56	9.27	13.62	2.61	6.78	7.75	4.62	1.77	2.73	30.34	5.73
ZNF599	100.83	100.83	118.43	92.7	153.34	136.19	92.7	182.55	172.65	28.24	251.48	358.54	42.41	77.79	27.05	54.33	36.53	50.63	45.53	63.89	15.68	9.7	111.99	82.87	28.04	105.89	42.11	15.11	37.05	64.34	58.3	55.1	28.45	43.02	60.82	40.07	31.0	25.72	94.01	41.81
ZNF792	75.64	75.64	67.59	66.65	92.05	72.01	66.65	46.84	67.12	15.22	153.34	131.51	30.12	11.55	26.86	20.71	14.14	4.17	21.78	4.98	15.11	12.74	29.7	31.9	8.65	36.79	5.36	22.75	10.24	28.65	24.28	42.71	23.93	28.86	20.26	22.92	21.94	12.27	70.01	22.43
ZSCAN18	830.75	830.75	1508.65	1322.37	1216.75	1457.23	1322.37	1721.16	2178.83	65.72	3280.18	6164.49	59.55	40.07	56.28	44.89	17.9	18.29	42.41	376.41	28.24	35.25	320.8	212.78	61.68	249.73	22.43	24.11	41.52	176.29	143.01	217.27	23.76	33.3	327.56	53.57	62.56	25.54	486.75	36.01
