	TCGA.ZF.AA58.01A.12R.A42T.07	GTEX.145ME.1526.SM.5Q5F2	TCGA.VS.A9UH.01A.11R.A42T.07	TCGA.ZU.A8S4.11A.11R.A41I.07	TCGA.W5.AA30.11A.11R.A41I.07	TCGA.IG.A97H.01A.11R.A38D.31	TCGA.BA.A6DD.01A.12R.A31N.07	TCGA.BA.A6DJ.01A.11R.A30B.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.P3.A6T7.01A.11R.A34R.07	TCGA.D6.8569.01A.11R.2403.07	TCGA.MT.A67F.01A.11R.A30B.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.CV.7235.11A.01R.2016.07	TCGA.CJ.4881.01A.01R.1305.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SK.01A.11R.A27V.07	TCGA.BC.A110.01A.11R.A131.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.2Y.A9H9.01A.21R.A39D.07	TCGA.DD.A4NL.01A.11R.A28V.07	TCGA.DD.A11C.01A.11R.A131.07	TCGA.2Y.A9GT.01A.11R.A38B.07	TCGA.ED.A627.01A.12R.A311.07	TCGA.2Y.A9GV.01A.11R.A38B.07	TCGA.DD.AACY.01A.11R.A41C.07	TCGA.DD.A1ED.01A.11R.A155.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.BC.A10Q.11A.11R.A131.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.DD.A3A4.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A1EJ.11A.11R.A155.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A1EE.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A10X.11A.11R.A131.07	TCGA.DD.A39W.11A.11R.A213.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.S32W.1926.SM.4AD63	GTEX.QDVN.0826.SM.48TZ2	GTEX.Y5V5.0926.SM.4VBPZ	GTEX.PX3G.0826.SM.48TZS	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.WQUQ.1926.SM.4OOSA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139TS.1426.SM.5IFJD	GTEX.1269C.0626.SM.5FQSS	GTEX.139YR.0226.SM.5IFEM	GTEX.S33H.1626.SM.4AD68	GTEX.ZZPU.0426.SM.5GZYH	GTEX.12WSG.0626.SM.5FQTQ	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12WSL.0226.SM.5CVMJ	GTEX.12696.0826.SM.5EGGE	GTEX.ZYY3.0626.SM.5NQ6W	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.13NZB.0626.SM.5IFH6	GTEX.132NY.0926.SM.5P9G3	GTEX.13NZ9.1326.SM.5MR3V	GTEX.14753.1626.SM.5NQ9L	GTEX.UPK5.1426.SM.4JBHH	GTEX.13VXU.0926.SM.5IFFH	GTEX.11WQC.0726.SM.5EQMR	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
ECHDC2	866.07	4010.71	967.76	25887.07	12160.22	1583.71	753.83	215.77	178.77	287.01	967.76	988.12	191.67	1417.35	3081.75	8078.22	23656.34	9673.69	18560.17	7230.1	12676.65	13586.57	15392.14	29531.18	7642.41	18689.27	7749.1	10512.82	13123.73	8840.04	10440.2	15180.22	12076.21	11035.54	8963.45	15392.14	10733.74	10808.41	11584.24	16383.0	7280.4	11504.21	14461.21	14361.31	5751.61	4328.55	25005.23	13033.07	7803.01	12244.81	10585.95	9474.59	3564.78	18689.27	15715.58	8718.32	11112.3	11112.3	4869.99	22072.07	10368.08	15180.22	5112.16	14765.09	10296.45	26431.04	18560.17	3103.19	21468.49	18178.19	27938.14	13681.08	0.0	0.84
EHHADH	74.58	490.14	84.63	4607.24	3325.99	112.77	155.5	70.01	120.1	135.24	251.48	95.34	117.6	123.5	638.15	866.07	1832.01	1378.57	3614.55	1685.71	1628.26	3467.27	4607.24	3018.3	1819.35	3901.01	909.17	2915.45	3564.78	4152.18	4010.71	3847.29	4328.55	2739.08	1923.14	2645.74	4388.98	5329.3	3372.43	2816.11	2701.35	5791.62	4419.52	4181.07	356.05	217.27	12676.65	7230.1	4671.57	7911.95	1340.84	10883.59	140.04	6207.38	6250.56	988.12	1923.14	6381.92	283.05	5112.16	708.18	1508.65	403.5	2303.12	6516.03	4066.71	2627.46	2287.2	10585.95	4937.99	10512.82	8538.88	0.0	0.0
ENPP3	0.31	45.21	0.56	37.85	36.79	0.0	4.86	2.34	0.0	1.16	1.85	9.41	4.62	435.55	1044.52	2.78	10.47	32.36	8.25	62.56	5.28	12.09	6.73	4.82	3.69	17.0	1.89	21.47	27.84	65.72	34.75	58.71	47.5	29.91	11.13	61.68	25.91	82.29	14.89	21.94	15.22	66.65	70.51	40.93	0.0	0.0	38.4	141.02	70.01	99.43	2.43	133.36	8.65	25.35	18.29	1.17	3.2	50.63	5.92	48.18	3.79	9.2	20.26	1.83	150.17	19.53	28.65	1.95	57.89	14.03	195.72	50.27	0.0	0.16
EPHX2	66.65	521.76	293.07	5329.3	4704.07	368.65	176.29	135.24	7.22	130.6	218.79	194.36	366.09	575.03	540.19	808.0	3742.05	3955.48	1397.83	1757.34	1572.76	4358.66	2434.5	6471.02	3395.89	6935.54	4388.98	3820.7	3614.55	5711.87	7032.37	7081.29	5403.7	6381.92	5517.27	5711.87	4181.07	4972.34	5594.3	5255.91	3212.66	7382.04	7382.04	5872.48	872.1	460.44	11112.3	12502.12	1044.52	10014.87	2502.97	10733.74	432.53	7180.15	3419.52	4239.45	3060.45	4671.57	1467.37	6983.79	1417.35	1378.57	1936.53	3874.05	11827.67	4481.23	5954.47	3081.75	11189.6	9215.48	11504.21	9540.5	0.0	0.19
EPM2A	46.5	366.09	53.95	98.73	85.82	37.59	30.78	25.17	31.0	14.14	16.15	15.56	35.5	55.49	57.89	38.12	75.11	88.26	68.07	52.45	52.45	55.49	43.02	65.72	86.43	123.5	28.04	67.59	82.29	109.66	101.54	61.68	94.67	87.65	72.52	96.68	101.54	75.11	98.04	76.17	77.79	108.14	110.43	82.87	84.63	142.01	113.56	100.13	175.07	162.14	67.59	139.07	62.12	55.1	98.73	36.01	70.01	125.24	84.04	124.37	77.79	112.77	31.67	80.57	102.25	79.45	81.71	29.7	93.35	100.83	143.01	117.6	0.0	0.26
FANCC	77.79	68.55	202.66	507.46	214.27	166.73	119.26	103.69	111.21	65.72	118.43	62.12	113.56	96.68	75.11	94.01	106.63	85.82	283.05	66.65	48.52	265.87	124.37	529.06	137.14	309.83	120.1	100.83	205.5	211.31	397.93	318.57	212.78	356.05	212.78	115.16	187.71	166.73	387.02	361.04	115.97	217.27	309.83	264.03	126.12	105.89	371.22	232.94	303.44	320.8	373.81	146.03	177.53	289.02	231.32	223.41	195.72	486.75	59.97	591.22	444.72	248.0	64.8	287.01	339.14	607.87	293.07	182.55	320.8	283.05	743.43	242.88	0.0	0.52
FBP1	371.22	97.36	358.54	17804.06	13306.94	90.77	141.02	33.06	12.09	26.1	40.07	265.87	353.59	1794.29	371.22	3614.55	14361.31	16611.71	12415.75	2935.74	3639.7	11345.82	7382.04	12329.98	12676.65	7803.01	19214.73	7695.57	15824.9	26431.04	20030.74	23330.64	16045.82	13586.57	5831.91	21320.18	13968.57	25530.66	23986.58	18304.63	16383.0	14663.09	23986.58	31432.17	21172.91	2895.31	22072.07	89523.81	19348.38	53973.86	16496.96	29943.43	2645.74	45386.27	9606.86	14065.74	4972.34	15180.22	6607.01	7485.11	45386.27	9088.59	7032.37	30572.63	46662.28	3742.05	46339.95	2384.37	45386.27	22692.63	18178.19	19214.73	0.0	0.37
FMO3	10.79	629.35	18.56	16157.44	10733.74	39.79	25.54	19.39	5.5	17.13	16.88	21.94	123.5	575.03	703.28	5555.65	13215.02	7642.41	2701.35	6840.04	3928.15	14971.21	5255.91	5831.91	6935.54	6699.25	2335.28	17927.91	11424.74	8658.09	8963.45	12676.65	18560.17	9474.59	6699.25	10883.59	9740.98	12589.08	10883.59	5672.41	6207.38	17558.94	13399.51	11745.96	234.57	607.87	34876.28	57051.4	2720.15	15075.35	1066.48	40904.3	536.45	13215.02	8658.09	2895.31	1733.13	13681.08	351.14	20881.4	928.3	8840.04	559.28	3395.89	9945.68	4328.55	3395.89	1030.12	33455.53	7081.29	51775.15	23169.48	0.0	0.43
FYN	583.07	1350.18	629.35	1304.15	1073.91	236.21	457.25	351.14	152.28	325.29	309.83	1183.45	368.65	599.49	1208.34	303.44	748.61	1015.93	733.19	647.07	414.87	1498.22	748.61	1617.0	1059.11	915.51	154.42	1674.06	1111.82	1191.69	1037.29	884.29	1104.13	665.29	624.99	1378.57	460.44	1250.98	1477.58	896.64	543.96	1183.45	1216.75	1583.71	447.82	703.28	1651.0	2255.7	1066.48	3257.52	339.14	2434.5	262.2	1487.87	1322.37	392.44	454.09	902.89	432.53	1936.53	444.72	872.1	420.68	921.88	1268.46	470.14	780.44	299.25	2384.37	1030.12	1199.98	1167.14	0.0	0.96
GAS2	1.83	12.64	0.51	183.82	412.0	2.86	2.2	0.0	3.69	0.0	3.66	3.41	1.19	21.47	166.73	267.73	336.79	126.12	197.09	237.86	325.29	343.89	269.6	500.46	194.36	334.46	162.14	215.77	211.31	228.13	258.57	215.77	289.02	348.71	301.33	194.36	356.05	384.34	256.78	151.22	161.02	486.75	332.14	223.41	45.21	57.89	688.78	470.14	265.87	381.68	123.5	463.65	70.01	607.87	170.25	33.06	85.82	346.29	45.85	249.73	136.19	125.24	96.68	105.89	511.0	246.28	395.18	305.55	305.55	373.81	656.11	366.09	80.01	152.28
GCSH	612.11	1806.78	791.35	2627.46	2915.45	733.19	409.15	381.68	775.05	543.96	392.44	152.28	376.41	669.92	808.0	1457.23	3564.78	1733.13	1369.04	1208.34	2645.74	1697.45	2664.15	1662.49	1331.57	1769.57	1498.22	1806.78	3039.3	2119.22	1674.06	2520.38	2855.44	2400.97	2303.12	2032.85	2537.92	3212.66	2335.28	2835.7	1757.34	3540.14	2816.11	2739.08	2468.49	1388.16	2573.36	3325.99	3212.66	2976.74	1572.76	2645.74	1417.35	4671.57	3540.14	1151.06	1477.58	2335.28	1733.13	4575.41	2133.97	5147.73	473.41	1617.0	1909.85	884.29	3372.43	1977.24	4903.87	1628.26	4512.4	3280.18	0.0	0.43
GHR	2.71	3742.05	10.39	2720.15	1467.37	12.64	31.45	16.27	5.87	2.78	7.17	7.34	10.24	59.13	84.04	127.89	1605.83	830.75	371.22	141.02	145.02	1044.52	420.68	1208.34	503.95	1977.24	363.56	563.18	909.17	2645.74	2075.59	1870.53	2255.7	1427.22	500.46	1651.0	1250.98	1870.53	1331.57	1950.0	1313.23	4152.18	3190.46	1561.89	293.07	532.74	5219.6	4543.8	1250.98	1159.07	332.14	5711.87	409.15	1233.75	2047.0	309.83	2032.85	1088.92	429.54	1167.14	438.59	884.29	209.84	450.94	1135.2	1111.82	2163.77	379.04	1216.75	1991.0	9215.48	4210.15	0.0	0.44
GJB1	0.0	2.61	0.0	5872.48	8538.88	0.0	5.63	1.1	0.0	1.14	3.35	2.03	0.0	181.28	279.14	11112.3	11909.94	3928.15	4268.94	4736.79	6426.31	7642.41	6983.79	18431.96	4095.0	7331.05	8718.32	5633.22	9088.59	7081.29	7857.29	9409.14	7966.99	12160.22	8305.36	4575.41	8421.31	7081.29	7280.4	7695.57	4268.94	9025.81	12160.22	6337.83	1991.0	1191.69	16269.83	16496.96	6337.83	10084.54	7032.37	18689.27	1208.34	16045.82	2935.74	2255.7	5112.16	10154.69	1051.79	8778.97	2875.3	4769.75	3257.52	3901.01	9409.14	5913.33	12076.21	7749.1	10368.08	9088.59	14971.21	11504.21	0.0	0.0
GLUD1	1561.89	2609.3	728.11	12589.08	9474.59	1044.52	1594.73	2255.7	1896.65	1844.76	2178.83	1498.22	2835.7	2090.03	3212.66	3018.3	3955.48	5366.37	5255.91	9025.81	2209.26	11424.74	3491.39	3794.3	5791.62	5403.7	3372.43	13586.57	7966.99	9474.59	10084.54	10084.54	13586.57	14867.79	6935.54	8658.09	9876.98	11112.3	8191.0	10959.3	10585.95	16157.44	12589.08	6652.97	4239.45	4869.99	16045.82	5594.3	29327.18	17558.94	8191.0	22692.63	10368.08	10225.32	10883.59	4639.29	6699.25	20593.91	2367.9	13123.73	10585.95	5672.41	3018.3	13681.08	34635.37	8840.04	7642.41	4388.98	32767.0	12764.83	18560.17	15824.9	0.0	0.88
GLYAT	0.0	3690.52	0.0	6652.97	6294.04	8.92	0.0	0.0	0.0	3.23	0.0	0.0	2.18	7.51	1313.23	780.44	4123.49	2367.9	3146.52	3280.18	2163.77	4607.24	5076.84	4802.93	1844.76	2163.77	165.57	3190.46	6381.92	5147.73	6121.9	8191.0	7589.61	6792.79	4298.64	4802.93	5292.48	9740.98	6561.36	5517.27	2303.12	9808.75	11504.21	8022.41	1.07	0.0	34396.12	35363.15	5255.91	27938.14	1628.26	33922.56	0.0	33455.53	6121.9	1167.14	178.77	10440.2	656.11	16383.0	12.09	1605.83	289.02	5479.15	17681.08	6121.9	2796.65	4038.61	34158.52	11909.94	39510.91	17437.64	0.0	0.0
GLYATL1	0.0	0.0	0.0	9474.59	7331.05	0.0	3.0	0.0	0.0	0.0	0.0	2.29	1.87	22.59	423.61	1977.24	5913.33	4010.71	5183.54	1183.45	3146.52	6607.01	2855.44	6607.01	3794.3	6471.02	2573.36	5366.37	6426.31	11827.67	12329.98	8963.45	7230.1	8022.41	6840.04	7130.55	8247.98	10733.74	8538.88	8658.09	7032.37	11992.79	10883.59	8718.32	713.11	819.3	25179.16	55491.3	11664.82	42054.3	3564.78	67377.47	616.37	10368.08	6337.83	5292.48	5366.37	20451.65	167.9	46986.85	7485.11	1331.57	642.59	14765.09	16843.62	4704.07	18052.61	902.89	33688.23	21468.49	16496.96	14867.79	0.0	0.16
GYS2	0.0	43.63	0.0	1844.76	1628.26	0.0	6.57	0.21	0.0	0.0	0.0	0.24	0.0	0.56	15.0	318.57	928.3	825.0	529.06	361.04	713.11	915.51	703.28	1331.57	525.39	1208.34	115.97	555.41	1781.89	1709.26	1857.6	2004.85	2047.0	1651.0	915.51	1674.06	1594.73	1529.73	1781.89	1331.57	1225.22	2835.7	2271.4	1477.58	540.19	94.01	4450.27	3257.52	3982.99	6079.61	281.09	9740.98	7.57	2384.37	1427.22	170.25	312.0	2367.9	4.17	2875.3	135.24	75.64	105.15	620.67	4181.07	981.29	547.75	154.42	2255.7	3955.48	13215.02	5076.84	0.0	0.19
HMGN3	665.29	2090.03	1936.53	2417.67	2351.53	1540.37	2075.59	2255.7	988.12	1733.13	974.5	1709.26	1135.2	2018.8	6792.79	1437.15	2816.11	2451.44	1832.01	2075.59	1594.73	1909.85	2193.99	2104.58	2502.97	2384.37	1437.15	2335.28	2816.11	1427.22	2303.12	2319.15	2255.7	1794.29	2400.97	2367.9	2271.4	2133.97	1757.34	2090.03	1378.57	2956.17	2485.67	2645.74	1096.5	813.63	2935.74	2609.3	1030.12	1883.54	872.1	2701.35	480.04	2178.83	3303.0	1340.84	1295.13	1674.06	1477.58	1819.35	1111.82	1781.89	1628.26	2468.49	1709.26	1857.6	1508.65	1159.07	2384.37	2193.99	5112.16	3325.99	0.0	0.57
HOGA1	10.39	262.2	9.48	1008.9	954.43	38.4	18.29	3.69	3.82	0.65	27.64	0.33	2.63	14.78	299.25	297.17	232.94	426.57	366.09	563.18	215.77	791.35	212.78	336.79	532.74	171.45	155.5	559.28	743.43	909.17	878.17	974.5	1044.52	1044.52	848.22	785.88	819.3	1359.57	1111.82	669.92	480.04	1023.0	1378.57	954.43	148.09	145.02	2367.9	2451.44	490.14	2018.8	318.57	1175.27	131.51	2875.3	896.64	234.57	152.28	1037.29	55.1	1143.1	43.94	559.28	341.51	785.88	1096.5	444.72	599.49	204.07	2520.38	323.03	2627.46	1250.98	0.0	0.31
ISOC1	403.5	1127.35	332.14	1304.15	1662.49	289.02	218.79	172.65	114.36	165.57	277.2	155.5	285.03	466.88	241.19	981.29	1216.75	1151.06	981.29	961.07	1151.06	1183.45	1407.55	1529.73	1030.12	1259.69	748.61	854.13	1322.37	1313.23	1208.34	1119.56	1674.06	1225.22	1023.0	1709.26	1313.23	1651.0	1151.06	1304.15	1427.22	1923.14	1208.34	1529.73	915.51	660.68	2209.26	1096.5	1819.35	1340.84	733.19	1832.01	988.12	1508.65	2090.03	507.46	954.43	1081.39	884.29	1250.98	713.11	1111.82	1008.9	1259.69	1073.91	1519.15	1059.11	785.88	1991.0	1350.18	3768.09	1857.6	0.0	0.27
LGI1	0.0	41.22	0.0	6.46	83.45	0.0	0.26	0.0	0.0	0.0	2.03	0.0	0.0	1.35	0.0	0.0	0.0	16.27	0.55	0.0	12.09	1.79	0.53	94.67	2.23	0.0	0.0	7.46	75.64	0.0	18.16	103.69	63.45	59.55	15.45	38.4	74.06	62.56	0.0	0.0	0.0	48.18	58.71	50.27	0.33	0.0	116.78	90.77	7.17	29.7	3.89	47.17	0.0	39.22	0.82	0.79	11.64	14.35	2.66	34.26	1.3	1.95	3.14	11.38	43.02	20.41	8.06	3.11	40.36	22.43	67.59	13.62	0.0	0.0
LHPP	447.82	414.87	275.28	1427.22	1183.45	248.0	656.11	400.71	503.95	368.65	320.8	199.85	339.14	896.64	902.89	808.0	698.41	1427.22	1159.07	769.69	1175.27	1388.16	529.06	1628.26	878.17	1844.76	802.41	1540.37	1088.92	1617.0	1304.15	1437.15	1561.89	1286.18	1143.1	1583.71	1044.52	1794.29	1508.65	1477.58	1151.06	1883.54	1844.76	1781.89	289.02	353.59	2303.12	3103.19	872.1	1721.16	928.3	2417.67	435.55	2319.15	743.43	1044.52	1175.27	1963.57	417.77	1529.73	769.69	848.22	320.8	1111.82	1639.59	1233.75	884.29	343.89	3742.05	2193.99	1857.6	1304.15	0.0	0.41
LIPC	12.27	0.0	11.91	7642.41	2163.77	4.31	1.69	2.61	7.06	15.91	38.4	6.26	12.93	9.7	33.3	3103.19	3419.52	1857.6	2627.46	3190.46	1044.52	1819.35	3303.0	2875.3	2520.38	1923.14	769.69	2875.3	5041.77	2255.7	3768.09	6426.31	5711.87	1359.57	2502.97	3395.89	2591.27	3820.7	1540.37	4543.8	2555.58	3235.01	4481.23	3820.7	470.14	1977.24	3257.52	5711.87	20451.65	5913.33	1991.0	7857.29	3716.2	3325.99	1909.85	1407.55	2163.77	8363.13	543.96	3419.52	2148.82	3955.48	708.18	5479.15	3794.3	1023.0	6207.38	503.95	2915.45	4671.57	19082.0	3190.46	0.0	0.0
LRRC28	400.71	521.76	195.72	733.19	954.43	267.73	392.44	423.61	173.85	414.87	392.44	466.88	392.44	336.79	289.02	511.0	647.07	529.06	490.14	253.23	669.92	791.35	389.72	878.17	470.14	674.59	1037.29	483.38	708.18	629.35	748.61	723.08	860.08	988.12	575.03	460.44	934.76	785.88	825.0	718.08	503.95	1208.34	802.41	599.49	343.89	224.97	1551.09	1051.79	854.13	878.17	529.06	921.88	323.03	1030.12	368.65	612.11	656.11	1066.48	220.32	1015.93	429.54	480.04	343.89	366.09	802.41	540.19	543.96	1268.46	796.86	1030.12	1437.15	902.89	0.0	0.54
LYRM5	185.11	1008.9	267.73	1583.71	1529.73	339.14	361.04	217.27	201.25	180.02	178.77	279.14	197.09	684.02	587.13	808.0	1304.15	961.07	802.41	753.83	642.59	1111.82	854.13	1001.93	890.44	1331.57	332.14	934.76	1498.22	1225.22	1268.46	1427.22	1295.13	1378.57	1313.23	1437.15	1551.09	1529.73	1250.98	1111.82	842.36	2119.22	1529.73	1477.58	1127.35	529.06	2224.63	2104.58	1745.2	2816.11	1030.12	2400.97	493.56	2664.15	1304.15	728.11	1216.75	1605.83	497.0	1685.71	1159.07	854.13	884.29	1037.29	1991.0	1697.45	1104.13	947.83	1757.34	2032.85	2720.15	1519.15	309.83	309.83
MAOA	23.42	7382.04	98.04	2739.08	2119.22	595.34	483.38	693.58	44.57	575.03	366.09	1015.93	571.05	764.36	2004.85	759.08	1594.73	1883.54	2104.58	3280.18	860.08	2835.7	915.51	1674.06	1457.23	1662.49	921.88	3060.45	2645.74	3018.3	3491.39	3081.75	2468.49	3589.58	2835.7	2935.74	2609.3	3235.01	2645.74	2193.99	1950.0	3103.19	3690.52	2758.13	1023.0	2645.74	5672.41	6079.61	3690.52	8134.41	1651.0	7180.15	2004.85	3146.52	2119.22	974.5	571.05	6037.61	1350.18	6840.04	1081.39	3039.3	1639.59	3874.05	6207.38	1427.22	1936.53	1151.06	7857.29	1733.13	1781.89	3901.01	0.0	0.62
METTL7A	156.59	4419.52	152.28	9215.48	11112.3	120.1	454.09	41.52	15.34	124.37	46.18	129.69	145.02	2351.53	1051.79	5366.37	5831.91	5041.77	4181.07	7537.18	5441.3	7433.4	13033.07	10225.32	4543.8	8305.36	3018.3	5517.27	10585.95	8538.88	8963.45	9279.58	9740.98	9876.98	6381.92	7032.37	7857.29	11745.96	8901.53	7180.15	6164.49	12415.75	11992.79	10084.54	1870.53	2645.74	16727.26	9945.68	10154.69	18178.19	5403.7	16383.0	1127.35	13033.07	8963.45	3639.7	4095.0	13033.07	2255.7	14065.74	4038.61	3901.01	4095.0	8134.41	13033.07	9409.14	5995.9	5255.91	18689.27	15075.35	20451.65	12676.65	327.56	1529.73
MICU1	595.34	866.07	384.34	1662.49	1561.89	366.09	497.0	743.43	463.65	432.53	483.38	397.93	567.1	825.0	884.29	813.63	647.07	988.12	1233.75	1037.29	1008.9	1794.29	796.86	1378.57	1295.13	1216.75	928.3	2047.0	1388.16	1832.01	1870.53	1794.29	1819.35	1909.85	1096.5	1096.5	1417.35	1794.29	1378.57	1437.15	1088.92	2287.2	2271.4	1487.87	679.29	780.44	2451.44	2555.58	1583.71	2319.15	896.64	2720.15	688.78	1583.71	1378.57	934.76	1127.35	2061.24	785.88	2047.0	616.37	1427.22	1073.91	1111.82	2047.0	1331.57	1457.23	1242.34	2520.38	1806.78	2720.15	1896.65	0.0	0.68
MME	47.17	2434.5	226.54	684.02	441.64	206.94	71.5	64.34	62.56	79.45	81.71	145.02	36.27	60.39	521.76	94.67	161.02	62.12	128.79	1.48	2.41	309.83	277.2	106.63	37.32	154.42	0.96	791.35	124.37	368.65	186.4	361.04	571.05	251.48	38.67	341.51	85.82	460.44	281.09	307.69	181.28	703.28	603.67	220.32	0.52	0.43	896.64	656.11	1044.52	884.29	47.17	1216.75	9.06	244.57	141.02	3.79	20.71	2209.26	29.48	5594.3	62.12	89.51	14.45	40.36	480.04	244.57	211.31	15.68	3103.19	316.37	4239.45	660.68	0.0	0.27
MSRA	291.04	748.61	373.81	1225.22	1508.65	103.69	181.28	226.54	30.34	22.92	172.65	169.07	231.32	457.25	493.56	988.12	1023.0	981.29	693.58	2224.63	303.44	1127.35	217.27	909.17	703.28	791.35	361.04	860.08	1216.75	1295.13	1059.11	1508.65	1733.13	1685.71	660.68	967.76	1037.29	1870.53	1519.15	1477.58	1096.5	1561.89	1447.15	1322.37	470.14	363.56	1757.34	3124.78	1407.55	2090.03	941.27	2018.8	1127.35	2875.3	1295.13	1199.98	860.08	2451.44	808.0	1388.16	796.86	1008.9	780.44	1119.56	2032.85	808.0	1519.15	981.29	3081.75	1151.06	1963.57	753.83	0.0	0.55
NAT1	60.39	1427.22	140.04	281.09	297.17	12.27	84.63	98.04	59.97	30.56	108.14	77.25	108.9	95.34	162.14	110.43	271.48	69.03	136.19	264.03	88.88	248.0	173.85	392.44	181.28	285.03	123.5	183.82	281.09	241.19	307.69	205.5	325.29	295.11	255.0	59.13	334.46	186.4	323.03	157.68	94.67	346.29	409.15	267.73	79.45	125.24	373.81	379.04	221.86	348.71	138.1	297.17	35.0	450.94	289.02	115.16	167.9	320.8	140.04	275.28	158.79	164.42	134.3	187.71	269.6	251.48	248.0	193.01	231.32	336.79	426.57	303.44	0.0	0.0
NIPSNAP1	941.27	198.47	368.65	3847.29	4181.07	669.92	791.35	954.43	493.56	395.18	616.37	703.28	656.11	1088.92	1183.45	3540.14	2915.45	2520.38	2976.74	3124.78	3467.27	3491.39	3039.3	2255.7	3190.46	2915.45	7803.01	2875.3	3928.15	4388.98	4210.15	4481.23	3665.02	4937.99	3280.18	3060.45	4736.79	4419.52	4152.18	4268.94	2367.9	4481.23	6164.49	3146.52	1769.57	2004.85	7537.18	6792.79	4181.07	5076.84	2895.31	5831.91	1709.26	5292.48	3540.14	3303.0	3955.48	8078.22	1572.76	5147.73	3419.52	2061.24	2520.38	3716.2	6699.25	3716.2	4937.99	4671.57	6745.86	5006.93	4639.29	5076.84	2758.13	325.29
NIT2	1407.55	2434.5	579.04	4481.23	3303.0	2915.45	2573.36	884.29	1540.37	1208.34	1685.71	1242.34	1191.69	684.02	3982.99	2520.38	3491.39	2537.92	5913.33	3212.66	2163.77	4095.0	2224.63	2816.11	2018.8	3349.13	1733.13	2645.74	3124.78	3303.0	2520.38	4152.18	4298.64	3515.68	2875.3	3325.99	3212.66	5076.84	3419.52	3639.7	2682.69	4358.66	4358.66	3901.01	2018.8	1697.45	4481.23	5147.73	2555.58	5555.65	2555.58	3515.68	1242.34	4358.66	3491.39	2835.7	1583.71	4038.61	1936.53	4328.55	1977.24	3103.19	2485.67	3443.31	3901.01	3124.78	2520.38	1674.06	6037.61	2997.45	5441.3	3614.55	1487.87	289.02
NUDT6	150.17	486.75	54.33	500.46	441.64	80.57	63.45	64.34	64.8	29.48	47.5	43.32	114.36	150.17	134.3	293.07	373.81	325.29	307.69	642.59	228.13	490.14	249.73	201.25	356.05	246.28	183.82	633.73	595.34	341.51	514.56	497.0	463.65	567.1	486.75	325.29	363.56	466.88	470.14	500.46	287.01	591.22	540.19	521.76	120.94	128.79	884.29	723.08	190.34	780.44	211.31	708.18	100.83	1023.0	775.05	332.14	265.87	318.57	150.17	555.41	228.13	420.68	102.25	460.44	447.82	297.17	583.07	314.17	612.11	559.28	934.76	389.72	0.0	0.07
PBLD	44.89	412.0	24.11	4038.61	3372.43	16.63	35.0	36.53	27.64	29.06	87.03	27.25	29.7	119.26	1378.57	974.5	1304.15	1551.09	1685.71	1259.69	1286.18	3325.99	507.46	2573.36	1313.23	3018.3	884.29	2997.45	3901.01	3794.3	4038.61	3190.46	3820.7	3443.31	1685.71	3395.89	2956.17	3982.99	3212.66	3325.99	2193.99	5147.73	5147.73	5076.84	366.09	77.25	9279.58	7589.61	2645.74	6840.04	1832.01	7537.18	860.08	4181.07	4639.29	1183.45	4388.98	4095.0	363.56	3768.09	665.29	1540.37	1159.07	2935.74	5041.77	5831.91	3982.99	3794.3	9945.68	5147.73	10014.87	6792.79	0.0	0.32
PECR	177.53	1081.39	94.01	3018.3	2609.3	100.83	118.43	32.82	47.5	67.59	183.82	43.32	84.63	155.5	1066.48	417.77	2720.15	1794.29	2209.26	1605.83	1457.23	2997.45	5219.6	2537.92	1487.87	2047.0	941.27	2591.27	2434.5	2032.85	2591.27	2591.27	2758.13	2956.17	1651.0	2875.3	2664.15	2555.58	2664.15	2032.85	1896.65	3564.78	3515.68	2163.77	417.77	473.41	4769.75	4066.71	1721.16	4123.49	1073.91	6699.25	351.14	3280.18	2193.99	780.44	1359.57	3874.05	890.44	3639.7	395.18	1407.55	941.27	1896.65	3280.18	1369.04	2133.97	1685.71	4066.71	2133.97	6471.02	3491.39	0.0	0.09
