	TCGA.AC.A2FK.01A.12R.A180.07	TCGA.AR.A0TY.01A.12R.A115.07	GTEX.T6MO.1426.SM.4DM73	GTEX.13OVI.1126.SM.5KLZF	TCGA.A3.3378.01A.02R.1325.07	TCGA.DV.5576.01A.01R.1541.07	TCGA.BP.4769.01A.01R.1289.07	TCGA.IZ.8196.01A.11R.2404.07	TCGA.2Z.A9JJ.01A.11R.A42S.07	TCGA.A4.7828.01A.11R.2139.07	TCGA.AL.3467.01A.02R.1351.07	TCGA.BQ.5884.01A.11R.1592.07	TCGA.BQ.7049.01A.11R.1965.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.PX3G.0826.SM.48TZS	GTEX.ZF2S.3026.SM.4WWCH	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.14753.1626.SM.5NQ9L	TCGA.DJ.A2PQ.01A.11R.A18C.07	TCGA.BJ.A45J.01A.11R.A23W.07	TCGA.EM.A1CU.01A.11R.A13Y.07	TCGA.EL.A4K0.01A.11R.A250.07	TCGA.EM.A3AN.01A.11R.A206.07	TCGA.EL.A3CP.01A.11R.A19O.07	TCGA.FE.A3PD.01A.11R.A220.07	TCGA.EM.A3O7.01A.11R.A220.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.BJ.A0Z9.01A.11R.A10U.07	TCGA.EL.A3D0.01A.12R.A206.07	TCGA.MK.A4N9.01A.11R.A250.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.DJ.A3VE.01A.11R.A23N.07	TCGA.J8.A42S.01A.11R.A23N.07	TCGA.DJ.A3UU.01A.11R.A22L.07	GTEX.133LE.0326.SM.5P9G4	GTEX.13FH7.0126.SM.5KLZ1	GTEX.13N11.1026.SM.5K7XQ	GTEX.11TT1.1126.SM.5P9GV
TM9SF3	2627.46	3018.3	1295.13	2520.38	1819.35	1794.29	1487.87	2047.0	1757.34	1417.35	1617.0	1508.65	1832.01	583.07	493.56	638.15	551.56	1030.12	808.0	738.29	684.02	693.58	638.15	674.59	1143.1	974.5	1088.92	1583.71	1208.34	1378.57	1015.93	954.43	866.07	1583.71	1208.34	967.76	974.5	1001.93	1233.75	941.27	1242.34	1208.34	1628.26	1467.37	1242.34
TMPPE	28.24	11.91	6.73	65.72	35.76	33.3	21.32	33.54	15.91	19.53	50.27	69.03	36.27	2.68	3.56	10.08	10.88	13.62	9.63	11.55	5.28	2.81	8.19	4.31	8.58	6.62	8.85	14.56	6.84	18.43	4.94	13.22	4.46	20.11	14.67	7.17	7.22	9.41	10.79	5.59	21.63	20.56	27.25	24.46	21.01
TRAF3	275.28	142.01	79.45	287.01	224.97	199.85	206.94	297.17	307.69	251.48	178.77	299.25	447.82	64.34	90.77	77.25	126.12	73.54	76.71	44.89	108.9	106.63	84.63	55.89	96.01	94.67	103.69	154.42	94.67	135.24	87.65	131.51	106.63	124.37	153.34	105.89	80.01	102.97	99.43	88.26	136.19	162.14	234.57	167.9	202.66
TRIM25	647.07	941.27	733.19	507.46	693.58	521.76	361.04	884.29	379.04	332.14	463.65	351.14	363.56	138.1	81.71	265.87	116.78	122.64	145.02	115.97	642.59	218.79	283.05	87.65	248.0	185.11	260.38	483.38	237.86	323.03	273.37	299.25	182.55	325.29	860.08	283.05	202.66	264.03	314.17	211.31	346.29	414.87	285.03	423.61	341.51
TRIM44	872.1	583.07	241.19	1508.65	1088.92	616.37	466.88	866.07	529.06	334.46	848.22	1037.29	567.1	170.25	277.2	206.94	242.88	563.18	591.22	281.09	178.77	198.47	224.97	224.97	169.07	111.21	228.13	336.79	127.89	269.6	77.79	220.32	98.04	400.71	309.83	198.47	151.22	169.07	232.94	181.28	358.54	293.07	733.19	536.45	389.72
TRIP12	2351.53	1051.79	748.61	2351.53	2209.26	1388.16	961.07	1498.22	1286.18	1104.13	1331.57	2240.11	1331.57	381.68	316.37	551.56	356.05	836.53	743.43	775.05	435.55	371.22	607.87	441.64	1037.29	748.61	1001.93	1233.75	890.44	1233.75	669.92	902.89	591.22	1540.37	1167.14	866.07	764.36	842.36	967.76	896.64	1135.2	1023.0	1359.57	1119.56	1127.35
UBE2W	381.68	384.34	170.25	400.71	395.18	356.05	327.56	406.31	246.28	339.14	395.18	358.54	356.05	181.28	107.38	209.84	135.24	193.01	177.53	128.79	190.34	185.11	176.29	312.0	289.02	221.86	281.09	218.79	229.72	289.02	220.32	191.67	180.02	325.29	309.83	204.07	214.27	209.84	218.79	199.85	223.41	202.66	198.47	277.2	204.07
WIPF2	493.56	163.28	194.36	414.87	555.41	454.09	392.44	669.92	320.8	384.34	551.56	693.58	403.5	87.03	92.7	87.65	71.5	126.12	180.02	87.65	93.35	134.3	105.89	48.52	277.2	190.34	255.0	271.48	236.21	346.29	215.77	264.03	183.82	368.65	249.73	289.02	269.6	281.09	246.28	215.77	327.56	273.37	217.27	273.37	293.07
ZFAND3	1832.01	1857.6	988.12	2537.92	1950.0	1540.37	1498.22	2104.58	1709.26	1167.14	2133.97	2209.26	2119.22	624.99	842.36	476.71	934.76	1286.18	1417.35	909.17	679.29	808.0	511.0	1119.56	1183.45	902.89	1268.46	1216.75	954.43	1159.07	728.11	941.27	830.75	1561.89	1225.22	1233.75	1044.52	1096.5	934.76	967.76	1225.22	1397.83	2061.24	1151.06	1477.58
ZNF24	1167.14	1286.18	403.5	954.43	486.75	507.46	514.56	532.74	217.27	392.44	819.3	483.38	429.54	279.14	148.09	283.05	209.84	412.0	289.02	309.83	309.83	316.37	348.71	176.29	480.04	348.71	454.09	483.38	450.94	629.35	400.71	414.87	332.14	567.1	341.51	397.93	384.34	438.59	497.0	332.14	470.14	438.59	493.56	629.35	454.09
