	TCGA.G4.6302.01A.11R.1723.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.AA.3489.11A.01R.1839.07	GTEX.ZYVF.2826.SM.5GIDK	GTEX.14A5H.1626.SM.5SIAN	GTEX.13O1R.2426.SM.5KLZZ	TCGA.L5.A88S.01A.11R.A36D.31	TCGA.L5.A4OE.01A.11R.A260.31	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.BA.A6DJ.01A.11R.A30B.07	TCGA.MT.A67F.01A.11R.A30B.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EJ.7783.11A.01R.2118.07	TCGA.EJ.7123.11A.01R.1965.07	GTEX.12BJ1.1226.SM.5LUAE	GTEX.13RTJ.2126.SM.5S2PZ	GTEX.14C5O.2826.SM.5RQI6	GTEX.13111.1326.SM.5GCNO	GTEX.OOBK.2025.SM.3LK5S	GTEX.WK11.2626.SM.4OOSK	GTEX.11EQ9.1726.SM.5HL6U	GTEX.12696.2226.SM.5EQ65	TCGA.AG.3742.11A.01R.1660.07	TCGA.AF.2689.11A.01R.A32Z.07	TCGA.AG.3732.11A.01R.1660.07	GTEX.YFC4.2826.SM.5P9FR
NUDT10	118.43	109.66	153.34	72.52	63.0	34.02	37.05	12.18	2.58	16.39	32.59	1.5	1.97	0.0	0.19	466.88	587.13	723.08	1023.0	1277.29	688.78	947.83	441.64	688.78	848.22	89.51	49.91	115.16	1.79
OCRL	325.29	460.44	543.96	312.0	470.14	406.31	356.05	397.93	525.39	1617.0	3124.78	159.9	70.01	0.0	0.74	656.11	961.07	764.36	1250.98	1508.65	1216.75	866.07	854.13	878.17	1119.56	403.5	371.22	500.46	206.94
OGDH	1561.89	2004.85	2645.74	1175.27	1167.14	1583.71	988.12	1498.22	1540.37	2004.85	2777.33	1135.2	1127.35	0.0	0.61	1757.34	2609.3	2004.85	1498.22	1447.15	2104.58	2520.38	1651.0	2119.22	1457.23	1135.2	2090.03	1769.57	780.44
OXCT1	511.0	518.15	848.22	454.09	141.02	358.54	185.11	246.28	144.01	426.57	1023.0	260.38	117.6	0.0	0.6	1096.5	1096.5	1250.98	665.29	612.11	1119.56	1498.22	941.27	1487.87	785.88	518.15	470.14	791.35	258.57
PAIP2B	51.71	94.01	102.25	68.55	43.94	31.22	23.08	17.77	11.55	23.42	101.54	15.56	15.0	0.0	0.12	116.78	154.42	127.0	191.67	202.66	130.6	88.88	89.51	103.69	105.89	102.25	71.0	122.64	52.82
PCDH10	29.7	16.63	41.81	23.25	7.06	6.62	6.31	12.36	0.0	12.36	29.48	0.64	0.0	0.0	0.01	802.41	928.3	575.03	297.17	583.07	967.76	432.53	172.65	236.21	490.14	16.03	8.19	23.76	10.63
PCYOX1	708.18	780.44	1066.48	348.71	356.05	295.11	211.31	503.95	275.28	802.41	1030.12	363.56	122.64	293.07	53.57	607.87	1487.87	2645.74	1059.11	1529.73	1685.71	842.36	1369.04	1519.15	981.29	616.37	521.76	1183.45	366.09
PCYT2	525.39	432.53	323.03	555.41	242.88	309.83	220.32	438.59	490.14	409.15	358.54	303.44	220.32	0.0	0.0	575.03	599.49	769.69	808.0	733.19	1051.79	718.08	500.46	884.29	708.18	414.87	503.95	358.54	403.5
PHF17	447.82	579.04	583.07	287.01	201.25	115.16	201.25	201.25	67.12	289.02	325.29	49.91	60.82	165.57	72.01	490.14	497.0	551.56	540.19	514.56	376.41	483.38	503.95	466.88	500.46	314.17	293.07	473.41	232.94
PHGDH	547.75	1295.13	2573.36	438.59	231.32	551.56	325.29	305.55	281.09	791.35	651.58	20.71	62.12	0.0	0.67	1551.09	2004.85	2061.24	3235.01	3039.3	3280.18	1151.06	2682.69	2303.12	1662.49	571.05	698.41	723.08	444.72
PIK3CB	403.5	400.71	237.86	371.22	312.0	244.57	346.29	279.14	1008.9	409.15	384.34	218.79	190.34	0.0	0.51	318.57	507.46	785.88	463.65	813.63	376.41	423.61	420.68	507.46	551.56	346.29	447.82	447.82	246.28
PPP1R3C	327.56	651.58	1216.75	447.82	514.56	119.26	152.28	384.34	708.18	753.83	1721.16	2.68	61.68	0.0	0.22	1378.57	2351.53	1225.22	802.41	579.04	1369.04	529.06	2502.97	2178.83	1594.73	607.87	265.87	1233.75	197.09
PPP1R3F	158.79	124.37	332.14	120.1	83.45	127.89	47.17	186.4	43.02	166.73	346.29	24.28	51.71	0.0	0.43	291.04	236.21	251.48	206.94	251.48	249.73	220.32	226.54	163.28	291.04	108.14	80.01	136.19	158.79
PPP1R7	1594.73	1857.6	1832.01	1857.6	1417.35	1561.89	1268.46	1674.06	1685.71	1487.87	1745.2	775.05	1277.29	1073.91	571.05	2193.99	2271.4	2148.82	2682.69	2816.11	3018.3	2502.97	2287.2	3280.18	2591.27	1844.76	1806.78	1794.29	1191.69
PREPL	476.71	591.22	728.11	435.55	525.39	381.68	429.54	307.69	361.04	638.15	802.41	117.6	114.36	0.0	0.48	703.28	1119.56	1191.69	854.13	878.17	1216.75	728.11	785.88	723.08	884.29	638.15	476.71	941.27	389.72
PTPN14	348.71	172.65	743.43	141.02	60.82	52.82	43.02	285.03	111.99	361.04	400.71	159.9	68.55	133.36	116.78	218.79	480.04	514.56	202.66	371.22	371.22	387.02	224.97	327.56	329.84	154.42	143.01	480.04	80.01
PYGB	2384.37	4268.94	6983.79	2537.92	791.35	3768.09	842.36	4869.99	3190.46	8538.88	12676.65	1127.35	819.3	0.0	0.79	5479.15	6652.97	5403.7	5403.7	5292.48	10659.59	6164.49	7857.29	8022.41	6121.9	3443.31	4736.79	4450.27	1183.45
RAB40A	13.52	13.22	6.57	6.67	3.32	7.34	4.54	10.24	3.14	17.0	29.91	0.55	1.38	0.0	0.04	214.27	81.71	164.42	253.23	341.51	114.36	191.67	26.86	89.51	518.15	5.28	8.19	7.88	46.5
RAB4A	878.17	1250.98	1225.22	1044.52	1073.91	802.41	703.28	802.41	503.95	1427.22	1896.65	909.17	633.73	0.0	0.55	1447.15	1340.84	2701.35	1674.06	3060.45	1639.59	1685.71	1583.71	3564.78	1685.71	1322.37	1127.35	1295.13	629.35
RAB6C	3.17	3.72	6.62	2.81	1.66	3.06	1.33	10.88	0.0	26.1	33.06	0.35	1.07	0.0	0.0	1.97	15.68	11.55	5.06	14.78	10.24	9.48	7.17	18.56	10.39	4.28	1.6	3.89	6.89
RAD51C	529.06	543.96	595.34	595.34	381.68	228.13	373.81	435.55	215.77	470.14	473.41	237.86	234.57	555.41	587.13	629.35	599.49	559.28	764.36	836.53	647.07	728.11	536.45	647.07	703.28	703.28	514.56	493.56	503.95
RAI2	620.67	674.59	1199.98	521.76	165.57	361.04	164.42	341.51	39.79	514.56	1151.06	6.36	12.83	0.0	0.48	1407.55	1216.75	1572.76	2271.4	1950.0	1447.15	1268.46	1233.75	1427.22	981.29	629.35	559.28	836.53	529.06
RALBP1	995.0	813.63	934.76	679.29	769.69	529.06	379.04	921.88	753.83	1081.39	1350.18	723.08	1001.93	0.0	0.59	1023.0	1037.29	1540.37	1191.69	2047.0	981.29	1037.29	1322.37	1388.16	830.75	928.3	896.64	1135.2	536.45
REEP6	232.94	94.01	69.03	84.63	52.82	40.36	29.06	108.9	104.42	56.68	34.02	224.97	94.01	0.0	0.25	127.0	353.59	559.28	518.15	656.11	559.28	303.44	279.14	1023.0	412.0	124.37	112.77	81.71	115.16
RGPD3	2.05	3.5	0.0	0.95	1.35	4.21	1.41	3.06	2.23	2.97	4.17	0.42	0.45	0.0	0.18	1.48	7.34	5.73	6.67	6.62	1.07	4.06	5.54	2.16	3.69	0.96	0.99	1.53	1.3
RGS9	91.41	199.85	371.22	172.65	79.45	121.79	94.01	151.22	9.34	511.0	981.29	8.13	41.52	0.0	0.24	665.29	507.46	316.37	490.14	723.08	1111.82	595.34	323.03	170.25	395.18	305.55	156.59	387.02	83.45
RNF180	84.63	109.66	224.97	112.77	45.21	64.34	38.95	27.44	6.73	53.95	117.6	1.3	2.94	0.0	0.26	318.57	389.72	426.57	379.04	351.14	381.68	295.11	183.82	215.77	351.14	166.73	66.18	269.6	58.3
RP11-664D7.4	0.0	0.0	0.0	0.73	0.0	0.0	0.0	0.06	0.75	0.12	0.0	0.0	0.0	0.0	0.0	46.5	113.56	22.26	53.57	64.34	68.07	30.56	44.57	43.63	22.75	0.0	0.0	0.8	0.0
RPA1	1313.23	1313.23	1674.06	928.3	1135.2	890.44	819.3	1467.37	669.92	1561.89	1313.23	934.76	769.69	0.0	0.66	1313.23	1819.35	2032.85	1923.14	1594.73	2255.7	1617.0	1628.26	1963.57	2018.8	1143.1	1191.69	1583.71	915.51
SCAMP1	363.56	400.71	551.56	373.81	358.54	260.38	248.0	251.48	218.79	341.51	351.14	299.25	277.2	0.0	0.3	518.15	860.08	1417.35	669.92	1175.27	848.22	483.38	854.13	915.51	656.11	571.05	309.83	693.58	470.14
SCRN1	967.76	688.78	1331.57	438.59	620.67	332.14	356.05	802.41	612.11	1183.45	1529.73	447.82	297.17	470.14	287.01	1008.9	1427.22	3257.52	1417.35	2627.46	2047.0	1561.89	866.07	1806.78	1674.06	612.11	480.04	1037.29	108.9
SEC22C	934.76	988.12	1427.22	842.36	555.41	563.18	599.49	651.58	150.17	791.35	674.59	507.46	444.72	698.41	138.1	995.0	1051.79	1369.04	1467.37	1923.14	1447.15	941.27	1286.18	1519.15	1909.85	1081.39	620.67	1467.37	507.46
SGCA	2287.2	1561.89	1950.0	718.08	297.17	830.75	212.78	4181.07	55.49	2367.9	7032.37	4.39	3.08	0.0	0.61	2956.17	2485.67	1051.79	2976.74	3280.18	2178.83	2303.12	3820.7	2468.49	3103.19	703.28	660.68	988.12	723.08
SKP1	12676.65	16383.0	17437.64	19892.37	16611.71	13399.51	13776.25	16496.96	7485.11	14561.8	16727.26	9344.14	8778.97	0.0	1.33	22380.2	16843.62	20170.07	27174.14	26800.01	21919.61	18431.96	18950.18	21468.49	21026.65	22850.48	11827.67	16496.96	6294.04
SMIM10	361.04	376.41	684.02	441.64	88.88	232.94	163.28	329.84	24.63	738.29	1001.93	7.69	26.28	0.0	0.43	802.41	540.19	536.45	967.76	620.67	532.74	603.67	988.12	441.64	780.44	403.5	253.23	629.35	218.79
SMIM4	486.75	698.41	563.18	723.08	624.99	764.36	1135.2	642.59	529.06	480.04	483.38	1096.5	384.34	0.0	0.0	1508.65	961.07	1295.13	2591.27	1857.6	2193.99	1467.37	785.88	2240.11	1832.01	1111.82	723.08	441.64	684.02
SREBF2	1369.04	1044.52	1457.23	785.88	1216.75	1417.35	872.1	1104.13	954.43	1378.57	1844.76	1183.45	633.73	1096.5	279.14	1259.69	2255.7	1111.82	2075.59	3257.52	2148.82	1745.2	2240.11	1268.46	1268.46	738.29	1697.45	1151.06	620.67
SSPN	155.5	409.15	665.29	291.04	170.25	141.02	56.68	195.72	15.22	551.56	1030.12	28.24	22.59	0.0	0.17	551.56	836.53	1697.45	420.68	571.05	884.29	647.07	1250.98	493.56	579.04	529.06	269.6	748.61	47.5
SYS1	587.13	718.08	780.44	669.92	743.43	532.74	480.04	521.76	511.0	376.41	480.04	414.87	480.04	0.0	0.16	842.36	698.41	884.29	1437.15	1015.93	967.76	961.07	842.36	1268.46	1104.13	791.35	728.11	540.19	397.93
TADA2B	271.48	414.87	514.56	285.03	256.78	204.07	241.19	189.02	133.36	215.77	334.46	182.55	248.0	0.0	0.25	384.34	551.56	647.07	403.5	514.56	511.0	480.04	389.72	466.88	579.04	361.04	373.81	397.93	269.6
TAGLN	585779.24	869603.57	3113270.58	397335.0	141455.6	248002.34	114897.47	527933.71	5219.6	857631.47	1703415.74	3039.3	3794.3	0.0	1.16	731246.37	375901.76	316094.29	573724.06	565825.41	691801.16	565825.41	368165.8	485798.0	632189.57	475800.4	282912.21	561916.97	185362.8
TBC1D5	281.09	281.09	363.56	175.07	176.29	102.25	59.97	217.27	197.09	329.84	305.55	148.09	133.36	0.0	0.39	301.33	551.56	780.44	397.93	420.68	314.17	376.41	514.56	371.22	193.01	271.48	241.19	457.25	279.14
TCEAL2	2104.58	1135.2	3716.2	1350.18	759.08	733.19	633.73	366.09	10.96	1104.13	2319.15	1.1	2.03	0.0	0.27	2627.46	1697.45	2417.67	3212.66	6207.38	3564.78	1794.29	1651.0	954.43	3540.14	1844.76	769.69	1923.14	35.25
THAP10	43.63	71.0	46.18	66.18	29.91	27.05	29.91	14.56	12.0	9.63	29.91	14.03	19.97	0.0	0.0	76.71	108.9	127.0	92.05	111.99	113.56	80.57	67.12	128.79	74.58	66.18	42.41	60.39	31.45
TM2D1	748.61	1008.9	819.3	1151.06	476.71	872.1	713.11	796.86	674.59	688.78	775.05	688.78	547.75	0.0	0.67	941.27	775.05	1540.37	1277.29	1277.29	1250.98	878.17	1001.93	1467.37	1167.14	1369.04	769.69	1037.29	753.83
TMEM192	154.42	205.5	120.1	202.66	105.89	93.35	139.07	88.26	55.49	111.99	161.02	106.63	63.45	329.84	105.15	224.97	503.95	571.05	457.25	426.57	435.55	339.14	262.2	684.02	547.75	295.11	195.72	277.2	66.18
TMEM245	759.08	660.68	1529.73	563.18	384.34	341.51	273.37	301.33	170.25	1066.48	1857.6	212.78	172.65	287.01	748.61	660.68	1233.75	1721.16	836.53	1388.16	928.3	860.08	884.29	947.83	896.64	866.07	454.09	1519.15	438.59
TMEM56	44.57	229.72	101.54	135.24	62.56	76.17	76.71	9.13	1.33	27.05	65.72	1.68	0.6	0.0	0.09	194.36	260.38	363.56	152.28	503.95	301.33	483.38	470.14	83.45	660.68	229.72	221.86	208.38	58.71
TNS1	9344.14	8078.22	36864.92	4972.34	1991.0	3081.75	1769.57	9740.98	269.6	20593.91	29124.6	62.56	59.97	0.0	0.64	7280.4	12329.98	15824.9	4671.57	6840.04	10733.74	11112.3	6516.03	8022.41	10296.45	7695.57	5183.54	16045.82	884.29
TPD52L1	947.83	1359.57	1259.69	1769.57	647.07	738.29	674.59	656.11	633.73	743.43	150.17	1322.37	1073.91	0.0	0.61	3768.09	3235.01	3820.7	2163.77	4512.4	3212.66	7081.29	6887.62	4671.57	3820.7	2004.85	1369.04	1551.09	967.76
TRHDE	5.5	31.67	12.83	7.94	7.22	18.03	8.71	10.31	3.92	1.79	4.43	0.0	0.66	0.0	0.04	37.59	58.3	63.45	61.68	59.55	32.82	9.48	14.03	24.11	12.36	15.0	38.95	30.12	2.97
TRPV6	157.68	3.41	2.81	3.89	1.13	0.0	7.11	0.21	86.43	6.41	0.0	12.93	3.08	0.0	0.17	111.99	536.45	346.29	86.43	381.68	384.34	318.57	183.82	660.68	186.4	6.57	4.13	4.62	2.73
TSC22D3	6426.31	5403.7	6337.83	1674.06	1685.71	371.22	1015.93	4298.64	1331.57	3901.01	4802.93	1268.46	3039.3	0.0	0.32	6935.54	4181.07	7537.18	13776.25	12329.98	7857.29	3039.3	5831.91	9540.5	6121.9	3395.89	2240.11	2451.44	1268.46
TSPYL1	759.08	1096.5	1508.65	703.28	642.59	591.22	454.09	555.41	599.49	738.29	1191.69	688.78	587.13	753.83	2351.53	1508.65	2915.45	2434.5	2104.58	1923.14	2664.15	2061.24	1844.76	2502.97	1806.78	1037.29	961.07	1331.57	638.15
TSPYL5	246.28	312.0	703.28	182.55	94.67	122.64	110.43	92.05	15.8	173.85	289.02	8.99	14.56	0.0	0.42	420.68	738.29	1023.0	400.71	387.02	642.59	842.36	255.0	629.35	444.72	234.57	212.78	450.94	152.28
TSR2	1119.56	1216.75	1407.55	1119.56	1044.52	1088.92	1259.69	884.29	647.07	802.41	1066.48	764.36	723.08	808.0	283.05	1447.15	1250.98	1806.78	1733.13	1674.06	1909.85	1340.84	1551.09	1628.26	1709.26	1159.07	1191.69	1250.98	718.08
TTC6	0.0	0.0	0.0	0.1	3.99	0.0	0.0	0.0	2.84	0.0	0.0	0.69	0.0	0.0	0.16	45.85	67.59	67.59	7.69	118.43	41.22	38.67	30.56	100.83	33.3	6.06	2.27	14.78	0.0
TXNDC16	75.11	140.04	143.01	115.16	86.43	67.59	37.05	75.11	23.76	155.5	134.3	29.06	15.22	0.0	0.24	155.5	264.03	620.67	454.09	813.63	297.17	169.07	232.94	379.04	267.73	175.07	93.35	199.85	74.58
TYW3	473.41	447.82	591.22	466.88	376.41	287.01	348.71	356.05	299.25	392.44	571.05	312.0	209.84	0.0	0.49	532.74	486.75	559.28	647.07	713.11	559.28	476.71	441.64	591.22	836.53	595.34	356.05	500.46	529.06
UBQLN2	638.15	575.03	974.5	376.41	346.29	406.31	291.04	753.83	647.07	708.18	872.1	420.68	718.08	0.0	0.56	612.11	1051.79	1119.56	825.0	764.36	934.76	802.41	733.19	967.76	791.35	457.25	547.75	775.05	358.54
UFL1	248.0	409.15	351.14	348.71	236.21	339.14	303.44	242.88	303.44	297.17	363.56	152.28	171.45	291.04	90.14	371.22	503.95	941.27	603.67	532.74	728.11	392.44	447.82	476.71	759.08	460.44	273.37	547.75	226.54
VSTM2A	7.63	49.21	21.01	17.13	38.4	17.38	11.64	0.0	0.0	0.0	0.56	0.0	0.0	0.0	0.0	1277.29	2502.97	88.88	2417.67	5831.91	1295.13	343.89	1268.46	19.82	665.29	46.18	111.99	91.41	1.1
WFDC1	2758.13	2417.67	8421.31	1883.54	567.1	1769.57	500.46	981.29	68.07	217.27	379.04	85.22	87.65	0.0	0.44	8479.89	4736.79	3491.39	6250.56	11267.44	8247.98	16383.0	3443.31	1844.76	7280.4	1313.23	2400.97	1769.57	395.18
ZFAND5	3614.55	3280.18	3280.18	1870.53	2178.83	1277.29	1628.26	2018.8	2895.31	6426.31	4671.57	3103.19	2875.3	0.0	0.0	3716.2	4328.55	5711.87	7280.4	7857.29	4419.52	3491.39	2997.45	5183.54	3443.31	2417.67	2555.58	3515.68	2434.5
ZFHX3	178.77	97.36	256.78	50.27	94.67	62.12	84.63	90.14	33.06	175.07	241.19	27.84	50.98	28.24	47.5	135.24	303.44	368.65	248.0	281.09	228.13	180.02	165.57	253.23	305.55	85.82	98.04	201.25	50.63
ZNF106	381.68	395.18	579.04	351.14	358.54	206.94	214.27	890.44	279.14	1870.53	2520.38	137.14	99.43	0.0	0.33	819.3	1832.01	813.63	595.34	1088.92	842.36	872.1	559.28	567.1	753.83	444.72	361.04	713.11	301.33
ZNF287	57.49	90.14	111.99	93.35	85.22	182.55	100.83	100.83	21.32	74.58	117.6	8.13	22.1	0.0	0.0	108.9	92.05	133.36	171.45	239.52	199.85	106.63	119.26	178.77	154.42	66.18	56.68	94.01	46.18
ZNF416	80.01	92.05	82.29	68.55	28.65	41.22	73.03	112.77	32.59	62.56	65.26	44.89	44.57	0.0	0.0	74.58	77.25	127.0	121.79	129.69	124.37	88.26	102.97	102.25	88.88	88.88	54.72	103.69	47.17
ZNF510	120.1	124.37	180.02	108.9	103.69	81.14	81.14	74.06	64.34	120.1	124.37	65.26	53.95	0.0	0.16	122.64	178.77	223.41	108.14	265.87	167.9	121.79	186.4	89.51	167.9	153.34	92.05	208.38	136.19
