	TCGA.ZU.A8S4.11A.11R.A41I.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.DD.A4NL.01A.11R.A28V.07	TCGA.2Y.A9GT.01A.11R.A38B.07	TCGA.DD.A115.01A.11R.A131.07	TCGA.2Y.A9GV.01A.11R.A38B.07	TCGA.DD.A1ED.01A.11R.A155.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A1EE.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.OOBJ.0826.SM.3NB2K	GTEX.ZPU1.0826.SM.57WG2	GTEX.145MO.2326.SM.5NQ9K	GTEX.14753.1626.SM.5NQ9L	GTEX.UPK5.1426.SM.4JBHH	TCGA.EJ.7783.01A.11R.2118.07	TCGA.CH.5771.01A.21R.1580.07	TCGA.YL.A9WX.01A.21R.A41O.07	TCGA.CH.5738.01A.11R.1580.07	TCGA.EJ.7785.01A.11R.2118.07	TCGA.EJ.5502.01A.01R.1580.07	TCGA.MX.A5UG.01A.21R.A31P.31	TCGA.BR.8682.01A.11R.2402.13	TCGA.FP.8210.01A.11R.2343.13	TCGA.VQ.A922.01A.11R.A414.31
PIK3C2B	68.07	55.1	61.25	100.83	144.01	89.51	172.65	123.5	76.71	111.21	20.71	20.86	56.28	76.71	48.52	74.58	44.25	88.88	154.42	30.78	10.88	135.24	256.78	171.45	177.53	147.06	307.69	204.07	753.83	884.29	1023.0	397.93
PIP4K2B	154.42	166.73	199.85	201.25	293.07	291.04	301.33	237.86	162.14	289.02	117.6	80.01	146.03	224.97	141.02	175.07	143.01	251.48	104.42	135.24	67.59	217.27	813.63	785.88	607.87	521.76	764.36	612.11	684.02	693.58	902.89	1030.12
PKD1	417.77	301.33	389.72	480.04	1044.52	713.11	759.08	332.14	133.36	514.56	150.17	102.97	234.57	450.94	218.79	119.26	98.73	397.93	59.13	74.06	88.26	312.0	1594.73	1304.15	1540.37	954.43	1583.71	1286.18	2855.44	2701.35	3018.3	1757.34
PLEKHM2	264.03	320.8	381.68	323.03	447.82	529.06	429.54	353.59	269.6	426.57	217.27	224.97	180.02	387.02	198.47	297.17	232.94	351.14	232.94	224.97	136.19	356.05	791.35	890.44	785.88	703.28	738.29	825.0	1051.79	836.53	1104.13	1111.82
POLDIP3	371.22	466.88	490.14	435.55	703.28	514.56	624.99	514.56	376.41	521.76	320.8	339.14	373.81	559.28	384.34	400.71	351.14	423.61	242.88	450.94	204.07	403.5	1242.34	1437.15	1378.57	1183.45	1540.37	1322.37	1104.13	1037.29	1369.04	860.08
PPM1F	104.42	98.04	165.57	153.34	285.03	215.77	211.31	186.4	46.5	185.11	35.5	44.25	46.18	146.03	100.83	129.69	73.03	84.04	103.69	47.17	19.39	123.5	361.04	420.68	314.17	320.8	460.44	392.44	525.39	406.31	536.45	414.87
PPP1R26	111.99	91.41	140.04	111.21	248.0	169.07	232.94	107.38	64.34	178.77	108.14	81.14	81.14	157.68	101.54	83.45	92.7	135.24	40.64	62.12	111.21	105.15	457.25	366.09	356.05	279.14	423.61	323.03	307.69	518.15	299.25	567.1
PRR12	54.72	47.84	68.55	82.29	137.14	155.5	150.17	71.0	66.18	90.14	44.25	29.27	54.33	104.42	45.21	52.45	46.18	81.71	46.5	25.91	20.86	70.01	444.72	379.04	323.03	262.2	384.34	384.34	743.43	460.44	483.38	624.99
PRR14L	98.73	118.43	144.01	108.9	180.02	206.94	157.68	118.43	102.25	172.65	84.04	77.79	101.54	153.34	74.58	131.51	114.36	131.51	76.17	85.82	46.84	120.94	323.03	206.94	253.23	237.86	323.03	264.03	417.77	435.55	447.82	470.14
PRRC2B	460.44	497.0	660.68	503.95	1001.93	775.05	629.35	802.41	406.31	808.0	318.57	305.55	351.14	698.41	293.07	511.0	409.15	500.46	397.93	373.81	143.01	525.39	3103.19	2956.17	2119.22	2075.59	2935.74	2468.49	2777.33	2502.97	2104.58	2915.45
PSKH1	155.5	262.2	320.8	177.53	547.75	525.39	267.73	301.33	124.37	348.71	76.71	329.84	110.43	246.28	208.38	108.9	172.65	283.05	104.42	175.07	96.68	191.67	555.41	785.88	559.28	624.99	669.92	684.02	620.67	638.15	656.11	447.82
PSPN	15.0	23.08	19.82	14.14	20.26	18.29	25.35	22.75	14.14	24.81	7.22	14.78	12.93	24.81	15.68	14.56	15.34	18.97	5.11	13.83	7.69	16.75	34.75	52.08	43.94	26.47	22.59	38.95	31.9	28.04	40.64	22.59
PYGO2	209.84	361.04	412.0	323.03	414.87	629.35	454.09	346.29	241.19	285.03	190.34	226.54	253.23	279.14	198.47	198.47	215.77	325.29	208.38	190.34	171.45	281.09	780.44	842.36	764.36	536.45	703.28	708.18	599.49	620.67	651.58	890.44
RBM15B	165.57	145.02	277.2	159.9	221.86	253.23	232.94	256.78	137.14	242.88	154.42	175.07	162.14	218.79	138.1	205.5	157.68	197.09	166.73	165.57	77.79	181.28	688.78	660.68	426.57	503.95	684.02	547.75	624.99	503.95	503.95	738.29
REPIN1	954.43	1295.13	2609.3	1359.57	2303.12	2319.15	2104.58	1540.37	954.43	1340.84	1008.9	698.41	1030.12	1447.15	902.89	785.88	791.35	1259.69	536.45	748.61	713.11	1096.5	2287.2	2609.3	2090.03	2224.63	2104.58	2537.92	3039.3	3540.14	2976.74	3540.14
RGP1	111.21	105.15	154.42	82.29	191.67	339.14	75.64	112.77	126.12	183.82	97.36	63.89	107.38	180.02	91.41	136.19	112.77	133.36	94.67	84.63	50.27	111.99	476.71	432.53	339.14	361.04	490.14	420.68	438.59	503.95	450.94	435.55
RP11-1055B8.7	32.36	31.0	52.45	48.18	71.5	124.37	98.04	53.95	20.41	68.55	18.29	18.16	27.44	34.02	21.94	28.04	21.32	82.29	13.03	14.24	8.13	40.93	269.6	129.69	165.57	147.06	234.57	163.28	368.65	379.04	209.84	384.34
RXRB	460.44	529.06	536.45	563.18	860.08	583.07	1286.18	785.88	414.87	511.0	325.29	348.71	381.68	579.04	403.5	351.14	341.51	397.93	264.03	346.29	248.0	466.88	842.36	909.17	1104.13	728.11	738.29	872.1	748.61	769.69	791.35	647.07
SAA2	932018.1	1800541.22	1108362.75	1903204.61	450134.56	21617.82	1048575.0	2691538.19	3601083.44	1813064.98	35856.82	98646.85	822695.06	569761.05	1402917.72	2425749.94	3049200.37	863596.77	1041331.96	964885.69	502929.67	851707.37	193.01	713.11	607.87	10440.2	293.07	21919.61	312.0	3.69	150.17	33.06
SBF1	242.88	669.92	579.04	305.55	791.35	753.83	591.22	356.05	105.89	325.29	164.42	115.16	161.02	373.81	194.36	165.57	186.4	267.73	82.29	167.9	130.6	228.13	642.59	947.83	878.17	693.58	1023.0	825.0	1806.78	1457.23	1313.23	1037.29
SETDB1	281.09	336.79	366.09	329.84	454.09	473.41	525.39	356.05	231.32	473.41	191.67	208.38	256.78	392.44	195.72	281.09	265.87	244.57	307.69	166.73	72.01	277.2	733.19	525.39	587.13	511.0	698.41	547.75	780.44	521.76	753.83	848.22
SIPA1L3	81.14	63.0	82.29	140.04	151.22	146.03	228.13	67.59	60.82	87.03	34.26	29.91	42.41	115.97	41.52	47.17	51.71	63.89	36.27	49.91	22.26	70.51	733.19	473.41	435.55	490.14	743.43	665.29	961.07	1143.1	595.34	860.08
SLC35E2B	185.11	381.68	381.68	373.81	551.56	693.58	403.5	381.68	152.28	346.29	86.43	94.01	129.69	400.71	149.12	171.45	157.68	237.86	69.52	128.79	95.34	242.88	1508.65	872.1	954.43	759.08	1369.04	1015.93	1437.15	1417.35	1322.37	1662.49
SLC9A8	144.01	202.66	191.67	143.01	332.14	209.84	260.38	170.25	128.79	221.86	115.16	121.79	111.21	181.28	123.5	151.22	115.16	206.94	124.37	100.13	43.63	136.19	283.05	287.01	262.2	204.07	309.83	297.17	389.72	674.59	361.04	660.68
STK35	81.14	98.73	124.37	70.51	167.9	187.71	123.5	134.3	51.71	183.82	67.12	43.32	77.25	108.9	63.0	87.03	88.88	112.77	32.82	74.06	31.9	96.01	417.77	299.25	303.44	314.17	376.41	295.11	400.71	334.46	295.11	559.28
TAB1	202.66	285.03	287.01	267.73	314.17	392.44	348.71	246.28	244.57	267.73	186.4	187.71	226.54	332.14	228.13	189.02	215.77	264.03	172.65	251.48	217.27	220.32	503.95	579.04	490.14	454.09	486.75	497.0	392.44	329.84	397.93	497.0
TAOK2	277.2	389.72	366.09	423.61	603.67	460.44	529.06	400.71	223.41	343.89	187.71	176.29	208.38	325.29	195.72	187.71	170.25	279.14	199.85	191.67	79.45	239.52	651.58	703.28	791.35	460.44	616.37	688.78	813.63	819.3	693.58	909.17
TBC1D13	152.28	246.28	281.09	154.42	363.56	376.41	460.44	208.38	134.3	327.56	131.51	74.06	153.34	287.01	158.79	111.21	139.07	242.88	73.03	114.36	50.98	214.27	579.04	785.88	599.49	457.25	669.92	679.29	529.06	693.58	651.58	780.44
TBC1D14	234.57	275.28	297.17	193.01	392.44	356.05	954.43	368.65	206.94	575.03	122.64	128.79	198.47	353.59	206.94	299.25	202.66	258.57	124.37	301.33	128.79	170.25	1151.06	738.29	819.3	713.11	1208.34	860.08	1199.98	1594.73	909.17	1135.2
TBCC	194.36	251.48	316.37	260.38	287.01	262.2	384.34	275.28	197.09	244.57	170.25	134.3	169.07	258.57	155.5	156.59	206.94	334.46	155.5	185.11	74.58	229.72	363.56	432.53	457.25	332.14	417.77	409.15	403.5	454.09	540.19	1350.18
TECPR1	120.1	164.42	236.21	167.9	299.25	212.78	255.0	129.69	84.04	136.19	57.89	55.1	75.64	183.82	88.88	107.38	53.95	133.36	57.89	88.26	57.49	164.42	395.18	514.56	591.22	511.0	403.5	563.18	493.56	669.92	392.44	348.71
TECPR2	67.12	76.17	108.9	67.12	94.67	123.5	104.42	105.15	70.01	91.41	55.89	40.64	49.56	111.21	63.45	66.65	51.71	90.14	40.64	50.63	57.49	52.82	262.2	232.94	182.55	258.57	301.33	327.56	429.54	205.5	336.79	295.11
TNPO2	202.66	279.14	255.0	314.17	543.96	318.57	460.44	277.2	193.01	239.52	172.65	208.38	221.86	264.03	191.67	205.5	177.53	228.13	264.03	82.29	91.41	172.65	1119.56	928.3	819.3	633.73	819.3	830.75	1030.12	1135.2	723.08	1183.45
TRIM65	84.04	119.26	125.24	114.36	91.41	185.11	185.11	117.6	69.52	130.6	49.21	48.18	65.26	96.01	67.59	77.25	59.97	74.58	30.56	57.49	45.85	173.85	395.18	327.56	277.2	246.28	291.04	312.0	403.5	389.72	423.61	624.99
TSC1	74.06	98.04	65.72	100.13	178.77	136.19	144.01	112.77	68.07	103.69	45.85	40.64	57.49	102.25	47.17	62.12	61.68	84.63	51.35	55.1	15.45	74.06	363.56	269.6	281.09	215.77	289.02	264.03	441.64	438.59	316.37	629.35
TTL	146.03	183.82	191.67	155.5	234.57	329.84	181.28	460.44	145.02	173.85	98.73	77.25	116.78	194.36	120.94	197.09	108.14	187.71	132.44	100.83	67.59	127.89	208.38	232.94	218.79	229.72	202.66	273.37	525.39	384.34	384.34	579.04
TXLNA	435.55	616.37	551.56	507.46	738.29	884.29	830.75	559.28	417.77	599.49	500.46	559.28	532.74	656.11	403.5	583.07	339.14	447.82	518.15	426.57	231.32	429.54	825.0	723.08	796.86	669.92	819.3	878.17	733.19	616.37	723.08	1081.39
UBE2G2	599.49	599.49	785.88	764.36	928.3	947.83	1127.35	703.28	703.28	785.88	624.99	728.11	612.11	769.69	688.78	674.59	563.18	848.22	669.92	595.34	420.68	802.41	1066.48	909.17	1081.39	860.08	1008.9	967.76	909.17	1447.15	1331.57	1605.83
UBE4B	305.55	287.01	295.11	450.94	426.57	551.56	507.46	392.44	381.68	373.81	199.85	165.57	289.02	435.55	271.48	279.14	256.78	351.14	392.44	171.45	95.34	366.09	1088.92	713.11	780.44	708.18	934.76	848.22	921.88	1127.35	941.27	753.83
UBN1	167.9	197.09	248.0	169.07	339.14	351.14	241.19	189.02	180.02	303.44	191.67	95.34	100.13	236.21	117.6	194.36	133.36	297.17	120.1	120.94	134.3	171.45	571.05	500.46	547.75	395.18	540.19	483.38	693.58	738.29	500.46	723.08
UNC119B	54.72	119.26	101.54	72.52	241.19	177.53	120.1	163.28	37.59	145.02	25.54	19.82	29.48	82.87	44.89	44.57	52.82	136.19	42.41	44.25	12.0	98.04	703.28	698.41	470.14	547.75	708.18	551.56	392.44	1572.76	457.25	366.09
UNKL	107.38	134.3	209.84	183.82	381.68	423.61	420.68	212.78	59.97	137.14	59.13	75.11	72.01	191.67	81.71	43.63	65.72	90.77	82.87	45.21	56.68	156.59	780.44	307.69	769.69	389.72	620.67	583.07	480.04	486.75	579.04	334.46
USP22	460.44	651.58	703.28	543.96	507.46	1628.26	420.68	934.76	392.44	884.29	295.11	231.32	414.87	743.43	358.54	507.46	412.0	764.36	397.93	529.06	166.73	397.93	3443.31	2758.13	2319.15	2148.82	2915.45	2400.97	3349.13	2287.2	3372.43	3955.48
VMAC	33.3	27.25	66.65	59.13	76.17	83.45	78.34	37.59	35.5	57.08	17.64	14.67	25.54	47.5	31.9	26.67	27.44	66.18	22.59	19.68	42.41	45.85	217.27	152.28	201.25	186.4	183.82	199.85	116.78	130.6	163.28	105.89
WASF2	223.41	258.57	332.14	218.79	493.56	486.75	329.84	307.69	209.84	497.0	98.04	82.87	135.24	363.56	119.26	241.19	231.32	287.01	150.17	163.28	105.15	209.84	1697.45	1369.04	1044.52	1216.75	1605.83	1407.55	2163.77	1757.34	1936.53	2178.83
WDR37	92.05	92.05	86.43	105.15	162.14	120.1	135.24	124.37	81.14	157.68	67.59	60.82	63.89	115.97	60.82	99.43	73.54	90.14	51.35	49.91	32.82	73.54	327.56	221.86	239.52	348.71	511.0	307.69	327.56	329.84	327.56	133.36
WDTC1	450.94	403.5	400.71	466.88	587.13	470.14	525.39	473.41	429.54	599.49	285.03	231.32	373.81	684.02	403.5	423.61	395.18	587.13	262.2	438.59	438.59	540.19	988.12	1073.91	915.51	854.13	915.51	1059.11	1081.39	1001.93	902.89	1277.29
ZBTB22	143.01	267.73	217.27	166.73	267.73	293.07	343.89	255.0	125.24	255.0	77.25	68.07	164.42	218.79	145.02	137.14	127.0	148.09	100.13	126.12	172.65	206.94	500.46	529.06	500.46	414.87	463.65	441.64	279.14	223.41	269.6	275.28
ZBTB39	26.28	29.91	38.67	25.72	43.94	66.18	75.11	39.79	19.11	33.3	16.27	14.03	24.28	47.84	18.7	26.86	23.08	40.07	26.28	13.22	5.92	44.25	128.79	78.89	84.04	74.06	127.89	85.82	144.01	104.42	100.83	271.48
ZBTB40	30.78	49.56	72.01	50.98	133.36	84.63	94.01	52.45	20.41	63.45	16.75	13.93	29.27	55.1	20.56	31.9	27.44	38.12	29.7	21.94	4.9	39.79	316.37	258.57	251.48	199.85	389.72	209.84	329.84	289.02	255.0	607.87
ZC3H10	77.25	101.54	83.45	93.35	94.01	130.6	120.94	84.04	87.65	92.7	49.56	48.52	58.3	108.14	75.64	55.49	62.12	105.15	60.39	62.12	43.94	86.43	193.01	204.07	163.28	115.97	149.12	158.79	139.07	110.43	148.09	185.11
ZC3H4	131.51	157.68	170.25	217.27	205.5	217.27	237.86	226.54	214.27	251.48	157.68	135.24	193.01	255.0	102.97	291.04	180.02	194.36	85.22	170.25	60.39	103.69	629.35	454.09	406.31	379.04	660.68	500.46	551.56	563.18	660.68	616.37
ZC3H7B	543.96	432.53	450.94	426.57	921.88	759.08	1044.52	444.72	540.19	921.88	450.94	332.14	476.71	748.61	521.76	486.75	514.56	525.39	277.2	543.96	291.04	536.45	1467.37	1191.69	1127.35	1051.79	1359.57	1250.98	1151.06	1081.39	941.27	890.44
ZFYVE20	96.01	142.01	94.67	109.66	154.42	164.42	169.07	149.12	120.94	204.07	68.07	74.06	94.01	189.02	82.87	181.28	76.71	143.01	147.06	67.59	47.5	121.79	339.14	285.03	234.57	224.97	373.81	256.78	381.68	339.14	320.8	332.14
ZFYVE26	68.55	68.55	142.01	73.54	131.51	127.89	122.64	78.34	73.54	96.68	19.53	15.91	35.25	102.97	34.02	59.13	42.71	78.34	61.68	35.25	20.56	56.28	170.25	144.01	142.01	128.79	162.14	148.09	356.05	289.02	325.29	368.65
ZMYM3	116.78	141.02	191.67	173.85	246.28	267.73	211.31	149.12	209.84	271.48	65.72	48.87	159.9	224.97	95.34	123.5	111.99	246.28	134.3	66.18	88.88	211.31	616.37	441.64	351.14	371.22	603.67	351.14	497.0	316.37	460.44	595.34
ZNF133	77.79	97.36	155.5	128.79	141.02	145.02	177.53	115.97	95.34	142.01	77.79	88.26	80.57	118.43	63.89	90.77	96.68	111.99	69.03	82.29	42.71	120.94	318.57	285.03	366.09	195.72	275.28	264.03	283.05	205.5	242.88	429.54
ZNF142	50.98	64.34	84.63	76.17	85.82	88.88	126.12	59.13	40.93	78.89	27.25	32.13	31.45	82.87	24.46	53.95	50.98	60.82	33.78	29.7	15.8	48.18	341.51	271.48	262.2	236.21	332.14	299.25	536.45	414.87	514.56	587.13
ZNF2	23.25	41.52	22.92	28.65	42.11	37.05	32.13	34.51	23.25	21.94	25.72	20.26	21.63	31.45	20.41	18.29	23.25	24.63	27.84	15.11	9.06	23.42	63.0	58.3	62.12	50.98	61.68	59.55	54.33	64.8	62.12	59.55
ZNF319	60.82	45.85	96.68	70.51	69.03	104.42	95.34	99.43	77.25	57.89	55.1	37.85	62.56	73.03	38.67	78.34	43.63	88.26	46.18	67.59	29.48	84.63	159.9	176.29	113.56	128.79	209.84	172.65	223.41	258.57	366.09	118.43
ZNF436	36.53	45.53	62.12	64.34	73.03	83.45	97.36	83.45	38.95	36.79	32.36	31.0	39.5	59.97	32.36	58.3	43.02	88.88	53.57	30.12	21.01	46.84	403.5	363.56	239.52	414.87	309.83	429.54	312.0	323.03	397.93	173.85
ZNF646	46.84	45.21	67.12	56.68	117.6	92.7	81.14	69.52	34.51	51.71	28.04	16.03	16.03	74.58	27.25	41.22	28.24	49.56	25.17	15.68	15.56	30.56	299.25	202.66	199.85	151.22	232.94	226.54	307.69	291.04	289.02	438.59
ZNF740	107.38	211.31	231.32	146.03	323.03	239.52	289.02	201.25	73.03	161.02	78.89	57.08	96.68	161.02	70.01	85.82	101.54	138.1	51.35	65.72	58.3	176.29	547.75	400.71	540.19	363.56	595.34	435.55	381.68	403.5	503.95	470.14
ZNF785	34.02	48.87	38.67	77.25	127.0	66.65	148.09	62.12	26.47	50.63	34.75	30.12	32.13	49.21	27.25	35.76	23.42	53.19	15.56	25.35	13.72	40.64	299.25	215.77	249.73	226.54	212.78	221.86	285.03	334.46	395.18	358.54
