	TCGA.K7.A5RF.01A.11R.A28V.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.ED.A627.01A.12R.A311.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.BC.A10T.11A.11R.A131.07	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.13FTW.1126.SM.5J2NV	GTEX.14753.1626.SM.5NQ9L	GTEX.S4Z8.0526.SM.4AD4T	TCGA.HC.7745.11A.01R.2118.07	TCGA.HC.7211.11A.01R.2118.07	TCGA.HC.7737.11A.02R.2118.07	TCGA.HC.8258.11A.01R.2263.07	TCGA.HC.7738.11A.01R.2118.07	TCGA.HC.7747.11A.01R.2118.07	TCGA.HC.7740.11A.01R.2118.07	GTEX.Y8E4.2126.SM.5RQHO	GTEX.ZTTD.2726.SM.57WFA	TCGA.DJ.A3US.01A.11R.A22L.07	TCGA.EL.A3ZT.11A.13R.A23N.07	TCGA.KS.A41J.11A.12R.A23N.07	TCGA.H2.A2K9.11A.11R.A180.07	TCGA.H2.A3RI.11A.11R.A220.07	GTEX.ZAB5.0726.SM.5P9JG	GTEX.ZQG8.0926.SM.57WFF	GTEX.14AS3.0226.SM.5Q5B6	GTEX.11EQ8.0826.SM.5N9FG	GTEX.13NZ8.0226.SM.5J2OK	GTEX.13W46.0926.SM.5LU3T	GTEX.V1D1.0926.SM.4JBHQ
NPHP4	46.18	13.22	61.68	45.85	7.94	17.38	71.5	8.19	46.18	2.92	22.26	116.78	82.29	101.54	105.15	89.51	107.38	136.19	85.82	95.34	303.44	327.56	332.14	287.01	303.44	299.25	246.28	260.38	379.04	316.37	409.15	457.25
NPIPB11	9.13	12.74	10.16	0.0	5.41	4.98	5.11	1.97	8.85	1.39	4.13	12.64	16.88	10.55	13.93	17.25	11.82	14.56	9.63	15.45	24.63	55.49	43.32	47.17	59.55	38.4	35.0	97.36	72.01	44.25	70.01	78.34
OGT	336.79	277.2	547.75	177.53	197.09	258.57	503.95	264.03	224.97	120.94	392.44	759.08	896.64	563.18	802.41	1001.93	633.73	1250.98	1216.75	1175.27	1936.53	2178.83	1832.01	2047.0	1896.65	1662.49	1088.92	3928.15	2319.15	2178.83	2485.67	1721.16
PAPOLG	57.89	38.67	91.41	25.17	42.11	59.97	34.26	55.1	27.64	28.24	39.22	112.77	92.7	129.69	88.88	126.12	108.9	155.5	130.6	221.86	320.8	358.54	454.09	387.02	454.09	511.0	291.04	466.88	373.81	500.46	567.1	444.72
PBX2	791.35	703.28	866.07	346.29	361.04	599.49	356.05	397.93	420.68	301.33	476.71	1350.18	1340.84	1159.07	1023.0	1378.57	1073.91	1397.83	1662.49	1135.2	1819.35	2224.63	2018.8	1977.24	2133.97	2645.74	1883.54	2090.03	2133.97	1662.49	2835.7	2537.92
PHF10	620.67	460.44	896.64	409.15	583.07	633.73	339.14	327.56	470.14	406.31	629.35	1023.0	1037.29	1008.9	941.27	1159.07	947.83	1225.22	1199.98	1477.58	934.76	1096.5	1030.12	1277.29	1104.13	1397.83	988.12	1685.71	2104.58	2090.03	1794.29	1143.1
PHLPP2	38.95	22.43	46.84	17.25	33.78	36.01	44.89	34.26	32.59	7.94	25.35	73.54	28.04	47.17	42.41	62.12	43.32	59.13	56.68	54.33	117.6	194.36	172.65	208.38	161.02	190.34	159.9	329.84	249.73	209.84	199.85	187.71
PRDM11	58.3	19.53	60.39	30.34	24.28	26.47	27.05	35.76	28.86	13.03	41.81	253.23	86.43	161.02	147.06	201.25	141.02	147.06	205.5	151.22	137.14	239.52	244.57	229.72	198.47	279.14	232.94	165.57	412.0	571.05	166.73	208.38
PXK	224.97	149.12	258.57	52.45	109.66	147.06	149.12	92.7	120.1	92.05	429.54	299.25	158.79	314.17	237.86	291.04	273.37	343.89	236.21	368.65	1073.91	1936.53	2004.85	1991.0	1583.71	1277.29	1340.84	2351.53	1733.13	1697.45	1674.06	1909.85
QSOX2	109.66	103.69	128.79	73.54	101.54	88.26	85.82	92.7	79.45	30.78	96.68	81.14	102.97	99.43	98.04	94.67	87.03	180.02	77.25	153.34	242.88	301.33	361.04	279.14	265.87	289.02	220.32	470.14	426.57	493.56	514.56	387.02
RABL2B	239.52	175.07	307.69	153.34	108.14	229.72	131.51	105.15	124.37	87.65	176.29	616.37	395.18	543.96	500.46	466.88	435.55	525.39	587.13	583.07	884.29	1143.1	1127.35	928.3	1096.5	1268.46	836.53	1594.73	1794.29	1250.98	1594.73	1721.16
RAD52	54.33	41.22	104.42	24.81	31.0	57.89	65.26	27.25	46.18	20.71	52.45	167.9	173.85	140.04	159.9	105.89	129.69	289.02	244.57	279.14	299.25	638.15	457.25	470.14	432.53	607.87	239.52	836.53	759.08	567.1	769.69	529.06
RBM5	718.08	595.34	1119.56	242.88	536.45	507.46	624.99	397.93	417.77	507.46	480.04	1709.26	1781.89	1242.34	1594.73	1909.85	1268.46	1991.0	2004.85	1628.26	3103.19	3690.52	3491.39	2956.17	3419.52	3103.19	2400.97	5006.93	4239.45	3257.52	4010.71	4736.79
RILPL1	124.37	127.89	231.32	61.68	68.07	90.77	50.63	44.57	49.56	40.07	60.82	480.04	214.27	287.01	193.01	336.79	211.31	279.14	255.0	371.22	521.76	660.68	753.83	567.1	753.83	547.75	579.04	669.92	1216.75	1167.14	934.76	1225.22
RNASEL	57.49	57.49	67.59	32.82	25.91	23.42	53.57	28.86	45.53	43.32	68.07	151.22	72.01	182.55	133.36	181.28	138.1	178.77	231.32	234.57	223.41	241.19	237.86	232.94	234.57	297.17	198.47	316.37	295.11	248.0	229.72	209.84
RNF170	204.07	91.41	195.72	102.97	139.07	197.09	155.5	166.73	231.32	109.66	194.36	229.72	248.0	307.69	305.55	366.09	258.57	318.57	435.55	463.65	444.72	802.41	688.78	665.29	603.67	525.39	642.59	775.05	555.41	457.25	587.13	802.41
RNF214	291.04	265.87	299.25	201.25	142.01	202.66	193.01	151.22	162.14	161.02	255.0	441.64	244.57	363.56	373.81	429.54	373.81	327.56	503.95	518.15	511.0	616.37	480.04	490.14	438.59	616.37	450.94	599.49	656.11	518.15	603.67	665.29
RNF217	108.14	49.56	122.64	89.51	100.83	84.63	63.0	102.25	48.87	169.07	39.5	190.34	108.9	161.02	130.6	204.07	107.38	206.94	167.9	256.78	215.77	305.55	301.33	262.2	224.97	366.09	249.73	583.07	314.17	320.8	334.46	267.73
RNF44	246.28	343.89	392.44	149.12	178.77	139.07	320.8	129.69	151.22	142.01	147.06	575.03	435.55	607.87	417.77	511.0	503.95	559.28	483.38	473.41	743.43	967.76	860.08	1001.93	684.02	941.27	647.07	1135.2	890.44	753.83	902.89	1183.45
RUFY3	325.29	150.17	429.54	81.14	255.0	258.57	231.32	392.44	212.78	156.59	248.0	483.38	291.04	358.54	346.29	389.72	303.44	490.14	460.44	521.76	1498.22	2287.2	1909.85	1950.0	1709.26	1487.87	1529.73	1498.22	1583.71	1583.71	1697.45	2520.38
S100PBP	127.89	124.37	187.71	30.78	83.45	124.37	57.89	55.49	38.12	65.26	69.03	264.03	251.48	246.28	283.05	376.41	279.14	332.14	332.14	392.44	392.44	447.82	441.64	438.59	397.93	412.0	323.03	633.73	503.95	454.09	587.13	563.18
SEMA4D	139.07	48.18	237.86	43.94	23.08	53.19	109.66	31.9	36.01	36.01	34.51	287.01	262.2	412.0	293.07	283.05	307.69	318.57	325.29	303.44	612.11	679.29	616.37	780.44	599.49	733.19	363.56	1322.37	1388.16	1340.84	909.17	1191.69
SEMG1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.04	2232145.06	3134925.09	2636147.11	4817989.11	3576208.94	4433454.0	3336720.86	4817989.11	353168.2	0.0	0.0	0.0	0.0	0.0	0.0	1.71	0.0	0.0	0.0	0.0	1.57
SETX	318.57	205.5	447.82	94.67	281.09	358.54	312.0	305.55	232.94	148.09	255.0	532.74	395.18	521.76	414.87	532.74	417.77	497.0	480.04	603.67	836.53	1286.18	1225.22	1183.45	1030.12	947.83	1104.13	1313.23	1051.79	1233.75	1208.34	1250.98
SGK494	14.14	12.27	22.26	3.76	14.35	12.27	10.79	21.63	8.85	5.11	18.56	48.87	57.89	41.52	49.21	75.11	38.95	61.68	92.7	80.57	126.12	190.34	147.06	164.42	154.42	149.12	85.22	191.67	132.44	93.35	144.01	115.16
SLC5A3	47.17	8.85	17.51	18.03	65.26	15.68	5.41	17.9	6.78	7.4	39.5	79.45	61.68	161.02	39.79	166.73	100.83	262.2	127.89	90.77	264.03	529.06	607.87	723.08	417.77	1175.27	303.44	1457.23	1208.34	1508.65	1127.35	612.11
SLC7A6OS	86.43	72.01	120.1	51.35	60.82	75.64	85.22	49.56	58.3	21.47	69.03	217.27	173.85	214.27	181.28	191.67	167.9	185.11	177.53	154.42	244.57	289.02	323.03	356.05	297.17	332.14	325.29	334.46	361.04	312.0	318.57	301.33
SMG1	132.44	58.71	159.9	33.78	115.97	90.77	92.05	82.29	74.58	52.82	98.73	241.19	161.02	202.66	206.94	264.03	204.07	291.04	253.23	204.07	341.51	587.13	450.94	507.46	457.25	473.41	463.65	441.64	791.35	591.22	567.1	432.53
SNRNP48	85.82	75.11	101.54	25.54	82.87	85.82	98.73	42.11	54.33	56.68	83.45	106.63	117.6	118.43	105.15	135.24	120.1	157.68	153.34	180.02	126.12	229.72	217.27	204.07	186.4	246.28	155.5	256.78	384.34	392.44	291.04	226.54
SPDYE1	1.46	0.0	4.24	0.88	0.93	1.01	1.62	1.99	1.36	0.09	2.78	4.74	4.86	4.21	5.45	3.53	3.89	3.92	5.73	4.7	4.5	14.67	11.73	9.48	11.3	18.7	7.75	10.96	8.78	10.16	14.03	15.8
STX16	366.09	348.71	466.88	165.57	223.41	232.94	283.05	236.21	172.65	153.34	249.73	669.92	1059.11	595.34	660.68	836.53	638.15	1104.13	866.07	1023.0	941.27	1242.34	1175.27	974.5	961.07	1277.29	902.89	1313.23	1551.09	1467.37	1896.65	1519.15
TAS2R5	7.69	2.51	6.78	0.0	0.0	0.0	5.45	0.4	0.0	0.0	2.71	5.96	14.35	12.27	5.59	10.24	9.27	12.93	17.38	11.38	22.26	41.52	33.06	38.4	39.79	40.07	22.1	61.25	44.57	37.59	43.32	40.36
TBCK	136.19	61.68	215.77	107.38	94.67	144.01	112.77	111.21	125.24	64.34	113.56	361.04	325.29	351.14	291.04	366.09	305.55	414.87	414.87	420.68	463.65	532.74	511.0	473.41	476.71	579.04	441.64	808.0	941.27	753.83	780.44	579.04
TP53BP1	187.71	102.97	242.88	73.03	43.02	116.78	62.56	49.21	72.01	31.45	67.59	507.46	356.05	457.25	368.65	450.94	379.04	503.95	529.06	417.77	708.18	748.61	656.11	825.0	684.02	890.44	595.34	941.27	1073.91	775.05	830.75	909.17
TRAF6	63.89	73.03	90.77	60.82	81.71	107.38	95.34	83.45	62.12	42.71	69.52	104.42	67.59	135.24	105.15	108.9	131.51	108.14	147.06	145.02	136.19	218.79	205.5	177.53	132.44	248.0	199.85	194.36	237.86	234.57	212.78	190.34
TRIP4	312.0	379.04	389.72	159.9	214.27	244.57	246.28	175.07	164.42	202.66	231.32	348.71	316.37	441.64	525.39	376.41	332.14	389.72	454.09	559.28	753.83	665.29	947.83	738.29	866.07	785.88	684.02	854.13	1594.73	1051.79	954.43	728.11
TRMT10B	66.65	62.12	130.6	33.54	43.94	56.28	43.02	38.4	36.53	40.36	43.32	215.77	157.68	169.07	191.67	232.94	202.66	214.27	273.37	226.54	241.19	417.77	343.89	334.46	305.55	334.46	241.19	476.71	435.55	525.39	529.06	483.38
TTBK2	48.87	11.55	47.17	21.78	28.04	29.48	17.9	26.28	16.88	26.67	21.16	111.99	52.08	108.14	73.54	97.36	84.63	92.7	127.89	98.04	75.11	117.6	102.97	120.1	88.88	155.5	78.34	140.04	161.02	141.02	140.04	115.16
TTC21A	46.5	35.25	63.89	17.77	21.78	24.46	31.45	21.63	21.16	7.46	37.32	108.9	132.44	62.56	120.1	145.02	149.12	195.72	148.09	85.82	185.11	343.89	255.0	232.94	264.03	299.25	226.54	376.41	285.03	249.73	356.05	511.0
TTC7A	325.29	137.14	346.29	138.1	101.54	143.01	167.9	105.15	153.34	153.34	164.42	412.0	327.56	395.18	529.06	351.14	363.56	392.44	379.04	307.69	529.06	638.15	532.74	669.92	703.28	679.29	497.0	647.07	743.43	748.61	688.78	521.76
UBAP1L	18.84	21.78	21.63	8.0	12.64	7.63	17.64	11.64	8.19	22.43	11.47	43.94	51.35	43.32	39.5	67.12	30.34	71.5	54.33	80.57	68.55	197.09	166.73	110.43	120.1	108.14	93.35	173.85	170.25	201.25	165.57	183.82
UBE2G2	759.08	591.22	813.63	665.29	624.99	612.11	733.19	825.0	591.22	420.68	796.86	1208.34	842.36	854.13	802.41	1044.52	842.36	981.29	967.76	1322.37	1250.98	1388.16	1628.26	1313.23	1487.87	1583.71	1135.2	1313.23	2119.22	1685.71	2075.59	1268.46
UBE3B	269.6	246.28	269.6	244.57	186.4	187.71	307.69	185.11	228.13	142.01	258.57	460.44	384.34	500.46	368.65	444.72	432.53	403.5	713.11	536.45	493.56	738.29	595.34	624.99	567.1	638.15	493.56	753.83	769.69	743.43	738.29	723.08
ULBP3	9.48	1.64	15.34	0.0	3.99	2.48	6.62	37.85	23.25	6.01	13.03	10.47	9.63	16.63	6.46	9.2	11.64	25.17	19.97	16.63	96.01	85.22	53.19	59.97	98.04	114.36	84.04	76.17	149.12	96.68	63.45	41.22
VPS8	165.57	175.07	211.31	102.25	112.77	101.54	103.69	99.43	99.43	67.59	119.26	293.07	223.41	244.57	217.27	220.32	209.84	258.57	460.44	295.11	409.15	497.0	470.14	591.22	457.25	454.09	656.11	536.45	612.11	624.99	579.04	624.99
WDR33	376.41	260.38	454.09	275.28	463.65	403.5	249.73	361.04	303.44	511.0	242.88	460.44	395.18	514.56	460.44	543.96	441.64	473.41	567.1	693.58	567.1	642.59	587.13	595.34	620.67	660.68	587.13	941.27	769.69	802.41	902.89	896.64
WDR59	624.99	351.14	647.07	616.37	555.41	463.65	397.93	312.0	363.56	674.59	381.68	638.15	583.07	514.56	638.15	633.73	599.49	642.59	738.29	656.11	872.1	1250.98	1104.13	981.29	1081.39	1023.0	688.78	1487.87	1529.73	1159.07	1467.37	1397.83
ZBTB1	185.11	101.54	316.37	59.13	172.65	201.25	190.34	133.36	106.63	147.06	116.78	301.33	221.86	248.0	258.57	312.0	249.73	368.65	371.22	483.38	529.06	674.59	708.18	633.73	497.0	819.3	624.99	1081.39	934.76	909.17	909.17	753.83
ZBTB25	59.13	141.02	87.03	18.43	57.89	102.25	50.27	60.82	41.52	50.98	41.22	151.22	81.14	114.36	149.12	90.77	88.26	115.97	139.07	144.01	182.55	251.48	197.09	246.28	165.57	279.14	163.28	307.69	232.94	185.11	251.48	256.78
ZBTB26	23.42	9.63	43.32	8.85	15.56	18.84	12.93	8.51	8.51	2.94	12.45	125.24	77.25	112.77	86.43	122.64	96.68	118.43	142.01	125.24	133.36	220.32	166.73	194.36	180.02	195.72	138.1	279.14	195.72	220.32	208.38	220.32
ZCCHC11	389.72	500.46	555.41	92.05	269.6	414.87	253.23	157.68	269.6	237.86	267.73	521.76	511.0	567.1	486.75	591.22	486.75	555.41	540.19	713.11	896.64	1023.0	1001.93	928.3	1015.93	1081.39	915.51	1447.15	1369.04	1183.45	1159.07	1250.98
ZNF140	212.78	152.28	277.2	77.25	167.9	253.23	166.73	151.22	120.94	119.26	129.69	346.29	403.5	366.09	358.54	447.82	341.51	387.02	400.71	476.71	450.94	525.39	521.76	529.06	486.75	559.28	511.0	684.02	567.1	607.87	665.29	830.75
ZNF169	10.88	29.06	24.99	5.41	4.35	9.63	7.75	2.56	4.58	0.04	9.48	42.71	38.4	26.67	38.95	48.52	49.91	51.71	85.22	70.51	79.45	180.02	121.79	118.43	134.3	121.79	107.38	164.42	100.83	75.11	127.89	185.11
ZNF230	19.53	14.14	31.45	10.16	27.44	20.71	14.14	10.88	25.17	6.67	21.16	39.5	43.94	52.08	56.68	48.52	59.55	63.45	51.71	69.52	71.0	95.34	96.01	82.87	92.05	81.71	82.87	99.43	97.36	120.94	85.22	84.63
ZNF274	232.94	199.85	267.73	186.4	314.17	447.82	236.21	224.97	187.71	172.65	204.07	314.17	384.34	361.04	291.04	341.51	273.37	429.54	373.81	511.0	638.15	785.88	665.29	607.87	738.29	624.99	642.59	915.51	825.0	791.35	848.22	775.05
ZNF280B	1.77	0.43	2.27	0.0	0.0	1.11	4.24	0.35	0.32	0.0	0.36	19.68	5.06	14.35	3.92	17.51	7.69	11.04	16.63	8.13	35.25	28.24	35.76	26.1	29.06	43.94	36.53	54.72	27.05	23.76	34.02	39.22
ZNF326	171.45	100.83	258.57	93.35	157.68	249.73	190.34	156.59	226.54	103.69	242.88	211.31	231.32	220.32	199.85	264.03	177.53	267.73	232.94	275.28	329.84	507.46	457.25	414.87	429.54	497.0	409.15	463.65	503.95	518.15	454.09	450.94
ZNF337	77.79	102.97	176.29	36.79	56.68	89.51	55.1	44.89	31.45	26.28	40.36	334.46	253.23	295.11	242.88	332.14	224.97	287.01	373.81	273.37	327.56	447.82	420.68	403.5	463.65	403.5	301.33	476.71	483.38	511.0	595.34	583.07
ZNF384	299.25	389.72	466.88	239.52	185.11	289.02	220.32	181.28	208.38	57.49	309.83	764.36	669.92	660.68	638.15	802.41	599.49	753.83	995.0	878.17	1023.0	1397.83	1119.56	1159.07	1088.92	1127.35	947.83	1233.75	1143.1	1081.39	1233.75	1437.15
ZNF415	28.04	10.0	48.87	6.41	10.16	21.01	17.38	9.27	3.72	3.0	9.27	229.72	118.43	218.79	176.29	167.9	138.1	215.77	293.07	358.54	241.19	336.79	348.71	334.46	291.04	327.56	229.72	376.41	444.72	414.87	351.14	379.04
ZNF432	48.52	28.65	50.63	12.27	21.78	34.26	21.94	11.91	27.64	18.43	36.53	165.57	181.28	191.67	139.07	165.57	156.59	228.13	293.07	181.28	186.4	283.05	316.37	267.73	232.94	251.48	253.23	271.48	264.03	332.14	249.73	368.65
ZNF438	100.13	82.29	130.6	46.18	69.52	61.25	73.54	76.71	74.58	45.21	51.35	147.06	111.99	110.43	100.13	149.12	95.34	132.44	113.56	111.21	265.87	339.14	339.14	309.83	318.57	435.55	336.79	371.22	417.77	518.15	334.46	329.84
ZNF461	18.56	31.22	66.18	7.46	11.64	25.91	32.82	9.7	12.18	4.17	30.34	90.14	50.98	70.51	99.43	73.54	46.18	94.67	129.69	142.01	90.14	163.28	193.01	129.69	127.0	170.25	136.19	163.28	139.07	142.01	130.6	189.02
ZNF493	31.22	14.14	31.22	8.71	13.83	38.95	22.75	6.52	18.84	6.06	26.28	122.64	93.35	106.63	87.65	100.83	115.16	154.42	185.11	190.34	220.32	361.04	376.41	463.65	356.05	400.71	279.14	718.08	693.58	532.74	536.45	579.04
ZNF512	149.12	138.1	256.78	82.29	56.68	102.25	92.7	53.95	53.19	47.5	56.28	612.11	329.84	525.39	371.22	603.67	473.41	642.59	486.75	1233.75	802.41	934.76	836.53	947.83	848.22	915.51	759.08	1447.15	1044.52	941.27	854.13	1143.1
ZNF551	11.55	4.94	33.06	12.09	12.36	18.97	19.82	19.97	9.85	21.78	10.16	66.65	69.03	83.45	69.03	71.0	65.72	81.14	123.5	101.54	91.41	201.25	140.04	152.28	162.14	134.3	92.05	191.67	167.9	148.09	255.0	249.73
ZNF558	94.01	82.29	154.42	33.3	68.55	93.35	94.67	29.91	80.57	23.42	92.7	248.0	186.4	260.38	239.52	256.78	199.85	267.73	341.51	358.54	327.56	476.71	420.68	511.0	460.44	511.0	323.03	854.13	974.5	738.29	748.61	540.19
ZNF585B	33.54	35.25	67.12	16.63	9.78	28.86	44.25	13.03	52.08	10.79	29.06	158.79	126.12	162.14	158.79	137.14	144.01	170.25	204.07	187.71	186.4	327.56	260.38	305.55	215.77	334.46	214.27	403.5	303.44	356.05	387.02	426.57
ZNF594	5.45	6.26	13.93	1.13	7.22	13.12	4.66	2.34	2.53	1.19	6.94	84.63	49.91	99.43	52.08	111.99	63.0	85.82	137.14	83.45	95.34	260.38	164.42	197.09	164.42	191.67	143.01	255.0	159.9	170.25	223.41	237.86
ZNF605	32.59	49.21	50.27	8.45	12.0	29.48	16.27	14.14	17.13	9.7	28.45	94.01	65.72	67.59	75.11	104.42	94.01	100.83	115.97	104.42	148.09	327.56	201.25	275.28	223.41	239.52	190.34	309.83	314.17	285.03	264.03	297.17
ZNF667	6.21	3.56	27.84	1.46	10.31	13.42	6.36	1.07	0.25	0.74	1.91	76.17	28.45	67.59	58.71	66.65	45.21	103.69	94.01	109.66	156.59	214.27	208.38	228.13	176.29	165.57	175.07	193.01	273.37	178.77	251.48	231.32
ZNF772	14.78	6.11	37.32	8.19	19.25	17.25	11.38	18.56	7.11	21.94	18.03	84.63	60.39	113.56	80.57	104.42	101.54	123.5	154.42	74.06	127.0	228.13	176.29	195.72	176.29	226.54	150.17	205.5	151.22	206.94	186.4	223.41
ZNF793	8.06	2.81	20.41	0.89	0.93	6.31	3.32	1.33	2.76	1.33	2.29	70.01	39.79	53.57	46.84	56.68	37.32	71.5	81.71	90.14	108.14	241.19	182.55	191.67	178.77	211.31	127.89	224.97	122.64	147.06	185.11	267.73
ZNF830	234.57	189.02	293.07	144.01	224.97	363.56	143.01	199.85	127.0	67.59	127.0	299.25	275.28	327.56	309.83	314.17	291.04	312.0	392.44	336.79	353.59	503.95	473.41	356.05	457.25	503.95	395.18	518.15	647.07	651.58	500.46	476.71
ZNF84	121.79	119.26	199.85	44.25	81.71	128.79	87.65	63.0	53.57	65.72	56.68	256.78	231.32	264.03	265.87	334.46	221.86	316.37	346.29	414.87	409.15	587.13	460.44	540.19	406.31	466.88	412.0	642.59	624.99	567.1	603.67	733.19
ZNRF1	420.68	279.14	412.0	343.89	343.89	289.02	269.6	253.23	237.86	371.22	251.48	397.93	674.59	438.59	547.75	384.34	559.28	543.96	358.54	466.88	1304.15	1119.56	1322.37	967.76	1151.06	1216.75	866.07	1143.1	1417.35	1208.34	1268.46	941.27
ZSCAN30	70.51	65.72	106.63	32.13	44.57	43.32	52.45	36.27	35.0	28.04	73.03	167.9	135.24	155.5	162.14	158.79	146.03	206.94	289.02	267.73	318.57	417.77	348.71	426.57	376.41	409.15	291.04	536.45	348.71	409.15	454.09	457.25
