	TCGA.FJ.A3Z9.01A.11R.A26T.07	TCGA.GC.A6I1.01A.12R.A31N.07	TCGA.YC.A89H.01A.11R.A36F.07	TCGA.E7.A7DU.01A.11R.A32O.07	TCGA.BH.A1EO.11A.31R.A137.07	TCGA.BH.A204.11A.53R.A157.07	TCGA.A7.A0CH.11A.32R.A089.07	TCGA.BH.A0H9.11A.22R.A466.07	TCGA.E2.A1LS.11A.32R.A157.07	TCGA.E9.A1ND.11A.43R.A144.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.E9.A1NG.11A.52R.A14M.07	TCGA.A7.A0D9.11A.53R.A089.07	TCGA.BH.A1EN.11A.23R.A13Q.07	TCGA.BH.A0DD.11A.23R.A12P.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.BH.A18P.11A.43R.A12D.07	TCGA.E9.A1NF.11A.73R.A14D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.E2.A15I.11A.32R.A137.07	TCGA.E9.A1RD.11A.33R.A157.07	TCGA.E9.A1R7.11A.42R.A14M.07	TCGA.A7.A13G.11A.51R.A13Q.07	TCGA.BH.A0B8.11A.41R.A089.07	GTEX.ZPIC.1126.SM.5BC7F	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.11I78.2226.SM.5PNYA	GTEX.S32W.2026.SM.4AD6E	GTEX.QVJO.1826.SM.447C9	GTEX.132AR.0826.SM.5EGK6	GTEX.ZV6S.1826.SM.5NQ8D	GTEX.13CF3.2126.SM.5IFJP	GTEX.ZQG8.0726.SM.5P9H9	GTEX.145ME.1526.SM.5Q5F2	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.1117F.2826.SM.5GZXL	GTEX.13113.1726.SM.5GCOO	GTEX.12WSB.0626.SM.59HJO	GTEX.133LE.1726.SM.5K7VQ	TCGA.C5.A1MP.01A.11R.A14Y.07	TCGA.EK.A2GZ.01A.11R.A180.07	TCGA.DS.A1O9.01A.11R.A14Y.07	TCGA.VS.A8EL.01A.11R.A37O.07	TCGA.C5.A2LV.01A.11R.A18M.07	TCGA.ZJ.AAXU.01A.11R.A42T.07	GTEX.13OVG.1426.SM.5K7VP	GTEX.13W3W.2126.SM.5K7UX	TCGA.F7.A50J.01A.21R.A28V.07	TCGA.BA.A6DD.01A.12R.A31N.07	TCGA.CV.A6K2.01A.11R.A31N.07	TCGA.CN.5364.01A.01R.1436.07	TCGA.CV.6936.01A.11R.1915.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.D6.6516.01A.11R.1873.07	TCGA.BA.4077.01B.01R.1436.07	TCGA.CV.6945.01A.11R.1915.07	GTEX.1399S.0526.SM.5IJG8	GTEX.1313W.0926.SM.5EQ56	TCGA.33.4589.01A.01R.1443.07
HSDL2	693.58	435.55	595.34	275.28	1540.37	2224.63	1159.07	2193.99	3820.7	738.29	4095.0	3491.39	3443.31	1721.16	2935.74	1697.45	2303.12	2895.31	3060.45	2163.77	2956.17	3928.15	2193.99	2502.97	4481.23	3589.58	3794.3	2739.08	3395.89	1769.57	1806.78	1183.45	1896.65	2178.83	2555.58	3491.39	3212.66	2075.59	1437.15	1427.22	1529.73	1369.04	409.15	312.0	432.53	289.02	400.71	503.95	866.07	1508.65	466.88	361.04	423.61	493.56	255.0	371.22	211.31	728.11	189.02	866.07	947.83	281.09
IGIP	82.29	94.67	127.89	90.77	334.46	361.04	305.55	470.14	358.54	234.57	684.02	500.46	384.34	281.09	412.0	423.61	473.41	563.18	361.04	323.03	423.61	417.77	432.53	518.15	429.54	429.54	441.64	620.67	312.0	301.33	265.87	332.14	343.89	323.03	77.25	217.27	249.73	406.31	397.93	165.57	384.34	228.13	130.6	65.72	86.43	94.67	78.89	68.07	156.59	138.1	47.84	57.89	83.45	42.71	81.14	33.06	58.71	43.94	74.58	228.13	170.25	11.55
IPO5	733.19	902.89	780.44	819.3	1417.35	1757.34	1066.48	1143.1	2240.11	896.64	2520.38	2209.26	1991.0	1674.06	1977.24	1628.26	1896.65	2133.97	2061.24	1781.89	2209.26	2591.27	1844.76	1936.53	2573.36	2367.9	2739.08	2032.85	1794.29	1378.57	1870.53	1191.69	1529.73	2855.44	2701.35	1757.34	2178.83	1286.18	2193.99	2367.9	1594.73	1594.73	629.35	559.28	343.89	536.45	1295.13	928.3	854.13	1088.92	1167.14	480.04	587.13	1088.92	860.08	764.36	819.3	890.44	521.76	1175.27	1037.29	457.25
KCTD20	178.77	232.94	208.38	289.02	848.22	1023.0	567.1	769.69	1477.58	497.0	1457.23	1340.84	1295.13	1066.48	1183.45	909.17	1369.04	1051.79	1037.29	1208.34	1417.35	1286.18	1104.13	1313.23	1268.46	1322.37	1001.93	1651.0	1151.06	928.3	934.76	819.3	775.05	1008.9	941.27	1151.06	1350.18	1359.57	1359.57	1008.9	1037.29	665.29	529.06	373.81	387.02	177.53	163.28	341.51	607.87	575.03	215.77	253.23	269.6	366.09	563.18	199.85	303.44	454.09	229.72	555.41	713.11	104.42
KIAA1715	143.01	74.06	209.84	115.16	320.8	429.54	281.09	273.37	587.13	151.22	684.02	583.07	463.65	466.88	476.71	318.57	493.56	444.72	660.68	473.41	567.1	830.75	460.44	490.14	551.56	525.39	551.56	603.67	301.33	277.2	486.75	299.25	348.71	366.09	688.78	457.25	860.08	473.41	339.14	358.54	301.33	134.3	186.4	785.88	231.32	84.63	195.72	82.87	232.94	329.84	98.04	134.3	244.57	215.77	249.73	113.56	145.02	293.07	403.5	334.46	143.01	199.85
LAMC1	511.0	808.0	507.46	444.72	2758.13	4210.15	2090.03	2240.11	3124.78	1832.01	4972.34	3716.2	3280.18	4152.18	4239.45	3491.39	4066.71	4671.57	2573.36	4419.52	4543.8	4388.98	4123.49	4152.18	4152.18	4736.79	4388.98	3491.39	3146.52	3280.18	2090.03	3124.78	4903.87	6516.03	2701.35	3768.09	3060.45	2434.5	4010.71	6699.25	2701.35	1781.89	444.72	1508.65	866.07	480.04	934.76	429.54	1617.0	1331.57	909.17	642.59	1487.87	813.63	1437.15	1037.29	540.19	1519.15	902.89	1733.13	239.52	293.07
LEPR	33.06	16.51	9.13	20.11	1051.79	1467.37	444.72	447.82	656.11	275.28	2627.46	1963.57	348.71	1639.59	559.28	872.1	808.0	902.89	470.14	1159.07	785.88	802.41	1183.45	1685.71	1088.92	463.65	723.08	529.06	392.44	507.46	108.14	536.45	170.25	376.41	115.97	171.45	334.46	642.59	507.46	1794.29	1322.37	154.42	26.47	33.3	10.96	38.12	28.86	15.68	336.79	142.01	10.31	37.85	87.03	37.32	60.39	57.89	37.32	49.91	57.08	218.79	629.35	47.5
LNPEP	86.43	41.52	128.79	77.79	178.77	376.41	176.29	214.27	483.38	94.67	813.63	780.44	412.0	417.77	559.28	275.28	571.05	387.02	423.61	543.96	525.39	476.71	466.88	713.11	567.1	493.56	961.07	1044.52	397.93	293.07	417.77	177.53	403.5	299.25	583.07	587.13	1008.9	493.56	229.72	309.83	320.8	237.86	108.14	84.63	63.0	62.12	49.21	52.08	143.01	159.9	62.56	48.87	142.01	149.12	112.77	61.68	130.6	108.14	62.56	329.84	129.69	40.07
LPGAT1	258.57	127.89	187.71	140.04	414.87	514.56	438.59	441.64	563.18	253.23	1096.5	796.86	651.58	679.29	866.07	476.71	728.11	599.49	688.78	684.02	896.64	518.15	660.68	708.18	555.41	854.13	808.0	1051.79	607.87	532.74	656.11	368.65	567.1	660.68	674.59	802.41	1331.57	902.89	536.45	540.19	551.56	339.14	351.14	480.04	450.94	195.72	92.7	124.37	323.03	275.28	175.07	178.77	173.85	209.84	780.44	146.03	183.82	253.23	98.04	279.14	255.0	113.56
MAN1A2	144.01	139.07	153.34	197.09	277.2	412.0	271.48	232.94	723.08	162.14	813.63	579.04	334.46	493.56	540.19	366.09	486.75	441.64	447.82	454.09	587.13	450.94	480.04	674.59	406.31	669.92	532.74	764.36	490.14	218.79	420.68	291.04	363.56	447.82	392.44	571.05	718.08	470.14	309.83	480.04	366.09	279.14	152.28	224.97	262.2	54.33	115.16	85.22	209.84	187.71	112.77	116.78	169.07	208.38	128.79	54.33	90.14	271.48	112.77	336.79	151.22	84.63
MAN2A2	283.05	81.71	241.19	214.27	703.28	842.36	651.58	884.29	1073.91	693.58	1909.85	1242.34	1044.52	1304.15	1088.92	1059.11	1397.83	1313.23	1529.73	1427.22	1529.73	1909.85	1498.22	1073.91	2119.22	1467.37	575.03	2739.08	909.17	1208.34	954.43	1605.83	813.63	872.1	1437.15	1081.39	1104.13	2133.97	2287.2	1183.45	1540.37	1088.92	426.57	171.45	256.78	140.04	64.34	135.24	703.28	473.41	81.71	113.56	201.25	172.65	536.45	88.26	170.25	242.88	124.37	780.44	830.75	26.67
MDFIC	368.65	120.1	255.0	140.04	981.29	1313.23	620.67	988.12	2537.92	432.53	1844.76	2004.85	1819.35	1119.56	2915.45	796.86	2061.24	1051.79	1167.14	1605.83	1819.35	1991.0	1331.57	1540.37	1583.71	2061.24	2720.15	2018.8	1950.0	909.17	1674.06	769.69	2061.24	1350.18	2104.58	2468.49	2061.24	1322.37	988.12	759.08	896.64	567.1	177.53	221.86	258.57	232.94	57.08	147.06	336.79	587.13	85.82	287.01	281.09	387.02	163.28	173.85	48.87	262.2	202.66	738.29	1639.59	125.24
MKLN1	241.19	316.37	314.17	348.71	381.68	480.04	343.89	269.6	607.87	262.2	656.11	764.36	426.57	521.76	599.49	358.54	486.75	473.41	511.0	555.41	551.56	616.37	529.06	703.28	583.07	473.41	518.15	503.95	587.13	532.74	571.05	400.71	500.46	521.76	620.67	493.56	802.41	287.01	483.38	555.41	409.15	379.04	211.31	336.79	182.55	244.57	251.48	336.79	400.71	320.8	295.11	279.14	507.46	423.61	242.88	389.72	426.57	346.29	351.14	358.54	275.28	193.01
MPL	0.97	0.32	0.0	0.0	1.45	4.58	2.2	1.41	5.92	4.62	9.41	2.73	5.45	4.43	5.5	3.86	11.13	1.71	5.15	7.57	9.13	8.65	3.82	5.54	4.62	3.96	6.41	2.36	4.35	4.86	3.53	4.17	3.23	4.62	4.66	2.18	5.73	6.06	5.63	4.54	12.09	5.82	0.0	0.97	0.32	0.0	0.96	0.34	3.2	1.3	1.5	0.0	0.0	0.33	0.92	0.0	1.5	0.0	0.72	3.41	0.0	0.0
NKAPL	0.66	0.97	1.58	0.65	78.34	58.3	55.89	45.21	103.69	42.41	69.03	82.87	108.9	49.91	117.6	52.82	88.88	69.03	85.22	61.25	92.05	79.45	64.34	68.07	86.43	106.63	135.24	163.28	112.77	53.57	101.54	42.71	130.6	68.07	122.64	146.03	39.79	114.36	68.07	94.67	44.89	40.36	4.74	0.65	2.14	2.18	1.89	0.67	13.72	22.75	2.81	5.28	0.0	1.45	2.03	1.2	2.46	3.72	0.48	33.3	13.32	3.72
NUBPL	76.17	73.54	87.03	65.72	197.09	295.11	209.84	251.48	392.44	171.45	525.39	389.72	414.87	325.29	323.03	242.88	314.17	426.57	339.14	320.8	466.88	376.41	327.56	384.34	392.44	417.77	543.96	389.72	267.73	163.28	150.17	283.05	228.13	223.41	199.85	363.56	470.14	293.07	206.94	295.11	228.13	265.87	96.68	105.15	97.36	111.21	128.79	116.78	108.14	253.23	136.19	94.01	82.87	137.14	120.94	105.15	66.18	103.69	109.66	171.45	82.29	136.19
OR1E1	0.0	0.0	0.0	0.0	2.61	0.4	3.06	4.46	0.41	1.83	12.0	1.6	7.94	2.68	4.54	0.38	8.71	1.75	1.64	4.58	6.36	3.2	0.77	2.89	5.36	11.13	3.44	3.86	2.29	2.84	3.69	0.0	1.62	2.1	3.66	3.99	5.5	0.0	1.79	3.23	2.71	1.93	0.0	0.0	0.0	0.0	0.0	0.0	2.18	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.58	0.0	0.0
PALM2	3.26	3.5	1.28	1.62	13.42	31.45	46.84	18.03	75.64	5.32	138.1	65.72	41.81	66.65	12.0	46.84	72.01	29.06	35.0	12.83	70.01	146.03	76.17	60.39	38.4	95.34	46.84	29.06	23.08	19.97	38.67	35.25	51.71	25.35	42.11	16.15	21.01	62.56	55.49	17.64	31.45	4.39	3.26	26.1	10.96	1.89	10.0	1.99	5.32	9.78	2.73	3.47	1.45	8.45	6.26	1.83	2.36	3.92	5.15	14.45	30.78	3.76
PALM2-AKAP2	0.0	0.99	0.0	3.23	162.14	457.25	159.9	136.19	1151.06	38.95	1208.34	808.0	819.3	595.34	954.43	392.44	1059.11	571.05	759.08	896.64	1359.57	718.08	633.73	620.67	854.13	921.88	414.87	1143.1	780.44	220.32	201.25	486.75	1159.07	363.56	1037.29	974.5	447.82	1259.69	392.44	309.83	376.41	164.42	6.36	12.27	13.93	0.0	4.06	0.0	55.89	72.52	2.84	2.56	0.0	8.0	20.26	9.34	8.58	49.21	8.19	373.81	96.68	0.93
PBRM1	228.13	94.01	176.29	214.27	332.14	583.07	309.83	229.72	748.61	224.97	947.83	866.07	507.46	738.29	748.61	540.19	785.88	607.87	733.19	860.08	785.88	738.29	688.78	884.29	813.63	775.05	808.0	1896.65	713.11	466.88	493.56	511.0	967.76	753.83	563.18	642.59	780.44	665.29	669.92	808.0	703.28	376.41	258.57	145.02	271.48	183.82	102.97	104.42	358.54	264.03	127.0	96.01	232.94	175.07	171.45	92.7	156.59	218.79	102.25	444.72	255.0	69.52
PCDH9	0.0	1.28	0.33	0.33	100.83	102.97	55.49	88.26	241.19	35.76	376.41	208.38	205.5	106.63	343.89	54.33	273.37	151.22	72.01	122.64	269.6	148.09	172.65	191.67	226.54	162.14	145.02	363.56	88.26	96.01	133.36	49.21	72.52	110.43	83.45	218.79	239.52	72.52	46.5	85.82	64.8	17.38	1.46	0.47	0.45	0.46	0.0	0.48	18.43	25.17	1.22	1.1	24.63	1.38	2.56	0.79	0.45	2.01	1.17	84.63	20.71	0.11
PCYOX1	356.05	285.03	332.14	293.07	1397.83	2537.92	1417.35	1674.06	3982.99	902.89	5006.93	3303.0	3540.14	2739.08	3665.02	1819.35	3018.3	3589.58	3325.99	2004.85	3419.52	3742.05	3372.43	3395.89	4298.64	4239.45	3847.29	4066.71	2537.92	1757.34	813.63	1519.15	2104.58	2855.44	1519.15	3081.75	3257.52	1794.29	941.27	2224.63	1674.06	1277.29	256.78	688.78	403.5	191.67	260.38	314.17	785.88	753.83	366.09	387.02	638.15	733.19	473.41	246.28	802.41	450.94	320.8	1628.26	848.22	253.23
PDP2	24.99	28.24	27.25	16.63	124.37	214.27	57.08	172.65	476.71	61.25	426.57	395.18	348.71	218.79	291.04	241.19	336.79	406.31	457.25	283.05	454.09	500.46	293.07	381.68	915.51	450.94	441.64	441.64	473.41	229.72	249.73	139.07	246.28	255.0	312.0	775.05	253.23	316.37	267.73	176.29	62.12	199.85	27.05	45.85	30.78	25.91	14.89	22.26	53.95	127.0	39.22	17.9	45.21	51.35	96.01	17.9	51.35	57.89	33.54	221.86	76.17	21.94
PIK3CA	125.24	153.34	82.87	71.0	392.44	753.83	283.05	258.57	988.12	135.24	753.83	1030.12	674.59	629.35	679.29	595.34	660.68	674.59	669.92	733.19	642.59	842.36	656.11	884.29	808.0	708.18	708.18	860.08	915.51	497.0	518.15	409.15	753.83	738.29	753.83	665.29	780.44	376.41	656.11	915.51	620.67	343.89	198.47	532.74	244.57	98.04	127.89	195.72	351.14	223.41	208.38	164.42	189.02	387.02	239.52	98.73	208.38	423.61	239.52	363.56	158.79	115.16
PIKFYVE	63.45	46.18	49.91	48.18	118.43	239.52	111.21	82.87	320.8	81.14	312.0	295.11	208.38	229.72	236.21	212.78	293.07	279.14	301.33	258.57	262.2	343.89	241.19	332.14	348.71	255.0	316.37	283.05	229.72	157.68	143.01	145.02	150.17	283.05	212.78	197.09	587.13	169.07	163.28	264.03	224.97	152.28	54.33	88.88	66.65	43.94	32.59	39.79	143.01	134.3	41.81	43.63	88.26	75.11	104.42	43.94	76.71	70.01	27.05	189.02	147.06	18.56
PLEKHM3	8.45	9.85	8.19	3.89	21.01	120.1	38.12	19.97	143.01	8.0	156.59	148.09	65.72	113.56	149.12	63.89	163.28	120.1	154.42	126.12	159.9	169.07	112.77	148.09	120.1	141.02	81.71	127.89	62.12	30.78	46.84	111.99	43.32	50.63	77.79	67.59	52.08	51.35	91.41	98.04	97.36	37.32	14.78	37.32	19.39	12.93	8.25	8.99	36.53	25.91	14.24	8.45	29.7	33.3	42.11	12.64	37.59	43.32	10.79	56.28	63.45	7.46
PPM1L	63.0	2.94	28.65	63.45	76.71	116.78	85.22	101.54	173.85	57.49	389.72	175.07	133.36	229.72	201.25	94.67	208.38	191.67	161.02	264.03	301.33	244.57	229.72	224.97	205.5	185.11	253.23	234.57	107.38	72.01	129.69	148.09	87.03	339.14	173.85	99.43	109.66	120.94	118.43	110.43	135.24	73.54	56.28	26.28	36.01	11.21	7.46	24.99	181.28	90.77	19.97	12.74	81.71	35.5	8.38	7.94	30.78	25.17	23.76	88.88	10.16	12.74
PPP3CB	486.75	559.28	460.44	412.0	1242.34	1286.18	902.89	1151.06	1594.73	813.63	1923.14	1605.83	1572.76	1277.29	1685.71	1051.79	1477.58	1417.35	1340.84	1268.46	1498.22	1594.73	1277.29	1519.15	1359.57	1651.0	1477.58	1662.49	981.29	759.08	921.88	1059.11	967.76	988.12	780.44	995.0	1519.15	764.36	1081.39	988.12	1023.0	660.68	486.75	291.04	529.06	341.51	256.78	318.57	674.59	660.68	403.5	500.46	493.56	551.56	571.05	454.09	323.03	392.44	599.49	836.53	463.65	575.03
PRICKLE2	13.03	12.18	17.64	13.83	218.79	507.46	208.38	206.94	759.08	166.73	591.22	599.49	518.15	470.14	579.04	287.01	575.03	463.65	486.75	493.56	693.58	638.15	470.14	718.08	457.25	493.56	599.49	1896.65	325.29	244.57	260.38	253.23	896.64	255.0	381.68	379.04	1151.06	255.0	206.94	483.38	249.73	258.57	29.91	31.45	55.49	27.64	13.12	7.17	117.6	108.9	45.21	41.52	147.06	40.93	66.18	40.93	66.65	23.76	22.1	301.33	142.01	16.39
PTPN11	271.48	389.72	412.0	301.33	1135.2	1529.73	961.07	1111.82	2090.03	543.96	3190.46	2303.12	2004.85	1857.6	2555.58	1331.57	2664.15	1721.16	1551.09	1896.65	2335.28	1216.75	1909.85	2573.36	1350.18	2148.82	2047.0	1508.65	1806.78	1350.18	1250.98	928.3	1073.91	1883.54	2319.15	2148.82	2104.58	1437.15	1151.06	1508.65	947.83	947.83	327.56	409.15	384.34	301.33	414.87	339.14	785.88	703.28	563.18	320.8	595.34	587.13	612.11	633.73	753.83	457.25	409.15	791.35	733.19	211.31
PTPRQ	21.32	1.31	3.2	4.21	40.36	120.94	16.39	24.99	116.78	6.62	392.44	115.16	133.36	40.93	121.79	36.79	95.34	165.57	124.37	100.13	221.86	193.01	105.15	187.71	80.01	162.14	13.62	497.0	5.73	59.13	19.25	53.57	31.9	6.11	5.59	10.55	366.09	13.03	10.71	15.91	52.08	22.1	0.43	1.79	81.14	0.0	3.44	0.0	4.94	2.43	0.0	0.0	6.89	0.0	0.26	0.0	0.0	0.0	0.3	7.88	74.06	0.0
PXDN	29.27	94.67	124.37	57.49	1008.9	1498.22	890.44	1268.46	2240.11	915.51	2555.58	1561.89	2119.22	1963.57	2004.85	1313.23	2240.11	1572.76	1909.85	1923.14	2816.11	1870.53	1674.06	1721.16	2148.82	2777.33	1909.85	3146.52	1417.35	1111.82	2451.44	921.88	3491.39	2591.27	3540.14	3303.0	2591.27	3146.52	1313.23	1923.14	1044.52	974.5	323.03	23.08	226.54	87.65	98.04	69.03	547.75	444.72	204.07	669.92	108.9	476.71	246.28	460.44	253.23	435.55	183.82	896.64	156.59	32.59
QKI	142.01	195.72	149.12	181.28	1322.37	2502.97	884.29	1059.11	2796.65	612.11	2935.74	3395.89	2047.0	2591.27	2915.45	1709.26	3103.19	2502.97	2133.97	3190.46	3443.31	2319.15	2609.3	3280.18	2997.45	2956.17	3742.05	4268.94	3280.18	2163.77	1651.0	1447.15	2148.82	2997.45	2758.13	5633.22	3419.52	1909.85	2520.38	1936.53	2855.44	941.27	607.87	343.89	547.75	232.94	392.44	173.85	860.08	842.36	332.14	267.73	559.28	1167.14	571.05	351.14	780.44	954.43	376.41	1561.89	1340.84	234.57
RNF11	688.78	674.59	759.08	802.41	2701.35	3257.52	2061.24	2400.97	4010.71	1259.69	5954.47	4419.52	3716.2	3349.13	4802.93	2645.74	3874.05	3443.31	3614.55	3372.43	4239.45	3443.31	3491.39	4671.57	4066.71	4181.07	3742.05	5006.93	3372.43	2271.4	2255.7	2664.15	1605.83	2701.35	3190.46	4972.34	4010.71	3847.29	2555.58	3018.3	3540.14	1378.57	718.08	1159.07	1498.22	616.37	698.41	791.35	1870.53	1651.0	1208.34	1030.12	1832.01	1819.35	974.5	981.29	1794.29	1651.0	1111.82	1508.65	2701.35	1417.35
RNF14	457.25	361.04	450.94	384.34	1104.13	1199.98	947.83	1023.0	1191.69	679.29	1963.57	1594.73	1540.37	1397.83	1397.83	1037.29	1397.83	1183.45	1135.2	1183.45	1674.06	1073.91	1529.73	1806.78	1268.46	1487.87	1909.85	1487.87	1208.34	1059.11	1015.93	860.08	967.76	1259.69	1963.57	1674.06	3564.78	1023.0	1081.39	947.83	1233.75	769.69	361.04	476.71	543.96	325.29	218.79	242.88	896.64	941.27	463.65	409.15	660.68	414.87	743.43	450.94	466.88	738.29	525.39	941.27	620.67	466.88
RNF150	2.29	1.3	5.96	5.45	187.71	373.81	199.85	291.04	575.03	88.88	500.46	854.13	417.77	441.64	698.41	169.07	536.45	371.22	503.95	555.41	819.3	616.37	273.37	432.53	525.39	921.88	1023.0	4736.79	297.17	460.44	223.41	234.57	262.2	497.0	86.43	497.0	262.2	909.17	29.91	154.42	82.87	146.03	12.36	1.95	2.2	1.58	0.91	6.06	35.76	59.55	3.41	6.62	2.39	8.71	3.82	2.81	6.21	22.59	6.31	106.63	8.71	0.61
SEPT11	579.04	358.54	733.19	309.83	2075.59	2645.74	1111.82	2004.85	3794.3	1331.57	5872.48	4095.0	4123.49	2485.67	3419.52	1832.01	3665.02	2997.45	2163.77	3280.18	4210.15	2915.45	2591.27	3639.7	3874.05	3124.78	3168.41	2935.74	2935.74	1991.0	2287.2	1508.65	2835.7	2148.82	2855.44	3768.09	4388.98	2555.58	2240.11	1709.26	1151.06	1159.07	480.04	503.95	583.07	379.04	486.75	121.79	1819.35	1427.22	267.73	348.71	389.72	392.44	353.59	426.57	84.63	463.65	486.75	1662.49	981.29	194.36
SERINC1	921.88	915.51	1051.79	848.22	5292.48	6745.86	4575.41	5366.37	6426.31	2976.74	10512.82	8421.31	6294.04	7032.37	6516.03	5751.61	7433.4	7280.4	6699.25	6561.36	8538.88	7382.04	6381.92	9151.82	7180.15	7382.04	10014.87	6561.36	6516.03	2609.3	3901.01	3794.3	3325.99	8305.36	6745.86	8901.53	8363.13	4268.94	4639.29	7589.61	6381.92	2555.58	1467.37	1561.89	1233.75	579.04	884.29	743.43	4328.55	3303.0	995.0	1059.11	2104.58	1340.84	988.12	1295.13	1051.79	1519.15	884.29	4298.64	3665.02	1119.56
SERINC3	733.19	954.43	830.75	1104.13	2004.85	2935.74	1963.57	2047.0	2701.35	1322.37	3794.3	3564.78	2163.77	2573.36	3039.3	2627.46	3443.31	2997.45	2777.33	3018.3	3235.01	3190.46	2875.3	3103.19	3443.31	2758.13	3820.7	2758.13	3395.89	1819.35	1721.16	2018.8	1594.73	5366.37	2645.74	3742.05	3303.0	1781.89	2004.85	3820.7	3168.41	1551.09	1378.57	1697.45	1119.56	684.02	860.08	928.3	2796.65	1832.01	1572.76	848.22	1923.14	1286.18	2400.97	1001.93	1733.13	1225.22	1662.49	1950.0	1143.1	1159.07
SETD7	115.97	182.55	316.37	108.9	1044.52	1487.87	836.53	947.83	1605.83	547.75	2835.7	2240.11	1651.0	1685.71	1806.78	1250.98	2032.85	1594.73	1242.34	1769.57	1991.0	1561.89	1883.54	2255.7	1662.49	1757.34	1350.18	2287.2	1498.22	753.83	1023.0	1250.98	1639.59	2163.77	928.3	1030.12	1572.76	1806.78	1268.46	1322.37	1001.93	536.45	180.02	159.9	218.79	363.56	141.02	166.73	457.25	392.44	177.53	197.09	356.05	320.8	476.71	241.19	368.65	295.11	314.17	480.04	373.81	120.1
SIK2	96.68	40.36	84.04	39.5	713.11	1378.57	708.18	1030.12	2777.33	432.53	1963.57	2319.15	2451.44	1322.37	1781.89	1127.35	1936.53	1923.14	1721.16	1605.83	2047.0	2609.3	1467.37	1208.34	2956.17	2240.11	1572.76	2591.27	1963.57	1127.35	1199.98	624.99	1216.75	1350.18	2434.5	2682.69	1096.5	1870.53	743.43	988.12	620.67	748.61	82.87	54.72	50.27	66.18	55.49	55.49	265.87	567.1	88.88	48.87	100.83	158.79	63.89	43.94	106.63	77.25	82.29	356.05	476.71	15.68
SLC35B4	92.7	86.43	170.25	66.65	156.59	159.9	115.97	96.01	172.65	110.43	215.77	232.94	177.53	150.17	239.52	143.01	177.53	155.5	145.02	223.41	193.01	131.51	170.25	241.19	165.57	175.07	140.04	260.38	199.85	224.97	119.26	97.36	277.2	139.07	264.03	141.02	157.68	217.27	112.77	173.85	114.36	133.36	53.57	116.78	130.6	123.5	84.63	102.97	57.89	108.14	105.89	78.89	59.55	104.42	159.9	120.94	117.6	135.24	131.51	353.59	116.78	52.08
SMAD2	819.3	532.74	616.37	890.44	1617.0	1721.16	1183.45	1457.23	1844.76	995.0	2627.46	2224.63	1832.01	1909.85	2104.58	1572.76	2104.58	1857.6	1923.14	1991.0	2240.11	2047.0	2209.26	2384.37	1936.53	1844.76	2240.11	3395.89	1605.83	1183.45	1359.57	1508.65	1639.59	2133.97	2133.97	2537.92	2090.03	1605.83	2502.97	1572.76	1594.73	995.0	1225.22	1008.9	1437.15	647.07	791.35	1023.0	1059.11	718.08	954.43	551.56	1225.22	802.41	1467.37	507.46	579.04	1397.83	612.11	1151.06	1551.09	728.11
SORT1	104.42	81.14	373.81	228.13	819.3	1378.57	909.17	1096.5	1923.14	703.28	2417.67	2287.2	1936.53	1427.22	2209.26	1088.92	1936.53	1950.0	1909.85	1721.16	2090.03	2104.58	1844.76	1674.06	2758.13	1991.0	2609.3	1923.14	2133.97	1721.16	1819.35	1051.79	1437.15	1936.53	1769.57	2209.26	2075.59	1628.26	1104.13	1015.93	995.0	988.12	473.41	450.94	521.76	226.54	90.77	44.25	3212.66	1963.57	186.4	220.32	217.27	175.07	395.18	76.71	132.44	305.55	241.19	2240.11	693.58	248.0
SOS1	409.15	103.69	178.77	206.94	273.37	656.11	283.05	211.31	854.13	212.78	764.36	1111.82	688.78	703.28	1008.9	423.61	1167.14	738.29	684.02	733.19	941.27	764.36	728.11	967.76	915.51	785.88	718.08	872.1	599.49	521.76	743.43	441.64	1477.58	684.02	830.75	532.74	591.22	743.43	309.83	583.07	688.78	432.53	161.02	212.78	229.72	96.68	74.58	100.13	503.95	376.41	131.51	98.04	214.27	171.45	183.82	84.04	316.37	167.9	146.03	312.0	214.27	35.76
SPATA22	0.0	0.0	0.0	0.0	20.26	9.78	29.27	29.48	23.42	17.0	96.01	29.48	38.4	53.57	34.75	18.29	31.67	17.25	18.56	16.51	63.0	23.42	24.46	24.46	38.12	74.06	44.25	38.12	14.45	22.75	26.67	13.83	70.01	6.06	21.78	22.75	74.06	7.06	23.93	29.91	36.27	18.56	2.05	0.0	1.0	0.69	0.0	0.0	18.56	2.71	5.59	1.48	0.0	0.4	1.36	0.0	3.23	0.0	1.95	3.66	0.0	3.11
