	TCGA.G2.A3IB.01A.11R.A20F.07	TCGA.AC.A3OD.01A.11R.A21T.07.1	TCGA.AR.A0TP.01A.11R.A084.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.A7.A13D.01A.13R.A12P.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.A2.A4S3.01A.21R.A266.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.A2.A0T2.01A.11R.A084.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.E2.A150.01A.11R.A12D.07	TCGA.A2.A1G6.01A.11R.A13Q.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.A2.A3XS.01A.11R.A22U.07	TCGA.B6.A0RS.01A.11R.A084.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.A2.A0ES.01A.11R.A115.07	TCGA.AC.A2BK.01A.11R.A21T.07	TCGA.BH.A0RX.01A.21R.A084.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.E9.A1N8.01A.11R.A144.07	TCGA.EW.A1P8.01A.11R.A144.07	TCGA.AC.A62X.01A.11R.A29R.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.BH.A0HK.11A.11R.A089.07	TCGA.AC.A23H.11A.12R.A157.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0DP.11A.12R.A089.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.A7.A0CE.11A.21R.A089.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.WYBS.0926.SM.3NM94	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.S341.1526.SM.4AD6K	GTEX.Y5LM.1726.SM.4VDSX	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13FTY.2226.SM.5J1ND	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.13QIC.2326.SM.5LU5N	TCGA.CR.6474.01A.11R.1873.07	TCGA.CX.7086.01A.11R.2081.07	TCGA.CV.6959.01A.11R.1915.07	TCGA.CV.5979.01A.11R.1686.07	TCGA.CR.7365.01A.11R.2016.07	TCGA.CV.6956.01A.21R.2016.07	TCGA.CV.7243.01A.11R.2016.07	TCGA.UF.A7JC.01A.21R.A34R.07	TCGA.CN.4742.01A.02R.1514.07	TCGA.CV.6003.01A.11R.1686.07	TCGA.38.4625.01A.01R.1206.07
MED7	90.77	316.37	95.34	371.22	151.22	291.04	131.51	255.0	417.77	403.5	202.66	323.03	180.02	497.0	327.56	264.03	363.56	140.04	514.56	162.14	234.57	190.34	287.01	303.44	111.99	209.84	190.34	108.9	170.25	141.02	392.44	269.6	341.51	303.44	327.56	353.59	351.14	579.04	318.57	397.93	351.14	217.27	285.03	325.29	269.6	543.96	285.03	339.14	417.77	551.56	114.36	102.25	86.43	88.26	85.82	118.43	145.02	100.13	94.67	111.99	0.0
METTL20	7.88	59.55	33.54	88.88	23.76	90.14	53.95	47.17	115.16	75.64	82.29	67.12	40.07	84.04	81.14	40.64	68.07	30.56	102.25	58.71	25.17	40.93	93.35	87.65	12.18	22.92	52.82	54.72	33.3	25.72	76.71	71.5	98.73	88.26	135.24	87.65	78.89	115.16	107.38	208.38	111.99	195.72	72.52	150.17	47.5	60.82	231.32	143.01	70.01	115.97	13.42	17.9	16.27	14.35	26.28	4.46	19.39	17.51	27.44	16.15	0.0
MGP	94.01	485798.0	228208.61	998912.34	296977.71	1139523.1	659036.03	593956.43	736332.6	623486.02	577714.63	716197.51	350728.68	546551.29	489177.0	569761.05	1196176.45	405683.88	414208.18	539026.74	443937.41	329517.51	623486.02	434801.29	365622.68	402881.61	706337.4	334117.42	405683.88	275175.93	687022.54	425853.18	453265.5	462789.59	408505.64	800198.39	509950.32	358098.26	598087.73	585779.24	1524599.69	400098.69	422911.59	565825.41	869603.57	1100706.72	845824.19	496005.67	1308968.45	614902.29	3716.2	143.01	961.07	139.07	486.75	1208.34	2997.45	172.65	1923.14	301.33	3419.52
MRPS27	389.72	909.17	414.87	457.25	384.34	890.44	490.14	620.67	1151.06	1023.0	684.02	981.29	429.54	1008.9	854.13	1127.35	1135.2	575.03	1135.2	529.06	320.8	579.04	1175.27	1111.82	441.64	620.67	928.3	497.0	555.41	392.44	1519.15	884.29	1417.35	1066.48	1216.75	1322.37	921.88	1350.18	1304.15	1088.92	1551.09	1199.98	1295.13	1304.15	954.43	684.02	1605.83	934.76	791.35	1268.46	363.56	607.87	555.41	384.34	397.93	497.0	400.71	332.14	417.77	409.15	0.0
N4BP2L2	441.64	1143.1	559.28	890.44	591.22	723.08	1359.57	733.19	1477.58	1135.2	1151.06	872.1	395.18	995.0	1277.29	703.28	1127.35	620.67	1936.53	1008.9	780.44	928.3	1572.76	1617.0	559.28	540.19	1216.75	629.35	493.56	507.46	1277.29	1388.16	1745.2	1923.14	2004.85	1857.6	1322.37	3716.2	2209.26	3303.0	2701.35	2485.67	1674.06	2434.5	1001.93	961.07	2119.22	2935.74	1066.48	1991.0	389.72	392.44	395.18	463.65	279.14	665.29	441.64	444.72	441.64	289.02	0.0
NDUFS4	802.41	2004.85	733.19	2004.85	1023.0	1794.29	1628.26	1119.56	2485.67	2816.11	1023.0	3491.39	1594.73	2119.22	1991.0	1721.16	2502.97	1745.2	3081.75	2520.38	1081.39	1216.75	2335.28	2075.59	848.22	1757.34	1417.35	1183.45	1397.83	1477.58	3372.43	2209.26	3614.55	2075.59	2351.53	2485.67	2609.3	2451.44	2119.22	2047.0	2720.15	1685.71	4210.15	2434.5	3491.39	7331.05	3928.15	1883.54	5147.73	2875.3	988.12	878.17	1250.98	1127.35	890.44	1015.93	890.44	1259.69	947.83	728.11	0.0
NICN1	36.27	181.28	95.34	334.46	86.43	211.31	169.07	100.13	211.31	237.86	320.8	124.37	92.7	172.65	301.33	97.36	258.57	86.43	392.44	147.06	283.05	59.97	303.44	267.73	68.55	90.77	251.48	62.12	135.24	72.01	258.57	275.28	309.83	353.59	320.8	454.09	312.0	708.18	493.56	743.43	567.1	426.57	122.64	454.09	181.28	236.21	256.78	890.44	228.13	493.56	87.03	37.32	53.19	53.95	81.14	23.08	86.43	35.76	67.59	79.45	0.0
NISCH	279.14	854.13	490.14	493.56	480.04	620.67	651.58	441.64	974.5	921.88	1540.37	656.11	279.14	679.29	1268.46	785.88	808.0	480.04	1498.22	432.53	743.43	389.72	1447.15	1225.22	384.34	327.56	674.59	480.04	551.56	389.72	583.07	1001.93	1066.48	1437.15	1477.58	1457.23	1233.75	2018.8	1519.15	2061.24	1407.55	1529.73	743.43	2148.82	616.37	813.63	723.08	2915.45	878.17	1295.13	397.93	441.64	348.71	307.69	293.07	215.77	327.56	279.14	314.17	155.5	0.0
NSA2	819.3	2367.9	1023.0	2133.97	1191.69	2627.46	1498.22	1135.2	3690.52	3443.31	1883.54	2720.15	1388.16	2875.3	1467.37	2855.44	1977.24	1001.93	3372.43	2193.99	1508.65	1498.22	3124.78	2502.97	1081.39	1909.85	1870.53	1378.57	1378.57	1104.13	4010.71	2758.13	4328.55	2645.74	3190.46	3235.01	3018.3	2451.44	3168.41	5006.93	2434.5	1685.71	3491.39	1697.45	4066.71	4152.18	3081.75	2032.85	5517.27	2240.11	884.29	723.08	1015.93	660.68	909.17	974.5	988.12	830.75	1008.9	974.5	0.0
NUDT12	63.0	180.02	82.29	429.54	66.65	444.72	98.04	103.69	500.46	334.46	470.14	371.22	106.63	244.57	299.25	169.07	476.71	75.11	265.87	133.36	59.13	105.15	155.5	351.14	78.89	110.43	181.28	86.43	65.72	47.17	412.0	199.85	293.07	291.04	283.05	371.22	264.03	381.68	995.0	995.0	1216.75	339.14	318.57	486.75	271.48	234.57	376.41	624.99	791.35	775.05	52.45	85.22	50.27	46.84	65.26	110.43	9.63	62.56	74.06	64.34	0.0
NUDT13	7.63	45.85	30.12	64.34	18.97	39.22	20.11	28.24	40.93	61.25	26.67	25.54	29.48	37.05	56.68	49.91	66.18	10.79	53.19	26.1	14.56	63.89	40.64	49.56	12.64	17.64	36.01	18.16	14.67	7.88	35.5	37.85	74.58	68.55	65.72	68.55	63.89	96.01	96.68	105.15	61.25	87.03	84.63	72.52	12.74	17.51	22.43	73.03	46.18	72.52	10.63	8.13	10.24	12.64	18.97	9.63	7.4	2.97	12.83	0.87	0.0
PAPD4	232.94	808.0	343.89	728.11	231.32	1151.06	447.82	444.72	808.0	802.41	521.76	848.22	305.55	703.28	591.22	463.65	718.08	403.5	819.3	392.44	251.48	314.17	629.35	723.08	279.14	281.09	507.46	521.76	435.55	297.17	595.34	486.75	819.3	825.0	813.63	674.59	514.56	1359.57	1378.57	723.08	1331.57	1051.79	909.17	896.64	679.29	323.03	1685.71	928.3	587.13	1008.9	275.28	397.93	283.05	293.07	265.87	189.02	214.27	244.57	297.17	218.79	0.0
PARP3	61.68	336.79	242.88	392.44	71.0	204.07	299.25	96.01	460.44	466.88	325.29	525.39	127.0	329.84	638.15	356.05	447.82	146.03	397.93	191.67	185.11	142.01	503.95	503.95	46.18	159.9	426.57	229.72	91.41	239.52	134.3	409.15	470.14	595.34	665.29	591.22	656.11	483.38	688.78	842.36	521.76	444.72	764.36	1331.57	231.32	275.28	258.57	1709.26	791.35	878.17	309.83	190.34	256.78	339.14	201.25	135.24	180.02	181.28	136.19	181.28	0.0
PFDN1	947.83	1857.6	674.59	1832.01	1191.69	1745.2	1617.0	1143.1	1639.59	2287.2	1721.16	2255.7	1359.57	2133.97	1583.71	1437.15	1870.53	988.12	1721.16	890.44	878.17	1295.13	1769.57	1508.65	1111.82	1540.37	1457.23	1023.0	1242.34	1369.04	1923.14	2133.97	1950.0	1572.76	1857.6	1806.78	1685.71	1407.55	1427.22	1551.09	2148.82	1233.75	1674.06	1561.89	2485.67	2255.7	2148.82	1216.75	2209.26	2133.97	1350.18	785.88	1119.56	902.89	1104.13	813.63	1183.45	785.88	1233.75	1199.98	0.0
PHF7	50.98	77.79	93.35	251.48	59.55	111.21	211.31	63.45	169.07	128.79	281.09	86.43	101.54	167.9	212.78	90.77	96.01	50.27	197.09	69.52	113.56	88.88	204.07	301.33	30.78	58.3	109.66	44.25	43.63	23.08	466.88	182.55	153.34	229.72	291.04	221.86	193.01	141.02	232.94	521.76	255.0	371.22	283.05	366.09	59.13	145.02	229.72	226.54	314.17	155.5	76.17	42.11	55.1	43.94	43.32	39.5	71.0	49.56	94.67	46.5	0.0
PIGB	209.84	318.57	132.44	353.59	201.25	373.81	269.6	251.48	511.0	264.03	236.21	363.56	199.85	320.8	503.95	228.13	373.81	236.21	420.68	476.71	170.25	273.37	332.14	387.02	102.97	267.73	323.03	273.37	253.23	271.48	387.02	368.65	403.5	435.55	346.29	412.0	417.77	638.15	607.87	493.56	511.0	638.15	743.43	540.19	332.14	339.14	718.08	273.37	423.61	551.56	244.57	190.34	151.22	178.77	153.34	204.07	191.67	144.01	154.42	253.23	0.0
PIGV	327.56	239.52	332.14	884.29	90.14	197.09	256.78	139.07	379.04	228.13	713.11	253.23	521.76	397.93	343.89	181.28	212.78	279.14	583.07	258.57	249.73	246.28	532.74	444.72	157.68	183.82	403.5	457.25	112.77	83.45	1059.11	387.02	480.04	381.68	559.28	647.07	392.44	669.92	733.19	698.41	392.44	607.87	629.35	532.74	170.25	688.78	555.41	583.07	497.0	438.59	208.38	224.97	151.22	341.51	341.51	343.89	194.36	260.38	208.38	316.37	0.0
POC5	75.64	195.72	74.58	132.44	86.43	346.29	114.36	156.59	258.57	314.17	104.42	423.61	131.51	237.86	217.27	194.36	248.0	92.7	361.04	91.41	50.27	99.43	214.27	236.21	186.4	142.01	129.69	152.28	126.12	95.34	151.22	146.03	229.72	211.31	251.48	277.2	228.13	429.54	231.32	336.79	237.86	277.2	237.86	275.28	204.07	158.79	348.71	275.28	144.01	277.2	65.26	102.97	88.26	109.66	66.65	62.56	53.95	53.95	69.52	90.14	191.67
PRIMPOL	67.59	206.94	299.25	329.84	163.28	244.57	117.6	166.73	363.56	189.02	264.03	178.77	158.79	220.32	271.48	181.28	244.57	191.67	395.18	212.78	229.72	177.53	289.02	314.17	77.25	145.02	142.01	185.11	201.25	283.05	226.54	323.03	412.0	320.8	253.23	346.29	305.55	470.14	432.53	435.55	307.69	361.04	361.04	417.77	140.04	299.25	329.84	420.68	309.83	379.04	130.6	122.64	147.06	182.55	138.1	134.3	127.89	169.07	78.89	166.73	0.0
RABEP1	336.79	1350.18	237.86	1331.57	366.09	2720.15	813.63	1733.13	2976.74	693.58	3794.3	1304.15	249.73	2915.45	3540.14	591.22	3589.58	371.22	1936.53	441.64	438.59	848.22	1639.59	1651.0	563.18	371.22	403.5	283.05	327.56	258.57	2555.58	1277.29	981.29	1551.09	2520.38	2555.58	1359.57	2875.3	1143.1	12415.75	2758.13	6037.61	974.5	5219.6	1096.5	460.44	4481.23	7230.1	1662.49	1508.65	381.68	346.29	429.54	336.79	460.44	435.55	269.6	457.25	242.88	336.79	291.04
RAD17	176.29	429.54	220.32	267.73	169.07	555.41	273.37	277.2	551.56	450.94	529.06	435.55	212.78	403.5	395.18	343.89	540.19	262.2	555.41	299.25	224.97	255.0	450.94	500.46	293.07	206.94	371.22	351.14	249.73	170.25	808.0	348.71	486.75	476.71	551.56	473.41	397.93	684.02	435.55	743.43	447.82	669.92	780.44	334.46	217.27	381.68	395.18	473.41	432.53	532.74	146.03	194.36	202.66	143.01	125.24	171.45	158.79	127.0	187.71	110.43	0.0
RARS	764.36	1151.06	656.11	1407.55	1143.1	1519.15	860.08	1127.35	1388.16	1467.37	921.88	1498.22	1175.27	1617.0	988.12	1340.84	1427.22	1119.56	1250.98	928.3	1073.91	819.3	1350.18	1159.07	698.41	1127.35	1059.11	872.1	1242.34	848.22	1111.82	1030.12	1350.18	1104.13	1096.5	1295.13	1059.11	1709.26	1369.04	1159.07	1923.14	1277.29	1662.49	1225.22	1331.57	813.63	2075.59	1015.93	848.22	1498.22	780.44	902.89	748.61	753.83	941.27	759.08	1059.11	860.08	896.64	872.1	0.0
RBM22	339.14	896.64	480.04	1001.93	575.03	872.1	490.14	928.3	974.5	1066.48	629.35	1051.79	470.14	954.43	713.11	764.36	890.44	460.44	1407.55	507.46	384.34	417.77	1001.93	915.51	392.44	575.03	698.41	684.02	587.13	358.54	878.17	872.1	1151.06	967.76	1143.1	1151.06	878.17	1359.57	780.44	1242.34	1001.93	1030.12	1199.98	1127.35	748.61	934.76	1191.69	1233.75	813.63	1151.06	435.55	595.34	503.95	368.65	406.31	339.14	457.25	423.61	379.04	376.41	0.0
RUFY1	343.89	1277.29	397.93	713.11	551.56	1037.29	1745.2	1175.27	1233.75	1135.2	1044.52	1175.27	616.37	1081.39	1104.13	748.61	1037.29	518.15	947.83	1143.1	1008.9	1066.48	1119.56	1104.13	341.51	674.59	819.3	703.28	921.88	679.29	1225.22	981.29	995.0	836.53	1081.39	1023.0	1135.2	1199.98	1936.53	1617.0	1199.98	1340.84	1208.34	1183.45	1151.06	808.0	1208.34	1498.22	587.13	1111.82	373.81	441.64	417.77	460.44	392.44	346.29	493.56	514.56	381.68	256.78	0.0
SAP30L	353.59	775.05	460.44	497.0	543.96	780.44	379.04	688.78	738.29	1127.35	532.74	679.29	591.22	854.13	441.64	432.53	961.07	551.56	860.08	503.95	289.02	417.77	723.08	595.34	397.93	808.0	733.19	470.14	536.45	444.72	486.75	698.41	791.35	708.18	1037.29	647.07	693.58	547.75	842.36	878.17	591.22	830.75	743.43	624.99	500.46	842.36	457.25	414.87	842.36	387.02	309.83	353.59	371.22	339.14	305.55	392.44	447.82	351.14	320.8	521.76	0.0
SEC22C	152.28	656.11	497.0	1277.29	406.31	780.44	866.07	480.04	1023.0	915.51	967.76	743.43	441.64	698.41	884.29	684.02	890.44	629.35	1304.15	679.29	567.1	1104.13	1167.14	1322.37	376.41	457.25	679.29	392.44	559.28	607.87	1242.34	1015.93	1322.37	1081.39	1242.34	1322.37	1208.34	890.44	1167.14	961.07	1397.83	1467.37	1388.16	947.83	896.64	1051.79	1674.06	785.88	2255.7	1199.98	529.06	155.5	444.72	406.31	301.33	241.19	325.29	277.2	466.88	397.93	698.41
SLC22A5	108.9	435.55	115.16	403.5	118.43	241.19	121.79	164.42	320.8	490.14	563.18	624.99	98.04	665.29	368.65	264.03	400.71	111.21	476.71	81.14	89.51	175.07	447.82	329.84	56.28	72.52	176.29	82.87	81.14	29.06	454.09	175.07	309.83	301.33	470.14	420.68	307.69	529.06	392.44	607.87	559.28	532.74	212.78	555.41	201.25	155.5	343.89	780.44	392.44	384.34	69.03	60.39	88.26	94.01	73.03	68.55	73.54	72.52	44.89	115.16	0.0
SLC35A4	497.0	1104.13	529.06	1175.27	791.35	1081.39	1583.71	738.29	1143.1	1540.37	947.83	1819.35	1001.93	1397.83	1250.98	1250.98	1242.34	669.92	1417.35	688.78	703.28	674.59	1313.23	1208.34	656.11	909.17	1388.16	647.07	1059.11	679.29	1447.15	1388.16	1508.65	1259.69	1268.46	1498.22	1073.91	1143.1	928.3	1208.34	1044.52	1225.22	1551.09	981.29	1151.06	1529.73	1051.79	928.3	1519.15	1159.07	703.28	866.07	796.86	567.1	728.11	525.39	567.1	769.69	785.88	555.41	0.0
SNX2	320.8	1709.26	651.58	1175.27	775.05	1397.83	1369.04	825.0	1417.35	1605.83	1088.92	1950.0	1151.06	1059.11	1175.27	1059.11	1617.0	981.29	1583.71	1111.82	575.03	890.44	1208.34	1437.15	802.41	1135.2	1427.22	633.73	1119.56	575.03	1561.89	1447.15	1896.65	1540.37	1191.69	1259.69	1519.15	1685.71	1295.13	2032.85	1617.0	1757.34	2018.8	1167.14	1313.23	1322.37	2351.53	1233.75	1487.87	1540.37	620.67	575.03	599.49	346.29	457.25	381.68	620.67	384.34	579.04	371.22	866.07
SPEF2	0.36	244.57	127.89	123.5	186.4	132.44	117.6	101.54	289.02	283.05	334.46	242.88	82.29	277.2	158.79	78.89	234.57	29.48	224.97	53.19	35.76	81.14	143.01	194.36	64.34	70.51	81.71	177.53	49.91	19.82	361.04	105.89	220.32	253.23	265.87	191.67	149.12	507.46	242.88	460.44	253.23	183.82	194.36	305.55	62.12	178.77	258.57	490.14	120.1	237.86	6.46	17.77	6.67	14.56	9.34	11.91	6.11	16.39	5.19	3.11	0.0
SYTL4	78.34	224.97	45.85	309.83	226.54	785.88	76.71	529.06	511.0	591.22	647.07	400.71	65.26	872.1	525.39	127.89	753.83	143.01	759.08	209.84	189.02	155.5	353.59	764.36	34.51	110.43	343.89	38.95	271.48	117.6	33.3	511.0	457.25	480.04	624.99	334.46	483.38	743.43	813.63	454.09	155.5	583.07	995.0	480.04	599.49	64.8	1111.82	1551.09	629.35	253.23	155.5	66.18	24.46	42.11	81.14	40.64	107.38	44.89	65.26	27.25	0.0
TAF7	738.29	2271.4	981.29	1745.2	1572.76	2555.58	1331.57	866.07	988.12	2682.69	974.5	3212.66	1208.34	759.08	1697.45	928.3	3235.01	928.3	2758.13	1350.18	753.83	1175.27	2224.63	2303.12	1733.13	1081.39	1250.98	1322.37	1322.37	1359.57	1697.45	2434.5	2287.2	2303.12	2367.9	2875.3	1950.0	3395.89	1457.23	1857.6	2163.77	1697.45	1896.65	3146.52	2090.03	4123.49	1832.01	1936.53	2224.63	2520.38	941.27	1259.69	813.63	872.1	1059.11	669.92	1081.39	1008.9	669.92	796.86	0.0
TCTN1	148.09	802.41	480.04	1104.13	256.78	995.0	525.39	769.69	1662.49	1191.69	928.3	1359.57	624.99	1127.35	928.3	909.17	1397.83	414.87	1277.29	237.86	642.59	575.03	1015.93	954.43	536.45	532.74	466.88	915.51	420.68	518.15	1277.29	854.13	1397.83	1059.11	1073.91	1119.56	1242.34	1662.49	1437.15	1733.13	1437.15	1233.75	1037.29	1259.69	866.07	713.11	902.89	1199.98	961.07	1175.27	435.55	217.27	195.72	511.0	329.84	57.49	295.11	155.5	217.27	253.23	0.0
TMEM9B	1073.91	1313.23	616.37	2875.3	698.41	1883.54	1199.98	1617.0	1286.18	1844.76	1662.49	1709.26	1923.14	2193.99	1437.15	1233.75	1583.71	866.07	1950.0	1208.34	679.29	890.44	1685.71	1651.0	334.46	1208.34	1572.76	890.44	909.17	688.78	2502.97	1781.89	1794.29	1467.37	1388.16	1870.53	1529.73	1467.37	995.0	1806.78	1447.15	1870.53	1896.65	1159.07	1844.76	1977.24	2400.97	915.51	3794.3	1397.83	684.02	947.83	947.83	842.36	1023.0	759.08	884.29	1015.93	1268.46	825.0	1191.69
TRIM4	265.87	607.87	295.11	981.29	412.0	497.0	395.18	273.37	878.17	616.37	679.29	373.81	392.44	954.43	432.53	438.59	656.11	264.03	1051.79	379.04	497.0	361.04	909.17	647.07	285.03	255.0	624.99	693.58	361.04	417.77	1066.48	551.56	961.07	633.73	1104.13	796.86	559.28	1135.2	555.41	909.17	769.69	954.43	624.99	633.73	417.77	624.99	860.08	866.07	693.58	514.56	277.2	392.44	264.03	358.54	244.57	256.78	228.13	343.89	125.24	157.68	0.0
TRIM52	46.18	320.8	143.01	156.59	102.25	102.97	177.53	163.28	309.83	316.37	289.02	358.54	80.01	289.02	265.87	115.97	303.44	87.65	339.14	117.6	135.24	133.36	251.48	253.23	58.71	115.16	138.1	152.28	100.13	75.11	269.6	215.77	281.09	248.0	329.84	269.6	295.11	400.71	307.69	432.53	361.04	412.0	218.79	406.31	83.45	150.17	124.37	363.56	128.79	182.55	40.64	37.05	31.67	31.22	46.18	53.95	29.06	53.19	50.98	48.87	0.0
TTC18	5.41	83.45	31.67	86.43	11.13	49.56	36.79	18.56	88.26	118.43	126.12	49.21	18.56	108.14	77.79	26.47	127.89	13.72	84.63	6.78	16.88	7.82	128.79	72.52	1.08	8.78	29.91	48.18	12.18	34.51	98.73	48.52	95.34	105.15	84.04	154.42	146.03	341.51	191.67	444.72	190.34	100.83	92.7	287.01	46.84	9.06	105.89	583.07	74.06	149.12	0.0	3.14	2.14	4.13	1.25	0.71	1.75	8.06	1.62	3.29	0.0
USP19	265.87	638.15	470.14	460.44	579.04	575.03	583.07	529.06	802.41	511.0	878.17	511.0	297.17	518.15	842.36	738.29	629.35	312.0	785.88	493.56	438.59	275.28	698.41	665.29	417.77	258.57	633.73	708.18	438.59	483.38	669.92	872.1	620.67	934.76	954.43	808.0	713.11	1008.9	587.13	1268.46	1096.5	1175.27	759.08	954.43	447.82	629.35	325.29	1208.34	775.05	775.05	381.68	514.56	414.87	271.48	412.0	262.2	384.34	329.84	341.51	265.87	0.0
WDR6	336.79	1674.06	860.08	1331.57	733.19	1119.56	1159.07	974.5	1639.59	1628.26	2319.15	1104.13	753.83	1233.75	3235.01	1286.18	2255.7	612.11	2468.49	1208.34	1819.35	426.57	2335.28	2075.59	954.43	785.88	1059.11	896.64	1572.76	890.44	2148.82	2148.82	1697.45	2720.15	2351.53	2537.92	1991.0	3372.43	1721.16	3146.52	1733.13	2468.49	1135.2	2090.03	836.53	1378.57	1119.56	4181.07	1709.26	1674.06	669.92	514.56	921.88	723.08	555.41	358.54	603.67	738.29	483.38	473.41	0.0
WDR96	3.79	37.59	7.57	64.8	13.12	21.32	11.13	27.44	44.57	40.64	24.99	42.71	10.79	31.0	72.01	37.85	84.63	5.11	94.67	19.82	10.55	7.4	115.97	78.34	4.66	12.27	9.48	32.13	18.29	2.58	46.84	48.18	32.82	67.59	68.07	94.67	65.72	162.14	59.13	142.01	98.04	86.43	44.25	104.42	36.79	33.06	27.44	195.72	35.5	85.82	1.01	4.46	3.79	5.45	7.88	2.61	2.27	4.43	1.33	7.63	0.0
ZCCHC10	339.14	575.03	229.72	848.22	358.54	941.27	403.5	470.14	743.43	808.0	454.09	785.88	269.6	769.69	540.19	514.56	529.06	289.02	575.03	307.69	237.86	329.84	483.38	514.56	327.56	532.74	503.95	293.07	267.73	166.73	848.22	511.0	454.09	559.28	473.41	463.65	387.02	438.59	376.41	438.59	470.14	480.04	813.63	435.55	733.19	547.75	674.59	507.46	1350.18	748.61	406.31	406.31	325.29	303.44	293.07	327.56	414.87	373.81	361.04	339.14	0.0
ZFAND4	40.07	228.13	44.25	457.25	70.51	180.02	155.5	185.11	397.93	180.02	277.2	96.68	119.26	218.79	180.02	112.77	153.34	140.04	217.27	181.28	38.12	128.79	264.03	183.82	125.24	69.03	93.35	161.02	119.26	35.25	283.05	159.9	134.3	198.47	214.27	202.66	162.14	417.77	239.52	642.59	406.31	379.04	356.05	395.18	161.02	155.5	223.41	575.03	151.22	197.09	21.16	130.6	36.53	21.47	29.7	55.89	32.59	100.83	72.52	53.19	0.0
ZFP62	154.42	830.75	314.17	457.25	265.87	624.99	470.14	420.68	633.73	679.29	493.56	571.05	397.93	454.09	536.45	420.68	497.0	208.38	575.03	460.44	480.04	480.04	543.96	500.46	241.19	241.19	341.51	381.68	368.65	223.41	785.88	325.29	559.28	444.72	543.96	563.18	423.61	769.69	595.34	825.0	669.92	629.35	532.74	665.29	371.22	503.95	521.76	612.11	373.81	563.18	80.57	171.45	191.67	150.17	108.14	108.14	144.01	123.5	72.52	127.89	0.0
ZMAT2	1127.35	3124.78	1259.69	2119.22	1870.53	1662.49	1936.53	1359.57	2351.53	2835.7	1295.13	3060.45	1340.84	3081.75	1977.24	1977.24	2777.33	1250.98	1781.89	1757.34	1199.98	1388.16	2224.63	2133.97	1259.69	1857.6	1745.2	1583.71	1857.6	1662.49	2434.5	2384.37	2104.58	2209.26	2997.45	2133.97	2573.36	1896.65	1191.69	3235.01	1427.22	2075.59	2032.85	2163.77	1936.53	2163.77	2627.46	2133.97	2303.12	1457.23	1313.23	1096.5	1340.84	1151.06	1369.04	1583.71	1250.98	1540.37	1233.75	1277.29	0.0
ZNF346	81.14	198.47	113.56	246.28	211.31	262.2	224.97	226.54	297.17	269.6	220.32	366.09	89.51	226.54	206.94	301.33	198.47	134.3	256.78	145.02	320.8	195.72	223.41	236.21	104.42	146.03	159.9	175.07	139.07	78.34	348.71	158.79	241.19	236.21	273.37	265.87	204.07	299.25	249.73	303.44	293.07	226.54	239.52	379.04	249.73	211.31	205.5	339.14	241.19	234.57	80.57	125.24	71.0	80.01	73.54	45.53	82.87	92.7	88.88	105.15	78.34
ZNF540	3.82	44.89	27.44	34.26	13.42	16.39	35.5	24.28	93.35	96.01	103.69	65.72	18.43	83.45	57.49	22.75	23.08	22.26	144.01	19.82	27.44	13.72	146.03	92.7	6.84	31.0	51.71	10.0	23.42	2.05	79.45	61.25	127.0	116.78	113.56	185.11	110.43	209.84	143.01	149.12	163.28	209.84	165.57	102.97	39.22	100.13	99.43	129.69	70.01	90.77	12.55	7.63	10.16	4.62	3.26	7.46	11.91	4.7	8.58	2.32	0.0
ZNF546	5.06	47.84	25.91	34.02	11.55	24.99	35.76	18.97	67.59	38.4	66.65	48.18	15.0	42.41	24.99	22.59	43.94	19.53	69.52	20.41	14.14	32.82	44.25	37.59	26.47	19.82	41.22	21.78	15.34	10.0	31.9	34.75	91.41	56.68	50.63	49.91	58.3	117.6	92.7	114.36	97.36	107.38	72.01	88.26	17.51	25.17	127.89	120.1	23.59	108.14	6.78	7.63	6.57	15.0	1.85	7.75	5.23	17.13	3.29	6.73	0.0
