	GTEX.YF7O.0626.SM.4W21R	GTEX.12WSI.0826.SM.5EGKD	GTEX.13O3O.0726.SM.5J1N7	GTEX.O5YW.0526.SM.2YUMX	GTEX.12584.1426.SM.5EGJ9	GTEX.TMMY.0926.SM.4TT1Z	GTEX.13OVH.1026.SM.5J2NP	GTEX.11P7K.0326.SM.59871	GTEX.147F4.0926.SM.5Q5EO	GTEX.U8XE.1426.SM.3DB8Q	GTEX.11UD2.0726.SM.5EQ69	GTEX.WFJO.0326.SM.3GIL3	GTEX.P4PQ.0526.SM.2HMKR	GTEX.14E7W.1326.SM.5RQIV	GTEX.WOFM.0126.SM.3MJFE	GTEX.YEC3.0226.SM.5IFJO	GTEX.11NV4.1126.SM.5HL6J	GTEX.12BJ1.1026.SM.5EGJA	GTEX.11EMC.0126.SM.5EGKV	GTEX.WFON.0426.SM.3GIL4	GTEX.13N2G.0826.SM.5IJE6	GTEX.13N1W.0726.SM.5MR57	GTEX.QESD.0626.SM.2I5G4	GTEX.OIZI.1026.SM.3NB1K	GTEX.13OW6.0826.SM.5L3GA	GTEX.145MF.0726.SM.5Q5BT	GTEX.X4LF.0526.SM.3NMB6	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.11WQK.1226.SM.5GU5Z	GTEX.XQ8I.1126.SM.4BOO2	GTEX.SUCS.0626.SM.32PM5	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	GTEX.ZVT3.0926.SM.5GICK
RAB33A	14.24	29.7	59.97	10.0	73.03	12.36	47.17	10.55	63.45	80.01	34.51	8.65	14.24	58.71	31.0	11.55	117.6	29.91	28.04	7.4	15.11	30.56	31.45	15.8	20.86	35.0	25.17	26.86	8.65	34.26	21.63	14.24	17.51	14.24	38.67
RAI1	201.25	339.14	389.72	249.73	444.72	164.42	381.68	239.52	395.18	723.08	785.88	140.04	118.43	314.17	130.6	176.29	249.73	234.57	187.71	180.02	603.67	406.31	400.71	94.67	579.04	414.87	150.17	236.21	289.02	406.31	226.54	176.29	363.56	177.53	381.68
RANGAP1	366.09	1008.9	830.75	713.11	1199.98	483.38	1295.13	698.41	1844.76	1350.18	1674.06	543.96	514.56	2682.69	343.89	540.19	4123.49	633.73	1044.52	660.68	902.89	1111.82	1427.22	358.54	1259.69	728.11	579.04	921.88	616.37	3982.99	743.43	688.78	866.07	563.18	1417.35
RELA	1407.55	1963.57	2875.3	1794.29	2739.08	1963.57	2485.67	1268.46	3325.99	2061.24	2119.22	1304.15	1417.35	3081.75	1331.57	1407.55	4152.18	2335.28	2417.67	1304.15	1697.45	2032.85	2485.67	1295.13	2178.83	1769.57	1295.13	1685.71	1674.06	3690.52	1617.0	1417.35	1745.2	1709.26	2520.38
RELB	332.14	813.63	1769.57	177.53	1617.0	463.65	1832.01	239.52	1561.89	1369.04	1159.07	223.41	153.34	1977.24	208.38	162.14	2224.63	1044.52	848.22	202.66	384.34	947.83	1697.45	180.02	1250.98	830.75	212.78	426.57	470.14	2468.49	228.13	150.17	412.0	297.17	1081.39
RELT	106.63	285.03	571.05	83.45	480.04	204.07	559.28	88.26	500.46	490.14	567.1	84.04	86.43	575.03	113.56	96.68	406.31	189.02	191.67	65.26	148.09	301.33	267.73	151.22	303.44	295.11	155.5	120.1	117.6	490.14	320.8	142.01	209.84	131.51	329.84
RNF126	651.58	1529.73	1832.01	412.0	1417.35	583.07	1857.6	612.11	1015.93	1242.34	1529.73	384.34	381.68	1143.1	703.28	493.56	1572.76	819.3	1151.06	376.41	909.17	1583.71	1096.5	738.29	1832.01	1242.34	612.11	947.83	796.86	1605.83	791.35	674.59	409.15	420.68	1617.0
RP11-315D16.2	0.66	12.45	17.77	0.0	5.06	2.86	13.42	0.0	6.06	3.56	5.82	0.0	0.0	7.46	0.0	0.84	8.38	0.79	10.16	8.25	1.39	7.06	4.06	0.44	25.72	10.08	2.56	0.0	1.04	26.47	0.0	0.0	0.85	0.0	10.0
RUNX1	521.76	1268.46	1081.39	316.37	1950.0	679.29	1407.55	320.8	1639.59	1151.06	934.76	470.14	307.69	1313.23	246.28	371.22	1359.57	738.29	638.15	289.02	884.29	775.05	848.22	312.0	967.76	1498.22	376.41	384.34	518.15	1295.13	571.05	420.68	583.07	400.71	785.88
SAT1	15392.14	38966.94	131982.68	17197.56	93325.55	29943.43	104271.56	26614.89	105727.15	72715.74	67846.12	16960.78	11584.24	51417.5	16611.71	15180.22	123144.13	34876.28	73221.53	21617.82	21172.91	46019.85	45072.75	12943.04	63742.91	65535.0	15285.81	16269.83	18304.63	104996.83	29736.59	22225.61	25179.16	14163.58	53601.03
SBNO2	450.94	995.0	3768.09	532.74	2739.08	878.17	2384.37	500.46	3639.7	1697.45	1286.18	438.59	503.95	2777.33	518.15	514.56	3235.01	2032.85	1208.34	291.04	909.17	1540.37	2796.65	540.19	1991.0	1023.0	511.0	819.3	785.88	1304.15	902.89	466.88	638.15	616.37	1447.15
SEMA7A	90.14	204.07	450.94	132.44	376.41	68.07	395.18	74.58	854.13	500.46	507.46	65.26	53.57	1437.15	56.28	57.49	1208.34	118.43	387.02	148.09	89.51	591.22	490.14	49.91	271.48	260.38	48.18	118.43	49.56	1295.13	74.58	46.84	314.17	113.56	679.29
SERPINB9	228.13	379.04	1487.87	181.28	1639.59	145.02	981.29	134.3	2485.67	796.86	1331.57	204.07	215.77	1909.85	175.07	205.5	2287.2	406.31	395.18	170.25	189.02	612.11	902.89	164.42	490.14	693.58	172.65	137.14	159.9	688.78	224.97	149.12	287.01	186.4	738.29
SERPINE1	567.1	633.73	12764.83	3982.99	24153.43	947.83	14361.31	563.18	15715.58	7081.29	2271.4	718.08	738.29	7280.4	454.09	536.45	9215.48	4095.0	11992.79	1015.93	830.75	1857.6	3303.0	395.18	5751.61	3190.46	269.6	1066.48	748.61	39237.98	4210.15	490.14	2090.03	854.13	2133.97
SFTPC	5.882801313E7	7881287.05	830.75	7.92550749E7	303217.87	4.811555286E7	5650706.18	4.188702152E7	24153.43	2.4225111E7	22072.07	2.880867455E7	2.542950323E7	469249.9	2.339991475E7	5.761735011E7	84694.64	1.927195942E7	1.36273329E7	3.801327429E7	4.878722096E7	3.72309724E7	1.194579786E7	2.276004283E7	1.450452687E7	1.289224244E7	2.706640506E7	2.525384881E7	5.228884881E7	1093103.58	1.0826562323E8	3.109113511E7	6.17527469E7	2.578448588E7	2654482.97
SLC16A7	11.13	75.11	343.89	43.63	738.29	24.46	244.57	5.06	262.2	69.03	255.0	7.88	4.62	159.9	22.43	25.91	503.95	34.26	314.17	21.47	118.43	98.04	84.63	18.43	133.36	165.57	10.47	12.18	13.62	191.67	30.56	7.63	6.94	10.31	197.09
SLC25A28	703.28	2090.03	3039.3	669.92	1594.73	785.88	3124.78	1199.98	2255.7	1151.06	2915.45	872.1	995.0	2351.53	1037.29	733.19	4419.52	1111.82	2004.85	616.37	1407.55	1697.45	1561.89	1127.35	1883.54	1594.73	1119.56	813.63	693.58	2287.2	995.0	836.53	713.11	1096.5	2148.82
SLC30A7	147.06	218.79	567.1	116.78	426.57	136.19	316.37	119.26	507.46	275.28	325.29	141.02	112.77	480.04	177.53	121.79	341.51	204.07	224.97	147.06	161.02	239.52	406.31	149.12	358.54	332.14	147.06	113.56	114.36	348.71	85.22	104.42	135.24	155.5	232.94
SLC39A14	246.28	277.2	1397.83	146.03	2434.5	277.2	1286.18	83.45	1259.69	928.3	543.96	194.36	117.6	295.11	132.44	334.46	248.0	438.59	947.83	151.22	211.31	616.37	684.02	139.07	490.14	253.23	166.73	226.54	166.73	1388.16	169.07	158.79	155.5	186.4	555.41
SLCO3A1	518.15	769.69	1437.15	1397.83	854.13	738.29	2520.38	226.54	1977.24	2271.4	1745.2	215.77	723.08	2209.26	414.87	305.55	872.1	825.0	1781.89	376.41	796.86	1709.26	2573.36	536.45	4066.71	1268.46	301.33	679.29	813.63	4903.87	633.73	473.41	854.13	563.18	1216.75
SNRPA1	480.04	1561.89	2178.83	384.34	1594.73	473.41	2451.44	738.29	1870.53	1551.09	2573.36	647.07	486.75	2224.63	708.18	555.41	2520.38	884.29	1819.35	743.43	1066.48	1923.14	921.88	785.88	1844.76	1832.01	703.28	476.71	529.06	2451.44	748.61	563.18	320.8	665.29	1519.15
SOD2	6607.01	7537.18	50359.33	6337.83	73730.83	11827.67	41188.81	2777.33	38966.94	51417.5	17927.91	4512.4	3060.45	11267.44	3847.29	3955.48	15392.14	19754.96	31432.17	3768.09	7485.11	19348.38	30361.44	3955.48	21919.61	10883.59	3847.29	4066.71	6652.97	46662.28	7331.05	3540.14	3901.01	4358.66	14065.74
SPRED3	1.08	16.51	29.91	0.17	40.64	10.47	33.06	1.38	28.24	23.42	37.32	4.17	6.31	27.44	0.13	3.72	23.76	9.2	12.27	2.86	1.08	22.75	8.06	2.29	9.78	16.75	1.85	2.51	1.89	40.93	0.91	1.87	2.53	2.68	16.88
SSH1	229.72	389.72	1242.34	267.73	1159.07	341.51	995.0	193.01	1857.6	633.73	575.03	231.32	231.32	1250.98	265.87	267.73	1259.69	532.74	612.11	229.72	291.04	583.07	791.35	244.57	780.44	624.99	258.57	291.04	271.48	603.67	271.48	214.27	281.09	320.8	579.04
SYN1	9.7	21.16	32.36	6.57	54.72	4.98	77.25	7.57	30.34	78.34	85.22	5.45	12.0	28.65	7.51	6.41	28.86	40.93	34.75	5.77	8.92	62.56	97.36	6.52	61.25	10.47	9.06	10.39	9.7	148.09	5.32	9.56	7.51	3.69	26.28
TAP1	703.28	2451.44	4836.35	954.43	5147.73	848.22	4704.07	884.29	5006.93	2816.11	12676.65	769.69	595.34	5441.3	866.07	651.58	31870.96	1467.37	2573.36	1286.18	2061.24	5292.48	5329.3	698.41	3372.43	2875.3	813.63	1001.93	733.19	6935.54	796.86	738.29	1909.85	1167.14	7589.61
TEAD2	307.69	764.36	3491.39	748.61	2193.99	748.61	2335.28	414.87	3018.3	1104.13	3280.18	470.14	480.04	2240.11	432.53	514.56	2816.11	514.56	1135.2	457.25	775.05	902.89	2178.83	403.5	1015.93	525.39	563.18	669.92	318.57	3124.78	463.65	343.89	890.44	575.03	1651.0
TICAM1	301.33	514.56	1023.0	660.68	1127.35	674.59	1030.12	316.37	974.5	1088.92	733.19	258.57	273.37	1896.65	256.78	323.03	2434.5	591.22	1143.1	312.0	525.39	813.63	796.86	229.72	713.11	708.18	236.21	400.71	381.68	819.3	688.78	309.83	463.65	379.04	981.29
TIMP1	7749.1	9945.68	19482.97	4328.55	48643.87	3280.18	31870.96	2609.3	21468.49	34396.12	67377.47	3467.27	7130.55	12502.12	3874.05	7589.61	24321.43	8718.32	11827.67	4903.87	4481.23	23820.89	26986.43	4607.24	16960.78	8538.88	9808.75	6381.92	4639.29	92040.7	3372.43	3168.41	9215.48	2664.15	15075.35
TLE3	361.04	599.49	1781.89	435.55	1583.71	555.41	1066.48	320.8	1277.29	775.05	1135.2	255.0	447.82	1225.22	327.56	460.44	1277.29	802.41	551.56	264.03	384.34	571.05	1175.27	341.51	587.13	547.75	423.61	457.25	409.15	1096.5	403.5	281.09	543.96	336.79	988.12
TNFAIP6	123.5	102.97	1467.37	19.11	3690.52	108.9	1066.48	12.36	928.3	915.51	583.07	52.45	49.21	211.31	24.11	143.01	559.28	400.71	112.77	90.14	39.5	147.06	373.81	20.41	166.73	125.24	40.64	39.22	65.72	2875.3	27.64	24.11	77.79	13.32	403.5
TNFRSF6B	66.18	273.37	1529.73	13.03	651.58	44.89	1844.76	45.21	559.28	587.13	988.12	34.75	52.08	819.3	56.28	22.1	320.8	277.2	1477.58	9.85	60.39	540.19	575.03	38.95	297.17	595.34	17.77	140.04	78.89	6294.04	26.47	31.67	21.16	11.64	293.07
TNIP1	1628.26	3039.3	10959.3	2163.77	9808.75	2739.08	12589.08	1745.2	9279.58	9808.75	5751.61	1697.45	1794.29	9673.69	1457.23	1359.57	9740.98	3847.29	4769.75	1508.65	2075.59	3235.01	6607.01	1769.57	5329.3	3794.3	1781.89	1819.35	2627.46	14663.09	2855.44	2047.0	2032.85	1674.06	4512.4
TRAF3	128.79	303.44	460.44	166.73	607.87	129.69	620.67	143.01	403.5	426.57	616.37	105.89	105.89	325.29	127.0	152.28	351.14	267.73	287.01	86.43	248.0	301.33	463.65	104.42	438.59	403.5	146.03	205.5	131.51	669.92	151.22	128.79	185.11	114.36	239.52
TRAF3IP2	915.51	1350.18	2255.7	633.73	4575.41	660.68	2400.97	412.0	995.0	2047.0	954.43	571.05	529.06	3419.52	796.86	543.96	2758.13	647.07	1519.15	708.18	457.25	1259.69	1127.35	708.18	1963.57	1417.35	688.78	423.61	518.15	4639.29	521.76	463.65	559.28	718.08	1096.5
UAP1	1175.27	1427.22	1896.65	591.22	2555.58	1044.52	2367.9	409.15	1639.59	1216.75	723.08	674.59	483.38	1199.98	579.04	1467.37	1313.23	1037.29	2075.59	587.13	684.02	1529.73	1216.75	603.67	1407.55	1331.57	633.73	738.29	660.68	1350.18	713.11	447.82	713.11	514.56	1388.16
UCK2	163.28	412.0	1167.14	73.03	1417.35	100.13	1191.69	78.89	591.22	981.29	1250.98	58.71	108.9	1051.79	84.04	126.12	915.51	262.2	447.82	128.79	130.6	603.67	1111.82	77.79	974.5	400.71	103.69	152.28	150.17	1781.89	43.02	91.41	68.07	114.36	571.05
UGCG	503.95	878.17	2061.24	361.04	2367.9	708.18	1183.45	409.15	2835.7	1447.15	1135.2	423.61	336.79	1806.78	392.44	381.68	995.0	860.08	921.88	493.56	612.11	928.3	1498.22	339.14	1388.16	1628.26	361.04	476.71	426.57	1508.65	403.5	426.57	441.64	423.61	1175.27
VCAM1	170.25	518.15	1870.53	95.34	3280.18	145.02	1073.91	34.26	2075.59	1883.54	1437.15	67.59	92.7	2895.31	57.89	251.48	1733.13	409.15	256.78	104.42	353.59	1322.37	1733.13	53.19	995.0	974.5	68.55	88.26	56.68	629.35	55.1	43.94	131.51	57.89	2335.28
YBX3	4903.87	9945.68	27174.14	5751.61	26986.43	11745.96	17437.64	3443.31	21919.61	21172.91	18431.96	3235.01	3742.05	16496.96	4239.45	4836.35	18689.27	8718.32	14163.58	3018.3	6250.56	15392.14	22380.2	3395.89	13399.51	11112.3	3372.43	4972.34	4639.29	18304.63	5329.3	3982.99	3540.14	3665.02	13872.08
ZBTB17	248.0	902.89	1304.15	490.14	1167.14	435.55	1388.16	466.88	995.0	813.63	967.76	271.48	293.07	981.29	417.77	379.04	1697.45	432.53	612.11	275.28	536.45	591.22	529.06	414.87	669.92	476.71	567.1	521.76	334.46	1191.69	723.08	493.56	447.82	543.96	665.29
