	TCGA.BH.A0B2.01A.11R.A10J.07	TCGA.BH.A0B2.01A.11R.A10J.07.1	TCGA.A7.A0DC.11A.41R.A089.07	TCGA.A7.A0DC.11A.41R.A089.07.1	TCGA.ZP.A9CZ.01A.11R.A38B.07	TCGA.DD.AACH.01A.11R.A41C.07	TCGA.K7.A5RG.01A.11R.A28V.07	TCGA.CC.5261.01A.01R.A131.07	TCGA.DD.AAVQ.01A.11R.A41C.07	TCGA.BC.4073.01B.02R.A131.07	TCGA.2Y.A9H5.01A.11R.A38B.07	TCGA.DD.AAVW.01A.11R.A41C.07	TCGA.FV.A3I0.11A.11R.A22L.07	GTEX.RTLS.1326.SM.46MUN	GTEX.WYVS.1926.SM.4PQZ2	GTEX.13FLV.0326.SM.5N9DJ	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.WZTO.0626.SM.4PQYY	GTEX.11NV4.1326.SM.5HL6V	GTEX.147F4.1426.SM.5LUA8	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.12WSM.0726.SM.5GCOW	GTEX.QEG4.1826.SM.4R1JN	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.12WSD.1426.SM.5GCN9	GTEX.T6MN.1226.SM.3NMA5	GTEX.1399R.1226.SM.5P9GF	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.13O3O.1826.SM.5IFGW	GTEX.RWSA.1426.SM.47JXA	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	GTEX.X4XY.1026.SM.46MVX	TCGA.BJ.A4O8.01A.11R.A250.07	TCGA.E8.A414.01A.11R.A23N.07	TCGA.CE.A485.01A.11R.A23W.07	TCGA.E8.A432.01A.11R.A23N.07	TCGA.EM.A22P.01A.11R.A19O.07	TCGA.ET.A40T.01A.11R.A23N.07	TCGA.EM.A4FO.01A.11R.A250.07	TCGA.DJ.A3UV.01A.11R.A22L.07	TCGA.CE.A481.01A.21R.A23W.07	TCGA.EL.A3TA.01A.12R.A22L.07	TCGA.FY.A3R7.01A.11R.A220.07	GTEX.12WSB.0726.SM.5N9GD
TAOK2	514.56	514.56	555.41	555.41	511.0	854.13	514.56	540.19	447.82	679.29	511.0	507.46	187.71	186.4	356.05	226.54	215.77	176.29	185.11	379.04	348.71	289.02	412.0	215.77	187.71	255.0	172.65	323.03	214.27	220.32	293.07	142.01	234.57	285.03	281.09	202.66	318.57	348.71	285.03	194.36	229.72	237.86	255.0	325.29	79.45	127.89	130.6	256.78	208.38	1286.18	988.12	785.88	1023.0	902.89	995.0	1044.52	995.0	848.22	1008.9	947.83	796.86	842.36
TBKBP1	115.16	115.16	155.5	155.5	101.54	231.32	83.45	159.9	85.22	65.26	157.68	153.34	15.11	26.67	134.3	43.32	57.49	40.07	34.02	86.43	26.28	61.68	43.94	45.53	60.39	57.49	18.84	35.0	25.91	43.02	57.89	23.25	55.89	64.34	45.85	34.51	38.67	40.93	63.89	61.25	40.64	32.36	31.22	85.22	12.55	6.84	21.47	34.51	31.22	236.21	180.02	163.28	237.86	199.85	267.73	249.73	228.13	189.02	260.38	244.57	264.03	438.59
TFCP2	414.87	414.87	543.96	543.96	218.79	395.18	332.14	432.53	249.73	318.57	301.33	392.44	114.36	166.73	258.57	169.07	189.02	108.9	158.79	124.37	199.85	194.36	206.94	136.19	166.73	96.68	106.63	189.02	120.1	111.99	208.38	70.51	128.79	104.42	244.57	305.55	253.23	164.42	95.34	89.51	138.1	65.26	244.57	141.02	64.34	79.45	73.54	116.78	134.3	314.17	384.34	381.68	373.81	435.55	348.71	366.09	327.56	435.55	423.61	400.71	409.15	567.1
TP53BP1	536.45	536.45	400.71	400.71	186.4	318.57	206.94	253.23	132.44	323.03	177.53	244.57	43.02	76.71	194.36	85.82	81.14	34.51	110.43	136.19	91.41	131.51	114.36	44.57	95.34	91.41	47.84	94.01	34.26	72.52	108.9	74.06	73.54	104.42	99.43	110.43	133.36	85.82	106.63	61.25	113.56	74.58	131.51	120.1	31.45	30.56	64.34	67.12	53.57	429.54	718.08	808.0	830.75	995.0	595.34	759.08	543.96	718.08	884.29	624.99	738.29	563.18
TRIM3	450.94	450.94	314.17	314.17	239.52	708.18	211.31	387.02	224.97	191.67	307.69	232.94	111.99	135.24	209.84	217.27	119.26	87.03	148.09	143.01	99.43	211.31	143.01	165.57	164.42	164.42	81.71	211.31	80.57	114.36	145.02	90.14	204.07	129.69	131.51	71.5	131.51	212.78	157.68	77.25	189.02	214.27	153.34	194.36	97.36	163.28	182.55	165.57	186.4	890.44	403.5	291.04	438.59	332.14	269.6	305.55	329.84	309.83	358.54	314.17	239.52	438.59
TTF1	287.01	287.01	260.38	260.38	139.07	190.34	253.23	275.28	232.94	169.07	161.02	143.01	52.08	85.82	140.04	120.94	164.42	113.56	92.7	89.51	71.5	171.45	194.36	98.73	97.36	123.5	100.83	92.7	122.64	92.05	154.42	88.26	99.43	122.64	141.02	82.87	120.94	226.54	148.09	81.14	94.67	146.03	71.5	153.34	77.25	63.0	34.26	99.43	100.83	177.53	309.83	301.33	327.56	186.4	329.84	320.8	334.46	289.02	289.02	395.18	392.44	348.71
TTR	25.54	25.54	0.0	0.0	41475.31	6164.49	294926.33	8598.28	39237.98	1023.0	61146.25	169390.27	241220.67	428815.23	137587.47	1093103.58	499455.67	606436.73	546551.29	716197.51	1221310.69	668235.84	971597.0	1589343.01	805764.22	978355.0	1556634.79	932018.1	1432396.03	741454.2	857631.47	2247670.86	2068278.89	857631.47	1442359.14	875652.15	453265.5	1318073.06	1196176.45	649962.87	687022.54	1048575.0	1393227.06	2111737.85	958220.73	408505.64	585779.24	1556634.79	1775752.63	0.58	0.0	0.0	0.0	277.2	0.0	1.69	4.24	16.88	92.05	0.0	7.22	5.06
VASH1	248.0	248.0	218.79	218.79	152.28	176.29	119.26	363.56	133.36	111.21	312.0	217.27	18.16	14.35	339.14	43.02	69.03	27.64	22.59	35.0	38.95	42.41	88.88	31.0	52.08	47.84	18.43	106.63	20.56	27.05	84.04	13.32	25.91	91.41	49.56	70.01	42.41	36.27	165.57	22.59	79.45	49.56	46.5	55.89	6.57	4.94	28.45	46.84	24.28	1073.91	599.49	341.51	764.36	529.06	435.55	525.39	379.04	223.41	361.04	363.56	336.79	688.78
VPS45	1104.13	1104.13	718.08	718.08	575.03	1709.26	748.61	1051.79	1015.93	454.09	854.13	698.41	180.02	202.66	368.65	246.28	497.0	305.55	414.87	366.09	624.99	500.46	438.59	228.13	414.87	339.14	256.78	397.93	275.28	305.55	392.44	231.32	262.2	363.56	480.04	244.57	406.31	392.44	281.09	325.29	406.31	234.57	387.02	444.72	125.24	97.36	115.16	441.64	346.29	890.44	860.08	775.05	909.17	1037.29	808.0	1066.48	928.3	974.5	1030.12	1151.06	848.22	836.53
WWC3	341.51	341.51	301.33	301.33	125.24	165.57	141.02	157.68	77.25	86.43	99.43	128.79	49.91	29.06	133.36	67.12	73.03	23.59	59.97	49.91	20.26	72.01	65.72	38.12	44.57	37.85	34.51	57.49	35.25	41.52	48.87	21.01	57.89	57.49	50.98	52.08	63.89	90.14	102.25	29.7	40.07	55.89	59.55	78.34	15.22	37.32	52.82	53.95	42.41	466.88	361.04	450.94	460.44	387.02	403.5	409.15	412.0	389.72	414.87	444.72	381.68	392.44
ZBTB47	229.72	229.72	327.56	327.56	124.37	116.78	58.71	155.5	68.55	96.68	80.01	117.6	50.63	74.58	137.14	38.4	76.17	34.26	48.52	51.71	25.17	112.77	63.0	29.7	50.27	49.56	63.45	82.29	65.26	65.26	57.89	43.94	49.56	51.71	46.84	59.97	61.68	55.49	83.45	31.9	34.51	34.51	57.89	54.72	35.25	163.28	76.71	45.85	29.48	961.07	285.03	444.72	387.02	368.65	403.5	336.79	312.0	384.34	314.17	312.0	450.94	514.56
