	TCGA.D8.A13Y.01A.11R.A115.07	TCGA.RC.A6M6.01A.11R.A32O.07	TCGA.UB.A7MA.01A.11R.A33R.07	TCGA.BC.A10Y.01A.11R.A131.07	TCGA.5C.A9VG.01A.11R.A37K.07	TCGA.DD.A11A.01A.11R.A131.07	TCGA.G3.A7M9.01A.23R.A352.07	TCGA.BC.4072.01B.11R.A155.07	TCGA.CC.5261.01A.01R.A131.07	TCGA.2Y.A9H9.01A.21R.A39D.07	TCGA.ED.A7XP.01A.11R.A352.07	TCGA.UB.A7ME.01A.11R.A33J.07	TCGA.DD.A11C.01A.11R.A131.07	TCGA.DD.A39W.01A.11R.A213.07	TCGA.DD.AADV.01A.11R.A39D.07	TCGA.2V.A95S.01A.11R.A37K.07	TCGA.CC.5258.01A.01R.A131.07	TCGA.CC.5263.01A.01R.A131.07	TCGA.EP.A12J.01A.11R.A131.07	TCGA.G3.A5SJ.01A.11R.A27V.07	TCGA.DD.A1EF.01A.11R.A131.07	TCGA.DD.A73F.01A.11R.A32O.07	TCGA.FV.A4ZQ.01A.11R.A266.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZYT6.0626.SM.5E45V	GTEX.ZAB5.0426.SM.5CVMI	GTEX.14AS3.0126.SM.5Q5F4	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.QEG4.1826.SM.4R1JN	GTEX.131YS.1626.SM.5HL6C	GTEX.QV44.0326.SM.4R1KD	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.12WSD.1426.SM.5GCN9	GTEX.T6MN.1226.SM.3NMA5	GTEX.14E1K.0326.SM.5S2PE	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.13O3O.1826.SM.5IFGW	GTEX.RWSA.1426.SM.47JXA	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.50.5931.01A.11R.1755.07	TCGA.43.7658.01A.11R.2125.07	TCGA.NK.A5D1.01A.11R.A26W.07	TCGA.VQ.A8E2.01A.11R.A36D.31	TCGA.A5.A1OH.01A.21R.A22K.07	TCGA.N8.A4PN.01A.11R.A28V.07
FBXO43	65.26	21.63	36.53	44.25	10.79	18.56	77.25	24.63	13.32	10.96	9.7	9.7	27.25	3.29	21.63	28.04	35.76	52.45	28.24	29.27	35.76	18.43	74.58	0.0	1.27	1.69	0.11	0.78	2.94	1.13	3.38	1.03	3.82	6.36	0.82	3.08	13.32	0.15	0.0	1.38	2.61	3.23	0.0	1.64	7.17	4.5	0.0	0.0	4.24	1.71	1.17	0.0	0.05	4.03	0.69	16.51	33.06	92.7	14.89	44.25	60.39
FOXM1	1991.0	836.53	403.5	808.0	674.59	348.71	2090.03	432.53	543.96	237.86	181.28	353.59	603.67	90.14	503.95	289.02	848.22	1529.73	159.9	299.25	466.88	346.29	733.19	4.86	7.46	14.67	20.26	3.2	17.0	12.93	14.89	9.78	25.35	23.42	15.91	16.75	38.95	6.26	21.94	21.16	31.22	46.5	11.55	22.43	118.43	38.4	10.16	25.35	28.04	43.63	1.99	7.46	1.33	32.36	41.52	1242.34	2351.53	2335.28	1225.22	1151.06	403.5
GBX2	5.63	13.42	0.39	0.72	3.59	1.43	7.22	0.77	1.66	0.0	0.79	1.83	6.78	0.0	0.0	0.0	0.85	0.0	0.0	1.11	1.68	2.84	3.69	0.0	0.0	0.0	0.0	3.92	0.0	14.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.53	33.54	13.83	29.27	8.51	102.25
GID8	1685.71	2682.69	1350.18	1991.0	1191.69	780.44	1529.73	1191.69	2591.27	909.17	738.29	2915.45	2777.33	1259.69	1457.23	1001.93	1407.55	1037.29	941.27	1044.52	1769.57	1167.14	1745.2	896.64	723.08	1143.1	476.71	603.67	1467.37	836.53	915.51	909.17	1417.35	941.27	860.08	1191.69	1030.12	802.41	679.29	1359.57	791.35	1417.35	669.92	1143.1	656.11	748.61	813.63	591.22	759.08	753.83	1073.91	616.37	866.07	1477.58	1066.48	1781.89	2895.31	2609.3	2209.26	1674.06	1208.34
GINS1	575.03	165.57	186.4	242.88	129.69	87.65	406.31	143.01	262.2	42.11	61.25	177.53	125.24	29.91	146.03	72.01	209.84	325.29	26.86	101.54	159.9	103.69	295.11	4.43	4.46	7.57	5.11	8.58	2.2	18.84	9.27	17.51	7.4	21.32	14.14	4.35	10.55	9.93	5.02	8.32	12.93	10.71	4.7	6.06	15.22	31.9	5.02	8.45	31.67	16.03	1.48	1.17	2.36	9.06	30.34	287.01	708.18	271.48	473.41	624.99	307.69
GINS3	346.29	115.16	242.88	258.57	84.63	56.68	214.27	105.15	169.07	21.32	52.45	61.68	220.32	35.5	115.97	93.35	90.14	204.07	43.94	165.57	78.89	101.54	115.97	10.47	11.38	16.39	27.25	23.76	24.11	31.67	22.1	25.54	19.39	45.21	31.9	36.53	61.25	17.51	16.15	24.11	5.59	56.28	13.72	16.51	36.79	33.06	13.22	21.47	43.02	60.82	19.25	13.32	24.46	25.91	12.55	312.0	295.11	503.95	156.59	220.32	260.38
GSG2	90.77	17.0	60.82	24.28	26.1	8.99	54.72	21.32	21.16	6.21	7.34	10.96	11.82	2.84	15.91	26.28	20.71	51.71	6.21	12.27	11.47	25.72	25.35	0.0	0.0	0.56	2.58	0.23	0.0	1.73	1.38	16.88	1.57	3.29	2.27	0.55	1.16	0.0	3.26	2.14	1.58	0.0	1.16	2.58	6.11	5.87	0.21	1.48	1.03	0.16	0.25	0.0	0.58	0.25	0.0	41.81	116.78	119.26	171.45	62.12	64.34
HOXD8	60.82	2.89	7.4	66.65	7.4	63.0	46.5	32.36	32.82	39.5	14.45	1.53	133.36	53.19	8.78	32.59	19.11	7.22	29.27	40.93	63.45	48.52	24.28	0.0	0.0	1.51	10.24	1.91	1.81	0.71	0.49	3.11	2.36	2.81	0.0	1.5	3.23	7.46	2.76	3.2	6.01	2.16	5.45	6.01	0.14	7.94	5.23	10.16	4.13	0.53	0.0	5.45	6.01	14.67	9.93	161.02	72.52	99.43	118.43	575.03	660.68
HOXD9	28.24	127.89	6.26	181.28	2.16	102.97	116.78	11.73	15.11	25.72	9.56	1.16	149.12	92.05	4.43	43.94	9.56	2.1	20.71	40.36	32.82	59.55	19.53	0.56	0.95	0.0	5.32	3.96	0.19	0.0	0.09	5.32	1.04	0.0	0.0	0.85	2.36	1.23	0.0	0.0	0.18	6.21	5.5	0.0	0.0	1.35	2.23	8.25	0.0	0.0	0.0	0.0	1.91	2.63	1.06	71.0	109.66	218.79	312.0	244.57	612.11
KIF11	540.19	65.72	197.09	133.36	64.34	46.84	295.11	119.26	124.37	26.67	44.57	45.53	63.89	20.86	114.36	59.97	134.3	195.72	33.3	39.5	62.56	76.71	150.17	2.18	4.21	4.39	6.57	10.08	3.86	8.71	10.0	9.48	10.0	6.57	26.67	8.0	12.27	14.78	12.0	9.78	15.0	7.75	4.62	10.24	38.12	33.78	4.43	5.96	22.1	10.39	5.82	1.81	1.77	5.06	15.56	420.68	435.55	587.13	454.09	336.79	567.1
KIF15	607.87	98.73	123.5	116.78	77.25	39.79	183.82	57.08	98.04	23.76	36.79	47.5	108.9	14.24	87.65	57.89	131.51	133.36	38.95	60.82	55.89	54.72	115.16	1.14	2.89	3.35	1.66	3.47	0.65	5.45	1.87	3.29	4.31	8.51	27.84	1.39	8.32	12.27	0.56	2.81	15.34	2.94	0.18	1.14	18.16	5.77	0.64	2.51	4.1	6.06	1.87	1.03	1.46	3.69	3.76	140.04	303.44	389.72	275.28	348.71	532.74
KIF23	785.88	228.13	327.56	301.33	129.69	49.91	316.37	204.07	181.28	44.89	50.63	70.01	176.29	15.11	119.26	81.14	162.14	651.58	38.67	134.3	70.51	96.01	223.41	0.65	2.56	6.26	3.63	3.82	0.22	2.97	3.17	21.32	1.03	7.34	19.11	1.28	8.19	11.38	10.08	4.17	44.25	8.92	0.23	6.21	35.25	21.94	8.38	8.25	9.85	11.55	4.03	6.57	1.71	8.32	3.11	429.54	665.29	656.11	802.41	703.28	884.29
KIFC1	819.3	397.93	620.67	514.56	201.25	231.32	1135.2	299.25	473.41	93.35	102.97	237.86	214.27	43.63	466.88	237.86	336.79	1167.14	78.89	194.36	202.66	212.78	490.14	3.56	2.73	11.73	8.65	4.31	5.28	16.39	15.0	4.7	2.92	12.18	48.52	3.63	5.96	19.53	3.79	7.11	25.91	17.77	5.92	7.51	80.01	49.91	7.46	8.06	12.83	8.32	2.03	6.41	3.76	16.88	1.81	896.64	928.3	1991.0	1388.16	981.29	1119.56
LSM14B	1519.15	679.29	813.63	733.19	599.49	379.04	1407.55	432.53	1073.91	466.88	514.56	579.04	1088.92	500.46	753.83	525.39	674.59	921.88	483.38	441.64	813.63	571.05	854.13	275.28	201.25	208.38	303.44	297.17	529.06	373.81	343.89	312.0	536.45	283.05	450.94	363.56	441.64	297.17	616.37	551.56	420.68	403.5	323.03	536.45	387.02	490.14	381.68	189.02	525.39	567.1	318.57	75.64	202.66	612.11	473.41	1304.15	2367.9	2682.69	2004.85	1529.73	1819.35
MCM2	2178.83	543.96	521.76	1037.29	389.72	265.87	1477.58	532.74	819.3	195.72	202.66	226.54	802.41	150.17	629.35	312.0	872.1	1268.46	232.94	432.53	669.92	376.41	540.19	22.43	13.83	22.75	31.67	39.79	23.76	35.76	21.94	47.84	34.26	190.34	99.43	17.25	37.85	65.26	23.93	52.82	59.97	76.17	16.88	35.0	68.07	85.82	35.5	39.5	137.14	108.14	13.52	19.82	17.25	34.51	43.63	2915.45	4671.57	3419.52	967.76	2004.85	2271.4
MCM3	2627.46	1191.69	2555.58	1331.57	988.12	830.75	1757.34	1111.82	2609.3	460.44	620.67	723.08	1104.13	454.09	1313.23	890.44	1617.0	2609.3	547.75	1183.45	748.61	713.11	2018.8	162.14	220.32	148.09	166.73	271.48	134.3	287.01	158.79	128.79	100.83	281.09	329.84	169.07	229.72	215.77	99.43	132.44	226.54	234.57	232.94	214.27	239.52	285.03	86.43	180.02	307.69	275.28	120.94	368.65	182.55	189.02	161.02	2255.7	2520.38	3235.01	1159.07	3874.05	2835.7
MCM5	1447.15	1350.18	1769.57	2816.11	629.35	460.44	1685.71	1250.98	1781.89	896.64	336.79	785.88	1519.15	571.05	2061.24	921.88	1369.04	1806.78	555.41	1104.13	884.29	1757.34	1233.75	139.07	134.3	190.34	289.02	307.69	217.27	285.03	172.65	209.84	206.94	595.34	363.56	108.9	190.34	283.05	169.07	153.34	320.8	265.87	212.78	295.11	287.01	470.14	305.55	327.56	387.02	420.68	244.57	95.34	127.89	201.25	114.36	3665.02	2193.99	1388.16	941.27	1936.53	2193.99
MLF1IP	1950.0	361.04	503.95	1819.35	175.07	303.44	819.3	429.54	147.06	366.09	109.66	212.78	1143.1	78.34	384.34	285.03	180.02	1044.52	224.97	503.95	387.02	307.69	323.03	15.45	19.82	8.85	24.46	26.67	26.28	39.79	19.39	19.53	29.27	118.43	47.5	14.03	40.36	21.47	16.88	40.36	44.57	90.77	9.48	28.65	80.57	80.57	29.7	52.08	76.71	59.13	20.56	9.63	21.32	40.36	36.79	1119.56	954.43	1417.35	460.44	532.74	414.87
MRPS14	764.36	660.68	1066.48	1208.34	1407.55	854.13	915.51	575.03	1216.75	728.11	1096.5	1304.15	1417.35	928.3	733.19	1066.48	995.0	836.53	753.83	540.19	909.17	733.19	647.07	426.57	423.61	540.19	500.46	872.1	563.18	684.02	921.88	599.49	363.56	679.29	470.14	373.81	403.5	563.18	395.18	373.81	384.34	567.1	684.02	532.74	638.15	486.75	507.46	417.77	571.05	432.53	423.61	167.9	297.17	341.51	435.55	713.11	995.0	836.53	872.1	909.17	1081.39
MSH2	1551.09	218.79	262.2	226.54	191.67	341.51	371.22	239.52	497.0	129.69	283.05	205.5	193.01	205.5	341.51	158.79	551.56	447.82	231.32	277.2	253.23	209.84	409.15	30.34	31.45	59.13	85.22	161.02	46.18	96.01	106.63	87.65	41.52	59.97	116.78	37.32	71.5	81.14	42.41	59.55	79.45	84.04	72.52	78.34	87.65	98.73	65.26	42.11	109.66	51.35	23.25	26.28	25.35	57.08	47.5	802.41	1697.45	665.29	423.61	1081.39	529.06
MSH6	2627.46	417.77	563.18	575.03	674.59	698.41	825.0	866.07	733.19	314.17	392.44	249.73	579.04	536.45	780.44	287.01	1159.07	1119.56	323.03	339.14	307.69	679.29	395.18	249.73	287.01	191.67	191.67	490.14	158.79	480.04	409.15	242.88	153.34	171.45	327.56	208.38	220.32	423.61	293.07	133.36	309.83	158.79	435.55	253.23	309.83	293.07	208.38	228.13	262.2	231.32	291.04	177.53	343.89	226.54	165.57	1781.89	2468.49	1477.58	780.44	1417.35	954.43
NUF2	836.53	132.44	400.71	351.14	239.52	151.22	708.18	161.02	297.17	71.5	129.69	162.14	212.78	29.91	237.86	275.28	244.57	318.57	41.22	122.64	97.36	116.78	231.32	2.16	1.93	8.92	4.82	5.02	0.0	7.69	4.21	2.41	0.0	3.56	13.83	4.21	0.0	12.27	5.28	1.97	32.36	7.46	0.0	1.43	29.7	40.07	0.95	0.0	8.92	6.06	1.58	1.77	1.31	3.17	3.29	595.34	1832.01	1008.9	738.29	808.0	406.31
PLK1	2090.03	563.18	403.5	265.87	813.63	88.88	1427.22	423.61	318.57	166.73	201.25	483.38	571.05	82.29	256.78	305.55	603.67	1081.39	47.17	136.19	339.14	429.54	603.67	8.13	7.94	14.78	21.32	1.69	12.64	17.9	30.12	7.57	14.67	22.26	38.12	14.78	23.93	8.13	4.28	21.01	16.88	29.06	2.89	18.84	121.79	32.82	7.94	20.26	23.25	22.92	0.0	13.52	4.43	24.63	19.97	775.05	1487.87	1806.78	1923.14	854.13	1331.57
POLQ	110.43	16.39	48.87	53.57	29.27	16.03	103.69	44.25	18.56	9.7	13.72	7.69	28.86	3.47	42.11	13.62	34.75	72.01	6.57	17.9	23.59	38.4	41.81	0.68	0.0	0.68	0.05	0.46	0.05	3.06	0.67	3.23	0.79	9.27	2.63	0.01	5.5	2.61	0.37	0.06	2.39	1.07	0.06	0.42	7.11	8.92	0.0	0.38	1.46	7.46	0.09	0.02	0.36	0.93	0.41	110.43	170.25	136.19	141.02	70.01	154.42
PRIM2	164.42	85.22	135.24	117.6	83.45	111.21	172.65	110.43	221.86	55.89	63.45	121.79	127.89	40.64	183.82	56.68	122.64	241.19	59.55	108.9	146.03	71.5	161.02	23.25	22.59	18.43	33.06	45.85	21.01	50.63	43.63	18.84	23.76	41.52	45.53	16.63	20.41	40.07	28.86	33.06	30.12	34.26	45.85	20.41	36.53	36.01	20.26	19.11	36.79	50.63	31.22	21.16	31.67	16.03	18.97	195.72	236.21	215.77	262.2	281.09	217.27
RACGAP1	2875.3	287.01	595.34	450.94	312.0	186.4	902.89	450.94	423.61	126.12	181.28	244.57	332.14	127.89	303.44	297.17	397.93	1135.2	234.57	221.86	199.85	264.03	529.06	23.42	30.56	57.89	30.34	24.99	15.56	59.55	31.0	33.06	17.51	45.85	93.35	15.34	35.76	44.25	41.81	15.34	49.21	39.22	24.28	24.63	136.19	77.25	22.92	16.03	40.64	32.13	24.11	14.56	34.75	25.91	26.1	842.36	1151.06	1225.22	1417.35	764.36	2209.26
RAD51AP1	1066.48	139.07	81.71	384.34	128.79	80.01	567.1	163.28	180.02	40.07	44.25	115.97	258.57	29.06	224.97	57.49	223.41	444.72	80.01	100.83	129.69	80.01	237.86	2.14	9.78	15.56	8.25	15.68	3.08	14.35	10.39	13.42	4.03	22.43	37.59	5.41	7.4	7.69	13.72	4.74	21.63	24.28	6.31	15.0	33.3	28.45	16.39	8.13	20.26	16.75	0.57	6.16	4.66	8.51	9.56	490.14	1051.79	860.08	575.03	486.75	285.03
RMI2	2720.15	441.64	264.03	1096.5	209.84	167.9	563.18	285.03	320.8	135.24	89.51	157.68	764.36	70.01	198.47	258.57	165.57	460.44	95.34	273.37	143.01	318.57	371.22	7.46	11.55	25.54	23.42	13.22	24.81	20.41	10.79	14.24	27.05	96.01	49.21	6.62	32.82	18.16	8.32	21.78	57.89	48.52	45.21	41.81	52.08	55.89	41.52	18.84	105.15	82.29	13.72	21.94	18.97	17.0	9.56	808.0	1697.45	2520.38	490.14	902.89	718.08
RP11-849H4.2	140.04	27.05	37.32	127.89	54.33	20.41	100.83	38.12	81.14	41.52	60.39	93.35	94.01	27.84	64.34	59.13	65.72	68.55	59.97	41.52	14.45	64.34	74.06	15.68	19.68	30.34	18.03	33.78	29.06	32.59	24.99	24.81	26.47	34.75	37.32	45.53	38.4	16.51	40.36	48.18	35.5	48.18	15.0	31.22	24.63	31.9	19.39	16.27	76.17	46.84	17.77	12.74	15.56	50.63	42.11	86.43	100.83	52.08	152.28	105.89	133.36
SEMA5B	85.22	28.04	237.86	48.87	115.97	48.18	64.34	194.36	223.41	31.0	100.83	163.28	154.42	26.86	59.13	24.63	76.17	44.25	31.67	59.55	186.4	60.82	115.97	5.02	5.96	4.62	29.48	3.66	14.14	47.84	3.38	16.75	21.32	16.27	29.48	6.62	34.26	25.35	5.63	18.7	20.11	27.64	12.36	25.54	34.51	34.75	22.75	16.39	39.5	19.53	5.41	3.59	9.93	15.68	12.83	132.44	303.44	133.36	148.09	204.07	223.41
SGOL2	191.67	57.08	62.56	54.72	50.27	46.5	291.04	62.56	92.7	15.11	41.52	27.05	89.51	27.84	69.52	38.95	78.34	128.79	24.46	41.81	41.81	44.25	88.26	0.0	2.46	4.66	3.17	9.85	2.63	15.91	7.51	3.69	0.62	6.94	16.15	1.36	2.18	5.73	3.32	6.01	14.03	8.45	1.14	2.61	34.26	17.64	2.1	10.79	7.51	5.73	1.81	0.0	0.99	7.17	6.26	85.82	154.42	202.66	361.04	232.94	214.27
SKA3	246.28	125.24	115.97	166.73	81.14	65.26	285.03	65.26	76.17	40.07	29.27	36.79	133.36	23.59	52.08	77.25	115.16	327.56	28.86	50.98	58.3	74.58	176.29	0.97	1.31	0.0	1.38	3.69	0.0	5.41	3.14	3.0	2.41	3.29	22.75	0.0	12.36	3.76	9.34	7.82	3.5	1.28	0.0	4.58	29.06	11.3	1.91	1.3	9.93	3.69	0.0	0.77	0.0	8.32	3.96	111.21	199.85	201.25	346.29	191.67	232.94
SLC26A6	583.07	647.07	665.29	529.06	379.04	518.15	708.18	616.37	579.04	525.39	884.29	802.41	633.73	429.54	366.09	381.68	995.0	314.17	525.39	521.76	353.59	559.28	713.11	40.36	59.97	74.58	102.25	33.3	65.72	118.43	147.06	79.45	79.45	48.18	68.07	83.45	97.36	94.01	90.14	81.14	98.73	112.77	83.45	82.87	70.01	102.25	85.22	64.34	120.1	121.79	25.17	29.91	11.91	72.52	53.95	267.73	137.14	395.18	981.29	368.65	563.18
SOX13	579.04	457.25	518.15	802.41	463.65	273.37	612.11	476.71	1437.15	373.81	713.11	1051.79	995.0	728.11	629.35	684.02	575.03	674.59	902.89	555.41	1467.37	463.65	423.61	271.48	231.32	301.33	518.15	209.84	518.15	339.14	312.0	336.79	808.0	231.32	295.11	387.02	420.68	249.73	246.28	679.29	204.07	363.56	412.0	429.54	341.51	409.15	432.53	309.83	409.15	450.94	177.53	65.72	115.16	450.94	400.71	1051.79	713.11	395.18	872.1	624.99	490.14
SPATA25	50.27	29.06	155.5	149.12	102.25	53.19	128.79	105.89	96.68	65.26	26.1	59.55	117.6	63.0	78.89	33.3	77.79	30.34	57.49	31.0	142.01	35.76	105.89	14.56	21.47	25.54	31.0	8.78	39.5	39.22	26.1	19.68	52.82	34.02	14.35	29.7	47.17	19.68	42.41	62.56	12.74	42.11	22.92	53.95	10.39	24.63	33.54	37.05	56.28	37.32	11.82	4.7	2.97	30.56	35.76	58.71	66.65	77.25	136.19	36.53	167.9
SPDL1	723.08	251.48	217.27	248.0	256.78	89.51	403.5	187.71	171.45	100.83	194.36	115.97	218.79	76.71	231.32	139.07	221.86	320.8	60.82	212.78	193.01	186.4	267.73	21.94	20.71	43.94	27.44	45.21	28.24	57.49	40.07	24.81	11.47	18.03	41.22	22.26	45.53	24.63	23.93	28.45	19.11	36.79	28.04	19.97	59.55	51.35	18.29	86.43	59.97	23.93	5.73	17.77	7.82	54.33	17.9	438.59	490.14	559.28	688.78	909.17	518.15
STRIP2	82.29	3.47	4.82	27.64	26.28	7.34	28.45	38.95	11.47	33.78	9.06	3.86	72.52	5.02	37.59	5.68	7.28	63.89	7.82	21.32	9.48	14.35	13.32	3.23	3.44	0.39	2.97	5.32	2.97	1.35	1.19	0.56	1.46	1.01	13.42	0.0	3.08	1.35	1.91	0.91	2.94	4.78	1.58	2.94	6.41	5.87	1.5	0.73	3.76	4.28	0.71	7.28	5.11	1.41	0.0	10.39	62.12	68.07	58.71	26.67	138.1
TAF4	457.25	186.4	221.86	193.01	255.0	183.82	236.21	256.78	463.65	131.51	212.78	271.48	316.37	153.34	208.38	121.79	285.03	275.28	186.4	113.56	301.33	185.11	232.94	102.25	78.34	59.97	88.26	87.65	102.25	102.97	62.56	120.94	91.41	54.72	139.07	100.83	173.85	67.12	94.67	161.02	173.85	121.79	142.01	72.52	66.65	217.27	94.01	71.5	100.13	123.5	56.68	57.89	71.5	106.63	226.54	236.21	420.68	353.59	785.88	242.88	267.73
TCF19	3820.7	260.38	267.73	285.03	118.43	305.55	269.6	204.07	791.35	127.89	143.01	197.09	307.69	58.71	343.89	236.21	187.71	802.41	119.26	141.02	141.02	293.07	339.14	7.94	7.57	6.84	14.35	16.39	14.78	20.71	17.9	22.26	29.27	38.67	39.5	15.45	15.56	17.77	15.68	17.0	31.22	20.41	9.27	13.83	59.97	49.56	15.56	10.71	40.64	34.51	5.68	6.16	6.94	28.86	20.41	500.46	748.61	511.0	293.07	287.01	457.25
TMEM68	1322.37	260.38	102.97	221.86	260.38	358.54	392.44	366.09	297.17	205.5	301.33	271.48	356.05	275.28	202.66	336.79	830.75	303.44	307.69	361.04	486.75	178.77	532.74	153.34	172.65	199.85	149.12	258.57	139.07	232.94	241.19	258.57	112.77	217.27	361.04	152.28	251.48	264.03	129.69	273.37	162.14	167.9	289.02	256.78	186.4	159.9	120.1	130.6	208.38	194.36	93.35	77.25	39.79	170.25	264.03	397.93	441.64	536.45	363.56	406.31	220.32
TMEM81	140.04	59.55	43.02	91.41	167.9	66.18	143.01	55.1	135.24	102.25	231.32	111.99	273.37	140.04	119.26	94.01	131.51	130.6	52.45	75.11	87.03	127.0	43.32	55.89	32.36	45.85	57.08	19.68	66.18	54.72	60.82	55.1	72.01	56.28	33.78	36.01	80.57	34.51	62.56	54.33	27.25	84.63	36.01	51.35	42.71	16.88	38.67	49.91	64.34	65.26	37.59	44.89	37.85	81.14	64.34	112.77	137.14	152.28	151.22	193.01	217.27
TNFRSF4	15.45	92.7	114.36	208.38	71.5	102.97	112.77	115.97	165.57	94.01	127.0	157.68	182.55	63.45	67.59	329.84	135.24	28.65	62.56	191.67	197.09	141.02	108.14	6.46	9.93	9.48	28.86	1.53	10.88	21.01	6.01	16.63	13.32	19.53	24.46	21.01	17.13	21.78	43.32	6.62	29.7	9.27	3.99	8.06	15.34	18.84	24.81	32.82	51.35	35.25	8.38	9.41	35.5	17.77	6.31	264.03	133.36	85.82	205.5	156.59	81.71
TOP2A	2104.58	791.35	2319.15	599.49	555.41	665.29	2178.83	1617.0	1519.15	226.54	397.93	532.74	995.0	102.25	361.04	909.17	791.35	3928.15	246.28	981.29	403.5	733.19	1359.57	28.24	15.0	12.18	17.77	15.34	7.82	25.54	14.78	25.91	18.56	50.27	89.51	31.45	15.0	29.91	17.51	3.82	114.36	29.7	7.94	13.42	260.38	102.97	14.03	18.84	23.25	36.79	11.21	10.31	11.3	15.34	29.7	3467.27	9215.48	6745.86	5672.41	4836.35	2319.15
TRAIP	366.09	170.25	194.36	232.94	34.75	87.65	450.94	105.15	71.5	11.73	94.01	111.99	120.94	32.36	191.67	105.89	128.79	137.14	53.19	132.44	49.91	77.79	114.36	5.36	13.32	25.91	12.45	5.11	14.78	10.0	22.75	19.68	12.74	19.97	14.56	11.64	17.77	10.79	8.99	15.56	7.63	7.11	5.87	18.7	20.11	15.45	15.8	17.77	13.72	20.86	4.13	4.24	5.5	18.56	11.64	146.03	220.32	297.17	323.03	409.15	651.58
UBE2T	3018.3	507.46	483.38	915.51	633.73	267.73	1183.45	532.74	1037.29	295.11	518.15	441.64	830.75	178.77	303.44	638.15	466.88	890.44	242.88	518.15	64.8	483.38	575.03	16.03	11.91	12.55	46.84	18.7	7.69	31.67	28.65	20.11	16.75	21.47	49.56	5.54	13.03	17.25	23.93	6.36	33.3	33.06	20.11	18.7	59.13	38.12	16.51	11.47	20.11	30.78	26.47	7.17	7.46	17.64	25.91	1844.76	1769.57	2384.37	1111.82	1350.18	1191.69
UBFD1	1427.22	713.11	336.79	454.09	693.58	579.04	688.78	490.14	417.77	376.41	587.13	921.88	954.43	693.58	603.67	457.25	713.11	551.56	414.87	435.55	536.45	423.61	603.67	262.2	177.53	314.17	208.38	353.59	231.32	363.56	279.14	260.38	251.48	343.89	329.84	236.21	305.55	397.93	183.82	267.73	166.73	332.14	384.34	273.37	406.31	223.41	220.32	366.09	400.71	237.86	182.55	186.4	173.85	323.03	318.57	723.08	842.36	825.0	1023.0	693.58	1561.89
UCK2	1268.46	1167.14	947.83	599.49	1605.83	796.86	1233.75	571.05	698.41	275.28	842.36	633.73	1008.9	583.07	476.71	743.43	1639.59	483.38	291.04	587.13	1583.71	665.29	647.07	253.23	316.37	101.54	206.94	395.18	169.07	96.68	125.24	228.13	271.48	173.85	127.0	214.27	180.02	115.97	205.5	158.79	139.07	289.02	164.42	153.34	107.38	105.89	220.32	255.0	83.45	161.02	114.36	551.56	493.56	180.02	185.11	2119.22	2520.38	1819.35	1135.2	1066.48	1059.11
XRCC2	202.66	31.9	23.59	56.28	29.48	16.75	87.65	19.53	30.12	8.45	17.9	8.19	78.34	7.69	62.56	11.3	75.11	49.21	7.94	15.34	23.25	16.03	28.86	0.0	0.64	3.03	1.17	2.2	0.74	1.77	1.33	3.53	4.43	2.29	5.54	0.0	2.14	1.28	0.25	0.75	6.62	4.06	0.34	0.32	3.29	2.41	1.14	2.32	4.17	4.94	0.0	0.0	0.25	1.33	2.01	85.22	125.24	137.14	125.24	52.82	90.77
ZFP64	389.72	249.73	329.84	277.2	104.42	149.12	303.44	187.71	438.59	103.69	148.09	211.31	368.65	220.32	199.85	137.14	267.73	241.19	249.73	190.34	175.07	229.72	249.73	68.07	44.57	121.79	77.25	159.9	96.01	145.02	151.22	167.9	100.83	88.88	144.01	90.14	74.06	129.69	111.99	104.42	65.72	96.01	131.51	102.97	137.14	101.54	124.37	53.57	111.99	49.91	85.22	19.11	38.67	82.87	92.05	389.72	466.88	753.83	915.51	389.72	633.73
