	TCGA.FJ.A871.01A.11R.A352.07	TCGA.BH.A1FM.01A.11R.A13Q.07	TCGA.BH.A204.11A.53R.A157.07	TCGA.A7.A0CH.11A.32R.A089.07	TCGA.BH.A0H9.11A.22R.A466.07	TCGA.E2.A1LS.11A.32R.A157.07	TCGA.E9.A1ND.11A.43R.A144.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.A7.A0D9.11A.53R.A089.07	TCGA.BH.A1EN.11A.23R.A13Q.07	TCGA.BH.A0DD.11A.23R.A12P.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.BH.A18P.11A.43R.A12D.07	TCGA.E9.A1NF.11A.73R.A14D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.E2.A15I.11A.32R.A137.07	TCGA.A7.A13G.11A.51R.A13Q.07	TCGA.BH.A0B8.11A.41R.A089.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.ZPIC.1126.SM.5BC7F	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.11I78.2226.SM.5PNYA	GTEX.S32W.2026.SM.4AD6E	GTEX.132AR.0826.SM.5EGK6	GTEX.ZV6S.1826.SM.5NQ8D	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13CF3.2126.SM.5IFJP	GTEX.ZQG8.0726.SM.5P9H9	GTEX.145ME.1526.SM.5Q5F2	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.1117F.2826.SM.5GZXL	GTEX.13113.1726.SM.5GCOO	TCGA.AD.6901.01A.11R.1928.07	GTEX.13OVG.1426.SM.5K7VP	GTEX.13W3W.2126.SM.5K7UX	TCGA.49.AAR0.01A.21R.A39D.07	TCGA.DJ.A3V3.01A.11R.A22U.07	TCGA.EL.A3ZP.01A.11R.A23N.07	TCGA.EL.A4JZ.01A.11R.A250.07	TCGA.EM.A4FO.01A.11R.A250.07	TCGA.EL.A3TA.01A.12R.A22L.07	TCGA.EM.A22M.01A.11R.A32Y.07
RNH1	7180.15	1208.34	2855.44	4769.75	5954.47	2400.97	5913.33	2004.85	2287.2	3146.52	3212.66	3639.7	4038.61	1781.89	2956.17	2591.27	4972.34	3443.31	1896.65	2303.12	3103.19	1397.83	3794.3	2609.3	2351.53	3419.52	6792.79	5403.7	4575.41	1819.35	3665.02	3257.52	1651.0	4095.0	4123.49	2384.37	5555.65	4419.52	6037.61	4239.45	4210.15	3742.05	4575.41	4095.0	4328.55	5006.93
RPS6KB2	1088.92	316.37	397.93	684.02	470.14	423.61	902.89	231.32	277.2	432.53	389.72	583.07	490.14	301.33	371.22	497.0	507.46	371.22	343.89	329.84	417.77	265.87	253.23	269.6	295.11	1135.2	591.22	281.09	318.57	214.27	493.56	205.5	267.73	457.25	521.76	397.93	836.53	854.13	909.17	1651.0	1030.12	1183.45	1023.0	1250.98	1167.14	1259.69
RSG1	63.0	17.25	27.84	68.55	127.0	35.76	85.22	26.47	20.71	43.94	50.98	44.89	98.04	37.32	30.78	59.55	32.13	31.0	67.12	20.26	31.45	18.03	55.49	77.25	62.56	49.91	69.03	108.14	23.93	26.86	29.27	31.9	71.0	75.11	78.34	58.3	96.01	62.56	40.64	90.14	218.79	107.38	182.55	131.51	170.25	147.06
SH3GL1	2384.37	759.08	872.1	1023.0	1191.69	775.05	1447.15	567.1	607.87	902.89	813.63	934.76	988.12	624.99	718.08	703.28	1081.39	802.41	660.68	603.67	728.11	476.71	460.44	656.11	563.18	1407.55	1286.18	1015.93	1030.12	902.89	1143.1	688.78	529.06	775.05	1059.11	791.35	1340.84	1183.45	1561.89	1208.34	1583.71	2032.85	1977.24	1551.09	1508.65	1733.13
SIRT6	848.22	93.35	128.79	305.55	251.48	111.21	447.82	64.34	94.01	122.64	178.77	223.41	228.13	116.78	154.42	147.06	186.4	153.34	89.51	101.54	140.04	88.26	149.12	175.07	147.06	215.77	403.5	409.15	141.02	70.51	153.34	92.05	90.14	275.28	264.03	169.07	703.28	981.29	796.86	848.22	703.28	836.53	819.3	703.28	728.11	785.88
SLC39A13	1628.26	232.94	595.34	748.61	764.36	376.41	1096.5	361.04	379.04	457.25	423.61	748.61	723.08	423.61	536.45	551.56	775.05	525.39	441.64	423.61	476.71	275.28	563.18	669.92	295.11	669.92	1104.13	703.28	387.02	293.07	400.71	271.48	228.13	748.61	1081.39	679.29	2451.44	813.63	748.61	1359.57	1225.22	1651.0	1594.73	1457.23	1233.75	1417.35
SPNS1	1313.23	194.36	423.61	642.59	713.11	384.34	995.0	309.83	361.04	395.18	409.15	473.41	507.46	320.8	463.65	426.57	514.56	444.72	417.77	371.22	432.53	228.13	371.22	457.25	248.0	665.29	559.28	759.08	486.75	187.71	384.34	351.14	262.2	612.11	463.65	483.38	1135.2	780.44	808.0	1745.2	571.05	796.86	738.29	764.36	825.0	854.13
SPSB2	275.28	45.53	63.0	312.0	215.77	55.1	201.25	55.1	48.87	111.21	68.07	167.9	156.59	75.64	96.68	90.77	91.41	81.71	81.71	43.32	86.43	33.3	95.34	77.79	59.55	180.02	124.37	117.6	98.73	67.59	130.6	52.82	114.36	237.86	183.82	103.69	162.14	167.9	156.59	759.08	389.72	629.35	500.46	327.56	363.56	406.31
STX10	2224.63	159.9	713.11	1066.48	1268.46	764.36	1540.37	483.38	387.02	679.29	791.35	780.44	915.51	466.88	775.05	764.36	860.08	684.02	708.18	420.68	684.02	291.04	525.39	921.88	511.0	1457.23	748.61	1183.45	718.08	500.46	432.53	339.14	305.55	941.27	947.83	518.15	1883.54	1127.35	1111.82	2018.8	1295.13	1857.6	1417.35	1477.58	1583.71	1407.55
SULT1A3	718.08	55.89	414.87	656.11	1104.13	156.59	624.99	197.09	406.31	490.14	457.25	429.54	723.08	217.27	218.79	358.54	305.55	493.56	229.72	249.73	267.73	55.1	119.26	189.02	262.2	438.59	463.65	363.56	70.51	241.19	178.77	54.33	181.28	64.34	423.61	115.97	559.28	599.49	366.09	743.43	1037.29	775.05	909.17	708.18	1073.91	656.11
SURF6	836.53	121.79	187.71	503.95	414.87	262.2	591.22	176.29	157.68	323.03	346.29	470.14	341.51	153.34	289.02	303.44	376.41	329.84	180.02	136.19	299.25	144.01	281.09	299.25	182.55	460.44	397.93	291.04	260.38	242.88	366.09	156.59	217.27	438.59	400.71	366.09	1519.15	291.04	429.54	684.02	607.87	543.96	665.29	540.19	698.41	624.99
TELO2	1639.59	96.68	186.4	486.75	412.0	191.67	651.58	98.04	107.38	236.21	226.54	358.54	281.09	153.34	293.07	275.28	318.57	251.48	156.59	189.02	237.86	84.63	180.02	155.5	148.09	435.55	395.18	136.19	232.94	149.12	223.41	199.85	189.02	366.09	647.07	167.9	1143.1	493.56	612.11	1551.09	1088.92	1697.45	995.0	1250.98	1135.2	1135.2
TMED1	1721.16	137.14	507.46	836.53	866.07	607.87	981.29	287.01	248.0	620.67	551.56	684.02	674.59	204.07	567.1	656.11	587.13	620.67	406.31	363.56	563.18	185.11	669.92	435.55	480.04	954.43	312.0	656.11	802.41	348.71	743.43	743.43	429.54	493.56	334.46	490.14	854.13	575.03	866.07	860.08	1313.23	1242.34	1350.18	1096.5	1378.57	1407.55
TMEM161A	1233.75	237.86	297.17	616.37	693.58	269.6	547.75	246.28	255.0	379.04	279.14	389.72	480.04	255.0	429.54	384.34	327.56	356.05	346.29	325.29	387.02	175.07	283.05	348.71	183.82	507.46	429.54	684.02	239.52	384.34	303.44	221.86	195.72	579.04	514.56	379.04	947.83	314.17	460.44	961.07	796.86	599.49	599.49	718.08	884.29	599.49
TNIP2	1286.18	131.51	412.0	688.78	825.0	420.68	785.88	293.07	220.32	571.05	500.46	660.68	642.59	205.5	447.82	454.09	616.37	476.71	279.14	220.32	435.55	154.42	438.59	796.86	532.74	819.3	713.11	890.44	723.08	279.14	866.07	361.04	463.65	1030.12	884.29	444.72	961.07	902.89	836.53	896.64	884.29	1104.13	1073.91	1242.34	902.89	1225.22
TRABD	1519.15	72.01	187.71	514.56	356.05	182.55	599.49	90.14	88.26	205.5	201.25	301.33	220.32	146.03	178.77	301.33	255.0	191.67	165.57	161.02	258.57	128.79	209.84	217.27	135.24	583.07	358.54	214.27	191.67	140.04	293.07	124.37	115.16	285.03	429.54	287.01	1175.27	656.11	723.08	1674.06	1111.82	1388.16	718.08	1037.29	1233.75	1096.5
TRADD	780.44	98.73	218.79	483.38	620.67	201.25	529.06	153.34	161.02	234.57	314.17	264.03	307.69	144.01	267.73	237.86	358.54	312.0	195.72	146.03	305.55	111.21	187.71	295.11	199.85	371.22	595.34	356.05	295.11	59.97	209.84	140.04	167.9	447.82	289.02	115.97	896.64	567.1	473.41	954.43	753.83	728.11	684.02	791.35	642.59	928.3
TRMT61A	403.5	23.25	91.41	232.94	215.77	92.05	301.33	52.08	68.55	132.44	118.43	175.07	165.57	57.08	96.01	108.9	178.77	141.02	65.26	63.0	114.36	47.5	76.17	169.07	98.04	239.52	226.54	155.5	169.07	48.52	228.13	108.9	84.63	159.9	171.45	113.56	412.0	163.28	255.0	540.19	395.18	376.41	361.04	346.29	463.65	293.07
WDR24	273.37	54.72	107.38	165.57	162.14	96.01	183.82	59.97	68.07	94.01	94.67	126.12	120.94	59.13	123.5	137.14	115.97	125.24	130.6	93.35	119.26	31.22	112.77	126.12	84.63	173.85	146.03	176.29	100.83	42.11	114.36	87.03	106.63	122.64	108.9	129.69	214.27	143.01	156.59	368.65	256.78	249.73	303.44	260.38	269.6	305.55
ZFAND2B	1583.71	214.27	616.37	947.83	1242.34	660.68	1331.57	525.39	547.75	743.43	656.11	759.08	921.88	463.65	647.07	679.29	866.07	743.43	454.09	521.76	693.58	507.46	447.82	733.19	463.65	1322.37	830.75	490.14	836.53	684.02	463.65	348.71	500.46	571.05	684.02	486.75	1350.18	1437.15	1250.98	1467.37	2485.67	2090.03	1844.76	2061.24	2400.97	2104.58
ZFPL1	1427.22	660.68	748.61	1096.5	1322.37	723.08	1143.1	595.34	587.13	713.11	718.08	759.08	866.07	656.11	669.92	759.08	825.0	769.69	679.29	624.99	633.73	571.05	583.07	802.41	500.46	1167.14	780.44	607.87	669.92	339.14	521.76	567.1	518.15	743.43	656.11	514.56	830.75	1051.79	988.12	1832.01	1407.55	1407.55	1023.0	1159.07	1242.34	1073.91
ZGPAT	988.12	100.83	194.36	536.45	536.45	244.57	665.29	92.7	108.14	334.46	273.37	325.29	323.03	111.21	178.77	277.2	323.03	251.48	103.69	110.43	281.09	78.89	214.27	253.23	154.42	775.05	651.58	332.14	246.28	94.67	218.79	124.37	204.07	457.25	329.84	223.41	1233.75	403.5	599.49	1388.16	738.29	743.43	718.08	791.35	796.86	780.44
ZNF205	642.59	57.89	88.88	258.57	334.46	155.5	314.17	61.25	59.55	166.73	190.34	218.79	173.85	58.71	123.5	175.07	164.42	136.19	100.83	91.41	178.77	48.18	146.03	264.03	92.05	224.97	255.0	204.07	140.04	82.87	90.77	73.54	66.65	154.42	195.72	126.12	638.15	229.72	205.5	660.68	460.44	476.71	454.09	429.54	454.09	412.0
ZNF414	718.08	255.0	285.03	603.67	480.04	285.03	555.41	204.07	180.02	281.09	232.94	314.17	346.29	239.52	277.2	366.09	327.56	334.46	180.02	177.53	206.94	220.32	256.78	202.66	224.97	392.44	269.6	228.13	209.84	228.13	289.02	351.14	129.69	253.23	189.02	285.03	688.78	454.09	500.46	708.18	1073.91	896.64	1096.5	1008.9	967.76	890.44
