	GTEX.13O61.1226.SM.5KM21	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A3A2.11A.11R.A213.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A39W.11A.11R.A213.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.PX3G.0826.SM.48TZS	GTEX.ZYT6.0626.SM.5E45V	GTEX.14753.1626.SM.5NQ9L	TCGA.38.4625.01A.01R.1206.07.1	GTEX.R55G.0826.SM.2TC5U	GTEX.ZDYS.0426.SM.5IJEQ	TCGA.VQ.AA6I.01A.11R.A414.31	TCGA.BR.8485.01A.11R.2402.13	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.HF.7132.01A.11R.2055.13	TCGA.CG.4466.01A.01R.1157.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.4267.01A.01R.1131.13	TCGA.BR.4369.01A.01R.1157.13	TCGA.CD.8530.01A.11R.2343.13	TCGA.CG.4301.01A.01R.1157.13	TCGA.D7.6527.01A.11R.1802.13	TCGA.FP.A9TM.01A.11R.A39E.31	TCGA.CG.4460.01A.01R.1157.13	TCGA.BR.8687.01A.11R.2402.13	TCGA.BR.7716.11A.01R.2055.13	TCGA.CG.5720.11A.01R.1602.13	TCGA.CG.5722.11A.02R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.6457.11A.01R.1802.13	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13
PRMT3	164.42	62.12	62.56	50.98	46.84	68.07	67.12	70.01	82.87	46.18	37.59	0.3	173.85	148.09	583.07	336.79	232.94	346.29	423.61	224.97	264.03	387.02	244.57	351.14	149.12	283.05	191.67	293.07	162.14	106.63	115.97	163.28	92.05	151.22	109.66	119.26	167.9
PROSER1	275.28	108.9	86.43	46.18	77.25	71.5	76.17	66.65	49.21	85.22	32.13	0.72	248.0	426.57	1066.48	1015.93	830.75	638.15	769.69	507.46	476.71	1397.83	591.22	2796.65	366.09	921.88	860.08	1073.91	371.22	409.15	318.57	466.88	314.17	343.89	348.71	316.37	320.8
PSMD14	387.02	529.06	420.68	414.87	287.01	642.59	500.46	595.34	723.08	450.94	432.53	0.05	1216.75	791.35	1191.69	1096.5	703.28	813.63	1757.34	954.43	941.27	1388.16	591.22	1304.15	896.64	1183.45	941.27	708.18	656.11	503.95	480.04	595.34	507.46	633.73	507.46	575.03	775.05
PUS7L	26.47	23.08	18.97	12.55	4.74	20.11	23.76	24.11	19.39	14.35	10.0	0.01	53.19	38.67	102.97	152.28	156.59	120.1	218.79	74.58	87.03	166.73	148.09	178.77	80.57	152.28	90.14	96.01	70.01	36.27	49.21	84.63	53.95	72.52	47.5	55.89	62.56
PWP1	728.11	366.09	457.25	384.34	341.51	395.18	409.15	426.57	511.0	460.44	312.0	0.29	825.0	733.19	1001.93	738.29	703.28	679.29	921.88	728.11	1030.12	909.17	884.29	934.76	1175.27	738.29	1096.5	629.35	665.29	555.41	684.02	612.11	514.56	669.92	397.93	503.95	718.08
RAD21	3190.46	620.67	674.59	500.46	392.44	616.37	575.03	616.37	409.15	514.56	708.18	1119.56	2502.97	2935.74	3349.13	3103.19	2075.59	2047.0	3768.09	1250.98	2434.5	3039.3	1733.13	5219.6	1242.34	3303.0	4903.87	2224.63	1378.57	836.53	1088.92	1340.84	995.0	1175.27	878.17	1225.22	1583.71
RARS	693.58	521.76	525.39	483.38	450.94	500.46	529.06	633.73	599.49	466.88	287.01	0.58	896.64	660.68	1467.37	1369.04	1066.48	1369.04	1096.5	1259.69	1388.16	1551.09	1066.48	2384.37	651.58	1104.13	1313.23	1447.15	915.51	890.44	748.61	884.29	1088.92	866.07	698.41	802.41	909.17
RBBP7	2915.45	1216.75	1001.93	884.29	890.44	1088.92	954.43	974.5	1369.04	1030.12	514.56	264.03	1991.0	1369.04	4512.4	2119.22	2796.65	1733.13	3018.3	1950.0	2047.0	2451.44	1923.14	3768.09	1295.13	2720.15	2319.15	2075.59	1936.53	1519.15	1870.53	1583.71	1551.09	1806.78	1427.22	1561.89	2384.37
RBM48	201.25	92.7	151.22	97.36	54.72	85.22	111.21	100.13	66.65	82.29	56.28	0.0	145.02	248.0	432.53	224.97	244.57	202.66	612.11	127.0	182.55	281.09	239.52	500.46	173.85	291.04	293.07	180.02	187.71	140.04	145.02	189.02	149.12	279.14	175.07	146.03	239.52
RFC3	66.65	48.87	31.0	33.3	64.8	44.25	48.18	38.67	59.55	55.1	59.97	0.25	301.33	186.4	633.73	647.07	303.44	297.17	723.08	258.57	249.73	567.1	571.05	1191.69	251.48	343.89	603.67	346.29	171.45	117.6	111.21	157.68	89.51	159.9	95.34	138.1	246.28
RPE	246.28	191.67	327.56	221.86	258.57	341.51	275.28	332.14	260.38	237.86	305.55	0.36	764.36	511.0	934.76	679.29	397.93	373.81	423.61	555.41	674.59	679.29	441.64	775.05	463.65	607.87	688.78	384.34	473.41	329.84	400.71	397.93	376.41	409.15	312.0	379.04	441.64
SLC25A32	269.6	226.54	183.82	273.37	221.86	204.07	202.66	206.94	164.42	172.65	285.03	281.09	325.29	221.86	473.41	595.34	497.0	403.5	629.35	275.28	299.25	490.14	518.15	988.12	187.71	503.95	470.14	483.38	256.78	221.86	241.19	295.11	178.77	312.0	211.31	178.77	299.25
SLX4IP	7.75	10.96	11.21	10.47	10.63	8.65	11.91	19.39	18.97	5.73	6.89	0.0	29.48	26.67	66.18	74.58	43.63	70.01	124.37	38.67	24.63	76.71	47.84	46.18	61.25	86.43	38.95	92.05	38.12	18.43	34.26	36.27	39.5	24.99	35.76	36.27	19.25
SNW1	1208.34	543.96	612.11	450.94	503.95	587.13	595.34	525.39	532.74	503.95	368.65	0.93	1199.98	1277.29	1259.69	909.17	1001.93	1073.91	1447.15	769.69	1340.84	1295.13	1015.93	1427.22	1199.98	775.05	1685.71	934.76	934.76	791.35	723.08	1030.12	785.88	928.3	708.18	728.11	995.0
SP3	480.04	253.23	312.0	239.52	155.5	253.23	287.01	287.01	384.34	316.37	277.2	0.57	575.03	575.03	1104.13	1551.09	921.88	759.08	934.76	447.82	921.88	1088.92	583.07	902.89	1268.46	909.17	915.51	486.75	603.67	301.33	551.56	525.39	426.57	599.49	376.41	312.0	466.88
SPRTN	76.71	55.49	40.64	49.91	38.67	45.53	44.89	54.33	67.59	45.53	20.71	0.0	154.42	118.43	161.02	205.5	183.82	187.71	273.37	98.73	201.25	260.38	186.4	215.77	241.19	152.28	450.94	165.57	108.14	109.66	122.64	109.66	132.44	102.25	76.71	97.36	116.78
STK3	327.56	175.07	187.71	167.9	141.02	170.25	177.53	191.67	118.43	120.94	206.94	0.59	343.89	221.86	432.53	438.59	299.25	361.04	995.0	150.17	363.56	346.29	669.92	1073.91	277.2	368.65	733.19	384.34	212.78	106.63	111.21	161.02	109.66	181.28	112.77	151.22	190.34
TCEA1	1286.18	848.22	1044.52	769.69	713.11	961.07	1059.11	1119.56	819.3	995.0	1001.93	988.12	1991.0	1651.0	1572.76	2061.24	1883.54	1617.0	2351.53	947.83	1733.13	1721.16	1487.87	1832.01	1242.34	1896.65	3168.41	1340.84	1167.14	674.59	961.07	1369.04	961.07	1457.23	1059.11	961.07	1709.26
TMEM167A	447.82	848.22	884.29	679.29	674.59	718.08	775.05	775.05	555.41	567.1	748.61	0.56	1467.37	878.17	1529.73	1127.35	1447.15	896.64	1066.48	1183.45	1467.37	1896.65	988.12	2417.67	616.37	934.76	1437.15	1437.15	780.44	796.86	547.75	1044.52	1023.0	981.29	860.08	981.29	830.75
TMEM68	165.57	127.89	209.84	176.29	111.99	114.36	162.14	178.77	96.01	139.07	93.35	0.26	395.18	417.77	503.95	441.64	293.07	423.61	728.11	234.57	366.09	555.41	483.38	412.0	343.89	511.0	688.78	435.55	267.73	187.71	258.57	293.07	202.66	201.25	191.67	217.27	244.57
TOPBP1	209.84	80.57	94.01	66.18	41.22	76.71	88.88	72.01	68.55	48.18	57.49	0.96	426.57	329.84	1111.82	688.78	624.99	555.41	872.1	460.44	559.28	819.3	500.46	769.69	287.01	915.51	1073.91	559.28	327.56	231.32	277.2	314.17	183.82	376.41	193.01	205.5	329.84
TRMT6	127.89	82.87	86.43	94.01	57.08	90.77	86.43	93.35	86.43	92.7	63.0	0.11	285.03	325.29	281.09	463.65	269.6	316.37	693.58	307.69	171.45	775.05	493.56	211.31	256.78	346.29	412.0	318.57	181.28	177.53	145.02	163.28	154.42	232.94	127.89	198.47	249.73
TTN	14.67	1.11	1.04	0.0	0.0	0.0	1.01	0.0	0.0	1.5	0.59	0.18	21.01	49.56	5.23	10.88	17.51	8.32	4.98	6.57	2.89	20.86	13.42	7.4	18.03	19.82	6.31	10.47	2.05	4.28	2.76	2.68	1.75	4.1	3.41	3.69	7.57
UBE2D1	260.38	140.04	171.45	134.3	64.8	158.79	100.83	111.99	117.6	116.78	54.72	159.9	361.04	204.07	397.93	420.68	450.94	409.15	314.17	132.44	303.44	409.15	514.56	748.61	156.59	395.18	299.25	297.17	237.86	156.59	125.24	180.02	142.01	371.22	190.34	187.71	299.25
USP10	872.1	540.19	417.77	525.39	447.82	521.76	579.04	450.94	493.56	575.03	612.11	0.67	890.44	718.08	1467.37	1781.89	1259.69	1081.39	1923.14	1304.15	1037.29	1832.01	1030.12	1369.04	1073.91	1388.16	1628.26	866.07	884.29	915.51	775.05	1037.29	909.17	1023.0	872.1	890.44	796.86
UTP20	61.68	33.78	34.75	28.04	20.11	30.78	35.25	31.9	24.28	29.06	15.45	0.17	133.36	90.14	205.5	269.6	148.09	150.17	260.38	108.9	248.0	165.57	162.14	120.1	164.42	198.47	171.45	100.83	67.12	55.49	65.72	83.45	57.08	69.52	50.63	53.95	59.55
VPS26A	733.19	307.69	389.72	332.14	220.32	320.8	361.04	381.68	379.04	283.05	295.11	0.78	1096.5	860.08	902.89	1111.82	860.08	995.0	738.29	713.11	1008.9	1183.45	1135.2	1350.18	599.49	764.36	1088.92	995.0	802.41	555.41	656.11	780.44	638.15	656.11	599.49	693.58	708.18
WDR75	486.75	208.38	253.23	183.82	78.34	180.02	191.67	180.02	149.12	187.71	63.89	0.65	289.02	325.29	872.1	1051.79	759.08	703.28	967.76	543.96	607.87	995.0	647.07	780.44	423.61	872.1	909.17	432.53	336.79	265.87	283.05	392.44	221.86	500.46	271.48	287.01	450.94
XPO1	842.36	497.0	629.35	470.14	301.33	503.95	543.96	486.75	480.04	470.14	371.22	162.14	1127.35	1183.45	3081.75	2573.36	1991.0	1369.04	3039.3	974.5	1733.13	2537.92	1427.22	2075.59	1059.11	3039.3	3190.46	1605.83	1037.29	503.95	753.83	872.1	551.56	1081.39	567.1	543.96	1135.2
XPO4	98.04	34.02	37.32	33.06	37.32	32.82	36.79	52.82	40.36	41.81	14.35	0.24	191.67	229.72	271.48	397.93	241.19	232.94	248.0	170.25	202.66	334.46	193.01	237.86	109.66	249.73	232.94	214.27	113.56	78.34	100.13	138.1	92.7	112.77	76.17	80.57	102.97
XRN2	791.35	289.02	447.82	379.04	297.17	429.54	441.64	486.75	547.75	320.8	423.61	0.67	1322.37	1119.56	1208.34	2104.58	947.83	1340.84	2133.97	872.1	1096.5	2997.45	1183.45	947.83	878.17	1350.18	1268.46	1151.06	733.19	583.07	612.11	808.0	651.58	713.11	603.67	587.13	718.08
YES1	255.0	262.2	381.68	323.03	193.01	426.57	432.53	412.0	525.39	536.45	514.56	0.26	466.88	336.79	599.49	921.88	532.74	575.03	738.29	341.51	543.96	555.41	525.39	567.1	669.92	1059.11	457.25	775.05	441.64	285.03	444.72	511.0	358.54	246.28	336.79	351.14	271.48
YWHAZ	5147.73	1685.71	1350.18	1617.0	1322.37	1870.53	1498.22	1572.76	1909.85	866.07	1977.24	1733.13	8078.22	5791.62	11827.67	13968.57	9025.81	13586.57	12076.21	10368.08	11189.6	14663.09	9215.48	35363.15	7130.55	12676.65	11827.67	12076.21	9344.14	6294.04	9344.14	7749.1	8363.13	6699.25	6079.61	6164.49	7130.55
ZC3H15	753.83	567.1	656.11	665.29	246.28	723.08	723.08	679.29	616.37	679.29	438.59	0.77	819.3	656.11	1467.37	1721.16	1044.52	1135.2	1477.58	954.43	1277.29	1709.26	1242.34	1583.71	974.5	1498.22	1313.23	860.08	802.41	738.29	651.58	819.3	728.11	902.89	693.58	759.08	947.83
ZMPSTE24	551.56	403.5	426.57	366.09	466.88	480.04	412.0	473.41	285.03	387.02	457.25	329.84	928.3	808.0	743.43	791.35	633.73	872.1	890.44	688.78	521.76	1096.5	633.73	796.86	909.17	713.11	723.08	1119.56	674.59	429.54	460.44	698.41	567.1	532.74	500.46	457.25	567.1
ZNF195	199.85	140.04	145.02	88.88	35.76	115.97	95.34	125.24	83.45	94.01	31.45	0.25	256.78	269.6	688.78	759.08	612.11	409.15	967.76	264.03	417.77	1096.5	656.11	1286.18	144.01	764.36	567.1	540.19	299.25	217.27	236.21	299.25	228.13	414.87	204.07	265.87	343.89
