	GTEX.117YW.1826.SM.5PNY5	GTEX.13O3O.0726.SM.5J1N7	GTEX.12584.1426.SM.5EGJ9	GTEX.13OVH.1026.SM.5J2NP	GTEX.147F4.0926.SM.5Q5EO	GTEX.11O72.1326.SM.5BC5A	GTEX.XOT4.1426.SM.4B65T	GTEX.13G51.0426.SM.5K7Z5	GTEX.144GO.0226.SM.5LUB1	GTEX.131XH.0426.SM.5DUWU	GTEX.13OW6.2526.SM.5IJEC	GTEX.11NUK.2426.SM.5BC4U	GTEX.13PVQ.2126.SM.5L3FW	GTEX.13S7M.1826.SM.5RQK6	GTEX.11GSP.2126.SM.5HL5E	GTEX.ZYY3.1726.SM.5EGH3	TCGA.EL.A4K2.01A.11R.A250.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.EM.A3AI.01A.11R.A206.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.EM.A22K.01A.11R.A180.07	TCGA.EL.A3T6.11A.11R.A220.07	TCGA.BJ.A2NA.11A.11R.A19O.07	TCGA.EL.A3MX.11A.11R.A21D.07	TCGA.EL.A3N3.11A.11R.A20F.07	TCGA.ET.A2N5.11B.11R.A18C.07	TCGA.EL.A3H7.11A.11R.A21D.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.113JC.0126.SM.5EGJW	GTEX.WH7G.0526.SM.3NMBI	GTEX.R55E.0826.SM.2TC5M	GTEX.YEC4.0626.SM.5CVLU	GTEX.T6MN.0626.SM.32PM9	GTEX.S341.0226.SM.5S2VG	GTEX.11GS4.0826.SM.5986J	GTEX.13OW8.0126.SM.5IJE5	GTEX.ZVP2.0426.SM.57WC2	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.ZTX8.0626.SM.59HKC	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.WWYW.0826.SM.3NB2X	GTEX.11EM3.0126.SM.5985K	GTEX.12WSK.0926.SM.5CVNQ	GTEX.117XS.0526.SM.5987Q	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.WHSE.0626.SM.4RGNF	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.WVLH.0626.SM.3MJG7	GTEX.ZYFG.0626.SM.5GZYA	GTEX.11NSD.0126.SM.5987F	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.13JVG.0926.SM.5IJE1	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.RVPV.1226.SM.2TF73	GTEX.1399R.0126.SM.5IFEV	GTEX.1399U.0326.SM.5P9G5	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.11TTK.0826.SM.5N9EG	GTEX.139UW.0126.SM.5KM1B	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.PX3G.2626.SM.2I3EG	GTEX.12WSN.0726.SM.5GCMS	GTEX.YFCO.0326.SM.4W1ZP	GTEX.11ZVC.0126.SM.5986G	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.QXCU.0326.SM.2TC63	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.11O72.2326.SM.5BC7H	GTEX.WYBS.1926.SM.3NM8N	GTEX.13PVQ.0726.SM.5L3GI	GTEX.OXRP.0326.SM.33HBJ	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7	GTEX.13O21.2226.SM.5MR3L	GTEX.111FC.1026.SM.5GZX1	GTEX.ZUA1.0926.SM.4YCDX
KEAP1	466.88	323.03	236.21	503.95	299.25	460.44	660.68	400.71	429.54	511.0	438.59	264.03	463.65	353.59	447.82	444.72	1304.15	1662.49	1277.29	1857.6	1561.89	753.83	1806.78	1457.23	1104.13	1277.29	995.0	1594.73	1313.23	1119.56	738.29	1388.16	1508.65	1662.49	954.43	1487.87	1044.52	974.5	1477.58	1096.5	934.76	1427.22	1561.89	988.12	896.64	981.29	995.0	1781.89	1044.52	967.76	1104.13	1259.69	1388.16	1331.57	1769.57	921.88	1639.59	1119.56	1508.65	1583.71	1111.82	1427.22	1268.46	1313.23	947.83	995.0	915.51	738.29	1769.57	1781.89	1225.22	1216.75	1806.78	1757.34	974.5	1051.79	1037.29	1388.16	1199.98	1651.0	1216.75	1628.26	1295.13	1883.54	928.3	1605.83	1088.92	1806.78	902.89	1685.71	1832.01	1350.18	1572.76	961.07	1896.65	947.83	743.43	1378.57	1008.9	961.07	1008.9	1167.14	1111.82	1286.18	1427.22	1216.75	1225.22
KIAA1429	149.12	320.8	218.79	412.0	303.44	356.05	368.65	248.0	358.54	353.59	303.44	170.25	209.84	406.31	435.55	244.57	738.29	748.61	902.89	791.35	743.43	476.71	748.61	674.59	674.59	836.53	607.87	753.83	483.38	633.73	466.88	656.11	624.99	616.37	423.61	532.74	438.59	460.44	525.39	587.13	656.11	665.29	733.19	507.46	642.59	500.46	665.29	543.96	848.22	384.34	599.49	555.41	620.67	785.88	500.46	536.45	607.87	607.87	825.0	417.77	647.07	470.14	743.43	647.07	620.67	599.49	490.14	493.56	791.35	733.19	571.05	679.29	728.11	616.37	638.15	723.08	656.11	684.02	473.41	603.67	563.18	698.41	693.58	759.08	633.73	507.46	703.28	514.56	521.76	769.69	693.58	669.92	521.76	607.87	633.73	674.59	426.57	616.37	669.92	463.65	493.56	866.07	490.14	842.36	679.29	595.34	660.68
LAGE3	395.18	104.42	180.02	293.07	133.36	163.28	152.28	197.09	110.43	217.27	320.8	154.42	141.02	146.03	497.0	417.77	480.04	587.13	521.76	339.14	638.15	417.77	444.72	339.14	297.17	348.71	279.14	521.76	547.75	358.54	178.77	242.88	543.96	228.13	299.25	231.32	381.68	395.18	409.15	444.72	253.23	297.17	204.07	395.18	205.5	389.72	273.37	258.57	145.02	339.14	435.55	211.31	361.04	329.84	420.68	143.01	325.29	486.75	417.77	186.4	371.22	346.29	397.93	486.75	536.45	363.56	414.87	229.72	381.68	476.71	291.04	361.04	291.04	518.15	348.71	470.14	178.77	318.57	387.02	299.25	387.02	309.83	226.54	470.14	387.02	432.53	312.0	409.15	336.79	197.09	389.72	149.12	503.95	181.28	262.2	283.05	201.25	336.79	204.07	175.07	400.71	435.55	348.71	285.03	358.54	406.31	503.95
LIPT2	21.32	9.27	11.47	23.93	28.45	16.63	19.97	9.2	21.63	15.91	39.79	25.72	80.57	34.02	48.18	38.67	79.45	93.35	84.63	103.69	90.77	24.99	87.65	107.38	36.01	146.03	28.45	143.01	134.3	127.0	41.52	108.9	119.26	132.44	54.72	110.43	27.05	36.79	127.89	62.12	62.12	146.03	63.45	67.59	73.54	60.82	60.39	90.14	120.94	54.33	91.41	72.01	84.63	92.7	85.82	43.63	128.79	86.43	91.41	63.89	34.51	131.51	185.11	91.41	127.0	57.49	49.56	34.26	149.12	146.03	70.01	147.06	94.01	181.28	55.1	78.34	30.34	84.04	95.34	116.78	102.25	148.09	107.38	136.19	65.72	131.51	68.55	80.57	67.12	71.0	116.78	115.97	145.02	77.79	172.65	68.07	15.45	55.89	52.45	34.51	93.35	139.07	58.3	132.44	83.45	130.6	153.34
MAZ	3665.02	947.83	1572.76	2417.67	1359.57	884.29	2468.49	1594.73	1477.58	2004.85	1628.26	878.17	2047.0	1639.59	947.83	1781.89	3419.52	4152.18	4802.93	3235.01	3639.7	2047.0	3257.52	3515.68	2956.17	2645.74	2061.24	3874.05	2468.49	2555.58	2434.5	2645.74	4152.18	3168.41	2537.92	3614.55	2240.11	2664.15	2915.45	2209.26	2104.58	2701.35	2997.45	2573.36	2855.44	2468.49	2485.67	2664.15	2240.11	2451.44	2627.46	3039.3	2855.44	2935.74	3325.99	2502.97	3372.43	2682.69	3515.68	2997.45	2573.36	2664.15	3303.0	3372.43	3081.75	2468.49	2287.2	2720.15	4328.55	3690.52	2915.45	3280.18	2875.3	2915.45	2384.37	2319.15	2502.97	3257.52	2956.17	2720.15	2777.33	3443.31	2627.46	2976.74	2255.7	1806.78	3168.41	2976.74	2645.74	2915.45	3060.45	3303.0	3212.66	1870.53	2758.13	2400.97	2351.53	3257.52	1896.65	2664.15	3103.19	3443.31	2573.36	3190.46	2895.31	2956.17	2573.36
MED18	173.85	66.18	41.52	84.63	57.08	150.17	98.04	115.97	108.9	97.36	156.59	161.02	176.29	114.36	182.55	180.02	271.48	199.85	220.32	149.12	166.73	58.71	312.0	244.57	193.01	273.37	93.35	384.34	166.73	224.97	142.01	236.21	279.14	249.73	103.69	236.21	113.56	129.69	283.05	140.04	115.16	242.88	265.87	162.14	108.9	152.28	122.64	220.32	171.45	125.24	167.9	232.94	267.73	363.56	277.2	119.26	307.69	186.4	283.05	223.41	133.36	242.88	299.25	162.14	172.65	154.42	115.97	176.29	356.05	334.46	134.3	334.46	262.2	248.0	217.27	175.07	107.38	253.23	166.73	224.97	220.32	301.33	226.54	301.33	130.6	279.14	157.68	236.21	133.36	287.01	255.0	275.28	384.34	117.6	246.28	214.27	94.67	209.84	121.79	164.42	198.47	211.31	142.01	220.32	251.48	229.72	221.86
MEPCE	206.94	753.83	454.09	532.74	624.99	587.13	514.56	497.0	890.44	387.02	267.73	186.4	279.14	255.0	323.03	258.57	1467.37	1709.26	2485.67	1519.15	1467.37	1304.15	1594.73	1685.71	1313.23	1359.57	1457.23	1794.29	1662.49	1437.15	728.11	1304.15	2018.8	1378.57	995.0	1388.16	1572.76	1572.76	1096.5	1268.46	1037.29	1529.73	1208.34	995.0	713.11	915.51	1104.13	1331.57	902.89	941.27	1233.75	1277.29	1733.13	1277.29	1628.26	995.0	1350.18	1605.83	1674.06	1143.1	1794.29	1407.55	2335.28	2104.58	1540.37	1037.29	1225.22	642.59	1923.14	1697.45	1757.34	1651.0	1551.09	1359.57	1008.9	1313.23	884.29	974.5	1572.76	1407.55	1304.15	1936.53	1277.29	1617.0	1378.57	1447.15	1183.45	1268.46	1477.58	2004.85	1498.22	1457.23	1662.49	1233.75	1447.15	1073.91	660.68	1135.2	1457.23	1378.57	1369.04	1697.45	1388.16	1159.07	1350.18	1417.35	1757.34
MMACHC	63.89	12.55	9.34	18.03	6.06	22.43	10.55	6.67	13.72	9.85	58.71	25.54	24.63	29.27	64.34	43.94	48.87	63.89	33.78	45.53	58.3	19.53	71.5	72.01	34.26	63.0	23.76	102.25	94.67	79.45	14.35	59.97	66.65	46.84	44.89	43.94	38.95	41.81	70.01	58.71	41.22	64.8	57.89	38.12	22.26	29.27	44.89	39.22	30.34	30.12	46.18	39.22	70.51	60.39	51.35	31.0	65.72	57.49	65.26	38.12	32.36	53.19	80.57	74.06	61.25	31.0	48.87	19.53	85.22	68.55	52.82	84.63	36.79	56.68	51.35	40.07	25.91	66.65	61.25	40.93	37.32	71.0	55.89	65.72	31.67	90.14	37.05	37.85	37.05	42.41	41.22	63.45	71.0	28.04	72.52	48.18	45.21	50.98	19.97	23.08	62.56	53.19	77.79	71.0	75.64	55.1	64.8
MOCS3	8.45	63.0	24.11	39.5	28.04	49.56	23.42	26.28	53.19	44.57	48.87	9.56	36.53	36.79	35.0	37.05	103.69	103.69	172.65	78.34	108.9	35.25	119.26	137.14	59.97	133.36	47.5	149.12	107.38	145.02	56.28	143.01	105.15	120.94	75.64	120.94	58.71	62.12	144.01	91.41	90.77	156.59	113.56	68.55	90.14	65.26	63.45	137.14	119.26	65.72	81.71	117.6	130.6	146.03	137.14	55.1	115.16	80.57	129.69	128.79	52.82	142.01	159.9	84.63	105.15	84.04	59.55	66.18	159.9	161.02	61.25	175.07	118.43	149.12	90.77	95.34	100.83	90.14	84.63	150.17	87.03	141.02	111.99	144.01	69.52	105.89	82.87	145.02	82.87	110.43	100.83	129.69	149.12	97.36	134.3	105.89	63.0	78.34	66.18	57.49	82.87	104.42	73.03	129.69	113.56	100.13	114.36
MON1A	89.51	58.3	65.72	98.73	59.97	96.68	108.14	96.68	69.03	51.35	209.84	50.63	114.36	176.29	217.27	127.89	358.54	441.64	567.1	353.59	406.31	178.77	358.54	466.88	218.79	389.72	194.36	483.38	587.13	323.03	104.42	301.33	366.09	392.44	301.33	334.46	309.83	283.05	323.03	353.59	267.73	204.07	334.46	368.65	231.32	397.93	163.28	231.32	181.28	256.78	470.14	309.83	351.14	348.71	406.31	142.01	429.54	490.14	323.03	285.03	205.5	297.17	341.51	339.14	389.72	244.57	373.81	223.41	417.77	441.64	303.44	297.17	273.37	305.55	406.31	279.14	229.72	400.71	379.04	301.33	389.72	507.46	293.07	463.65	248.0	490.14	299.25	208.38	343.89	251.48	483.38	279.14	384.34	113.56	351.14	271.48	127.0	384.34	182.55	175.07	218.79	483.38	460.44	387.02	450.94	525.39	414.87
MRPS26	473.41	307.69	215.77	563.18	150.17	336.79	287.01	260.38	332.14	287.01	466.88	163.28	371.22	450.94	665.29	567.1	2075.59	2061.24	3168.41	1896.65	2240.11	1529.73	1709.26	1909.85	1073.91	1950.0	974.5	2061.24	2502.97	2032.85	426.57	1819.35	1769.57	1388.16	1508.65	1685.71	1304.15	1572.76	2224.63	2271.4	1427.22	1191.69	1159.07	1896.65	1313.23	1870.53	1369.04	1225.22	1015.93	1407.55	1721.16	1487.87	2090.03	1844.76	1909.85	698.41	2303.12	2061.24	1757.34	1519.15	1295.13	2400.97	2537.92	1923.14	1697.45	1427.22	1697.45	1467.37	2090.03	2591.27	1806.78	1896.65	1447.15	2451.44	1883.54	1561.89	1059.11	2451.44	1685.71	1745.2	1477.58	1477.58	1745.2	2997.45	1498.22	2758.13	1721.16	1277.29	1605.83	1183.45	3103.19	1769.57	2664.15	775.05	2018.8	1697.45	954.43	1857.6	1001.93	1225.22	1487.87	2163.77	1991.0	2240.11	2090.03	2384.37	1819.35
MRPS34	2090.03	647.07	547.75	941.27	466.88	579.04	934.76	718.08	1119.56	698.41	1781.89	559.28	1457.23	1304.15	1832.01	1331.57	1883.54	2090.03	4095.0	2255.7	2004.85	1378.57	2351.53	1639.59	1216.75	1896.65	1081.39	2193.99	2032.85	1781.89	688.78	1457.23	2148.82	1457.23	1561.89	1662.49	1487.87	1437.15	1769.57	1639.59	1378.57	1674.06	1467.37	1427.22	1111.82	1697.45	1242.34	1295.13	1175.27	1467.37	2224.63	1594.73	1769.57	1963.57	2075.59	571.05	2018.8	2004.85	2133.97	1259.69	1378.57	1832.01	2090.03	1806.78	2075.59	1508.65	1769.57	1378.57	2133.97	2163.77	1709.26	2090.03	1233.75	2075.59	1617.0	1529.73	1250.98	2061.24	1583.71	1551.09	1508.65	1781.89	1397.83	2303.12	1417.35	2224.63	1583.71	1268.46	1378.57	1143.1	2537.92	1617.0	2645.74	616.37	1844.76	1662.49	813.63	2075.59	934.76	1216.75	1832.01	1923.14	1794.29	1844.76	1551.09	2255.7	1561.89
MYL6B	332.14	381.68	551.56	348.71	497.0	420.68	579.04	684.02	197.09	476.71	387.02	309.83	525.39	796.86	412.0	414.87	2895.31	3103.19	4358.66	3190.46	2875.3	1896.65	2485.67	2384.37	1870.53	3103.19	1806.78	2400.97	4298.64	3515.68	1617.0	2193.99	3768.09	2351.53	2417.67	2271.4	2796.65	2664.15	2400.97	2875.3	2104.58	2119.22	1572.76	3467.27	2351.53	3081.75	1457.23	2104.58	2018.8	2451.44	4066.71	1806.78	2240.11	2303.12	2240.11	1769.57	2271.4	3395.89	2664.15	2018.8	2573.36	2701.35	2956.17	3794.3	3168.41	3124.78	3564.78	1806.78	2468.49	3349.13	3515.68	2915.45	2148.82	2209.26	2400.97	3280.18	1594.73	2720.15	4181.07	2255.7	3982.99	2163.77	2209.26	2915.45	2555.58	2645.74	2400.97	1991.0	2609.3	1417.35	4010.71	2193.99	2682.69	1870.53	2915.45	2835.7	1709.26	3039.3	1697.45	2004.85	2255.7	3955.48	3103.19	2240.11	2240.11	4298.64	2976.74
NABP2	603.67	251.48	291.04	301.33	236.21	303.44	193.01	379.04	183.82	295.11	435.55	236.21	314.17	318.57	483.38	346.29	785.88	769.69	1331.57	656.11	759.08	563.18	738.29	791.35	563.18	796.86	490.14	819.3	860.08	890.44	316.37	669.92	878.17	647.07	688.78	607.87	651.58	656.11	759.08	836.53	563.18	620.67	603.67	813.63	397.93	791.35	480.04	669.92	486.75	575.03	769.69	543.96	713.11	718.08	775.05	423.61	769.69	819.3	718.08	547.75	669.92	665.29	708.18	842.36	713.11	660.68	813.63	497.0	713.11	884.29	813.63	753.83	579.04	802.41	642.59	718.08	441.64	679.29	780.44	638.15	708.18	738.29	587.13	669.92	603.67	842.36	587.13	620.67	583.07	647.07	718.08	591.22	802.41	470.14	708.18	665.29	543.96	651.58	441.64	493.56	723.08	802.41	808.0	674.59	679.29	878.17	718.08
NAIF1	78.34	106.63	115.16	87.65	96.68	146.03	93.35	84.04	115.97	163.28	71.0	33.54	63.0	58.3	77.79	52.82	283.05	253.23	221.86	277.2	231.32	137.14	232.94	325.29	131.51	293.07	114.36	260.38	249.73	229.72	125.24	236.21	249.73	237.86	145.02	178.77	98.04	144.01	232.94	181.28	209.84	275.28	181.28	194.36	134.3	157.68	180.02	169.07	191.67	177.53	206.94	181.28	332.14	212.78	251.48	115.97	169.07	190.34	281.09	177.53	165.57	236.21	332.14	218.79	234.57	172.65	166.73	163.28	325.29	242.88	251.48	262.2	190.34	241.19	162.14	178.77	129.69	218.79	202.66	163.28	194.36	194.36	209.84	248.0	140.04	183.82	143.01	229.72	154.42	190.34	241.19	211.31	279.14	150.17	223.41	176.29	103.69	191.67	133.36	244.57	177.53	187.71	154.42	221.86	204.07	221.86	231.32
NHLRC1	8.0	4.86	3.44	8.58	5.77	24.28	7.75	10.71	7.17	10.71	5.19	0.66	0.48	2.01	0.1	2.36	47.84	112.77	41.22	64.34	104.42	11.55	105.15	73.54	30.34	68.07	16.03	97.36	53.57	67.12	3.5	66.18	76.71	60.82	40.64	63.45	29.27	19.68	53.95	27.64	43.63	53.57	43.94	28.45	16.63	27.05	11.47	34.02	30.78	36.79	50.27	43.63	64.8	68.07	61.68	6.57	35.0	44.89	95.34	40.64	20.86	43.02	80.01	75.64	69.52	28.45	33.3	16.88	69.52	70.01	40.64	84.04	41.22	55.89	48.52	38.12	20.41	49.56	48.87	38.67	39.79	71.0	40.64	58.71	27.44	78.34	41.22	40.64	15.8	23.76	47.84	45.21	75.64	6.06	61.25	39.22	16.15	31.67	14.35	16.27	29.91	92.05	53.95	54.72	56.68	73.03	78.34
NLRX1	83.45	63.89	55.1	120.94	31.67	88.26	139.07	63.0	71.0	127.0	186.4	159.9	155.5	246.28	98.04	142.01	287.01	358.54	281.09	307.69	392.44	157.68	323.03	381.68	183.82	320.8	209.84	381.68	351.14	224.97	103.69	265.87	329.84	277.2	269.6	297.17	215.77	217.27	258.57	334.46	214.27	275.28	228.13	220.32	185.11	211.31	115.16	251.48	232.94	205.5	265.87	341.51	420.68	316.37	366.09	161.02	289.02	262.2	400.71	271.48	221.86	301.33	361.04	348.71	305.55	189.02	267.73	275.28	325.29	275.28	363.56	318.57	255.0	279.14	283.05	262.2	137.14	297.17	316.37	291.04	269.6	314.17	279.14	273.37	242.88	289.02	256.78	291.04	197.09	231.32	289.02	289.02	318.57	181.28	224.97	218.79	164.42	307.69	206.94	248.0	295.11	273.37	279.14	293.07	332.14	320.8	307.69
NR2C2AP	199.85	149.12	116.78	253.23	90.14	205.5	137.14	146.03	246.28	144.01	215.77	79.45	181.28	172.65	111.99	148.09	392.44	371.22	432.53	450.94	334.46	366.09	409.15	406.31	303.44	384.34	289.02	260.38	420.68	293.07	161.02	287.01	540.19	339.14	400.71	232.94	273.37	351.14	260.38	376.41	307.69	325.29	221.86	299.25	189.02	356.05	429.54	273.37	218.79	301.33	381.68	323.03	363.56	299.25	255.0	234.57	309.83	497.0	409.15	279.14	363.56	323.03	381.68	435.55	518.15	518.15	332.14	325.29	366.09	454.09	323.03	343.89	309.83	334.46	351.14	483.38	244.57	343.89	423.61	293.07	529.06	373.81	387.02	253.23	281.09	332.14	438.59	414.87	314.17	279.14	220.32	264.03	351.14	199.85	189.02	332.14	285.03	334.46	351.14	417.77	624.99	409.15	323.03	239.52	275.28	336.79	447.82
NSUN5	267.73	155.5	125.24	297.17	104.42	217.27	190.34	120.1	186.4	158.79	195.72	71.0	283.05	211.31	156.59	209.84	543.96	503.95	1104.13	460.44	426.57	435.55	571.05	493.56	420.68	514.56	332.14	493.56	429.54	295.11	277.2	480.04	500.46	457.25	423.61	470.14	348.71	356.05	429.54	441.64	379.04	414.87	371.22	361.04	339.14	392.44	299.25	361.04	384.34	384.34	500.46	529.06	547.75	450.94	529.06	206.94	480.04	426.57	551.56	432.53	334.46	417.77	543.96	532.74	769.69	348.71	381.68	406.31	454.09	620.67	400.71	486.75	500.46	486.75	466.88	457.25	287.01	514.56	447.82	414.87	454.09	587.13	463.65	532.74	414.87	470.14	476.71	412.0	356.05	332.14	476.71	429.54	500.46	423.61	432.53	473.41	209.84	470.14	318.57	291.04	532.74	536.45	400.71	432.53	511.0	457.25	483.38
ORAI3	143.01	154.42	118.43	251.48	159.9	166.73	244.57	137.14	181.28	244.57	111.99	90.14	147.06	201.25	186.4	183.82	674.59	796.86	1008.9	665.29	896.64	420.68	638.15	571.05	426.57	532.74	368.65	633.73	616.37	466.88	293.07	536.45	575.03	454.09	473.41	486.75	384.34	395.18	480.04	620.67	409.15	551.56	371.22	540.19	420.68	320.8	543.96	460.44	497.0	426.57	486.75	470.14	660.68	555.41	429.54	387.02	454.09	507.46	483.38	358.54	397.93	559.28	693.58	480.04	543.96	376.41	447.82	551.56	595.34	454.09	540.19	703.28	438.59	493.56	532.74	476.71	420.68	403.5	441.64	480.04	493.56	403.5	507.46	612.11	507.46	423.61	500.46	480.04	460.44	368.65	563.18	493.56	808.0	273.37	429.54	400.71	323.03	620.67	309.83	392.44	525.39	511.0	543.96	603.67	503.95	547.75	525.39
OS9	5292.48	2739.08	5219.6	5076.84	2537.92	3540.14	4038.61	3303.0	3018.3	4239.45	4066.71	2075.59	1832.01	3982.99	4543.8	4038.61	6652.97	5872.48	7280.4	5329.3	5995.9	5076.84	6294.04	5329.3	4639.29	6079.61	5183.54	6745.86	6079.61	5441.3	4268.94	5255.91	6426.31	5913.33	5076.84	6426.31	5872.48	5183.54	7081.29	6745.86	5041.77	6037.61	4704.07	5112.16	4836.35	4937.99	5219.6	6037.61	4972.34	5329.3	5366.37	5517.27	5076.84	5711.87	5255.91	3564.78	6294.04	6037.61	4736.79	5441.3	5403.7	7081.29	5791.62	6935.54	6294.04	5441.3	6471.02	3901.01	6607.01	6037.61	6250.56	6337.83	5995.9	5872.48	5183.54	5672.41	5292.48	5329.3	5006.93	5517.27	5219.6	5006.93	5147.73	6935.54	5517.27	6652.97	5255.91	5076.84	5219.6	5403.7	7433.4	6426.31	5831.91	4210.15	5995.9	5219.6	5479.15	4450.27	2796.65	4419.52	5555.65	5913.33	5366.37	6607.01	5672.41	4607.24	6037.61
PALB2	49.21	78.34	44.25	110.43	68.07	103.69	67.12	63.0	120.94	45.53	72.52	69.03	96.01	67.12	46.18	47.84	149.12	148.09	209.84	187.71	164.42	65.26	193.01	111.99	139.07	166.73	78.34	173.85	153.34	162.14	83.45	151.22	202.66	116.78	81.71	123.5	61.25	72.01	176.29	141.02	88.26	147.06	127.0	108.9	115.97	93.35	116.78	117.6	189.02	84.04	117.6	122.64	159.9	156.59	162.14	92.7	100.83	126.12	141.02	114.36	123.5	181.28	154.42	181.28	143.01	159.9	102.25	110.43	140.04	148.09	169.07	110.43	116.78	140.04	134.3	154.42	177.53	145.02	127.89	125.24	169.07	131.51	152.28	180.02	95.34	127.0	90.77	109.66	86.43	121.79	198.47	145.02	90.14	142.01	161.02	133.36	88.26	149.12	149.12	204.07	147.06	142.01	94.67	197.09	148.09	171.45	187.71
PARS2	22.92	13.83	11.73	19.25	14.89	20.11	12.93	19.82	21.01	16.51	37.59	19.39	27.44	28.86	37.85	25.54	64.8	80.01	92.05	75.11	68.07	21.63	90.77	100.13	31.45	98.04	24.99	109.66	81.71	80.01	42.71	92.05	100.13	90.14	53.95	73.03	24.11	38.95	83.45	41.81	40.07	75.64	57.08	47.5	53.57	46.18	33.06	69.03	80.01	24.99	56.68	67.12	87.03	84.04	85.82	40.07	75.11	65.26	82.29	74.06	41.52	91.41	108.14	90.14	68.55	53.57	41.52	49.56	94.01	90.77	63.0	105.89	76.17	84.04	49.21	83.45	52.45	52.45	80.57	64.8	82.29	98.04	50.98	93.35	39.22	75.11	59.13	84.63	30.78	79.45	59.97	92.05	103.69	34.26	82.87	40.93	24.99	62.12	31.67	46.5	79.45	78.89	46.84	72.52	82.29	92.7	69.03
PEX12	34.51	30.56	24.63	29.06	36.01	69.03	37.05	49.21	34.75	46.18	59.55	25.17	30.12	40.93	71.0	33.3	120.94	133.36	256.78	119.26	143.01	83.45	177.53	209.84	101.54	224.97	83.45	316.37	244.57	237.86	65.26	199.85	287.01	201.25	118.43	183.82	110.43	133.36	199.85	226.54	126.12	195.72	154.42	204.07	108.9	124.37	138.1	165.57	158.79	127.89	171.45	121.79	187.71	218.79	239.52	88.88	214.27	199.85	208.38	181.28	105.15	199.85	242.88	195.72	198.47	136.19	148.09	96.01	275.28	285.03	171.45	291.04	142.01	214.27	181.28	190.34	87.03	157.68	183.82	177.53	237.86	211.31	193.01	193.01	152.28	229.72	122.64	157.68	131.51	172.65	156.59	206.94	283.05	69.52	195.72	149.12	108.14	144.01	75.64	127.0	166.73	194.36	181.28	229.72	199.85	232.94	193.01
PIGC	193.01	244.57	155.5	303.44	177.53	351.14	237.86	285.03	214.27	255.0	198.47	226.54	269.6	223.41	234.57	199.85	529.06	497.0	555.41	503.95	599.49	417.77	703.28	525.39	483.38	563.18	373.81	616.37	587.13	759.08	312.0	551.56	669.92	629.35	503.95	500.46	406.31	470.14	607.87	591.22	435.55	567.1	447.82	595.34	253.23	414.87	343.89	551.56	559.28	490.14	583.07	500.46	529.06	647.07	529.06	287.01	514.56	571.05	684.02	532.74	490.14	563.18	575.03	624.99	563.18	432.53	493.56	395.18	693.58	575.03	599.49	759.08	518.15	579.04	483.38	450.94	376.41	511.0	587.13	555.41	638.15	575.03	587.13	575.03	514.56	551.56	503.95	620.67	432.53	579.04	486.75	536.45	633.73	420.68	555.41	540.19	435.55	507.46	426.57	412.0	521.76	612.11	529.06	607.87	583.07	575.03	633.73
