	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.BC.A112.01A.11R.A131.07	TCGA.BC.A8YO.01A.11R.A37K.07	TCGA.UB.A7MD.01A.12R.A352.07	GTEX.13N11.0926.SM.5IJG2	TCGA.38.4625.01A.01R.1206.07	TCGA.49.AARR.01A.11R.A41B.07	TCGA.97.8552.01A.11R.2403.07	TCGA.NJ.A55A.01A.11R.A262.07	TCGA.91.6835.11A.01R.1858.07	TCGA.55.6986.11A.01R.1949.07	TCGA.50.6595.11A.01R.1858.07	GTEX.P44H.1126.SM.48TBU	GTEX.145MH.0626.SM.5NQAK	GTEX.12696.1026.SM.5FQUV	GTEX.PWOO.0726.SM.2I3EB	GTEX.UPK5.1126.SM.3GAEJ	GTEX.13QBU.1626.SM.5LU4S
RABL2B	1023.0	1794.29	325.29	316.37	348.71	287.01	297.17	0.0	3124.78	2018.8	2255.7	2271.4	1896.65	607.87	813.63	3564.78	928.3	759.08	1519.15	656.11
RFX3	132.44	318.57	23.76	33.78	69.52	12.0	6.57	0.0	426.57	137.14	334.46	265.87	332.14	86.43	93.35	356.05	90.77	30.56	139.07	212.78
RGS22	47.17	351.14	1.27	1.22	0.43	0.43	0.0	0.0	417.77	201.25	486.75	466.88	429.54	41.81	78.89	1208.34	158.79	93.35	314.17	242.88
RIBC1	329.84	2047.0	49.21	11.82	25.72	11.64	23.59	0.0	954.43	595.34	1199.98	1096.5	1037.29	101.54	154.42	1331.57	287.01	178.77	275.28	182.55
ROPN1L	22850.48	184082.4	15.56	3.99	14.24	2.18	16.51	0.0	2148.82	967.76	2133.97	1870.53	1487.87	165.57	651.58	5183.54	497.0	264.03	1073.91	16.15
RP1	22.75	180.02	0.0	0.69	0.0	0.0	0.0	0.0	41.81	27.25	34.75	47.17	41.81	11.64	10.55	67.59	18.43	3.59	10.88	2.94
RP11-444E17.6	6.11	10.47	0.43	1.91	2.27	0.0	1.58	0.0	19.97	12.09	36.27	14.03	22.26	3.79	3.56	20.71	5.77	3.5	6.89	2.71
RP11-723O4.6	30.78	47.5	1.66	0.48	0.46	20.56	0.39	0.0	106.63	57.08	75.11	104.42	75.11	21.32	4.21	255.0	67.12	15.34	46.5	1.11
RP11-77K12.7	8.78	19.82	4.62	2.39	0.0	4.86	0.0	0.0	42.11	20.71	24.11	21.16	28.24	2.36	0.0	38.12	5.63	13.32	6.52	14.14
RSPH10B	176.29	802.41	1.71	1.04	0.0	0.59	4.66	0.0	642.59	373.81	579.04	454.09	511.0	32.82	76.17	507.46	112.77	49.91	156.59	14.56
RSPH10B2	49.56	327.56	0.43	0.0	0.6	0.0	0.0	0.0	493.56	190.34	514.56	400.71	248.0	41.22	55.1	540.19	65.26	40.64	134.3	12.18
RSPH4A	1111.82	11345.82	6.26	1.51	1.04	1.07	5.68	0.0	1119.56	395.18	890.44	872.1	890.44	115.97	194.36	2004.85	314.17	172.65	599.49	69.52
RSPH9	56.68	214.27	17.25	7.28	8.51	7.94	18.29	0.0	616.37	341.51	638.15	629.35	486.75	59.97	66.18	638.15	147.06	113.56	173.85	87.03
SERPINI2	217.27	854.13	0.0	0.0	2.86	1.51	1.23	0.0	231.32	87.03	164.42	143.01	148.09	16.51	50.63	256.78	30.34	40.64	82.29	17.64
SNTN	47642.77	365622.68	0.0	0.0	0.0	0.0	0.0	0.0	4038.61	1467.37	4543.8	3716.2	3146.52	289.02	941.27	6983.79	1639.59	351.14	2224.63	0.0
SPAG17	2400.97	4210.15	17.51	8.71	9.85	4.54	4.35	0.0	1295.13	785.88	2032.85	921.88	764.36	111.99	141.02	1268.46	117.6	198.47	392.44	29.06
SPAG8	518.15	3235.01	29.48	1.75	35.76	4.06	19.97	0.0	1769.57	796.86	1378.57	1159.07	733.19	77.25	221.86	2075.59	343.89	206.94	536.45	271.48
SPATA33	353.59	466.88	96.68	152.28	67.59	125.24	73.54	0.0	718.08	432.53	825.0	688.78	521.76	139.07	397.93	1008.9	273.37	287.01	264.03	167.9
SPEF1	1662.49	14361.31	20.26	7.75	5.15	10.39	8.0	0.0	1388.16	693.58	954.43	791.35	780.44	63.89	139.07	1208.34	163.28	134.3	273.37	66.65
STMND1	5183.54	29531.18	1.66	1.97	21.94	1.23	38.95	0.0	1073.91	379.04	981.29	884.29	718.08	84.04	100.13	1605.83	279.14	102.97	595.34	0.0
STOX1	258.57	884.29	8.65	1.46	7.57	2.23	4.17	0.0	361.04	176.29	305.55	336.79	318.57	27.84	63.89	497.0	129.69	41.81	190.34	21.47
TCP11	638.15	463.65	4.58	0.0	0.84	3.47	4.35	0.0	45.21	21.78	41.22	41.52	28.04	5.41	10.31	87.03	49.56	9.7	17.64	4.94
TCTE1	187.71	909.17	4.62	1.87	1.38	0.0	0.0	0.0	579.04	228.13	400.71	432.53	379.04	42.71	76.17	723.08	120.1	65.72	161.02	16.39
TCTEX1D1	165.57	173.85	30.78	5.73	6.52	9.2	173.85	0.0	947.83	466.88	1135.2	656.11	521.76	69.03	198.47	872.1	126.12	77.79	199.85	47.84
TEKT2	14971.21	176583.6	13.93	3.5	1.43	1.11	4.03	0.0	2018.8	988.12	1923.14	2119.22	1628.26	118.43	246.28	3146.52	532.74	379.04	860.08	153.34
TEKT3	151.22	555.41	16.39	0.0	2.05	2.48	4.78	0.0	327.56	143.01	417.77	312.0	265.87	38.12	40.93	830.75	139.07	54.72	117.6	65.72
TEKT4	2976.74	12076.21	2.1	0.0	0.0	1.01	0.0	0.0	679.29	346.29	629.35	392.44	332.14	39.22	33.54	529.06	102.25	63.45	140.04	0.0
TMEM212	325.29	2816.11	0.0	0.0	2.36	0.0	0.0	0.0	616.37	205.5	559.28	299.25	356.05	48.18	53.19	713.11	118.43	25.72	253.23	0.0
TMEM231	934.76	6887.62	208.38	69.03	11.82	33.3	24.28	0.0	2384.37	1175.27	1745.2	1963.57	1487.87	279.14	348.71	3874.05	660.68	435.55	1191.69	703.28
TMEM67	327.56	414.87	95.34	101.54	59.97	23.42	36.27	0.0	909.17	392.44	780.44	759.08	587.13	155.5	316.37	928.3	236.21	140.04	232.94	244.57
TRAF3IP1	194.36	624.99	156.59	248.0	190.34	256.78	175.07	120.1	890.44	368.65	633.73	559.28	733.19	303.44	262.2	872.1	503.95	138.1	305.55	373.81
TSNAXIP1	239.52	842.36	24.46	24.28	17.64	20.26	18.97	0.0	1037.29	316.37	674.59	543.96	395.18	43.63	43.94	848.22	136.19	127.0	262.2	68.07
TTC16	111.99	603.67	6.73	0.0	3.76	0.57	0.62	0.0	547.75	232.94	503.95	253.23	289.02	26.47	62.56	463.65	85.82	36.79	98.04	2.92
TTC18	1617.0	2451.44	9.48	44.25	52.45	32.36	44.57	0.0	1015.93	698.41	2004.85	884.29	915.51	84.04	157.68	1991.0	152.28	117.6	258.57	49.91
TTC21A	361.04	713.11	39.5	29.48	48.18	31.9	33.78	0.0	1277.29	708.18	890.44	1051.79	743.43	141.02	262.2	1870.53	329.84	193.01	559.28	293.07
TTC29	1369.04	18950.18	0.41	0.0	0.0	0.0	1.19	0.0	647.07	211.31	656.11	480.04	470.14	49.91	117.6	928.3	145.02	48.18	414.87	10.96
TTC30B	125.24	224.97	46.84	61.25	47.17	28.04	55.49	0.0	289.02	158.79	325.29	249.73	271.48	78.89	59.97	232.94	108.14	79.45	170.25	104.42
TTC40	2520.38	13776.25	25.91	2.25	1.79	5.19	16.15	0.0	813.63	267.73	521.76	341.51	366.09	33.78	81.14	579.04	96.01	103.69	156.59	78.34
TTLL10	1167.14	3982.99	1.28	0.0	0.79	1.2	1.23	0.0	1369.04	444.72	688.78	547.75	480.04	67.12	66.65	967.76	183.82	152.28	147.06	24.99
TTLL9	688.78	3614.55	5.06	2.07	2.01	1.28	1.58	0.0	679.29	267.73	438.59	289.02	255.0	20.86	40.64	376.41	57.89	34.75	125.24	15.45
UBE3D	145.02	132.44	47.84	55.49	40.36	34.02	45.85	0.0	166.73	91.41	262.2	223.41	214.27	61.68	86.43	214.27	92.05	67.12	96.01	86.43
VWA3A	23986.58	14765.09	4.7	6.06	1.77	0.0	0.0	0.0	1388.16	536.45	915.51	629.35	563.18	76.17	126.12	1378.57	191.67	96.01	253.23	20.86
VWA3B	1529.73	10883.59	0.8	5.63	4.78	0.0	2.39	0.0	1350.18	476.71	2178.83	836.53	1167.14	123.5	271.48	1769.57	297.17	68.07	351.14	5.96
WDR38	18560.17	100719.65	1.25	0.0	6.57	0.0	0.0	0.0	2645.74	1001.93	2417.67	1417.35	1721.16	86.43	221.86	4181.07	703.28	299.25	684.02	71.5
WDR49	988.12	10512.82	3.79	1.19	14.24	0.0	0.92	0.0	457.25	161.02	450.94	212.78	262.2	43.32	57.49	1322.37	164.42	41.52	195.72	0.0
WDR52	358.54	674.59	18.16	84.63	155.5	55.49	82.29	0.0	995.0	543.96	802.41	518.15	688.78	178.77	137.14	1781.89	132.44	191.67	351.14	194.36
WDR63	177.53	1977.24	5.41	3.59	0.31	0.32	5.82	0.0	591.22	189.02	447.82	379.04	353.59	71.5	70.51	728.11	65.72	102.25	285.03	23.08
WDR65	1397.83	5112.16	4.62	5.68	5.5	42.11	10.16	0.0	599.49	287.01	620.67	633.73	536.45	63.89	67.12	1096.5	162.14	69.52	412.0	19.11
WDR66	2777.33	8191.0	37.05	32.36	5.19	8.45	18.97	0.0	1369.04	525.39	1519.15	1233.75	860.08	100.13	139.07	2739.08	346.29	234.57	651.58	66.18
WFDC2	1.736886224E7	2.009035788E7	1769.57	551.56	0.0	9.13	497.0	0.0	64186.29	59887.86	22535.88	20737.16	9673.69	3443.31	4704.07	32092.64	7695.57	97965.44	14971.21	2965819.8
ZMYND10	60304.42	757033.75	60.82	28.65	102.25	15.45	3.11	0.0	6121.9	3168.41	5633.22	6840.04	4575.41	532.74	854.13	16269.83	1936.53	1950.0	2976.74	74.58
ZNF20	59.55	100.83	44.89	23.76	12.27	53.95	36.79	0.0	197.09	149.12	269.6	206.94	170.25	74.58	82.29	176.29	57.89	56.28	85.82	111.99
ZNF440	769.69	2047.0	48.18	59.13	57.89	22.43	37.85	0.0	915.51	412.0	620.67	444.72	547.75	142.01	232.94	1674.06	181.28	237.86	476.71	244.57
