	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EM.A22L.01A.11R.A180.07	TCGA.EL.A3CZ.01A.11R.A19O.07	TCGA.BJ.A0Z2.01A.11R.A10U.07	TCGA.ET.A25O.01A.11R.A16R.07	TCGA.ET.A3DS.01A.11R.A19O.07	TCGA.QD.A8IV.01A.11R.A39I.07	TCGA.FY.A3W9.01A.11R.A22L.07	TCGA.ET.A39I.01A.11R.A19O.07	TCGA.E3.A3DZ.01A.11R.A20F.07	TCGA.FY.A3WA.01A.11R.A22L.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.KS.A4IB.01A.11R.A250.07	TCGA.EL.A3T2.01A.11R.A22L.07	TCGA.EM.A2CJ.01A.11R.A180.07	GTEX.Y111.1926.SM.4SOIS	GTEX.14ABY.0926.SM.5Q5DY	GTEX.R55E.0826.SM.2TC5M	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.1313W.0726.SM.5EGK1	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.11EI6.0726.SM.59866	GTEX.WL46.0126.SM.3TW8I	GTEX.145MH.0426.SM.5LU8T	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.1399R.0126.SM.5IFEV	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.145MG.0826.SM.5Q5C2	GTEX.139T6.0326.SM.5J2LY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.12BJ1.0426.SM.5FQSO	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3
NPY1R	0.0	0.15	87.65	27.64	15.22	10.96	42.11	36.53	14.89	34.75	93.35	21.78	121.79	166.73	39.79	24.99	136.19	206.94	124.37	115.97	153.34	244.57	7.82	198.47	53.57	483.38	107.38	241.19	242.88	438.59	68.55	323.03	151.22	151.22	190.34	299.25	165.57	323.03	157.68	70.51	49.56	99.43	167.9	40.93	48.18	371.22	112.77	143.01	211.31
NPY5R	0.0	0.0	7.46	1.35	0.0	0.82	2.12	0.91	1.57	2.43	12.55	1.27	12.09	2.51	0.88	0.0	14.67	24.81	14.45	15.56	13.93	20.41	0.85	18.29	5.02	51.35	14.78	24.46	26.1	36.27	4.62	22.43	18.03	19.53	18.03	34.51	18.43	23.76	9.27	4.31	2.92	3.29	9.93	2.76	9.48	33.3	11.64	17.25	17.0
OAT	0.0	1.06	1268.46	1477.58	1216.75	1388.16	1617.0	1167.14	1295.13	1529.73	1498.22	1015.93	1331.57	1023.0	1583.71	1304.15	1477.58	2555.58	1781.89	1685.71	1769.57	2240.11	961.07	1498.22	1977.24	2468.49	1936.53	1605.83	1594.73	2384.37	1304.15	1909.85	1628.26	1896.65	2209.26	2209.26	1991.0	2367.9	1870.53	2209.26	2047.0	1709.26	1794.29	1605.83	1487.87	2004.85	1572.76	2148.82	1529.73
ODF3B	0.0	0.58	309.83	775.05	525.39	159.9	503.95	884.29	660.68	607.87	389.72	423.61	651.58	264.03	353.59	708.18	1857.6	591.22	813.63	713.11	420.68	384.34	638.15	1417.35	343.89	896.64	860.08	1104.13	1199.98	825.0	2468.49	974.5	872.1	808.0	543.96	743.43	642.59	1037.29	444.72	603.67	389.72	559.28	429.54	325.29	299.25	1051.79	190.34	1794.29	698.41
OGN	0.0	0.09	10.16	0.0	0.89	0.88	33.78	0.0	0.0	15.8	28.86	4.39	55.89	0.0	1.35	5.96	693.58	1143.1	842.36	102.25	99.43	358.54	5.59	373.81	93.35	3665.02	325.29	1233.75	1304.15	3690.52	190.34	1977.24	228.13	571.05	642.59	2451.44	204.07	2303.12	41.81	98.73	99.43	32.13	38.12	86.43	58.3	237.86	75.64	332.14	607.87
OLFML1	0.0	0.15	47.84	61.25	32.13	26.1	58.71	36.53	28.65	72.52	91.41	19.53	117.6	48.18	21.94	37.05	303.44	409.15	444.72	87.03	108.14	223.41	33.3	277.2	88.26	476.71	224.97	429.54	463.65	395.18	118.43	493.56	314.17	251.48	497.0	490.14	146.03	356.05	98.73	102.25	104.42	41.81	48.18	61.68	65.72	214.27	102.25	88.88	295.11
OMD	0.0	0.14	7.63	1.62	1.55	1.08	20.56	1.13	1.08	2.78	23.42	3.26	43.32	1.57	2.48	2.25	287.01	532.74	397.93	134.3	83.45	438.59	1.1	366.09	38.12	1111.82	115.97	902.89	381.68	1001.93	74.06	1216.75	115.16	223.41	543.96	718.08	56.28	708.18	145.02	46.84	14.78	57.89	47.84	11.3	53.57	363.56	59.13	52.82	454.09
OXCT1	0.0	0.6	444.72	447.82	305.55	260.38	470.14	363.56	248.0	412.0	307.69	343.89	348.71	249.73	373.81	392.44	718.08	703.28	493.56	547.75	587.13	981.29	656.11	647.07	497.0	723.08	947.83	764.36	547.75	813.63	348.71	579.04	435.55	866.07	780.44	470.14	497.0	514.56	612.11	547.75	514.56	713.11	743.43	356.05	813.63	368.65	728.11	543.96	575.03
PARVA	0.0	0.67	429.54	457.25	348.71	836.53	723.08	384.34	473.41	595.34	414.87	480.04	587.13	764.36	476.71	500.46	647.07	842.36	848.22	633.73	769.69	813.63	454.09	684.02	842.36	1015.93	780.44	988.12	743.43	896.64	603.67	1066.48	848.22	718.08	981.29	748.61	764.36	961.07	543.96	457.25	693.58	651.58	379.04	591.22	529.06	890.44	796.86	638.15	616.37
PCDH9	0.0	0.0	2.01	2.39	5.68	1.23	2.29	1.35	2.43	2.51	3.5	5.5	2.97	3.2	4.46	2.07	41.52	111.21	17.9	33.06	33.3	46.84	8.06	44.89	20.71	39.79	75.64	51.71	43.63	67.12	19.25	65.26	12.09	61.25	66.18	54.72	66.65	81.14	57.49	21.01	33.3	28.65	27.05	4.74	15.34	26.28	63.89	24.99	37.85
PCDHGA9	0.0	0.3	87.03	113.56	19.82	10.08	34.26	29.91	25.72	45.53	50.27	40.36	22.26	10.96	21.32	111.99	66.18	88.26	66.65	75.11	42.11	67.59	38.4	53.19	35.5	108.14	128.79	50.27	34.02	50.63	43.32	70.51	70.51	118.43	251.48	111.99	65.26	90.77	70.01	34.51	36.01	25.35	47.17	34.26	16.63	84.63	31.67	8.38	48.18
PDE11A	0.0	0.0	4.78	9.78	9.78	0.43	21.63	12.27	4.86	9.2	9.06	24.63	8.06	1.38	18.97	10.31	24.63	36.01	14.24	6.21	20.71	24.46	5.5	21.32	19.25	35.25	55.1	16.27	30.78	19.25	18.43	31.45	42.71	30.12	36.53	15.68	22.1	30.56	19.39	5.96	38.12	36.01	18.97	7.28	13.52	7.63	26.1	10.71	23.93
PDZRN4	0.0	0.01	2.46	2.53	0.85	318.57	8.78	2.89	0.0	3.06	2.03	5.15	2.46	0.87	53.19	12.45	6.78	17.13	7.06	77.79	15.22	68.07	0.0	9.48	15.22	170.25	90.14	23.25	64.8	92.7	4.78	181.28	2.16	10.79	341.51	28.24	15.0	50.98	40.64	3.35	2.46	89.51	0.69	1.19	41.52	71.5	8.85	27.25	13.93
PGM5	0.0	0.33	73.54	72.01	10.24	30.56	72.52	85.82	15.22	76.17	81.71	32.13	153.34	82.29	56.68	39.22	253.23	327.56	490.14	105.89	175.07	269.6	13.12	180.02	166.73	540.19	236.21	607.87	356.05	435.55	119.26	376.41	289.02	256.78	536.45	518.15	291.04	376.41	98.73	145.02	141.02	132.44	60.39	167.9	72.01	279.14	249.73	85.22	214.27
PHF5A	0.0	0.72	376.41	457.25	334.46	277.2	295.11	412.0	348.71	532.74	511.0	312.0	414.87	273.37	348.71	384.34	878.17	902.89	785.88	764.36	511.0	934.76	379.04	796.86	679.29	802.41	651.58	854.13	738.29	785.88	723.08	708.18	703.28	819.3	836.53	872.1	909.17	638.15	703.28	872.1	753.83	785.88	473.41	665.29	633.73	941.27	723.08	728.11	665.29
PI16	0.0	0.04	21.47	3.14	3.29	6.11	70.51	3.5	4.17	14.03	55.1	10.08	138.1	7.82	6.62	10.55	684.02	769.69	3820.7	753.83	161.02	1651.0	24.28	1923.14	118.43	7966.99	1104.13	4268.94	3467.27	2816.11	202.66	6983.79	189.02	599.49	825.0	1794.29	107.38	2090.03	392.44	157.68	47.5	420.68	58.3	38.4	249.73	660.68	59.13	29.7	1733.13
PLAC9	0.0	0.23	223.41	123.5	87.65	64.8	363.56	147.06	97.36	253.23	406.31	128.79	417.77	127.89	147.06	309.83	1583.71	743.43	1487.87	1119.56	444.72	1167.14	279.14	1508.65	748.61	3419.52	1183.45	2701.35	1832.01	1447.15	559.28	3060.45	723.08	830.75	1662.49	2061.24	860.08	2148.82	435.55	718.08	447.82	371.22	195.72	813.63	241.19	525.39	656.11	579.04	1340.84
PMP2	0.0	0.0	1.69	0.0	1.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.17	6.46	6.73	1.23	2.68	2.89	2.29	6.94	4.13	11.82	7.0	12.18	3.32	13.83	5.28	6.89	7.51	3.76	5.02	4.31	1.85	3.86	1.25	0.21	2.32	1.46	2.94	0.99	1.5	4.06	1.28	3.82	2.86
POLR2F	0.0	0.79	1059.11	1340.84	961.07	941.27	954.43	915.51	1397.83	1583.71	1167.14	981.29	1340.84	1199.98	954.43	1427.22	2777.33	2520.38	2855.44	2075.59	1794.29	3235.01	1397.83	2915.45	2367.9	3212.66	2537.92	3540.14	2502.97	3564.78	2796.65	3491.39	2758.13	3018.3	2520.38	2351.53	2855.44	3395.89	2303.12	2417.67	2627.46	1870.53	1477.58	2997.45	2133.97	3235.01	2163.77	2451.44	2835.7
PRRX1	0.0	0.61	108.9	166.73	76.71	73.54	224.97	82.87	58.3	152.28	197.09	91.41	281.09	81.14	123.5	87.65	848.22	1044.52	1457.23	432.53	258.57	532.74	34.75	483.38	514.56	1733.13	620.67	1551.09	1159.07	1233.75	361.04	1447.15	1250.98	629.35	2018.8	2090.03	307.69	656.11	262.2	164.42	318.57	329.84	164.42	143.01	139.07	669.92	307.69	316.37	642.59
RAB32	0.0	0.58	130.6	201.25	206.94	234.57	202.66	186.4	218.79	177.53	189.02	154.42	258.57	264.03	215.77	299.25	180.02	255.0	281.09	251.48	262.2	351.14	57.49	223.41	209.84	426.57	318.57	309.83	241.19	450.94	156.59	466.88	299.25	193.01	559.28	339.14	281.09	480.04	186.4	279.14	171.45	237.86	171.45	246.28	158.79	435.55	223.41	182.55	173.85
RABL2B	0.0	0.18	341.51	595.34	575.03	358.54	511.0	356.05	490.14	629.35	698.41	748.61	559.28	255.0	543.96	397.93	941.27	540.19	802.41	612.11	1151.06	718.08	780.44	1135.2	669.92	808.0	961.07	848.22	934.76	842.36	1081.39	872.1	988.12	819.3	866.07	825.0	819.3	830.75	884.29	890.44	785.88	753.83	713.11	567.1	785.88	743.43	764.36	780.44	1059.11
RAC3	0.0	0.56	127.0	99.43	327.56	14.56	183.82	139.07	215.77	138.1	237.86	248.0	241.19	56.68	169.07	118.43	403.5	267.73	309.83	255.0	318.57	361.04	90.14	435.55	244.57	258.57	483.38	438.59	309.83	295.11	559.28	283.05	363.56	309.83	497.0	273.37	351.14	361.04	361.04	567.1	221.86	343.89	249.73	624.99	486.75	301.33	309.83	603.67	381.68
RORB	0.0	0.0	1.81	1.6	4.94	0.91	2.84	1.31	0.39	0.95	6.01	3.53	1.28	1.23	1.83	0.62	6.21	15.11	5.87	5.45	4.1	16.75	1.57	12.74	14.78	19.82	13.72	9.13	12.45	33.3	9.13	12.09	7.69	17.25	11.3	11.13	10.0	11.91	14.56	4.54	4.5	8.32	4.98	2.89	6.89	6.52	17.38	10.88	7.17
RRP7A	1685.71	105.15	212.78	591.22	406.31	339.14	325.29	221.86	470.14	813.63	423.61	260.38	599.49	441.64	267.73	403.5	723.08	1561.89	1096.5	738.29	493.56	708.18	599.49	384.34	684.02	1175.27	896.64	896.64	629.35	476.71	684.02	1023.0	988.12	819.3	703.28	954.43	748.61	1277.29	633.73	412.0	395.18	500.46	579.04	400.71	420.68	915.51	529.06	988.12	660.68
SAMM50	0.0	0.26	406.31	733.19	429.54	366.09	450.94	412.0	497.0	825.0	486.75	320.8	555.41	392.44	406.31	476.71	848.22	947.83	802.41	785.88	808.0	796.86	460.44	825.0	1051.79	909.17	902.89	791.35	1081.39	921.88	728.11	872.1	902.89	947.83	974.5	947.83	878.17	921.88	775.05	780.44	941.27	656.11	665.29	872.1	769.69	1088.92	896.64	703.28	866.07
SELP	0.0	0.34	34.02	136.19	8.19	21.63	115.97	50.27	5.32	145.02	62.56	24.63	170.25	92.05	71.5	7.11	161.02	59.97	16.03	103.69	48.52	209.84	36.01	80.57	118.43	231.32	241.19	193.01	63.45	122.64	206.94	167.9	60.39	58.3	215.77	165.57	220.32	140.04	52.08	133.36	152.28	144.01	22.59	88.88	63.89	312.0	181.28	40.07	93.35
SLC17A7	0.0	0.36	8.99	5.11	3.0	4.21	5.82	3.17	2.01	8.92	6.62	3.03	23.42	2.12	3.11	1.53	133.36	48.18	116.78	30.12	29.91	39.79	5.41	79.45	15.11	95.34	54.72	84.04	88.88	71.0	40.07	129.69	91.41	64.34	187.71	149.12	25.35	44.57	14.24	17.64	10.47	9.85	9.2	8.19	10.63	52.82	26.1	36.53	81.14
SLC24A3	0.0	0.39	69.52	53.19	61.25	3.86	75.64	29.91	55.1	55.89	84.04	59.13	64.8	22.1	70.51	76.71	205.5	273.37	312.0	40.93	30.56	94.01	76.17	175.07	71.0	305.55	241.19	195.72	299.25	320.8	107.38	231.32	105.15	170.25	236.21	218.79	244.57	343.89	105.89	79.45	40.64	248.0	43.02	111.21	24.11	104.42	93.35	102.25	221.86
SLC9A3R1	0.0	1.0	463.65	954.43	656.11	759.08	698.41	1216.75	567.1	825.0	595.34	1233.75	1008.9	890.44	728.11	571.05	1685.71	2935.74	1639.59	1001.93	665.29	473.41	536.45	1233.75	1216.75	1286.18	2351.53	1250.98	1059.11	476.71	642.59	842.36	1015.93	1639.59	1143.1	1427.22	651.58	1605.83	444.72	866.07	1721.16	555.41	571.05	532.74	1073.91	1313.23	878.17	995.0	1151.06
SMDT1	2287.2	283.05	1857.6	2627.46	2090.03	1745.2	1832.01	2400.97	1819.35	4210.15	2573.36	1340.84	2400.97	1639.59	1977.24	1963.57	3901.01	3081.75	4038.61	5147.73	4066.71	5751.61	2739.08	5594.3	4152.18	4575.41	3325.99	4836.35	4869.99	4010.71	6792.79	4038.61	5711.87	6164.49	3928.15	3060.45	5006.93	5403.7	4419.52	5751.61	5112.16	4903.87	4210.15	6887.62	6207.38	4836.35	3955.48	8421.31	5517.27
SNRPD3	0.0	0.8	1015.93	1674.06	1350.18	1259.69	1191.69	1216.75	1268.46	1605.83	1369.04	1037.29	1551.09	1225.22	1127.35	1175.27	2468.49	3395.89	2739.08	3124.78	1950.0	3325.99	1977.24	3018.3	2384.37	3768.09	2502.97	3081.75	2520.38	3257.52	2777.33	2796.65	3039.3	3018.3	2335.28	2335.28	3124.78	2976.74	2520.38	2047.0	2468.49	2573.36	1832.01	2018.8	2502.97	2591.27	2224.63	3103.19	2915.45
SORD	0.0	0.35	1350.18	4066.71	2287.2	890.44	5555.65	2351.53	2163.77	3491.39	3081.75	3820.7	2434.5	1242.34	2047.0	3690.52	10659.59	19482.97	18689.27	10883.59	4704.07	10296.45	6935.54	7485.11	11424.74	9474.59	9740.98	7911.95	5403.7	6699.25	6983.79	11504.21	14163.58	14065.74	13492.72	12676.65	13872.08	8778.97	5672.41	5711.87	6250.56	7589.61	9151.82	6607.01	8022.41	12943.04	7280.4	11035.54	12244.81
SOWAHC	57.08	74.58	72.01	127.89	76.71	178.77	171.45	90.77	75.64	110.43	89.51	95.34	92.7	102.97	107.38	89.51	246.28	358.54	297.17	214.27	154.42	244.57	89.51	150.17	115.16	215.77	277.2	163.28	215.77	271.48	155.5	143.01	264.03	190.34	212.78	244.57	180.02	193.01	195.72	206.94	199.85	183.82	187.71	180.02	186.4	157.68	217.27	123.5	218.79
ST7	0.0	0.27	587.13	629.35	500.46	571.05	529.06	684.02	476.71	684.02	389.72	327.56	674.59	312.0	620.67	679.29	947.83	1001.93	1059.11	872.1	995.0	1143.1	642.59	1191.69	791.35	1127.35	733.19	1037.29	1001.93	988.12	1059.11	1015.93	890.44	896.64	1023.0	1191.69	780.44	884.29	884.29	928.3	884.29	825.0	1143.1	872.1	1081.39	1073.91	764.36	947.83	759.08
SYP	0.0	0.3	30.12	21.94	31.67	11.73	22.26	23.08	23.25	23.25	39.5	28.04	44.57	11.04	18.29	19.11	138.1	88.88	127.0	69.03	51.35	57.08	23.76	80.01	43.63	122.64	85.22	93.35	148.09	71.0	63.45	119.26	87.65	85.22	55.1	116.78	52.08	77.79	61.68	37.85	65.72	53.95	53.19	45.53	45.21	80.01	59.97	43.94	106.63
TAB1	0.0	0.21	163.28	327.56	212.78	228.13	242.88	220.32	253.23	343.89	228.13	180.02	281.09	182.55	195.72	273.37	514.56	389.72	511.0	343.89	438.59	392.44	293.07	417.77	466.88	490.14	473.41	525.39	575.03	466.88	303.44	486.75	476.71	480.04	420.68	486.75	366.09	511.0	414.87	381.68	363.56	376.41	406.31	381.68	353.59	432.53	387.02	457.25	463.65
TG	0.0	0.64	938500.81	945028.61	1085552.95	343510.77	1063212.58	1123834.93	627822.72	839981.65	1048575.0	598087.73	1085552.95	233003.78	772940.66	828417.36	1282030.25	2068278.89	1179708.33	2247670.86	2126426.15	2375828.71	2111737.85	1622738.51	1997825.68	1535204.12	1984025.69	1139523.1	1984025.69	1196176.45	2986448.72	1567462.05	2025714.3	2425749.94	1139523.1	1318073.06	1929772.37	857631.47	1727194.55	2636147.11	2263304.65	2111737.85	1800541.22	3178687.03	3886391.01	1645391.11	2263304.65	2672946.37	1864037.21
TMEM52	0.0	0.35	10.55	8.13	31.9	4.7	28.65	10.08	17.64	15.11	30.56	11.55	16.15	10.31	8.58	16.27	30.34	26.67	45.53	23.59	20.86	14.45	5.82	16.27	26.86	34.75	45.85	34.26	65.26	29.7	39.22	9.7	21.78	26.28	16.39	31.9	45.85	31.0	14.89	24.63	11.64	38.12	5.96	17.64	3.35	10.96	14.24	27.05	32.13
TNXB	0.0	0.6	215.77	59.55	95.34	105.89	90.14	150.17	190.34	54.33	316.37	73.54	567.1	157.68	125.24	236.21	1977.24	1008.9	2047.0	555.41	373.81	1397.83	82.87	1216.75	507.46	2835.7	674.59	1617.0	2777.33	1721.16	665.29	4210.15	708.18	988.12	1427.22	4704.07	480.04	1870.53	612.11	246.28	356.05	341.51	285.03	277.2	218.79	551.56	346.29	567.1	1191.69
TOLLIP	0.0	0.64	890.44	909.17	830.75	1066.48	1104.13	1015.93	884.29	1044.52	830.75	796.86	1030.12	1066.48	764.36	884.29	1073.91	1044.52	1059.11	1081.39	1151.06	1081.39	1143.1	1001.93	1096.5	1167.14	1225.22	1119.56	1135.2	1119.56	1081.39	1081.39	1135.2	1199.98	974.5	1059.11	1119.56	1159.07	1044.52	961.07	934.76	988.12	808.0	967.76	1143.1	1191.69	967.76	1208.34	1030.12
TOMM22	3372.43	9279.58	587.13	753.83	642.59	490.14	559.28	493.56	624.99	974.5	733.19	432.53	743.43	511.0	483.38	638.15	1059.11	1437.15	1617.0	1096.5	1030.12	1388.16	866.07	1175.27	1081.39	1331.57	1208.34	1467.37	1322.37	1378.57	1159.07	1111.82	1508.65	1350.18	1242.34	1044.52	1417.35	1359.57	1044.52	1388.16	1191.69	988.12	802.41	1059.11	1066.48	1225.22	1208.34	1111.82	1417.35
TSPAN11	0.0	0.16	14.78	10.24	4.21	4.82	8.65	9.7	3.66	5.73	43.32	4.66	28.04	10.47	16.63	2.43	171.45	161.02	323.03	38.67	35.76	122.64	1.93	125.24	63.0	285.03	176.29	232.94	234.57	120.1	85.82	224.97	135.24	223.41	417.77	198.47	77.25	53.19	27.44	14.78	38.95	16.27	7.28	11.55	15.34	37.32	54.33	34.26	133.36
TTLL1	0.0	0.0	46.18	183.82	93.35	52.45	105.89	98.04	69.03	205.5	104.42	76.71	156.59	40.64	86.43	133.36	423.61	400.71	420.68	226.54	171.45	363.56	166.73	358.54	169.07	389.72	435.55	454.09	389.72	348.71	289.02	403.5	265.87	389.72	334.46	376.41	244.57	371.22	244.57	215.77	161.02	204.07	193.01	166.73	211.31	285.03	172.65	232.94	397.93
TXN2	2777.33	981.29	1081.39	2163.77	1437.15	995.0	1359.57	1457.23	1417.35	2537.92	1233.75	796.86	1594.73	1151.06	1119.56	1540.37	3103.19	2976.74	2997.45	2739.08	2720.15	2335.28	2163.77	2816.11	3419.52	2664.15	3081.75	2895.31	3146.52	2739.08	2627.46	2895.31	3060.45	3235.01	2758.13	2502.97	3060.45	3443.31	2701.35	3372.43	2895.31	2384.37	2758.13	3716.2	2502.97	3190.46	2855.44	3467.27	2627.46
TYMP	0.0	0.93	555.41	441.64	406.31	121.79	493.56	954.43	334.46	325.29	307.69	339.14	616.37	454.09	348.71	223.41	1605.83	336.79	860.08	785.88	651.58	397.93	275.28	753.83	642.59	595.34	854.13	674.59	921.88	543.96	2591.27	928.3	412.0	423.61	316.37	476.71	1277.29	808.0	368.65	275.28	780.44	473.41	185.11	320.8	147.06	1030.12	486.75	1322.37	363.56
VCAM1	0.0	0.0	41.52	54.72	42.71	15.91	125.24	40.36	22.92	61.68	74.58	22.75	78.89	31.9	22.26	66.18	78.89	159.9	114.36	72.52	67.59	182.55	53.95	135.24	49.91	348.71	279.14	171.45	159.9	193.01	208.38	182.55	149.12	154.42	162.14	129.69	208.38	283.05	62.56	41.22	94.01	108.9	27.64	26.67	55.49	176.29	138.1	108.14	57.49
VIPR2	0.0	0.16	2.51	0.66	1.95	0.0	1.55	0.66	1.45	0.61	6.67	1.07	1.11	0.0	1.1	0.0	7.28	5.68	6.41	3.92	2.43	2.1	1.57	4.39	1.46	1.91	5.15	5.41	16.27	11.3	0.29	8.06	4.46	3.06	4.39	7.63	2.48	2.03	1.73	0.56	3.06	1.77	0.31	2.46	0.34	10.88	2.71	2.23	2.94
XPNPEP2	0.0	0.26	0.0	1.03	0.0	1.46	2.58	1.57	4.35	2.97	5.11	0.0	4.21	1.0	1.01	1.87	10.31	4.54	7.75	11.38	11.64	9.41	0.19	6.84	11.82	40.36	13.83	26.67	41.81	33.54	11.47	57.89	6.67	2.03	39.5	59.55	20.11	5.23	4.9	2.23	6.46	5.06	0.78	11.47	5.73	61.68	3.23	10.16	9.13
