	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.KQ.A41P.01A.12R.A33J.07	TCGA.KN.8435.11A.01R.2315.07	TCGA.KN.8434.11A.01R.2315.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KL.8329.11A.01R.2315.07	TCGA.KL.8324.11A.01R.2315.07	TCGA.KL.8339.11A.01R.2315.07	GTEX.13NYB.1726.SM.5N9G2	GTEX.QDVN.1626.SM.48TZC	GTEX.ZC5H.1726.SM.5HL7X	GTEX.1497J.0826.SM.5NQAJ	GTEX.145MN.0326.SM.5QGQI	GTEX.13OVI.1126.SM.5KLZF	GTEX.12WSG.0826.SM.5EQ5A	TCGA.T7.A92I.01A.11R.A37O.07	TCGA.B0.5700.01A.11R.1541.07	TCGA.BP.4962.01A.01R.1334.07	TCGA.BP.5190.01A.01R.1426.07	TCGA.6D.AA2E.01A.11R.A37O.07	TCGA.CZ.5462.01A.01R.1503.07	TCGA.B0.4707.01A.01R.1277.07	TCGA.A3.3387.11A.01R.1541.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.CZ.5984.11A.01R.1672.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.B0.5691.11A.01R.1541.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.B0.5711.11A.01R.1672.07	TCGA.CJ.5676.11A.01R.1541.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.CZ.5451.11A.01R.1503.07	TCGA.CW.5585.11A.01R.1541.07	TCGA.CZ.5988.11A.01R.1672.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.CZ.5465.11A.01R.1503.07	TCGA.B0.5696.11A.01R.1541.07	TCGA.CW.5587.11A.01R.1541.07	TCGA.B0.5699.11A.01R.1541.07	TCGA.CJ.5677.11A.01R.1541.07	TCGA.B0.5709.11A.01R.1541.07	TCGA.A3.3358.11A.01R.1541.07	TCGA.B0.5705.11A.01R.1541.07	TCGA.CW.5581.11A.01R.1541.07	TCGA.B8.4622.11A.01R.1758.07	TCGA.CJ.6030.11A.01R.1672.07	TCGA.B0.5402.11A.01R.1503.07	TCGA.CZ.5466.11A.01R.1503.07	TCGA.CZ.5461.11A.01R.1503.07	TCGA.B2.5636.11A.01R.1541.07	TCGA.B9.4617.01A.01R.1193.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.GL.A59R.01A.11R.A26U.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.DW.7834.01A.11R.2139.07	TCGA.5P.A9KF.01A.11R.A42S.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.KV.A74V.01A.11R.A33Z.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.A4.A7UZ.01A.12R.A355.07	TCGA.IA.A83S.01A.11R.A355.07	TCGA.UZ.A9PK.01A.11R.A38C.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.BQ.7044.11A.01R.1965.07	TCGA.BQ.7046.11A.01R.1965.07	TCGA.BQ.5890.11A.01R.1592.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.GL.6846.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.BQ.7051.11A.02R.1965.07	TCGA.DZ.6133.11A.01R.1965.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.BQ.5877.11A.01R.1592.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.BQ.7045.11A.01R.1965.07	TCGA.BQ.5884.11A.01R.1592.07	TCGA.BQ.5878.11A.01R.1592.07	TCGA.BC.A110.01A.11R.A131.07	TCGA.BC.A10W.11A.11R.A131.07	GTEX.1497J.0726.SM.5Q5D1	GTEX.REY6.1226.SM.48FDR	GTEX.ZYW4.1126.SM.5SI99	GTEX.S7SF.0226.SM.5SI7H	GTEX.12WSK.0926.SM.5CVNQ	GTEX.11P81.0126.SM.5HL5Y	GTEX.ZXG5.0926.SM.5NQ8H	GTEX.11TTK.0826.SM.5N9EG	GTEX.VJYA.0426.SM.3GIJK	GTEX.13OVI.0826.SM.5KLZ8	GTEX.12WSL.0626.SM.5GCOY	GTEX.1211K.0726.SM.5FQUW
GOLPH3L	500.46	444.72	599.49	583.07	525.39	463.65	493.56	466.88	633.73	348.71	624.99	551.56	896.64	896.64	466.88	866.07	476.71	591.22	703.28	403.5	1378.57	279.14	607.87	723.08	708.18	620.67	713.11	629.35	728.11	769.69	748.61	642.59	836.53	723.08	665.29	813.63	651.58	854.13	825.0	708.18	713.11	698.41	733.19	764.36	753.83	785.88	791.35	733.19	563.18	629.35	819.3	780.44	802.41	267.73	412.0	426.57	283.05	279.14	490.14	414.87	277.2	275.28	314.17	249.73	624.99	397.93	432.53	473.41	387.02	262.2	356.05	503.95	551.56	563.18	514.56	595.34	665.29	450.94	529.06	450.94	587.13	665.29	579.04	642.59	567.1	638.15	117.6	108.9	190.34	158.79	400.71	633.73	555.41	603.67	555.41	629.35	830.75	503.95	638.15	525.39
GPATCH11	42.41	62.12	125.24	105.15	110.43	90.77	92.7	87.03	158.79	52.45	62.12	83.45	58.71	237.86	157.68	146.03	56.68	101.54	121.79	67.59	111.21	57.08	98.73	152.28	151.22	139.07	162.14	120.1	149.12	155.5	149.12	107.38	152.28	116.78	105.89	132.44	104.42	143.01	175.07	141.02	103.69	144.01	133.36	137.14	130.6	161.02	120.94	135.24	99.43	112.77	158.79	107.38	166.73	68.07	53.19	66.65	80.01	68.55	38.12	41.81	60.82	62.12	11.82	67.12	35.5	75.64	55.1	81.71	21.78	50.27	61.25	80.57	92.05	123.5	107.38	95.34	102.25	90.77	93.35	94.67	93.35	127.0	120.94	112.77	82.29	98.04	40.07	46.18	67.12	69.52	152.28	133.36	142.01	134.3	143.01	93.35	137.14	153.34	167.9	129.69
GPX3	198.47	738.29	353168.2	239554.43	783730.52	391864.76	191899.64	394590.4	417089.23	327241.36	305326.92	378516.38	182810.84	144427.91	355624.68	365622.68	161367.56	190574.09	336441.4	265802.39	492579.5	226632.25	736332.6	434801.29	246289.25	334117.42	207103.59	434801.29	450134.56	75803.72	303217.87	641014.63	327241.36	417089.23	316094.29	296977.71	517068.97	482442.34	8718.32	311742.51	322736.12	296977.71	305326.92	299043.36	561916.97	93974.69	318292.9	320506.81	400098.69	383800.28	389157.95	102836.01	472513.8	2004.85	186652.11	6699.25	31215.04	57448.23	77934.88	67846.12	3168.41	10084.54	299043.36	6037.61	186652.11	3303.0	49666.0	5112.16	19892.37	84109.6	43840.21	267651.2	389157.95	453265.5	772940.66	358098.26	422911.59	254974.66	378516.38	711250.37	668235.84	767601.56	524287.0	466008.55	577714.63	696613.03	22850.48	22380.2	320506.81	180294.02	546551.29	499455.67	419990.32	405683.88	338781.54	334117.42	275175.93	428815.23	284880.02	513497.31
HBS1L	273.37	395.18	775.05	802.41	633.73	733.19	651.58	703.28	1437.15	379.04	438.59	397.93	988.12	1191.69	808.0	743.43	497.0	339.14	547.75	493.56	457.25	246.28	854.13	1001.93	921.88	921.88	967.76	769.69	878.17	1135.2	896.64	860.08	872.1	836.53	796.86	995.0	813.63	995.0	1044.52	967.76	830.75	961.07	902.89	941.27	848.22	1001.93	854.13	842.36	738.29	698.41	896.64	967.76	981.29	253.23	423.61	314.17	301.33	361.04	389.72	361.04	356.05	205.5	172.65	277.2	392.44	336.79	392.44	343.89	176.29	314.17	384.34	684.02	688.78	775.05	723.08	708.18	743.43	656.11	679.29	713.11	785.88	830.75	728.11	802.41	647.07	769.69	368.65	490.14	493.56	412.0	656.11	633.73	665.29	629.35	738.29	624.99	1023.0	514.56	947.83	679.29
HP1BP3	866.07	1023.0	2997.45	2502.97	1781.89	2351.53	2664.15	2502.97	3081.75	1331.57	3901.01	1639.59	2609.3	2367.9	2777.33	1407.55	947.83	1208.34	1651.0	1331.57	1119.56	1233.75	2047.0	2573.36	2956.17	2816.11	2682.69	2591.27	2104.58	3168.41	2104.58	2061.24	2720.15	2591.27	1806.78	2664.15	1781.89	2537.92	2777.33	2758.13	2627.46	2627.46	2303.12	2555.58	2133.97	2682.69	2400.97	1896.65	2224.63	2591.27	2061.24	2701.35	2609.3	854.13	954.43	1721.16	1096.5	633.73	854.13	860.08	1369.04	1104.13	688.78	743.43	1388.16	1519.15	866.07	1322.37	872.1	271.48	909.17	1561.89	2417.67	2537.92	1991.0	1883.54	2537.92	2739.08	2319.15	2335.28	1963.57	2573.36	2520.38	2119.22	2335.28	2104.58	638.15	748.61	543.96	543.96	2591.27	3349.13	2777.33	4937.99	4152.18	2537.92	3491.39	2209.26	4704.07	2573.36
IFRG15	0.0	0.38	108.14	59.13	55.49	40.07	34.26	89.51	463.65	166.73	0.0	0.0	295.11	540.19	281.09	119.26	50.98	41.52	13.03	0.0	108.9	0.0	84.04	172.65	155.5	161.02	218.79	198.47	150.17	164.42	169.07	84.63	187.71	72.01	94.01	171.45	149.12	164.42	182.55	201.25	158.79	199.85	171.45	148.09	79.45	260.38	166.73	87.65	75.64	122.64	125.24	214.27	151.22	2.61	25.35	17.25	0.0	0.0	14.67	57.49	19.68	0.0	0.0	0.0	144.01	52.82	0.0	18.29	4.78	0.0	35.76	85.22	214.27	111.99	84.63	125.24	75.64	199.85	176.29	106.63	62.56	140.04	150.17	123.5	97.36	129.69	0.0	0.0	0.0	1.06	73.54	209.84	98.73	7.34	42.11	66.65	0.0	0.0	143.01	77.25
INIP	161.02	169.07	371.22	368.65	423.61	368.65	327.56	432.53	633.73	273.37	353.59	373.81	529.06	339.14	514.56	406.31	218.79	251.48	277.2	323.03	307.69	134.3	406.31	441.64	417.77	432.53	438.59	389.72	406.31	457.25	521.76	358.54	395.18	384.34	426.57	460.44	463.65	403.5	426.57	435.55	470.14	392.44	426.57	441.64	376.41	486.75	400.71	438.59	320.8	341.51	420.68	571.05	346.29	195.72	201.25	271.48	215.77	144.01	171.45	183.82	269.6	218.79	94.01	180.02	218.79	211.31	205.5	267.73	172.65	163.28	241.19	361.04	334.46	325.29	305.55	334.46	351.14	318.57	293.07	323.03	332.14	327.56	348.71	368.65	279.14	323.03	166.73	161.02	158.79	185.11	221.86	285.03	237.86	373.81	289.02	236.21	414.87	258.57	295.11	244.57
INTS6	162.14	277.2	303.44	281.09	228.13	256.78	287.01	260.38	285.03	164.42	316.37	258.57	229.72	297.17	356.05	316.37	190.34	166.73	212.78	277.2	301.33	164.42	295.11	356.05	417.77	356.05	366.09	309.83	327.56	450.94	417.77	323.03	432.53	334.46	269.6	483.38	353.59	406.31	361.04	309.83	291.04	361.04	373.81	368.65	269.6	412.0	366.09	303.44	303.44	339.14	332.14	518.15	314.17	212.78	193.01	177.53	152.28	125.24	86.43	112.77	212.78	113.56	53.57	77.25	201.25	159.9	139.07	138.1	57.49	106.63	110.43	198.47	325.29	287.01	265.87	248.0	237.86	397.93	251.48	275.28	262.2	303.44	241.19	320.8	190.34	249.73	376.41	447.82	309.83	234.57	387.02	351.14	373.81	395.18	503.95	457.25	447.82	289.02	470.14	320.8
KIAA0947	84.04	75.11	291.04	246.28	148.09	242.88	214.27	180.02	162.14	124.37	224.97	205.5	279.14	346.29	295.11	293.07	129.69	124.37	108.9	153.34	205.5	128.79	201.25	307.69	303.44	277.2	334.46	251.48	273.37	332.14	293.07	223.41	334.46	267.73	205.5	329.84	185.11	366.09	303.44	289.02	285.03	293.07	289.02	246.28	197.09	318.57	297.17	187.71	244.57	232.94	249.73	301.33	303.44	93.35	105.15	134.3	140.04	85.22	102.97	126.12	147.06	129.69	39.22	96.68	110.43	161.02	94.67	133.36	75.11	78.34	115.97	162.14	224.97	232.94	201.25	215.77	258.57	264.03	236.21	224.97	215.77	244.57	236.21	258.57	208.38	220.32	98.04	82.29	55.89	33.3	265.87	283.05	275.28	295.11	231.32	226.54	438.59	255.0	277.2	323.03
KIAA1737	106.63	204.07	334.46	343.89	316.37	305.55	339.14	316.37	260.38	150.17	412.0	316.37	277.2	387.02	457.25	381.68	172.65	108.14	75.64	435.55	141.02	87.65	281.09	387.02	400.71	473.41	395.18	397.93	389.72	503.95	336.79	248.0	420.68	368.65	320.8	480.04	297.17	379.04	486.75	429.54	412.0	429.54	400.71	368.65	343.89	567.1	406.31	262.2	361.04	279.14	285.03	521.76	358.54	79.45	119.26	163.28	169.07	94.67	130.6	121.79	129.69	148.09	145.02	96.01	185.11	136.19	139.07	183.82	136.19	161.02	175.07	371.22	454.09	303.44	320.8	366.09	356.05	444.72	366.09	287.01	303.44	426.57	353.59	329.84	299.25	299.25	106.63	138.1	126.12	73.03	536.45	373.81	529.06	358.54	329.84	353.59	303.44	409.15	417.77	483.38
KLHL8	70.01	237.86	208.38	185.11	190.34	191.67	185.11	224.97	323.03	126.12	305.55	299.25	236.21	287.01	547.75	156.59	77.25	131.51	155.5	104.42	287.01	75.11	202.66	249.73	251.48	237.86	341.51	239.52	275.28	264.03	234.57	283.05	297.17	283.05	246.28	246.28	226.54	351.14	483.38	241.19	285.03	264.03	273.37	201.25	232.94	336.79	242.88	312.0	258.57	220.32	255.0	341.51	246.28	86.43	122.64	93.35	115.97	77.79	157.68	86.43	120.1	62.12	48.87	102.97	155.5	92.7	155.5	94.01	52.08	45.53	162.14	190.34	229.72	215.77	221.86	236.21	231.32	181.28	195.72	236.21	208.38	312.0	194.36	186.4	201.25	205.5	84.04	85.82	69.52	57.08	307.69	269.6	224.97	269.6	309.83	361.04	551.56	116.78	392.44	305.55
LIMCH1	435.55	171.45	941.27	866.07	473.41	872.1	825.0	679.29	961.07	197.09	723.08	693.58	830.75	1697.45	1359.57	769.69	555.41	563.18	423.61	420.68	540.19	148.09	830.75	884.29	1477.58	995.0	1268.46	896.64	1369.04	1135.2	1096.5	612.11	1066.48	947.83	934.76	981.29	647.07	1015.93	1225.22	954.43	896.64	1096.5	1175.27	1051.79	624.99	1304.15	1023.0	796.86	1167.14	1143.1	1023.0	802.41	1159.07	186.4	318.57	205.5	175.07	189.02	191.67	220.32	246.28	167.9	116.78	69.52	218.79	361.04	148.09	198.47	74.06	102.97	220.32	483.38	1037.29	974.5	753.83	854.13	753.83	1151.06	947.83	848.22	802.41	941.27	954.43	802.41	819.3	764.36	131.51	102.97	287.01	872.1	2018.8	1519.15	1832.01	1313.23	1662.49	1143.1	1628.26	2018.8	1508.65	1674.06
LMBRD2	75.64	33.06	157.68	115.97	80.01	103.69	105.89	90.77	150.17	98.04	105.15	172.65	152.28	329.84	208.38	190.34	77.25	144.01	82.29	71.0	197.09	108.9	119.26	157.68	180.02	165.57	211.31	169.07	155.5	217.27	152.28	150.17	189.02	140.04	155.5	182.55	134.3	185.11	279.14	169.07	208.38	197.09	158.79	158.79	144.01	234.57	167.9	208.38	151.22	132.44	155.5	195.72	154.42	30.12	51.35	63.0	73.54	43.94	67.12	72.01	62.56	43.32	17.13	39.22	59.97	65.72	45.53	55.1	22.59	34.26	54.33	115.16	112.77	121.79	112.77	122.64	153.34	110.43	127.89	96.68	115.97	142.01	115.97	135.24	111.21	129.69	53.19	73.54	32.59	99.43	145.02	166.73	175.07	156.59	116.78	69.52	154.42	136.19	194.36	153.34
MAN2A1	297.17	104.42	642.59	551.56	314.17	620.67	454.09	392.44	260.38	511.0	718.08	567.1	743.43	1225.22	825.0	1073.91	314.17	470.14	316.37	332.14	400.71	414.87	532.74	813.63	796.86	753.83	775.05	656.11	669.92	688.78	738.29	575.03	759.08	718.08	620.67	708.18	454.09	902.89	769.69	688.78	785.88	693.58	698.41	612.11	429.54	669.92	723.08	808.0	647.07	802.41	830.75	616.37	733.19	155.5	332.14	267.73	314.17	325.29	363.56	392.44	269.6	264.03	265.87	201.25	633.73	318.57	346.29	277.2	204.07	214.27	301.33	363.56	521.76	638.15	525.39	507.46	591.22	629.35	656.11	507.46	684.02	607.87	525.39	764.36	551.56	660.68	384.34	406.31	316.37	507.46	587.13	358.54	599.49	441.64	301.33	229.72	305.55	339.14	435.55	275.28
MATR3	2032.85	1639.59	4358.66	4481.23	3212.66	4152.18	3874.05	3716.2	5219.6	2796.65	3303.0	3257.52	4152.18	7537.18	6207.38	3982.99	2915.45	2485.67	2835.7	2796.65	4769.75	1977.24	3280.18	4607.24	4972.34	5183.54	5555.65	3982.99	4869.99	5954.47	4972.34	3901.01	5255.91	4210.15	4639.29	5255.91	4010.71	4972.34	6699.25	4769.75	5041.77	4704.07	4769.75	4607.24	3540.14	5292.48	4450.27	5076.84	4388.98	4388.98	5219.6	5711.87	4736.79	1745.2	1806.78	3018.3	2935.74	1397.83	1529.73	1572.76	3146.52	2287.2	389.72	2384.37	1561.89	2997.45	2133.97	3018.3	902.89	2004.85	2119.22	3794.3	3874.05	3982.99	3794.3	3515.68	3794.3	3768.09	3443.31	3235.01	3847.29	3982.99	3515.68	3794.3	3280.18	3716.2	1447.15	1250.98	1119.56	1044.52	5995.9	5403.7	5255.91	5329.3	5076.84	4181.07	7642.41	4903.87	6121.9	5183.54
MECOM	723.08	638.15	1721.16	1617.0	775.05	1143.1	1437.15	1066.48	224.97	376.41	1936.53	1457.23	3280.18	3540.14	2047.0	14.78	127.0	75.64	62.12	205.5	97.36	34.26	638.15	1477.58	1651.0	1781.89	1950.0	1870.53	1617.0	2485.67	1073.91	1167.14	1991.0	1407.55	1268.46	2104.58	780.44	1617.0	2956.17	1870.53	1844.76	1819.35	1819.35	1242.34	915.51	2591.27	1781.89	915.51	1268.46	1104.13	1127.35	2104.58	1508.65	55.1	62.12	23.93	27.25	68.07	12.74	26.1	37.05	7.28	55.89	21.32	28.45	279.14	115.97	14.45	32.36	3.03	57.08	1104.13	1519.15	872.1	808.0	1388.16	1259.69	1651.0	1369.04	974.5	808.0	1487.87	1397.83	1159.07	961.07	1001.93	31.45	8.51	100.13	33.3	348.71	120.94	71.0	130.6	175.07	163.28	102.97	93.35	190.34	88.88
MED20	166.73	229.72	473.41	397.93	361.04	336.79	376.41	384.34	500.46	348.71	327.56	460.44	466.88	258.57	409.15	307.69	147.06	123.5	190.34	343.89	320.8	90.14	361.04	438.59	432.53	432.53	420.68	376.41	429.54	450.94	450.94	361.04	450.94	395.18	389.72	480.04	429.54	441.64	441.64	454.09	441.64	412.0	368.65	457.25	373.81	470.14	438.59	454.09	361.04	444.72	406.31	435.55	409.15	167.9	206.94	205.5	183.82	109.66	214.27	215.77	198.47	189.02	241.19	183.82	275.28	194.36	262.2	234.57	220.32	253.23	186.4	361.04	353.59	346.29	336.79	400.71	376.41	334.46	361.04	325.29	343.89	363.56	373.81	400.71	334.46	373.81	142.01	128.79	190.34	118.43	201.25	318.57	198.47	314.17	379.04	232.94	441.64	178.77	323.03	275.28
MYO5C	66.65	106.63	217.27	171.45	81.71	135.24	172.65	167.9	104.42	78.34	111.99	111.99	153.34	353.59	141.02	129.69	52.45	42.11	75.64	82.29	85.82	73.03	91.41	162.14	190.34	212.78	201.25	336.79	156.59	470.14	126.12	99.43	189.02	171.45	140.04	202.66	87.65	175.07	406.31	195.72	162.14	211.31	209.84	163.28	140.04	320.8	201.25	62.12	145.02	139.07	107.38	167.9	204.07	46.84	71.0	127.0	45.21	61.25	50.98	77.25	63.0	71.0	20.11	60.82	31.0	117.6	77.25	93.35	27.44	41.22	85.82	115.16	167.9	123.5	106.63	164.42	146.03	208.38	173.85	110.43	88.88	129.69	159.9	123.5	105.89	118.43	45.53	41.22	46.18	33.06	1096.5	414.87	753.83	567.1	503.95	521.76	460.44	1143.1	444.72	521.76
PCMTD1	583.07	503.95	1167.14	1059.11	1096.5	988.12	909.17	988.12	1295.13	718.08	902.89	1008.9	981.29	2193.99	941.27	808.0	334.46	460.44	486.75	551.56	1628.26	379.04	1081.39	1417.35	1388.16	1127.35	1350.18	1191.69	1250.98	1639.59	1051.79	1066.48	1508.65	1250.98	878.17	1437.15	1037.29	1519.15	1963.57	1268.46	1242.34	1378.57	1167.14	1216.75	1331.57	1447.15	1242.34	1388.16	1066.48	1088.92	1135.2	1350.18	1259.69	363.56	470.14	480.04	260.38	283.05	309.83	343.89	299.25	567.1	82.87	267.73	305.55	403.5	309.83	332.14	144.01	138.1	323.03	934.76	988.12	974.5	961.07	830.75	1059.11	967.76	878.17	967.76	872.1	1127.35	934.76	836.53	967.76	928.3	173.85	267.73	166.73	171.45	1233.75	1233.75	1447.15	1662.49	1313.23	620.67	1331.57	1051.79	1662.49	974.5
PDS5B	89.51	113.56	346.29	253.23	155.5	277.2	271.48	199.85	154.42	251.48	279.14	231.32	397.93	624.99	353.59	246.28	164.42	172.65	206.94	198.47	202.66	158.79	242.88	384.34	381.68	348.71	460.44	334.46	376.41	473.41	409.15	249.73	371.22	283.05	273.37	480.04	242.88	429.54	476.71	307.69	353.59	406.31	397.93	346.29	232.94	406.31	373.81	255.0	301.33	327.56	314.17	429.54	395.18	218.79	143.01	140.04	78.34	93.35	66.65	71.5	126.12	108.14	34.75	72.52	128.79	193.01	85.82	105.89	38.4	96.01	115.97	214.27	258.57	301.33	223.41	258.57	256.78	265.87	287.01	201.25	220.32	283.05	267.73	289.02	234.57	269.6	98.04	105.89	125.24	65.72	301.33	323.03	409.15	403.5	348.71	202.66	688.78	363.56	466.88	358.54
PHAX	414.87	325.29	669.92	595.34	497.0	607.87	603.67	563.18	1143.1	305.55	412.0	612.11	791.35	1104.13	1111.82	878.17	638.15	521.76	547.75	483.38	1119.56	507.46	665.29	902.89	902.89	738.29	967.76	656.11	819.3	902.89	791.35	642.59	1008.9	733.19	703.28	921.88	642.59	947.83	819.3	872.1	759.08	866.07	842.36	848.22	713.11	796.86	775.05	555.41	718.08	660.68	884.29	1159.07	866.07	241.19	277.2	414.87	450.94	285.03	387.02	429.54	547.75	295.11	132.44	332.14	339.14	387.02	305.55	466.88	151.22	332.14	336.79	651.58	575.03	571.05	674.59	525.39	629.35	567.1	559.28	532.74	603.67	748.61	559.28	599.49	599.49	733.19	293.07	334.46	389.72	361.04	403.5	579.04	457.25	497.0	708.18	435.55	583.07	595.34	743.43	616.37
PIK3C2A	72.01	101.54	665.29	457.25	332.14	547.75	460.44	348.71	503.95	209.84	273.37	493.56	529.06	1023.0	1250.98	525.39	136.19	198.47	201.25	208.38	392.44	124.37	493.56	665.29	808.0	595.34	848.22	583.07	718.08	878.17	684.02	551.56	878.17	607.87	441.64	796.86	536.45	866.07	813.63	728.11	624.99	764.36	728.11	607.87	497.0	808.0	624.99	656.11	665.29	713.11	571.05	575.03	753.83	124.37	166.73	190.34	91.41	92.7	66.18	81.14	161.02	149.12	21.32	94.01	85.22	241.19	91.41	146.03	36.53	74.06	108.9	265.87	507.46	536.45	470.14	521.76	571.05	642.59	503.95	575.03	476.71	607.87	507.46	693.58	460.44	450.94	109.66	104.42	96.01	92.05	988.12	587.13	743.43	532.74	543.96	444.72	743.43	660.68	791.35	579.04
PLAA	224.97	194.36	366.09	291.04	212.78	423.61	361.04	289.02	327.56	420.68	253.23	384.34	466.88	503.95	497.0	457.25	258.57	291.04	295.11	267.73	379.04	214.27	303.44	384.34	444.72	450.94	470.14	373.81	423.61	450.94	450.94	384.34	466.88	426.57	384.34	476.71	297.17	444.72	500.46	414.87	444.72	426.57	441.64	384.34	255.0	483.38	389.72	423.61	371.22	460.44	460.44	595.34	470.14	180.02	293.07	249.73	156.59	166.73	244.57	249.73	237.86	142.01	291.04	137.14	353.59	205.5	185.11	211.31	167.9	173.85	194.36	265.87	346.29	400.71	320.8	336.79	363.56	368.65	339.14	339.14	346.29	387.02	332.14	423.61	318.57	403.5	251.48	246.28	232.94	178.77	305.55	309.83	323.03	351.14	256.78	231.32	356.05	289.02	371.22	325.29
PLS3	587.13	1044.52	3124.78	3372.43	2163.77	2956.17	2502.97	2720.15	2255.7	2319.15	1023.0	1909.85	5006.93	6561.36	2451.44	4388.98	684.02	2400.97	974.5	1639.59	961.07	928.3	1844.76	3235.01	3768.09	3639.7	3794.3	3303.0	3690.52	3874.05	3124.78	2956.17	3467.27	3794.3	3081.75	3443.31	2400.97	3212.66	5831.91	3467.27	2895.31	3639.7	3039.3	3325.99	1963.57	4543.8	3395.89	3794.3	2855.44	3665.02	3820.7	4152.18	3928.15	186.4	941.27	316.37	579.04	748.61	575.03	974.5	500.46	70.01	1175.27	105.15	836.53	954.43	884.29	358.54	217.27	884.29	796.86	2855.44	2758.13	2664.15	2758.13	2835.7	2701.35	3212.66	2956.17	2255.7	2271.4	2384.37	2502.97	2400.97	2287.2	3060.45	2133.97	2032.85	1250.98	2148.82	5219.6	5041.77	4869.99	2956.17	3395.89	2875.3	7966.99	4419.52	4903.87	4328.55
PPP2R5E	164.42	148.09	329.84	255.0	187.71	323.03	262.2	217.27	426.57	175.07	264.03	314.17	381.68	559.28	417.77	305.55	147.06	164.42	141.02	182.55	193.01	111.21	269.6	363.56	379.04	395.18	476.71	361.04	426.57	483.38	403.5	258.57	332.14	327.56	316.37	379.04	264.03	387.02	454.09	373.81	406.31	400.71	409.15	363.56	295.11	490.14	346.29	387.02	368.65	348.71	356.05	444.72	371.22	158.79	146.03	208.38	161.02	96.01	142.01	157.68	198.47	136.19	94.01	117.6	199.85	199.85	144.01	195.72	102.25	130.6	157.68	221.86	228.13	320.8	265.87	277.2	299.25	295.11	279.14	258.57	289.02	323.03	262.2	366.09	224.97	301.33	182.55	136.19	139.07	273.37	343.89	358.54	361.04	312.0	348.71	255.0	656.11	241.19	454.09	403.5
PRKAA1	285.03	287.01	928.3	698.41	733.19	753.83	802.41	759.08	514.56	536.45	514.56	718.08	1088.92	2224.63	967.76	825.0	373.81	435.55	447.82	323.03	660.68	395.18	753.83	860.08	1001.93	738.29	1111.82	884.29	860.08	1127.35	854.13	738.29	974.5	796.86	579.04	1015.93	674.59	1208.34	1407.55	842.36	915.51	947.83	860.08	860.08	954.43	967.76	775.05	915.51	813.63	941.27	836.53	1023.0	866.07	232.94	323.03	450.94	301.33	221.86	314.17	332.14	381.68	473.41	108.14	191.67	536.45	379.04	244.57	327.56	149.12	177.53	249.73	500.46	647.07	642.59	633.73	595.34	738.29	785.88	656.11	612.11	624.99	819.3	624.99	753.83	571.05	651.58	426.57	511.0	376.41	674.59	1151.06	796.86	961.07	928.3	665.29	450.94	974.5	1001.93	988.12	785.88
PRPF18	295.11	295.11	406.31	423.61	384.34	409.15	444.72	460.44	693.58	366.09	309.83	376.41	490.14	457.25	460.44	476.71	293.07	248.0	409.15	389.72	454.09	129.69	438.59	457.25	480.04	444.72	514.56	432.53	450.94	387.02	450.94	444.72	466.88	460.44	435.55	536.45	432.53	480.04	543.96	441.64	444.72	395.18	438.59	507.46	384.34	426.57	392.44	463.65	457.25	480.04	559.28	460.44	438.59	301.33	392.44	332.14	343.89	283.05	400.71	279.14	384.34	299.25	237.86	363.56	339.14	289.02	500.46	392.44	231.32	318.57	400.71	460.44	366.09	426.57	447.82	348.71	371.22	358.54	397.93	384.34	432.53	447.82	389.72	441.64	341.51	406.31	293.07	305.55	303.44	234.57	373.81	423.61	361.04	460.44	490.14	356.05	679.29	384.34	620.67	466.88
