	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A1EW.11B.33R.A137.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.W5X1.2326.SM.3GIL6	GTEX.VJWN.0726.SM.3GIJ8	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.EJ.5524.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.5507.01A.01R.1580.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07
KHDRBS1	2739.08	2976.74	3212.66	3146.52	3589.58	3081.75	1407.55	1685.71	2061.24	2224.63	1242.34	2018.8	1561.89	1909.85	1662.49	1437.15	2287.2	1143.1	1427.22	1583.71	1159.07	1662.49	1378.57	1340.84	1923.14	1175.27	1233.75	1781.89	1277.29	2255.7	1313.23	1467.37	1651.0	1733.13	1594.73	2004.85	2303.12	1487.87	1135.2	1369.04	2209.26	1896.65	1304.15	1427.22	1806.78	1583.71	1529.73	1277.29	1268.46	1081.39	1697.45	1572.76	1628.26
KIFAP3	759.08	738.29	791.35	954.43	1674.06	866.07	397.93	392.44	429.54	426.57	336.79	438.59	323.03	395.18	348.71	255.0	454.09	182.55	215.77	343.89	312.0	289.02	371.22	348.71	490.14	285.03	295.11	551.56	316.37	356.05	334.46	283.05	379.04	417.77	409.15	406.31	417.77	373.81	341.51	392.44	435.55	441.64	387.02	356.05	358.54	329.84	275.28	323.03	307.69	273.37	406.31	435.55	397.93
KLK3	4.13	56.68	63.45	21.78	8.38	42.11	1345768.59	1005860.33	573724.06	311742.51	1116072.03	350728.68	1212874.47	459592.86	1163466.92	1116072.03	440870.9	881742.8	1063212.58	1055868.42	1255646.43	1187913.85	1093103.58	1139523.1	1327240.99	887875.81	1147449.11	309589.14	978355.0	394590.4	1412675.8	822695.06	1238359.56	1327240.99	1196176.45	542775.98	800198.39	985160.01	869603.57	851707.37	381149.17	767601.56	1212874.47	1238359.56	654483.73	1048575.0	1345768.59	1472666.19	1229805.58	1019901.63	894051.48	1019901.63	1063212.58
KPNA5	285.03	320.8	368.65	267.73	819.3	221.86	42.41	88.88	189.02	215.77	67.59	218.79	98.04	228.13	72.01	120.94	205.5	43.32	163.28	120.94	69.52	71.0	47.5	120.94	152.28	23.59	60.82	133.36	89.51	236.21	49.56	86.43	68.07	86.43	178.77	177.53	171.45	94.67	61.68	65.26	199.85	176.29	52.82	120.94	211.31	67.59	111.99	107.38	49.91	58.71	148.09	148.09	86.43
LAMTOR3	1605.83	1561.89	1950.0	2193.99	3212.66	2417.67	441.64	1498.22	1883.54	1551.09	1015.93	1457.23	1467.37	1572.76	1508.65	1096.5	1540.37	708.18	1044.52	1369.04	1242.34	1119.56	1191.69	1023.0	1662.49	872.1	902.89	1819.35	1417.35	1561.89	1268.46	1216.75	1159.07	1233.75	1508.65	1250.98	1721.16	1331.57	967.76	915.51	1857.6	1757.34	1051.79	1127.35	1437.15	1359.57	1397.83	1143.1	1378.57	1051.79	1721.16	1447.15	1572.76
LTA4H	1950.0	1551.09	3589.58	2178.83	3768.09	1936.53	1457.23	1498.22	1769.57	1572.76	902.89	1794.29	1119.56	1628.26	813.63	1143.1	1769.57	759.08	1066.48	1268.46	1594.73	1208.34	909.17	1111.82	1407.55	1015.93	1135.2	1757.34	1015.93	1794.29	713.11	1119.56	1322.37	2004.85	1008.9	1721.16	1529.73	1104.13	1199.98	785.88	1709.26	1096.5	866.07	1340.84	1369.04	1250.98	1175.27	1183.45	941.27	1135.2	1159.07	1051.79	1268.46
LYRM2	1081.39	1208.34	1081.39	1304.15	1295.13	1096.5	206.94	785.88	802.41	866.07	780.44	921.88	454.09	1051.79	373.81	612.11	961.07	281.09	656.11	490.14	363.56	463.65	748.61	693.58	651.58	232.94	414.87	860.08	307.69	921.88	186.4	638.15	341.51	395.18	713.11	1008.9	674.59	759.08	384.34	470.14	825.0	1088.92	307.69	629.35	995.0	656.11	540.19	435.55	595.34	248.0	954.43	693.58	503.95
MATR3	6983.79	7130.55	8778.97	7230.1	10808.41	8247.98	2555.58	3639.7	5831.91	6337.83	3081.75	5913.33	3280.18	6121.9	3146.52	4268.94	6207.38	3372.43	3901.01	3190.46	2520.38	3419.52	3874.05	3280.18	4903.87	2119.22	2417.67	5366.37	2609.3	5995.9	3039.3	3039.3	3955.48	3955.48	3847.29	5633.22	4704.07	4152.18	3124.78	2758.13	5831.91	5403.7	2417.67	3874.05	5219.6	4268.94	3018.3	3419.52	2520.38	2664.15	4704.07	3820.7	3349.13
MCTP1	507.46	297.17	406.31	884.29	723.08	547.75	21.94	77.79	111.99	470.14	17.38	297.17	19.53	267.73	40.93	34.26	105.15	48.18	32.82	13.62	63.45	15.45	63.0	38.12	87.65	13.32	14.45	269.6	54.33	134.3	11.3	16.39	45.85	96.01	42.71	66.18	44.57	70.01	30.78	20.86	187.71	51.71	9.13	24.99	128.79	57.08	49.56	35.76	29.06	55.89	22.1	29.48	21.47
MMADHC	2816.11	2335.28	3235.01	3349.13	4210.15	3325.99	2004.85	2591.27	2997.45	3491.39	1991.0	3190.46	2209.26	3257.52	1639.59	2319.15	2739.08	854.13	2271.4	1819.35	2148.82	2609.3	2104.58	2018.8	3540.14	1662.49	2400.97	1685.71	1111.82	3060.45	1662.49	1572.76	2367.9	1286.18	1923.14	3081.75	3039.3	2997.45	2004.85	1551.09	3515.68	2997.45	1081.39	2645.74	3018.3	2417.67	1923.14	2664.15	1733.13	1242.34	2627.46	2209.26	2018.8
MRPS22	995.0	728.11	1081.39	1199.98	1225.22	1044.52	575.03	620.67	587.13	684.02	463.65	728.11	540.19	656.11	796.86	529.06	656.11	384.34	486.75	514.56	490.14	543.96	521.76	486.75	642.59	476.71	547.75	698.41	660.68	647.07	591.22	500.46	497.0	647.07	620.67	647.07	988.12	583.07	441.64	497.0	733.19	616.37	642.59	642.59	660.68	503.95	551.56	483.38	587.13	435.55	595.34	551.56	660.68
MTRF1L	336.79	343.89	412.0	403.5	356.05	480.04	204.07	271.48	299.25	316.37	251.48	275.28	262.2	293.07	249.73	265.87	285.03	204.07	239.52	260.38	323.03	281.09	229.72	273.37	287.01	169.07	221.86	279.14	231.32	332.14	170.25	226.54	237.86	262.2	301.33	301.33	253.23	309.83	214.27	226.54	332.14	295.11	143.01	249.73	291.04	215.77	239.52	239.52	293.07	136.19	301.33	249.73	256.78
NDUFA5	2148.82	2335.28	2178.83	2664.15	2976.74	2609.3	1572.76	1769.57	2777.33	2573.36	1819.35	2209.26	2163.77	2591.27	2075.59	1447.15	2335.28	1781.89	1605.83	1963.57	2193.99	1721.16	1709.26	1923.14	2645.74	1183.45	1437.15	2816.11	1923.14	2502.97	1883.54	1519.15	1519.15	1806.78	2367.9	2400.97	2758.13	1628.26	1119.56	1457.23	2777.33	2875.3	1594.73	1529.73	2224.63	1769.57	1561.89	1757.34	1794.29	1397.83	1950.0	1757.34	2351.53
NFE2L3	529.06	246.28	209.84	283.05	318.57	738.29	52.45	105.89	172.65	260.38	45.85	269.6	155.5	244.57	72.01	180.02	273.37	211.31	109.66	57.49	88.26	101.54	60.82	71.0	130.6	49.56	120.94	343.89	98.04	199.85	108.14	90.77	62.56	120.94	130.6	265.87	129.69	59.13	84.04	85.22	329.84	75.11	76.17	190.34	303.44	79.45	75.11	54.72	88.88	223.41	38.95	43.63	62.12
NFYB	1088.92	1023.0	1216.75	1259.69	1127.35	1487.87	420.68	728.11	1427.22	1175.27	483.38	988.12	529.06	995.0	559.28	813.63	954.43	379.04	532.74	532.74	775.05	521.76	579.04	514.56	775.05	511.0	500.46	954.43	718.08	878.17	540.19	587.13	665.29	961.07	836.53	764.36	748.61	651.58	571.05	460.44	890.44	915.51	529.06	575.03	764.36	647.07	633.73	567.1	624.99	612.11	688.78	813.63	555.41
NT5DC1	813.63	1208.34	915.51	808.0	1175.27	1628.26	536.45	825.0	1340.84	1883.54	1151.06	1359.57	591.22	1477.58	327.56	878.17	1225.22	454.09	1199.98	733.19	902.89	921.88	579.04	830.75	954.43	470.14	612.11	1397.83	718.08	1477.58	457.25	647.07	579.04	532.74	780.44	1572.76	703.28	872.1	796.86	866.07	1216.75	995.0	567.1	1051.79	1331.57	1167.14	974.5	878.17	647.07	441.64	1397.83	988.12	500.46
NXT2	420.68	381.68	511.0	454.09	450.94	825.0	80.57	127.0	271.48	239.52	110.43	232.94	158.79	334.46	156.59	117.6	251.48	105.15	109.66	123.5	85.22	129.69	127.89	127.89	173.85	48.87	97.36	248.0	105.15	231.32	115.97	102.25	111.99	110.43	114.36	217.27	209.84	148.09	82.29	90.14	277.2	189.02	107.38	105.15	234.57	113.56	195.72	142.01	73.03	90.14	201.25	126.12	170.25
ORC3	607.87	651.58	728.11	693.58	1605.83	954.43	217.27	500.46	500.46	684.02	403.5	525.39	327.56	551.56	253.23	389.72	507.46	172.65	406.31	376.41	303.44	387.02	389.72	406.31	514.56	217.27	314.17	555.41	275.28	529.06	305.55	339.14	265.87	226.54	525.39	450.94	547.75	511.0	199.85	323.03	567.1	454.09	220.32	417.77	463.65	403.5	429.54	242.88	507.46	220.32	507.46	460.44	356.05
PAIP1	2645.74	3103.19	2835.7	2875.3	3515.68	3768.09	1159.07	1844.76	2018.8	2367.9	1127.35	2061.24	1388.16	2240.11	1183.45	1561.89	1870.53	825.0	1250.98	1350.18	995.0	1216.75	1159.07	1242.34	2119.22	921.88	1199.98	2351.53	1295.13	2384.37	1175.27	1199.98	1378.57	1259.69	1350.18	1832.01	2032.85	1572.76	1159.07	1073.91	2367.9	1977.24	1008.9	1594.73	1709.26	1639.59	1233.75	1295.13	1259.69	1051.79	1794.29	1561.89	1191.69
PCNP	4066.71	3928.15	5183.54	5791.62	6561.36	5183.54	1059.11	2209.26	3467.27	3443.31	1519.15	2895.31	1909.85	3716.2	1709.26	2240.11	2956.17	1088.92	1794.29	1977.24	1605.83	1909.85	1883.54	1628.26	2555.58	1111.82	1175.27	2875.3	1427.22	3146.52	1551.09	1639.59	1896.65	2119.22	2303.12	2591.27	2875.3	2451.44	1322.37	1540.37	2976.74	3039.3	1605.83	1794.29	2835.7	2004.85	1909.85	1594.73	1508.65	1051.79	2720.15	2104.58	2090.03
PDCL	466.88	435.55	371.22	387.02	486.75	283.05	154.42	242.88	555.41	497.0	199.85	400.71	285.03	387.02	265.87	361.04	414.87	198.47	279.14	241.19	173.85	332.14	295.11	251.48	373.81	96.68	170.25	395.18	163.28	387.02	195.72	198.47	255.0	237.86	260.38	514.56	287.01	287.01	181.28	181.28	426.57	327.56	181.28	236.21	361.04	366.09	293.07	248.0	220.32	255.0	314.17	211.31	271.48
PDS5A	1037.29	1059.11	1350.18	915.51	1909.85	1225.22	264.03	450.94	896.64	884.29	334.46	934.76	457.25	890.44	379.04	438.59	928.3	336.79	500.46	403.5	348.71	463.65	490.14	503.95	540.19	194.36	248.0	764.36	358.54	836.53	239.52	366.09	476.71	341.51	417.77	733.19	633.73	547.75	379.04	371.22	915.51	616.37	303.44	438.59	769.69	529.06	414.87	463.65	329.84	358.54	595.34	470.14	403.5
PHIP	620.67	587.13	872.1	536.45	780.44	389.72	54.33	145.02	476.71	395.18	106.63	397.93	115.16	412.0	106.63	183.82	397.93	81.14	169.07	139.07	99.43	121.79	182.55	177.53	231.32	83.45	75.64	244.57	79.45	361.04	67.12	111.99	125.24	130.6	146.03	303.44	182.55	217.27	99.43	118.43	420.68	320.8	65.26	167.9	334.46	172.65	130.6	115.97	90.77	138.1	217.27	197.09	121.79
PNRC1	4239.45	2855.44	4038.61	4298.64	6381.92	5183.54	890.44	2591.27	3564.78	2777.33	1540.37	4066.71	2047.0	4268.94	2090.03	2271.4	3018.3	791.35	2018.8	2400.97	1806.78	2351.53	2119.22	2451.44	2935.74	1143.1	1519.15	3146.52	1508.65	2935.74	878.17	1487.87	1322.37	1628.26	2468.49	2434.5	2451.44	1844.76	1477.58	2664.15	2664.15	1870.53	1286.18	1159.07	2835.7	2384.37	2384.37	1896.65	2384.37	1286.18	2090.03	1709.26	1733.13
POLR3F	293.07	353.59	305.55	293.07	450.94	237.86	147.06	138.1	209.84	205.5	133.36	215.77	124.37	197.09	135.24	176.29	215.77	157.68	127.0	142.01	117.6	133.36	118.43	130.6	189.02	108.14	139.07	226.54	152.28	208.38	90.14	130.6	145.02	156.59	172.65	201.25	136.19	85.22	123.5	129.69	181.28	189.02	132.44	152.28	169.07	94.01	161.02	123.5	127.0	132.44	133.36	148.09	162.14
PPP2R5E	651.58	575.03	708.18	642.59	1167.14	718.08	115.97	228.13	414.87	447.82	150.17	450.94	182.55	480.04	178.77	215.77	414.87	139.07	232.94	190.34	120.1	209.84	234.57	193.01	316.37	102.25	121.79	376.41	130.6	447.82	119.26	163.28	197.09	182.55	165.57	341.51	239.52	275.28	148.09	164.42	450.94	358.54	120.94	156.59	392.44	246.28	161.02	226.54	158.79	125.24	295.11	208.38	166.73
PPP6C	1832.01	1745.2	1806.78	2271.4	2303.12	2520.38	759.08	1015.93	1369.04	1467.37	836.53	1313.23	896.64	1233.75	941.27	967.76	1225.22	713.11	830.75	854.13	708.18	947.83	967.76	878.17	1104.13	633.73	603.67	1322.37	808.0	1183.45	575.03	785.88	872.1	1073.91	921.88	1417.35	1111.82	860.08	764.36	791.35	1268.46	1104.13	674.59	896.64	1127.35	1037.29	981.29	890.44	848.22	780.44	915.51	759.08	915.51
PRKD3	723.08	536.45	780.44	669.92	2384.37	921.88	57.49	183.82	299.25	366.09	105.89	389.72	139.07	381.68	129.69	177.53	343.89	96.01	164.42	158.79	87.03	120.1	120.94	118.43	224.97	23.93	92.7	318.57	104.42	366.09	50.98	146.03	152.28	121.79	154.42	285.03	145.02	195.72	105.89	129.69	389.72	275.28	61.68	189.02	329.84	151.22	133.36	157.68	103.69	100.83	283.05	251.48	131.51
PTGES3	6121.9	6037.61	8247.98	7966.99	10659.59	7130.55	4481.23	4123.49	7589.61	6164.49	3614.55	5517.27	4671.57	5751.61	4607.24	4481.23	5255.91	3665.02	4543.8	3847.29	3303.0	4972.34	4639.29	4512.4	6037.61	5006.93	4123.49	6652.97	4239.45	5255.91	5147.73	3491.39	4298.64	4268.94	4937.99	5292.48	5366.37	4639.29	3874.05	4066.71	5441.3	5831.91	4010.71	3928.15	5292.48	4903.87	4152.18	4481.23	4481.23	3742.05	4575.41	4419.52	4972.34
RAI14	624.99	647.07	323.03	518.15	660.68	988.12	49.21	358.54	339.14	444.72	107.38	718.08	218.79	563.18	170.25	164.42	309.83	189.02	178.77	176.29	273.37	129.69	198.47	145.02	229.72	113.56	83.45	848.22	220.32	358.54	80.01	236.21	205.5	249.73	264.03	379.04	194.36	318.57	149.12	143.01	460.44	371.22	80.01	191.67	332.14	297.17	100.13	198.47	167.9	131.51	281.09	318.57	187.71
RARS2	884.29	808.0	854.13	1030.12	1427.22	738.29	336.79	674.59	791.35	878.17	555.41	785.88	503.95	819.3	341.51	603.67	808.0	395.18	748.61	587.13	447.82	540.19	728.11	688.78	669.92	368.65	540.19	785.88	490.14	854.13	447.82	525.39	490.14	341.51	718.08	769.69	825.0	669.92	293.07	595.34	813.63	825.0	387.02	665.29	679.29	571.05	872.1	368.65	684.02	420.68	819.3	665.29	587.13
RNGTT	220.32	209.84	241.19	217.27	423.61	228.13	55.49	120.1	211.31	180.02	102.97	212.78	93.35	194.36	85.82	133.36	211.31	48.87	158.79	128.79	62.56	147.06	134.3	111.99	177.53	49.21	82.87	152.28	69.52	209.84	57.08	96.68	98.73	77.79	127.89	171.45	141.02	180.02	75.64	140.04	154.42	180.02	65.72	102.97	180.02	177.53	102.97	88.26	128.79	59.55	149.12	139.07	127.89
RRAGD	463.65	262.2	575.03	669.92	1233.75	866.07	234.57	473.41	438.59	660.68	339.14	743.43	301.33	583.07	258.57	175.07	414.87	93.35	341.51	466.88	237.86	146.03	291.04	312.0	384.34	123.5	256.78	441.64	258.57	490.14	214.27	297.17	177.53	169.07	246.28	708.18	307.69	356.05	258.57	221.86	503.95	559.28	126.12	343.89	599.49	438.59	379.04	202.66	395.18	120.94	473.41	346.29	329.84
SCRN3	507.46	563.18	463.65	460.44	629.35	348.71	113.56	500.46	435.55	656.11	460.44	587.13	412.0	723.08	348.71	435.55	607.87	320.8	373.81	314.17	356.05	343.89	470.14	387.02	476.71	229.72	253.23	703.28	329.84	642.59	327.56	379.04	320.8	429.54	551.56	483.38	493.56	457.25	303.44	366.09	599.49	595.34	287.01	529.06	555.41	389.72	470.14	295.11	379.04	271.48	624.99	361.04	353.59
SET	6516.03	6561.36	7280.4	6561.36	10733.74	8901.53	3491.39	4298.64	6792.79	7032.37	3589.58	5995.9	3820.7	5751.61	3589.58	4358.66	6250.56	3081.75	4038.61	3742.05	3280.18	5913.33	3614.55	3443.31	7280.4	4543.8	3325.99	6037.61	3589.58	6207.38	2895.31	3742.05	4066.71	4152.18	4010.71	7230.1	6250.56	4152.18	3212.66	3018.3	6037.61	5041.77	3235.01	4095.0	5329.3	4450.27	3928.15	3690.52	3303.0	3540.14	4010.71	3419.52	3768.09
SLC25A43	397.93	303.44	409.15	392.44	708.18	460.44	44.57	163.28	173.85	244.57	120.1	221.86	143.01	195.72	239.52	89.51	173.85	30.34	85.22	115.16	127.0	115.97	68.07	106.63	124.37	58.3	92.05	387.02	87.65	178.77	81.14	220.32	96.01	65.72	103.69	295.11	111.21	128.79	123.5	97.36	249.73	183.82	84.63	157.68	226.54	131.51	56.68	113.56	64.8	55.89	97.36	132.44	157.68
SMARCE1	3146.52	3928.15	2537.92	2627.46	3955.48	2319.15	1467.37	2739.08	2855.44	2701.35	1697.45	3639.7	2193.99	2758.13	2104.58	2319.15	3081.75	1757.34	2287.2	2090.03	1639.59	2400.97	1857.6	2061.24	2573.36	1674.06	1781.89	3349.13	1896.65	3212.66	1977.24	1745.2	2209.26	2468.49	2384.37	2895.31	2573.36	2224.63	1721.16	1709.26	3146.52	2178.83	1745.2	2758.13	2758.13	1757.34	2701.35	1832.01	1909.85	2090.03	2701.35	2148.82	1844.76
SMC2	291.04	293.07	309.83	228.13	423.61	256.78	37.05	73.54	204.07	170.25	60.82	149.12	52.45	177.53	53.95	59.13	167.9	55.49	63.45	57.89	32.59	56.68	60.82	54.72	100.13	55.89	39.79	211.31	52.45	159.9	60.39	51.71	96.01	67.12	62.12	177.53	109.66	119.26	65.26	56.68	147.06	118.43	50.63	85.82	126.12	90.77	67.59	94.01	38.4	60.39	128.79	76.17	63.0
SMEK2	1191.69	1183.45	1447.15	1304.15	2400.97	1757.34	389.72	748.61	1216.75	1159.07	536.45	1183.45	693.58	1268.46	616.37	638.15	1127.35	426.57	688.78	651.58	466.88	642.59	713.11	633.73	896.64	381.68	463.65	1111.82	507.46	1175.27	309.83	511.0	575.03	507.46	723.08	1001.93	780.44	775.05	363.56	567.1	1225.22	947.83	444.72	688.78	1081.39	764.36	591.22	629.35	579.04	432.53	941.27	733.19	660.68
SMNDC1	642.59	796.86	785.88	764.36	896.64	848.22	153.34	379.04	532.74	579.04	264.03	480.04	299.25	518.15	273.37	353.59	503.95	234.57	285.03	323.03	218.79	307.69	332.14	258.57	409.15	186.4	204.07	341.51	249.73	543.96	195.72	264.03	320.8	318.57	327.56	429.54	366.09	303.44	228.13	273.37	460.44	409.15	214.27	329.84	447.82	329.84	258.57	281.09	293.07	260.38	406.31	325.29	303.44
SNX10	341.51	366.09	191.67	273.37	121.79	414.87	59.97	90.14	162.14	130.6	31.22	166.73	81.71	161.02	84.04	73.03	173.85	104.42	50.98	32.82	106.63	66.65	41.52	32.13	193.01	13.12	43.32	109.66	85.22	154.42	84.63	53.57	14.45	90.77	90.14	132.44	165.57	170.25	54.72	39.79	171.45	125.24	68.55	63.89	151.22	133.36	28.04	66.18	66.18	102.97	73.03	40.93	73.03
SNX6	1923.14	1551.09	2018.8	2468.49	3467.27	2319.15	450.94	921.88	1295.13	1447.15	551.56	1340.84	738.29	1437.15	624.99	743.43	1295.13	466.88	679.29	665.29	525.39	616.37	753.83	638.15	1096.5	376.41	518.15	1250.98	591.22	1350.18	583.07	616.37	796.86	703.28	753.83	995.0	1191.69	934.76	651.58	536.45	1304.15	1111.82	490.14	825.0	1127.35	842.36	647.07	743.43	599.49	518.15	1159.07	830.75	802.41
SPATA7	297.17	251.48	343.89	307.69	412.0	423.61	220.32	149.12	246.28	211.31	202.66	234.57	145.02	195.72	143.01	159.9	246.28	115.97	120.94	187.71	167.9	175.07	85.82	135.24	182.55	114.36	141.02	182.55	151.22	186.4	141.02	147.06	156.59	157.68	132.44	267.73	178.77	147.06	124.37	121.79	205.5	167.9	120.1	178.77	176.29	177.53	86.43	157.68	130.6	130.6	215.77	175.07	162.14
SSBP2	1651.0	1044.52	1583.71	1487.87	2816.11	2555.58	387.02	525.39	371.22	884.29	325.29	759.08	473.41	954.43	392.44	409.15	450.94	277.2	332.14	607.87	206.94	295.11	220.32	323.03	392.44	183.82	234.57	928.3	366.09	567.1	178.77	392.44	283.05	414.87	361.04	397.93	297.17	493.56	336.79	275.28	536.45	420.68	226.54	348.71	351.14	400.71	444.72	406.31	329.84	316.37	656.11	848.22	486.75
STAG2	1605.83	1583.71	1883.54	1487.87	1794.29	2018.8	409.15	551.56	1340.84	1477.58	454.09	1397.83	540.19	1457.23	476.71	624.99	1286.18	493.56	571.05	507.46	423.61	525.39	559.28	571.05	775.05	305.55	249.73	1277.29	368.65	1143.1	507.46	473.41	555.41	497.0	480.04	1023.0	759.08	733.19	420.68	412.0	1216.75	928.3	368.65	571.05	1066.48	915.51	460.44	587.13	366.09	476.71	890.44	629.35	525.39
SYPL1	3564.78	2915.45	4268.94	4937.99	5517.27	8840.04	1447.15	1832.01	3039.3	2816.11	1561.89	3081.75	2004.85	2956.17	1950.0	1909.85	2664.15	1617.0	1508.65	2701.35	1572.76	1909.85	1883.54	2004.85	2682.69	854.13	1216.75	3081.75	1923.14	2895.31	1697.45	2018.8	2271.4	2004.85	2400.97	2451.44	3124.78	2591.27	1685.71	1662.49	2796.65	3874.05	1685.71	1295.13	2777.33	2591.27	2255.7	2384.37	1437.15	1721.16	2835.7	2609.3	3212.66
TIPIN	236.21	236.21	265.87	297.17	262.2	189.02	122.64	124.37	131.51	124.37	163.28	127.0	208.38	108.9	88.26	93.35	128.79	89.51	183.82	94.01	80.57	187.71	82.87	102.25	154.42	136.19	88.88	205.5	133.36	131.51	74.06	120.94	144.01	120.94	121.79	241.19	127.89	111.21	103.69	79.45	169.07	145.02	95.34	144.01	201.25	115.16	148.09	114.36	100.13	88.26	143.01	90.77	122.64
TMEM181	620.67	718.08	769.69	629.35	4388.98	780.44	366.09	748.61	693.58	1088.92	490.14	733.19	497.0	785.88	466.88	511.0	753.83	638.15	624.99	486.75	447.82	525.39	591.22	642.59	802.41	208.38	368.65	728.11	334.46	450.94	318.57	480.04	264.03	423.61	629.35	796.86	599.49	878.17	371.22	486.75	915.51	842.36	277.2	514.56	854.13	559.28	346.29	376.41	536.45	305.55	559.28	493.56	463.65
TSN	1477.58	1397.83	1508.65	1572.76	2468.49	1540.37	480.04	612.11	830.75	981.29	563.18	967.76	642.59	974.5	486.75	647.07	995.0	420.68	540.19	665.29	358.54	583.07	567.1	579.04	728.11	229.72	426.57	866.07	444.72	860.08	563.18	633.73	633.73	575.03	603.67	848.22	1030.12	669.92	291.04	514.56	915.51	830.75	346.29	616.37	866.07	723.08	591.22	599.49	536.45	444.72	890.44	688.78	769.69
TTC33	339.14	400.71	327.56	376.41	954.43	470.14	81.14	181.28	291.04	242.88	115.97	293.07	165.57	295.11	137.14	163.28	253.23	102.97	150.17	169.07	92.05	143.01	175.07	186.4	237.86	63.0	85.22	277.2	110.43	260.38	110.43	111.21	165.57	189.02	140.04	209.84	185.11	181.28	105.89	112.77	264.03	234.57	78.89	145.02	214.27	175.07	151.22	182.55	108.9	136.19	258.57	161.02	190.34
TXNRD1	967.76	1111.82	872.1	902.89	1447.15	738.29	518.15	796.86	2287.2	1594.73	738.29	1340.84	532.74	1191.69	591.22	961.07	1159.07	376.41	575.03	525.39	1159.07	808.0	563.18	423.61	1369.04	224.97	432.53	1233.75	511.0	1199.98	281.09	563.18	450.94	1268.46	738.29	1250.98	836.53	1259.69	559.28	320.8	1551.09	890.44	480.04	813.63	1030.12	1313.23	220.32	497.0	490.14	283.05	660.68	629.35	454.09
UBA2	2061.24	1923.14	2119.22	1923.14	3928.15	2627.46	684.02	1135.2	1551.09	1769.57	1023.0	1572.76	1104.13	1605.83	988.12	1088.92	1519.15	733.19	1151.06	967.76	878.17	1135.2	1023.0	967.76	1313.23	1081.39	693.58	1331.57	1023.0	1397.83	890.44	890.44	1037.29	1225.22	1104.13	1457.23	1487.87	1216.75	981.29	921.88	1397.83	1216.75	878.17	1167.14	1313.23	1208.34	1191.69	872.1	995.0	830.75	1277.29	1015.93	1051.79
UBE2D1	514.56	447.82	473.41	775.05	738.29	872.1	171.45	246.28	397.93	299.25	249.73	387.02	346.29	429.54	366.09	229.72	392.44	147.06	183.82	287.01	329.84	241.19	269.6	191.67	470.14	136.19	226.54	376.41	420.68	387.02	206.94	269.6	291.04	389.72	295.11	356.05	457.25	275.28	289.02	181.28	389.72	409.15	260.38	208.38	346.29	320.8	435.55	624.99	198.47	312.0	258.57	279.14	323.03
UBE3A	1066.48	1313.23	1331.57	1159.07	2032.85	1183.45	368.65	543.96	1015.93	1135.2	518.15	988.12	476.71	981.29	473.41	547.75	928.3	395.18	547.75	460.44	435.55	536.45	563.18	559.28	796.86	361.04	329.84	872.1	389.72	896.64	438.59	400.71	543.96	438.59	518.15	791.35	698.41	796.86	463.65	473.41	934.76	866.07	403.5	503.95	842.36	633.73	493.56	612.11	361.04	438.59	728.11	599.49	483.38
