	TCGA.AZ.6605.11A.01R.1839.07	GTEX.1399U.1926.SM.5IFH7	GTEX.13PL7.2526.SM.5IFGR	GTEX.W5WG.2426.SM.4LMI6	GTEX.ZPIC.2226.SM.57WDX	GTEX.ZT9W.1826.SM.51MQX	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.OXRL.0726.SM.3NM9A	GTEX.12WSJ.0726.SM.5GCN6	GTEX.1122O.1626.SM.5N9CX	GTEX.13OVG.0926.SM.5J2OJ	GTEX.RM2N.0626.SM.48FD6	GTEX.131XF.0926.SM.5BC69	GTEX.TKQ2.1226.SM.4DXSV	GTEX.WRHK.0426.SM.4MVOG	GTEX.PLZ6.0626.SM.3P61B	GTEX.YF7O.0826.SM.4W21F	GTEX.11EQ9.0826.SM.5986Y	GTEX.ZPCL.1226.SM.4WWFF	GTEX.XBEW.1426.SM.4AT4J	GTEX.13111.0926.SM.5DUVQ	GTEX.PWCY.0826.SM.48TCR	TCGA.BC.A110.11A.11R.A131.07	GTEX.14C38.1526.SM.5RQJ7	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.RD.A8N2.01A.12R.A36D.31	TCGA.BR.A453.01A.11R.A24K.31	TCGA.HU.A4HB.11A.11R.A251.31	TCGA.HU.A4GP.11A.21R.A251.31	TCGA.HU.A4G3.11A.11R.A24K.31	GTEX.S4Z8.1226.SM.4AD6W	GTEX.146FR.2026.SM.5NQAI	GTEX.T5JC.1926.SM.4DM6Q	GTEX.13O3Q.2126.SM.5KM4C	GTEX.Y114.1226.SM.4TT88	GTEX.1211K.1426.SM.5FQTF	GTEX.13O61.1126.SM.5L3FI	GTEX.RU1J.0526.SM.46MUT	GTEX.YEC3.1426.101806.SM.5PNXX	GTEX.11VI4.0326.SM.5EQ6L	GTEX.TKQ2.0926.SM.4DXU5	GTEX.11EQ9.1226.SM.5987E	GTEX.ZV6S.0926.SM.57WGB	GTEX.UPIC.1826.SM.4IHKC	GTEX.PLZ6.0826.SM.3P61K	GTEX.OIZH.1526.SM.3NB1J	GTEX.TKQ1.0526.SM.4DXTG	GTEX.XPVG.1526.SM.4B66C
HOXA5	361.04	363.56	303.44	406.31	551.56	389.72	177.53	406.31	176.29	283.05	115.16	297.17	215.77	389.72	102.25	264.03	99.43	271.48	283.05	170.25	226.54	206.94	26.1	6.57	64.8	500.46	299.25	277.2	909.17	1407.55	967.76	376.41	928.3	651.58	854.13	603.67	791.35	1051.79	547.75	733.19	1044.52	1096.5	205.5	571.05	579.04	981.29	1044.52	525.39	921.88
HOXC5	14.45	2.01	0.0	0.29	0.0	0.0	19.25	82.87	27.84	15.34	16.03	26.28	8.78	76.71	30.78	30.78	16.75	22.92	45.85	37.59	66.18	31.9	0.0	0.0	0.0	0.04	6.73	35.5	194.36	154.42	156.59	16.27	239.52	291.04	236.21	33.54	161.02	40.07	59.13	122.64	353.59	599.49	19.53	253.23	2.48	74.06	320.8	102.97	89.51
IL17RD	511.0	2.43	8.85	12.36	4.98	2.58	98.73	25.72	11.82	15.8	12.0	40.93	22.1	63.0	33.3	15.8	12.36	23.25	40.36	34.75	35.76	29.27	0.95	0.06	0.0	0.1	165.57	351.14	208.38	212.78	178.77	277.2	176.29	221.86	258.57	159.9	176.29	170.25	144.01	40.36	120.1	314.17	70.51	78.89	89.51	90.14	177.53	130.6	80.57
KCNH2	9876.98	30.56	31.45	131.51	30.34	35.25	2193.99	791.35	713.11	457.25	511.0	854.13	447.82	954.43	665.29	547.75	684.02	633.73	603.67	941.27	679.29	460.44	1.35	0.09	0.0	0.55	2148.82	2163.77	2664.15	2627.46	2502.97	1388.16	2240.11	2520.38	2720.15	2400.97	2148.82	1721.16	3212.66	3395.89	2664.15	4512.4	1322.37	4450.27	3794.3	2090.03	2976.74	3257.52	2875.3
KDELC2	791.35	132.44	111.21	181.28	127.0	120.94	397.93	217.27	309.83	275.28	228.13	256.78	379.04	426.57	450.94	267.73	289.02	267.73	371.22	285.03	343.89	285.03	214.27	49.56	0.0	0.46	718.08	579.04	759.08	733.19	674.59	490.14	624.99	674.59	836.53	669.92	493.56	486.75	579.04	507.46	733.19	718.08	281.09	299.25	551.56	579.04	571.05	351.14	525.39
KY	638.15	2.41	0.93	4.28	0.96	1.93	72.52	24.28	8.71	8.38	10.24	5.11	13.03	105.89	8.19	30.56	2.41	6.52	8.38	14.45	42.41	15.34	0.0	0.0	0.0	0.01	76.71	86.43	93.35	120.94	144.01	32.59	191.67	154.42	140.04	85.82	134.3	77.79	97.36	262.2	283.05	312.0	30.34	54.33	102.25	183.82	124.37	108.9	142.01
LHFP	1806.78	127.89	115.97	117.6	116.78	68.55	2384.37	785.88	1081.39	1127.35	860.08	902.89	878.17	1313.23	1001.93	718.08	1073.91	860.08	1037.29	785.88	954.43	1059.11	153.34	108.9	226.54	591.22	1407.55	1991.0	921.88	1088.92	1322.37	1508.65	1651.0	2004.85	2400.97	1583.71	1909.85	1745.2	1183.45	825.0	2061.24	2018.8	884.29	1104.13	1001.93	1111.82	1159.07	753.83	854.13
LIX1L	1151.06	74.06	88.88	94.01	83.45	51.71	1167.14	441.64	460.44	480.04	406.31	521.76	476.71	780.44	497.0	525.39	503.95	486.75	500.46	466.88	551.56	490.14	88.88	209.84	267.73	693.58	1073.91	848.22	1216.75	1295.13	1216.75	842.36	967.76	848.22	1127.35	748.61	759.08	728.11	878.17	753.83	860.08	1088.92	463.65	813.63	1073.91	753.83	860.08	669.92	728.11
LRP3	1088.92	95.34	140.04	143.01	120.94	74.58	1378.57	1119.56	884.29	679.29	1135.2	954.43	759.08	1059.11	974.5	733.19	902.89	921.88	1191.69	1183.45	872.1	775.05	511.0	414.87	0.0	0.83	764.36	1388.16	890.44	1088.92	954.43	1617.0	1199.98	2240.11	1923.14	1277.29	1259.69	1540.37	1225.22	1487.87	1088.92	1551.09	988.12	1268.46	1250.98	1208.34	2271.4	1697.45	1397.83
LRRC3	277.2	14.67	20.86	24.11	28.24	14.03	68.55	39.22	32.59	54.33	67.59	32.82	47.5	100.83	41.52	63.89	32.59	27.05	46.5	43.94	29.27	72.52	98.73	26.1	0.0	0.21	106.63	119.26	371.22	397.93	214.27	32.13	262.2	329.84	460.44	432.53	336.79	303.44	579.04	571.05	497.0	500.46	289.02	343.89	334.46	656.11	420.68	547.75	651.58
