	TCGA.AZ.4323.01A.21R.1839.07	GTEX.Y111.1826.SM.4SOIR	GTEX.11DYG.1326.SM.5N9DO	GTEX.X585.1226.SM.46MW7	GTEX.P78B.1026.SM.3NMC4	GTEX.Y111.1726.SM.4SOIQ	GTEX.RNOR.1326.SM.48FDE	GTEX.YECK.1726.SM.5IFI3	GTEX.T2IS.0926.SM.4DM5B	TCGA.BP.4988.01A.01R.1334.07	GTEX.14A5I.1726.SM.5QGQ5	GTEX.RTLS.1326.SM.46MUN	GTEX.YB5E.0326.SM.5IFHU	GTEX.13FLV.0326.SM.5N9DJ	GTEX.Y5LM.0426.SM.4VBRO	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.11GSP.0626.SM.5986T	GTEX.WZTO.0626.SM.4PQYY	GTEX.Y5V5.0926.SM.4VBPZ	GTEX.11NV4.1326.SM.5HL6V	GTEX.13FTZ.0726.SM.5IFFY	GTEX.X4EO.1126.SM.4QARQ	GTEX.Q2AG.1126.SM.48U1P	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.OOBJ.0826.SM.3NB2K	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.12WSM.0726.SM.5GCOW	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.XBEC.1526.SM.4AT68	GTEX.13QJC.0726.SM.5RQJK	GTEX.X3Y1.2726.SM.4PQZH	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.139TU.0826.SM.5IJFG	GTEX.12WSD.1426.SM.5GCN9	GTEX.T6MN.1226.SM.3NMA5	GTEX.145MO.2326.SM.5NQ9K	GTEX.1399R.1226.SM.5P9GF	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.13SLX.1226.SM.5S2Q6	GTEX.ZVT4.0626.SM.5E45T	GTEX.11ZVC.0726.SM.5FQT9	GTEX.XOTO.0826.SM.4B65O	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.13O3O.1826.SM.5IFGW	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	GTEX.R53T.0326.SM.48FEC	TCGA.78.7161.01A.11R.2039.07	TCGA.55.7573.01A.11R.2039.07	TCGA.MP.A5C7.01A.11R.A262.07	TCGA.MP.A4TH.01A.31R.A262.07	TCGA.38.4625.01A.01R.1206.07	TCGA.MP.A4T6.01A.32R.A262.07	TCGA.44.A4SU.01A.11R.A24X.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.91.8497.01A.11R.2403.07	TCGA.55.8097.01A.11R.2241.07	TCGA.55.8087.01A.11R.2241.07	TCGA.85.A4PA.01A.11R.A24Z.07
METTL3	1407.55	1437.15	1832.01	1250.98	1617.0	1467.37	1467.37	1583.71	1407.55	1832.01	295.11	275.28	211.31	341.51	312.0	351.14	346.29	336.79	620.67	412.0	381.68	414.87	221.86	283.05	387.02	532.74	327.56	287.01	423.61	277.2	400.71	285.03	232.94	318.57	234.57	287.01	327.56	493.56	476.71	223.41	285.03	287.01	348.71	353.59	279.14	486.75	234.57	249.73	463.65	486.75	277.2	299.25	371.22	358.54	532.74	142.01	169.07	366.09	251.48	264.03	1127.35	796.86	974.5	1088.92	0.0	1977.24	1605.83	1.16	1037.29	915.51	866.07	1662.49
MINK1	921.88	1769.57	5555.65	4903.87	5633.22	1819.35	1745.2	1806.78	1662.49	2627.46	348.71	262.2	190.34	301.33	183.82	327.56	242.88	518.15	1030.12	728.11	587.13	368.65	202.66	612.11	403.5	674.59	329.84	389.72	361.04	208.38	620.67	169.07	351.14	183.82	165.57	226.54	346.29	363.56	620.67	128.79	231.32	432.53	406.31	435.55	503.95	318.57	150.17	371.22	547.75	551.56	221.86	275.28	366.09	389.72	470.14	100.83	123.5	325.29	151.22	356.05	928.3	915.51	1268.46	1781.89	603.67	1242.34	1340.84	232.94	1540.37	785.88	1427.22	1662.49
MSANTD1	9.06	28.04	14.45	16.51	10.79	37.59	24.99	16.51	17.38	20.56	4.24	0.82	0.0	2.16	0.55	2.48	3.59	2.81	8.06	3.96	5.06	3.76	2.63	4.58	5.15	7.4	2.66	2.03	7.94	2.66	4.03	4.7	3.11	2.03	0.93	3.79	4.54	4.46	5.73	6.57	0.77	1.16	2.05	3.14	3.29	3.41	1.83	2.71	3.08	3.86	0.13	3.5	6.46	5.73	2.73	0.03	0.45	2.46	2.1	3.35	5.82	13.32	16.03	10.0	0.0	22.26	32.13	0.37	15.8	16.63	16.39	14.03
NBEAL2	1594.73	1417.35	6037.61	5255.91	5594.3	1583.71	1350.18	1304.15	1104.13	2004.85	148.09	63.89	69.03	199.85	63.0	154.42	120.1	96.68	432.53	325.29	166.73	185.11	109.66	267.73	497.0	205.5	104.42	106.63	251.48	176.29	202.66	53.19	131.51	366.09	57.08	170.25	148.09	251.48	559.28	78.89	119.26	202.66	139.07	318.57	351.14	358.54	79.45	97.36	348.71	251.48	153.34	423.61	134.3	194.36	182.55	55.49	159.9	262.2	35.5	108.14	3168.41	1268.46	2224.63	4671.57	0.0	1322.37	1896.65	1.3	2240.11	2271.4	2090.03	3395.89
NEIL1	1135.2	1769.57	1286.18	2209.26	1088.92	1950.0	1844.76	1757.34	1540.37	1051.79	486.75	454.09	120.94	684.02	143.01	693.58	638.15	769.69	1216.75	941.27	540.19	866.07	543.96	432.53	780.44	1427.22	796.86	447.82	1066.48	432.53	1359.57	432.53	379.04	599.49	387.02	423.61	848.22	791.35	1119.56	514.56	258.57	511.0	775.05	521.76	753.83	802.41	265.87	361.04	902.89	1359.57	551.56	575.03	583.07	518.15	1023.0	312.0	187.71	802.41	896.64	312.0	915.51	624.99	1447.15	1233.75	0.0	1605.83	902.89	1.1	1277.29	902.89	1151.06	4704.07
NEURL4	583.07	1183.45	728.11	769.69	819.3	1242.34	1104.13	1023.0	890.44	934.76	109.66	81.14	52.45	92.7	84.63	159.9	172.65	144.01	303.44	366.09	129.69	191.67	105.15	132.44	178.77	295.11	125.24	152.28	119.26	104.42	220.32	99.43	83.45	159.9	133.36	118.43	137.14	214.27	287.01	77.25	137.14	164.42	172.65	135.24	126.12	144.01	62.56	113.56	190.34	258.57	73.03	86.43	144.01	136.19	244.57	32.82	57.08	145.02	81.71	130.6	514.56	366.09	400.71	651.58	0.0	575.03	819.3	0.87	595.34	379.04	540.19	848.22
NFRKB	341.51	267.73	320.8	457.25	551.56	269.6	417.77	361.04	336.79	395.18	102.97	121.79	66.18	115.16	71.5	120.1	120.94	193.01	262.2	226.54	141.02	151.22	92.7	58.71	113.56	299.25	135.24	117.6	94.01	111.21	211.31	104.42	151.22	173.85	103.69	82.29	98.04	202.66	169.07	100.83	140.04	131.51	181.28	158.79	139.07	173.85	45.85	139.07	221.86	163.28	130.6	121.79	95.34	140.04	147.06	51.71	47.17	177.53	125.24	98.73	277.2	358.54	429.54	381.68	0.0	403.5	395.18	0.82	343.89	381.68	392.44	361.04
NFYC	1350.18	1757.34	1119.56	967.76	1477.58	1832.01	1572.76	1551.09	1487.87	1359.57	532.74	723.08	563.18	884.29	708.18	902.89	819.3	884.29	1286.18	1001.93	941.27	1044.52	872.1	476.71	785.88	1277.29	909.17	738.29	934.76	819.3	1313.23	902.89	848.22	698.41	947.83	723.08	1081.39	1277.29	769.69	518.15	575.03	915.51	836.53	624.99	1044.52	1030.12	497.0	785.88	1151.06	1167.14	890.44	571.05	819.3	836.53	1023.0	403.5	336.79	1088.92	802.41	571.05	1950.0	1388.16	1369.04	1111.82	0.0	2061.24	1233.75	0.4	1437.15	1073.91	1081.39	1242.34
NUP188	813.63	791.35	866.07	902.89	941.27	915.51	759.08	769.69	703.28	703.28	97.36	95.34	138.1	120.1	110.43	94.01	73.03	153.34	351.14	253.23	115.16	120.1	126.12	142.01	158.79	165.57	92.7	153.34	130.6	117.6	125.24	104.42	91.41	155.5	85.22	165.57	88.26	208.38	191.67	98.73	142.01	158.79	169.07	144.01	194.36	255.0	108.14	133.36	163.28	116.78	91.41	187.71	101.54	202.66	312.0	44.57	186.4	127.0	100.83	154.42	748.61	457.25	954.43	587.13	0.0	647.07	463.65	0.77	599.49	450.94	583.07	928.3
PAXBP1	669.92	693.58	872.1	543.96	748.61	703.28	785.88	764.36	651.58	579.04	201.25	156.59	60.82	143.01	59.13	173.85	120.1	234.57	368.65	246.28	198.47	198.47	178.77	169.07	223.41	285.03	142.01	154.42	303.44	177.53	248.0	101.54	128.79	161.02	146.03	84.63	130.6	244.57	297.17	127.89	115.16	120.94	162.14	146.03	214.27	242.88	129.69	63.89	281.09	293.07	76.71	221.86	197.09	234.57	277.2	26.86	156.59	190.34	163.28	118.43	432.53	373.81	476.71	483.38	0.0	624.99	480.04	0.95	371.22	575.03	490.14	493.56
PISD	713.11	529.06	1030.12	780.44	1037.29	587.13	660.68	688.78	595.34	1008.9	323.03	281.09	205.5	285.03	208.38	363.56	239.52	341.51	379.04	283.05	579.04	384.34	332.14	361.04	470.14	480.04	223.41	316.37	312.0	320.8	379.04	228.13	265.87	447.82	232.94	368.65	454.09	454.09	591.22	348.71	264.03	299.25	329.84	444.72	339.14	341.51	239.52	361.04	470.14	403.5	291.04	267.73	334.46	389.72	246.28	151.22	1225.22	420.68	232.94	343.89	540.19	457.25	595.34	743.43	0.0	713.11	769.69	0.69	693.58	629.35	599.49	941.27
PLA2G4B	299.25	567.1	1295.13	2627.46	941.27	674.59	473.41	441.64	514.56	356.05	62.12	76.71	5.82	79.45	26.67	76.71	42.11	110.43	267.73	107.38	105.89	119.26	80.57	74.06	127.0	183.82	63.89	51.35	166.73	87.65	131.51	78.34	68.55	87.65	56.28	86.43	182.55	148.09	205.5	91.41	73.54	70.51	84.04	113.56	96.68	120.1	67.59	36.27	107.38	181.28	70.01	119.26	170.25	127.89	97.36	36.27	83.45	129.69	90.14	43.63	248.0	258.57	273.37	363.56	0.0	616.37	381.68	1.1	426.57	400.71	262.2	514.56
PLA2G6	813.63	1551.09	759.08	1769.57	1628.26	1857.6	1498.22	1388.16	1242.34	1259.69	214.27	224.97	19.11	237.86	44.25	241.19	287.01	363.56	412.0	470.14	309.83	273.37	187.71	98.73	490.14	753.83	217.27	316.37	497.0	85.82	287.01	178.77	113.56	215.77	172.65	256.78	301.33	325.29	500.46	182.55	151.22	170.25	148.09	409.15	295.11	262.2	100.83	267.73	275.28	718.08	180.02	260.38	351.14	185.11	253.23	81.71	53.19	291.04	133.36	273.37	753.83	674.59	2047.0	884.29	0.0	1498.22	1286.18	0.91	854.13	915.51	941.27	1175.27
PLD2	521.76	902.89	1572.76	2335.28	2004.85	902.89	866.07	961.07	780.44	902.89	248.0	251.48	89.51	202.66	86.43	123.5	89.51	191.67	334.46	224.97	158.79	150.17	121.79	199.85	212.78	309.83	154.42	183.82	244.57	140.04	187.71	68.07	218.79	129.69	66.18	195.72	154.42	92.05	392.44	54.72	171.45	74.06	112.77	353.59	316.37	194.36	149.12	140.04	248.0	164.42	100.83	178.77	339.14	173.85	234.57	118.43	171.45	255.0	72.52	106.63	507.46	525.39	521.76	902.89	0.0	669.92	607.87	0.61	728.11	473.41	1066.48	629.35
POLG	1295.13	1313.23	1733.13	1467.37	1191.69	1378.57	961.07	1208.34	1167.14	1561.89	961.07	460.44	346.29	525.39	318.57	928.3	532.74	429.54	432.53	607.87	457.25	679.29	457.25	860.08	642.59	698.41	361.04	607.87	521.76	221.86	514.56	543.96	323.03	698.41	536.45	518.15	571.05	423.61	780.44	878.17	450.94	500.46	351.14	395.18	450.94	629.35	743.43	336.79	595.34	647.07	403.5	928.3	579.04	503.95	603.67	361.04	743.43	575.03	441.64	543.96	1023.0	688.78	934.76	1242.34	0.0	1250.98	1104.13	0.87	1015.93	1088.92	947.83	1844.76
PPP1R9B	1059.11	759.08	915.51	718.08	934.76	769.69	629.35	743.43	503.95	1340.84	169.07	191.67	343.89	314.17	105.89	314.17	224.97	135.24	295.11	305.55	173.85	253.23	206.94	113.56	559.28	587.13	287.01	264.03	176.29	180.02	102.25	209.84	358.54	190.34	85.82	226.54	218.79	191.67	348.71	118.43	204.07	236.21	80.01	444.72	473.41	211.31	95.34	373.81	403.5	297.17	264.03	190.34	133.36	152.28	351.14	56.68	88.88	232.94	162.14	246.28	1008.9	830.75	813.63	1096.5	0.0	1135.2	921.88	0.62	1119.56	1001.93	785.88	2193.99
RBM19	669.92	896.64	848.22	638.15	629.35	915.51	819.3	854.13	679.29	1059.11	199.85	172.65	100.13	183.82	141.02	182.55	190.34	256.78	253.23	209.84	228.13	194.36	226.54	166.73	277.2	303.44	120.94	206.94	301.33	183.82	217.27	180.02	133.36	211.31	165.57	165.57	271.48	260.38	454.09	189.02	120.94	153.34	141.02	253.23	159.9	256.78	193.01	165.57	281.09	218.79	177.53	127.0	226.54	218.79	191.67	99.43	156.59	180.02	181.28	206.94	435.55	379.04	447.82	529.06	0.0	332.14	371.22	1.07	529.06	351.14	343.89	813.63
RFPL3S	40.36	30.78	70.51	132.44	35.5	37.32	46.5	30.34	66.18	73.03	10.55	5.19	2.39	5.23	0.87	12.64	11.47	4.62	29.7	12.55	8.25	17.9	4.17	6.01	9.85	9.56	8.58	3.11	14.35	6.78	2.36	3.63	0.16	12.36	8.32	12.0	2.36	17.64	23.93	18.03	2.12	10.08	0.8	9.63	15.11	6.21	5.32	1.6	8.45	12.27	4.78	25.91	9.13	14.03	4.94	0.4	17.38	5.68	5.87	4.98	22.59	13.32	18.97	34.26	0.0	51.35	20.56	0.78	16.88	36.53	14.78	84.63
RP11-574K11.31	80.57	90.77	52.08	49.56	68.07	64.34	126.12	111.99	96.01	63.0	15.22	4.06	5.59	9.13	5.11	4.86	10.39	6.31	16.63	8.38	12.64	18.29	6.16	11.13	19.97	26.1	7.46	8.06	16.15	10.24	14.56	2.78	14.24	7.06	10.55	11.47	24.28	24.28	24.99	9.85	10.55	9.06	17.0	14.35	9.27	9.56	10.16	6.11	15.34	18.84	13.42	13.83	23.08	10.88	8.13	2.61	11.82	18.43	6.16	6.16	25.17	31.9	48.18	35.5	0.0	30.12	20.26	0.58	39.79	36.01	38.95	67.59
RXRB	1216.75	1529.73	1225.22	941.27	1313.23	1662.49	1583.71	1977.24	1508.65	1605.83	376.41	454.09	157.68	454.09	297.17	532.74	503.95	624.99	595.34	830.75	567.1	540.19	454.09	417.77	651.58	854.13	423.61	397.93	591.22	329.84	947.83	406.31	379.04	514.56	470.14	503.95	723.08	708.18	884.29	351.14	470.14	454.09	514.56	514.56	525.39	532.74	346.29	409.15	674.59	1037.29	400.71	432.53	660.68	470.14	698.41	248.0	231.32	551.56	371.22	281.09	934.76	915.51	1216.75	1183.45	0.0	1159.07	1369.04	0.71	1096.5	1322.37	995.0	1313.23
S100PBP	583.07	693.58	389.72	473.41	540.19	624.99	583.07	579.04	543.96	819.3	82.87	109.66	34.75	88.88	49.56	150.17	84.63	159.9	220.32	206.94	123.5	119.26	102.97	83.45	198.47	236.21	138.1	103.69	193.01	91.41	166.73	100.13	59.13	125.24	92.7	115.16	143.01	157.68	199.85	95.34	63.0	77.79	120.1	130.6	166.73	145.02	79.45	62.56	218.79	146.03	166.73	107.38	158.79	111.21	167.9	65.26	82.87	162.14	120.1	67.59	575.03	490.14	339.14	497.0	0.0	728.11	616.37	0.51	334.46	476.71	432.53	620.67
SAPCD1	178.77	218.79	221.86	112.77	195.72	400.71	251.48	248.0	202.66	638.15	32.36	18.03	8.0	18.84	24.81	79.45	27.44	42.71	50.27	39.79	12.93	37.85	27.44	8.58	63.45	75.64	31.0	19.39	118.43	9.63	64.34	17.64	7.17	27.64	17.0	26.1	88.26	52.45	38.4	2.01	23.42	24.11	35.25	39.22	34.51	26.1	33.78	7.22	51.35	106.63	15.22	18.97	41.22	18.56	62.56	10.47	15.34	59.55	28.86	4.78	208.38	50.63	244.57	140.04	0.0	239.52	329.84	0.78	146.03	123.5	51.35	395.18
SCMH1	638.15	1277.29	587.13	518.15	579.04	1313.23	1159.07	1259.69	1397.83	660.68	178.77	366.09	106.63	152.28	152.28	206.94	237.86	183.82	351.14	176.29	180.02	187.71	176.29	171.45	228.13	368.65	124.37	154.42	246.28	198.47	285.03	90.77	70.01	253.23	152.28	151.22	176.29	209.84	392.44	118.43	228.13	140.04	343.89	185.11	181.28	185.11	226.54	81.14	366.09	339.14	115.97	273.37	368.65	351.14	180.02	115.16	423.61	237.86	130.6	99.43	1135.2	830.75	947.83	651.58	0.0	1088.92	633.73	0.83	684.02	723.08	830.75	567.1
SETDB1	1286.18	842.36	921.88	988.12	967.76	1008.9	854.13	941.27	759.08	1191.69	293.07	205.5	93.35	262.2	133.36	312.0	312.0	414.87	587.13	466.88	339.14	454.09	269.6	312.0	417.77	660.68	285.03	244.57	432.53	182.55	665.29	183.82	269.6	334.46	223.41	208.38	397.93	493.56	463.65	170.25	212.78	356.05	417.77	309.83	363.56	444.72	166.73	277.2	460.44	500.46	131.51	199.85	361.04	283.05	500.46	72.01	205.5	397.93	283.05	180.02	1417.35	947.83	1295.13	967.76	0.0	1350.18	813.63	0.91	813.63	733.19	1030.12	896.64
SLC22A1	21.16	37.32	17.9	69.03	4.31	48.18	47.5	2.94	11.82	35.0	169390.27	161367.56	6121.9	120609.84	7857.29	318292.9	343510.77	123144.13	57448.23	110983.6	82951.62	258533.99	175363.84	114103.8	187950.38	262143.0	69753.56	87681.42	110216.97	77934.88	87681.42	93325.55	72715.74	223512.12	459592.86	77396.54	186652.11	103551.29	58250.19	405683.88	82951.62	118949.35	198667.0	176583.6	97965.44	97288.74	88905.42	80125.95	85876.94	144427.91	110983.6	100023.92	139508.13	99333.0	193234.41	263966.36	118949.35	101420.22	145432.49	122293.5	14.89	18.16	2.84	21.47	0.0	2.32	9.93	0.43	10.31	16.03	3.69	12.45
SPG7	1769.57	2591.27	2682.69	2133.97	2224.63	3146.52	2976.74	3395.89	2417.67	3901.01	1059.11	1037.29	497.0	1037.29	536.45	1628.26	1733.13	1583.71	1733.13	1757.34	1104.13	1844.76	1529.73	1457.23	1467.37	1870.53	1295.13	995.0	1605.83	1250.98	2319.15	1111.82	708.18	1233.75	1508.65	1259.69	1697.45	1721.16	2133.97	995.0	713.11	1183.45	1487.87	1216.75	1159.07	1936.53	1037.29	808.0	1857.6	2075.59	1191.69	1001.93	1583.71	1487.87	1437.15	785.88	1151.06	1388.16	1551.09	764.36	1639.59	1628.26	1991.0	2287.2	0.0	3955.48	2835.7	0.95	1794.29	2224.63	1594.73	2701.35
STRADA	896.64	1378.57	896.64	819.3	796.86	1331.57	1066.48	1295.13	890.44	1096.5	395.18	295.11	121.79	271.48	182.55	316.37	366.09	373.81	420.68	521.76	368.65	555.41	271.48	217.27	412.0	473.41	256.78	275.28	366.09	264.03	368.65	348.71	231.32	417.77	297.17	285.03	409.15	444.72	511.0	223.41	260.38	205.5	341.51	318.57	463.65	441.64	260.38	269.6	361.04	547.75	334.46	217.27	480.04	299.25	387.02	148.09	246.28	373.81	297.17	165.57	567.1	723.08	718.08	780.44	0.0	1313.23	890.44	0.84	718.08	759.08	612.11	1268.46
SUPT7L	974.5	842.36	890.44	1066.48	947.83	954.43	995.0	915.51	819.3	921.88	363.56	305.55	217.27	343.89	242.88	447.82	334.46	429.54	698.41	457.25	371.22	444.72	356.05	353.59	414.87	500.46	273.37	387.02	480.04	329.84	490.14	289.02	255.0	397.93	351.14	341.51	444.72	525.39	624.99	387.02	303.44	301.33	316.37	414.87	403.5	470.14	320.8	307.69	432.53	463.65	361.04	400.71	450.94	397.93	511.0	164.42	208.38	466.88	363.56	293.07	921.88	764.36	684.02	612.11	0.0	679.29	884.29	0.71	656.11	480.04	603.67	775.05
TAZ	1151.06	1508.65	1331.57	2047.0	1447.15	1572.76	1617.0	1457.23	1159.07	1733.13	429.54	334.46	163.28	283.05	194.36	490.14	348.71	316.37	540.19	674.59	368.65	460.44	293.07	327.56	447.82	612.11	279.14	295.11	497.0	281.09	450.94	414.87	162.14	299.25	334.46	368.65	376.41	497.0	669.92	403.5	236.21	312.0	384.34	351.14	363.56	490.14	260.38	190.34	463.65	518.15	358.54	325.29	486.75	351.14	460.44	166.73	231.32	441.64	334.46	251.48	1322.37	819.3	921.88	974.5	0.0	1794.29	1963.57	0.97	974.5	884.29	620.67	1857.6
TBKBP1	466.88	409.15	147.06	234.57	248.0	457.25	432.53	379.04	358.54	226.54	8.19	26.67	38.67	43.32	11.38	57.49	40.07	34.02	92.7	86.43	25.17	26.28	11.91	28.45	96.68	43.94	45.53	40.07	54.33	60.39	57.49	18.84	43.02	35.0	25.91	42.71	43.02	57.89	68.55	13.22	31.45	23.25	55.89	51.71	64.34	45.85	22.59	34.51	38.67	40.93	61.25	40.07	10.88	32.36	85.22	12.55	6.84	34.51	31.22	30.78	341.51	137.14	183.82	209.84	0.0	141.02	130.6	0.71	299.25	204.07	172.65	126.12
TJAP1	890.44	1233.75	723.08	813.63	738.29	1159.07	1295.13	1199.98	934.76	909.17	409.15	309.83	134.3	258.57	163.28	295.11	291.04	384.34	361.04	423.61	346.29	289.02	217.27	277.2	409.15	679.29	212.78	267.73	373.81	191.67	470.14	202.66	226.54	256.78	253.23	334.46	307.69	348.71	493.56	265.87	172.65	258.57	249.73	309.83	312.0	256.78	137.14	237.86	444.72	507.46	218.79	329.84	361.04	299.25	392.44	119.26	165.57	339.14	232.94	183.82	764.36	665.29	860.08	651.58	0.0	947.83	967.76	0.8	728.11	688.78	633.73	884.29
TMEM234	454.09	466.88	551.56	669.92	441.64	460.44	660.68	595.34	525.39	791.35	120.1	89.51	82.87	121.79	67.12	224.97	90.14	212.78	237.86	161.02	190.34	208.38	106.63	154.42	198.47	193.01	120.94	186.4	229.72	149.12	279.14	137.14	103.69	136.19	92.7	181.28	237.86	241.19	265.87	116.78	87.65	118.43	171.45	173.85	205.5	180.02	129.69	135.24	224.97	226.54	148.09	171.45	171.45	102.97	194.36	71.5	91.41	187.71	132.44	102.97	713.11	450.94	409.15	291.04	0.0	928.3	693.58	0.4	341.51	536.45	426.57	409.15
TNFRSF25	1540.37	579.04	974.5	1745.2	1397.83	708.18	571.05	466.88	503.95	909.17	50.98	11.73	12.09	58.71	21.16	157.68	59.55	33.54	99.43	90.14	52.45	122.64	97.36	43.94	195.72	78.89	49.56	50.63	92.7	88.26	79.45	28.04	26.67	95.34	48.18	102.97	40.93	110.43	170.25	39.22	83.45	28.65	86.43	97.36	73.03	114.36	36.79	75.64	123.5	80.57	96.68	52.82	48.87	31.22	64.34	13.52	14.67	73.54	84.63	25.91	289.02	351.14	476.71	988.12	90.77	674.59	808.0	161.02	1001.93	764.36	363.56	2224.63
TNK2	2224.63	2468.49	1417.35	2090.03	1540.37	2875.3	2178.83	2090.03	2148.82	1991.0	483.38	316.37	166.73	392.44	141.02	406.31	1508.65	454.09	480.04	1529.73	480.04	571.05	314.17	248.0	665.29	483.38	255.0	620.67	612.11	332.14	693.58	387.02	215.77	414.87	941.27	463.65	521.76	212.78	796.86	540.19	457.25	366.09	819.3	909.17	423.61	346.29	395.18	281.09	660.68	1151.06	201.25	312.0	429.54	616.37	503.95	356.05	265.87	301.33	571.05	125.24	647.07	995.0	1104.13	1457.23	0.0	1277.29	1529.73	1.06	1268.46	1008.9	819.3	3018.3
TOP3B	444.72	748.61	693.58	974.5	860.08	698.41	583.07	575.03	536.45	1111.82	172.65	84.04	87.03	114.36	66.65	180.02	358.54	186.4	226.54	521.76	215.77	226.54	165.57	130.6	162.14	237.86	163.28	104.42	132.44	131.51	195.72	132.44	128.79	108.9	201.25	134.3	159.9	255.0	447.82	138.1	106.63	229.72	178.77	239.52	226.54	212.78	80.57	105.15	239.52	273.37	167.9	137.14	120.1	143.01	242.88	55.89	70.01	221.86	133.36	195.72	466.88	429.54	842.36	511.0	0.0	616.37	551.56	0.77	400.71	454.09	379.04	884.29
TRIM65	460.44	518.15	473.41	406.31	435.55	444.72	470.14	420.68	432.53	275.28	94.01	59.55	49.21	105.15	90.14	120.1	176.29	76.71	52.82	164.42	84.63	87.03	101.54	52.82	144.01	125.24	70.51	74.58	57.08	78.89	75.11	65.26	89.51	146.03	126.12	75.11	118.43	120.94	183.82	94.67	67.12	65.72	120.94	89.51	30.34	120.94	57.49	86.43	86.43	201.25	48.52	35.25	90.14	48.18	82.29	45.85	46.18	103.69	180.02	64.8	258.57	264.03	291.04	476.71	0.0	412.0	400.71	0.56	457.25	353.59	295.11	334.46
TRMT10B	279.14	316.37	291.04	269.6	361.04	423.61	429.54	325.29	341.51	384.34	78.34	84.63	27.25	62.12	36.79	128.79	71.5	106.63	82.87	127.89	77.25	81.71	77.25	50.98	103.69	130.6	67.59	66.65	88.88	63.89	120.94	73.54	64.34	92.05	60.39	75.11	105.15	120.1	111.21	70.01	36.01	67.59	85.22	94.67	95.34	110.43	52.45	46.18	136.19	151.22	69.52	63.89	99.43	47.5	154.42	40.36	23.59	92.7	90.14	56.28	178.77	169.07	185.11	214.27	0.0	137.14	220.32	0.48	175.07	166.73	231.32	241.19
TRMT2A	1551.09	1769.57	1427.22	1639.59	1617.0	2148.82	1498.22	1806.78	1583.71	1832.01	612.11	780.44	356.05	583.07	521.76	947.83	1844.76	866.07	1350.18	1757.34	825.0	1111.82	684.02	1066.48	791.35	1529.73	775.05	547.75	1088.92	665.29	1119.56	718.08	616.37	848.22	1378.57	890.44	1066.48	1397.83	1487.87	647.07	651.58	830.75	842.36	928.3	890.44	902.89	591.22	493.56	884.29	1427.22	599.49	733.19	819.3	808.0	860.08	583.07	708.18	1008.9	743.43	470.14	1191.69	896.64	1769.57	1322.37	0.0	1322.37	2271.4	0.87	1304.15	1417.35	1250.98	2400.97
TRMU	1066.48	1008.9	1437.15	878.17	1167.14	1008.9	961.07	1015.93	684.02	1350.18	291.04	201.25	208.38	249.73	172.65	212.78	277.2	221.86	432.53	563.18	334.46	376.41	214.27	547.75	470.14	463.65	239.52	220.32	301.33	249.73	403.5	186.4	177.53	423.61	242.88	293.07	307.69	356.05	583.07	291.04	137.14	262.2	371.22	356.05	251.48	493.56	191.67	170.25	343.89	540.19	171.45	264.03	249.73	423.61	291.04	73.03	249.73	343.89	275.28	212.78	642.59	500.46	764.36	525.39	0.0	1313.23	759.08	1.16	775.05	698.41	563.18	1359.57
TTLL3	1250.98	3257.52	1447.15	2061.24	1322.37	3280.18	2796.65	3847.29	2287.2	2777.33	101.54	85.82	43.63	154.42	26.86	143.01	98.73	156.59	348.71	180.02	141.02	190.34	74.06	113.56	255.0	358.54	80.01	104.42	221.86	135.24	153.34	85.22	59.55	127.89	78.34	147.06	180.02	173.85	309.83	57.08	84.04	81.14	155.5	202.66	341.51	197.09	95.34	78.34	260.38	256.78	108.14	177.53	169.07	137.14	198.47	39.5	61.68	166.73	94.67	55.49	525.39	612.11	796.86	825.0	0.0	1295.13	1313.23	1.08	780.44	791.35	708.18	1870.53
