	TCGA.AC.A3YI.01A.21R.A239.07	TCGA.BH.A28O.01A.11R.A22K.07	TCGA.AC.A3W7.01A.11R.A22K.07	TCGA.E2.A14U.01A.11R.A22K.07	TCGA.A7.A426.01A.22R.A24H.07	TCGA.S3.A6ZG.01A.22R.A32P.07	TCGA.A7.A13H.01A.11R.A22K.07	TCGA.A7.A425.01A.11R.A24H.07	TCGA.LD.A7W6.01A.81R.A352.07	TCGA.B6.A0X5.01A.21R.A109.07	TCGA.BH.A1EO.11A.31R.A137.07	TCGA.BH.A204.11A.53R.A157.07	TCGA.A7.A0DC.11A.41R.A089.07	TCGA.BH.A0H9.11A.22R.A466.07	TCGA.E2.A1LS.11A.32R.A157.07	TCGA.E9.A1ND.11A.43R.A144.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.E9.A1NG.11A.52R.A14M.07	TCGA.E2.A1IG.11A.22R.A144.07	TCGA.A7.A0DB.11A.33R.A089.07	TCGA.A7.A0D9.11A.53R.A089.07	TCGA.BH.A0DD.11A.23R.A12P.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.BH.A18P.11A.43R.A12D.07	TCGA.E9.A1NF.11A.73R.A14D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.A7.A0DC.11A.41R.A089.07.1	TCGA.E2.A15I.11A.32R.A137.07	TCGA.E9.A1RD.11A.33R.A157.07	TCGA.E9.A1R7.11A.42R.A14M.07	TCGA.A7.A13G.11A.51R.A13Q.07	TCGA.BH.A0B8.11A.41R.A089.07	TCGA.E2.A1BC.11A.32R.A12P.07	GTEX.ZPIC.1126.SM.5BC7F	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.11I78.2226.SM.5PNYA	GTEX.11P81.1926.SM.5BC53	GTEX.11ZTT.2326.SM.5EQLG	GTEX.WRHU.0326.SM.3MJFY	GTEX.S32W.2026.SM.4AD6E	GTEX.QVJO.1826.SM.447C9	GTEX.132AR.0826.SM.5EGK6	GTEX.ZV6S.1826.SM.5NQ8D	GTEX.SE5C.2126.SM.4BRUJ	GTEX.YB5K.1626.SM.5IFIN	GTEX.13NZ8.0126.SM.5IJCT	GTEX.13D11.1026.SM.5IJFB	GTEX.13CF3.2126.SM.5IFJP	GTEX.ZQG8.0726.SM.5P9H9	GTEX.145ME.1526.SM.5Q5F2	GTEX.XUW1.2326.SM.4BOO5	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.UJHI.1426.SM.3DB9C	GTEX.1117F.2826.SM.5GZXL	GTEX.13113.1726.SM.5GCOO	GTEX.12WSB.0626.SM.59HJO	GTEX.133LE.1726.SM.5K7VQ	GTEX.13OVG.1426.SM.5K7VP	GTEX.13W3W.2126.SM.5K7UX	GTEX.1399S.0526.SM.5IJG8
NOC2L	2193.99	1447.15	1806.78	1709.26	1697.45	1183.45	1594.73	1674.06	1447.15	1304.15	674.59	555.41	1044.52	967.76	688.78	1135.2	329.84	348.71	738.29	842.36	1001.93	638.15	674.59	748.61	540.19	713.11	698.41	612.11	1044.52	500.46	708.18	629.35	444.72	785.88	954.43	638.15	698.41	332.14	733.19	802.41	441.64	642.59	1143.1	555.41	743.43	733.19	1081.39	571.05	769.69	1233.75	1044.52	503.95	490.14	748.61	909.17	934.76	1051.79	759.08	624.99	1295.13	878.17	1457.23	1030.12
ODF2	791.35	607.87	1350.18	764.36	1015.93	1051.79	941.27	1151.06	848.22	669.92	329.84	358.54	543.96	312.0	287.01	381.68	275.28	283.05	265.87	397.93	463.65	412.0	283.05	348.71	318.57	320.8	366.09	329.84	543.96	267.73	387.02	381.68	299.25	363.56	256.78	246.28	438.59	277.2	466.88	595.34	221.86	620.67	633.73	583.07	329.84	483.38	503.95	285.03	836.53	511.0	363.56	212.78	384.34	595.34	420.68	575.03	698.41	543.96	878.17	507.46	486.75	348.71	406.31
PAK4	836.53	1477.58	2303.12	2104.58	1781.89	1111.82	2018.8	1870.53	1417.35	1073.91	171.45	214.27	514.56	356.05	142.01	607.87	85.22	86.43	143.01	327.56	579.04	202.66	162.14	234.57	202.66	490.14	231.32	155.5	514.56	212.78	228.13	215.77	153.34	186.4	220.32	275.28	450.94	212.78	480.04	476.71	129.69	587.13	285.03	503.95	267.73	260.38	444.72	346.29	540.19	819.3	194.36	151.22	153.34	463.65	329.84	642.59	343.89	400.71	285.03	753.83	599.49	624.99	698.41
PHKG2	785.88	688.78	995.0	1001.93	2133.97	1183.45	1427.22	1794.29	836.53	723.08	373.81	341.51	514.56	420.68	336.79	660.68	265.87	285.03	309.83	327.56	450.94	366.09	295.11	341.51	406.31	435.55	325.29	325.29	514.56	368.65	409.15	287.01	348.71	409.15	514.56	392.44	269.6	249.73	571.05	409.15	559.28	381.68	379.04	336.79	358.54	307.69	547.75	454.09	547.75	808.0	314.17	307.69	403.5	591.22	384.34	532.74	325.29	363.56	255.0	483.38	414.87	409.15	551.56
PHLDB3	248.0	460.44	698.41	624.99	723.08	555.41	426.57	470.14	575.03	220.32	37.59	54.72	134.3	56.68	25.17	162.14	10.24	10.88	20.41	99.43	163.28	45.21	52.82	50.27	54.72	123.5	59.55	26.28	134.3	55.89	63.0	54.33	12.64	40.36	32.13	69.03	81.71	38.12	92.7	183.82	25.35	169.07	60.82	156.59	31.0	63.0	99.43	57.49	167.9	214.27	42.71	15.11	22.26	212.78	78.34	198.47	100.13	71.0	77.25	165.57	93.35	85.82	167.9
PIP4K2C	679.29	660.68	860.08	896.64	723.08	967.76	928.3	884.29	921.88	684.02	273.37	343.89	713.11	244.57	305.55	406.31	303.44	237.86	232.94	397.93	551.56	271.48	275.28	334.46	384.34	547.75	287.01	301.33	713.11	397.93	400.71	389.72	289.02	273.37	239.52	525.39	532.74	275.28	400.71	607.87	256.78	595.34	287.01	595.34	305.55	400.71	660.68	336.79	579.04	579.04	229.72	182.55	221.86	607.87	314.17	775.05	612.11	480.04	417.77	638.15	791.35	571.05	1008.9
PLEKHA6	309.83	483.38	941.27	703.28	633.73	842.36	830.75	703.28	674.59	307.69	43.02	106.63	275.28	84.63	110.43	170.25	37.32	66.65	54.72	159.9	353.59	64.8	72.52	134.3	120.1	379.04	56.28	63.45	275.28	108.9	161.02	186.4	72.01	66.65	78.34	161.02	229.72	47.17	191.67	348.71	17.38	400.71	53.57	358.54	38.4	57.89	332.14	197.09	444.72	387.02	22.59	54.72	51.35	323.03	64.8	460.44	190.34	271.48	149.12	441.64	171.45	332.14	547.75
PRR22	90.77	109.66	172.65	123.5	116.78	87.03	112.77	120.1	94.67	8.71	6.11	8.0	28.65	4.5	5.82	43.02	1.93	5.36	4.5	12.74	26.86	3.17	5.41	5.77	10.55	18.03	10.16	7.69	28.65	10.79	7.4	6.78	7.17	6.36	24.99	25.17	8.0	6.78	19.25	25.54	3.38	16.75	26.1	10.16	4.74	11.73	55.49	10.47	12.83	38.95	13.72	8.71	4.54	9.56	11.13	29.91	16.15	22.92	7.63	55.1	39.22	42.11	23.76
PSD4	532.74	738.29	1216.75	1143.1	836.53	738.29	967.76	684.02	884.29	303.44	66.65	75.64	395.18	33.54	22.1	379.04	35.25	36.01	19.25	190.34	312.0	115.16	64.34	41.22	84.04	327.56	114.36	35.5	395.18	75.64	137.14	127.89	19.97	52.08	34.75	182.55	226.54	72.52	320.8	381.68	53.95	325.29	129.69	186.4	177.53	124.37	309.83	211.31	281.09	450.94	77.79	88.88	71.0	341.51	116.78	406.31	248.0	248.0	128.79	497.0	285.03	187.71	624.99
PTBP1	4268.94	4152.18	5403.7	3820.7	4575.41	4481.23	5006.93	5219.6	5633.22	5006.93	1819.35	2997.45	3564.78	2090.03	2319.15	2485.67	1769.57	2335.28	1721.16	2997.45	3103.19	2627.46	2537.92	2520.38	2224.63	2627.46	2777.33	2400.97	3564.78	2119.22	2240.11	2271.4	2555.58	2537.92	2384.37	2032.85	2434.5	2417.67	3349.13	2855.44	1844.76	2816.11	3303.0	3372.43	2502.97	3081.75	2915.45	2502.97	3081.75	3372.43	2935.74	2032.85	2335.28	2816.11	3614.55	3280.18	4123.49	3039.3	3372.43	4066.71	3716.2	3928.15	3515.68
PTPN18	1023.0	1487.87	1781.89	1674.06	2193.99	1295.13	2004.85	1388.16	2367.9	1268.46	909.17	1066.48	1183.45	954.43	620.67	1628.26	743.43	872.1	759.08	1059.11	1175.27	1199.98	884.29	1001.93	934.76	819.3	1340.84	872.1	1183.45	738.29	1191.69	1175.27	785.88	890.44	902.89	1088.92	890.44	713.11	884.29	1427.22	854.13	1242.34	1313.23	988.12	974.5	1044.52	1233.75	764.36	1151.06	1397.83	470.14	854.13	536.45	1388.16	633.73	1977.24	1081.39	1001.93	1487.87	1721.16	1447.15	1175.27	1551.09
RAB17	607.87	656.11	1572.76	1529.73	1540.37	1023.0	1015.93	866.07	1242.34	389.72	15.8	69.52	241.19	9.48	9.7	258.57	14.67	5.41	2.68	100.83	236.21	15.34	11.38	19.82	41.81	226.54	7.57	3.53	241.19	26.47	105.15	63.45	2.48	11.13	11.13	118.43	108.14	14.78	256.78	241.19	10.24	341.51	28.04	98.04	14.03	28.45	299.25	100.83	265.87	341.51	13.12	22.43	23.08	251.48	49.21	341.51	185.11	121.79	19.11	297.17	170.25	124.37	703.28
RAD9A	334.46	490.14	728.11	457.25	733.19	830.75	507.46	860.08	514.56	334.46	120.1	183.82	251.48	224.97	208.38	293.07	121.79	109.66	116.78	209.84	171.45	141.02	131.51	191.67	144.01	195.72	149.12	109.66	251.48	146.03	164.42	115.16	157.68	123.5	191.67	120.1	132.44	70.51	303.44	343.89	99.43	295.11	224.97	299.25	193.01	172.65	205.5	205.5	180.02	486.75	133.36	76.71	133.36	361.04	104.42	251.48	232.94	163.28	244.57	265.87	258.57	256.78	159.9
RBM23	1119.56	1286.18	1096.5	1242.34	1167.14	1519.15	1175.27	1111.82	1225.22	1135.2	830.75	1001.93	947.83	633.73	633.73	961.07	684.02	665.29	518.15	941.27	995.0	896.64	603.67	775.05	748.61	878.17	819.3	603.67	947.83	693.58	872.1	860.08	571.05	738.29	616.37	836.53	1023.0	620.67	954.43	1447.15	567.1	1199.98	842.36	1023.0	988.12	872.1	1096.5	830.75	1143.1	1277.29	599.49	607.87	571.05	1127.35	674.59	1617.0	1081.39	1051.79	872.1	1340.84	1191.69	902.89	1340.84
RHPN1	698.41	536.45	1023.0	688.78	2075.59	629.35	813.63	1088.92	698.41	152.28	28.04	25.54	205.5	68.07	13.22	157.68	11.47	10.88	7.82	55.89	110.43	37.32	15.8	43.32	32.82	61.25	49.56	17.0	205.5	21.94	59.55	30.56	20.71	16.03	33.06	27.84	79.45	32.82	100.13	66.65	14.56	93.35	82.29	77.79	49.21	19.82	112.77	38.67	178.77	167.9	33.3	6.67	6.67	131.51	59.97	83.45	206.94	53.95	90.14	180.02	127.89	44.57	88.88
RTEL1	199.85	206.94	279.14	172.65	279.14	185.11	239.52	299.25	146.03	151.22	76.17	94.67	173.85	71.5	105.89	165.57	75.11	89.51	92.7	100.83	153.34	124.37	122.64	133.36	99.43	130.6	137.14	84.63	173.85	98.04	127.89	122.64	116.78	149.12	110.43	49.21	85.82	66.18	199.85	152.28	67.12	121.79	158.79	182.55	144.01	82.29	155.5	134.3	107.38	162.14	143.01	40.36	71.0	56.68	169.07	155.5	149.12	99.43	130.6	169.07	165.57	228.13	124.37
RTKN	1250.98	743.43	1304.15	1015.93	1159.07	934.76	620.67	981.29	1175.27	733.19	171.45	161.02	454.09	144.01	149.12	470.14	83.45	94.67	94.01	260.38	426.57	141.02	101.54	189.02	175.07	275.28	123.5	105.15	454.09	136.19	226.54	186.4	96.68	141.02	117.6	260.38	336.79	171.45	376.41	480.04	108.14	463.65	242.88	303.44	325.29	218.79	389.72	287.01	403.5	503.95	151.22	98.73	105.89	476.71	205.5	429.54	312.0	414.87	220.32	642.59	301.33	368.65	791.35
SCNN1A	1508.65	1561.89	1870.53	2287.2	2061.24	1733.13	2591.27	3614.55	2400.97	1594.73	17.25	303.44	854.13	21.94	15.45	555.41	123.5	24.99	17.51	423.61	1008.9	48.87	65.72	49.56	215.77	759.08	38.4	26.28	854.13	180.02	447.82	323.03	17.64	76.17	14.56	493.56	129.69	28.04	693.58	890.44	23.76	511.0	35.0	241.19	7.11	152.28	1225.22	483.38	1199.98	1322.37	25.54	23.42	74.06	1340.84	60.39	1769.57	555.41	1051.79	100.83	1639.59	1733.13	514.56	2997.45
SFI1	830.75	660.68	759.08	764.36	1407.55	688.78	595.34	947.83	1322.37	403.5	95.34	110.43	253.23	119.26	75.64	346.29	78.89	107.38	88.88	175.07	277.2	112.77	94.01	155.5	131.51	185.11	182.55	100.83	253.23	147.06	177.53	153.34	158.79	87.03	151.22	152.28	236.21	87.65	283.05	358.54	80.57	376.41	237.86	325.29	180.02	118.43	208.38	121.79	466.88	329.84	101.54	63.89	98.73	429.54	158.79	490.14	329.84	220.32	228.13	312.0	267.73	165.57	301.33
SH2D3A	780.44	595.34	836.53	447.82	728.11	476.71	536.45	379.04	642.59	339.14	13.22	60.39	148.09	17.25	11.38	239.52	26.28	8.19	3.59	124.37	217.27	15.34	14.45	17.0	57.08	133.36	15.8	8.38	148.09	59.55	108.9	74.58	8.45	19.53	7.17	119.26	112.77	44.89	144.01	289.02	32.13	208.38	55.49	113.56	50.63	58.71	244.57	90.77	249.73	256.78	29.06	29.06	47.5	258.57	69.52	241.19	152.28	241.19	56.28	325.29	187.71	114.36	212.78
SH3GLB2	2367.9	3515.68	3190.46	5329.3	4268.94	3257.52	4181.07	5366.37	2997.45	1233.75	878.17	1001.93	1721.16	1175.27	579.04	1963.57	656.11	642.59	791.35	1191.69	1407.55	674.59	693.58	1037.29	896.64	1250.98	988.12	775.05	1721.16	708.18	1233.75	836.53	507.46	728.11	902.89	759.08	1551.09	708.18	1551.09	1594.73	438.59	2193.99	825.0	1583.71	633.73	836.53	1369.04	848.22	1857.6	2119.22	525.39	480.04	579.04	2209.26	941.27	1923.14	1340.84	1286.18	780.44	1628.26	1331.57	1183.45	1594.73
SLC26A11	507.46	470.14	307.69	429.54	525.39	381.68	490.14	371.22	490.14	248.0	183.82	152.28	218.79	161.02	115.97	620.67	74.06	90.14	89.51	202.66	231.32	155.5	135.24	215.77	127.0	258.57	170.25	107.38	218.79	148.09	155.5	115.16	111.21	129.69	145.02	120.1	277.2	70.01	215.77	258.57	50.63	221.86	165.57	329.84	273.37	164.42	150.17	125.24	246.28	275.28	107.38	80.01	90.14	217.27	199.85	312.0	214.27	171.45	220.32	208.38	169.07	107.38	312.0
SMPD3	29.27	52.82	67.12	73.03	72.52	109.66	51.35	73.03	130.6	53.19	7.17	12.27	83.45	10.47	4.78	34.51	5.77	4.82	4.86	16.03	21.78	10.55	10.31	13.93	19.39	31.45	6.84	9.2	83.45	13.83	15.45	11.73	11.04	6.62	22.75	36.01	47.17	10.71	18.84	54.33	5.68	31.9	13.03	18.43	17.25	5.28	15.45	13.03	40.64	48.18	0.4	8.65	5.73	26.67	10.0	61.25	34.75	10.47	14.78	70.51	132.44	76.71	22.75
SNRNP70	5995.9	6652.97	8022.41	7485.11	10225.32	5672.41	5913.33	6840.04	7589.61	2796.65	1605.83	1781.89	3018.3	2303.12	1487.87	3614.55	1378.57	1781.89	1733.13	2090.03	2816.11	2193.99	2148.82	1923.14	2163.77	2287.2	2148.82	1870.53	3018.3	1639.59	2287.2	1819.35	2163.77	2004.85	2434.5	2032.85	2895.31	1674.06	3372.43	3614.55	1447.15	3103.19	2148.82	2682.69	2119.22	2119.22	2720.15	2047.0	3349.13	3901.01	1991.0	1540.37	1806.78	3716.2	2335.28	3742.05	2520.38	2573.36	2335.28	4836.35	2627.46	2915.45	2720.15
SPATA2	206.94	262.2	320.8	314.17	187.71	262.2	267.73	285.03	197.09	155.5	103.69	156.59	262.2	157.68	113.56	145.02	102.97	113.56	102.25	121.79	189.02	115.16	105.89	119.26	118.43	156.59	109.66	94.67	262.2	127.0	117.6	122.64	98.04	115.16	110.43	116.78	218.79	164.42	146.03	218.79	78.89	171.45	137.14	97.36	146.03	123.5	150.17	115.16	129.69	211.31	157.68	74.58	80.01	177.53	138.1	195.72	127.0	154.42	97.36	246.28	244.57	212.78	133.36
STK11IP	438.59	490.14	679.29	441.64	759.08	540.19	521.76	674.59	476.71	249.73	161.02	135.24	201.25	133.36	108.9	373.81	127.89	140.04	136.19	187.71	215.77	199.85	141.02	147.06	172.65	186.4	191.67	155.5	201.25	139.07	212.78	181.28	148.09	137.14	127.89	132.44	234.57	110.43	271.48	275.28	127.89	291.04	206.94	234.57	281.09	178.77	208.38	118.43	395.18	293.07	123.5	121.79	166.73	307.69	195.72	273.37	218.79	277.2	177.53	228.13	251.48	220.32	226.54
TCF3	1583.71	1498.22	2319.15	1427.22	2018.8	1572.76	1844.76	1685.71	1498.22	733.19	599.49	444.72	642.59	511.0	463.65	890.44	341.51	327.56	470.14	591.22	665.29	571.05	435.55	463.65	441.64	529.06	595.34	476.71	642.59	366.09	540.19	463.65	312.0	432.53	514.56	285.03	791.35	334.46	728.11	860.08	231.32	947.83	743.43	753.83	409.15	387.02	693.58	603.67	607.87	981.29	473.41	209.84	289.02	1001.93	718.08	934.76	1051.79	647.07	656.11	1350.18	665.29	624.99	1044.52
THOP1	579.04	656.11	660.68	1127.35	1417.35	878.17	688.78	872.1	759.08	723.08	236.21	215.77	493.56	299.25	249.73	540.19	108.9	142.01	281.09	295.11	518.15	258.57	220.32	273.37	234.57	295.11	262.2	228.13	493.56	157.68	241.19	212.78	156.59	246.28	309.83	202.66	305.55	195.72	353.59	400.71	205.5	395.18	435.55	287.01	426.57	220.32	591.22	198.47	490.14	379.04	454.09	172.65	129.69	339.14	387.02	392.44	334.46	265.87	177.53	693.58	275.28	633.73	307.69
TMEM184A	327.56	295.11	373.81	429.54	397.93	351.14	305.55	480.04	397.93	147.06	2.92	21.94	125.24	2.89	6.46	76.17	9.78	4.39	5.19	46.5	84.04	2.34	8.45	11.91	20.26	84.63	13.03	1.22	125.24	18.43	37.32	19.97	6.01	7.75	7.75	67.12	47.5	6.41	105.15	119.26	7.4	139.07	11.38	61.68	6.62	10.88	88.26	84.63	105.89	120.94	9.7	13.42	7.22	94.01	19.82	77.25	82.29	62.56	22.59	92.05	206.94	65.72	55.49
TNK1	476.71	389.72	684.02	595.34	466.88	599.49	312.0	571.05	571.05	224.97	44.57	69.52	226.54	55.89	29.91	237.86	40.07	25.35	13.93	120.94	127.89	29.48	47.17	44.89	66.65	162.14	50.98	24.63	226.54	61.68	149.12	75.11	20.56	55.89	47.17	128.79	166.73	84.04	140.04	218.79	35.0	165.57	66.18	116.78	138.1	81.14	195.72	85.82	141.02	271.48	37.85	28.65	49.91	231.32	120.94	228.13	182.55	172.65	138.1	265.87	201.25	112.77	211.31
TRAF2	559.28	417.77	629.35	447.82	684.02	521.76	703.28	872.1	470.14	291.04	153.34	90.77	205.5	214.27	100.83	316.37	76.17	80.57	115.97	197.09	183.82	166.73	111.99	135.24	136.19	162.14	143.01	127.89	205.5	90.14	164.42	125.24	74.06	121.79	152.28	135.24	279.14	105.15	182.55	277.2	85.22	217.27	264.03	209.84	429.54	115.97	190.34	153.34	202.66	218.79	98.04	123.5	113.56	277.2	186.4	211.31	264.03	175.07	223.41	239.52	158.79	209.84	226.54
TRMU	583.07	583.07	397.93	403.5	633.73	473.41	323.03	511.0	397.93	540.19	221.86	161.02	334.46	205.5	195.72	447.82	173.85	241.19	241.19	229.72	262.2	251.48	189.02	228.13	277.2	256.78	244.57	253.23	334.46	193.01	301.33	275.28	249.73	209.84	267.73	209.84	232.94	132.44	450.94	301.33	133.36	320.8	258.57	251.48	236.21	195.72	285.03	208.38	325.29	332.14	208.38	146.03	189.02	283.05	246.28	283.05	305.55	283.05	334.46	441.64	275.28	438.59	309.83
TSNARE1	320.8	660.68	441.64	764.36	571.05	353.59	420.68	323.03	511.0	325.29	142.01	215.77	220.32	163.28	167.9	318.57	74.06	99.43	161.02	275.28	332.14	126.12	137.14	224.97	141.02	295.11	191.67	183.82	220.32	172.65	199.85	186.4	162.14	149.12	358.54	159.9	220.32	90.77	251.48	412.0	79.45	323.03	166.73	193.01	84.04	129.69	164.42	126.12	208.38	348.71	153.34	95.34	141.02	361.04	182.55	473.41	226.54	262.2	202.66	293.07	336.79	256.78	316.37
TULP1	13.22	7.34	8.51	17.9	4.24	3.23	3.35	7.11	6.57	3.14	0.44	0.95	7.17	0.0	0.0	1.93	1.31	0.0	0.89	0.84	2.84	0.0	0.0	0.0	0.52	5.5	2.34	1.75	7.17	0.0	0.88	0.0	0.0	0.48	0.0	1.62	0.4	0.49	2.25	4.31	0.09	4.66	2.92	8.71	0.07	2.27	2.97	7.46	5.82	5.28	2.86	0.71	0.0	1.64	0.83	1.45	3.92	4.1	1.5	6.41	5.32	10.16	2.36
UMODL1	1.07	3.86	34.75	6.11	5.54	13.52	6.62	4.17	4.98	7.63	0.37	0.42	6.67	0.0	0.85	1.77	0.0	0.0	0.4	1.48	4.43	0.0	1.57	0.0	0.43	0.41	0.38	0.0	6.67	2.18	0.78	0.0	0.43	0.41	0.0	4.03	0.58	0.0	1.55	2.73	0.0	1.51	5.5	0.17	2.66	0.0	12.09	1.73	0.51	0.53	0.0	1.19	4.43	1.51	0.13	0.57	4.35	1.6	0.0	3.0	0.82	0.75	2.73
USP43	187.71	124.37	119.26	115.16	109.66	63.0	78.34	54.33	132.44	90.77	3.06	9.41	42.41	0.26	1.14	37.05	2.63	1.06	3.35	16.15	51.35	3.29	5.32	1.41	12.27	41.22	0.27	0.69	42.41	15.22	24.81	16.63	0.0	2.63	0.3	26.28	21.16	8.58	38.4	39.5	5.36	56.68	7.28	25.91	21.01	15.0	47.84	20.86	45.85	44.57	4.24	5.06	2.23	69.03	14.14	50.98	30.56	38.4	9.27	66.65	28.45	19.68	54.33
VDR	507.46	540.19	444.72	743.43	334.46	224.97	291.04	358.54	258.57	228.13	52.08	80.57	229.72	12.18	19.68	155.5	15.22	16.15	8.58	96.68	351.14	47.5	31.45	35.5	105.15	248.0	32.36	29.06	229.72	65.72	122.64	76.17	12.93	27.84	13.83	208.38	109.66	51.35	195.72	204.07	29.48	218.79	61.68	114.36	78.34	161.02	217.27	135.24	226.54	316.37	66.65	53.95	25.35	289.02	104.42	305.55	265.87	299.25	72.52	258.57	543.96	202.66	289.02
WDR90	802.41	921.88	1286.18	825.0	2255.7	1950.0	1407.55	2255.7	1111.82	323.03	80.01	105.89	423.61	120.1	116.78	409.15	75.64	100.83	75.64	187.71	307.69	127.0	106.63	166.73	167.9	212.78	178.77	105.89	423.61	173.85	214.27	159.9	140.04	120.94	201.25	212.78	147.06	56.28	325.29	325.29	81.71	551.56	194.36	234.57	104.42	136.19	297.17	123.5	267.73	426.57	156.59	51.35	105.15	239.52	123.5	229.72	236.21	277.2	218.79	540.19	223.41	209.84	208.38
ZFP41	137.14	194.36	171.45	206.94	185.11	262.2	239.52	132.44	223.41	199.85	49.21	53.57	163.28	79.45	65.72	88.88	42.41	55.89	62.12	71.5	126.12	70.51	77.25	112.77	71.0	114.36	93.35	75.64	163.28	66.18	96.01	81.14	75.64	100.83	68.07	90.14	139.07	68.07	137.14	153.34	92.05	100.13	105.89	91.41	121.79	90.77	124.37	145.02	77.25	144.01	95.34	97.36	35.25	101.54	156.59	131.51	69.03	86.43	135.24	144.01	84.04	82.29	193.01
ZNF212	242.88	351.14	269.6	309.83	320.8	223.41	303.44	320.8	273.37	173.85	159.9	119.26	224.97	161.02	141.02	249.73	102.25	92.05	115.16	133.36	166.73	120.1	134.3	143.01	138.1	155.5	164.42	133.36	224.97	129.69	169.07	164.42	102.97	155.5	148.09	165.57	194.36	120.1	147.06	291.04	98.73	199.85	145.02	162.14	134.3	123.5	115.16	88.26	208.38	221.86	79.45	100.13	147.06	199.85	164.42	228.13	150.17	180.02	153.34	251.48	131.51	108.9	175.07
ZNF282	426.57	493.56	460.44	518.15	450.94	320.8	536.45	603.67	457.25	195.72	180.02	172.65	316.37	269.6	212.78	325.29	121.79	128.79	181.28	226.54	256.78	205.5	186.4	218.79	195.72	241.19	215.77	209.84	316.37	189.02	215.77	198.47	151.22	237.86	301.33	165.57	316.37	190.34	231.32	309.83	150.17	236.21	249.73	420.68	176.29	170.25	136.19	149.12	265.87	329.84	159.9	139.07	204.07	351.14	198.47	181.28	204.07	279.14	279.14	457.25	237.86	208.38	281.09
ZNF446	253.23	450.94	426.57	444.72	536.45	547.75	511.0	423.61	450.94	166.73	85.22	124.37	197.09	153.34	127.0	258.57	94.67	84.04	110.43	137.14	211.31	115.97	102.97	132.44	135.24	169.07	125.24	111.21	197.09	119.26	138.1	129.69	122.64	106.63	166.73	144.01	144.01	105.15	202.66	172.65	66.65	198.47	194.36	161.02	77.25	114.36	171.45	107.38	162.14	346.29	102.97	68.55	109.66	173.85	170.25	220.32	90.14	150.17	125.24	279.14	185.11	166.73	204.07
ZNF497	44.57	110.43	185.11	126.12	137.14	145.02	191.67	165.57	209.84	61.68	7.17	9.13	41.22	11.13	4.46	28.45	6.26	2.92	3.72	16.15	46.18	4.46	8.25	12.55	12.93	46.18	8.71	10.0	41.22	14.14	19.97	22.75	6.62	12.93	6.73	17.77	32.82	5.87	29.27	47.17	8.19	35.25	16.88	21.63	13.22	15.56	29.48	26.86	35.5	47.84	9.78	7.94	10.47	30.56	14.78	56.28	35.5	28.86	17.38	55.49	18.7	12.83	31.22
ZNF512B	293.07	432.53	454.09	363.56	381.68	316.37	473.41	441.64	426.57	156.59	91.41	108.9	226.54	108.14	145.02	195.72	60.82	70.01	115.16	140.04	237.86	108.9	96.68	157.68	102.97	190.34	142.01	119.26	226.54	114.36	135.24	120.1	102.97	120.1	164.42	120.94	176.29	97.36	215.77	239.52	127.0	253.23	187.71	158.79	106.63	117.6	169.07	206.94	106.63	236.21	176.29	111.99	120.1	246.28	183.82	231.32	154.42	193.01	162.14	325.29	116.78	115.97	198.47
ZNF574	336.79	403.5	450.94	432.53	303.44	356.05	400.71	299.25	325.29	255.0	133.36	144.01	170.25	242.88	108.14	264.03	113.56	112.77	105.15	175.07	224.97	105.89	115.16	138.1	159.9	217.27	190.34	158.79	170.25	137.14	164.42	161.02	117.6	141.02	159.9	156.59	241.19	120.94	217.27	218.79	100.83	156.59	150.17	264.03	130.6	140.04	146.03	175.07	205.5	320.8	137.14	120.1	109.66	234.57	215.77	320.8	224.97	215.77	202.66	318.57	208.38	214.27	255.0
ZNF653	239.52	234.57	220.32	215.77	256.78	221.86	190.34	201.25	163.28	119.26	80.01	108.9	109.66	82.87	57.08	119.26	46.18	36.53	48.52	89.51	121.79	68.07	69.03	86.43	49.91	73.03	37.32	45.21	109.66	75.64	92.05	55.49	43.63	78.89	143.01	70.51	51.71	74.06	115.16	91.41	48.87	112.77	89.51	105.15	40.36	111.99	100.13	40.07	138.1	171.45	92.05	33.06	79.45	180.02	99.43	91.41	120.1	101.54	64.8	150.17	136.19	136.19	194.36
ZNF66	36.27	72.52	84.04	47.84	62.12	68.55	48.52	46.18	80.57	28.86	17.9	34.75	70.51	9.78	7.4	21.63	17.77	16.27	9.63	23.59	59.55	9.48	26.67	20.41	20.41	37.32	17.64	18.56	70.51	34.26	28.65	23.59	30.12	15.0	11.47	24.11	6.41	36.27	34.02	48.52	16.88	70.51	28.45	20.11	11.73	23.93	26.1	36.53	66.65	29.48	22.26	8.78	2.92	82.29	34.26	37.32	34.75	50.98	66.65	61.68	61.68	18.43	32.82
