	TCGA.K4.A4AC.01A.21R.A26T.07	TCGA.DK.A3IM.01A.11R.A20F.07	TCGA.G2.A3IB.01A.11R.A20F.07	TCGA.FD.A3N6.01A.11R.A21D.07	TCGA.ZF.AA4W.01A.12R.A38B.07	TCGA.C4.A0F1.01A.11R.A034.07	TCGA.E2.A1LK.01A.21R.A14D.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.VS.A8QA.01A.11R.A37O.07	TCGA.ZJ.A8QQ.01A.11R.A37O.07	TCGA.EX.A3L1.01A.11R.A32Y.07	TCGA.EK.A2RE.01A.11R.A18M.07	TCGA.IG.A3QL.01A.11R.A24K.31	TCGA.CV.5976.01A.11R.1686.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.UF.A718.01A.22R.A34R.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.BB.A5HU.01A.11R.A28V.07	TCGA.HD.8634.01A.11R.2403.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.UF.A7JH.01A.21R.A34R.07	TCGA.CV.7252.01A.11R.2016.07	TCGA.H7.7774.01A.21R.2081.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.T2.A6X2.01A.12R.A34R.07	TCGA.CR.6471.01A.11R.1873.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.H7.A6C4.01A.11R.A30B.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CR.7394.01A.11R.2016.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.HD.A4C1.01A.11R.A24H.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CV.A45V.01A.21R.A24Z.07	TCGA.CV.7421.01A.11R.2081.07	TCGA.CN.A642.01A.12R.A30B.07	TCGA.CQ.5324.01A.01R.1686.07	TCGA.UF.A7JC.01A.21R.A34R.07	TCGA.CQ.6218.01A.11R.1915.07	TCGA.RS.A6TO.01A.32R.A34R.07	TCGA.CQ.7071.01A.12R.A30B.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.F7.A620.01A.11R.A28V.07	TCGA.CV.7438.01A.21R.2132.07	TCGA.CV.7425.01A.11R.2081.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.CV.7238.01A.11R.2016.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.CV.7430.01A.11R.2132.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.CV.6961.11A.01R.1915.07	TCGA.43.6771.01A.11R.1820.07	GTEX.11WQK.2926.SM.5EQKT
NSMCE2	1167.14	518.15	521.76	1044.52	813.63	1044.52	2271.4	713.11	234.57	1059.11	339.14	728.11	764.36	1001.93	463.65	571.05	718.08	743.43	1015.93	713.11	684.02	603.67	981.29	525.39	358.54	587.13	896.64	373.81	579.04	947.83	808.0	616.37	759.08	684.02	909.17	332.14	633.73	559.28	890.44	373.81	371.22	480.04	629.35	368.65	1225.22	941.27	400.71	497.0	988.12	884.29	525.39	775.05	426.57	1001.93	848.22	397.93	583.07	830.75	688.78	389.72	603.67	444.72	312.0	334.46
NUDCD1	500.46	30.34	226.54	660.68	295.11	595.34	1250.98	115.16	124.37	450.94	208.38	316.37	703.28	503.95	181.28	457.25	373.81	325.29	579.04	529.06	248.0	246.28	490.14	332.14	131.51	253.23	412.0	92.7	371.22	587.13	271.48	316.37	435.55	327.56	713.11	208.38	171.45	341.51	392.44	287.01	269.6	283.05	332.14	214.27	669.92	769.69	356.05	229.72	483.38	764.36	332.14	356.05	146.03	769.69	536.45	217.27	423.61	490.14	312.0	220.32	285.03	218.79	158.79	371.22
POLR2K	6983.79	4543.8	1119.56	1529.73	2209.26	1407.55	4671.57	660.68	1044.52	1950.0	587.13	1159.07	2417.67	2193.99	866.07	2061.24	1806.78	1268.46	2032.85	1407.55	1397.83	921.88	2664.15	1008.9	813.63	1191.69	2018.8	872.1	1119.56	1733.13	1457.23	1081.39	1427.22	1806.78	2367.9	759.08	1073.91	1259.69	2032.85	961.07	674.59	1159.07	954.43	860.08	4388.98	2609.3	909.17	988.12	2303.12	3146.52	1183.45	1883.54	743.43	2777.33	2163.77	878.17	1104.13	2148.82	1519.15	1096.5	1304.15	1030.12	612.11	1191.69
PUF60	5831.91	2163.77	2875.3	5954.47	3982.99	5329.3	14461.21	2796.65	1378.57	3955.48	1628.26	2240.11	4450.27	6294.04	2609.3	5183.54	3515.68	3443.31	5751.61	4481.23	3168.41	3690.52	8538.88	2537.92	2627.46	3564.78	3982.99	1697.45	2133.97	5751.61	3874.05	2758.13	4388.98	3190.46	7911.95	2627.46	3146.52	3768.09	5147.73	2520.38	2193.99	2537.92	4010.71	2855.44	10959.3	6471.02	3515.68	3540.14	4181.07	7966.99	1662.49	3443.31	2047.0	4769.75	5672.41	2061.24	3212.66	5711.87	3690.52	3491.39	3820.7	3168.41	2240.11	2319.15
PYCRL	1023.0	215.77	124.37	571.05	791.35	307.69	2018.8	135.24	118.43	336.79	147.06	189.02	414.87	638.15	171.45	409.15	295.11	201.25	334.46	381.68	205.5	212.78	287.01	127.0	161.02	187.71	432.53	88.26	113.56	728.11	156.59	379.04	297.17	251.48	780.44	121.79	189.02	279.14	483.38	253.23	127.89	232.94	320.8	189.02	1199.98	785.88	209.84	194.36	287.01	460.44	92.05	283.05	104.42	457.25	529.06	145.02	181.28	551.56	417.77	128.79	323.03	273.37	105.89	176.29
RMDN1	967.76	336.79	748.61	1832.01	1407.55	1662.49	3901.01	723.08	384.34	1467.37	514.56	759.08	866.07	1340.84	497.0	1081.39	1104.13	1023.0	1127.35	1143.1	902.89	450.94	813.63	718.08	454.09	483.38	974.5	387.02	656.11	1023.0	753.83	1277.29	872.1	1008.9	1044.52	543.96	854.13	1127.35	1359.57	830.75	603.67	688.78	802.41	748.61	947.83	1605.83	854.13	684.02	1295.13	1819.35	780.44	909.17	287.01	1277.29	1001.93	563.18	669.92	1662.49	1350.18	429.54	674.59	679.29	518.15	384.34
RRS1	1286.18	575.03	633.73	1540.37	1066.48	521.76	3742.05	329.84	163.28	872.1	314.17	536.45	1167.14	878.17	490.14	802.41	1073.91	988.12	1066.48	1286.18	591.22	361.04	1259.69	759.08	312.0	759.08	1073.91	167.9	743.43	1096.5	353.59	669.92	616.37	802.41	2133.97	371.22	603.67	848.22	1225.22	775.05	395.18	525.39	567.1	503.95	842.36	1457.23	511.0	579.04	660.68	1417.35	555.41	1001.93	301.33	1378.57	1175.27	406.31	785.88	1199.98	988.12	665.29	842.36	567.1	212.78	718.08
SHARPIN	2664.15	738.29	1369.04	2148.82	2287.2	2701.35	8022.41	708.18	884.29	2090.03	708.18	921.88	1819.35	2520.38	1277.29	2573.36	1359.57	1540.37	2384.37	2004.85	1819.35	1304.15	3280.18	1059.11	1015.93	1015.93	1397.83	1388.16	1111.82	2451.44	1286.18	1359.57	1628.26	1950.0	2835.7	934.76	1733.13	1896.65	2400.97	902.89	1015.93	872.1	1794.29	1304.15	3190.46	2855.44	1369.04	928.3	1662.49	2303.12	967.76	2739.08	1119.56	2240.11	2384.37	1104.13	1313.23	2627.46	1583.71	743.43	1883.54	1073.91	1073.91	536.45
SLC39A4	3491.39	1295.13	1757.34	3212.66	4450.27	1628.26	14971.21	825.0	293.07	2400.97	587.13	1487.87	2224.63	3325.99	1322.37	3039.3	1721.16	3395.89	3124.78	1561.89	1437.15	507.46	3325.99	1096.5	967.76	1709.26	2335.28	718.08	759.08	1991.0	1081.39	1639.59	1407.55	1857.6	2895.31	555.41	2976.74	1857.6	5112.16	759.08	616.37	842.36	2119.22	1081.39	4239.45	6426.31	1340.84	1529.73	1909.85	2758.13	540.19	3515.68	733.19	2384.37	2148.82	1407.55	1508.65	2224.63	2061.24	941.27	2209.26	1242.34	1059.11	441.64
SLC52A2	3467.27	791.35	1605.83	1963.57	2627.46	2193.99	15715.58	669.92	543.96	1857.6	1066.48	825.0	1551.09	4210.15	1359.57	2240.11	1963.57	1896.65	3820.7	2303.12	1870.53	1909.85	3103.19	1963.57	872.1	1697.45	1950.0	866.07	1216.75	3081.75	1427.22	1883.54	1437.15	2451.44	3874.05	884.29	1651.0	1950.0	2573.36	1135.2	1250.98	1199.98	1963.57	1199.98	3395.89	3039.3	1628.26	1457.23	2271.4	3874.05	860.08	2451.44	995.0	2468.49	3325.99	1081.39	1662.49	3982.99	1651.0	1457.23	1583.71	1111.82	1030.12	1081.39
TATDN1	1135.2	688.78	525.39	1199.98	1322.37	1583.71	5751.61	540.19	275.28	1037.29	346.29	511.0	1208.34	1540.37	353.59	1322.37	802.41	651.58	1268.46	698.41	532.74	409.15	1561.89	521.76	406.31	540.19	1216.75	190.34	417.77	974.5	450.94	532.74	532.74	733.19	1250.98	265.87	551.56	642.59	612.11	629.35	297.17	417.77	854.13	514.56	1447.15	1697.45	476.71	483.38	791.35	1250.98	595.34	575.03	273.37	1051.79	1073.91	432.53	591.22	1119.56	642.59	444.72	616.37	447.82	312.0	536.45
TIGD5	351.14	88.88	127.89	356.05	289.02	281.09	775.05	115.16	53.19	159.9	68.55	114.36	325.29	237.86	119.26	295.11	218.79	242.88	334.46	299.25	175.07	92.7	208.38	141.02	116.78	169.07	155.5	65.72	117.6	358.54	193.01	194.36	159.9	163.28	713.11	90.77	172.65	167.9	248.0	131.51	143.01	84.63	204.07	181.28	366.09	339.14	171.45	144.01	166.73	346.29	87.03	309.83	132.44	309.83	256.78	157.68	198.47	473.41	260.38	103.69	198.47	121.79	64.8	93.35
TOP1MT	1378.57	547.75	954.43	2119.22	1674.06	1896.65	5517.27	435.55	208.38	688.78	348.71	486.75	1628.26	1572.76	684.02	1594.73	947.83	825.0	1551.09	769.69	890.44	486.75	3103.19	915.51	239.52	884.29	738.29	236.21	412.0	1143.1	239.52	813.63	759.08	934.76	1781.89	299.25	693.58	796.86	1216.75	679.29	332.14	518.15	1030.12	395.18	988.12	1651.0	723.08	1059.11	1044.52	1594.73	493.56	1073.91	327.56	591.22	1477.58	463.65	638.15	1583.71	651.58	718.08	813.63	435.55	441.64	164.42
TRMT12	343.89	218.79	127.0	387.02	403.5	341.51	1096.5	62.12	4.58	358.54	105.15	187.71	226.54	409.15	100.13	295.11	241.19	120.1	314.17	236.21	166.73	199.85	361.04	221.86	121.79	167.9	332.14	87.03	148.09	251.48	218.79	198.47	199.85	289.02	381.68	147.06	167.9	193.01	232.94	193.01	142.01	211.31	232.94	127.89	373.81	314.17	87.03	236.21	209.84	796.86	123.5	177.53	82.87	297.17	303.44	146.03	118.43	356.05	262.2	241.19	191.67	169.07	100.83	190.34
UBE2V2	2163.77	1572.76	1806.78	3039.3	1844.76	1721.16	7911.95	1936.53	713.11	1745.2	684.02	1794.29	1923.14	2032.85	1277.29	2400.97	2520.38	2434.5	2956.17	2209.26	748.61	1844.76	1909.85	1295.13	1216.75	1806.78	2777.33	1477.58	1594.73	2119.22	1605.83	1662.49	1617.0	2271.4	4298.64	1216.75	1806.78	1991.0	2537.92	1639.59	884.29	1540.37	1378.57	1359.57	2609.3	2537.92	1350.18	1806.78	1806.78	2287.2	1896.65	2520.38	1359.57	1936.53	2537.92	1208.34	1378.57	2367.9	2502.97	1073.91	1745.2	1457.23	921.88	1551.09
UBR5	5872.48	3794.3	1030.12	2451.44	1757.34	1896.65	4358.66	947.83	525.39	1639.59	532.74	967.76	1745.2	2163.77	1111.82	1540.37	1697.45	1313.23	2682.69	1572.76	860.08	1508.65	1628.26	954.43	1066.48	1457.23	1561.89	988.12	1397.83	2335.28	1350.18	1259.69	1216.75	1508.65	2209.26	1023.0	1697.45	1498.22	1225.22	1059.11	1051.79	909.17	1286.18	1015.93	2061.24	1963.57	921.88	1295.13	1498.22	1832.01	915.51	1457.23	1183.45	1242.34	1963.57	1167.14	825.0	1963.57	1870.53	988.12	1135.2	860.08	785.88	1051.79
VPS28	6079.61	1781.89	2061.24	5995.9	6652.97	6426.31	19082.0	2835.7	1519.15	5711.87	1561.89	2720.15	4972.34	7803.01	4152.18	6840.04	4419.52	4066.71	4972.34	4419.52	5112.16	3768.09	8363.13	3467.27	3168.41	3372.43	4328.55	3280.18	3190.46	6652.97	3124.78	5147.73	4388.98	5403.7	5995.9	3874.05	4239.45	4543.8	5329.3	2682.69	3690.52	3124.78	4836.35	3467.27	15392.14	9876.98	4095.0	3589.58	5076.84	5672.41	3060.45	4358.66	3690.52	4181.07	6652.97	3419.52	4066.71	5672.41	5831.91	1857.6	6337.83	3742.05	2193.99	1883.54
ZC3H3	490.14	224.97	379.04	567.1	332.14	547.75	1350.18	285.03	136.19	420.68	198.47	229.72	723.08	579.04	285.03	435.55	457.25	366.09	693.58	536.45	379.04	339.14	629.35	273.37	299.25	358.54	389.72	275.28	309.83	743.43	518.15	339.14	444.72	346.29	830.75	262.2	366.09	409.15	540.19	305.55	343.89	267.73	551.56	309.83	941.27	406.31	387.02	384.34	423.61	642.59	171.45	665.29	285.03	429.54	583.07	264.03	381.68	262.2	457.25	417.77	356.05	289.02	309.83	244.57
ZNF34	123.5	31.45	38.67	88.88	69.03	59.13	603.67	44.25	24.81	83.45	44.57	58.3	194.36	138.1	31.22	129.69	57.49	29.7	132.44	58.3	66.18	52.45	159.9	44.89	21.47	44.89	44.89	26.67	31.0	107.38	100.83	58.71	36.01	73.54	98.73	29.7	47.17	53.95	58.71	28.86	49.21	41.81	95.34	35.0	220.32	76.17	40.64	73.54	52.82	76.17	37.05	104.42	23.93	97.36	88.88	39.79	27.44	84.04	69.52	20.41	45.21	27.64	38.12	18.16
ZNF517	236.21	76.17	47.84	249.73	82.87	140.04	1427.22	44.57	57.89	239.52	43.02	54.72	183.82	143.01	46.5	183.82	111.21	164.42	232.94	103.69	120.94	47.17	154.42	59.97	59.13	68.07	90.14	42.11	50.63	255.0	118.43	86.43	59.55	54.33	262.2	50.98	68.07	68.55	71.5	59.55	64.8	52.08	127.0	108.9	507.46	189.02	69.52	51.35	73.03	403.5	30.12	262.2	52.82	113.56	137.14	76.71	105.89	244.57	142.01	34.02	94.01	35.0	82.87	19.97
ZNF623	209.84	118.43	143.01	334.46	153.34	260.38	928.3	149.12	81.14	224.97	78.34	137.14	202.66	267.73	115.16	248.0	181.28	220.32	387.02	275.28	167.9	159.9	215.77	122.64	89.51	159.9	155.5	70.01	70.01	314.17	205.5	256.78	161.02	149.12	312.0	165.57	140.04	135.24	113.56	94.01	147.06	103.69	234.57	101.54	423.61	217.27	169.07	150.17	146.03	273.37	118.43	158.79	92.7	181.28	244.57	152.28	145.02	244.57	209.84	103.69	102.25	77.25	108.9	88.88
ZNF696	134.3	37.59	38.67	87.03	82.87	62.56	447.82	27.44	32.82	102.25	27.84	51.35	173.85	165.57	51.35	150.17	106.63	57.89	208.38	105.89	53.95	49.21	111.21	60.39	19.11	51.35	61.25	11.55	26.86	101.54	46.18	75.64	33.3	59.97	253.23	25.72	68.07	55.1	58.71	43.02	43.02	38.12	73.54	45.85	163.28	119.26	49.56	57.49	55.89	139.07	26.86	131.51	26.28	75.64	136.19	53.95	62.56	142.01	82.29	29.48	53.95	30.56	35.0	35.76
ZNF7	543.96	277.2	258.57	1073.91	373.81	403.5	2090.03	204.07	143.01	543.96	154.42	291.04	718.08	583.07	205.5	603.67	426.57	400.71	723.08	426.57	389.72	201.25	928.3	323.03	154.42	336.79	420.68	229.72	271.48	748.61	400.71	323.03	291.04	368.65	791.35	215.77	395.18	397.93	392.44	260.38	242.88	234.57	595.34	293.07	866.07	764.36	229.72	309.83	279.14	551.56	361.04	412.0	180.02	441.64	441.64	314.17	251.48	595.34	460.44	189.02	271.48	212.78	214.27	195.72
ZNF707	381.68	171.45	198.47	329.84	403.5	236.21	1519.15	147.06	122.64	366.09	105.89	180.02	253.23	466.88	126.12	490.14	371.22	231.32	540.19	384.34	236.21	153.34	412.0	185.11	86.43	301.33	341.51	197.09	143.01	450.94	343.89	186.4	248.0	264.03	669.92	143.01	211.31	231.32	256.78	167.9	176.29	178.77	303.44	178.77	406.31	332.14	119.26	277.2	248.0	854.13	107.38	303.44	175.07	486.75	473.41	177.53	224.97	579.04	483.38	190.34	253.23	90.77	132.44	130.6
