	TCGA.B8.5164.01A.01R.1420.07	TCGA.B8.4621.01A.01R.1503.07	TCGA.BP.4807.01A.01R.1305.07	TCGA.HE.7128.01A.11R.1965.07	TCGA.A4.7996.01A.11R.2204.07	TCGA.B3.8121.01A.21R.2404.07	TCGA.5P.A9KC.01A.11R.A42S.07	TCGA.B9.5156.01A.01R.1592.07	TCGA.BQ.5884.01A.11R.1592.07	TCGA.DJ.A3VM.01A.11R.A23N.07	TCGA.BJ.A45I.01A.11R.A23W.07	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.ET.A3DW.01A.11R.A19O.07	TCGA.BJ.A0ZA.01A.11R.A10U.07	TCGA.DJ.A3VF.01A.11R.A23N.07	TCGA.DJ.A2PT.01A.11R.A18C.07	TCGA.BJ.A3EZ.01A.11R.A206.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.DJ.A3V8.01A.11R.A23N.07	TCGA.IM.A420.01A.11R.A23N.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.IM.A41Z.01A.11R.A23N.07	TCGA.DJ.A3UQ.01A.11R.A22L.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.EL.A3CN.01A.12R.A20F.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.EL.A3GY.01A.21R.A206.07	TCGA.FE.A23A.01A.11R.A16R.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.H2.A26U.01A.11R.A16R.07	TCGA.EL.A3H7.01A.11R.A21D.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.ET.A25R.01A.11R.A16R.07	TCGA.L6.A4EQ.01A.11R.A250.07	TCGA.EL.A3N3.01A.11R.A20F.07	TCGA.EM.A1CS.01A.11R.A13Y.07	TCGA.EM.A2OW.01A.11R.A206.07	TCGA.EM.A4G1.01A.11R.A250.07	TCGA.EM.A1CW.01A.21R.A13Y.07	TCGA.J8.A4HY.01A.11R.A250.07	TCGA.FE.A232.01A.11R.A14Y.07	TCGA.ET.A25G.01A.11R.A16R.07	TCGA.EL.A3ZO.01A.11R.A23N.07	TCGA.FE.A230.01A.11R.A14Y.07	TCGA.DJ.A13S.01A.11R.A10U.07	TCGA.BJ.A28X.01A.11R.A22L.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.KS.A4ID.01A.11R.A250.07	TCGA.J8.A3YE.01A.12R.A23N.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.DJ.A3UW.01A.11R.A22L.07	TCGA.EM.A22I.01A.11R.A180.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.DJ.A3V6.01A.11R.A22U.07	TCGA.ET.A3BO.01A.11R.A19O.07	TCGA.DJ.A1QM.01A.11R.A14Y.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.BJ.A0ZH.01A.11R.A10U.07	TCGA.EL.A3N2.01A.11R.A20F.07	TCGA.EM.A2CQ.01A.11R.A180.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.ET.A40Q.01A.11R.A23N.07	TCGA.E3.A3E3.01A.11R.A20F.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.EM.A4FM.01A.11R.A250.07	TCGA.CE.A483.01A.11R.A23W.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.E8.A419.01A.11R.A23N.07	TCGA.DJ.A1QF.01A.12R.A14Y.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.ET.A39O.01A.11R.A19O.07	TCGA.EL.A3T1.01A.11R.A22L.07	TCGA.EL.A3D6.01A.12R.A206.07	TCGA.DE.A4MC.01A.11R.A250.07	TCGA.IM.A3U3.01A.11R.A22L.07	TCGA.ET.A3DU.01A.11R.A19O.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.ET.A25M.01A.11R.A16R.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.ET.A25P.01A.11R.A16R.07	TCGA.EL.A3CM.01A.11R.A19O.07	TCGA.DJ.A1QD.01A.11R.A14Y.07	TCGA.H2.A421.01A.11R.A23N.07	TCGA.FY.A40L.01A.11R.A23N.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.EL.A3MZ.01A.11R.A21D.07	TCGA.E8.A418.01A.11R.A23N.07	TCGA.EM.A3SZ.01A.11R.A22U.07	TCGA.EL.A3N2.11A.11R.A20F.07	GTEX.Y5V6.0526.SM.4VBRV	GTEX.WHSE.0626.SM.4RGNF	GTEX.S4Z8.0326.SM.3K2AU	GTEX.1399R.0126.SM.5IFEV	GTEX.WY7C.0226.SM.3NB37	GTEX.139YR.1226.SM.5IFEU	GTEX.V955.0426.SM.3GAEL	GTEX.12BJ1.0426.SM.5FQSO	GTEX.13CF3.0926.SM.5LZZC	GTEX.ZTPG.0826.SM.5DUVC	GTEX.11TT1.1126.SM.5P9GV
CTTNBP2NL	599.49	435.55	463.65	633.73	629.35	620.67	260.38	612.11	248.0	186.4	191.67	198.47	175.07	161.02	269.6	185.11	189.02	185.11	161.02	187.71	158.79	134.3	98.04	139.07	264.03	120.1	262.2	121.79	277.2	159.9	165.57	325.29	229.72	169.07	217.27	100.83	265.87	246.28	204.07	158.79	132.44	105.89	204.07	237.86	132.44	293.07	194.36	269.6	105.15	148.09	150.17	144.01	205.5	205.5	199.85	187.71	256.78	242.88	120.1	148.09	206.94	189.02	144.01	148.09	169.07	202.66	147.06	163.28	162.14	193.01	256.78	173.85	136.19	124.37	198.47	255.0	256.78	199.85	157.68	198.47	223.41	221.86	149.12	251.48	212.78	285.03	158.79	181.28	156.59	208.38	125.24	193.01	232.94	173.85	156.59	231.32	212.78	157.68	271.48	205.5	166.73	206.94	175.07	166.73
DCUN1D1	579.04	551.56	486.75	497.0	463.65	318.57	575.03	500.46	579.04	273.37	163.28	307.69	201.25	293.07	226.54	164.42	228.13	212.78	154.42	154.42	116.78	119.26	171.45	147.06	212.78	156.59	241.19	197.09	237.86	145.02	177.53	201.25	190.34	260.38	183.82	144.01	229.72	264.03	253.23	287.01	214.27	153.34	178.77	206.94	123.5	281.09	199.85	287.01	173.85	193.01	217.27	126.12	152.28	189.02	209.84	186.4	237.86	329.84	149.12	146.03	214.27	295.11	193.01	175.07	253.23	237.86	132.44	232.94	320.8	185.11	339.14	165.57	114.36	165.57	228.13	223.41	217.27	181.28	177.53	140.04	171.45	262.2	134.3	262.2	202.66	312.0	153.34	170.25	157.68	171.45	201.25	204.07	403.5	429.54	265.87	368.65	463.65	371.22	555.41	547.75	273.37	329.84	325.29	332.14
DENND5B	256.78	153.34	150.17	234.57	176.29	128.79	153.34	206.94	185.11	74.06	47.17	158.79	47.17	53.19	52.82	37.85	39.79	36.79	45.53	57.08	37.59	34.02	74.58	44.25	40.36	50.27	73.54	60.82	56.28	50.63	40.64	65.26	50.27	84.04	33.54	34.26	65.26	55.49	116.78	46.5	63.45	51.35	30.56	51.35	40.36	66.65	136.19	90.14	27.25	76.17	41.22	38.12	64.8	61.68	49.56	34.26	56.28	72.01	40.93	49.56	39.79	80.01	69.03	35.76	41.22	57.08	52.45	36.53	83.45	52.45	48.52	40.64	29.91	35.76	42.41	83.45	51.71	34.02	45.85	88.26	40.93	45.21	57.49	58.71	39.22	76.17	63.89	40.64	63.0	58.71	33.3	56.68	88.88	59.13	100.13	55.89	80.01	57.89	82.87	102.25	66.65	41.81	112.77	34.26
DHX40	1023.0	1242.34	1208.34	988.12	1674.06	1378.57	713.11	1617.0	819.3	540.19	361.04	620.67	493.56	612.11	476.71	334.46	521.76	366.09	426.57	395.18	348.71	277.2	718.08	420.68	514.56	320.8	500.46	441.64	497.0	371.22	466.88	423.61	457.25	511.0	435.55	403.5	432.53	669.92	532.74	555.41	473.41	373.81	447.82	412.0	305.55	583.07	536.45	503.95	417.77	351.14	486.75	293.07	371.22	457.25	559.28	429.54	529.06	591.22	470.14	307.69	486.75	525.39	567.1	460.44	435.55	503.95	299.25	521.76	567.1	371.22	575.03	346.29	299.25	339.14	463.65	486.75	490.14	414.87	441.64	368.65	450.94	466.88	384.34	769.69	493.56	507.46	397.93	444.72	457.25	361.04	307.69	400.71	808.0	563.18	1001.93	708.18	830.75	780.44	1008.9	860.08	775.05	633.73	785.88	620.67
DIP2C	575.03	447.82	389.72	395.18	423.61	414.87	182.55	325.29	397.93	199.85	57.49	177.53	64.8	194.36	105.89	51.71	74.06	74.58	73.03	56.28	36.79	34.26	157.68	148.09	86.43	44.57	66.65	303.44	76.17	60.82	205.5	70.01	63.89	249.73	45.53	43.94	87.65	80.01	361.04	167.9	183.82	70.51	62.12	84.04	36.27	92.7	134.3	78.34	144.01	53.19	80.57	38.95	46.5	82.87	85.22	87.65	68.07	140.04	113.56	58.3	70.51	223.41	148.09	45.85	66.18	64.34	58.3	79.45	189.02	48.87	96.01	55.49	47.84	70.01	42.41	80.01	35.25	43.32	73.54	50.27	53.95	114.36	75.64	91.41	96.68	113.56	48.52	75.11	102.97	58.71	70.51	58.71	163.28	111.21	346.29	167.9	198.47	275.28	193.01	147.06	176.29	224.97	71.5	141.02
DLAT	693.58	934.76	651.58	728.11	921.88	713.11	723.08	728.11	563.18	397.93	353.59	1066.48	447.82	551.56	363.56	316.37	438.59	351.14	395.18	379.04	279.14	249.73	764.36	563.18	366.09	253.23	500.46	780.44	400.71	289.02	343.89	293.07	376.41	563.18	346.29	226.54	454.09	423.61	753.83	412.0	432.53	371.22	320.8	457.25	281.09	543.96	450.94	389.72	323.03	329.84	438.59	279.14	316.37	361.04	320.8	435.55	379.04	476.71	285.03	327.56	379.04	595.34	624.99	307.69	412.0	403.5	253.23	363.56	438.59	403.5	429.54	279.14	329.84	420.68	414.87	429.54	444.72	400.71	361.04	348.71	353.59	336.79	256.78	389.72	420.68	426.57	283.05	392.44	490.14	366.09	426.57	389.72	423.61	642.59	314.17	733.19	555.41	551.56	603.67	525.39	483.38	575.03	532.74	583.07
DLD	1844.76	3564.78	1540.37	3103.19	4543.8	3303.0	3614.55	3124.78	3768.09	974.5	738.29	3690.52	665.29	1208.34	769.69	769.69	878.17	796.86	647.07	665.29	599.49	429.54	3589.58	1073.91	802.41	529.06	872.1	1844.76	819.3	476.71	878.17	791.35	665.29	1508.65	603.67	651.58	872.1	934.76	2209.26	860.08	1417.35	1268.46	728.11	902.89	555.41	620.67	1066.48	819.3	1001.93	571.05	896.64	547.75	624.99	791.35	830.75	738.29	743.43	1159.07	802.41	665.29	703.28	1487.87	1721.16	665.29	743.43	884.29	429.54	890.44	2485.67	733.19	848.22	825.0	480.04	796.86	738.29	780.44	723.08	860.08	769.69	620.67	830.75	743.43	514.56	1044.52	743.43	915.51	647.07	819.3	1159.07	759.08	866.07	836.53	915.51	1572.76	941.27	1685.71	1407.55	1639.59	1340.84	1467.37	1304.15	1304.15	1037.29	1447.15
DLG1	825.0	1844.76	718.08	1331.57	1388.16	1127.35	890.44	1477.58	1498.22	896.64	447.82	854.13	514.56	890.44	638.15	305.55	647.07	603.67	540.19	400.71	400.71	305.55	1059.11	599.49	674.59	493.56	551.56	656.11	647.07	389.72	595.34	540.19	483.38	743.43	708.18	429.54	583.07	1015.93	1015.93	629.35	665.29	476.71	525.39	547.75	334.46	703.28	733.19	591.22	521.76	450.94	674.59	361.04	476.71	629.35	743.43	493.56	642.59	995.0	381.68	450.94	708.18	988.12	860.08	466.88	688.78	693.58	417.77	698.41	1259.69	470.14	974.5	503.95	392.44	493.56	599.49	679.29	500.46	587.13	616.37	351.14	612.11	693.58	435.55	738.29	718.08	825.0	426.57	575.03	591.22	500.46	555.41	536.45	1135.2	1313.23	679.29	753.83	872.1	1059.11	1159.07	1023.0	934.76	1073.91	1233.75	995.0
DNAJA2	1757.34	1199.98	1350.18	1030.12	1540.37	1295.13	909.17	1199.98	915.51	909.17	921.88	1806.78	902.89	1044.52	860.08	884.29	928.3	934.76	890.44	819.3	688.78	808.0	1119.56	890.44	796.86	728.11	1001.93	981.29	866.07	723.08	884.29	796.86	878.17	1081.39	764.36	624.99	928.3	1001.93	1073.91	967.76	915.51	941.27	813.63	866.07	624.99	878.17	896.64	934.76	769.69	941.27	915.51	738.29	825.0	825.0	743.43	802.41	884.29	915.51	791.35	1059.11	909.17	1037.29	1259.69	743.43	941.27	981.29	785.88	915.51	1233.75	836.53	890.44	915.51	684.02	842.36	872.1	954.43	1001.93	866.07	764.36	703.28	825.0	764.36	728.11	981.29	802.41	1023.0	748.61	764.36	1015.93	890.44	884.29	860.08	1111.82	1183.45	1259.69	1059.11	1119.56	921.88	1111.82	1037.29	1159.07	1135.2	1159.07	1059.11
DNAL1	189.02	332.14	291.04	273.37	607.87	327.56	223.41	323.03	339.14	164.42	102.97	251.48	80.57	194.36	143.01	107.38	108.9	132.44	134.3	105.15	100.13	90.14	204.07	118.43	119.26	100.13	102.97	177.53	139.07	82.29	135.24	124.37	90.14	185.11	108.9	74.06	111.99	214.27	178.77	137.14	177.53	120.94	131.51	106.63	108.14	116.78	145.02	150.17	120.1	111.99	152.28	153.34	92.05	121.79	146.03	126.12	106.63	209.84	114.36	116.78	113.56	241.19	187.71	91.41	108.9	152.28	81.14	176.29	228.13	97.36	190.34	112.77	102.97	142.01	102.97	125.24	138.1	110.43	110.43	100.13	131.51	164.42	122.64	125.24	131.51	161.02	105.15	132.44	147.06	96.68	149.12	116.78	228.13	277.2	295.11	236.21	251.48	204.07	248.0	291.04	226.54	191.67	251.48	248.0
DSCR3	1183.45	890.44	1030.12	764.36	860.08	785.88	1143.1	748.61	1127.35	525.39	435.55	480.04	387.02	423.61	559.28	518.15	432.53	490.14	414.87	361.04	341.51	293.07	373.81	591.22	497.0	414.87	447.82	435.55	547.75	336.79	429.54	511.0	447.82	563.18	450.94	376.41	507.46	483.38	579.04	525.39	536.45	426.57	497.0	454.09	363.56	540.19	511.0	547.75	379.04	373.81	547.75	329.84	454.09	463.65	518.15	450.94	429.54	483.38	373.81	323.03	447.82	563.18	414.87	470.14	476.71	507.46	303.44	540.19	536.45	460.44	525.39	389.72	312.0	432.53	503.95	497.0	414.87	490.14	457.25	438.59	529.06	511.0	376.41	463.65	525.39	511.0	389.72	480.04	409.15	486.75	511.0	473.41	599.49	559.28	493.56	624.99	579.04	780.44	728.11	785.88	540.19	583.07	620.67	540.19
EGLN1	1437.15	872.1	1628.26	571.05	830.75	718.08	988.12	607.87	974.5	275.28	163.28	447.82	232.94	283.05	239.52	140.04	239.52	218.79	205.5	161.02	150.17	139.07	389.72	226.54	241.19	158.79	244.57	220.32	289.02	135.24	198.47	273.37	185.11	287.01	226.54	169.07	223.41	366.09	341.51	241.19	237.86	189.02	202.66	277.2	202.66	312.0	299.25	265.87	172.65	194.36	246.28	150.17	195.72	255.0	320.8	199.85	221.86	285.03	193.01	161.02	260.38	376.41	236.21	187.71	251.48	295.11	159.9	234.57	371.22	186.4	395.18	187.71	149.12	172.65	256.78	220.32	229.72	309.83	183.82	199.85	249.73	277.2	146.03	312.0	244.57	309.83	152.28	289.02	249.73	287.01	232.94	215.77	423.61	312.0	616.37	334.46	363.56	423.61	579.04	348.71	236.21	258.57	395.18	195.72
EXOC5	529.06	483.38	759.08	476.71	551.56	457.25	325.29	395.18	748.61	295.11	242.88	543.96	237.86	269.6	336.79	195.72	336.79	271.48	248.0	212.78	178.77	145.02	341.51	239.52	323.03	185.11	314.17	267.73	358.54	178.77	195.72	332.14	320.8	329.84	239.52	127.89	327.56	356.05	356.05	281.09	275.28	214.27	229.72	336.79	178.77	341.51	283.05	295.11	246.28	202.66	281.09	211.31	236.21	334.46	297.17	234.57	267.73	312.0	161.02	206.94	287.01	414.87	293.07	217.27	269.6	376.41	220.32	283.05	403.5	221.86	366.09	246.28	194.36	249.73	314.17	332.14	325.29	269.6	215.77	195.72	255.0	329.84	170.25	309.83	293.07	397.93	169.07	232.94	220.32	305.55	255.0	256.78	371.22	327.56	532.74	432.53	389.72	327.56	480.04	429.54	273.37	323.03	435.55	275.28
FAM114A2	486.75	307.69	423.61	358.54	460.44	336.79	267.73	316.37	334.46	229.72	177.53	314.17	149.12	275.28	231.32	147.06	186.4	195.72	189.02	162.14	136.19	107.38	255.0	201.25	217.27	129.69	214.27	248.0	232.94	130.6	186.4	206.94	205.5	212.78	198.47	134.3	204.07	223.41	303.44	262.2	236.21	182.55	185.11	181.28	125.24	265.87	189.02	279.14	193.01	155.5	244.57	121.79	177.53	195.72	242.88	169.07	206.94	285.03	173.85	143.01	181.28	348.71	246.28	153.34	201.25	193.01	110.43	215.77	346.29	187.71	249.73	161.02	100.13	155.5	185.11	214.27	171.45	171.45	170.25	193.01	198.47	204.07	146.03	267.73	214.27	248.0	144.01	208.38	189.02	194.36	145.02	187.71	314.17	339.14	395.18	409.15	332.14	320.8	466.88	242.88	258.57	389.72	297.17	336.79
FAM210A	406.31	154.42	603.67	217.27	327.56	361.04	297.17	353.59	381.68	218.79	114.36	287.01	166.73	215.77	214.27	191.67	169.07	178.77	215.77	125.24	144.01	118.43	173.85	198.47	224.97	129.69	155.5	177.53	206.94	111.21	130.6	163.28	169.07	281.09	127.89	186.4	189.02	232.94	223.41	269.6	187.71	187.71	178.77	155.5	106.63	185.11	177.53	161.02	149.12	94.01	251.48	84.63	146.03	187.71	208.38	149.12	194.36	189.02	180.02	116.78	159.9	214.27	161.02	151.22	164.42	231.32	90.14	275.28	181.28	123.5	239.52	90.14	112.77	182.55	172.65	187.71	163.28	172.65	187.71	115.16	172.65	214.27	115.97	211.31	177.53	218.79	143.01	186.4	138.1	189.02	172.65	172.65	218.79	194.36	361.04	251.48	211.31	249.73	323.03	273.37	221.86	212.78	232.94	197.09
FAM63B	234.57	281.09	277.2	223.41	267.73	297.17	71.0	248.0	316.37	98.73	83.45	113.56	98.04	112.77	126.12	63.45	107.38	88.26	98.04	70.51	73.54	31.45	70.51	61.68	92.7	72.01	111.21	141.02	124.37	76.71	81.71	98.73	111.99	141.02	75.11	63.45	108.9	176.29	139.07	90.14	82.87	75.11	77.25	105.89	55.89	121.79	135.24	125.24	58.71	72.52	96.68	67.12	87.65	121.79	142.01	91.41	127.0	161.02	85.22	78.34	92.7	159.9	76.71	73.03	109.66	137.14	73.54	136.19	91.41	83.45	164.42	84.63	68.55	76.17	93.35	108.14	99.43	74.06	77.79	63.0	115.16	133.36	57.89	102.25	118.43	146.03	82.29	91.41	89.51	80.57	63.89	87.03	217.27	228.13	111.21	140.04	180.02	212.78	234.57	226.54	133.36	116.78	170.25	127.89
FAM73A	525.39	305.55	591.22	264.03	283.05	277.2	265.87	281.09	361.04	125.24	72.01	173.85	127.0	193.01	130.6	43.32	134.3	104.42	94.67	64.8	57.89	47.17	212.78	111.21	100.83	76.17	130.6	156.59	182.55	63.89	100.83	105.89	95.34	145.02	125.24	62.56	123.5	267.73	186.4	176.29	124.37	67.12	115.97	132.44	37.85	165.57	155.5	115.97	83.45	62.56	113.56	48.52	75.64	123.5	169.07	106.63	147.06	190.34	58.3	59.97	141.02	217.27	113.56	79.45	138.1	157.68	47.17	148.09	221.86	75.11	224.97	87.65	63.45	67.12	128.79	136.19	96.01	108.9	133.36	62.12	119.26	175.07	55.49	177.53	152.28	187.71	65.26	104.42	98.73	90.77	114.36	84.63	273.37	279.14	173.85	258.57	285.03	275.28	417.77	271.48	332.14	255.0	218.79	151.22
FECH	733.19	400.71	503.95	830.75	723.08	511.0	791.35	684.02	571.05	547.75	141.02	264.03	176.29	511.0	204.07	206.94	215.77	206.94	171.45	140.04	175.07	107.38	417.77	447.82	267.73	130.6	236.21	476.71	346.29	141.02	358.54	283.05	202.66	234.57	281.09	190.34	228.13	460.44	583.07	339.14	392.44	246.28	289.02	260.38	141.02	348.71	281.09	237.86	356.05	173.85	336.79	85.82	186.4	212.78	309.83	191.67	220.32	490.14	241.19	163.28	178.77	343.89	314.17	162.14	279.14	281.09	113.56	287.01	497.0	163.28	307.69	180.02	139.07	195.72	239.52	318.57	143.01	162.14	221.86	212.78	231.32	307.69	135.24	287.01	239.52	329.84	171.45	232.94	211.31	157.68	237.86	197.09	397.93	540.19	277.2	361.04	454.09	476.71	463.65	514.56	591.22	466.88	441.64	511.0
FNDC3B	1388.16	1651.0	1096.5	2047.0	872.1	1073.91	688.78	2255.7	785.88	536.45	447.82	329.84	599.49	688.78	656.11	379.04	575.03	417.77	463.65	454.09	379.04	275.28	371.22	587.13	629.35	371.22	753.83	638.15	775.05	507.46	438.59	830.75	551.56	543.96	583.07	253.23	684.02	785.88	500.46	575.03	423.61	379.04	486.75	642.59	373.81	638.15	575.03	555.41	444.72	381.68	540.19	348.71	500.46	669.92	571.05	532.74	612.11	819.3	368.65	409.15	642.59	753.83	397.93	435.55	563.18	642.59	423.61	490.14	638.15	511.0	679.29	417.77	438.59	420.68	620.67	915.51	612.11	571.05	525.39	647.07	567.1	718.08	353.59	665.29	647.07	808.0	406.31	543.96	514.56	476.71	540.19	571.05	624.99	1023.0	1073.91	860.08	651.58	612.11	1023.0	669.92	708.18	1051.79	825.0	819.3
FTO	2400.97	1359.57	1697.45	1175.27	1769.57	1030.12	518.15	1498.22	921.88	575.03	327.56	693.58	403.5	599.49	503.95	248.0	435.55	351.14	325.29	332.14	271.48	291.04	454.09	414.87	470.14	323.03	463.65	376.41	540.19	283.05	420.68	457.25	429.54	414.87	503.95	303.44	460.44	679.29	460.44	536.45	503.95	327.56	403.5	476.71	198.47	713.11	429.54	450.94	366.09	205.5	297.17	172.65	336.79	514.56	547.75	303.44	514.56	665.29	248.0	281.09	470.14	674.59	536.45	332.14	444.72	497.0	275.28	417.77	638.15	293.07	743.43	329.84	206.94	228.13	412.0	486.75	353.59	429.54	441.64	318.57	334.46	595.34	291.04	595.34	563.18	529.06	249.73	397.93	387.02	403.5	318.57	389.72	684.02	830.75	473.41	1059.11	941.27	872.1	995.0	909.17	836.53	656.11	796.86	785.88
HELZ	273.37	212.78	178.77	279.14	253.23	264.03	99.43	220.32	204.07	124.37	81.14	136.19	90.77	185.11	103.69	68.55	96.01	85.22	83.45	88.26	59.97	49.56	121.79	83.45	102.97	63.0	108.9	100.13	117.6	90.14	99.43	129.69	94.01	108.14	108.14	57.89	107.38	164.42	126.12	128.79	85.82	61.25	78.34	98.73	57.08	143.01	95.34	154.42	56.68	85.82	94.01	65.26	80.01	117.6	128.79	90.14	115.16	157.68	79.45	68.55	108.9	187.71	124.37	78.89	90.14	116.78	64.34	105.15	191.67	84.04	151.22	81.14	73.03	68.07	77.25	124.37	89.51	92.05	95.34	73.03	102.97	130.6	70.51	128.79	107.38	135.24	78.34	94.01	85.22	77.25	74.58	78.89	251.48	138.1	221.86	191.67	139.07	214.27	273.37	151.22	164.42	165.57	208.38	142.01
HSPB2-C11orf52	40.64	158.79	64.34	299.25	236.21	77.25	212.78	123.5	171.45	18.03	3.82	33.06	8.0	18.03	25.72	10.08	0.0	36.01	18.16	4.24	7.88	0.0	4.94	17.64	22.75	12.74	20.56	26.86	29.48	4.13	13.83	40.36	0.0	31.0	27.25	3.96	18.97	14.67	36.27	15.34	0.0	5.96	18.03	15.91	0.0	70.01	36.27	17.51	14.56	15.34	0.0	11.64	5.5	24.63	15.68	63.0	12.45	25.17	0.0	14.03	12.83	27.25	25.17	13.12	19.97	27.05	3.32	12.27	14.35	36.01	34.75	4.82	9.48	0.0	11.73	26.47	24.81	2.61	17.38	28.65	19.11	27.05	5.23	18.97	1.17	16.03	25.35	12.93	4.58	0.0	24.46	16.75	30.78	47.84	29.06	41.22	71.5	96.68	75.11	36.27	62.56	41.22	31.22	30.78
INTS2	173.85	115.16	123.5	153.34	199.85	166.73	78.34	149.12	130.6	59.55	53.57	71.5	41.81	85.22	47.84	36.27	60.82	55.49	38.12	42.41	28.65	15.91	63.45	40.36	57.49	27.25	54.33	63.89	65.72	37.05	49.21	59.55	46.18	55.49	52.82	31.45	65.26	90.77	57.89	52.45	39.5	36.01	41.22	55.1	34.02	65.72	52.82	69.52	33.54	33.78	54.33	25.35	50.27	47.5	72.52	49.91	59.55	70.51	38.4	32.59	68.55	61.68	50.63	42.41	46.18	61.68	31.22	57.08	78.34	51.35	74.06	40.93	29.91	31.0	52.08	55.89	53.95	43.63	47.17	45.53	63.89	45.85	32.82	111.99	54.72	73.54	45.21	43.32	44.25	41.52	42.11	48.87	106.63	96.68	53.57	111.21	92.7	81.14	115.97	91.41	68.07	77.79	77.25	92.05
IPO8	878.17	743.43	679.29	802.41	525.39	500.46	466.88	830.75	679.29	341.51	275.28	409.15	314.17	438.59	351.14	249.73	358.54	339.14	249.73	262.2	269.6	182.55	447.82	277.2	376.41	234.57	346.29	395.18	376.41	253.23	289.02	414.87	334.46	384.34	351.14	256.78	417.77	493.56	473.41	356.05	341.51	264.03	307.69	371.22	226.54	417.77	320.8	376.41	289.02	220.32	325.29	212.78	305.55	392.44	417.77	307.69	400.71	438.59	295.11	271.48	358.54	444.72	358.54	293.07	348.71	392.44	236.21	339.14	518.15	285.03	525.39	316.37	232.94	211.31	303.44	353.59	303.44	307.69	309.83	271.48	358.54	327.56	249.73	381.68	343.89	435.55	260.38	329.84	305.55	303.44	251.48	323.03	551.56	483.38	395.18	607.87	571.05	624.99	633.73	470.14	529.06	547.75	426.57	466.88
IREB2	642.59	476.71	563.18	454.09	473.41	409.15	289.02	371.22	587.13	314.17	234.57	403.5	255.0	417.77	265.87	185.11	293.07	232.94	236.21	208.38	169.07	108.14	251.48	291.04	267.73	176.29	303.44	327.56	307.69	193.01	299.25	260.38	218.79	307.69	229.72	180.02	301.33	463.65	332.14	329.84	279.14	205.5	234.57	279.14	151.22	307.69	325.29	312.0	223.41	202.66	264.03	153.34	204.07	241.19	353.59	237.86	291.04	353.59	229.72	199.85	329.84	423.61	248.0	215.77	265.87	312.0	169.07	305.55	397.93	226.54	395.18	204.07	183.82	220.32	237.86	295.11	229.72	255.0	256.78	190.34	283.05	301.33	175.07	320.8	271.48	361.04	208.38	242.88	237.86	231.32	236.21	246.28	547.75	368.65	406.31	447.82	420.68	563.18	450.94	414.87	473.41	591.22	341.51	351.14
ITFG1	2032.85	4010.71	1685.71	2627.46	2997.45	2895.31	1295.13	2720.15	2502.97	1015.93	1268.46	1950.0	1331.57	1259.69	1447.15	1216.75	1199.98	1594.73	1447.15	1015.93	1127.35	995.0	1388.16	1437.15	1457.23	1369.04	1350.18	1427.22	1208.34	693.58	1104.13	743.43	1096.5	1427.22	1081.39	1199.98	1199.98	1467.37	1733.13	890.44	1350.18	1277.29	1286.18	1191.69	915.51	1242.34	1561.89	1175.27	1167.14	941.27	1519.15	995.0	1066.48	1167.14	1268.46	1242.34	1051.79	1467.37	1030.12	981.29	1417.35	1427.22	1477.58	1277.29	1369.04	1167.14	743.43	1331.57	1832.01	1151.06	1617.0	1073.91	902.89	1781.89	1540.37	1096.5	1487.87	1151.06	1397.83	1037.29	1304.15	1135.2	1183.45	1023.0	1096.5	1295.13	947.83	1286.18	1199.98	854.13	1674.06	1350.18	1340.84	1819.35	1199.98	1617.0	1651.0	1674.06	1745.2	2133.97	1477.58	1331.57	1447.15	1477.58
