	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.A2.A4S3.01A.21R.A266.07	TCGA.A7.A4SA.01A.11R.A266.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.AR.A5QP.01A.11R.A28M.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.A2.A3XS.01A.11R.A22U.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.BH.A0DG.11A.43R.A12P.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0BT.11A.21R.A12P.07	GTEX.WYBS.0926.SM.3NM94	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.T2IS.1526.SM.32QPR	GTEX.ZF29.1926.SM.5S2P1	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.13QIC.2326.SM.5LU5N	TCGA.W5.AA2U.11A.11R.A41I.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A39V.11A.11R.A213.07	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.11NV4.1326.SM.5HL6V	GTEX.145LU.1326.SM.5LU9N	GTEX.SJXC.1226.SM.4DM78	TCGA.38.4625.01A.01R.1206.07.1
RSL1D1	3742.05	5517.27	4419.52	4210.15	2119.22	3467.27	2758.13	2627.46	4358.66	2163.77	4095.0	2240.11	4704.07	3794.3	6471.02	4038.61	4328.55	3168.41	3419.52	3716.2	8191.0	4298.64	3039.3	5517.27	4239.45	6164.49	4419.52	4419.52	1674.06	1183.45	1259.69	1268.46	1073.91	1037.29	954.43	808.0	684.02	769.69	332.14
RTCB	1175.27	1870.53	1277.29	1259.69	1572.76	1870.53	1286.18	1572.76	1135.2	1950.0	1119.56	1359.57	2018.8	1407.55	1757.34	1685.71	1991.0	1427.22	2148.82	2303.12	1991.0	2178.83	1832.01	2148.82	2075.59	1950.0	2417.67	1781.89	921.88	753.83	1104.13	967.76	1233.75	941.27	896.64	961.07	791.35	753.83	397.93
SESTD1	454.09	928.3	1322.37	836.53	389.72	785.88	1111.82	947.83	412.0	381.68	708.18	343.89	665.29	743.43	1167.14	1037.29	587.13	1151.06	743.43	1340.84	1159.07	1639.59	759.08	1397.83	612.11	2835.7	738.29	1143.1	220.32	93.35	142.01	91.41	100.13	115.97	50.63	54.33	124.37	130.6	40.64
SOS2	285.03	241.19	493.56	232.94	329.84	426.57	297.17	371.22	334.46	209.84	353.59	283.05	514.56	183.82	703.28	532.74	493.56	563.18	638.15	642.59	665.29	1175.27	470.14	209.84	325.29	483.38	441.64	633.73	134.3	102.97	80.57	104.42	111.21	105.89	66.65	145.02	155.5	78.89	0.53
SPIRE1	182.55	199.85	289.02	536.45	201.25	312.0	229.72	305.55	198.47	220.32	291.04	183.82	255.0	126.12	547.75	339.14	327.56	629.35	223.41	414.87	764.36	595.34	234.57	381.68	116.78	896.64	198.47	450.94	29.48	41.52	43.94	23.59	59.13	104.42	45.53	13.32	35.25	44.57	0.44
SRRD	373.81	511.0	444.72	271.48	336.79	500.46	336.79	371.22	285.03	473.41	255.0	351.14	395.18	483.38	493.56	518.15	483.38	236.21	603.67	389.72	147.06	435.55	348.71	616.37	409.15	339.14	450.94	376.41	305.55	181.28	242.88	209.84	211.31	212.78	275.28	239.52	142.01	177.53	96.68
TFAM	327.56	460.44	518.15	688.78	417.77	775.05	480.04	376.41	438.59	450.94	532.74	258.57	620.67	332.14	842.36	642.59	693.58	591.22	638.15	775.05	647.07	860.08	473.41	642.59	583.07	915.51	884.29	854.13	253.23	214.27	242.88	256.78	242.88	214.27	212.78	148.09	171.45	231.32	135.24
TGS1	175.07	351.14	1051.79	466.88	241.19	256.78	231.32	314.17	264.03	154.42	232.94	329.84	264.03	148.09	329.84	327.56	260.38	244.57	389.72	260.38	291.04	518.15	244.57	314.17	236.21	255.0	248.0	283.05	88.26	73.54	90.77	62.12	62.56	151.22	111.99	62.12	103.69	93.35	0.25
TNPO3	303.44	420.68	616.37	713.11	587.13	620.67	490.14	490.14	525.39	361.04	529.06	607.87	500.46	423.61	674.59	493.56	547.75	381.68	684.02	559.28	400.71	536.45	493.56	228.13	241.19	316.37	279.14	665.29	194.36	181.28	149.12	185.11	169.07	127.89	141.02	151.22	134.3	159.9	0.51
TOMM20	2664.15	3349.13	4123.49	2777.33	2255.7	4123.49	2777.33	2796.65	3614.55	2875.3	5633.22	2224.63	4802.93	7081.29	5006.93	3928.15	3820.7	3372.43	3124.78	5183.54	7382.04	5594.3	2384.37	3280.18	8479.89	4268.94	6426.31	3847.29	2351.53	1259.69	1447.15	1208.34	1286.18	1030.12	1304.15	1081.39	775.05	1175.27	0.95
