	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.IA.A83V.01A.11R.A355.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.DD.AACX.01A.11R.A41C.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.A4NR.01A.11R.A311.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.K7.A5RG.01A.11R.A28V.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.DD.AACZ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.CC.5262.01A.01R.A131.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AACP.01A.11R.A41C.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.ED.A7XP.01A.11R.A352.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.MI.A75H.01A.11R.A32O.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.DD.A1EL.01A.11R.A155.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.EP.A2KC.01A.11R.A213.07	TCGA.CC.A5UE.01A.11R.A28V.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.GJ.A6C0.01A.12R.A311.07	TCGA.UB.A7MD.01A.12R.A352.07	TCGA.MI.A75E.01A.11R.A32O.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.ZYT6.0626.SM.5E45V	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.1399R.1226.SM.5P9GF	GTEX.Q734.0326.SM.48U15	GTEX.R53T.0326.SM.48FEC	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.75.6203.01A.11R.1755.07	TCGA.38.4631.01A.01R.1755.07	TCGA.95.7043.01A.11R.1949.07	TCGA.91.6829.11A.01R.1858.07	TCGA.91.6836.11A.01R.1858.07	TCGA.38.4632.11A.01R.1755.07	TCGA.38.4626.11A.01R.1758.07	GTEX.P44H.1126.SM.48TBU	GTEX.12WSG.0326.SM.5FQU3	GTEX.13D11.0326.SM.5LZXX	GTEX.1313W.0926.SM.5EQ56	GTEX.ZZPU.0526.SM.5E44U	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.QV44.0926.SM.2S1RH	GTEX.ZYFG.0226.SM.5GIDT	GTEX.P4QR.1026.SM.2I5GP	GTEX.ZTTD.1126.SM.51MRP	GTEX.S4Q7.0426.SM.3K2BJ	GTEX.V1D1.0826.SM.3P5ZA	GTEX.YB5E.0726.SM.4VDSH	GTEX.139YR.0926.SM.5LZYB	GTEX.XUJ4.1426.SM.4BONT	GTEX.ZAB4.0626.SM.5CVN3	GTEX.139T6.0426.SM.5IJEM	GTEX.R55G.0826.SM.2TC5U	GTEX.12696.1026.SM.5FQUV	GTEX.13FLV.0426.SM.5KLZA	GTEX.ZAB5.0626.SM.5PNVB	GTEX.P78B.0926.SM.2I5FA	GTEX.132QS.0726.SM.5IJE9	GTEX.PWOO.0726.SM.2I3EB	GTEX.11NUK.0826.SM.5HL4U	GTEX.WH7G.0726.SM.3NMBM	GTEX.Y8E4.0526.SM.4V6GC	GTEX.WVJS.0826.SM.4MVNR	GTEX.ZPIC.0626.SM.57WDY	GTEX.131XE.0726.SM.5HL9K	GTEX.11P81.0226.SM.5HL5M	GTEX.T8EM.0326.SM.3DB7F	GTEX.XBED.0826.SM.47JYC	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.SUCS.0626.SM.32PM5	GTEX.NFK9.1026.SM.2HMK1	GTEX.13OW8.1726.SM.5L3GO	GTEX.14A6H.0526.SM.5NQAZ	TCGA.18.3411.01A.01R.0980.07	TCGA.77.8007.11A.01R.2187.07	TCGA.AJ.A3BG.01A.11R.A19W.07
CCDC82	275.28	312.0	197.09	81.71	93.35	27.64	55.89	129.69	68.07	226.54	214.27	269.6	379.04	165.57	121.79	193.01	166.73	237.86	150.17	105.15	228.13	123.5	267.73	400.71	231.32	194.36	246.28	191.67	236.21	214.27	171.45	320.8	101.54	379.04	353.59	129.69	135.24	275.28	406.31	275.28	148.09	271.48	164.42	361.04	214.27	264.03	173.85	138.1	95.34	316.37	237.86	189.02	101.54	127.0	181.28	162.14	150.17	775.05	463.65	248.0	371.22	454.09	447.82	490.14	376.41	1175.27	759.08	423.61	320.8	733.19	599.49	206.94	500.46	409.15	848.22	267.73	376.41	651.58	246.28	406.31	500.46	529.06	429.54	728.11	409.15	381.68	301.33	444.72	228.13	1044.52	713.11	381.68	336.79	376.41	470.14	571.05	1457.23	373.81	460.44	339.14	403.5	420.68	417.77	237.86	476.71	80.57
CDH5	152.28	98.73	836.53	95.34	149.12	423.61	193.01	103.69	98.04	97.36	275.28	361.04	63.45	279.14	190.34	112.77	239.52	223.41	237.86	208.38	334.46	167.9	271.48	107.38	217.27	202.66	400.71	146.03	153.34	65.72	206.94	429.54	265.87	587.13	195.72	36.53	327.56	212.78	129.69	571.05	81.14	217.27	61.68	616.37	136.19	403.5	325.29	102.97	97.36	169.07	397.93	94.67	92.7	301.33	420.68	387.02	305.55	1304.15	1674.06	62.56	291.04	1073.91	1651.0	1066.48	1030.12	2287.2	5995.9	2224.63	457.25	4152.18	255.0	902.89	842.36	1936.53	1477.58	1477.58	3515.68	3146.52	1135.2	2224.63	1447.15	3665.02	1794.29	2004.85	4210.15	3614.55	2032.85	1628.26	325.29	1457.23	1819.35	2148.82	1331.57	1936.53	2417.67	2104.58	1359.57	1477.58	1540.37	872.1	1923.14	1359.57	1594.73	84.04	1059.11	115.16
CDK17	246.28	171.45	206.94	113.56	131.51	89.51	185.11	115.16	152.28	126.12	150.17	149.12	146.03	104.42	120.1	113.56	106.63	121.79	87.65	136.19	234.57	105.15	228.13	93.35	208.38	111.99	125.24	108.14	88.88	74.06	100.83	194.36	65.26	228.13	136.19	53.19	117.6	70.51	72.01	205.5	68.07	108.9	78.34	214.27	181.28	135.24	84.63	130.6	220.32	112.77	157.68	145.02	147.06	76.17	110.43	152.28	116.78	409.15	363.56	206.94	156.59	341.51	406.31	371.22	361.04	759.08	559.28	232.94	583.07	275.28	414.87	414.87	275.28	718.08	387.02	223.41	305.55	295.11	395.18	376.41	624.99	281.09	387.02	457.25	928.3	406.31	414.87	309.83	202.66	514.56	260.38	332.14	395.18	244.57	486.75	368.65	612.11	371.22	353.59	214.27	473.41	417.77	432.53	236.21	232.94	84.04
CEP120	124.37	113.56	131.51	65.72	44.57	16.15	73.03	60.82	41.22	80.01	72.52	78.89	59.97	48.18	46.5	43.63	66.18	67.12	45.21	55.89	83.45	34.26	150.17	49.56	115.97	56.68	64.34	91.41	62.56	81.71	50.63	105.89	36.53	99.43	100.83	25.72	73.54	127.0	74.06	81.14	44.25	82.87	62.56	96.01	90.77	65.26	43.63	55.1	58.71	175.07	96.01	117.6	64.34	73.03	107.38	102.25	78.34	137.14	185.11	77.79	54.33	182.55	224.97	127.0	149.12	201.25	277.2	149.12	154.42	241.19	253.23	109.66	218.79	209.84	277.2	118.43	194.36	223.41	187.71	161.02	215.77	169.07	197.09	346.29	173.85	283.05	275.28	201.25	101.54	262.2	218.79	297.17	208.38	201.25	239.52	224.97	271.48	205.5	255.0	211.31	249.73	320.8	149.12	63.0	136.19	50.98
CHD2	307.69	267.73	297.17	139.07	136.19	101.54	231.32	193.01	162.14	246.28	267.73	137.14	162.14	182.55	181.28	120.1	198.47	198.47	150.17	161.02	271.48	171.45	332.14	244.57	267.73	120.1	147.06	172.65	173.85	242.88	173.85	256.78	171.45	291.04	248.0	103.69	155.5	171.45	165.57	201.25	111.99	223.41	246.28	234.57	223.41	232.94	153.34	217.27	181.28	215.77	143.01	150.17	146.03	202.66	189.02	236.21	182.55	599.49	450.94	248.0	289.02	480.04	674.59	229.72	358.54	941.27	595.34	351.14	563.18	325.29	665.29	336.79	483.38	738.29	379.04	312.0	334.46	358.54	543.96	559.28	567.1	429.54	368.65	583.07	1119.56	429.54	325.29	579.04	353.59	1023.0	480.04	348.71	334.46	277.2	341.51	500.46	698.41	392.44	521.76	476.71	1250.98	1104.13	381.68	256.78	368.65	211.31
CLASP2	232.94	201.25	189.02	285.03	175.07	112.77	199.85	169.07	110.43	190.34	129.69	92.7	152.28	114.36	82.87	115.16	105.89	129.69	68.07	82.29	100.83	56.68	224.97	105.15	155.5	96.68	88.26	118.43	102.97	149.12	136.19	180.02	85.22	152.28	256.78	64.8	90.14	149.12	151.22	147.06	71.0	142.01	100.13	183.82	145.02	90.77	98.73	83.45	71.5	67.12	172.65	86.43	68.07	58.3	134.3	163.28	152.28	273.37	255.0	204.07	127.89	267.73	371.22	314.17	251.48	412.0	429.54	273.37	236.21	336.79	346.29	217.27	414.87	417.77	305.55	220.32	249.73	309.83	228.13	490.14	341.51	497.0	358.54	567.1	486.75	518.15	373.81	346.29	228.13	551.56	334.46	323.03	273.37	323.03	314.17	363.56	389.72	299.25	493.56	356.05	698.41	684.02	251.48	180.02	316.37	105.89
CLEC14A	159.9	113.56	748.61	83.45	142.01	384.34	181.28	108.9	90.14	87.65	316.37	447.82	50.98	325.29	193.01	104.42	142.01	182.55	457.25	275.28	264.03	289.02	327.56	96.68	129.69	251.48	616.37	180.02	206.94	88.88	162.14	371.22	332.14	708.18	191.67	60.39	363.56	190.34	128.79	624.99	70.01	226.54	118.43	738.29	90.77	379.04	450.94	75.11	64.34	100.83	191.67	75.64	103.69	112.77	208.38	198.47	155.5	1081.39	1733.13	82.29	297.17	718.08	1151.06	1277.29	878.17	3212.66	3146.52	1167.14	249.73	1923.14	802.41	483.38	1350.18	1044.52	2520.38	1745.2	1991.0	3124.78	708.18	1819.35	1508.65	2555.58	1685.71	2739.08	902.89	2796.65	1733.13	1143.1	669.92	2701.35	2627.46	2367.9	854.13	1923.14	2224.63	1447.15	1950.0	1745.2	3467.27	1529.73	3303.0	1832.01	2047.0	110.43	1199.98	155.5
CNOT6	189.02	167.9	140.04	161.02	125.24	69.03	229.72	144.01	132.44	66.18	98.73	66.65	142.01	96.01	62.12	180.02	72.01	147.06	63.0	50.27	183.82	44.57	187.71	68.07	185.11	146.03	103.69	127.89	100.13	142.01	112.77	229.72	77.25	99.43	152.28	141.02	44.89	136.19	149.12	112.77	77.79	109.66	102.97	141.02	95.34	59.13	50.27	63.0	36.79	45.21	81.14	20.56	30.12	35.0	36.79	66.18	88.88	253.23	249.73	111.21	152.28	234.57	281.09	232.94	166.73	271.48	409.15	218.79	267.73	312.0	185.11	232.94	190.34	299.25	197.09	156.59	265.87	208.38	218.79	190.34	305.55	212.78	297.17	258.57	199.85	356.05	275.28	183.82	109.66	234.57	293.07	251.48	178.77	239.52	363.56	351.14	420.68	264.03	312.0	150.17	204.07	144.01	303.44	102.97	169.07	135.24
COL13A1	11.91	28.86	92.7	2.39	22.75	12.27	1.53	20.41	10.55	1.01	30.34	34.75	13.42	25.72	6.31	3.06	21.47	4.06	18.84	7.82	19.53	8.19	23.42	2.07	5.63	11.04	32.36	11.04	5.02	2.12	52.45	8.45	7.94	30.78	3.99	2.1	6.62	0.57	2.94	40.07	2.86	19.53	2.71	65.26	8.99	25.35	13.32	8.65	10.71	11.47	16.39	0.97	7.94	5.06	17.51	19.68	3.63	105.89	111.21	12.93	6.57	60.82	132.44	92.7	85.82	143.01	152.28	61.25	171.45	191.67	75.64	50.98	130.6	45.53	133.36	56.68	301.33	264.03	60.82	161.02	229.72	253.23	116.78	323.03	579.04	412.0	255.0	127.0	84.04	438.59	143.01	228.13	656.11	94.67	305.55	139.07	102.97	64.8	303.44	171.45	229.72	84.04	295.11	38.4	146.03	13.93
CREBBP	256.78	215.77	269.6	248.0	205.5	173.85	384.34	262.2	201.25	201.25	201.25	217.27	139.07	190.34	194.36	123.5	273.37	151.22	133.36	156.59	189.02	98.04	358.54	212.78	135.24	218.79	98.04	173.85	224.97	155.5	218.79	248.0	158.79	223.41	500.46	95.34	169.07	264.03	146.03	177.53	98.73	246.28	94.67	248.0	142.01	237.86	173.85	209.84	181.28	158.79	98.73	140.04	119.26	164.42	228.13	361.04	217.27	403.5	426.57	253.23	332.14	325.29	540.19	220.32	237.86	802.41	591.22	281.09	187.71	339.14	381.68	312.0	514.56	825.0	191.67	209.84	307.69	260.38	363.56	457.25	450.94	403.5	429.54	743.43	406.31	674.59	406.31	587.13	336.79	728.11	267.73	368.65	248.0	293.07	406.31	473.41	480.04	414.87	457.25	444.72	1508.65	514.56	351.14	187.71	269.6	150.17
DCAF5	426.57	387.02	414.87	273.37	318.57	251.48	463.65	303.44	289.02	190.34	463.65	329.84	202.66	205.5	204.07	441.64	435.55	454.09	244.57	226.54	387.02	253.23	351.14	392.44	249.73	249.73	275.28	305.55	343.89	307.69	303.44	336.79	253.23	339.14	368.65	205.5	293.07	201.25	175.07	307.69	271.48	417.77	205.5	381.68	476.71	323.03	279.14	438.59	363.56	409.15	543.96	253.23	358.54	341.51	444.72	444.72	441.64	587.13	633.73	314.17	351.14	775.05	660.68	463.65	529.06	1277.29	830.75	312.0	1242.34	420.68	647.07	669.92	607.87	536.45	493.56	353.59	583.07	454.09	384.34	718.08	698.41	483.38	460.44	743.43	921.88	693.58	607.87	483.38	665.29	1639.59	476.71	651.58	854.13	483.38	620.67	629.35	483.38	540.19	543.96	629.35	769.69	1044.52	624.99	226.54	567.1	301.33
DCLRE1C	71.0	57.49	85.22	15.11	18.56	11.13	18.43	40.36	25.54	44.89	53.57	54.72	70.01	70.01	36.53	49.21	46.18	52.45	55.89	45.53	68.07	12.0	67.59	49.56	98.73	66.18	56.28	84.63	60.82	108.9	28.24	84.04	21.16	76.71	66.18	34.75	21.32	45.21	182.55	31.22	19.39	69.52	92.05	96.01	48.52	39.5	43.32	153.34	19.11	9.06	23.93	16.75	16.75	20.86	11.73	67.12	23.25	154.42	113.56	141.02	108.14	239.52	143.01	110.43	115.16	191.67	143.01	101.54	273.37	130.6	140.04	201.25	106.63	208.38	125.24	140.04	232.94	98.04	85.82	110.43	147.06	137.14	147.06	218.79	105.89	159.9	204.07	76.71	159.9	239.52	114.36	161.02	82.29	137.14	144.01	223.41	137.14	111.99	171.45	120.94	181.28	136.19	228.13	76.71	134.3	78.89
DOCK9	228.13	187.71	529.06	152.28	195.72	381.68	412.0	234.57	163.28	197.09	476.71	215.77	116.78	314.17	376.41	81.71	260.38	224.97	215.77	166.73	293.07	223.41	348.71	432.53	189.02	301.33	165.57	108.14	239.52	77.25	189.02	400.71	151.22	480.04	341.51	116.78	187.71	166.73	351.14	441.64	73.54	234.57	85.82	507.46	307.69	305.55	239.52	153.34	149.12	53.57	171.45	115.16	166.73	190.34	323.03	228.13	361.04	1030.12	1721.16	260.38	571.05	1143.1	1991.0	780.44	890.44	4010.71	2468.49	2555.58	417.77	2178.83	551.56	532.74	1819.35	2573.36	1030.12	1127.35	1487.87	2133.97	1313.23	3280.18	1388.16	2384.37	2240.11	1909.85	1628.26	1733.13	1030.12	3103.19	660.68	1427.22	2758.13	1023.0	693.58	1977.24	1437.15	1617.0	1923.14	4239.45	2417.67	1883.54	3515.68	4038.61	759.08	414.87	872.1	215.77
DPP8	170.25	109.66	180.02	127.0	127.0	48.52	129.69	99.43	82.87	130.6	92.05	64.8	68.07	99.43	65.26	81.14	92.7	89.51	59.97	72.52	157.68	65.26	173.85	78.34	146.03	85.22	92.7	61.25	127.89	156.59	79.45	122.64	51.71	127.89	151.22	43.63	78.34	90.77	86.43	98.04	53.95	104.42	85.22	142.01	105.89	120.1	72.52	95.34	91.41	89.51	140.04	58.71	41.52	57.89	62.56	67.12	81.14	239.52	239.52	100.13	180.02	314.17	246.28	223.41	155.5	463.65	423.61	175.07	323.03	244.57	283.05	314.17	228.13	255.0	277.2	204.07	237.86	159.9	163.28	269.6	339.14	229.72	232.94	334.46	361.04	251.48	228.13	195.72	177.53	389.72	267.73	312.0	221.86	246.28	205.5	253.23	334.46	307.69	303.44	193.01	412.0	406.31	242.88	209.84	214.27	80.01
DUOX1	17.51	17.0	34.26	6.73	86.43	71.5	6.78	32.13	187.71	8.45	9.85	78.89	11.38	7.51	6.62	8.58	19.39	30.12	5.92	6.89	11.73	23.08	16.39	10.63	4.66	94.67	17.38	12.45	29.91	14.89	24.63	15.11	7.28	13.83	24.99	6.89	12.0	11.13	9.93	18.03	10.88	13.32	38.67	13.52	26.28	36.79	12.64	6.84	1.77	1.95	6.06	2.89	5.68	5.5	1.73	11.38	0.88	2319.15	1250.98	39.5	30.78	1950.0	1457.23	1233.75	1594.73	2434.5	559.28	2335.28	511.0	2739.08	1183.45	954.43	6337.83	1936.53	2004.85	2104.58	543.96	5555.65	1477.58	6561.36	1088.92	4268.94	5791.62	902.89	1151.06	1617.0	3589.58	6426.31	2720.15	2609.3	4575.41	1936.53	642.59	7966.99	1001.93	3018.3	2224.63	5633.22	6294.04	7180.15	3060.45	4268.94	571.05	102.97	1127.35	11.21
DUOXA1	8.06	4.46	8.38	0.4	40.64	7.69	1.85	0.0	78.89	0.0	3.5	1.89	14.35	0.0	0.0	0.0	3.26	0.0	2.29	2.1	1.68	1.28	8.25	1.6	0.77	10.16	2.46	0.0	10.16	0.78	1.91	0.83	1.77	1.81	1.22	2.46	0.0	1.19	0.73	1.41	0.0	2.23	5.73	2.56	1.75	1.64	2.36	2.2	2.03	14.78	3.56	4.66	1.35	0.0	0.84	2.32	0.0	1857.6	1167.14	167.9	13.32	1378.57	1340.84	1096.5	1617.0	2240.11	368.65	2018.8	447.82	2061.24	769.69	575.03	5594.3	638.15	1617.0	1685.71	395.18	4010.71	988.12	4066.71	921.88	2796.65	3349.13	708.18	713.11	759.08	2193.99	6037.61	1397.83	2209.26	3349.13	1936.53	466.88	6294.04	748.61	2400.97	1407.55	4903.87	6164.49	5441.3	1819.35	3742.05	624.99	260.38	1081.39	0.72
DYRK1A	389.72	269.6	397.93	199.85	194.36	137.14	366.09	281.09	255.0	231.32	218.79	190.34	186.4	178.77	189.02	173.85	193.01	271.48	103.69	165.57	244.57	143.01	264.03	191.67	218.79	241.19	127.0	255.0	127.0	155.5	177.53	299.25	145.02	237.86	392.44	104.42	214.27	194.36	169.07	215.77	123.5	212.78	159.9	295.11	248.0	265.87	121.79	244.57	122.64	232.94	215.77	190.34	139.07	212.78	275.28	381.68	463.65	490.14	497.0	299.25	249.73	507.46	624.99	389.72	429.54	575.03	974.5	514.56	361.04	934.76	314.17	208.38	595.34	454.09	366.09	309.83	460.44	339.14	555.41	651.58	529.06	507.46	536.45	718.08	769.69	1008.9	571.05	656.11	211.31	738.29	336.79	587.13	450.94	591.22	878.17	769.69	981.29	915.51	551.56	438.59	785.88	525.39	587.13	224.97	395.18	127.0
EPAS1	1008.9	2004.85	2537.92	872.1	1001.93	2468.49	1322.37	1051.79	571.05	1286.18	1437.15	1437.15	1191.69	2133.97	1175.27	1167.14	713.11	1923.14	1135.2	1350.18	1870.53	1119.56	1832.01	1936.53	1487.87	2004.85	1857.6	1605.83	1508.65	954.43	1697.45	1721.16	1199.98	2271.4	1870.53	620.67	1295.13	780.44	733.19	2209.26	988.12	1397.83	1286.18	1909.85	1369.04	1639.59	2178.83	2835.7	3639.7	1417.35	1143.1	1477.58	1721.16	1397.83	2271.4	1685.71	1407.55	5954.47	11345.82	1651.0	693.58	8658.09	16843.62	6164.49	13586.57	21468.49	16611.71	6037.61	11345.82	9945.68	2935.74	3280.18	10512.82	24660.96	10959.3	7382.04	9673.69	13033.07	4450.27	17681.08	5112.16	7857.29	15180.22	14561.8	32315.87	26986.43	20737.16	17317.18	3081.75	12415.75	16611.71	8421.31	6164.49	3168.41	22692.63	8134.41	7857.29	14765.09	13968.57	9409.14	17078.76	23492.92	12676.65	802.41	5329.3	567.1
EPC2	169.07	158.79	205.5	86.43	100.13	44.89	100.13	109.66	91.41	125.24	100.83	126.12	145.02	151.22	87.65	120.1	140.04	127.0	77.25	85.22	108.9	75.11	223.41	120.94	167.9	102.97	106.63	171.45	56.28	115.97	100.83	167.9	78.89	165.57	285.03	47.17	108.14	136.19	147.06	137.14	62.56	137.14	136.19	156.59	112.77	141.02	118.43	120.94	127.0	115.16	170.25	81.71	79.45	69.52	120.1	152.28	111.21	246.28	273.37	172.65	275.28	232.94	341.51	267.73	269.6	346.29	329.84	293.07	305.55	358.54	368.65	244.57	301.33	373.81	353.59	237.86	435.55	231.32	301.33	341.51	285.03	260.38	285.03	480.04	466.88	397.93	480.04	307.69	189.02	368.65	283.05	356.05	307.69	301.33	490.14	447.82	642.59	277.2	417.77	281.09	376.41	271.48	287.01	183.82	231.32	118.43
EPS15	371.22	353.59	400.71	264.03	255.0	136.19	376.41	285.03	228.13	316.37	299.25	295.11	289.02	256.78	223.41	214.27	262.2	139.07	209.84	187.71	283.05	234.57	454.09	253.23	366.09	285.03	246.28	142.01	320.8	152.28	267.73	438.59	182.55	353.59	473.41	215.77	251.48	206.94	312.0	312.0	198.47	265.87	323.03	351.14	336.79	397.93	223.41	281.09	329.84	239.52	223.41	309.83	314.17	176.29	314.17	289.02	285.03	486.75	551.56	316.37	297.17	571.05	633.73	507.46	500.46	974.5	669.92	483.38	555.41	591.22	748.61	403.5	607.87	660.68	595.34	483.38	497.0	536.45	366.09	642.59	660.68	743.43	490.14	890.44	775.05	669.92	583.07	587.13	273.37	743.43	525.39	490.14	599.49	620.67	563.18	540.19	836.53	540.19	813.63	532.74	848.22	825.0	493.56	251.48	591.22	193.01
ERCC6L2	108.9	85.22	75.11	39.22	49.21	12.18	44.57	60.82	35.76	105.89	96.01	51.71	85.82	65.26	66.65	61.68	119.26	76.17	31.67	71.5	97.36	36.27	157.68	67.59	105.89	80.01	73.54	90.14	57.08	85.82	70.51	74.06	34.75	95.34	127.89	37.85	49.56	107.38	66.65	94.67	64.34	78.34	60.82	127.0	115.97	79.45	164.42	109.66	165.57	73.54	41.22	113.56	64.34	88.88	189.02	96.68	205.5	143.01	273.37	100.13	100.13	206.94	351.14	154.42	153.34	158.79	329.84	221.86	289.02	260.38	202.66	162.14	258.57	217.27	251.48	189.02	289.02	161.02	92.05	327.56	279.14	351.14	277.2	466.88	285.03	463.65	249.73	175.07	133.36	277.2	237.86	312.0	189.02	253.23	371.22	406.31	463.65	351.14	237.86	231.32	518.15	241.19	262.2	197.09	226.54	127.89
ERG	40.07	37.59	201.25	31.45	34.02	67.12	31.45	49.21	17.0	29.06	58.71	104.42	10.31	64.8	43.63	17.9	36.27	37.59	48.52	37.85	61.25	32.59	75.11	18.03	38.4	68.55	85.82	39.5	40.93	15.22	76.17	87.65	50.27	139.07	45.21	7.88	64.8	36.79	18.84	127.89	10.79	40.36	10.39	182.55	21.94	82.29	71.5	28.04	57.49	67.12	120.94	44.25	32.13	105.89	143.01	164.42	100.83	348.71	470.14	34.26	96.01	283.05	616.37	289.02	334.46	563.18	1651.0	303.44	384.34	603.67	170.25	220.32	269.6	397.93	353.59	299.25	466.88	312.0	178.77	651.58	417.77	397.93	441.64	656.11	1216.75	961.07	532.74	454.09	105.89	1104.13	312.0	718.08	177.53	397.93	813.63	543.96	476.71	688.78	423.61	283.05	988.12	547.75	543.96	47.5	368.65	20.71
ETS1	336.79	373.81	743.43	251.48	273.37	490.14	669.92	281.09	212.78	115.97	323.03	444.72	139.07	366.09	236.21	133.36	231.32	145.02	255.0	201.25	490.14	148.09	872.1	59.97	323.03	209.84	265.87	126.12	176.29	75.11	229.72	353.59	226.54	579.04	241.19	93.35	249.73	180.02	172.65	612.11	76.17	191.67	115.97	780.44	260.38	414.87	275.28	106.63	116.78	336.79	486.75	176.29	218.79	151.22	447.82	518.15	309.83	995.0	1199.98	190.34	307.69	642.59	1498.22	1216.75	802.41	2351.53	2997.45	890.44	954.43	830.75	1059.11	665.29	961.07	1477.58	1167.14	921.88	1605.83	830.75	1066.48	1397.83	1963.57	1127.35	884.29	1417.35	6516.03	1857.6	1447.15	842.36	381.68	1561.89	981.29	1111.82	995.0	723.08	1923.14	1457.23	2485.67	1135.2	1313.23	555.41	1909.85	1369.04	1277.29	269.6	1151.06	87.03
FAM105A	224.97	122.64	307.69	64.34	81.14	68.55	134.3	158.79	177.53	13.42	73.03	25.54	17.9	43.63	28.04	93.35	29.48	8.92	45.53	27.64	105.89	46.18	95.34	5.96	167.9	25.91	20.11	4.13	23.93	32.82	13.32	32.59	27.05	44.89	6.78	10.47	16.15	26.86	29.91	75.11	11.3	12.09	24.11	149.12	26.67	42.11	19.39	6.21	5.73	10.16	28.86	6.78	5.63	16.39	44.25	59.13	18.84	503.95	915.51	198.47	444.72	688.78	669.92	656.11	733.19	708.18	503.95	1081.39	307.69	1628.26	348.71	187.71	1407.55	193.01	283.05	842.36	438.59	1407.55	540.19	1250.98	346.29	1806.78	1733.13	1037.29	409.15	432.53	698.41	2537.92	318.57	587.13	1870.53	387.02	493.56	2555.58	201.25	1037.29	703.28	2104.58	1519.15	1561.89	1572.76	1359.57	738.29	70.51	521.76	20.56
FAM13B	177.53	146.03	190.34	118.43	121.79	37.32	130.6	84.04	91.41	97.36	82.29	73.03	76.17	58.71	38.4	70.01	63.89	99.43	40.64	38.95	99.43	39.5	101.54	60.39	125.24	139.07	94.67	70.01	67.59	63.0	43.02	209.84	44.57	111.99	79.45	89.51	37.59	70.51	103.69	109.66	57.89	106.63	74.58	111.21	67.59	38.95	70.01	105.89	33.78	41.22	44.57	43.94	39.5	72.52	63.45	122.64	98.04	307.69	307.69	48.18	92.7	248.0	314.17	228.13	209.84	256.78	351.14	165.57	314.17	412.0	273.37	170.25	299.25	275.28	295.11	83.45	379.04	212.78	214.27	229.72	343.89	204.07	183.82	432.53	316.37	490.14	287.01	217.27	92.7	281.09	172.65	265.87	277.2	198.47	297.17	332.14	269.6	190.34	269.6	199.85	232.94	147.06	341.51	43.63	228.13	85.82
FAM189A2	46.84	43.02	74.06	32.59	45.21	101.54	59.97	42.11	33.78	2.56	9.63	12.74	4.31	5.63	5.32	14.45	11.21	10.88	9.78	7.22	76.17	10.24	17.64	3.23	3.63	4.1	6.16	4.82	6.16	1.6	8.92	104.42	4.06	16.63	5.02	2.43	8.38	4.86	6.36	22.1	6.16	10.71	7.17	15.45	4.94	21.78	12.93	3.76	9.78	7.06	7.88	2.48	6.52	9.48	8.85	44.57	2.29	759.08	642.59	5.5	64.8	915.51	1225.22	343.89	454.09	1081.39	1127.35	248.0	483.38	1088.92	46.5	50.27	1225.22	295.11	607.87	87.03	267.73	1175.27	269.6	1259.69	447.82	395.18	392.44	392.44	988.12	1697.45	2796.65	764.36	209.84	3467.27	642.59	1745.2	2976.74	769.69	351.14	1437.15	954.43	343.89	1208.34	1313.23	1015.93	361.04	1417.35	1.6	309.83	35.0
