	TCGA.EJ.7331.01A.11R.2118.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.KC.A7FD.01A.11R.A33R.07	TCGA.G9.6385.01A.11R.1789.07	TCGA.EJ.5503.01A.01R.1580.07	TCGA.KK.A8ID.01A.11R.A36G.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.EJ.A65J.01A.11R.A311.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.KK.A6E1.01A.11R.A311.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.HC.A8CY.01A.11R.A36G.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.HC.7740.01A.11R.2118.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.EJ.7786.11A.01R.2118.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7785.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7797.11A.01R.2263.07	TCGA.EJ.7792.11A.01R.2118.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.HC.7742.11A.01R.2118.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7793.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07
CTF1	118.43	72.52	34.26	121.79	32.59	316.37	287.01	17.9	14.24	149.12	182.55	129.69	151.22	151.22	95.34	133.36	59.13	38.95	224.97	320.8	149.12	33.54	20.26	76.71	58.71	46.5	92.7	155.5	70.51	58.3	49.56	92.05	6.16	131.51	223.41	87.65	102.25	293.07	320.8	10.31	29.7	103.69	75.64	120.94	122.64	31.9	172.65	67.12	25.72	8.51	178.77	75.11	41.22	69.52	26.28	17.13	206.94	218.79	77.25	96.01	71.5	58.71	31.67	43.94	191.67	128.79	251.48	58.71	82.87	32.13	264.03	30.34	55.49	148.09	273.37	58.3	122.64	23.08	58.3	65.72	256.78	269.6	368.65	289.02	316.37	265.87	327.56	358.54	275.28	327.56	376.41	255.0	426.57	265.87	361.04	303.44	287.01	228.13	332.14	283.05
CXorf57	9.13	6.52	1.53	6.26	4.54	23.93	17.0	4.86	0.49	7.51	14.35	6.21	5.63	14.03	8.38	12.64	1.95	4.46	10.71	10.96	16.15	2.94	0.57	3.06	4.35	3.76	5.28	8.32	8.38	7.88	4.82	7.4	0.48	3.0	10.79	2.56	7.22	18.97	8.45	4.66	2.53	4.94	2.36	5.28	9.13	4.1	15.8	8.38	4.31	0.0	6.52	3.79	5.45	3.69	4.39	5.73	12.27	20.26	2.63	5.5	3.76	4.39	3.35	1.2	13.83	4.58	20.71	3.69	9.56	3.26	20.11	2.71	5.02	2.03	23.59	6.52	8.25	2.1	7.46	5.15	25.54	14.24	23.25	24.28	39.22	17.77	29.91	27.05	36.79	17.77	9.41	13.62	22.59	17.25	16.39	28.65	23.25	13.83	33.78	21.78
DAB2IP	348.71	224.97	125.24	281.09	147.06	395.18	713.11	180.02	108.9	295.11	441.64	373.81	339.14	371.22	323.03	287.01	217.27	127.89	336.79	460.44	463.65	217.27	118.43	204.07	275.28	127.89	185.11	432.53	285.03	211.31	246.28	177.53	108.14	170.25	463.65	212.78	231.32	392.44	521.76	85.82	197.09	339.14	285.03	314.17	183.82	199.85	273.37	264.03	150.17	150.17	334.46	231.32	325.29	156.59	119.26	102.97	334.46	547.75	223.41	307.69	291.04	202.66	202.66	140.04	368.65	246.28	392.44	191.67	277.2	444.72	669.92	336.79	289.02	176.29	723.08	209.84	309.83	220.32	214.27	215.77	521.76	307.69	780.44	624.99	713.11	595.34	521.76	536.45	514.56	633.73	525.39	559.28	480.04	575.03	656.11	743.43	381.68	356.05	591.22	551.56
DKK3	1870.53	616.37	412.0	1175.27	275.28	2609.3	2255.7	199.85	180.02	1183.45	1250.98	902.89	1950.0	1388.16	1388.16	928.3	624.99	500.46	1909.85	2303.12	1369.04	241.19	497.0	791.35	642.59	540.19	1167.14	1447.15	500.46	595.34	518.15	1628.26	69.52	791.35	1447.15	1216.75	684.02	3190.46	1909.85	111.99	356.05	825.0	1119.56	1096.5	1583.71	356.05	854.13	1295.13	336.79	223.41	1909.85	656.11	503.95	674.59	237.86	224.97	1605.83	2935.74	466.88	872.1	454.09	521.76	251.48	346.29	1583.71	1295.13	1447.15	470.14	1104.13	363.56	2664.15	197.09	325.29	1225.22	2240.11	450.94	1216.75	234.57	674.59	353.59	2400.97	2004.85	4639.29	3124.78	1977.24	2777.33	3540.14	4802.93	5112.16	3325.99	2193.99	2367.9	2816.11	2367.9	2997.45	3103.19	3419.52	1870.53	4769.75	3874.05
DOK4	178.77	124.37	69.03	199.85	77.25	346.29	384.34	115.16	56.28	171.45	239.52	165.57	178.77	220.32	140.04	204.07	102.25	110.43	287.01	353.59	234.57	70.51	76.17	108.14	90.77	94.67	134.3	267.73	190.34	126.12	76.71	153.34	72.01	171.45	381.68	124.37	149.12	371.22	301.33	42.11	66.18	211.31	134.3	165.57	148.09	65.26	141.02	119.26	59.13	52.82	214.27	195.72	78.34	165.57	81.14	40.93	251.48	387.02	147.06	147.06	112.77	100.13	77.79	84.04	307.69	137.14	265.87	100.83	176.29	108.9	348.71	65.26	140.04	107.38	435.55	126.12	199.85	68.55	113.56	139.07	379.04	269.6	480.04	395.18	438.59	395.18	387.02	397.93	409.15	521.76	299.25	356.05	400.71	316.37	441.64	438.59	381.68	299.25	376.41	387.02
DUSP19	26.86	4.58	13.03	12.36	4.86	28.86	23.08	10.63	7.75	21.94	21.47	25.17	22.92	21.16	24.99	17.13	14.78	11.13	27.25	38.95	19.39	5.54	10.24	18.7	12.83	12.0	16.63	18.97	10.71	18.84	11.73	26.1	5.77	11.82	17.64	13.72	23.93	25.17	22.43	14.78	8.71	12.0	12.27	32.13	21.78	16.51	25.72	25.54	11.73	11.21	22.92	11.3	5.41	11.91	10.71	4.5	34.51	40.07	8.25	21.01	13.52	7.17	8.58	12.0	25.35	16.39	17.64	8.0	27.44	11.47	37.59	11.55	9.13	17.25	36.79	14.24	11.91	7.4	13.62	11.91	34.02	23.59	61.25	42.71	37.32	44.57	63.0	41.22	30.12	50.98	44.89	28.45	26.28	39.79	15.8	54.72	25.17	30.12	33.54	42.11
EIF1B	1030.12	1167.14	1008.9	1313.23	1143.1	1277.29	1127.35	1001.93	718.08	1111.82	967.76	1104.13	988.12	1119.56	890.44	825.0	1242.34	825.0	1216.75	1167.14	947.83	738.29	693.58	813.63	1242.34	703.28	1044.52	842.36	830.75	733.19	802.41	1159.07	718.08	1044.52	890.44	1242.34	753.83	1498.22	1127.35	1073.91	981.29	1008.9	1259.69	967.76	1427.22	921.88	1378.57	764.36	796.86	872.1	1051.79	743.43	1023.0	748.61	796.86	902.89	1167.14	1143.1	866.07	866.07	890.44	860.08	947.83	825.0	1378.57	1167.14	1088.92	718.08	1081.39	947.83	1286.18	647.07	941.27	1151.06	1143.1	703.28	1191.69	733.19	1051.79	902.89	1225.22	1199.98	1628.26	1277.29	1378.57	1340.84	1757.34	1617.0	1769.57	1651.0	1477.58	1208.34	1561.89	1059.11	1208.34	1369.04	1551.09	1457.23	1936.53	1498.22
EVC2	32.36	18.03	11.21	38.67	14.14	45.21	59.13	6.89	1.45	46.18	46.84	28.45	23.59	37.85	21.94	36.27	23.08	11.82	46.18	63.0	39.79	11.38	7.17	22.26	12.83	11.04	13.83	39.79	23.08	15.56	10.0	15.68	18.43	22.75	47.5	17.51	14.56	68.07	34.75	3.72	10.47	28.45	22.43	36.27	40.64	12.45	43.32	22.43	10.63	3.35	33.3	16.88	12.36	15.91	10.63	3.72	36.53	57.08	20.41	23.42	15.56	18.84	5.59	13.62	46.84	22.43	49.21	17.13	32.59	9.63	68.55	6.67	13.03	16.15	81.14	16.88	31.22	9.93	17.38	19.25	47.84	46.84	72.01	100.13	84.63	60.39	55.89	78.89	54.72	81.71	70.51	59.13	71.5	53.19	86.43	71.5	59.97	56.28	72.01	77.25
FAXDC2	363.56	136.19	73.03	318.57	48.18	493.56	563.18	45.21	23.42	309.83	291.04	285.03	255.0	473.41	165.57	251.48	123.5	73.03	397.93	819.3	438.59	87.65	51.35	177.53	67.59	95.34	113.56	318.57	172.65	154.42	162.14	314.17	9.34	186.4	363.56	185.11	144.01	660.68	665.29	36.53	81.14	239.52	140.04	392.44	297.17	112.77	154.42	293.07	73.54	43.32	493.56	143.01	84.04	176.29	54.33	31.45	473.41	620.67	93.35	215.77	86.43	144.01	88.88	84.04	473.41	273.37	441.64	111.99	273.37	75.11	733.19	49.91	69.52	189.02	583.07	111.21	217.27	62.12	162.14	175.07	460.44	403.5	1159.07	775.05	665.29	866.07	872.1	612.11	854.13	848.22	802.41	466.88	848.22	412.0	665.29	941.27	426.57	490.14	878.17	1015.93
FOXO4	441.64	271.48	271.48	348.71	285.03	511.0	521.76	164.42	279.14	358.54	361.04	384.34	361.04	412.0	358.54	327.56	339.14	244.57	384.34	432.53	318.57	172.65	336.79	320.8	258.57	371.22	283.05	316.37	189.02	334.46	303.44	325.29	47.5	258.57	381.68	256.78	253.23	536.45	518.15	217.27	273.37	429.54	239.52	368.65	353.59	223.41	343.89	341.51	135.24	339.14	417.77	384.34	320.8	289.02	264.03	334.46	312.0	698.41	339.14	297.17	299.25	264.03	507.46	197.09	373.81	381.68	397.93	291.04	293.07	320.8	780.44	159.9	366.09	212.78	497.0	318.57	318.57	248.0	279.14	299.25	460.44	389.72	612.11	723.08	540.19	679.29	460.44	532.74	417.77	679.29	540.19	555.41	483.38	444.72	563.18	500.46	346.29	299.25	713.11	583.07
FZD1	466.88	208.38	125.24	318.57	154.42	656.11	647.07	162.14	224.97	518.15	441.64	334.46	208.38	483.38	412.0	366.09	244.57	229.72	341.51	848.22	525.39	161.02	131.51	258.57	289.02	301.33	363.56	353.59	164.42	336.79	454.09	217.27	64.8	178.77	463.65	262.2	189.02	587.13	629.35	118.43	248.0	353.59	258.57	466.88	351.14	229.72	307.69	379.04	145.02	199.85	796.86	447.82	185.11	332.14	157.68	218.79	559.28	583.07	152.28	423.61	253.23	237.86	139.07	197.09	555.41	293.07	567.1	237.86	202.66	232.94	536.45	127.89	693.58	295.11	866.07	265.87	285.03	265.87	220.32	171.45	547.75	890.44	688.78	961.07	753.83	536.45	660.68	718.08	599.49	674.59	928.3	708.18	435.55	656.11	642.59	698.41	579.04	607.87	651.58	713.11
GAS1	165.57	59.97	28.45	248.0	31.0	279.14	612.11	56.68	9.2	241.19	473.41	214.27	157.68	190.34	74.06	205.5	63.89	49.56	123.5	343.89	624.99	73.03	35.76	106.63	50.27	77.25	109.66	177.53	59.55	69.03	44.25	79.45	4.5	86.43	1015.93	99.43	52.08	158.79	836.53	18.56	34.02	332.14	500.46	297.17	144.01	69.52	106.63	66.65	31.9	11.21	186.4	38.67	44.25	201.25	48.87	100.83	532.74	339.14	44.25	169.07	102.97	55.89	46.5	41.52	323.03	105.15	291.04	108.9	170.25	54.72	309.83	23.76	36.27	90.14	1159.07	125.24	87.65	43.63	124.37	158.79	490.14	108.14	327.56	231.32	769.69	305.55	336.79	237.86	395.18	660.68	392.44	836.53	395.18	540.19	1572.76	466.88	269.6	348.71	376.41	256.78
GPRASP1	195.72	173.85	31.45	145.02	41.81	194.36	253.23	30.56	21.78	132.44	209.84	98.73	159.9	283.05	94.01	148.09	78.89	48.18	204.07	212.78	199.85	52.08	39.22	56.28	109.66	62.12	105.15	119.26	65.26	84.63	49.56	134.3	17.0	59.13	241.19	101.54	42.41	303.44	218.79	30.12	39.22	141.02	118.43	165.57	130.6	60.82	114.36	103.69	36.79	27.25	170.25	69.52	54.72	93.35	36.27	20.71	303.44	231.32	72.01	110.43	48.52	72.01	47.5	26.67	195.72	113.56	205.5	87.65	126.12	43.63	221.86	52.82	88.26	94.01	320.8	96.68	116.78	31.22	77.25	72.52	223.41	152.28	376.41	343.89	356.05	191.67	295.11	409.15	253.23	327.56	206.94	242.88	309.83	301.33	356.05	301.33	400.71	105.89	400.71	299.25
HECTD2	224.97	108.14	59.55	80.01	56.68	206.94	132.44	102.97	82.87	114.36	166.73	147.06	221.86	256.78	92.05	117.6	120.94	67.59	211.31	249.73	150.17	101.54	108.9	77.79	105.89	104.42	199.85	81.14	57.49	118.43	127.89	194.36	28.04	66.18	147.06	120.1	108.14	182.55	141.02	54.72	50.98	123.5	110.43	140.04	158.79	141.02	125.24	105.15	59.13	94.67	133.36	100.13	106.63	104.42	96.68	66.65	301.33	214.27	77.79	117.6	69.52	100.83	112.77	33.06	204.07	80.57	148.09	70.51	183.82	102.97	214.27	49.21	81.14	90.77	187.71	163.28	95.34	59.55	78.89	123.5	211.31	148.09	334.46	269.6	237.86	217.27	392.44	251.48	223.41	318.57	205.5	154.42	281.09	215.77	158.79	358.54	221.86	122.64	287.01	246.28
HMGN4	928.3	733.19	473.41	1059.11	723.08	1159.07	1167.14	612.11	612.11	813.63	1467.37	748.61	967.76	961.07	775.05	842.36	890.44	688.78	967.76	1159.07	902.89	934.76	547.75	878.17	759.08	583.07	684.02	1073.91	665.29	995.0	525.39	1059.11	503.95	642.59	954.43	540.19	743.43	1286.18	1015.93	759.08	454.09	1304.15	974.5	1277.29	1023.0	848.22	896.64	961.07	603.67	723.08	981.29	607.87	624.99	620.67	738.29	954.43	1322.37	1096.5	796.86	961.07	473.41	854.13	688.78	728.11	1023.0	1073.91	974.5	551.56	769.69	785.88	1051.79	723.08	743.43	713.11	1216.75	660.68	954.43	981.29	854.13	713.11	1757.34	1457.23	1605.83	1378.57	1583.71	1457.23	2075.59	1322.37	2119.22	1745.2	1081.39	1143.1	1242.34	1259.69	1340.84	1397.83	1427.22	1167.14	1487.87	1498.22
HS3ST3B1	39.5	20.86	8.58	45.53	9.56	37.05	31.22	11.64	9.41	33.78	40.36	24.46	29.27	39.79	15.22	31.67	21.78	24.46	58.71	42.71	38.12	9.41	12.09	33.54	18.16	17.13	19.39	31.67	17.13	20.26	29.7	52.82	5.28	19.25	39.22	20.86	11.13	50.63	38.4	44.89	11.47	25.54	25.72	31.9	71.0	16.03	24.99	31.45	25.72	17.25	14.78	18.84	40.93	25.17	16.63	8.85	40.64	43.63	15.11	28.65	16.39	14.56	6.73	22.43	64.34	94.67	71.5	10.0	24.63	7.63	44.89	8.32	31.0	59.55	43.94	53.57	29.91	15.0	28.65	19.11	67.59	28.86	54.72	45.85	50.98	41.22	46.5	38.67	33.3	55.89	49.56	53.19	59.55	43.02	60.39	49.56	29.48	32.36	31.67	63.45
HSPA4L	59.13	34.75	9.85	54.72	21.94	50.98	76.17	9.85	23.08	39.5	28.04	20.11	22.43	71.0	28.45	27.44	14.78	17.38	36.79	61.25	53.57	9.06	7.06	17.13	46.18	17.38	31.9	39.5	22.43	63.45	26.47	19.53	6.62	15.34	66.65	10.39	14.89	40.93	40.93	11.47	10.88	29.91	20.11	29.27	24.11	43.94	37.05	52.45	8.99	15.0	46.18	22.1	7.75	26.1	29.7	10.39	72.52	68.07	17.9	25.72	13.72	14.45	15.0	23.25	39.79	23.76	48.18	30.34	33.3	11.04	95.34	11.04	64.8	21.47	66.65	19.25	28.45	12.74	23.08	32.82	96.01	51.35	88.88	108.9	148.09	105.89	100.13	90.77	73.03	102.25	43.32	82.87	92.05	69.52	71.0	102.97	62.56	57.49	103.69	90.77
HVCN1	100.83	28.24	38.95	97.36	17.25	107.38	149.12	35.0	9.34	68.55	148.09	115.97	87.03	88.88	70.51	78.34	81.71	57.08	133.36	143.01	83.45	25.72	31.0	68.07	40.64	33.78	59.13	92.7	68.07	51.35	29.91	117.6	17.0	75.64	112.77	76.71	55.89	256.78	128.79	12.93	51.35	99.43	98.04	100.13	86.43	39.5	100.83	67.12	27.44	12.09	77.25	74.58	67.12	69.03	30.78	27.05	108.14	137.14	63.89	70.01	43.02	36.79	21.16	18.16	135.24	73.03	94.01	61.68	102.97	32.82	139.07	21.78	31.9	84.04	177.53	59.13	85.22	15.68	51.71	58.3	128.79	97.36	246.28	134.3	171.45	212.78	241.19	120.94	277.2	228.13	145.02	117.6	126.12	114.36	163.28	180.02	129.69	117.6	177.53	264.03
ID3	1159.07	1104.13	642.59	2287.2	1135.2	1051.79	3124.78	346.29	95.34	1721.16	1674.06	1757.34	3820.7	1991.0	775.05	1008.9	1697.45	379.04	1936.53	1628.26	1037.29	363.56	269.6	718.08	1331.57	660.68	607.87	1477.58	1769.57	543.96	387.02	928.3	204.07	1487.87	4937.99	830.75	995.0	2875.3	2915.45	220.32	397.93	1551.09	1508.65	1844.76	1369.04	473.41	1191.69	764.36	684.02	232.94	595.34	612.11	928.3	748.61	497.0	237.86	1044.52	2434.5	620.67	460.44	693.58	1030.12	444.72	988.12	1909.85	934.76	476.71	660.68	1870.53	612.11	4802.93	603.67	848.22	1037.29	1407.55	830.75	1135.2	400.71	1477.58	769.69	6699.25	1167.14	3515.68	1066.48	3639.7	3639.7	4328.55	2119.22	2758.13	5594.3	2816.11	2451.44	1936.53	1477.58	4671.57	3235.01	2627.46	1806.78	2609.3	2240.11
KANK1	723.08	346.29	336.79	688.78	543.96	819.3	780.44	567.1	381.68	629.35	612.11	703.28	842.36	872.1	536.45	743.43	559.28	366.09	796.86	1127.35	738.29	669.92	316.37	567.1	718.08	500.46	466.88	688.78	540.19	656.11	473.41	414.87	406.31	417.77	909.17	532.74	379.04	934.76	825.0	412.0	366.09	656.11	483.38	693.58	728.11	379.04	599.49	647.07	536.45	642.59	769.69	483.38	318.57	450.94	387.02	460.44	967.76	1066.48	612.11	660.68	447.82	559.28	307.69	339.14	947.83	698.41	825.0	473.41	629.35	547.75	1151.06	323.03	599.49	591.22	1208.34	395.18	480.04	483.38	480.04	441.64	836.53	743.43	1359.57	1388.16	1407.55	1066.48	1104.13	1066.48	1088.92	1151.06	1104.13	954.43	1175.27	1023.0	1088.92	1199.98	1135.2	825.0	1151.06	1008.9
KLF8	54.72	43.94	11.64	50.98	19.68	56.28	58.3	14.35	10.31	29.48	46.18	26.47	38.67	101.54	29.7	32.36	39.79	23.93	59.55	50.27	78.34	13.03	15.45	18.16	23.93	21.47	16.88	32.13	22.26	33.54	24.46	27.64	6.11	20.11	90.77	22.1	9.41	92.7	57.49	14.14	18.56	26.86	24.28	41.52	47.5	29.48	33.3	40.64	17.38	11.64	55.1	17.51	15.91	32.59	23.93	3.38	65.72	78.34	25.72	46.18	16.15	38.4	12.09	10.63	70.01	36.53	100.83	18.97	33.06	17.77	87.03	14.67	40.93	22.43	83.45	33.78	38.67	11.3	14.14	24.63	98.04	98.04	120.94	116.78	123.5	80.01	113.56	92.7	102.97	110.43	49.91	56.68	74.06	94.01	125.24	109.66	64.34	35.25	100.13	103.69
KLHL10	6.06	2.71	1.39	6.84	3.06	7.46	7.94	1.13	0.71	5.28	3.0	5.73	5.87	7.82	0.8	9.06	5.63	1.46	6.06	9.78	9.7	1.41	3.23	2.89	5.59	0.75	4.78	4.9	3.29	2.51	1.97	8.06	0.69	7.4	3.63	6.73	4.62	4.78	10.63	4.5	1.71	4.43	5.11	3.69	5.11	2.16	2.18	3.99	7.34	3.53	10.96	3.99	2.14	2.76	2.84	1.91	8.25	8.19	0.0	3.23	3.23	3.2	4.58	1.73	8.13	5.15	12.36	1.79	0.87	3.44	8.45	3.79	2.27	4.82	13.52	3.92	9.93	0.0	2.23	6.89	10.0	2.43	17.0	5.68	8.13	13.32	13.32	16.88	19.97	7.28	12.74	5.15	16.03	8.99	5.68	4.58	6.21	4.62	12.0	11.91
KLHL29	115.16	78.89	22.92	86.43	49.91	167.9	154.42	37.85	28.04	97.36	112.77	103.69	90.77	129.69	72.52	105.15	87.03	53.19	142.01	143.01	151.22	35.76	34.75	45.21	68.55	41.22	45.21	76.17	90.14	84.04	80.01	52.45	22.43	71.0	151.22	31.22	89.51	159.9	143.01	40.93	21.16	94.01	90.77	96.01	77.79	42.11	145.02	86.43	30.78	16.39	120.1	52.82	100.13	63.89	43.63	75.11	123.5	176.29	72.52	87.03	90.14	50.98	83.45	20.41	127.89	65.26	145.02	149.12	85.82	87.65	150.17	34.26	42.41	57.08	248.0	37.85	105.89	31.67	75.11	57.49	152.28	136.19	249.73	339.14	175.07	211.31	133.36	202.66	153.34	231.32	185.11	189.02	205.5	144.01	198.47	204.07	156.59	100.13	234.57	181.28
KLK3	772940.66	881742.8	1345768.59	1005860.33	682276.92	731246.37	632189.57	726195.27	1116072.03	1212874.47	887875.81	1163466.92	1116072.03	691801.16	925580.18	751804.53	985160.01	1063212.58	800198.39	1055868.42	767601.56	906531.99	1255646.43	1187913.85	1093103.58	1139523.1	919186.72	805764.22	1100706.72	881742.8	906531.99	1327240.99	887875.81	1147449.11	925580.18	978355.0	1412675.8	726195.27	822695.06	906531.99	919186.72	1238359.56	1327240.99	800198.39	1196176.45	736332.6	800198.39	985160.01	589853.66	746611.43	839981.65	869603.57	919186.72	851707.37	789181.81	757033.75	767601.56	627822.72	1063212.58	736332.6	1212874.47	1238359.56	696613.03	985160.01	627822.72	1048575.0	736332.6	1345768.59	938500.81	721179.07	585779.24	767601.56	1472666.19	1229805.58	731246.37	1019901.63	828417.36	696613.03	938500.81	800198.39	805764.22	894051.48	260332.24	691801.16	391864.76	654483.73	456418.21	1019901.63	751804.53	318292.9	925580.18	589853.66	834179.46	794671.01	602247.76	546551.29	985160.01	1063212.58	554180.87	573724.06
LIX1L	314.17	177.53	314.17	363.56	206.94	376.41	389.72	149.12	152.28	389.72	387.02	395.18	473.41	283.05	307.69	334.46	361.04	275.28	423.61	480.04	339.14	264.03	169.07	366.09	275.28	175.07	234.57	289.02	299.25	275.28	173.85	414.87	141.02	248.0	323.03	255.0	392.44	507.46	409.15	323.03	142.01	366.09	332.14	301.33	334.46	281.09	373.81	309.83	186.4	165.57	341.51	202.66	126.12	279.14	155.5	271.48	463.65	417.77	201.25	273.37	244.57	208.38	159.9	223.41	403.5	341.51	363.56	309.83	339.14	251.48	406.31	293.07	191.67	305.55	447.82	129.69	279.14	297.17	226.54	281.09	353.59	379.04	579.04	409.15	473.41	373.81	476.71	412.0	420.68	521.76	429.54	473.41	432.53	480.04	343.89	616.37	444.72	329.84	493.56	591.22
LONRF3	24.99	22.26	2.97	19.39	16.15	20.11	35.5	2.84	1.06	19.39	16.27	11.21	14.35	34.75	10.16	15.56	7.57	4.46	16.88	23.59	22.75	5.87	4.24	5.77	13.32	6.41	3.89	15.0	10.39	12.36	22.26	11.04	0.73	4.39	18.56	7.4	6.67	38.95	21.16	5.87	2.94	10.16	13.03	22.75	13.03	6.73	10.88	16.51	5.77	1.23	23.25	6.46	4.74	12.93	3.11	1.89	30.56	34.51	4.39	14.03	3.79	8.25	3.08	3.0	28.45	6.94	30.12	5.06	19.82	3.0	42.11	3.92	14.67	5.28	41.81	7.94	8.0	3.38	8.58	6.16	40.64	29.91	51.71	52.82	56.28	57.49	47.84	46.18	29.06	58.3	34.02	32.13	40.93	37.85	41.81	50.98	26.47	13.32	57.89	55.49
LRP4	83.45	47.5	27.44	78.34	23.25	143.01	129.69	10.63	13.12	73.54	108.9	96.68	95.34	108.14	58.3	66.65	55.1	15.91	86.43	122.64	102.25	19.39	87.65	40.64	68.55	46.5	33.3	63.0	51.35	110.43	64.8	40.64	10.63	41.52	133.36	16.75	46.18	140.04	76.71	19.39	28.04	102.97	92.05	75.64	85.82	42.11	57.89	129.69	29.27	29.91	82.29	24.28	65.72	23.42	29.91	70.51	101.54	125.24	37.05	75.11	44.57	56.28	42.41	30.56	90.77	82.29	87.03	34.51	80.57	72.01	176.29	25.17	281.09	79.45	176.29	39.79	67.59	34.26	56.28	44.89	102.97	102.97	129.69	215.77	167.9	115.97	102.97	208.38	101.54	154.42	119.26	130.6	129.69	120.1	131.51	139.07	137.14	90.14	131.51	152.28
