	TCGA.BH.A1F0.11B.23R.A137.07	TCGA.BH.A18L.11A.42R.A12D.07	TCGA.BH.A1FC.11A.32R.A13Q.07	TCGA.BH.A0AY.11A.23R.A089.07	TCGA.BH.A0BV.11A.31R.A089.07	TCGA.BH.A1FU.11A.23R.A14D.07	TCGA.BH.A18Q.11A.34R.A12D.07	TCGA.BH.A0DL.11A.13R.A115.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.E9.A1RD.11A.33R.A157.07	TCGA.BH.A18M.11A.33R.A12D.07	GTEX.ZF2S.2026.SM.5E461	GTEX.ZLV1.1426.SM.4WWES	GTEX.11P81.1926.SM.5BC53	GTEX.Y3IK.2326.SM.4WWDT	TCGA.ZU.A8S4.11A.11R.A41I.07	TCGA.CV.7235.11A.01R.2016.07	TCGA.CJ.4881.01A.01R.1305.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.DD.A4NL.01A.11R.A28V.07	TCGA.ED.A627.01A.12R.A311.07	TCGA.2Y.A9GV.01A.11R.A38B.07	TCGA.DD.A1ED.01A.11R.A155.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A1EE.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.OOBJ.0826.SM.3NB2K	GTEX.ZPU1.0826.SM.57WG2	GTEX.WQUQ.1926.SM.4OOSA	GTEX.139YR.0226.SM.5IFEM	GTEX.X3Y1.2726.SM.4PQZH	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.14753.1626.SM.5NQ9L	GTEX.UPK5.1426.SM.4JBHH	TCGA.58.8388.01A.11R.2326.07
PRRC2B	1745.2	1806.78	1651.0	1721.16	2591.27	3146.52	2855.44	2209.26	2573.36	1977.24	2434.5	3257.52	2855.44	2645.74	2664.15	460.44	1617.0	915.51	497.0	660.68	503.95	775.05	629.35	802.41	406.31	808.0	381.68	351.14	698.41	293.07	511.0	409.15	921.88	500.46	397.93	454.09	733.19	579.04	373.81	450.94	143.01	525.39	3564.78
PSD2	21.63	12.45	9.41	20.86	13.42	34.75	37.05	20.26	29.06	4.28	27.05	15.45	18.7	14.89	15.11	0.88	9.93	4.17	0.72	0.71	0.82	2.05	5.11	0.82	0.84	1.51	0.75	1.41	0.84	0.0	1.51	0.0	1.1	1.93	0.72	0.0	0.0	1.68	2.36	0.45	1.22	0.1	8.13
PTGER4	209.84	273.37	397.93	215.77	221.86	334.46	293.07	209.84	279.14	248.0	353.59	289.02	123.5	334.46	285.03	25.35	113.56	100.13	7.57	14.14	21.94	133.36	32.59	44.89	42.41	60.82	4.35	21.47	38.4	38.67	41.52	24.81	182.55	32.59	51.71	11.55	49.91	53.57	20.41	10.71	14.35	35.76	511.0
PTGES3L	13.22	20.41	28.04	25.72	28.86	12.64	28.65	19.53	25.17	15.0	18.84	20.41	30.12	33.06	34.51	6.41	5.45	5.63	1.43	2.97	4.86	7.51	3.96	4.17	0.0	4.28	2.03	4.62	4.21	0.92	1.64	1.0	2.56	2.97	1.77	1.91	0.0	0.21	3.14	5.36	1.11	0.0	120.1
PTGIS	693.58	830.75	336.79	713.11	211.31	447.82	616.37	769.69	450.94	1104.13	400.71	271.48	497.0	529.06	183.82	27.44	167.9	87.65	7.22	5.23	39.5	285.03	40.93	18.29	99.43	170.25	42.41	77.79	120.1	37.85	75.64	111.99	171.45	44.89	7.22	80.57	70.51	56.28	177.53	19.25	27.64	36.27	688.78
RARG	587.13	830.75	656.11	759.08	1322.37	995.0	934.76	890.44	890.44	679.29	733.19	1313.23	802.41	961.07	884.29	45.53	511.0	432.53	31.9	48.18	122.64	215.77	92.7	85.22	52.08	60.82	28.86	40.07	77.25	37.05	55.1	30.12	353.59	114.36	58.71	53.57	68.55	84.63	12.36	30.78	12.18	131.51	1844.76
RASD2	94.67	84.04	123.5	88.26	152.28	87.65	114.36	214.27	189.02	59.97	55.49	82.87	144.01	285.03	189.02	3.63	78.34	283.05	4.21	17.9	23.08	3.32	18.7	15.11	0.89	2.23	0.82	2.68	0.89	4.54	1.57	3.69	3.0	5.02	1.41	6.67	9.56	5.87	2.92	0.0	0.0	3.82	325.29
RASL12	281.09	237.86	389.72	376.41	281.09	231.32	351.14	379.04	571.05	214.27	217.27	287.01	223.41	267.73	236.21	5.73	181.28	293.07	13.83	35.5	51.71	63.89	30.56	23.25	4.78	26.28	2.01	27.84	10.31	7.11	4.9	7.17	42.41	12.83	3.41	13.83	7.22	18.84	4.58	2.92	3.26	5.36	748.61
RBM12B	154.42	159.9	131.51	173.85	277.2	371.22	327.56	267.73	209.84	176.29	221.86	363.56	172.65	287.01	237.86	29.91	138.1	205.5	36.27	44.57	59.97	62.12	92.05	37.05	34.51	81.14	22.43	19.82	71.0	17.13	50.98	24.46	106.63	42.71	19.39	22.26	25.72	23.42	20.71	29.06	19.82	40.36	368.65
ROBO3	420.68	389.72	379.04	279.14	412.0	348.71	503.95	334.46	503.95	312.0	281.09	432.53	493.56	346.29	866.07	59.55	381.68	384.34	100.83	229.72	89.51	229.72	82.29	92.05	31.67	73.54	57.08	36.53	78.89	55.49	33.06	30.34	117.6	67.12	6.52	132.44	69.03	25.17	34.02	64.8	9.78	76.71	941.27
SAA2	17558.94	92680.9	22225.61	29943.43	5633.22	1639.59	1639.59	14361.31	10154.69	14867.79	21026.65	791.35	15607.02	29736.59	15607.02	932018.1	320506.81	294926.33	1800541.22	1108362.75	1903204.61	307450.64	1048575.0	2691538.19	3601083.44	1813064.98	322736.12	822695.06	569761.05	1402917.72	2425749.94	3049200.37	565825.41	863596.77	1041331.96	951601.81	834179.46	1034138.94	964885.69	682276.92	502929.67	851707.37	738.29
SALL2	242.88	271.48	224.97	301.33	366.09	387.02	450.94	303.44	323.03	115.97	332.14	1233.75	220.32	414.87	444.72	16.39	116.78	53.19	2.34	6.84	9.85	78.34	4.1	14.78	11.91	33.06	6.36	12.45	32.13	10.08	14.78	10.63	66.18	19.53	7.69	16.03	44.25	27.44	0.0	44.89	0.14	38.95	194.36
SLMO1	66.18	73.54	65.72	33.78	80.57	98.04	68.55	76.17	69.52	63.89	84.04	217.27	77.79	74.06	80.01	4.43	10.0	50.98	7.69	5.92	12.55	17.9	16.75	7.69	7.28	2.32	0.0	6.36	9.13	11.82	6.21	12.45	42.11	3.17	1.6	13.12	31.0	8.85	0.46	0.21	3.47	4.17	303.44
SOGA1	171.45	234.57	218.79	244.57	336.79	368.65	339.14	283.05	318.57	199.85	323.03	503.95	258.57	237.86	339.14	14.45	88.88	165.57	13.42	16.03	36.01	45.85	27.05	32.36	16.39	33.06	4.9	12.55	20.11	9.13	22.1	20.56	90.77	16.63	8.45	8.85	22.59	21.32	8.06	10.96	3.66	15.0	620.67
SPEF2	147.06	138.1	120.1	123.5	242.88	287.01	325.29	205.5	253.23	114.36	258.57	460.44	177.53	341.51	309.83	26.28	57.49	366.09	28.65	28.04	30.78	48.87	39.22	31.45	22.92	34.02	15.22	18.84	31.22	13.52	15.56	46.84	42.71	13.22	3.63	11.47	19.53	33.54	25.91	15.0	9.85	21.63	473.41
SPG20OS	22.26	23.59	26.28	34.51	24.63	29.7	40.64	23.93	24.11	19.82	29.27	29.7	68.07	68.07	41.52	0.0	0.0	27.44	8.58	5.36	5.15	3.38	16.39	0.0	0.0	0.0	0.0	3.72	5.36	3.79	0.0	3.41	4.74	4.78	0.0	1.83	7.17	2.1	0.99	2.25	1.35	1.13	30.56
SPHK1	366.09	406.31	518.15	356.05	423.61	460.44	457.25	500.46	884.29	226.54	384.34	269.6	543.96	239.52	466.88	39.79	575.03	204.07	17.9	81.14	47.84	234.57	40.64	65.26	41.81	37.32	19.39	49.56	74.58	36.01	35.76	17.51	381.68	30.56	21.63	19.11	147.06	24.63	16.63	11.82	82.29	23.76	2573.36
SSPN	575.03	583.07	312.0	674.59	500.46	665.29	974.5	679.29	723.08	738.29	629.35	1870.53	629.35	1030.12	1519.15	8.19	264.03	108.9	1.2	3.44	3.32	59.13	5.59	5.06	6.78	14.56	4.78	16.15	12.36	8.92	6.94	8.38	54.72	9.93	0.0	3.96	3.92	6.16	3.41	0.0	5.87	3.23	381.68
STOX2	34.26	40.93	34.02	69.03	88.26	85.82	105.15	76.71	52.08	49.56	45.53	147.06	53.19	88.88	68.55	17.0	58.3	54.72	8.99	14.35	25.91	22.1	68.07	36.01	27.25	48.87	10.24	21.47	32.82	16.27	20.26	10.31	24.28	18.03	12.18	25.54	26.67	39.22	14.45	11.64	2.46	17.77	167.9
TIAM2	150.17	145.02	138.1	199.85	218.79	170.25	249.73	220.32	201.25	140.04	142.01	255.0	182.55	241.19	211.31	39.22	146.03	115.16	54.33	93.35	67.59	120.1	106.63	66.65	41.81	43.32	28.65	42.11	53.95	27.44	40.93	39.5	82.29	82.87	33.54	24.28	29.7	30.78	30.12	33.3	10.24	63.45	262.2
TMEM178B	16.39	18.03	12.09	12.18	21.63	19.39	31.0	22.59	24.81	16.03	14.89	49.21	116.78	44.25	66.18	0.59	72.01	39.22	5.15	0.99	6.01	5.68	1.81	17.25	1.07	1.1	0.49	0.0	3.0	0.0	0.57	0.6	3.11	0.41	0.43	0.0	2.63	1.97	0.0	0.0	0.0	0.0	67.59
TP53BP1	351.14	447.82	353.59	483.38	723.08	703.28	759.08	612.11	555.41	429.54	521.76	860.08	454.09	808.0	483.38	119.26	329.84	381.68	127.89	118.43	153.34	242.88	152.28	147.06	115.16	130.6	63.89	107.38	135.24	92.05	115.97	88.26	194.36	109.66	84.63	114.36	189.02	61.25	103.69	96.68	31.45	105.89	884.29
TTC23	351.14	423.61	307.69	387.02	503.95	432.53	486.75	547.75	575.03	392.44	395.18	620.67	567.1	738.29	463.65	102.25	234.57	205.5	209.84	115.16	223.41	189.02	285.03	180.02	105.89	176.29	76.71	131.51	166.73	98.04	108.9	110.43	204.07	198.47	40.36	80.01	110.43	115.16	115.16	105.89	70.01	161.02	318.57
TTC23L	16.03	12.83	24.11	15.34	22.75	65.72	101.54	19.11	51.35	7.0	27.05	81.71	28.45	27.05	31.45	4.39	13.93	21.01	9.2	3.26	1.46	22.43	4.78	0.0	2.84	1.55	1.36	10.88	2.18	0.83	0.0	0.91	1.39	3.47	0.47	0.16	0.16	0.0	1.07	0.82	0.0	0.18	85.82
TUB	102.25	122.64	76.17	147.06	146.03	185.11	242.88	156.59	150.17	114.36	181.28	204.07	141.02	223.41	194.36	11.82	39.22	26.86	1.04	1.01	3.14	15.8	2.1	9.7	3.17	16.75	3.99	8.45	8.78	6.21	9.63	8.85	43.94	9.34	0.13	4.24	29.7	3.69	8.85	11.64	2.84	9.78	327.56
UBL4B	14.45	8.19	12.09	7.06	14.14	4.9	14.78	4.31	7.17	2.07	12.45	10.24	4.66	3.82	9.06	0.0	2.73	2.66	0.0	0.95	0.0	0.0	1.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.07	1.1	0.0	0.0	0.0	0.0	0.0	0.0	1.06	12.45
VANGL2	214.27	201.25	162.14	202.66	423.61	279.14	341.51	301.33	316.37	75.64	217.27	665.29	271.48	318.57	420.68	4.43	312.0	204.07	0.72	0.71	6.67	35.5	2.92	4.54	5.82	10.71	2.78	7.57	13.42	5.68	5.41	4.54	77.79	6.84	0.87	1.71	7.17	1.43	0.46	0.0	0.69	5.68	1369.04
VSTM4	341.51	476.71	223.41	262.2	191.67	175.07	269.6	242.88	176.29	353.59	297.17	249.73	199.85	320.8	137.14	29.91	79.45	165.57	34.26	23.25	61.25	87.65	27.84	146.03	51.71	73.54	47.17	49.56	49.21	26.67	23.93	25.35	95.34	92.7	43.94	35.25	49.91	22.75	18.7	110.43	6.89	20.11	314.17
YEATS2	249.73	283.05	206.94	291.04	409.15	358.54	341.51	366.09	346.29	249.73	301.33	397.93	314.17	441.64	287.01	55.49	191.67	423.61	126.12	63.0	77.79	141.02	114.36	65.26	66.65	66.65	19.97	42.71	81.14	46.84	74.58	47.17	85.82	68.07	41.52	36.27	39.22	33.06	23.59	35.0	12.36	40.64	1001.93
ZBED5	743.43	665.29	674.59	733.19	769.69	915.51	1104.13	884.29	909.17	599.49	733.19	1023.0	759.08	796.86	921.88	130.6	525.39	638.15	173.85	134.3	183.82	301.33	241.19	202.66	117.6	226.54	77.25	102.25	178.77	105.89	128.79	127.89	197.09	208.38	108.14	139.07	185.11	166.73	77.79	91.41	29.91	139.07	1073.91
ZNF133	343.89	371.22	241.19	363.56	579.04	397.93	423.61	432.53	373.81	305.55	432.53	480.04	387.02	454.09	493.56	77.79	229.72	215.77	97.36	155.5	128.79	191.67	177.53	115.97	95.34	142.01	87.03	80.57	118.43	63.89	90.77	96.68	128.79	111.99	69.03	114.36	110.43	66.18	82.29	87.65	42.71	120.94	708.18
ZNF142	191.67	232.94	178.77	228.13	269.6	371.22	341.51	289.02	291.04	191.67	265.87	414.87	293.07	244.57	339.14	50.98	223.41	187.71	64.34	84.63	76.17	101.54	126.12	59.13	40.93	78.89	38.12	31.45	82.87	24.46	53.95	50.98	87.03	60.82	33.78	37.85	53.19	94.67	29.7	35.0	15.8	48.18	466.88
ZNF267	180.02	193.01	173.85	189.02	205.5	195.72	265.87	251.48	287.01	131.51	197.09	195.72	142.01	208.38	258.57	54.72	248.0	265.87	55.89	86.43	39.5	92.7	74.06	70.01	46.84	68.07	21.94	33.78	61.68	31.22	80.01	55.1	88.88	63.45	53.57	28.65	59.97	54.72	37.05	32.59	20.26	69.52	429.54
ZNF292	244.57	204.07	131.51	209.84	332.14	346.29	403.5	277.2	309.83	178.77	218.79	327.56	218.79	358.54	381.68	40.64	162.14	194.36	38.95	34.26	60.39	85.22	75.64	58.71	54.72	84.04	25.54	41.22	74.58	26.67	66.18	49.21	72.01	39.5	68.07	43.63	40.07	37.05	37.32	60.82	23.42	47.84	543.96
ZNF362	540.19	583.07	473.41	483.38	633.73	674.59	665.29	587.13	543.96	414.87	603.67	775.05	708.18	555.41	684.02	115.16	665.29	417.77	88.88	154.42	198.47	303.44	220.32	166.73	164.42	232.94	102.97	111.99	229.72	94.01	115.97	114.36	251.48	127.89	68.55	108.9	89.51	119.26	69.52	94.01	81.14	134.3	796.86
ZNF385C	56.68	74.06	46.5	65.72	103.69	103.69	118.43	70.01	77.25	30.12	78.34	146.03	73.03	123.5	132.44	5.82	38.95	60.82	8.99	7.75	6.11	17.64	10.88	4.9	3.76	5.63	1.23	3.59	13.93	5.92	2.03	2.14	12.36	3.06	0.23	2.07	5.5	4.94	3.23	0.27	3.63	2.16	242.88
ZNF512	748.61	612.11	559.28	616.37	854.13	921.88	1015.93	769.69	759.08	629.35	825.0	1111.82	743.43	1066.48	1104.13	147.06	351.14	412.0	149.12	151.22	147.06	256.78	289.02	132.44	108.14	208.38	82.87	100.83	173.85	99.43	100.13	108.14	229.72	186.4	59.97	96.68	193.01	119.26	56.28	137.14	47.5	139.07	884.29
ZNF521	334.46	327.56	267.73	470.14	511.0	384.34	447.82	500.46	463.65	463.65	381.68	1467.37	275.28	738.29	780.44	7.34	224.97	162.14	8.38	22.26	25.72	28.24	20.41	32.82	18.16	24.11	6.62	6.11	10.79	4.06	13.72	10.47	57.49	12.0	5.28	12.55	10.79	15.68	2.27	8.58	1.5	13.03	890.44
ZNF532	651.58	669.92	486.75	738.29	854.13	1051.79	1104.13	854.13	848.22	688.78	819.3	1143.1	559.28	743.43	967.76	47.17	334.46	389.72	25.35	43.63	85.82	162.14	94.01	59.97	54.33	71.5	12.09	40.93	80.01	23.08	59.13	34.75	217.27	47.5	46.5	42.71	41.22	31.67	17.25	14.35	9.2	57.89	1286.18
ZNF587	177.53	244.57	212.78	325.29	480.04	450.94	329.84	341.51	444.72	237.86	281.09	647.07	239.52	373.81	423.61	63.0	177.53	183.82	41.22	39.79	88.88	107.38	147.06	43.63	34.51	69.52	26.28	34.51	70.01	31.67	56.68	53.95	154.42	98.73	25.91	38.67	66.18	63.45	27.25	65.72	19.68	36.01	802.41
ZNF646	147.06	185.11	121.79	132.44	208.38	281.09	183.82	208.38	161.02	123.5	215.77	316.37	214.27	260.38	215.77	46.84	155.5	142.01	45.21	67.12	56.68	82.29	81.14	69.52	34.51	51.71	29.91	16.03	74.58	27.25	41.22	28.24	59.13	49.56	25.17	35.76	39.22	48.18	15.68	28.65	15.56	30.56	400.71
ZNF677	444.72	343.89	265.87	376.41	521.76	563.18	684.02	493.56	447.82	269.6	454.09	229.72	215.77	967.76	1350.18	21.32	314.17	120.1	13.03	22.75	23.42	43.94	28.65	32.82	36.79	53.19	9.34	16.27	23.93	29.91	23.42	24.11	100.13	28.86	4.24	8.85	60.39	44.89	30.56	6.16	0.0	31.67	587.13
ZNF740	432.53	389.72	373.81	480.04	540.19	674.59	651.58	612.11	497.0	454.09	555.41	674.59	624.99	607.87	607.87	107.38	307.69	334.46	211.31	231.32	146.03	193.01	289.02	201.25	73.03	161.02	81.71	96.68	161.02	70.01	85.82	101.54	187.71	138.1	51.35	95.34	126.12	182.55	65.72	151.22	58.3	176.29	819.3
