	GTEX.13CF3.2126.SM.5IFJP	TCGA.CZ.5466.11A.01R.1503.07	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZF29.2026.SM.4WWB7	TCGA.38.4625.01A.01R.1206.07	TCGA.BJ.A45C.01A.11R.A23W.07	GTEX.Y111.1926.SM.4SOIS	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YJ89.0726.SM.5P9F7	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.ZVP2.0426.SM.57WC2	GTEX.12ZZZ.1226.SM.59HK1	GTEX.ZYFC.0926.SM.5GZWW	GTEX.OHPM.2626.SM.33HC5	GTEX.11EM3.0126.SM.5985K	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZQG8.0926.SM.57WFF	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.WL46.0126.SM.3TW8I	GTEX.RN64.0626.SM.2TC5V	GTEX.131YS.0726.SM.5P9G9	GTEX.ZC5H.0626.SM.5LU9K	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.11TTK.0826.SM.5N9EG	GTEX.YEC3.0826.SM.4WWFP	GTEX.ZAK1.0726.SM.5HL8Q	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.144GL.1226.SM.5O9A4	GTEX.ZVZQ.0626.SM.59HJU	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.Y114.0626.SM.4TT98	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.14A6H.2426.SM.5Q5BO	GTEX.Z9EW.0226.SM.5CVM7	GTEX.111FC.1026.SM.5GZX1	GTEX.13FTW.0626.SM.5IFEX
FAM98C	90.14	195.72	177.53	164.42	178.77	314.17	346.29	902.89	748.61	450.94	698.41	444.72	343.89	470.14	420.68	555.41	525.39	470.14	358.54	684.02	529.06	669.92	412.0	409.15	406.31	540.19	620.67	312.0	417.77	503.95	336.79	791.35	713.11	775.05	612.11	595.34	521.76	603.67	708.18	483.38	629.35	441.64	518.15	616.37	441.64	595.34	620.67	426.57	493.56	420.68	454.09	567.1	587.13	387.02	551.56	334.46	301.33	551.56	447.82	595.34	583.07	551.56	607.87	409.15	389.72	493.56	409.15	583.07	693.58	435.55	575.03	384.34
HCG27	6.41	5.23	6.36	2.1	9.2	8.06	0.0	181.28	60.82	59.55	138.1	55.49	37.05	62.12	40.64	45.21	90.14	50.63	25.17	56.28	120.1	68.55	33.54	35.0	42.41	34.02	81.71	35.0	37.05	48.18	36.01	101.54	151.22	186.4	92.7	81.71	34.51	22.26	75.64	43.32	42.71	29.7	107.38	135.24	21.47	102.97	58.3	28.86	72.01	38.67	37.59	85.82	40.07	31.22	63.89	14.03	35.0	37.59	41.22	138.1	120.1	41.81	77.79	47.5	37.59	52.08	115.16	133.36	140.04	26.47	53.95	23.93
HDAC10	112.77	142.01	177.53	198.47	244.57	271.48	0.0	836.53	1111.82	571.05	1304.15	476.71	460.44	616.37	441.64	551.56	738.29	307.69	420.68	947.83	688.78	660.68	395.18	583.07	447.82	693.58	536.45	387.02	497.0	591.22	305.55	1015.93	1259.69	1151.06	954.43	961.07	860.08	642.59	785.88	529.06	796.86	432.53	941.27	921.88	547.75	947.83	759.08	486.75	748.61	511.0	579.04	1023.0	638.15	392.44	813.63	291.04	392.44	500.46	450.94	1259.69	1151.06	540.19	708.18	379.04	438.59	791.35	575.03	896.64	1073.91	414.87	780.44	277.2
HIST1H2AK	0.0	1.55	0.31	1.0	3.76	10.96	0.0	40.93	52.45	31.0	62.56	6.89	24.63	16.51	3.26	53.57	67.59	20.41	13.32	46.84	21.63	84.63	23.59	47.17	18.84	48.52	65.72	21.47	23.42	17.64	19.25	65.72	95.34	73.54	134.3	4.21	24.99	57.08	40.93	18.29	23.42	5.59	98.04	39.22	16.15	23.08	59.97	29.7	96.68	9.13	49.56	66.18	43.02	4.17	34.75	4.98	52.82	0.0	41.22	73.03	92.7	15.68	12.83	63.89	17.9	47.84	24.28	67.59	45.21	52.82	34.51	18.16
HSD11B1L	36.27	231.32	20.71	43.32	82.29	29.7	0.0	620.67	698.41	426.57	543.96	279.14	244.57	281.09	299.25	450.94	341.51	273.37	215.77	457.25	237.86	389.72	287.01	389.72	234.57	420.68	518.15	143.01	320.8	307.69	208.38	543.96	409.15	384.34	447.82	529.06	514.56	260.38	447.82	223.41	447.82	327.56	339.14	521.76	295.11	426.57	532.74	248.0	332.14	490.14	251.48	463.65	358.54	208.38	363.56	158.79	251.48	353.59	307.69	441.64	470.14	381.68	392.44	185.11	249.73	426.57	371.22	447.82	595.34	301.33	466.88	242.88
HSF4	78.34	43.32	63.0	52.82	43.02	71.5	0.0	3820.7	1417.35	743.43	2119.22	260.38	189.02	312.0	260.38	575.03	1183.45	180.02	221.86	2004.85	521.76	555.41	343.89	607.87	301.33	830.75	708.18	169.07	624.99	444.72	236.21	2178.83	2451.44	1844.76	1794.29	1794.29	1427.22	1350.18	1191.69	532.74	1769.57	363.56	1508.65	2451.44	521.76	1628.26	1127.35	309.83	633.73	444.72	197.09	1651.0	473.41	269.6	743.43	172.65	392.44	241.19	363.56	1950.0	2032.85	438.59	420.68	209.84	327.56	1594.73	1286.18	1359.57	1923.14	299.25	1175.27	231.32
IFT43	616.37	909.17	563.18	493.56	896.64	532.74	0.0	842.36	1183.45	1322.37	1322.37	1216.75	1135.2	941.27	915.51	1277.29	1721.16	1225.22	974.5	1540.37	934.76	1023.0	1225.22	1259.69	1268.46	1340.84	1295.13	878.17	961.07	1127.35	967.76	1096.5	1259.69	1233.75	1572.76	1662.49	1259.69	1088.92	1268.46	1008.9	1250.98	1175.27	1651.0	1498.22	1378.57	1407.55	1331.57	1001.93	1498.22	1477.58	1225.22	1447.15	1143.1	896.64	1397.83	928.3	1119.56	1135.2	1151.06	1388.16	1457.23	1143.1	1313.23	866.07	1015.93	1313.23	1508.65	1437.15	1674.06	1313.23	1832.01	1051.79
IL11RA	85.82	142.01	191.67	215.77	137.14	265.87	0.0	1950.0	1628.26	1685.71	2384.37	1295.13	802.41	1183.45	1127.35	1191.69	2627.46	656.11	753.83	1936.53	808.0	1340.84	884.29	1001.93	1111.82	1457.23	1023.0	748.61	684.02	1498.22	633.73	2367.9	2485.67	2664.15	1427.22	1883.54	1857.6	1233.75	1781.89	1030.12	1806.78	981.29	1572.76	1561.89	808.0	2739.08	1806.78	878.17	1286.18	947.83	872.1	2319.15	1277.29	703.28	1529.73	679.29	1073.91	796.86	563.18	2193.99	2133.97	934.76	1167.14	836.53	825.0	1781.89	1447.15	2104.58	1844.76	1081.39	2148.82	759.08
INO80E	599.49	555.41	353.59	392.44	361.04	536.45	0.0	2061.24	1844.76	1304.15	1936.53	1242.34	1295.13	1561.89	1277.29	1447.15	1397.83	1216.75	1151.06	1477.58	1437.15	1561.89	1044.52	1295.13	1304.15	1437.15	1540.37	1081.39	1331.57	1359.57	1175.27	1662.49	1529.73	1977.24	1909.85	1540.37	1769.57	1519.15	1819.35	1175.27	1417.35	1233.75	1551.09	1427.22	1167.14	1639.59	1721.16	1088.92	1628.26	1143.1	723.08	1832.01	1322.37	1135.2	1605.83	1008.9	1183.45	1233.75	1331.57	2032.85	1594.73	1350.18	1498.22	928.3	1151.06	1697.45	1417.35	1628.26	1832.01	1250.98	1417.35	1135.2
KAT2A	287.01	149.12	130.6	157.68	117.6	127.89	0.0	2875.3	1167.14	607.87	1437.15	497.0	376.41	414.87	454.09	836.53	872.1	567.1	346.29	1199.98	463.65	633.73	420.68	595.34	438.59	748.61	555.41	283.05	547.75	547.75	339.14	1073.91	1008.9	1151.06	1259.69	1059.11	1081.39	808.0	764.36	454.09	947.83	412.0	1191.69	1191.69	540.19	1111.82	928.3	414.87	780.44	603.67	536.45	941.27	460.44	376.41	884.29	299.25	547.75	403.5	341.51	1397.83	1322.37	473.41	493.56	301.33	476.71	1044.52	769.69	1008.9	1322.37	529.06	1104.13	318.57
LAT	35.25	66.18	22.59	16.75	29.48	18.84	0.0	373.81	723.08	267.73	1936.53	223.41	139.07	262.2	141.02	271.48	371.22	98.04	115.16	529.06	182.55	339.14	139.07	173.85	89.51	314.17	204.07	98.73	234.57	185.11	92.05	679.29	656.11	1066.48	7537.18	387.02	334.46	297.17	244.57	228.13	316.37	107.38	599.49	457.25	201.25	555.41	435.55	181.28	414.87	228.13	211.31	583.07	265.87	123.5	246.28	104.42	111.99	137.14	185.11	728.11	921.88	139.07	181.28	171.45	112.77	334.46	271.48	514.56	819.3	137.14	575.03	63.0
LIG1	122.64	178.77	106.63	108.14	108.14	220.32	0.0	1111.82	647.07	511.0	860.08	395.18	289.02	312.0	242.88	460.44	441.64	373.81	323.03	728.11	423.61	563.18	253.23	417.77	267.73	466.88	595.34	303.44	400.71	336.79	314.17	785.88	785.88	842.36	642.59	599.49	480.04	579.04	607.87	476.71	583.07	312.0	476.71	660.68	371.22	743.43	674.59	269.6	543.96	334.46	318.57	723.08	575.03	277.2	733.19	237.86	346.29	309.83	435.55	802.41	890.44	279.14	423.61	305.55	346.29	543.96	497.0	684.02	1023.0	334.46	567.1	291.04
LRRC29	36.79	111.21	20.56	34.02	45.53	27.44	0.0	514.56	265.87	181.28	376.41	185.11	177.53	94.67	105.15	194.36	246.28	145.02	146.03	289.02	191.67	273.37	163.28	158.79	139.07	262.2	214.27	130.6	186.4	127.0	112.77	260.38	285.03	232.94	253.23	303.44	273.37	166.73	273.37	170.25	228.13	105.89	214.27	432.53	229.72	237.86	348.71	161.02	260.38	178.77	151.22	343.89	199.85	152.28	181.28	127.89	162.14	167.9	146.03	287.01	353.59	224.97	195.72	109.66	102.97	262.2	351.14	226.54	295.11	124.37	320.8	122.64
MFI2	19.82	18.84	2.81	1.95	3.72	7.17	0.0	281.09	248.0	88.88	271.48	59.13	34.26	82.87	73.54	118.43	98.04	21.16	85.22	237.86	98.73	102.97	79.45	55.1	40.07	73.54	91.41	23.76	60.39	112.77	36.79	353.59	409.15	165.57	343.89	195.72	204.07	173.85	181.28	52.45	197.09	50.27	251.48	444.72	53.95	141.02	150.17	81.14	127.0	65.26	41.81	336.79	96.68	68.55	155.5	78.89	97.36	50.63	55.49	195.72	341.51	90.77	96.01	38.67	32.36	208.38	194.36	158.79	287.01	56.68	183.82	34.26
MYH7B	9.34	6.01	13.62	8.71	1.33	2.48	0.0	111.21	152.28	64.8	66.65	54.33	19.68	25.91	30.78	49.56	49.91	23.59	30.56	113.56	51.71	58.71	31.9	40.64	40.64	65.72	40.93	24.81	55.89	37.32	21.32	113.56	156.59	100.83	114.36	125.24	77.25	70.51	76.71	31.0	88.88	30.78	64.8	153.34	34.51	109.66	81.14	28.65	71.0	55.49	30.78	102.25	45.21	28.65	96.68	24.46	41.52	23.59	33.54	120.1	195.72	28.65	47.84	39.79	23.59	80.01	43.02	100.13	153.34	34.26	86.43	16.63
NAT6	113.56	100.13	63.89	53.19	116.78	101.54	0.0	813.63	392.44	291.04	379.04	287.01	267.73	262.2	309.83	256.78	293.07	185.11	273.37	389.72	348.71	389.72	262.2	336.79	267.73	341.51	289.02	267.73	356.05	299.25	220.32	397.93	381.68	395.18	417.77	325.29	267.73	260.38	371.22	358.54	353.59	244.57	341.51	397.93	329.84	384.34	384.34	320.8	339.14	329.84	281.09	417.77	325.29	323.03	403.5	267.73	283.05	341.51	281.09	332.14	353.59	291.04	339.14	281.09	241.19	291.04	373.81	334.46	332.14	285.03	283.05	291.04
NEK8	36.53	66.65	66.65	43.02	77.25	47.5	79.45	532.74	334.46	186.4	334.46	275.28	242.88	293.07	221.86	318.57	356.05	195.72	176.29	305.55	295.11	303.44	234.57	214.27	312.0	242.88	232.94	226.54	202.66	291.04	157.68	325.29	547.75	417.77	329.84	295.11	305.55	361.04	361.04	228.13	275.28	176.29	450.94	314.17	299.25	356.05	320.8	236.21	269.6	201.25	234.57	379.04	232.94	246.28	348.71	202.66	205.5	186.4	214.27	429.54	351.14	165.57	314.17	211.31	229.72	265.87	232.94	314.17	376.41	211.31	379.04	170.25
NRN1L	2.36	0.84	1.38	10.0	0.0	2.03	0.0	125.24	39.5	19.97	45.53	20.41	17.51	14.35	4.5	29.27	36.79	13.52	18.43	34.02	30.56	48.52	26.47	24.11	21.16	26.86	16.03	19.97	22.1	15.45	7.94	31.45	46.5	40.93	46.18	12.09	27.05	30.78	21.47	26.1	26.67	16.03	49.21	40.64	29.7	41.81	36.53	11.73	25.91	21.32	13.12	51.35	38.4	11.04	21.94	15.68	19.11	13.62	19.97	84.04	67.59	20.11	16.27	15.45	16.03	26.1	24.11	43.32	59.97	19.39	27.64	10.24
NUDT17	31.22	44.89	10.96	3.72	6.16	14.89	0.0	260.38	201.25	124.37	258.57	85.22	69.03	117.6	65.26	75.11	141.02	104.42	74.06	132.44	114.36	74.58	74.06	76.17	59.13	100.83	135.24	81.14	109.66	105.15	39.79	204.07	309.83	175.07	145.02	193.01	115.97	76.71	127.0	69.52	108.9	75.11	115.97	171.45	68.55	162.14	157.68	102.25	142.01	118.43	101.54	163.28	76.71	102.25	109.66	94.67	87.65	88.26	34.75	142.01	224.97	89.51	163.28	85.82	73.54	115.97	112.77	199.85	176.29	47.17	121.79	87.03
OBSCN	15.91	74.06	6.46	9.34	2.84	4.24	0.0	1427.22	785.88	559.28	866.07	323.03	281.09	368.65	387.02	575.03	616.37	258.57	277.2	866.07	316.37	507.46	237.86	420.68	314.17	665.29	521.76	231.32	414.87	381.68	218.79	1096.5	967.76	842.36	1030.12	1030.12	603.67	511.0	802.41	332.14	866.07	301.33	521.76	1529.73	406.31	665.29	954.43	414.87	540.19	457.25	281.09	967.76	341.51	269.6	603.67	267.73	366.09	412.0	312.0	941.27	934.76	180.02	432.53	262.2	406.31	703.28	607.87	896.64	1191.69	318.57	616.37	236.21
ODF3B	346.29	92.05	412.0	406.31	490.14	392.44	0.0	1340.84	1857.6	591.22	2682.69	403.5	713.11	420.68	674.59	384.34	486.75	251.48	718.08	1417.35	743.43	753.83	1233.75	341.51	343.89	896.64	860.08	723.08	409.15	693.58	656.11	1199.98	1605.83	2468.49	1417.35	2468.49	974.5	872.1	808.0	651.58	743.43	642.59	1561.89	1819.35	470.14	836.53	1023.0	444.72	1175.27	603.67	389.72	1183.45	603.67	559.28	764.36	733.19	429.54	325.29	299.25	2451.44	1617.0	1051.79	587.13	529.06	190.34	1605.83	1794.29	698.41	1721.16	669.92	896.64	327.56
P4HTM	67.59	616.37	93.35	120.94	136.19	140.04	0.0	1977.24	1794.29	1096.5	1909.85	1304.15	1175.27	1023.0	1015.93	1508.65	1457.23	934.76	1051.79	1909.85	1104.13	1397.83	1073.91	1487.87	981.29	1378.57	1427.22	988.12	1044.52	1183.45	941.27	1923.14	1781.89	1870.53	1832.01	1923.14	1757.34	1304.15	1697.45	1191.69	1639.59	1159.07	1806.78	1594.73	1096.5	1583.71	1529.73	1331.57	1745.2	1369.04	981.29	1991.0	1467.37	1175.27	1733.13	848.22	1286.18	1295.13	1477.58	1870.53	1639.59	1467.37	1388.16	842.36	1044.52	1794.29	1551.09	1806.78	1628.26	1457.23	1697.45	819.3
PCED1A	220.32	301.33	97.36	159.9	137.14	169.07	0.0	3146.52	2384.37	1127.35	2178.83	1313.23	1008.9	1167.14	941.27	1437.15	1844.76	802.41	802.41	2178.83	1111.82	1561.89	830.75	1104.13	753.83	1457.23	1388.16	836.53	1073.91	1216.75	884.29	2090.03	2287.2	2061.24	2224.63	2163.77	1936.53	1487.87	1651.0	1216.75	1447.15	1073.91	1806.78	2119.22	1030.12	1896.65	1883.54	1088.92	1369.04	1437.15	1111.82	1923.14	1369.04	896.64	1457.23	733.19	1030.12	1081.39	808.0	1977.24	2209.26	1199.98	1477.58	1088.92	1023.0	1407.55	1583.71	2090.03	2417.67	1008.9	2224.63	836.53
PCP2	1.45	16.03	1.77	0.99	8.71	2.58	0.0	145.02	158.79	89.51	139.07	72.52	35.25	63.45	50.63	46.84	71.0	49.21	18.97	163.28	48.87	122.64	38.95	46.5	16.75	92.7	48.87	29.7	82.29	63.45	27.05	197.09	211.31	143.01	182.55	167.9	116.78	85.82	108.14	37.32	109.66	59.13	93.35	166.73	41.52	147.06	73.54	44.89	82.29	90.14	31.45	105.15	60.39	62.12	95.34	37.05	29.7	31.67	36.79	90.77	217.27	47.84	51.71	23.08	65.72	88.88	93.35	177.53	186.4	41.22	185.11	28.04
PCSK4	3.2	18.84	14.35	33.06	8.65	12.83	0.0	426.57	224.97	102.97	190.34	130.6	49.56	96.68	69.03	128.79	141.02	63.45	71.5	275.28	120.94	234.57	65.26	85.22	30.12	151.22	162.14	63.0	115.16	127.0	23.76	273.37	289.02	154.42	289.02	316.37	205.5	132.44	183.82	118.43	177.53	87.65	127.0	353.59	48.52	295.11	211.31	99.43	169.07	166.73	59.13	232.94	112.77	46.84	167.9	38.12	73.03	107.38	84.04	279.14	307.69	69.52	182.55	76.17	96.01	183.82	120.94	136.19	368.65	100.83	195.72	49.21
PGAP2	256.78	368.65	318.57	236.21	309.83	403.5	0.0	1583.71	1295.13	896.64	1322.37	830.75	796.86	866.07	665.29	836.53	1135.2	764.36	587.13	1388.16	934.76	974.5	819.3	780.44	647.07	954.43	866.07	583.07	802.41	909.17	503.95	1167.14	1427.22	1159.07	1001.93	1051.79	1104.13	909.17	1104.13	748.61	1135.2	738.29	1183.45	1135.2	1015.93	1183.45	1001.93	842.36	1143.1	819.3	759.08	1208.34	825.0	603.67	1096.5	669.92	769.69	669.92	656.11	1519.15	1447.15	902.89	995.0	595.34	660.68	1015.93	836.53	1175.27	1151.06	688.78	1331.57	708.18
PLA2G4B	28.86	1.71	21.63	21.01	24.28	30.78	0.0	693.58	698.41	217.27	651.58	158.79	108.9	197.09	122.64	271.48	438.59	130.6	54.33	511.0	232.94	218.79	178.77	217.27	117.6	363.56	285.03	92.05	214.27	126.12	95.34	493.56	507.46	587.13	476.71	450.94	457.25	226.54	336.79	141.02	414.87	109.66	518.15	607.87	237.86	674.59	429.54	170.25	389.72	314.17	155.5	567.1	173.85	128.79	373.81	96.68	175.07	258.57	140.04	825.0	733.19	175.07	248.0	100.83	162.14	314.17	271.48	476.71	483.38	145.02	665.29	117.6
PPOX	182.55	253.23	102.97	96.68	115.16	162.14	0.0	1199.98	733.19	483.38	819.3	543.96	441.64	476.71	423.61	486.75	796.86	395.18	358.54	854.13	669.92	624.99	392.44	486.75	366.09	493.56	612.11	343.89	511.0	507.46	285.03	738.29	941.27	825.0	791.35	842.36	679.29	457.25	579.04	463.65	665.29	358.54	802.41	941.27	579.04	934.76	728.11	435.55	941.27	521.76	435.55	909.17	551.56	457.25	764.36	353.59	507.46	470.14	521.76	1096.5	1127.35	420.68	559.28	351.14	454.09	595.34	612.11	791.35	1030.12	470.14	665.29	392.44
PPP1R3E	78.34	236.21	128.79	63.45	81.71	52.08	0.0	1286.18	665.29	454.09	848.22	490.14	229.72	511.0	291.04	583.07	591.22	429.54	291.04	1066.48	511.0	540.19	279.14	435.55	299.25	490.14	503.95	217.27	438.59	426.57	177.53	872.1	1015.93	934.76	1051.79	1044.52	486.75	543.96	633.73	361.04	547.75	241.19	723.08	1023.0	325.29	854.13	583.07	336.79	660.68	432.53	327.56	769.69	417.77	353.59	603.67	264.03	429.54	361.04	392.44	878.17	1151.06	295.11	620.67	432.53	299.25	638.15	559.28	860.08	1216.75	329.84	674.59	256.78
PRMT1	2104.58	1605.83	872.1	808.0	1769.57	915.51	0.0	3081.75	6121.9	2777.33	3467.27	2384.37	2417.67	2485.67	2701.35	2739.08	3742.05	2163.77	2664.15	3039.3	2434.5	3018.3	2075.59	2895.31	3325.99	2956.17	2777.33	2502.97	2468.49	2720.15	2796.65	3235.01	3395.89	3190.46	3303.0	2855.44	3443.31	3168.41	2835.7	2417.67	2915.45	3039.3	2796.65	2855.44	2573.36	2915.45	3060.45	2555.58	3103.19	2384.37	3018.3	3039.3	2895.31	2555.58	4010.71	2417.67	2434.5	2178.83	2104.58	3303.0	2758.13	2835.7	2351.53	1991.0	3039.3	2739.08	2468.49	3419.52	3467.27	2502.97	2758.13	2875.3
PRSS53	1.46	0.88	17.13	21.32	5.54	7.46	0.0	39.79	20.86	6.36	60.82	8.85	13.52	10.71	7.88	8.78	26.28	3.08	8.65	21.63	11.21	16.39	16.75	18.84	8.85	17.25	15.22	14.67	10.0	14.56	8.78	18.84	22.43	29.91	53.57	23.76	28.65	17.9	23.42	12.45	17.38	5.11	36.01	27.25	17.38	24.46	21.47	11.21	31.0	4.66	14.89	23.42	9.7	12.09	11.21	5.36	16.39	8.99	4.98	33.78	27.44	13.12	7.88	8.58	8.06	12.36	21.63	18.7	18.16	8.99	17.77	4.74
QTRT1	429.54	417.77	579.04	381.68	514.56	802.41	0.0	2701.35	2758.13	1685.71	2682.69	1457.23	1030.12	1159.07	1096.5	1709.26	2895.31	915.51	941.27	2976.74	1561.89	1896.65	1096.5	1322.37	1304.15	2240.11	1119.56	1037.29	1304.15	1498.22	974.5	2701.35	3491.39	2367.9	2434.5	2777.33	2148.82	2090.03	2090.03	1551.09	2400.97	1183.45	2956.17	2855.44	1583.71	3124.78	2537.92	1151.06	1883.54	1540.37	1313.23	2645.74	1551.09	1023.0	2451.44	872.1	1159.07	1001.93	1001.93	3060.45	3349.13	1467.37	1417.35	1096.5	1277.29	2816.11	1639.59	2193.99	2682.69	1167.14	2895.31	1088.92
RAB24	205.5	511.0	165.57	234.57	244.57	185.11	0.0	1909.85	995.0	728.11	1242.34	785.88	642.59	738.29	684.02	872.1	890.44	620.67	595.34	947.83	688.78	780.44	842.36	1008.9	521.76	728.11	915.51	656.11	629.35	708.18	591.22	1081.39	718.08	1044.52	1277.29	1030.12	860.08	629.35	629.35	693.58	830.75	703.28	878.17	995.0	819.3	954.43	890.44	633.73	954.43	842.36	1066.48	909.17	728.11	656.11	780.44	476.71	679.29	743.43	616.37	1037.29	1073.91	813.63	728.11	559.28	591.22	813.63	1037.29	878.17	1233.75	723.08	878.17	620.67
RECQL4	21.32	32.13	38.67	24.46	10.31	38.12	0.0	151.22	186.4	76.17	279.14	110.43	57.49	125.24	82.29	85.82	162.14	106.63	69.52	197.09	157.68	206.94	164.42	141.02	159.9	161.02	138.1	63.45	105.15	94.67	53.95	141.02	241.19	205.5	209.84	127.89	145.02	170.25	171.45	87.03	136.19	97.36	172.65	83.45	189.02	152.28	147.06	66.65	190.34	173.85	149.12	229.72	116.78	65.72	169.07	63.0	148.09	115.97	110.43	285.03	277.2	123.5	151.22	42.11	96.01	143.01	120.94	189.02	172.65	97.36	229.72	112.77
RFPL3S	0.73	2.86	0.13	0.71	0.72	0.0	0.0	19.82	15.22	13.62	29.91	20.41	11.64	12.36	8.78	18.97	36.79	6.01	9.2	26.47	16.03	11.13	7.69	15.22	3.44	17.9	14.35	11.55	5.77	4.5	12.83	31.22	29.7	30.56	32.13	19.82	23.59	20.71	7.34	12.45	29.06	5.54	33.54	19.39	9.13	35.5	14.56	7.57	19.97	21.94	7.94	14.89	11.64	5.36	37.59	0.42	12.64	9.85	6.62	27.84	50.63	8.65	21.01	5.63	13.83	19.11	9.63	28.45	22.59	13.52	23.08	2.81
RHPN1	33.3	81.14	3.92	5.73	13.42	4.35	0.0	2645.74	1286.18	583.07	1199.98	796.86	392.44	579.04	429.54	842.36	1015.93	395.18	258.57	1286.18	713.11	620.67	547.75	665.29	514.56	921.88	759.08	384.34	543.96	575.03	318.57	1175.27	1066.48	1183.45	1583.71	1242.34	995.0	796.86	854.13	463.65	813.63	450.94	1277.29	1583.71	909.17	1111.82	1030.12	638.15	769.69	759.08	536.45	1191.69	638.15	454.09	1096.5	351.14	698.41	791.35	559.28	1216.75	1119.56	540.19	629.35	420.68	665.29	866.07	769.69	1277.29	1508.65	500.46	1199.98	307.69
RP11-5A19.5	2.56	0.48	2.86	4.5	1.27	2.39	0.0	395.18	124.37	71.5	183.82	29.06	9.48	37.85	26.86	58.71	84.04	18.03	24.28	167.9	48.87	71.5	33.06	52.08	24.63	74.58	72.01	8.25	54.33	60.39	22.43	187.71	305.55	195.72	226.54	157.68	138.1	133.36	63.89	47.5	135.24	34.75	190.34	159.9	40.07	103.69	66.65	19.39	31.22	28.24	26.86	221.86	47.5	20.71	81.71	9.85	33.78	17.77	40.93	258.57	181.28	64.8	46.18	11.82	31.45	124.37	78.34	84.04	157.68	25.17	90.77	12.55
SAFB2	490.14	764.36	536.45	384.34	356.05	363.56	0.0	2591.27	1304.15	1111.82	1896.65	1151.06	1208.34	1250.98	1104.13	1104.13	1519.15	830.75	941.27	1561.89	1322.37	1674.06	1044.52	1467.37	1216.75	1183.45	1175.27	1216.75	1175.27	1295.13	1081.39	1561.89	1844.76	1769.57	2384.37	1572.76	1519.15	1359.57	1167.14	1167.14	1447.15	1037.29	1745.2	1617.0	1135.2	1685.71	1225.22	1167.14	1457.23	1081.39	1268.46	1991.0	1331.57	1216.75	2075.59	1059.11	1104.13	708.18	1417.35	2133.97	2032.85	1104.13	1167.14	1135.2	1277.29	1674.06	1340.84	1639.59	1757.34	1216.75	1437.15	830.75
SALL4	1.48	0.82	3.23	0.0	5.19	0.82	0.0	305.55	193.01	114.36	226.54	122.64	64.34	121.79	41.52	73.54	234.57	78.34	52.45	60.82	134.3	182.55	31.9	52.08	44.89	120.1	42.71	34.51	23.76	78.34	59.13	137.14	466.88	145.02	353.59	186.4	136.19	130.6	198.47	45.85	117.6	44.89	209.84	426.57	36.79	165.57	63.0	43.63	118.43	31.22	59.13	241.19	127.0	37.85	170.25	45.85	70.51	10.55	71.5	376.41	197.09	44.89	186.4	72.01	87.65	371.22	66.65	199.85	100.13	35.5	98.04	27.64
SAMD10	56.28	78.89	20.41	22.92	36.01	23.25	0.0	127.0	220.32	145.02	249.73	84.63	77.25	82.29	75.64	111.21	121.79	92.05	55.49	136.19	117.6	130.6	76.71	97.36	88.26	112.77	121.79	63.89	88.26	84.63	50.63	177.53	198.47	178.77	186.4	132.44	131.51	113.56	151.22	80.57	131.51	77.25	119.26	173.85	125.24	119.26	177.53	73.03	172.65	106.63	107.38	197.09	82.87	77.25	94.67	69.52	71.5	81.71	85.22	214.27	187.71	100.83	104.42	37.05	76.17	105.15	135.24	158.79	153.34	63.0	137.14	69.52
