	TCGA.38.4625.01A.01R.1206.07	TCGA.EM.A2CU.01A.12R.A180.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.ET.A25K.01A.11R.A16R.07	TCGA.ET.A3BP.01A.21R.A19O.07	TCGA.KS.A4ID.01A.11R.A250.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.BJ.A2NA.01A.12R.A19O.07	TCGA.E8.A242.01A.21R.A16R.07	TCGA.E3.A3E1.01A.11R.A20F.07	TCGA.FE.A237.01A.11R.A16R.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.ET.A3DU.01A.11R.A19O.07	TCGA.ET.A25M.01A.11R.A16R.07	TCGA.CE.A13K.01A.11R.A10U.07	TCGA.ET.A39S.01A.11R.A19O.07	GTEX.W5X1.0426.SM.3GILB	GTEX.14ABY.0926.SM.5Q5DY	GTEX.1399T.0126.SM.5KM15	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.ZTX8.0626.SM.59HKC	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.QV44.0826.SM.2S1RG	GTEX.1313W.0726.SM.5EGK1	GTEX.WHSB.1626.SM.3LK6J	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.T2IS.0626.SM.32QP6	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.144GL.1226.SM.5O9A4	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.111FC.1026.SM.5GZX1
DNAH6	0.0	9.48	10.63	13.72	37.32	17.9	12.64	13.83	14.45	10.31	12.27	19.97	6.36	2.76	19.11	16.39	44.89	127.89	69.03	100.83	43.02	40.64	128.79	15.56	64.8	91.41	82.87	41.22	30.56	77.79	55.49	39.79	51.35	78.34	73.03	78.34	34.75	54.33	79.45	56.68	25.35	41.81	70.51	25.35	22.1	74.06	178.77	50.63	12.27	32.13	138.1	50.27	71.5	32.13	86.43	114.36	128.79
DNAH7	0.0	42.41	31.22	19.97	37.59	49.21	42.71	52.45	50.63	22.59	29.91	37.32	9.34	21.94	48.18	41.52	48.87	205.5	143.01	194.36	56.28	67.59	123.5	67.12	175.07	217.27	239.52	127.89	54.72	273.37	120.1	66.65	148.09	129.69	205.5	226.54	71.0	251.48	141.02	82.29	60.39	133.36	256.78	120.94	83.45	103.69	117.6	83.45	41.81	63.45	220.32	102.97	120.1	88.26	231.32	129.69	253.23
DPY19L2	0.0	100.83	42.41	15.22	88.88	154.42	208.38	109.66	71.5	14.14	73.03	62.56	108.9	40.36	36.79	217.27	119.26	928.3	651.58	728.11	211.31	480.04	616.37	314.17	629.35	1561.89	1397.83	363.56	158.79	961.07	275.28	253.23	525.39	656.11	860.08	521.76	234.57	836.53	476.71	226.54	293.07	412.0	813.63	395.18	334.46	130.6	525.39	236.21	267.73	334.46	1216.75	287.01	633.73	172.65	1277.29	397.93	819.3
DZIP3	0.0	105.89	74.58	58.71	119.26	125.24	128.79	104.42	111.21	97.36	109.66	135.24	85.22	115.16	127.0	115.97	143.01	500.46	356.05	395.18	215.77	229.72	412.0	215.77	301.33	532.74	299.25	226.54	220.32	336.79	371.22	275.28	273.37	353.59	316.37	325.29	264.03	329.84	283.05	215.77	212.78	314.17	371.22	198.47	289.02	221.86	376.41	246.28	155.5	271.48	473.41	273.37	299.25	223.41	329.84	361.04	409.15
EFCAB11	0.0	117.6	171.45	143.01	130.6	289.02	120.1	158.79	194.36	142.01	153.34	141.02	112.77	94.01	145.02	112.77	226.54	307.69	303.44	291.04	176.29	205.5	152.28	177.53	262.2	221.86	231.32	191.67	173.85	312.0	226.54	229.72	159.9	212.78	217.27	232.94	258.57	249.73	202.66	157.68	201.25	307.69	325.29	224.97	260.38	191.67	307.69	162.14	187.71	215.77	224.97	205.5	164.42	181.28	236.21	253.23	258.57
EFHB	0.0	46.84	24.63	5.63	14.45	13.42	30.56	34.51	5.59	4.9	23.59	9.41	4.35	14.56	12.64	14.03	48.18	171.45	72.01	143.01	7.51	92.05	108.9	63.89	176.29	27.25	195.72	44.25	31.67	79.45	69.52	57.89	62.12	95.34	114.36	109.66	65.72	48.18	90.77	61.25	20.56	81.14	127.0	46.5	63.0	29.91	108.14	26.28	13.22	23.42	16.88	17.77	25.91	25.54	40.36	94.01	66.18
EPHB1	0.0	28.04	13.52	16.15	19.39	40.93	35.0	32.13	23.93	9.34	47.84	56.28	10.24	9.85	34.02	35.5	52.45	379.04	559.28	297.17	109.66	175.07	339.14	24.99	356.05	351.14	669.92	120.1	141.02	395.18	336.79	309.83	738.29	603.67	246.28	540.19	497.0	529.06	480.04	145.02	69.03	514.56	525.39	157.68	206.94	111.99	343.89	114.36	47.17	120.1	303.44	237.86	109.66	63.89	684.02	540.19	669.92
FAM149B1	0.0	283.05	332.14	281.09	376.41	423.61	518.15	373.81	432.53	320.8	438.59	368.65	414.87	379.04	353.59	444.72	381.68	638.15	536.45	503.95	336.79	376.41	381.68	435.55	457.25	607.87	493.56	429.54	305.55	466.88	450.94	387.02	503.95	486.75	470.14	500.46	454.09	348.71	493.56	301.33	414.87	387.02	536.45	420.68	493.56	371.22	555.41	384.34	363.56	447.82	525.39	409.15	392.44	511.0	473.41	423.61	532.74
FAM163A	0.0	0.19	0.67	0.47	0.46	0.01	0.0	0.56	0.0	0.0	0.89	0.66	0.06	0.4	0.0	1.01	1.41	53.57	121.79	53.57	24.99	57.08	9.13	10.16	47.17	81.71	256.78	31.0	101.54	101.54	77.25	31.45	79.45	72.52	17.38	104.42	27.25	37.85	48.52	26.86	45.53	10.63	55.89	85.82	38.67	16.51	244.57	25.91	45.53	45.21	52.45	18.7	6.46	23.25	102.25	12.27	100.13
FAM181B	0.0	13.62	1.11	3.56	7.51	19.97	11.82	14.78	9.27	5.23	18.43	7.69	11.13	3.41	7.88	6.78	11.3	52.08	130.6	318.57	36.01	31.45	41.52	8.58	68.07	123.5	78.89	55.89	74.06	44.57	109.66	14.14	112.77	63.45	76.71	27.64	65.72	72.52	124.37	38.67	18.29	143.01	47.5	105.89	44.89	59.13	40.93	14.56	40.07	34.75	87.03	34.75	54.33	29.06	55.1	115.97	85.82
FAM185A	0.0	76.71	84.63	69.03	66.65	77.25	90.77	91.41	80.01	73.54	74.58	75.11	66.18	63.45	67.59	73.54	99.43	138.1	112.77	262.2	94.67	119.26	137.14	120.94	172.65	175.07	180.02	165.57	111.21	128.79	118.43	109.66	133.36	147.06	141.02	139.07	118.43	142.01	113.56	115.97	110.43	121.79	127.0	106.63	102.97	117.6	158.79	98.73	115.97	161.02	198.47	98.04	152.28	130.6	121.79	172.65	128.79
FAM186B	0.0	6.84	6.52	7.28	8.85	11.13	14.24	9.85	11.82	7.63	9.78	10.31	6.57	3.53	15.8	6.16	10.39	47.5	13.12	43.32	14.89	19.11	29.27	22.92	20.11	43.32	28.04	29.91	15.8	30.78	31.45	17.64	31.45	49.21	13.52	44.89	22.92	31.45	38.95	11.38	14.24	17.13	21.78	5.96	34.02	23.42	46.84	15.22	6.46	24.99	26.86	25.17	12.45	14.14	55.49	25.91	33.3
FAM200B	0.0	1417.35	1208.34	1304.15	954.43	1167.14	1844.76	1159.07	1277.29	1059.11	1605.83	1037.29	1304.15	825.0	1066.48	1216.75	1167.14	1733.13	2835.7	1896.65	1322.37	1199.98	1447.15	1286.18	2758.13	2178.83	2434.5	1233.75	1030.12	2240.11	1769.57	1407.55	1977.24	2018.8	2367.9	1857.6	1304.15	2400.97	1819.35	1397.83	1340.84	2335.28	1977.24	1819.35	1304.15	1417.35	1628.26	1143.1	1605.83	1769.57	1651.0	1242.34	2303.12	2573.36	2434.5	2075.59	2351.53
FAM220A	0.0	217.27	211.31	190.34	155.5	198.47	197.09	176.29	211.31	223.41	244.57	190.34	161.02	202.66	224.97	177.53	212.78	514.56	638.15	432.53	343.89	297.17	358.54	242.88	497.0	384.34	518.15	336.79	241.19	532.74	387.02	309.83	389.72	346.29	307.69	381.68	476.71	417.77	497.0	289.02	239.52	389.72	532.74	332.14	312.0	307.69	406.31	295.11	289.02	376.41	417.77	325.29	366.09	327.56	450.94	463.65	563.18
FAM47C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.85	0.0	0.0	0.59	1.6	2.43	0.95	0.78	0.79	0.0	1.25	0.56	3.11	0.95	0.75	0.58	0.2	0.61	2.05	2.05	1.83	0.93	0.4	2.97	1.23	0.2	0.43	1.07	1.66	1.13	0.0	0.6	1.46	0.82	0.56	0.61	0.75	1.64	0.55	0.38	0.74	1.57	2.78
FAM50B	0.0	316.37	220.32	305.55	178.77	351.14	305.55	293.07	253.23	265.87	329.84	197.09	214.27	228.13	343.89	205.5	291.04	325.29	420.68	647.07	351.14	429.54	547.75	246.28	450.94	363.56	348.71	432.53	339.14	318.57	603.67	444.72	536.45	518.15	463.65	314.17	463.65	463.65	529.06	518.15	351.14	307.69	373.81	532.74	420.68	444.72	327.56	218.79	466.88	521.76	325.29	454.09	237.86	325.29	595.34	579.04	486.75
FBXO15	0.0	23.59	22.75	11.21	19.68	23.59	33.54	13.52	14.67	12.45	15.11	4.94	8.19	6.01	17.77	22.92	40.36	101.54	108.14	204.07	16.27	21.01	64.8	59.55	125.24	231.32	159.9	57.08	30.34	123.5	88.26	72.01	193.01	115.16	82.87	150.17	69.03	146.03	127.0	33.54	33.06	132.44	92.05	59.97	42.11	30.78	102.97	14.24	24.46	20.41	158.79	43.02	66.65	80.57	166.73	129.69	134.3
FBXW10	0.0	2.03	0.0	4.28	1.33	2.1	1.93	0.84	1.33	0.0	2.18	3.79	0.92	2.05	0.91	0.0	3.26	23.25	11.3	20.11	24.11	39.22	21.63	31.67	16.39	29.06	46.5	20.86	24.11	17.51	26.86	13.93	23.76	16.75	34.02	20.41	26.67	16.15	22.26	19.39	13.32	14.67	38.67	27.44	39.79	7.17	23.25	12.36	15.91	12.83	32.36	23.59	30.12	10.96	28.65	3.86	44.25
FGGY	0.0	155.5	214.27	136.19	171.45	154.42	176.29	156.59	202.66	181.28	158.79	217.27	237.86	175.07	248.0	143.01	228.13	346.29	275.28	339.14	236.21	209.84	325.29	151.22	287.01	215.77	256.78	251.48	244.57	220.32	406.31	215.77	260.38	239.52	241.19	260.38	289.02	353.59	334.46	387.02	165.57	246.28	221.86	171.45	348.71	277.2	343.89	237.86	204.07	187.71	256.78	175.07	251.48	187.71	229.72	239.52	249.73
FHDC1	0.0	72.52	77.79	133.36	92.7	127.89	135.24	237.86	113.56	46.84	96.68	98.04	113.56	95.34	104.42	63.89	236.21	483.38	947.83	915.51	262.2	309.83	656.11	376.41	343.89	607.87	674.59	447.82	312.0	748.61	366.09	256.78	780.44	854.13	1059.11	536.45	603.67	607.87	928.3	226.54	220.32	902.89	529.06	180.02	208.38	190.34	2303.12	218.79	74.58	346.29	392.44	226.54	450.94	209.84	723.08	656.11	624.99
GATM	0.0	90.77	123.5	103.69	102.25	616.37	368.65	361.04	281.09	61.25	277.2	164.42	287.01	74.58	392.44	68.07	262.2	1883.54	4607.24	2178.83	264.03	281.09	638.15	209.84	1295.13	1883.54	1135.2	529.06	409.15	1896.65	1457.23	591.22	1447.15	1561.89	571.05	1001.93	1662.49	1685.71	2627.46	607.87	212.78	1268.46	2133.97	1322.37	217.27	457.25	1167.14	309.83	1030.12	764.36	1059.11	583.07	941.27	275.28	1781.89	2915.45	1605.83
GLIPR1L2	0.0	25.54	24.81	13.22	16.51	41.22	2.36	59.13	26.47	1.73	26.67	10.96	13.03	7.82	16.27	30.56	31.22	132.44	94.67	158.79	12.45	67.12	80.01	39.22	148.09	178.77	138.1	38.4	43.02	60.39	115.16	38.12	68.07	75.64	92.7	34.75	107.38	105.15	102.97	64.34	43.02	76.71	124.37	73.03	51.71	27.25	60.39	38.95	40.07	17.38	130.6	33.54	10.79	19.53	85.22	87.65	149.12
GLT8D1	1350.18	1388.16	1896.65	1551.09	1697.45	1639.59	1857.6	1685.71	1844.76	1721.16	1745.2	1551.09	1313.23	1594.73	1572.76	1662.49	1896.65	2855.44	3280.18	2451.44	2319.15	2255.7	2240.11	2193.99	3690.52	2434.5	3515.68	2018.8	2240.11	3060.45	2537.92	2367.9	2664.15	2816.11	2018.8	2895.31	2384.37	2758.13	2591.27	2417.67	1896.65	3103.19	3395.89	2400.97	2224.63	1923.14	2520.38	2090.03	2664.15	2701.35	3168.41	2335.28	2645.74	1628.26	2997.45	3235.01	3235.01
GOLGA1	0.0	133.36	120.1	112.77	165.57	221.86	162.14	142.01	166.73	140.04	175.07	165.57	122.64	140.04	156.59	151.22	177.53	323.03	251.48	242.88	199.85	214.27	194.36	253.23	177.53	303.44	262.2	277.2	226.54	258.57	249.73	229.72	258.57	318.57	223.41	256.78	239.52	231.32	318.57	212.78	205.5	265.87	251.48	199.85	242.88	183.82	293.07	215.77	215.77	204.07	339.14	223.41	170.25	157.68	260.38	215.77	289.02
GOLGA8M	0.0	68.55	12.83	17.51	42.71	13.83	47.5	33.3	34.26	14.67	34.02	27.05	22.59	14.67	21.01	94.67	50.63	728.11	447.82	1199.98	567.1	316.37	708.18	166.73	423.61	638.15	536.45	1081.39	260.38	381.68	764.36	759.08	656.11	665.29	163.28	813.63	291.04	395.18	320.8	587.13	373.81	291.04	253.23	40.64	2303.12	244.57	941.27	353.59	108.9	1286.18	1313.23	1378.57	117.6	102.25	441.64	575.03	473.41
GOLGA8N	0.0	89.51	32.59	60.82	25.72	67.12	73.03	36.79	68.07	57.08	59.13	151.22	56.68	43.02	57.49	190.34	74.06	1397.83	476.71	988.12	483.38	2193.99	480.04	466.88	497.0	620.67	309.83	1295.13	954.43	454.09	1051.79	1498.22	143.01	511.0	353.59	500.46	293.07	638.15	543.96	633.73	718.08	387.02	291.04	226.54	890.44	941.27	1208.34	536.45	287.01	780.44	947.83	2061.24	265.87	84.63	232.94	381.68	409.15
GOLGA8Q	0.0	6.84	5.36	0.0	32.59	37.32	24.99	8.51	32.36	4.46	16.27	28.45	2.86	16.39	12.93	60.82	55.89	791.35	80.01	616.37	406.31	1175.27	201.25	217.27	423.61	260.38	381.68	145.02	361.04	81.14	457.25	587.13	249.73	136.19	118.43	738.29	267.73	189.02	688.78	511.0	624.99	162.14	139.07	111.99	1733.13	693.58	108.9	336.79	242.88	1216.75	967.76	941.27	100.13	61.68	381.68	348.71	769.69
GPATCH2	0.0	101.54	127.89	57.89	133.36	107.38	96.68	111.21	111.99	99.43	111.99	130.6	89.51	66.65	119.26	117.6	144.01	237.86	206.94	336.79	151.22	163.28	138.1	241.19	158.79	201.25	190.34	158.79	151.22	158.79	153.34	170.25	146.03	157.68	175.07	180.02	142.01	189.02	239.52	128.79	141.02	204.07	209.84	135.24	228.13	133.36	242.88	170.25	131.51	164.42	307.69	156.59	120.1	143.01	195.72	198.47	211.31
GPR142	0.0	2.05	0.0	0.0	0.54	0.0	1.81	0.0	0.0	0.24	0.0	0.87	0.0	0.0	0.0	0.0	2.46	15.34	27.64	31.45	2.78	6.57	7.0	21.16	15.11	19.25	28.45	10.79	3.89	18.56	8.51	20.56	17.38	44.89	8.99	16.63	44.89	23.59	37.32	2.48	4.7	9.27	17.51	2.05	13.12	1.27	33.78	4.94	0.0	6.84	11.21	23.42	6.11	4.82	22.43	10.16	30.34
GRAMD2	170.25	48.87	38.67	27.44	43.63	18.29	83.45	11.73	64.8	55.89	57.89	47.5	25.72	50.63	44.89	38.4	67.59	493.56	201.25	395.18	74.06	115.97	195.72	540.19	121.79	872.1	343.89	109.66	78.89	163.28	177.53	281.09	157.68	460.44	262.2	195.72	339.14	339.14	232.94	98.73	182.55	271.48	503.95	176.29	60.82	291.04	332.14	73.54	134.3	171.45	2163.77	111.99	181.28	332.14	204.07	403.5	129.69
HAP1	0.0	4.86	5.28	7.28	4.9	1.62	10.16	2.27	5.32	8.78	14.14	6.36	2.63	11.82	2.97	5.73	27.64	101.54	132.44	104.42	44.57	218.79	62.56	161.02	47.84	88.88	255.0	108.9	102.25	273.37	194.36	124.37	186.4	166.73	92.7	269.6	303.44	130.6	120.1	13.62	130.6	141.02	156.59	56.28	142.01	55.89	567.1	24.28	98.04	127.89	392.44	228.13	46.18	25.17	236.21	224.97	241.19
KIAA1407	0.0	82.87	105.89	55.89	140.04	126.12	146.03	124.37	133.36	96.01	97.36	138.1	88.26	80.01	145.02	136.19	154.42	480.04	279.14	441.64	158.79	198.47	260.38	214.27	293.07	387.02	361.04	265.87	163.28	305.55	318.57	232.94	325.29	379.04	387.02	363.56	197.09	305.55	307.69	163.28	155.5	297.17	361.04	166.73	144.01	202.66	387.02	173.85	111.21	218.79	473.41	178.77	236.21	181.28	366.09	253.23	356.05
KIF6	0.0	5.54	4.66	2.34	14.56	13.32	8.38	9.06	10.31	2.86	6.62	11.04	2.73	16.27	8.99	7.28	14.78	74.06	62.56	74.58	39.5	27.84	43.94	20.26	73.54	103.69	100.83	23.42	25.91	87.65	66.65	32.82	68.07	69.03	52.45	74.06	60.39	56.68	90.14	51.35	33.3	91.41	94.67	85.82	32.82	47.5	48.18	19.68	20.86	26.47	121.79	46.5	19.11	22.1	61.25	46.84	131.51
KLHDC1	0.0	60.82	43.02	22.1	72.52	93.35	77.25	87.65	81.14	33.3	63.89	74.58	77.25	35.0	61.68	68.07	80.01	218.79	159.9	199.85	88.26	112.77	126.12	75.64	149.12	198.47	241.19	137.14	65.72	161.02	90.77	110.43	162.14	206.94	156.59	144.01	111.21	124.37	209.84	91.41	71.5	153.34	191.67	121.79	87.03	101.54	158.79	89.51	76.17	108.14	253.23	81.71	114.36	72.01	202.66	145.02	155.5
KLHL14	0.0	146.03	154.42	102.97	205.5	145.02	142.01	273.37	193.01	118.43	214.27	163.28	125.24	87.65	212.78	154.42	195.72	629.35	514.56	376.41	214.27	353.59	466.88	231.32	376.41	435.55	438.59	318.57	287.01	353.59	447.82	291.04	262.2	420.68	220.32	435.55	432.53	325.29	429.54	318.57	283.05	241.19	426.57	273.37	429.54	224.97	511.0	177.53	320.8	327.56	753.83	325.29	265.87	173.85	507.46	392.44	583.07
KSR1	0.0	273.37	169.07	129.69	438.59	273.37	379.04	285.03	384.34	236.21	325.29	400.71	237.86	332.14	361.04	343.89	358.54	2163.77	679.29	1769.57	825.0	1233.75	1322.37	1073.91	547.75	1923.14	1540.37	1268.46	854.13	1331.57	1662.49	1208.34	866.07	1870.53	1191.69	1268.46	1331.57	642.59	1044.52	723.08	733.19	723.08	775.05	265.87	1175.27	684.02	2956.17	647.07	305.55	1119.56	2895.31	995.0	518.15	988.12	791.35	1051.79	981.29
KY	0.0	41.52	5.36	2.94	7.82	32.82	22.1	25.54	13.52	6.52	10.39	10.08	3.63	7.22	13.12	50.98	20.41	291.04	264.03	403.5	86.43	68.07	129.69	27.44	151.22	234.57	242.88	79.45	77.79	154.42	253.23	90.77	226.54	314.17	84.04	199.85	161.02	131.51	420.68	36.53	44.25	170.25	128.79	50.98	120.94	66.65	420.68	55.49	25.54	81.71	205.5	108.9	65.72	49.56	395.18	234.57	309.83
LCA5L	0.0	44.89	46.18	27.25	28.86	57.49	61.25	50.63	41.81	50.63	65.72	64.34	28.24	30.12	61.68	40.93	40.93	297.17	185.11	226.54	68.07	134.3	166.73	121.79	114.36	180.02	164.42	85.22	69.03	170.25	156.59	87.03	146.03	161.02	86.43	173.85	100.13	121.79	148.09	78.34	63.45	181.28	150.17	79.45	113.56	111.99	123.5	92.7	60.82	89.51	212.78	75.64	66.18	100.83	165.57	108.14	236.21
LHX8	0.0	1.51	0.0	0.0	0.73	2.01	1.85	0.0	3.06	1.81	5.36	0.73	1.25	3.69	0.0	0.71	0.71	31.67	9.41	19.39	1.69	11.13	13.12	0.0	6.67	1.0	11.73	5.59	5.28	3.63	6.57	6.46	3.29	16.15	1.62	7.34	3.32	4.5	11.3	13.32	1.19	5.5	10.79	0.4	8.51	6.62	8.25	0.67	5.63	3.2	27.44	0.19	4.78	2.03	5.15	6.06	0.58
LOH12CR2	0.0	23.59	13.22	14.24	13.03	20.56	31.22	23.42	14.14	13.93	19.39	18.43	14.14	8.65	15.0	31.0	28.86	71.0	162.14	124.37	52.82	51.35	61.25	48.87	105.15	126.12	118.43	85.22	46.5	118.43	89.51	51.71	148.09	115.16	94.01	117.6	63.89	164.42	156.59	55.49	49.91	154.42	120.1	65.26	53.19	48.18	81.71	32.36	50.27	56.68	84.04	36.79	52.08	74.06	144.01	118.43	159.9
LRRC7	0.0	8.65	5.28	13.42	29.48	4.35	25.72	5.19	27.25	13.03	21.16	15.8	50.27	3.89	13.12	12.55	33.06	82.29	151.22	106.63	148.09	166.73	117.6	197.09	95.34	228.13	429.54	106.63	71.5	140.04	163.28	94.01	159.9	123.5	80.01	153.34	112.77	59.55	205.5	150.17	106.63	122.64	128.79	59.13	111.99	107.38	133.36	60.39	68.07	100.13	269.6	251.48	33.3	3.47	480.04	136.19	269.6
MATN2	0.0	483.38	454.09	307.69	633.73	447.82	934.76	500.46	974.5	547.75	842.36	753.83	334.46	251.48	693.58	309.83	1427.22	9740.98	21320.18	12502.12	4704.07	5711.87	11189.6	1127.35	16843.62	13123.73	13033.07	3349.13	2915.45	17078.76	6561.36	5147.73	18052.61	11189.6	9808.75	13968.57	7857.29	14867.79	17078.76	4038.61	2319.15	13776.25	26248.46	4419.52	3443.31	7382.04	10014.87	3395.89	3018.3	6207.38	10296.45	4903.87	4769.75	2209.26	17558.94	20451.65	12764.83
MCMDC2	0.0	6.11	6.06	3.99	7.28	7.94	12.83	8.0	11.91	5.73	10.08	9.56	7.0	7.46	8.71	8.92	12.55	21.01	14.78	21.63	5.32	7.4	10.55	8.99	11.04	25.54	15.0	12.74	6.62	15.11	11.82	11.38	18.16	16.51	6.78	12.0	7.17	10.71	14.67	6.89	7.57	12.74	11.64	7.06	7.63	6.52	18.16	5.23	5.41	6.62	20.41	6.89	6.94	10.79	14.24	10.79	16.88
MDH1B	0.0	40.93	37.59	19.82	34.51	45.53	87.03	60.39	47.84	37.32	27.05	45.53	14.45	24.81	57.49	52.45	69.03	503.95	229.72	320.8	94.01	116.78	199.85	88.88	295.11	301.33	309.83	136.19	79.45	256.78	154.42	147.06	195.72	171.45	361.04	258.57	80.57	303.44	191.67	100.83	69.03	199.85	291.04	177.53	131.51	71.0	277.2	83.45	81.71	144.01	358.54	165.57	109.66	85.22	204.07	244.57	341.51
MDM1	0.0	175.07	93.35	65.72	113.56	189.02	204.07	145.02	175.07	105.89	162.14	148.09	108.14	121.79	181.28	172.65	161.02	497.0	346.29	384.34	178.77	224.97	262.2	205.5	346.29	318.57	371.22	283.05	234.57	351.14	262.2	379.04	303.44	406.31	229.72	307.69	281.09	303.44	353.59	223.41	182.55	343.89	480.04	187.71	318.57	204.07	323.03	217.27	158.79	269.6	381.68	289.02	205.5	154.42	414.87	299.25	480.04
METAP1	0.0	327.56	403.5	323.03	361.04	384.34	361.04	444.72	483.38	500.46	460.44	466.88	384.34	381.68	414.87	348.71	438.59	660.68	665.29	507.46	438.59	607.87	450.94	470.14	470.14	629.35	575.03	409.15	454.09	466.88	476.71	454.09	514.56	426.57	429.54	525.39	555.41	490.14	633.73	438.59	503.95	409.15	532.74	543.96	571.05	444.72	500.46	470.14	483.38	551.56	500.46	540.19	395.18	403.5	551.56	457.25	551.56
METTL23	0.0	1015.93	954.43	1001.93	860.08	1135.2	1277.29	1135.2	909.17	915.51	961.07	830.75	909.17	884.29	813.63	1030.12	1096.5	1674.06	1662.49	1487.87	1167.14	1111.82	1104.13	1167.14	1832.01	1923.14	1794.29	1561.89	1015.93	1540.37	1225.22	1159.07	1369.04	1733.13	1819.35	1104.13	1322.37	1529.73	1388.16	1322.37	1088.92	1583.71	1697.45	1662.49	1508.65	1167.14	1167.14	1008.9	1594.73	1175.27	1295.13	1143.1	1685.71	1286.18	1605.83	1628.26	1662.49
MNS1	70.01	24.11	23.59	18.43	38.4	72.01	71.0	37.32	46.18	29.06	37.32	36.53	18.84	19.82	43.32	27.44	46.84	157.68	119.26	118.43	56.28	70.51	127.0	41.22	133.36	166.73	127.89	85.22	55.89	144.01	88.88	77.25	110.43	103.69	82.29	132.44	66.65	143.01	128.79	78.89	40.64	114.36	136.19	63.45	71.5	70.01	120.94	71.5	23.42	66.18	125.24	48.52	47.84	82.29	121.79	117.6	110.43
MOCS2	0.0	1044.52	836.53	796.86	571.05	1529.73	1832.01	878.17	1088.92	825.0	1225.22	808.0	921.88	684.02	819.3	1051.79	854.13	1233.75	2178.83	1551.09	1066.48	1044.52	1183.45	1233.75	2090.03	1467.37	1447.15	947.83	1313.23	1819.35	1498.22	1407.55	1519.15	1295.13	1322.37	1540.37	1378.57	2104.58	1498.22	1529.73	1508.65	1781.89	2047.0	1909.85	1794.29	1037.29	1286.18	1127.35	1628.26	1709.26	1259.69	1583.71	1870.53	1508.65	1594.73	2047.0	2119.22
MPPED2	0.0	96.01	28.45	9.48	64.34	78.34	99.43	31.9	65.26	13.83	80.57	59.55	15.34	8.45	36.01	94.01	202.66	2417.67	5831.91	5633.22	633.73	1059.11	2090.03	1819.35	3901.01	2018.8	4298.64	842.36	371.22	1477.58	2335.28	591.22	1498.22	1963.57	1628.26	3982.99	1081.39	4419.52	1551.09	647.07	854.13	2240.11	4937.99	785.88	1059.11	796.86	3847.29	1175.27	269.6	1963.57	1674.06	1104.13	1721.16	866.07	3847.29	1733.13	6426.31
MROH7	0.0	63.45	24.11	21.94	48.87	127.89	180.02	68.55	46.84	28.04	28.86	46.18	49.56	31.22	38.12	62.12	78.34	381.68	303.44	607.87	387.02	197.09	111.21	137.14	301.33	279.14	454.09	447.82	73.54	412.0	171.45	99.43	674.59	403.5	432.53	476.71	69.52	353.59	348.71	267.73	111.99	381.68	293.07	221.86	180.02	114.36	406.31	127.0	44.25	237.86	450.94	221.86	264.03	221.86	460.44	214.27	521.76
MROH7-TTC4	0.0	11.82	6.46	4.78	5.92	13.42	20.11	13.12	8.32	3.79	6.52	12.74	11.82	6.31	10.79	11.04	8.92	94.67	34.75	88.88	47.17	14.03	14.24	18.43	39.22	65.72	48.18	70.01	11.3	50.63	33.06	8.38	64.8	36.53	46.18	47.17	12.18	31.0	50.63	29.91	16.39	32.59	28.65	14.35	19.97	9.34	46.18	19.53	5.15	31.0	48.18	40.93	31.0	23.08	42.71	31.22	61.25
