	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.A2.A4S3.01A.21R.A266.07	TCGA.A7.A4SA.01A.11R.A266.07	TCGA.C8.A26Z.01A.11R.A16F.07	TCGA.A7.A5ZW.01A.12R.A29R.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.E2.A15T.01A.11R.A115.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.AR.A5QP.01A.11R.A28M.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.EW.A1PE.01A.11R.A144.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.A7.A0CJ.01A.21R.A00Z.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.BH.A0BS.01A.11R.A12P.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.B6.A0IO.01A.11R.A034.07	TCGA.A1.A0SB.01A.11R.A144.07	TCGA.BH.A0DZ.11A.22R.A089.07	TCGA.BH.A0DO.11A.22R.A12D.07	TCGA.BH.A0BJ.11A.23R.A089.07	TCGA.E2.A1L7.11A.33R.A144.07	TCGA.BH.A0C0.11A.21R.A089.07	TCGA.BH.A0BV.11A.31R.A089.07	TCGA.AC.A23H.11A.12R.A157.07	TCGA.BH.A0DG.11A.43R.A12P.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.E2.A1LH.11A.22R.A14D.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.GI.A2C9.11A.22R.A21T.07	TCGA.A7.A0CE.11A.21R.A089.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.WYBS.0926.SM.3NM94	GTEX.ZZPU.0626.SM.5E43T	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.1269C.2426.SM.5FQSN	GTEX.T2IS.1526.SM.32QPR	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.13QIC.2326.SM.5LU5N	TCGA.W5.AA30.11A.11R.A41I.07	TCGA.DD.AAW2.01A.11R.A41C.07	TCGA.ZS.A9CG.01A.11R.A37K.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.RC.A6M4.01A.11R.A32O.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A3A2.11A.11R.A213.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.EP.A3RK.11A.11R.A22L.07	TCGA.DD.A39W.11A.11R.A213.07	GTEX.Y5LM.0426.SM.4VBRO	GTEX.14AS3.0126.SM.5Q5F4	GTEX.P78B.1326.SM.3P611	GTEX.13PVR.0126.SM.5S2PY	TCGA.38.4625.01A.01R.1206.07
HRNR	1.58	0.0	0.36	0.62	0.31	1.73	0.64	0.35	0.69	2.76	0.65	0.0	3.14	0.33	0.71	0.32	1.06	0.35	0.65	0.69	0.0	1.55	0.0	0.0	0.34	22.1	1.39	5.63	9.56	8.0	4.39	4.82	10.79	3.69	4.66	5.11	1.06	1.11	1.77	11.73	5.36	4.66	12.09	1.95	2.61	3.53	3.38	1.06	1.1	0.71	3.0	4.58	0.0	0.0	6.94	0.0	0.0	0.0	0.0	0.0	0.77	0.8	0.85	0.0	0.0	0.53	0.54	1.46	0.0
HTRA1	5872.48	2777.33	9215.48	4736.79	2976.74	6792.79	5441.3	20170.07	5711.87	9025.81	2537.92	1295.13	7382.04	20593.91	7331.05	2255.7	3794.3	5633.22	2104.58	4181.07	1561.89	5479.15	2777.33	1583.71	2400.97	26986.43	3419.52	5183.54	8778.97	4450.27	4937.99	4736.79	17681.08	5041.77	5791.62	2627.46	3419.52	8134.41	8134.41	5403.7	7803.01	6207.38	21468.49	3325.99	1936.53	2720.15	3874.05	8022.41	4769.75	11112.3	2417.67	3103.19	2835.7	2417.67	2119.22	303.44	878.17	1081.39	3515.68	1857.6	2537.92	1529.73	2287.2	2047.0	2271.4	1286.18	3395.89	1819.35	0.0
IL17RD	269.6	38.4	76.17	198.47	16.39	105.89	55.49	177.53	123.5	132.44	92.05	246.28	67.12	102.97	114.36	60.82	175.07	119.26	109.66	395.18	148.09	201.25	384.34	47.5	61.25	559.28	318.57	728.11	642.59	384.34	665.29	414.87	514.56	547.75	327.56	547.75	400.71	291.04	363.56	775.05	559.28	470.14	909.17	429.54	334.46	358.54	358.54	175.07	275.28	376.41	289.02	480.04	3.89	1.64	0.92	0.0	0.47	2.2	2.25	1.58	0.55	0.57	1.68	1.53	1.14	2.1	4.98	1.66	0.0
IRF2BPL	525.39	866.07	457.25	363.56	273.37	624.99	1135.2	518.15	555.41	429.54	1088.92	1268.46	441.64	872.1	339.14	860.08	387.02	878.17	674.59	759.08	518.15	497.0	432.53	500.46	447.82	1819.35	791.35	1096.5	775.05	775.05	830.75	974.5	536.45	579.04	693.58	1111.82	808.0	941.27	633.73	934.76	1191.69	713.11	753.83	1572.76	896.64	1350.18	785.88	384.34	1870.53	289.02	808.0	551.56	267.73	167.9	334.46	152.28	130.6	69.03	208.38	229.72	323.03	193.01	332.14	229.72	105.15	144.01	181.28	381.68	185.11
ITGB4	3928.15	1073.91	1023.0	2004.85	902.89	3716.2	1151.06	1508.65	599.49	1066.48	1477.58	2104.58	551.56	1721.16	947.83	1151.06	476.71	1819.35	647.07	4736.79	1417.35	16157.44	1923.14	53.19	638.15	9673.69	5751.61	3564.78	3847.29	5147.73	3303.0	3103.19	3395.89	2739.08	3768.09	4388.98	3847.29	3419.52	4704.07	3103.19	5594.3	5751.61	2163.77	2664.15	6164.49	5517.27	4123.49	2434.5	2758.13	1508.65	2255.7	3190.46	205.5	145.02	131.51	39.5	186.4	114.36	88.88	90.14	46.5	49.56	71.5	115.97	35.25	39.22	57.49	73.03	0.0
JAM3	312.0	109.66	262.2	161.02	93.35	287.01	199.85	473.41	320.8	395.18	149.12	98.73	251.48	371.22	368.65	165.57	163.28	236.21	97.36	483.38	99.43	156.59	145.02	112.77	95.34	1832.01	473.41	718.08	693.58	703.28	753.83	669.92	1001.93	595.34	511.0	476.71	638.15	748.61	624.99	791.35	848.22	665.29	1151.06	551.56	559.28	450.94	518.15	884.29	258.57	511.0	244.57	748.61	100.83	88.88	74.58	20.41	21.32	28.04	48.18	39.5	22.43	33.78	36.27	40.36	29.48	60.82	18.97	30.56	0.0
KIAA1217	1051.79	536.45	620.67	1044.52	514.56	961.07	915.51	988.12	836.53	1015.93	329.84	688.78	1233.75	796.86	607.87	567.1	603.67	1008.9	921.88	1304.15	353.59	954.43	514.56	262.2	718.08	1467.37	723.08	1769.57	1594.73	1159.07	1936.53	1605.83	1340.84	1963.57	1745.2	1709.26	1417.35	995.0	854.13	1233.75	1896.65	1304.15	1781.89	1923.14	1322.37	1870.53	1572.76	860.08	423.61	1806.78	928.3	1331.57	279.14	164.42	133.36	102.97	140.04	119.26	176.29	190.34	221.86	157.68	158.79	175.07	77.79	381.68	242.88	187.71	156.59
KIRREL	246.28	53.57	228.13	414.87	82.87	358.54	239.52	373.81	334.46	490.14	147.06	111.21	454.09	232.94	417.77	129.69	171.45	185.11	131.51	470.14	51.71	199.85	148.09	31.67	57.89	1340.84	454.09	616.37	884.29	603.67	921.88	934.76	684.02	743.43	759.08	470.14	540.19	665.29	490.14	775.05	447.82	1119.56	1733.13	591.22	241.19	457.25	287.01	75.11	169.07	503.95	281.09	540.19	108.14	37.32	12.18	5.32	14.56	11.55	39.79	25.91	16.63	23.08	29.7	28.86	28.04	24.99	10.88	36.01	0.0
KIT	389.72	214.27	128.79	150.17	43.32	246.28	62.56	432.53	202.66	157.68	13.52	16.51	78.34	775.05	53.95	66.65	125.24	236.21	33.06	1457.23	21.01	1104.13	66.65	7.34	33.3	4239.45	1119.56	8191.0	4210.15	2240.11	3820.7	5112.16	4298.64	5913.33	3372.43	2287.2	2163.77	2855.44	1030.12	5076.84	3716.2	4671.57	1199.98	4671.57	3124.78	4736.79	1529.73	1259.69	3190.46	1883.54	2816.11	3303.0	17.64	19.53	29.91	1.95	0.53	2.1	3.14	10.24	1.17	1.79	11.91	12.83	0.57	6.52	8.13	9.56	0.0
L1TD1	3.47	5.73	13.62	5.28	6.52	6.57	4.1	6.73	16.03	25.17	1.27	0.62	16.51	11.82	9.7	13.52	1.73	12.83	16.39	9.27	1.99	0.38	4.94	4.94	5.87	77.79	3.08	0.74	17.77	0.69	7.28	16.63	0.83	47.17	12.83	6.78	14.78	1.08	5.92	28.45	2.94	6.67	25.91	11.47	17.64	5.02	13.32	0.6	0.0	8.71	6.67	1.71	1.77	0.0	0.0	0.0	0.0	0.0	1.17	0.0	0.0	0.0	0.0	0.56	0.0	0.82	0.83	0.36	0.0
LCA5	59.55	18.03	37.59	53.57	28.04	47.84	81.14	152.28	60.39	65.26	23.76	58.3	67.59	87.65	50.98	51.35	43.32	59.13	81.71	108.9	40.93	67.59	46.18	28.86	74.06	121.79	93.35	237.86	221.86	133.36	231.32	164.42	169.07	226.54	187.71	193.01	155.5	181.28	74.58	387.02	234.57	336.79	521.76	218.79	129.69	131.51	176.29	115.97	78.89	226.54	74.06	279.14	14.35	6.52	4.13	1.19	1.64	2.61	6.31	9.63	2.14	5.23	6.16	7.0	8.78	10.0	4.1	8.38	0.0
MAML2	119.26	50.63	181.28	406.31	59.13	101.54	43.02	85.82	119.26	113.56	44.89	30.12	78.89	128.79	69.52	66.18	61.68	81.14	77.79	363.56	25.91	323.03	43.94	17.38	31.67	616.37	271.48	780.44	684.02	532.74	624.99	642.59	743.43	775.05	490.14	559.28	490.14	432.53	242.88	1023.0	981.29	1268.46	493.56	1259.69	928.3	1119.56	559.28	198.47	309.83	1208.34	195.72	1008.9	33.06	17.25	10.31	2.25	2.43	4.17	12.09	17.64	5.92	8.13	12.83	13.03	8.51	25.17	10.47	4.54	39.5
MAPK4	1.89	0.36	2.78	53.19	0.91	4.43	0.34	3.0	4.7	0.8	7.46	0.34	1.58	4.06	0.72	11.21	0.0	1.69	0.0	9.63	0.88	15.22	1.25	0.0	0.67	312.0	25.72	38.4	39.5	23.08	39.5	27.64	36.79	38.67	47.5	34.75	22.43	21.63	35.76	43.02	54.33	99.43	10.96	63.0	24.28	94.67	11.13	17.64	18.7	29.48	32.59	20.41	4.21	4.43	87.65	0.0	9.06	0.0	3.35	5.87	9.93	1.0	8.38	5.68	2.78	3.06	13.42	14.35	0.0
MATN4	4.82	0.31	2.34	1.79	0.56	9.85	0.29	2.58	0.65	0.37	1.53	1.22	0.75	6.67	0.99	2.63	0.0	0.96	0.6	2.63	0.54	36.01	0.59	3.86	0.61	28.65	1.69	19.39	14.35	9.78	8.85	5.41	23.93	8.13	8.92	5.28	3.03	50.63	2.05	8.92	66.65	12.36	4.21	44.57	10.63	27.84	5.28	31.45	3.66	9.78	7.63	3.14	1.33	0.0	2.2	0.82	0.0	0.41	0.69	0.0	1.62	0.64	1.85	1.68	0.8	1.73	0.51	7.82	0.0
MGP	469249.9	998912.34	1139523.1	659036.03	593956.43	431797.89	502929.67	365622.68	736332.6	623486.02	577714.63	425853.18	716197.51	462789.59	546551.29	489177.0	569761.05	400098.69	1196176.45	623486.02	249727.34	706337.4	459592.86	687022.54	417089.23	137587.47	301123.38	207103.59	182810.84	217400.14	204252.32	223512.12	453265.5	191899.64	462789.59	273275.14	800198.39	267651.2	509950.32	358098.26	598087.73	378516.38	585779.24	1524599.69	496005.67	565825.41	565825.41	869603.57	1100706.72	845824.19	1308968.45	614902.29	3325.99	738.29	708.18	122.64	260.38	373.81	854.13	872.1	221.86	303.44	473.41	486.75	412.0	226.54	293.07	193.01	3419.52
MICALL1	299.25	165.57	260.38	633.73	165.57	348.71	164.42	348.71	236.21	185.11	269.6	197.09	198.47	301.33	214.27	307.69	299.25	287.01	186.4	575.03	287.01	647.07	265.87	146.03	158.79	1277.29	525.39	500.46	633.73	647.07	559.28	647.07	299.25	507.46	624.99	543.96	417.77	559.28	387.02	403.5	429.54	775.05	563.18	387.02	708.18	595.34	426.57	103.69	688.78	242.88	651.58	466.88	86.43	162.14	126.12	220.32	126.12	120.1	80.57	85.22	93.35	81.14	108.9	82.87	145.02	85.22	111.21	121.79	379.04
MOK	802.41	332.14	277.2	314.17	195.72	551.56	255.0	395.18	432.53	463.65	366.09	389.72	299.25	447.82	221.86	409.15	226.54	371.22	395.18	441.64	218.79	175.07	226.54	297.17	139.07	2004.85	417.77	262.2	258.57	351.14	366.09	363.56	275.28	395.18	429.54	334.46	417.77	397.93	476.71	612.11	486.75	249.73	403.5	703.28	414.87	1104.13	599.49	457.25	226.54	444.72	316.37	303.44	127.0	133.36	77.79	95.34	112.77	147.06	94.67	84.04	76.17	66.18	101.54	59.55	30.12	57.49	100.83	37.59	0.0
MYO10	206.94	47.84	392.44	1015.93	336.79	61.25	149.12	158.79	384.34	327.56	61.25	228.13	454.09	93.35	406.31	381.68	316.37	381.68	320.8	271.48	253.23	348.71	299.25	323.03	277.2	1066.48	193.01	265.87	289.02	334.46	275.28	341.51	197.09	361.04	244.57	258.57	237.86	218.79	202.66	176.29	277.2	277.2	251.48	115.16	279.14	170.25	361.04	50.63	67.59	417.77	149.12	563.18	114.36	50.98	25.91	7.06	7.94	7.4	38.67	69.03	24.28	46.84	70.01	86.43	80.01	57.49	47.17	77.79	0.0
OOEP	0.93	0.0	0.68	0.0	0.0	0.0	0.61	0.99	1.33	1.93	0.62	0.61	2.32	2.18	0.0	0.0	4.46	1.66	0.0	0.0	1.11	0.38	0.0	0.0	0.96	112.77	5.41	29.06	20.56	5.87	16.51	11.3	2.89	8.99	3.86	3.35	2.03	1.45	8.25	9.7	1.36	17.9	13.62	0.0	8.45	39.22	3.38	1.77	28.24	6.31	0.0	10.16	8.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.06	0.0	0.0	5.15	0.0	0.0	1.04	8.51	0.0
OR1L8	6.57	0.72	1.46	1.62	0.0	3.23	1.64	0.0	1.77	2.05	3.32	3.63	0.42	0.0	1.45	0.0	5.45	3.5	0.0	1.07	0.0	2.81	0.66	0.66	1.03	37.05	3.2	7.34	7.0	1.45	7.17	8.38	6.06	7.94	8.45	5.59	2.14	4.9	1.08	7.22	5.32	6.06	6.46	8.32	4.58	0.59	6.36	2.58	0.88	1.89	0.84	2.92	0.0	1.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.22	0.0	0.0	0.0	0.0	0.85	2.84	0.0
OR3A2	2.16	0.0	1.69	0.89	0.0	5.06	0.0	0.0	0.0	1.53	0.29	0.6	0.37	0.0	0.0	0.0	1.69	1.64	0.0	0.0	1.66	2.66	0.59	0.0	0.0	21.78	2.01	4.78	5.92	1.35	0.69	1.79	2.43	1.06	1.03	5.96	2.01	1.06	1.0	9.63	1.68	3.86	0.0	3.2	1.81	0.0	0.0	1.69	0.0	0.0	0.0	4.24	0.0	0.0	0.0	0.0	0.0	0.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.69	0.0	0.0	0.0
OSGIN2	209.84	1806.78	1313.23	591.22	915.51	454.09	518.15	299.25	698.41	320.8	327.56	429.54	400.71	379.04	273.37	228.13	366.09	414.87	397.93	305.55	848.22	423.61	693.58	351.14	163.28	1151.06	246.28	500.46	373.81	253.23	334.46	368.65	309.83	379.04	414.87	287.01	361.04	267.73	208.38	490.14	555.41	368.65	368.65	529.06	341.51	269.6	435.55	334.46	232.94	1059.11	497.0	612.11	198.47	108.9	103.69	173.85	96.68	127.89	99.43	154.42	170.25	98.73	116.78	111.21	341.51	172.65	142.01	228.13	0.0
OSR1	232.94	23.25	111.21	138.1	52.82	112.77	13.42	336.79	142.01	50.98	4.62	17.77	19.82	197.09	22.1	86.43	21.32	19.53	26.47	457.25	8.06	127.89	28.04	132.44	12.18	2468.49	620.67	435.55	708.18	1745.2	438.59	769.69	988.12	457.25	518.15	373.81	679.29	785.88	1498.22	334.46	521.76	718.08	1447.15	285.03	1950.0	1104.13	785.88	13586.57	688.78	194.36	444.72	830.75	11.47	3.82	67.12	0.0	6.84	10.79	5.06	2.51	6.36	2.46	0.0	0.0	1.57	3.23	0.02	6.62	0.0
PABPC4L	7.82	5.02	14.03	33.3	8.78	20.41	8.99	24.81	12.64	18.7	6.06	7.51	13.03	10.63	15.22	2.78	10.63	6.67	5.73	11.73	9.85	9.56	7.94	1.91	2.66	100.13	12.64	44.57	28.45	22.26	35.76	34.51	24.99	32.36	24.81	19.11	21.63	26.1	9.41	43.32	18.97	11.91	69.03	18.7	31.22	7.0	14.56	9.56	11.47	28.86	8.51	102.25	1.73	3.53	2.89	0.41	0.0	0.68	0.59	1.06	0.0	0.54	1.66	0.53	1.38	1.51	0.4	1.11	0.0
PAX3	0.72	1.81	3.35	2.66	12.36	14.35	0.0	2.16	1.85	8.65	1.39	2.39	10.24	0.73	3.66	1.03	0.0	0.0	0.0	3.99	4.82	15.34	0.39	2.32	1.43	164.42	3.32	3.23	4.54	3.72	1.22	0.45	9.7	11.55	6.41	1.5	5.11	40.07	1.91	2.18	17.13	12.93	0.46	1.46	10.47	5.68	12.09	0.28	10.71	3.35	0.0	4.62	0.0	0.42	0.0	0.0	0.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PCDHGA5	20.26	10.63	24.46	4.24	16.27	33.3	18.7	34.51	33.3	251.48	1.75	3.03	728.11	65.72	20.86	65.72	10.39	41.22	86.43	40.64	2.16	12.18	13.22	0.0	17.77	327.56	34.02	50.27	52.82	42.11	53.95	58.3	163.28	52.82	64.34	31.45	48.87	70.51	42.71	63.0	60.39	78.89	115.97	32.82	21.32	47.17	63.89	24.11	19.82	95.34	53.95	54.72	6.36	1.08	3.32	0.97	1.85	3.89	6.21	5.77	7.34	3.53	2.03	4.54	1.45	2.46	2.48	6.84	0.0
PDE1C	111.99	3.06	10.08	128.79	2.41	24.11	8.51	24.81	31.45	13.62	12.09	8.25	16.39	36.79	25.91	6.73	10.08	11.04	14.56	190.34	4.62	57.89	14.45	5.92	4.9	36.01	156.59	262.2	231.32	214.27	387.02	191.67	242.88	363.56	215.77	182.55	224.97	198.47	125.24	318.57	293.07	208.38	420.68	406.31	255.0	191.67	165.57	147.06	115.16	429.54	99.43	295.11	7.75	2.07	7.57	2.63	1.99	1.33	0.83	0.0	0.0	0.77	0.0	0.0	0.0	2.81	0.0	0.48	0.0
PDE5A	131.51	54.33	153.34	63.89	66.65	110.43	764.36	145.02	173.85	148.09	70.51	587.13	127.0	124.37	149.12	98.04	35.25	97.36	73.54	185.11	129.69	217.27	98.73	45.53	57.89	713.11	144.01	507.46	500.46	293.07	591.22	595.34	435.55	878.17	624.99	249.73	379.04	432.53	175.07	450.94	780.44	733.19	616.37	1639.59	1769.57	409.15	223.41	267.73	144.01	718.08	128.79	764.36	55.89	18.84	9.7	19.53	12.83	20.41	28.65	24.28	21.63	18.7	46.18	30.56	6.57	24.46	37.32	20.56	0.0
PDPN	291.04	232.94	376.41	323.03	206.94	255.0	249.73	836.53	295.11	638.15	69.03	137.14	403.5	441.64	102.97	189.02	358.54	343.89	76.17	454.09	137.14	336.79	85.82	15.45	137.14	1313.23	351.14	351.14	612.11	693.58	624.99	656.11	896.64	660.68	854.13	329.84	543.96	878.17	1104.13	241.19	674.59	1167.14	403.5	336.79	237.86	152.28	397.93	1769.57	275.28	854.13	974.5	275.28	22.59	0.0	4.54	0.0	0.64	1.91	6.57	2.94	0.0	0.75	1.39	3.86	6.01	22.1	6.26	5.32	414.87
PHF13	351.14	486.75	444.72	447.82	334.46	218.79	363.56	329.84	231.32	228.13	490.14	470.14	186.4	403.5	208.38	376.41	211.31	271.48	199.85	426.57	301.33	194.36	309.83	329.84	332.14	688.78	420.68	457.25	486.75	368.65	414.87	532.74	341.51	366.09	483.38	480.04	463.65	514.56	376.41	638.15	595.34	426.57	583.07	624.99	529.06	651.58	406.31	305.55	400.71	525.39	307.69	381.68	172.65	130.6	180.02	89.51	81.14	135.24	147.06	129.69	277.2	100.13	130.6	49.91	128.79	177.53	170.25	96.68	0.0
PITX2	31.67	8.06	14.45	31.0	43.32	16.39	4.39	35.5	9.93	18.16	3.44	3.41	22.1	31.0	18.16	7.4	5.19	4.31	1.11	7.51	20.11	14.35	2.36	2.68	14.14	212.78	8.32	20.11	10.08	7.0	32.36	12.36	22.26	19.53	37.59	8.19	3.38	27.25	21.47	6.46	5.73	37.59	72.01	8.06	9.2	3.76	2.89	3.23	11.91	18.29	13.62	6.06	1.97	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	4.06	0.0	0.11	6.84	0.0	0.0	0.0
PLEKHG4B	151.22	26.47	9.93	194.36	2.12	24.46	30.12	96.68	156.59	15.11	0.35	2.58	106.63	47.17	47.17	226.54	217.27	102.97	299.25	122.64	36.27	6.67	6.57	72.52	46.84	532.74	101.54	131.51	144.01	136.19	164.42	147.06	75.64	157.68	195.72	77.79	98.04	79.45	94.67	212.78	112.77	66.65	109.66	154.42	140.04	176.29	186.4	65.26	62.56	66.65	57.49	141.02	1.16	0.0	12.18	0.0	0.51	0.75	0.0	0.0	0.0	1.03	0.0	0.0	0.12	0.19	0.0	1.68	0.0
PNMAL1	323.03	65.72	68.07	780.44	351.14	563.18	71.5	107.38	249.73	52.08	0.97	9.63	81.14	101.54	48.52	25.54	10.63	31.0	329.84	267.73	32.13	53.95	9.41	119.26	299.25	1572.76	334.46	295.11	264.03	379.04	529.06	195.72	285.03	231.32	334.46	447.82	444.72	204.07	379.04	406.31	547.75	287.01	361.04	217.27	500.46	444.72	341.51	59.13	343.89	212.78	129.69	599.49	14.24	0.79	1.93	0.0	0.0	2.01	5.68	6.94	0.55	2.01	7.82	5.5	2.89	11.3	3.5	0.0	0.0
PRDM5	45.85	7.88	38.95	67.12	35.0	18.7	15.45	60.82	66.65	43.63	28.45	35.5	69.03	45.85	35.25	37.59	24.11	43.02	13.03	59.55	5.82	63.89	29.7	1.11	14.89	148.09	40.64	108.9	88.88	85.22	134.3	78.34	157.68	90.77	111.21	71.0	90.14	119.26	75.64	176.29	143.01	85.22	91.41	285.03	124.37	85.22	126.12	183.82	23.08	173.85	63.0	153.34	5.96	3.79	3.5	4.13	0.72	1.0	1.57	4.86	1.38	2.58	5.15	3.08	3.14	5.82	3.72	0.0	0.0
PRICKLE1	111.99	66.18	212.78	336.79	115.16	277.2	182.55	397.93	273.37	343.89	12.45	52.08	463.65	325.29	260.38	75.11	118.43	159.9	28.86	87.65	50.98	269.6	59.55	34.02	56.68	813.63	142.01	204.07	366.09	214.27	267.73	209.84	363.56	221.86	232.94	134.3	98.04	236.21	123.5	688.78	241.19	409.15	819.3	327.56	201.25	341.51	212.78	674.59	150.17	277.2	66.65	249.73	36.79	10.96	1.38	1.53	0.89	0.77	16.39	19.82	5.15	8.85	21.47	16.03	5.68	23.93	6.62	14.67	0.0
PRSS21	30.56	3.99	555.41	7.94	122.64	7.11	1.27	3.0	13.03	19.82	6.31	51.35	7.69	32.82	387.02	34.26	39.5	10.55	684.02	104.42	1.14	4.21	82.87	42.41	2.89	1407.55	159.9	139.07	190.34	426.57	167.9	674.59	52.45	19.39	68.07	366.09	98.73	27.44	500.46	139.07	187.71	16.51	277.2	16.39	44.25	258.57	178.77	73.54	429.54	99.43	438.59	181.28	10.63	0.0	0.87	0.74	1.5	0.0	0.0	2.58	0.0	3.03	2.23	1.55	0.0	7.75	4.21	0.0	0.0
PTPN14	156.59	38.95	106.63	289.02	32.59	92.7	52.08	116.78	173.85	190.34	110.43	88.26	193.01	157.68	158.79	52.08	130.6	110.43	97.36	323.03	43.63	299.25	82.29	12.0	37.59	669.92	204.07	660.68	514.56	532.74	693.58	591.22	753.83	802.41	633.73	457.25	466.88	540.19	287.01	808.0	483.38	1529.73	529.06	595.34	463.65	406.31	223.41	107.38	105.89	447.82	525.39	638.15	20.86	12.74	81.14	2.68	30.34	4.43	8.85	7.69	2.81	3.5	9.2	7.94	7.22	6.94	2.43	10.47	133.36
PTX3	47.84	28.65	38.95	73.03	5.32	16.51	3.59	49.21	50.63	58.3	2.25	34.26	4.86	67.59	12.45	76.17	16.75	12.18	13.32	35.25	30.12	11.47	9.2	2.51	8.65	1427.22	220.32	92.05	417.77	267.73	103.69	89.51	426.57	368.65	872.1	71.5	279.14	130.6	473.41	37.32	140.04	134.3	63.89	62.56	52.45	59.55	136.19	921.88	277.2	175.07	46.5	164.42	11.55	4.82	9.63	0.0	3.32	1.35	5.5	5.11	1.38	1.45	0.89	1.43	4.39	69.03	0.47	6.11	0.0
RHOJ	202.66	65.26	214.27	115.97	64.34	189.02	127.89	253.23	224.97	363.56	68.55	68.55	175.07	242.88	262.2	98.04	113.56	145.02	65.26	241.19	53.19	132.44	90.14	66.65	55.49	486.75	307.69	473.41	703.28	447.82	532.74	483.38	743.43	563.18	486.75	231.32	371.22	633.73	400.71	819.3	490.14	629.35	967.76	486.75	723.08	409.15	483.38	327.56	703.28	480.04	172.65	791.35	94.67	64.8	48.52	10.96	14.67	20.26	20.71	35.5	9.27	18.84	28.24	27.64	35.5	49.91	36.79	23.93	54.72
SCGB2B2	11.38	3.08	7.0	23.59	6.26	10.71	9.13	7.4	18.56	17.9	37.32	8.92	12.55	5.15	18.84	137.14	26.1	19.39	9.27	20.56	10.79	4.7	4.39	88.26	3.0	143.01	2.51	25.35	9.34	6.73	22.43	59.97	59.13	20.41	81.14	13.62	33.54	8.13	2.18	65.72	21.01	16.88	32.82	11.73	7.22	76.71	15.91	3.92	0.0	6.06	23.59	35.5	4.54	4.06	4.7	1.53	5.63	5.82	1.68	4.1	1.46	4.66	6.31	6.94	1.53	4.74	1.51	4.1	0.0
SH3RF3	75.64	21.63	95.34	153.34	33.78	83.45	39.5	114.36	88.88	161.02	87.03	29.48	93.35	92.7	127.89	55.1	68.55	58.71	23.25	49.21	16.39	135.24	27.25	13.32	22.75	236.21	44.57	104.42	139.07	107.38	91.41	127.89	140.04	75.64	118.43	50.98	70.51	242.88	153.34	56.68	119.26	152.28	100.13	78.89	129.69	39.22	34.26	204.07	24.28	128.79	67.59	106.63	49.21	12.64	214.27	4.21	40.07	7.69	20.71	26.47	7.63	17.25	34.51	19.53	28.65	7.63	7.75	23.42	0.0
SLC16A8	53.95	0.0	10.08	35.76	24.46	36.53	29.48	16.03	5.92	10.47	18.29	7.82	25.54	9.2	8.92	53.95	13.72	34.51	34.26	26.47	8.0	3.41	2.1	2.1	27.25	135.24	30.34	28.65	20.71	18.43	51.71	32.59	8.99	32.59	34.51	17.25	19.68	24.28	21.01	44.25	20.26	14.67	84.63	33.54	40.93	7.94	56.28	4.78	22.92	1.07	13.42	19.39	9.27	12.45	2.03	2.68	13.62	7.17	5.5	6.41	5.41	3.72	5.41	4.28	2.07	4.43	1.95	4.06	0.0
