	TCGA.AC.A3QQ.01A.11R.A22K.07	TCGA.D8.A1XC.01A.11R.A14D.07	TCGA.BH.A18S.01A.11R.A12D.07	TCGA.D8.A1XV.01A.11R.A14M.07	TCGA.BH.A0E9.01B.11R.A115.07	TCGA.AR.A0TR.01A.11R.A084.07	TCGA.BH.A0H5.11A.62R.A115.07	TCGA.BH.A0AZ.11A.22R.A12P.07	TCGA.BH.A0DG.11A.43R.A12P.07	TCGA.BH.A0B7.11A.34R.A115.07	GTEX.WYVS.1726.SM.3NMAY	TCGA.W5.AA2Q.11A.11R.A41I.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39W.11A.11R.A213.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.11ZUS.2526.SM.59872	GTEX.X4EO.1126.SM.4QARQ	GTEX.14753.1626.SM.5NQ9L	GTEX.13O3O.1826.SM.5IFGW	GTEX.RWSA.1426.SM.47JXA	TCGA.HC.7745.11A.01R.2118.07	TCGA.HC.7211.11A.01R.2118.07	TCGA.HC.7737.11A.02R.2118.07	TCGA.HC.8258.11A.01R.2263.07	TCGA.HC.7738.11A.01R.2118.07	TCGA.HC.7747.11A.01R.2118.07	TCGA.HC.7740.11A.01R.2118.07	GTEX.Y8E4.2126.SM.5RQHO	GTEX.145MH.0426.SM.5LU8T	GTEX.13O1R.0826.SM.5J2MB
TTI2	275.28	239.52	242.88	249.73	291.04	264.03	215.77	251.48	221.86	251.48	312.0	119.26	94.67	114.36	118.43	122.64	82.29	108.9	67.59	74.06	58.71	163.28	171.45	194.36	147.06	190.34	166.73	186.4	199.85	193.01	167.9
USP1	1151.06	764.36	674.59	674.59	529.06	651.58	660.68	674.59	825.0	733.19	961.07	137.14	110.43	48.52	117.6	127.89	119.26	105.89	121.79	93.35	92.7	318.57	232.94	356.05	293.07	366.09	293.07	329.84	376.41	429.54	312.0
USP33	1733.13	1088.92	1051.79	1051.79	769.69	1030.12	1104.13	1073.91	1191.69	1127.35	1259.69	318.57	305.55	134.3	234.57	279.14	224.97	279.14	187.71	209.84	255.0	551.56	518.15	669.92	579.04	660.68	563.18	647.07	728.11	684.02	444.72
UTP23	384.34	397.93	316.37	486.75	348.71	595.34	395.18	397.93	454.09	454.09	629.35	161.02	127.0	50.27	110.43	137.14	142.01	110.43	57.08	149.12	77.79	253.23	116.78	244.57	182.55	189.02	234.57	237.86	220.32	182.55	309.83
WDR5B	202.66	176.29	183.82	208.38	158.79	297.17	163.28	146.03	170.25	145.02	204.07	53.57	42.41	33.78	60.82	43.63	69.03	25.54	24.99	43.94	19.39	88.88	113.56	108.14	120.94	130.6	120.1	139.07	178.77	144.01	75.11
WIPF2	1508.65	507.46	490.14	381.68	470.14	529.06	423.61	447.82	483.38	432.53	521.76	115.97	108.14	92.7	101.54	108.9	71.0	56.28	48.52	87.03	144.01	316.37	236.21	339.14	248.0	325.29	309.83	316.37	371.22	348.71	267.73
XPNPEP3	376.41	208.38	205.5	275.28	275.28	232.94	265.87	166.73	260.38	239.52	232.94	115.16	149.12	201.25	159.9	90.77	197.09	138.1	150.17	125.24	102.25	111.99	120.1	173.85	205.5	162.14	162.14	176.29	175.07	241.19	231.32
ZBTB12	102.97	228.13	152.28	112.77	151.22	361.04	90.14	114.36	118.43	131.51	146.03	31.22	15.34	9.56	13.52	17.77	32.82	4.1	3.41	0.71	5.28	137.14	83.45	111.99	77.79	107.38	93.35	121.79	217.27	108.9	43.32
ZBTB37	738.29	90.77	88.88	109.66	108.9	107.38	71.0	79.45	109.66	68.07	123.5	24.99	15.91	13.72	19.53	22.92	15.68	16.63	13.42	10.79	9.7	34.75	23.59	35.25	25.54	34.75	29.7	35.0	52.82	43.63	36.79
ZBTB41	2287.2	842.36	753.83	559.28	507.46	543.96	239.52	277.2	285.03	244.57	387.02	52.45	32.59	9.56	42.71	32.59	20.56	27.44	25.91	16.27	30.12	86.43	71.5	107.38	73.54	111.99	85.22	111.99	123.5	135.24	69.03
ZFP69B	142.01	43.94	40.07	45.85	40.64	39.5	34.26	34.02	40.64	53.19	42.71	3.89	8.51	6.94	0.0	6.84	1.97	2.27	1.95	1.13	2.81	7.4	5.5	11.3	6.89	11.91	10.63	18.16	26.1	10.71	22.59
ZNF107	351.14	152.28	201.25	275.28	379.04	543.96	309.83	316.37	323.03	332.14	242.88	19.25	10.47	3.29	10.39	8.65	8.78	20.86	1.69	5.87	3.76	65.26	44.25	79.45	47.17	71.0	47.5	45.85	121.79	59.55	61.25
ZNF14	242.88	167.9	212.78	164.42	234.57	251.48	265.87	218.79	287.01	232.94	353.59	22.59	7.57	2.1	7.94	9.41	5.36	6.46	2.84	3.92	11.21	120.1	98.73	144.01	132.44	164.42	140.04	131.51	120.94	193.01	96.68
ZNF143	769.69	379.04	420.68	318.57	447.82	371.22	490.14	457.25	412.0	438.59	470.14	151.22	140.04	62.56	94.67	125.24	128.79	123.5	50.27	130.6	81.14	246.28	214.27	275.28	283.05	231.32	185.11	283.05	325.29	262.2	258.57
ZNF181	514.56	454.09	275.28	392.44	432.53	507.46	387.02	409.15	426.57	438.59	620.67	178.77	111.21	45.53	177.53	170.25	204.07	125.24	67.59	134.3	37.85	217.27	202.66	182.55	202.66	271.48	198.47	262.2	341.51	293.07	186.4
ZNF189	454.09	329.84	361.04	325.29	620.67	417.77	543.96	540.19	483.38	518.15	733.19	172.65	123.5	83.45	129.69	92.7	187.71	84.63	58.71	63.0	86.43	256.78	231.32	454.09	279.14	366.09	260.38	351.14	346.29	358.54	209.84
ZNF195	638.15	400.71	346.29	483.38	460.44	450.94	559.28	567.1	514.56	638.15	473.41	156.59	148.09	35.76	95.34	125.24	218.79	146.03	31.45	255.0	100.13	209.84	260.38	295.11	264.03	273.37	241.19	329.84	332.14	256.78	258.57
ZNF2	126.12	63.89	85.22	78.34	90.77	98.04	80.57	96.68	117.6	82.87	91.41	39.22	17.13	9.13	22.92	20.41	27.44	17.64	9.06	23.76	12.18	63.45	49.21	82.87	52.08	63.45	57.49	70.01	55.1	75.64	53.57
ZNF221	159.9	27.44	29.48	50.98	43.32	44.25	58.71	82.29	63.89	56.68	45.21	10.24	15.91	1.36	3.17	2.76	8.45	10.71	3.56	1.28	0.0	34.75	7.34	19.68	19.39	33.06	16.39	25.54	36.01	20.26	18.43
ZNF24	1936.53	1605.83	1030.12	1340.84	967.76	1477.58	1030.12	995.0	1277.29	1015.93	1781.89	327.56	253.23	148.09	305.55	301.33	289.02	336.79	176.29	264.03	358.54	389.72	406.31	409.15	389.72	490.14	432.53	486.75	463.65	454.09	450.94
ZNF283	312.0	121.79	98.04	157.68	158.79	226.54	121.79	167.9	217.27	152.28	253.23	25.35	7.06	4.94	23.08	15.8	27.44	36.53	5.41	14.03	6.84	49.91	56.68	66.65	58.3	44.57	44.25	71.5	81.71	75.11	35.5
ZNF416	105.15	73.03	129.69	95.34	147.06	181.28	137.14	110.43	145.02	157.68	158.79	39.22	29.48	15.34	17.38	24.63	33.3	26.86	9.41	9.41	16.63	69.03	56.28	85.82	67.59	81.71	57.89	73.54	67.12	88.26	68.55
ZNF436	400.71	368.65	376.41	285.03	480.04	329.84	599.49	775.05	620.67	432.53	698.41	92.7	30.56	23.93	29.27	22.43	34.26	9.2	21.01	20.26	18.16	232.94	136.19	438.59	198.47	343.89	246.28	224.97	457.25	291.04	148.09
ZNF510	363.56	181.28	246.28	199.85	275.28	305.55	231.32	281.09	303.44	277.2	234.57	34.02	28.65	12.83	41.22	37.05	24.11	59.97	38.12	12.64	18.97	157.68	78.34	122.64	124.37	140.04	121.79	137.14	166.73	167.9	92.05
ZNF525	470.14	190.34	218.79	277.2	403.5	256.78	239.52	242.88	285.03	281.09	265.87	58.3	22.92	7.0	15.56	22.92	63.0	25.91	8.25	12.0	2.73	80.57	78.89	113.56	91.41	115.16	81.71	98.73	215.77	127.0	170.25
ZNF526	111.21	148.09	117.6	110.43	157.68	195.72	144.01	138.1	153.34	130.6	169.07	71.0	37.59	38.12	46.5	35.76	37.05	31.9	19.11	31.45	24.11	125.24	78.89	118.43	105.15	141.02	112.77	106.63	108.9	103.69	85.22
ZNF543	392.44	80.57	97.36	62.12	132.44	98.73	151.22	136.19	105.89	124.37	130.6	18.7	11.13	5.41	13.03	7.28	14.78	16.75	10.55	2.78	6.06	66.18	43.63	65.72	50.63	65.26	55.89	56.28	75.64	57.49	33.78
ZNF555	124.37	120.94	119.26	113.56	95.34	159.9	140.04	123.5	146.03	145.02	173.85	38.12	21.16	11.3	11.55	19.97	19.68	13.32	16.03	2.84	2.78	69.52	58.71	77.25	78.89	91.41	78.89	53.95	67.59	67.59	43.94
ZNF572	116.78	59.55	57.49	51.35	17.25	39.22	44.57	50.27	55.1	54.72	88.26	16.63	4.5	2.53	9.7	6.62	11.21	5.77	1.48	2.23	1.89	24.99	16.75	31.67	32.13	30.12	37.05	32.59	58.71	34.26	20.26
ZNF607	221.86	180.02	141.02	175.07	135.24	194.36	118.43	118.43	154.42	111.99	231.32	16.75	6.16	2.03	7.22	7.06	8.58	19.68	1.93	2.58	3.2	64.34	41.52	66.65	58.71	67.59	45.21	96.01	81.14	90.77	51.35
ZNF658	121.79	51.71	127.89	96.68	122.64	110.43	122.64	130.6	134.3	156.59	212.78	23.59	8.45	5.23	15.45	18.7	19.25	8.13	5.96	9.06	4.13	50.27	34.02	60.39	43.32	60.39	53.95	53.95	84.04	59.13	27.05
ZNF665	239.52	138.1	82.87	146.03	163.28	145.02	251.48	249.73	169.07	181.28	169.07	3.96	20.26	3.2	2.34	7.51	6.06	6.84	3.23	8.78	2.1	96.01	23.76	81.14	40.64	77.79	49.56	92.7	205.5	114.36	77.79
ZNF678	698.41	217.27	177.53	224.97	343.89	264.03	132.44	122.64	136.19	108.9	120.1	19.25	11.55	2.03	15.68	19.25	8.45	6.41	10.08	5.23	6.73	51.71	36.79	58.3	52.82	63.45	43.94	48.87	72.01	59.55	52.82
ZNF701	376.41	105.15	125.24	148.09	224.97	165.57	187.71	194.36	159.9	165.57	228.13	21.32	8.65	3.82	10.79	9.7	4.94	11.38	9.7	4.46	3.92	70.51	52.45	78.89	90.77	80.01	95.34	89.51	155.5	95.34	86.43
ZNF71	129.69	112.77	98.04	69.52	129.69	98.04	120.1	102.25	91.41	87.03	138.1	19.68	27.25	6.89	17.64	12.27	13.93	15.22	7.17	17.9	4.24	125.24	43.02	81.14	74.06	112.77	60.82	63.0	89.51	74.06	80.01
ZNF786	206.94	142.01	123.5	88.26	224.97	195.72	176.29	159.9	120.1	145.02	180.02	52.82	30.34	20.41	36.01	32.59	62.56	24.46	11.91	24.28	21.16	129.69	90.77	90.77	90.14	106.63	89.51	102.25	109.66	111.99	49.21
ZNF790	234.57	147.06	153.34	129.69	149.12	172.65	166.73	178.77	178.77	159.9	161.02	85.82	111.99	59.13	72.52	106.63	92.7	81.71	49.56	40.36	47.5	106.63	63.89	109.66	107.38	77.25	93.35	102.97	101.54	96.01	117.6
