	TCGA.AC.A3OD.01A.11R.A21T.07	TCGA.E9.A1RG.01A.11R.A14D.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.A1.A0SG.01A.11R.A144.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.A2.A4S3.01A.21R.A266.07	TCGA.LL.A7T0.01A.31R.A352.07	TCGA.E2.A14U.01A.11R.A22K.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.E9.A1RC.01A.11R.A157.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.A2.A04N.01A.11R.A115.07	TCGA.EW.A1P6.01A.11R.A144.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.E9.A1R6.01A.11R.A14D.07	TCGA.AR.A5QP.01A.11R.A28M.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.BH.A0W5.01A.11R.A109.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.A8.A09B.01A.11R.A00Z.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.A2.A0EU.01A.22R.A056.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.WYBS.0926.SM.3NM94	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.1269C.2426.SM.5FQSN	GTEX.1313W.0826.SM.5EQ4T	GTEX.13O3O.0826.SM.5K7WE	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.13QIC.2326.SM.5LU5N	TCGA.B8.5552.11A.01R.1672.07	TCGA.44.3918.01A.01R.A278.07
GFER	309.83	2645.74	1572.76	974.5	1950.0	497.0	2004.85	1250.98	988.12	708.18	1697.45	988.12	1397.83	1963.57	780.44	1498.22	902.89	1001.93	723.08	1030.12	1286.18	791.35	884.29	638.15	954.43	1250.98	348.71	295.11	638.15	253.23	669.92	403.5	660.68	511.0	647.07	591.22	1286.18	371.22	1104.13	346.29	275.28	295.11
GNPTG	688.78	3901.01	2777.33	2758.13	4769.75	1104.13	2976.74	1819.35	2555.58	1806.78	2255.7	1605.83	3395.89	4239.45	1175.27	2178.83	2664.15	2271.4	1639.59	2061.24	2682.69	1662.49	2032.85	1617.0	3168.41	1745.2	1143.1	915.51	1457.23	669.92	1397.83	1991.0	1051.79	1119.56	1295.13	1286.18	2609.3	567.1	2047.0	1051.79	890.44	656.11
GTF2IRD1	466.88	909.17	656.11	403.5	753.83	563.18	723.08	1208.34	587.13	450.94	769.69	514.56	836.53	836.53	366.09	703.28	470.14	480.04	579.04	703.28	708.18	616.37	796.86	198.47	587.13	848.22	153.34	204.07	389.72	293.07	540.19	438.59	529.06	444.72	260.38	211.31	287.01	137.14	295.11	301.33	249.73	358.54
HIRIP3	102.25	819.3	521.76	329.84	825.0	149.12	403.5	620.67	529.06	316.37	802.41	291.04	753.83	860.08	229.72	1111.82	1135.2	395.18	244.57	232.94	656.11	358.54	595.34	209.84	463.65	674.59	182.55	132.44	305.55	130.6	231.32	466.88	417.77	397.93	221.86	180.02	438.59	132.44	301.33	291.04	156.59	82.87
HN1L	638.15	4152.18	4152.18	5403.7	4671.57	1331.57	4066.71	2855.44	2591.27	1977.24	7382.04	1540.37	5555.65	7857.29	2591.27	4095.0	2148.82	2148.82	2645.74	1977.24	3874.05	1950.0	2609.3	981.29	1844.76	3874.05	511.0	813.63	2047.0	961.07	848.22	2240.11	1322.37	651.58	629.35	463.65	1487.87	813.63	2502.97	1096.5	1697.45	1268.46
INO80E	470.14	2271.4	2061.24	1259.69	1936.53	693.58	1819.35	2061.24	1896.65	961.07	1594.73	974.5	2303.12	2720.15	1044.52	2351.53	2573.36	1477.58	1378.57	1199.98	1936.53	1127.35	1794.29	813.63	1407.55	1721.16	599.49	669.92	1081.39	473.41	896.64	1259.69	698.41	1073.91	842.36	674.59	1519.15	493.56	1081.39	921.88	563.18	493.56
JMJD8	480.04	4972.34	2816.11	2573.36	4937.99	579.04	2178.83	1857.6	2061.24	1268.46	2816.11	1242.34	2627.46	3742.05	1183.45	2777.33	2163.77	1369.04	1159.07	1551.09	2701.35	1674.06	1819.35	1407.55	2032.85	2451.44	878.17	1015.93	1277.29	733.19	1119.56	1008.9	1304.15	775.05	599.49	1111.82	1111.82	638.15	2367.9	921.88	813.63	277.2
KIF22	785.88	2664.15	2148.82	819.3	2047.0	642.59	2075.59	3955.48	1540.37	1304.15	1870.53	785.88	2485.67	2451.44	1259.69	1883.54	2796.65	819.3	1015.93	872.1	1806.78	1127.35	1977.24	466.88	1447.15	2061.24	244.57	406.31	954.43	441.64	1111.82	915.51	1277.29	764.36	563.18	466.88	981.29	493.56	1143.1	718.08	343.89	647.07
KNOP1	320.8	878.17	1119.56	1030.12	1233.75	603.67	1721.16	2935.74	1015.93	769.69	1806.78	571.05	2555.58	2178.83	651.58	1583.71	1397.83	1008.9	981.29	915.51	1143.1	555.41	1340.84	688.78	733.19	1427.22	197.09	190.34	423.61	218.79	518.15	896.64	397.93	256.78	262.2	234.57	379.04	412.0	351.14	463.65	339.14	547.75
LCMT1	748.61	2739.08	1923.14	1183.45	3847.29	759.08	1487.87	1991.0	1119.56	854.13	2018.8	1225.22	2875.3	4419.52	1143.1	2956.17	1781.89	1216.75	988.12	1119.56	2271.4	1081.39	1617.0	785.88	934.76	2591.27	511.0	660.68	1008.9	753.83	830.75	896.64	1044.52	961.07	854.13	753.83	1745.2	1457.23	1096.5	1023.0	836.53	450.94
