	GTEX.U3ZN.1226.SM.4DXUD	GTEX.SNMC.0826.SM.4DM66	GTEX.WYVS.1726.SM.3NMAY	TCGA.BC.A110.01A.11R.A131.07	TCGA.DD.A3A3.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.12WSI.0226.SM.5GCNA	GTEX.UTHO.2426.SM.4JBHD	GTEX.144GM.1326.SM.5LU5E	GTEX.139YR.0226.SM.5IFEM	GTEX.Q734.0326.SM.48U15	GTEX.13O3O.1826.SM.5IFGW	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.139TT.0726.SM.5K7XW	GTEX.13FTZ.0526.SM.5IJCW	GTEX.U412.0826.SM.3DB9K	GTEX.PVOW.1026.SM.2XCF9	GTEX.YFC4.1126.SM.5RQJN	GTEX.ZYY3.0926.SM.5E454	GTEX.Y111.1026.SM.4TT22	GTEX.147F4.0926.SM.5Q5EO	GTEX.111CU.0326.SM.5GZXO	GTEX.12WSE.0826.SM.5S2VL	GTEX.11PRG.0926.SM.5EGI8	GTEX.111FC.1126.SM.5GZWU	GTEX.11EI6.0826.SM.5985V	GTEX.RVPV.1726.SM.5SI8C	GTEX.131YS.0926.SM.5IJB9	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.13FTY.0126.SM.5J2NZ	GTEX.11GSP.0726.SM.5986L	GTEX.QDT8.0926.SM.32PL2	GTEX.ZDXO.1326.SM.57WBS	GTEX.U3ZH.0526.SM.3DB75	GTEX.117YW.0526.SM.5H11C	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FHP.0726.SM.5K7YI	GTEX.11ZUS.0126.SM.5EQM5	GTEX.13FLV.0426.SM.5KLZA	GTEX.T6MN.0826.SM.32PM4	GTEX.OXRP.0526.SM.2I3EW	GTEX.N7MS.0926.SM.2HMIZ	GTEX.ZVZQ.1526.SM.5N9G6	GTEX.111VG.0726.SM.5GIDC	GTEX.11O72.1326.SM.5BC5A	GTEX.145LU.0526.SM.5O9AT	GTEX.WK11.0526.SM.3NB3O	GTEX.139UW.0226.SM.5K7WU	GTEX.YJ8O.1826.SM.5HL82	GTEX.WVJS.0826.SM.4MVNR	GTEX.13OVL.0626.SM.5KM13	GTEX.QEG4.0526.SM.48TZD	GTEX.13G51.0426.SM.5K7Z5	GTEX.13NYB.0626.SM.5MR47	GTEX.11OF3.1126.SM.5986C	GTEX.ZE7O.3026.SM.51MS4	GTEX.13QJ3.2726.SM.5SI6L	GTEX.14BMV.2226.SM.5RQHX	GTEX.UPK5.2126.SM.4JBJK	GTEX.11ZTT.1726.SM.5EQL4	GTEX.11GSP.2426.SM.5N9BD	GTEX.WEY5.0726.SM.4LMID	GTEX.11EMC.1826.SM.5A5JT	GTEX.11ZTS.2326.SM.5EQMY
POLI	612.11	409.15	1199.98	118.43	56.28	21.32	309.83	244.57	40.93	49.91	149.12	48.18	0.0	0.53	154.42	476.71	406.31	733.19	221.86	177.53	368.65	136.19	90.77	466.88	163.28	559.28	209.84	417.77	483.38	642.59	181.28	114.36	941.27	281.09	872.1	373.81	98.04	244.57	229.72	113.56	212.78	122.64	293.07	353.59	239.52	195.72	262.2	656.11	161.02	620.67	406.31	647.07	220.32	181.28	325.29	58.71	555.41	669.92	575.03	366.09	555.41	836.53	217.27	684.02	941.27
PPWD1	454.09	518.15	1001.93	202.66	181.28	79.45	255.0	211.31	116.78	218.79	202.66	175.07	0.0	0.6	229.72	579.04	559.28	909.17	351.14	275.28	698.41	262.2	343.89	480.04	277.2	392.44	309.83	587.13	629.35	703.28	229.72	198.47	1378.57	511.0	1498.22	460.44	248.0	293.07	559.28	316.37	214.27	376.41	343.89	438.59	273.37	307.69	633.73	693.58	314.17	595.34	441.64	941.27	409.15	159.9	346.29	159.9	444.72	518.15	684.02	473.41	825.0	785.88	547.75	679.29	928.3
PTPN4	255.0	205.5	483.38	58.3	70.51	32.82	104.42	269.6	82.29	67.12	82.29	36.27	0.0	0.17	120.94	441.64	204.07	503.95	371.22	150.17	343.89	197.09	77.25	221.86	253.23	384.34	223.41	289.02	466.88	309.83	226.54	158.79	246.28	256.78	291.04	153.34	228.13	201.25	190.34	164.42	143.01	202.66	267.73	420.68	201.25	127.0	217.27	185.11	186.4	307.69	237.86	395.18	454.09	150.17	241.19	193.01	166.73	150.17	256.78	141.02	113.56	269.6	81.71	281.09	237.86
PUS10	87.03	75.11	260.38	99.43	108.14	62.12	156.59	119.26	45.53	71.0	151.22	100.83	0.0	0.34	121.79	129.69	131.51	201.25	175.07	62.56	220.32	120.94	74.06	181.28	118.43	182.55	93.35	138.1	348.71	202.66	156.59	62.56	466.88	120.1	187.71	144.01	49.21	94.67	161.02	126.12	92.05	50.98	135.24	151.22	83.45	98.73	191.67	332.14	87.65	273.37	120.1	218.79	90.77	127.0	98.73	125.24	155.5	96.68	127.89	134.3	153.34	146.03	43.32	204.07	154.42
RASA1	579.04	454.09	1143.1	88.88	94.01	75.64	158.79	208.38	85.22	60.39	158.79	38.12	0.0	0.61	163.28	599.49	273.37	884.29	371.22	239.52	733.19	145.02	130.6	500.46	224.97	507.46	242.88	460.44	860.08	633.73	246.28	197.09	1208.34	412.0	1023.0	387.02	119.26	348.71	379.04	191.67	244.57	175.07	177.53	363.56	231.32	269.6	426.57	514.56	348.71	575.03	348.71	616.37	381.68	239.52	305.55	147.06	830.75	483.38	447.82	420.68	395.18	480.04	323.03	397.93	669.92
RFX7	158.79	180.02	277.2	20.86	19.25	17.51	52.08	35.76	13.83	18.16	56.28	6.94	0.0	0.39	76.71	187.71	51.35	189.02	77.25	44.25	165.57	71.5	46.18	144.01	91.41	108.14	88.26	110.43	212.78	180.02	69.52	50.98	148.09	45.53	153.34	90.77	36.79	90.14	95.34	159.9	64.8	85.82	83.45	91.41	45.21	55.89	159.9	101.54	77.25	78.34	85.22	92.05	109.66	49.91	52.45	92.7	130.6	149.12	122.64	96.68	249.73	67.59	81.14	92.05	136.19
RNPC3	295.11	189.02	688.78	46.84	25.91	26.47	145.02	163.28	28.24	78.34	205.5	32.36	0.0	0.79	269.6	231.32	218.79	329.84	249.73	212.78	373.81	181.28	125.24	406.31	104.42	389.72	279.14	289.02	529.06	429.54	285.03	143.01	896.64	376.41	854.13	435.55	58.3	167.9	656.11	224.97	220.32	181.28	218.79	289.02	341.51	202.66	348.71	368.65	165.57	454.09	212.78	450.94	366.09	228.13	145.02	88.26	356.05	583.07	607.87	346.29	323.03	346.29	150.17	493.56	463.65
RUFY2	239.52	231.32	483.38	60.39	77.25	13.03	105.89	85.22	50.63	43.94	74.06	31.45	0.0	0.42	142.01	231.32	205.5	363.56	211.31	133.36	226.54	129.69	105.89	287.01	175.07	236.21	202.66	253.23	389.72	353.59	163.28	123.5	426.57	253.23	420.68	277.2	56.68	215.77	251.48	172.65	130.6	159.9	193.01	244.57	228.13	189.02	193.01	241.19	100.83	314.17	223.41	325.29	242.88	195.72	170.25	68.07	329.84	387.02	279.14	277.2	217.27	395.18	150.17	339.14	406.31
S100PBP	251.48	260.38	559.28	119.26	83.45	30.78	137.14	183.82	64.34	105.15	110.43	82.87	0.0	0.51	299.25	366.09	303.44	381.68	198.47	147.06	429.54	186.4	83.45	305.55	246.28	392.44	346.29	341.51	414.87	490.14	346.29	163.28	555.41	285.03	587.13	371.22	141.02	262.2	409.15	217.27	273.37	241.19	366.09	403.5	251.48	209.84	403.5	559.28	242.88	381.68	309.83	450.94	543.96	208.38	320.8	239.52	414.87	379.04	403.5	409.15	339.14	444.72	318.57	356.05	490.14
SECISBP2L	329.84	244.57	1015.93	86.43	118.43	69.52	297.17	146.03	88.26	67.59	221.86	81.14	0.0	0.11	591.22	511.0	444.72	819.3	500.46	457.25	647.07	470.14	314.17	665.29	450.94	728.11	371.22	392.44	981.29	854.13	420.68	264.03	967.76	796.86	854.13	603.67	249.73	473.41	796.86	563.18	293.07	376.41	486.75	486.75	500.46	373.81	607.87	373.81	476.71	638.15	332.14	511.0	603.67	497.0	532.74	392.44	1037.29	748.61	406.31	348.71	420.68	314.17	316.37	269.6	507.46
SENP7	133.36	191.67	603.67	46.84	52.45	15.91	110.43	177.53	27.84	43.94	90.77	31.45	0.0	0.4	92.7	336.79	155.5	389.72	224.97	80.57	420.68	84.63	75.64	218.79	119.26	348.71	152.28	258.57	638.15	329.84	89.51	76.71	483.38	248.0	403.5	214.27	47.5	123.5	264.03	104.42	105.89	88.88	96.68	182.55	105.89	125.24	221.86	277.2	85.82	412.0	194.36	224.97	234.57	98.04	120.1	68.07	361.04	239.52	279.14	204.07	633.73	395.18	267.73	463.65	532.74
SETDB2	182.55	96.01	307.69	55.49	54.72	36.01	94.01	111.99	28.45	36.53	60.82	18.03	0.0	0.19	90.14	191.67	125.24	334.46	175.07	92.05	224.97	55.1	77.25	173.85	96.68	218.79	128.79	175.07	186.4	186.4	76.71	52.45	234.57	93.35	285.03	117.6	66.65	112.77	134.3	59.55	106.63	109.66	76.71	131.51	77.79	112.77	139.07	172.65	90.77	199.85	151.22	206.94	109.66	67.59	73.03	62.56	154.42	154.42	137.14	118.43	221.86	159.9	87.65	183.82	170.25
TARSL2	161.02	71.0	470.14	82.29	91.41	46.84	93.35	151.22	60.82	69.03	84.04	59.97	0.0	0.47	78.89	206.94	242.88	249.73	133.36	108.14	211.31	78.34	117.6	198.47	98.04	265.87	205.5	187.71	273.37	195.72	162.14	84.63	155.5	145.02	336.79	157.68	59.55	102.25	214.27	52.08	147.06	166.73	111.99	283.05	84.04	101.54	329.84	171.45	120.94	327.56	158.79	291.04	215.77	76.17	113.56	59.97	343.89	320.8	265.87	260.38	127.89	426.57	153.34	351.14	291.04
TFDP2	525.39	368.65	629.35	217.27	297.17	190.34	169.07	497.0	221.86	211.31	447.82	97.36	0.0	0.59	381.68	457.25	429.54	490.14	441.64	309.83	473.41	521.76	145.02	518.15	423.61	470.14	190.34	612.11	669.92	591.22	320.8	185.11	251.48	368.65	819.3	476.71	260.38	543.96	332.14	343.89	341.51	164.42	242.88	518.15	202.66	285.03	432.53	281.09	316.37	406.31	320.8	575.03	698.41	242.88	316.37	182.55	511.0	551.56	733.19	379.04	629.35	384.34	353.59	412.0	514.56
TNRC6C	120.1	64.8	265.87	33.06	29.91	14.45	36.01	56.28	23.08	23.76	37.85	14.67	0.0	0.4	88.26	293.07	120.94	206.94	194.36	60.39	234.57	78.34	22.75	215.77	120.1	169.07	155.5	281.09	279.14	172.65	74.06	86.43	325.29	135.24	212.78	136.19	38.67	113.56	368.65	94.67	53.19	231.32	75.64	199.85	112.77	68.55	265.87	118.43	63.0	260.38	65.72	371.22	305.55	104.42	75.11	42.11	183.82	376.41	500.46	191.67	246.28	343.89	137.14	361.04	273.37
TRAPPC11	366.09	248.0	819.3	206.94	215.77	146.03	395.18	236.21	148.09	150.17	167.9	155.5	309.83	177.53	198.47	392.44	299.25	429.54	267.73	202.66	356.05	147.06	297.17	379.04	232.94	366.09	162.14	305.55	476.71	432.53	136.19	183.82	819.3	258.57	579.04	323.03	76.71	183.82	320.8	232.94	211.31	339.14	220.32	271.48	186.4	217.27	273.37	384.34	295.11	387.02	281.09	426.57	231.32	182.55	194.36	78.89	563.18	363.56	612.11	429.54	466.88	417.77	271.48	429.54	591.22
TTC37	551.56	466.88	1397.83	177.53	178.77	61.68	316.37	423.61	127.89	146.03	450.94	146.03	0.0	0.67	223.41	629.35	483.38	796.86	511.0	363.56	476.71	400.71	182.55	507.46	265.87	620.67	620.67	693.58	1135.2	540.19	412.0	166.73	764.36	733.19	808.0	441.64	127.89	470.14	620.67	371.22	253.23	507.46	438.59	454.09	314.17	429.54	796.86	420.68	363.56	532.74	571.05	753.83	607.87	387.02	476.71	242.88	414.87	688.78	674.59	293.07	1001.93	698.41	381.68	647.07	791.35
VPS13C	802.41	497.0	748.61	185.11	176.29	77.79	381.68	341.51	215.77	208.38	303.44	180.02	185.11	124.37	607.87	961.07	438.59	1697.45	928.3	483.38	1167.14	616.37	231.32	791.35	387.02	1119.56	642.59	791.35	1437.15	1508.65	1183.45	346.29	1388.16	819.3	1963.57	1233.75	500.46	698.41	1051.79	603.67	656.11	339.14	854.13	967.76	1159.07	595.34	1447.15	802.41	591.22	884.29	616.37	1073.91	693.58	733.19	934.76	346.29	1397.83	842.36	830.75	688.78	638.15	1605.83	389.72	1540.37	1437.15
VPS45	665.29	981.29	1088.92	392.44	256.78	212.78	536.45	255.0	170.25	316.37	353.59	97.36	0.0	0.64	348.71	718.08	583.07	1023.0	363.56	269.6	728.11	201.25	346.29	612.11	579.04	684.02	551.56	532.74	808.0	854.13	368.65	444.72	934.76	417.77	1417.35	748.61	251.48	460.44	529.06	305.55	521.76	518.15	409.15	753.83	563.18	363.56	473.41	896.64	403.5	1104.13	713.11	854.13	476.71	406.31	483.38	206.94	1111.82	947.83	1175.27	915.51	1662.49	1183.45	638.15	1268.46	1437.15
ZBTB44	429.54	358.54	813.63	136.19	178.77	166.73	414.87	256.78	123.5	151.22	246.28	75.64	224.97	204.07	575.03	429.54	346.29	599.49	371.22	429.54	665.29	536.45	112.77	638.15	414.87	525.39	403.5	466.88	743.43	629.35	376.41	173.85	583.07	348.71	651.58	454.09	297.17	447.82	500.46	414.87	392.44	312.0	447.82	518.15	476.71	262.2	563.18	409.15	457.25	420.68	432.53	583.07	571.05	381.68	387.02	521.76	616.37	525.39	389.72	346.29	444.72	384.34	151.22	679.29	624.99
ZC3H6	105.89	37.05	201.25	20.56	13.22	5.68	32.59	36.79	6.06	9.41	18.84	9.48	0.0	0.11	44.25	96.01	61.25	101.54	85.82	52.08	102.25	79.45	14.67	108.14	70.01	86.43	123.5	86.43	133.36	113.56	57.08	33.78	220.32	126.12	113.56	111.99	41.52	71.5	82.87	67.59	66.18	36.79	85.82	98.04	105.15	54.33	120.1	76.17	69.03	95.34	48.18	122.64	102.97	48.52	82.29	31.0	237.86	314.17	307.69	241.19	94.01	170.25	50.98	155.5	153.34
ZDHHC17	236.21	182.55	896.64	87.65	76.17	34.02	151.22	139.07	108.14	41.22	141.02	38.12	0.0	0.72	305.55	353.59	206.94	497.0	447.82	273.37	387.02	287.01	195.72	447.82	129.69	432.53	234.57	392.44	743.43	493.56	205.5	195.72	1015.93	356.05	674.59	361.04	70.51	239.52	426.57	336.79	165.57	181.28	271.48	293.07	348.71	309.83	373.81	339.14	152.28	540.19	285.03	536.45	316.37	215.77	217.27	215.77	470.14	463.65	493.56	301.33	555.41	698.41	279.14	656.11	796.86
ZFP14	115.16	30.78	194.36	7.46	20.11	8.38	30.34	19.68	3.96	14.78	27.05	4.24	0.0	0.24	33.3	68.55	49.56	119.26	35.5	35.25	136.19	36.01	15.34	117.6	34.02	82.87	70.01	58.3	113.56	101.54	50.98	18.29	175.07	43.94	139.07	91.41	16.88	96.01	78.89	42.11	52.08	52.45	57.08	108.9	53.19	29.27	93.35	91.41	71.0	92.05	59.55	87.03	98.73	29.91	64.34	24.81	141.02	120.1	181.28	77.79	70.51	129.69	38.67	201.25	182.55
ZMYM1	87.03	85.22	314.17	23.42	28.24	7.28	65.72	57.08	20.71	18.84	38.4	9.93	0.0	0.2	43.63	96.68	80.01	153.34	42.11	43.02	136.19	43.63	41.52	170.25	66.18	115.16	58.71	83.45	130.6	158.79	37.85	41.22	165.57	78.89	242.88	77.79	26.86	91.41	74.06	39.79	50.27	66.65	71.5	69.52	72.52	42.11	102.25	92.05	40.07	118.43	60.39	101.54	57.08	43.94	55.89	37.05	201.25	275.28	175.07	183.82	164.42	112.77	77.25	159.9	242.88
ZMYM6	217.27	177.53	329.84	62.56	71.5	30.56	108.9	93.35	52.82	59.97	82.87	42.11	0.0	0.23	155.5	209.84	177.53	341.51	116.78	94.67	242.88	98.04	147.06	226.54	105.89	223.41	154.42	204.07	248.0	258.57	82.87	133.36	406.31	158.79	403.5	172.65	78.89	126.12	136.19	164.42	108.14	126.12	164.42	155.5	103.69	142.01	221.86	220.32	189.02	223.41	158.79	264.03	170.25	90.77	130.6	92.7	295.11	198.47	220.32	187.71	209.84	180.02	127.0	309.83	303.44
ZNF248	155.5	102.97	389.72	20.71	34.02	22.43	71.5	80.57	22.26	56.28	72.52	18.16	0.0	0.36	102.25	228.13	155.5	358.54	152.28	74.58	255.0	59.55	44.25	295.11	145.02	204.07	165.57	204.07	260.38	327.56	92.05	80.01	193.01	111.21	275.28	191.67	44.25	104.42	202.66	66.18	173.85	136.19	104.42	208.38	162.14	119.26	167.9	190.34	55.89	269.6	201.25	269.6	177.53	99.43	71.0	70.01	318.57	269.6	389.72	193.01	358.54	575.03	104.42	507.46	591.22
ZNF345	102.25	117.6	217.27	15.56	17.51	15.11	43.32	53.19	16.51	16.03	28.86	10.0	0.0	0.44	74.58	100.83	92.7	153.34	38.67	34.26	97.36	43.63	17.38	100.13	80.57	70.51	127.0	76.17	201.25	206.94	53.57	52.82	166.73	125.24	267.73	124.37	39.79	63.45	125.24	78.34	118.43	38.12	81.71	100.13	111.99	57.08	195.72	142.01	61.25	127.89	107.38	224.97	162.14	91.41	40.93	33.54	115.16	204.07	204.07	105.89	172.65	212.78	32.36	186.4	336.79
ZSCAN30	161.02	204.07	540.19	47.17	59.55	32.13	100.13	142.01	19.68	71.5	90.77	11.38	0.0	0.59	136.19	384.34	246.28	376.41	251.48	73.54	320.8	67.59	113.56	316.37	201.25	285.03	145.02	185.11	305.55	543.96	90.77	120.1	447.82	167.9	500.46	218.79	29.48	201.25	285.03	77.25	150.17	132.44	152.28	177.53	157.68	189.02	128.79	348.71	81.71	341.51	234.57	309.83	223.41	127.89	68.55	37.85	325.29	309.83	260.38	228.13	371.22	214.27	189.02	283.05	295.11
