	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.BP.5178.01A.01R.1426.07	TCGA.B4.5836.01A.11R.1672.07	TCGA.CW.6088.01A.11R.1672.07	TCGA.BP.5186.01A.01R.1426.07	TCGA.B0.4712.01A.01R.1503.07	TCGA.B0.5694.01A.11R.1541.07	TCGA.B0.4818.01A.01R.1503.07	TCGA.B0.4844.01A.01R.1277.07	TCGA.BP.5194.01A.02R.1426.07	TCGA.CJ.5679.01A.11R.1541.07	TCGA.BP.4991.01A.01R.1334.07	TCGA.CJ.4870.01A.01R.1305.07	TCGA.B0.5700.01A.11R.1541.07	TCGA.CJ.5677.01A.11R.1541.07	TCGA.3Z.A93Z.01A.11R.A37O.07	TCGA.EU.5906.01A.11R.1672.07	TCGA.BP.4982.01A.01R.1334.07	TCGA.BP.5184.01A.01R.1426.07	TCGA.B8.A54I.01A.21R.A33J.07	TCGA.B8.A54F.01A.11R.A266.07	TCGA.B0.5691.01A.11R.1541.07	TCGA.A3.A6NI.01A.11R.A33J.07	TCGA.DV.5568.01A.01R.1541.07	TCGA.CJ.6033.01A.11R.1672.07	TCGA.BP.4163.01A.02R.1325.07	TCGA.A3.3351.01A.02R.1325.07	TCGA.B0.4691.01A.01R.1277.07	TCGA.CW.5583.01A.02R.1541.07	TCGA.B0.5116.01A.02R.1420.07	TCGA.CJ.5683.01A.11R.1541.07	TCGA.B0.5095.01A.01R.1420.07	TCGA.BP.4985.01A.01R.1334.07	TCGA.B0.5711.01A.11R.1672.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.CZ.4856.01A.02R.1426.07	TCGA.BP.5176.01A.01R.1426.07	TCGA.BP.5187.01A.01R.1426.07	TCGA.BP.5192.01A.01R.1426.07	TCGA.AK.3436.01A.02R.1325.07	TCGA.B0.4707.01A.01R.1277.07	TCGA.B8.4622.01A.02R.1277.07	TCGA.DD.A3A8.11A.11R.A22L.07
ZKSCAN8	28.45	80.57	201.25	297.17	229.72	74.58	163.28	208.38	102.25	241.19	89.51	332.14	151.22	58.71	120.94	111.99	241.19	299.25	195.72	101.54	320.8	312.0	153.34	151.22	135.24	232.94	389.72	90.14	339.14	167.9	132.44	241.19	146.03	253.23	120.94	152.28	120.94	231.32	190.34	106.63	102.97	264.03	24.63
ZNF292	193.01	70.01	305.55	426.57	264.03	74.58	205.5	246.28	142.01	389.72	95.34	363.56	183.82	57.89	140.04	100.83	307.69	334.46	239.52	103.69	400.71	316.37	197.09	96.01	145.02	493.56	356.05	90.77	423.61	141.02	155.5	237.86	217.27	353.59	127.0	170.25	141.02	389.72	316.37	131.51	84.63	295.11	6.06
ZNF451	98.73	100.83	242.88	281.09	271.48	127.89	208.38	232.94	113.56	231.32	115.16	466.88	164.42	119.26	190.34	183.82	295.11	351.14	214.27	128.79	262.2	334.46	220.32	191.67	146.03	271.48	457.25	208.38	368.65	214.27	205.5	358.54	248.0	281.09	186.4	198.47	124.37	366.09	234.57	164.42	134.3	299.25	60.39
ZNF462	329.84	51.71	215.77	346.29	258.57	50.63	108.9	175.07	131.51	351.14	80.01	258.57	145.02	120.94	72.52	94.67	264.03	256.78	218.79	89.51	150.17	253.23	172.65	96.68	73.54	327.56	285.03	68.07	358.54	146.03	140.04	155.5	81.14	193.01	170.25	147.06	185.11	323.03	260.38	119.26	86.43	163.28	7.63
ZNF546	8.19	15.11	59.97	105.89	67.59	27.44	75.64	50.98	53.95	86.43	37.32	113.56	38.95	10.88	37.32	35.76	80.57	103.69	64.34	32.82	102.97	63.89	51.35	44.89	30.34	54.33	114.36	36.01	118.43	49.91	35.25	57.08	19.25	73.54	32.59	53.57	29.7	71.0	74.58	57.49	47.84	76.17	14.89
ZNF572	19.25	11.55	23.42	31.9	33.54	14.35	24.99	22.43	21.32	50.27	10.16	39.5	19.11	10.08	14.14	14.56	25.17	42.71	29.06	20.11	71.0	41.22	22.59	15.91	12.09	17.38	72.52	13.93	59.55	26.67	17.9	39.22	13.72	29.06	18.03	18.43	11.04	33.78	28.45	19.39	13.93	34.75	2.53
ZNF675	2209.26	56.28	69.52	127.0	90.77	53.19	74.06	76.71	71.0	131.51	53.57	139.07	53.19	32.59	63.45	30.78	80.57	126.12	83.45	43.02	100.13	109.66	58.71	49.21	58.3	113.56	134.3	58.3	126.12	94.01	54.72	117.6	76.71	86.43	69.52	82.87	46.18	115.16	85.22	89.51	63.45	111.21	4.94
ZNF708	146.03	24.46	77.25	120.94	72.01	24.46	50.98	82.87	85.22	102.97	34.51	151.22	25.72	19.11	41.22	36.27	101.54	100.83	57.49	34.75	131.51	114.36	65.26	59.97	36.27	87.65	161.02	45.53	125.24	54.33	38.4	121.79	30.34	82.87	60.82	33.78	35.76	103.69	56.28	38.12	31.67	79.45	7.34
ZNF770	4328.55	92.7	647.07	567.1	389.72	100.83	281.09	209.84	178.77	518.15	234.57	511.0	234.57	94.67	127.89	110.43	483.38	503.95	353.59	81.71	480.04	470.14	195.72	165.57	171.45	463.65	400.71	96.68	656.11	289.02	248.0	283.05	189.02	486.75	109.66	264.03	218.79	476.71	305.55	218.79	120.94	400.71	57.49
ZSCAN29	77.79	98.04	166.73	312.0	189.02	61.25	132.44	185.11	152.28	167.9	132.44	307.69	94.67	91.41	86.43	117.6	232.94	271.48	147.06	100.83	241.19	223.41	187.71	94.01	112.77	193.01	265.87	115.97	202.66	121.79	145.02	190.34	139.07	189.02	157.68	114.36	100.83	185.11	136.19	100.83	151.22	228.13	41.22
ZZZ3	198.47	152.28	368.65	511.0	384.34	262.2	314.17	323.03	205.5	463.65	133.36	486.75	285.03	163.28	269.6	232.94	460.44	441.64	323.03	183.82	480.04	483.38	309.83	211.31	255.0	493.56	511.0	223.41	540.19	412.0	232.94	426.57	242.88	438.59	236.21	285.03	221.86	397.93	318.57	205.5	224.97	423.61	88.88
