	TCGA.KN.8427.11A.01R.2315.07	TCGA.KN.8433.11A.01R.2315.07	GTEX.ZYT6.2226.SM.5GIC9	GTEX.ZYFG.1626.SM.5GZYY	GTEX.13112.2126.SM.5GCO4	GTEX.UPIC.1126.SM.4IHLO	GTEX.11GS4.2326.SM.5A5KS	GTEX.13OVL.1826.SM.5KLZR	TCGA.CZ.5452.11A.01R.1503.07	TCGA.CW.6087.11A.01R.1672.07	TCGA.CW.5585.11A.01R.1541.07	TCGA.CW.5580.11A.02R.1672.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CZ.5463.11A.01R.1503.07	TCGA.B0.5706.11A.01R.1541.07	TCGA.B0.5705.11A.01R.1541.07	TCGA.CZ.5454.11A.01R.1503.07	TCGA.CJ.6033.11A.01R.1858.07	TCGA.BQ.7044.11A.01R.1965.07	TCGA.BQ.7046.11A.01R.1965.07	TCGA.GL.6846.11A.01R.1965.07	TCGA.BQ.7055.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.DZ.6131.11A.01R.1965.07	TCGA.BQ.5887.11A.01R.1965.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.K7.A5RF.01A.11R.A28V.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.DD.AAE7.01A.11R.A41C.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.BC.A10S.01A.22R.A131.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.G3.A3CH.11A.11R.A22L.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A1EH.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.38.4625.01A.01R.1206.07
LRRN2	808.0	271.48	476.71	974.5	703.28	1159.07	665.29	285.03	450.94	426.57	303.44	571.05	112.77	497.0	368.65	332.14	974.5	454.09	255.0	279.14	246.28	293.07	327.56	356.05	387.02	10.24	35.0	11.55	11.55	7.28	11.3	12.0	9.27	5.02	9.06	15.11	6.11	0.0
MAP3K9	71.0	76.17	29.06	115.16	43.94	76.71	89.51	19.39	54.33	52.45	41.22	58.3	29.7	47.17	32.13	52.08	75.11	49.56	26.47	42.41	45.21	53.57	53.95	47.84	72.52	17.64	9.34	29.48	7.4	13.93	28.86	13.03	8.45	5.41	9.63	9.41	8.78	27.05
MCMDC2	16.88	29.06	41.81	21.47	65.72	27.44	23.93	65.26	44.57	32.36	18.56	39.79	16.51	46.18	35.0	34.26	33.06	25.35	18.97	18.56	18.7	23.25	17.13	25.17	23.76	21.78	8.78	11.82	9.13	19.97	7.4	8.0	4.06	3.35	3.26	6.41	3.69	0.0
MFAP3L	713.11	612.11	1733.13	1225.22	2047.0	988.12	764.36	2075.59	1977.24	1594.73	567.1	1313.23	497.0	1350.18	1096.5	1639.59	1407.55	802.41	486.75	607.87	759.08	723.08	1066.48	1369.04	981.29	234.57	205.5	96.01	123.5	100.13	120.94	339.14	389.72	403.5	191.67	441.64	251.48	0.0
MFN2	1259.69	1159.07	1286.18	1870.53	1208.34	1697.45	1427.22	1143.1	1551.09	1651.0	1268.46	1477.58	981.29	1651.0	1135.2	1674.06	1378.57	1233.75	866.07	1340.84	1447.15	1397.83	1417.35	1529.73	1594.73	796.86	1037.29	642.59	934.76	703.28	896.64	934.76	954.43	1159.07	1159.07	884.29	1159.07	0.0
MFSD4	3212.66	3190.46	12329.98	3589.58	11345.82	4358.66	4181.07	14262.1	8479.89	6294.04	1745.2	10014.87	928.3	6121.9	8658.09	8022.41	8901.53	4704.07	2835.7	1977.24	3614.55	4481.23	3190.46	7749.1	7589.61	4.24	28.24	6.52	9.48	2.51	10.55	13.03	14.89	13.22	13.62	15.8	19.53	0.0
MPP7	387.02	351.14	1119.56	480.04	1044.52	329.84	830.75	1199.98	693.58	441.64	241.19	493.56	241.19	679.29	426.57	647.07	579.04	293.07	215.77	262.2	285.03	314.17	258.57	392.44	466.88	24.81	48.87	38.4	24.28	24.11	10.71	10.39	20.56	10.39	8.19	19.25	15.45	265.87
MTO1	463.65	450.94	493.56	624.99	688.78	366.09	343.89	708.18	595.34	693.58	384.34	595.34	457.25	616.37	447.82	575.03	536.45	447.82	547.75	441.64	450.94	412.0	466.88	429.54	389.72	267.73	423.61	379.04	198.47	228.13	363.56	381.68	426.57	329.84	303.44	368.65	426.57	0.0
MTR	376.41	423.61	265.87	466.88	334.46	389.72	417.77	466.88	457.25	384.34	265.87	387.02	226.54	403.5	366.09	543.96	381.68	271.48	164.42	332.14	289.02	525.39	332.14	373.81	429.54	48.18	77.25	51.35	100.83	80.01	56.28	60.39	61.25	42.41	17.51	54.72	47.5	126.12
NEK1	120.94	132.44	206.94	202.66	215.77	152.28	204.07	285.03	169.07	206.94	128.79	201.25	104.42	202.66	140.04	209.84	175.07	116.78	107.38	121.79	115.97	141.02	125.24	177.53	150.17	34.51	55.49	30.34	45.53	25.35	35.5	32.59	46.84	36.01	19.53	35.76	40.07	0.0
NRCAM	500.46	346.29	1427.22	866.07	665.29	291.04	299.25	3768.09	441.64	718.08	183.82	514.56	318.57	665.29	551.56	591.22	457.25	447.82	248.0	176.29	329.84	237.86	273.37	518.15	384.34	121.79	17.64	12.64	11.47	0.62	6.26	0.69	21.16	5.59	6.62	3.2	6.62	0.0
NUDT17	115.16	108.9	241.19	65.72	218.79	144.01	45.85	228.13	115.97	74.58	63.0	93.35	60.82	152.28	107.38	82.87	138.1	98.04	111.99	94.01	72.01	100.13	61.25	78.34	77.25	37.85	45.21	39.5	80.01	28.04	40.07	33.06	32.82	19.11	27.44	36.27	21.63	0.0
OCA2	14.24	33.06	143.01	33.54	41.81	83.45	1.58	56.28	14.35	23.59	10.16	27.64	3.35	24.28	26.47	17.51	20.26	14.78	20.86	5.28	8.58	24.99	18.16	61.68	29.48	0.55	3.96	1.6	1.11	0.0	0.91	0.0	6.36	0.53	6.62	1.55	3.0	0.0
OR13C2	0.99	0.73	3.38	0.82	3.03	0.0	1.5	1.55	1.36	0.0	0.0	1.48	0.0	0.0	2.61	0.85	3.47	1.58	0.66	0.36	0.39	0.0	0.0	0.0	1.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OSBPL9	1769.57	2255.7	3372.43	2090.03	3467.27	1883.54	2047.0	3639.7	2739.08	2335.28	1769.57	2645.74	1628.26	3303.0	2777.33	2777.33	2816.11	2319.15	1359.57	1721.16	1806.78	2148.82	1936.53	2537.92	1950.0	1119.56	1051.79	2351.53	693.58	890.44	567.1	1304.15	1277.29	1059.11	638.15	1044.52	1437.15	0.0
PARD6B	389.72	332.14	497.0	379.04	480.04	620.67	500.46	642.59	366.09	525.39	423.61	543.96	299.25	329.84	536.45	769.69	334.46	368.65	438.59	312.0	351.14	318.57	518.15	323.03	642.59	33.54	45.53	55.49	29.27	43.02	49.21	64.8	48.87	43.94	29.91	61.68	32.36	140.04
PARP1	902.89	902.89	866.07	1540.37	775.05	954.43	1096.5	884.29	1208.34	1059.11	915.51	1135.2	656.11	1183.45	872.1	1183.45	1175.27	954.43	780.44	848.22	941.27	981.29	915.51	1111.82	934.76	587.13	647.07	748.61	896.64	934.76	612.11	441.64	579.04	493.56	587.13	454.09	785.88	0.0
PDE8B	88.26	138.1	303.44	246.28	718.08	108.14	84.63	543.96	366.09	121.79	87.65	327.56	45.85	223.41	228.13	217.27	229.72	95.34	67.12	106.63	84.63	163.28	93.35	163.28	146.03	18.16	17.64	5.54	13.12	7.0	9.63	22.1	17.0	11.04	6.84	21.78	17.13	0.0
PKDREJ	3.89	2.86	8.06	5.23	6.62	3.29	1.04	3.86	3.03	3.32	1.83	4.39	3.32	4.21	3.99	4.62	4.06	1.95	1.97	3.5	2.34	6.26	3.06	6.52	2.76	1.04	0.58	0.49	0.64	0.51	0.52	1.28	1.17	1.11	0.58	1.2	0.65	0.0
PLCB1	444.72	400.71	1477.58	921.88	1628.26	620.67	684.02	2609.3	612.11	476.71	161.02	753.83	161.02	748.61	603.67	775.05	785.88	463.65	249.73	201.25	253.23	348.71	339.14	698.41	291.04	18.29	21.94	22.1	100.13	15.56	36.53	41.52	19.82	14.03	2.18	23.93	32.13	0.0
POGZ	547.75	525.39	674.59	466.88	995.0	656.11	656.11	1119.56	642.59	599.49	389.72	633.73	329.84	490.14	620.67	708.18	525.39	441.64	271.48	476.71	366.09	854.13	483.38	698.41	536.45	228.13	318.57	139.07	295.11	218.79	221.86	271.48	208.38	175.07	158.79	244.57	158.79	366.09
POPDC3	1.64	5.02	26.47	3.66	33.54	0.0	1.11	27.64	1.35	4.17	1.1	7.34	2.51	7.0	8.0	6.26	11.82	8.19	4.58	0.36	0.79	3.69	0.39	15.45	2.76	0.0	2.84	0.0	4.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PPARGC1A	543.96	1340.84	2178.83	1175.27	1088.92	2018.8	4869.99	2090.03	1286.18	1378.57	563.18	1685.71	518.15	1104.13	988.12	1322.37	1066.48	1044.52	521.76	698.41	878.17	1096.5	728.11	988.12	1081.39	353.59	343.89	237.86	336.79	113.56	131.51	262.2	616.37	764.36	289.02	368.65	743.43	0.0
PPM1K	381.68	521.76	878.17	323.03	802.41	703.28	414.87	1059.11	470.14	995.0	441.64	733.19	316.37	540.19	483.38	500.46	599.49	884.29	500.46	460.44	490.14	688.78	583.07	738.29	780.44	41.81	165.57	52.82	30.56	32.59	61.25	58.71	85.22	104.42	51.71	80.01	75.11	204.07
PPP1R9A	94.67	94.67	148.09	199.85	198.47	149.12	182.55	267.73	189.02	136.19	99.43	142.01	75.64	176.29	99.43	193.01	153.34	90.14	60.82	80.57	80.57	115.97	89.51	124.37	105.15	3.06	8.38	0.66	13.72	7.22	1.97	5.82	4.35	5.5	1.69	7.46	4.54	31.0
PPP2R3A	665.29	583.07	466.88	703.28	511.0	651.58	536.45	587.13	698.41	780.44	412.0	769.69	381.68	698.41	587.13	884.29	728.11	603.67	265.87	409.15	438.59	532.74	480.04	669.92	651.58	15.22	21.16	3.76	40.64	4.21	13.93	10.88	9.41	6.57	2.43	13.72	8.25	0.0
PRDM2	395.18	287.01	256.78	299.25	395.18	258.57	283.05	397.93	341.51	269.6	217.27	373.81	185.11	363.56	267.73	403.5	420.68	214.27	161.02	256.78	208.38	299.25	241.19	279.14	346.29	132.44	151.22	132.44	135.24	93.35	102.97	128.79	139.07	82.87	74.06	111.21	92.7	163.28
PRKD1	429.54	518.15	802.41	674.59	769.69	547.75	486.75	669.92	536.45	507.46	376.41	603.67	309.83	616.37	384.34	540.19	629.35	480.04	336.79	497.0	444.72	656.11	400.71	651.58	397.93	49.56	34.02	6.67	75.64	6.73	10.08	9.27	20.71	4.86	15.22	18.16	10.55	0.0
PRRG1	273.37	204.07	543.96	529.06	718.08	518.15	429.54	620.67	785.88	412.0	269.6	559.28	127.89	536.45	414.87	633.73	656.11	253.23	199.85	199.85	273.37	232.94	343.89	493.56	400.71	39.22	98.04	28.45	53.57	45.21	59.55	75.64	94.67	66.18	57.49	92.7	73.54	0.0
PTCH1	125.24	140.04	131.51	221.86	205.5	124.37	180.02	215.77	158.79	131.51	138.1	208.38	58.3	217.27	159.9	241.19	249.73	151.22	88.26	144.01	135.24	185.11	169.07	289.02	164.42	23.76	60.82	18.97	49.56	23.76	27.64	54.72	60.82	48.18	18.29	23.93	37.05	0.0
PTGR2	547.75	490.14	1051.79	579.04	1088.92	769.69	665.29	954.43	723.08	759.08	454.09	633.73	299.25	532.74	698.41	624.99	884.29	616.37	466.88	379.04	466.88	429.54	395.18	500.46	525.39	299.25	260.38	140.04	332.14	258.57	253.23	356.05	281.09	275.28	152.28	260.38	255.0	0.0
PTPN13	518.15	587.13	1721.16	713.11	2645.74	518.15	813.63	2004.85	1135.2	679.29	454.09	808.0	303.44	1073.91	473.41	921.88	988.12	551.56	271.48	483.38	426.57	693.58	532.74	647.07	603.67	2.05	26.1	2.18	14.78	1.83	3.5	8.0	19.39	9.34	5.32	9.56	10.71	0.0
RABGEF1	629.35	563.18	830.75	540.19	708.18	583.07	503.95	669.92	638.15	493.56	423.61	571.05	441.64	708.18	575.03	511.0	497.0	536.45	417.77	511.0	444.72	540.19	454.09	559.28	559.28	123.5	232.94	132.44	220.32	143.01	143.01	165.57	208.38	264.03	185.11	198.47	187.71	0.0
RALGAPA1	336.79	444.72	447.82	500.46	518.15	341.51	463.65	974.5	447.82	450.94	316.37	497.0	285.03	540.19	432.53	518.15	480.04	307.69	215.77	341.51	297.17	441.64	356.05	381.68	395.18	170.25	169.07	112.77	146.03	105.89	158.79	142.01	144.01	121.79	59.97	130.6	125.24	0.0
RANBP3L	507.46	665.29	1857.6	934.76	3060.45	450.94	559.28	4512.4	1498.22	884.29	237.86	1001.93	199.85	1340.84	819.3	1447.15	974.5	348.71	232.94	283.05	423.61	493.56	361.04	915.51	1359.57	8.19	82.29	1.03	20.41	4.82	22.59	44.89	58.71	94.01	20.86	50.27	45.85	0.0
RASL11A	1909.85	802.41	1111.82	1487.87	665.29	1447.15	928.3	974.5	1639.59	884.29	988.12	1008.9	813.63	624.99	693.58	1605.83	1350.18	1066.48	1208.34	1135.2	872.1	1225.22	909.17	753.83	1639.59	532.74	256.78	137.14	307.69	161.02	145.02	195.72	147.06	198.47	120.94	155.5	334.46	0.0
RAVER2	161.02	241.19	476.71	237.86	473.41	231.32	279.14	423.61	283.05	281.09	159.9	291.04	132.44	251.48	312.0	285.03	265.87	220.32	150.17	169.07	143.01	208.38	180.02	242.88	244.57	13.42	38.12	44.89	38.4	13.03	11.47	15.34	17.77	5.41	8.45	13.93	42.11	0.0
RIF1	113.56	123.5	136.19	165.57	157.68	134.3	152.28	175.07	161.02	141.02	99.43	158.79	76.17	175.07	121.79	206.94	167.9	87.65	59.97	98.04	80.57	136.19	128.79	126.12	128.79	46.5	62.56	33.78	46.5	38.95	45.21	52.82	62.12	45.21	14.03	57.49	45.53	0.0
RIPK4	432.53	497.0	366.09	854.13	629.35	954.43	866.07	397.93	483.38	379.04	457.25	713.11	271.48	353.59	392.44	718.08	624.99	490.14	551.56	543.96	503.95	518.15	638.15	733.19	890.44	251.48	314.17	244.57	153.34	205.5	170.25	182.55	183.82	409.15	397.93	414.87	291.04	0.0
RLN1	12.83	8.85	22.92	12.64	19.11	16.39	8.06	29.27	14.56	15.22	5.36	8.99	3.26	10.71	24.11	15.22	26.1	10.39	11.55	5.87	4.98	2.89	2.97	3.99	13.93	0.0	1.33	0.0	0.0	0.0	0.0	1.66	1.5	0.0	0.0	0.0	0.0	0.0
RNF150	269.6	316.37	708.18	819.3	1427.22	271.48	444.72	1304.15	454.09	397.93	185.11	438.59	133.36	599.49	211.31	490.14	507.46	309.83	118.43	244.57	253.23	332.14	291.04	414.87	400.71	1.08	14.89	1.35	5.15	1.75	3.41	4.46	7.69	3.89	4.24	6.84	5.32	0.0
RP11-1102P16.1	1.62	1.79	8.13	0.0	1.68	0.0	4.54	0.0	1.68	3.72	0.0	1.81	0.0	1.73	2.53	1.25	3.38	1.16	1.95	1.75	0.78	0.37	1.14	1.62	2.73	0.0	0.0	0.0	0.0	0.0	0.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-297N6.4	26.67	10.79	7.17	30.78	6.06	45.21	25.54	10.24	20.86	12.93	4.39	21.63	10.39	53.19	15.0	25.54	37.32	13.32	3.96	11.64	13.32	17.77	12.27	16.27	16.63	2.86	4.24	1.38	2.34	0.0	0.71	0.0	6.26	0.0	2.61	0.0	1.46	0.0
RP11-366L20.2	39.22	43.63	145.02	19.53	111.21	36.79	23.59	181.28	69.52	56.28	25.54	63.45	7.06	73.54	85.82	62.12	65.26	24.99	21.63	29.91	14.14	37.59	19.53	50.27	37.32	0.0	0.0	0.0	0.0	0.0	0.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-664D7.4	32.59	13.42	167.9	37.59	98.73	23.25	0.0	120.94	50.27	55.49	1.43	18.7	0.0	42.71	35.5	41.81	115.16	9.2	3.86	1.03	4.24	3.29	6.36	29.7	22.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-766F14.2	49.91	63.45	75.11	49.21	52.45	24.11	19.82	50.63	24.46	43.94	8.51	90.77	4.43	77.79	62.12	38.12	46.18	42.11	13.83	6.84	15.0	22.1	19.11	47.84	108.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46	0.0	0.0	0.0	0.0
RPS6KA6	145.02	234.57	486.75	301.33	967.76	195.72	599.49	698.41	438.59	249.73	128.79	346.29	102.25	327.56	157.68	363.56	346.29	167.9	80.01	162.14	151.22	242.88	176.29	329.84	208.38	1.22	8.25	0.0	0.0	0.0	0.68	3.63	3.32	2.05	2.53	6.89	2.23	0.0
SCAND3	35.76	23.42	36.01	38.4	121.79	36.27	16.63	120.94	35.76	36.27	17.64	60.39	19.68	56.68	43.02	54.72	61.25	32.36	24.28	14.35	16.63	25.17	18.97	36.53	22.92	30.56	16.51	24.81	23.93	15.34	7.51	20.41	14.67	14.45	3.14	15.11	12.0	0.0
SEC23B	1487.87	1304.15	1183.45	1991.0	890.44	1322.37	1498.22	909.17	1369.04	1572.76	1277.29	1225.22	1008.9	1709.26	1159.07	1519.15	1685.71	1119.56	1350.18	1191.69	1487.87	1151.06	1104.13	1066.48	1529.73	579.04	723.08	563.18	808.0	460.44	708.18	470.14	575.03	450.94	387.02	679.29	802.41	0.0
SEMA6D	291.04	854.13	2384.37	493.56	2777.33	1407.55	1819.35	2351.53	813.63	1051.79	293.07	1378.57	167.9	769.69	620.67	1508.65	490.14	759.08	287.01	460.44	493.56	902.89	638.15	1151.06	414.87	5.23	36.53	11.55	17.77	2.89	5.23	34.51	35.25	19.97	6.84	34.02	27.05	0.0
SGK2	1242.34	1378.57	3491.39	1519.15	2104.58	1628.26	1191.69	6516.03	1304.15	1583.71	733.19	1583.71	988.12	1407.55	1378.57	1617.0	1167.14	1519.15	995.0	1457.23	1015.93	1745.2	1651.0	1322.37	1745.2	896.64	1081.39	884.29	759.08	426.57	420.68	638.15	563.18	1081.39	551.56	463.65	785.88	0.0
SHISA9	93.35	36.27	158.79	212.78	161.02	88.88	68.55	106.63	123.5	62.12	21.01	66.65	13.62	90.14	59.13	143.01	265.87	57.08	36.79	49.21	48.18	54.33	83.45	112.77	154.42	0.0	1.77	0.0	5.06	0.0	0.0	3.2	0.56	0.53	2.66	1.07	0.0	0.0
SIM1	218.79	373.81	2417.67	309.83	1745.2	343.89	1407.55	1883.54	830.75	480.04	226.54	525.39	93.35	540.19	540.19	733.19	551.56	275.28	166.73	177.53	269.6	293.07	258.57	563.18	591.22	6.67	0.0	0.77	3.29	1.5	4.39	0.56	0.99	1.81	0.46	0.0	1.03	0.0
SLC11A2	848.22	708.18	624.99	819.3	567.1	941.27	748.61	603.67	830.75	830.75	669.92	819.3	486.75	1066.48	684.02	896.64	1073.91	547.75	500.46	703.28	559.28	921.88	555.41	753.83	713.11	373.81	341.51	363.56	314.17	438.59	361.04	432.53	318.57	329.84	158.79	400.71	334.46	780.44
SLC12A1	19082.0	46019.85	290865.98	59474.18	193234.41	98646.85	45386.27	241220.67	35609.13	61571.56	15715.58	48643.87	9279.58	47642.77	32994.92	51775.15	49322.93	46339.95	19082.0	17681.08	23820.89	39510.91	30151.71	47974.16	34396.12	0.0	2.2	2.89	3.35	0.82	13.32	0.0	1.48	0.51	0.0	2.48	1.06	0.0
SLC18B1	476.71	429.54	764.36	684.02	603.67	651.58	571.05	819.3	563.18	688.78	392.44	693.58	316.37	733.19	607.87	529.06	555.41	476.71	460.44	356.05	409.15	493.56	384.34	555.41	356.05	59.55	137.14	87.03	94.01	120.94	134.3	90.14	98.04	79.45	68.55	81.71	98.04	0.0
SLC25A4	3589.58	3190.46	5479.15	5183.54	2758.13	4066.71	3303.0	3690.52	2682.69	4210.15	1950.0	3467.27	2148.82	3039.3	3467.27	3325.99	2816.11	3325.99	3325.99	2417.67	2485.67	3303.0	2148.82	2915.45	4038.61	842.36	1015.93	854.13	961.07	1088.92	802.41	819.3	842.36	967.76	651.58	860.08	934.76	0.0
SLC35E1	616.37	595.34	665.29	665.29	890.44	642.59	698.41	743.43	802.41	854.13	543.96	791.35	463.65	753.83	638.15	743.43	738.29	775.05	543.96	612.11	642.59	728.11	693.58	738.29	728.11	356.05	327.56	441.64	470.14	358.54	460.44	387.02	332.14	363.56	348.71	336.79	303.44	503.95
SLC52A3	480.04	285.03	124.37	503.95	107.38	559.28	500.46	78.34	679.29	291.04	287.01	264.03	189.02	384.34	239.52	279.14	381.68	275.28	195.72	293.07	323.03	540.19	253.23	149.12	595.34	1.41	12.0	14.78	13.22	8.38	7.69	4.43	8.51	2.18	4.06	4.13	3.76	0.0
SMS	4298.64	3540.14	5076.84	3190.46	3614.55	3081.75	3716.2	5112.16	3716.2	4181.07	3303.0	3874.05	2915.45	3794.3	4769.75	3491.39	4181.07	4268.94	3395.89	2367.9	2915.45	2627.46	2502.97	3901.01	3515.68	457.25	733.19	616.37	748.61	743.43	796.86	620.67	624.99	503.95	450.94	713.11	555.41	0.0
SNX25	255.0	201.25	312.0	258.57	555.41	201.25	346.29	507.46	320.8	320.8	215.77	289.02	175.07	229.72	346.29	289.02	291.04	224.97	246.28	215.77	220.32	283.05	246.28	211.31	285.03	71.0	137.14	117.6	180.02	81.14	84.04	102.25	138.1	105.15	48.52	106.63	106.63	0.0
SOWAHA	180.02	287.01	463.65	397.93	497.0	221.86	231.32	267.73	217.27	236.21	151.22	289.02	132.44	293.07	145.02	199.85	176.29	234.57	186.4	153.34	103.69	190.34	194.36	191.67	155.5	26.1	27.64	21.16	83.45	58.71	74.58	30.56	28.86	27.84	23.93	22.59	21.78	0.0
SRRM1	684.02	909.17	728.11	1159.07	941.27	1111.82	1088.92	995.0	954.43	1001.93	708.18	1259.69	591.22	878.17	1167.14	1151.06	1104.13	669.92	674.59	791.35	738.29	1167.14	848.22	1119.56	974.5	438.59	493.56	406.31	514.56	289.02	397.93	493.56	507.46	406.31	403.5	470.14	389.72	902.89
SSBP2	493.56	429.54	961.07	688.78	961.07	497.0	620.67	1044.52	753.83	454.09	356.05	693.58	341.51	684.02	723.08	665.29	656.11	476.71	441.64	397.93	389.72	493.56	444.72	514.56	540.19	68.07	127.0	43.94	186.4	15.56	48.52	70.01	73.54	34.75	25.54	61.25	74.58	0.0
STOX2	38.12	40.93	85.22	50.63	92.7	127.0	61.25	78.34	52.82	67.12	27.25	74.06	16.39	62.12	59.55	66.18	74.06	55.89	25.72	21.63	39.79	55.89	36.53	64.34	45.21	8.99	13.12	6.46	11.38	8.45	11.21	18.43	15.0	10.24	4.78	7.28	16.27	0.0
STPG2	7.46	14.67	26.28	5.28	14.14	13.12	15.22	29.06	13.72	15.8	4.03	17.9	7.06	14.67	13.83	12.55	12.55	7.82	11.47	4.58	6.67	7.4	7.22	13.03	15.11	1.16	2.92	0.0	0.0	1.03	0.0	2.18	0.0	0.66	0.0	0.71	2.73	0.0
SVOPL	124.37	108.9	607.87	80.57	521.76	289.02	50.27	764.36	273.37	127.0	52.82	208.38	32.36	180.02	141.02	152.28	148.09	115.97	119.26	64.8	78.34	129.69	102.25	155.5	125.24	2.16	0.0	2.56	0.0	0.0	0.0	1.64	0.0	2.73	1.79	0.0	0.0	0.0
TACC1	1447.15	1697.45	2485.67	2209.26	3467.27	1561.89	2061.24	6207.38	2956.17	2875.3	1277.29	2875.3	1268.46	1870.53	2609.3	3303.0	2047.0	1583.71	947.83	1313.23	1832.01	2133.97	1498.22	2351.53	3018.3	144.01	279.14	109.66	351.14	158.79	197.09	202.66	412.0	138.1	137.14	248.0	211.31	1340.84
TADA2B	457.25	460.44	543.96	483.38	547.75	476.71	400.71	438.59	483.38	470.14	432.53	575.03	348.71	591.22	429.54	497.0	493.56	483.38	325.29	441.64	389.72	511.0	480.04	423.61	490.14	212.78	283.05	134.3	234.57	143.01	228.13	236.21	267.73	206.94	229.72	255.0	182.55	0.0
TBC1D4	902.89	1044.52	1870.53	1407.55	2061.24	967.76	915.51	1832.01	1250.98	1216.75	660.68	1369.04	379.04	1369.04	1143.1	1250.98	1467.37	947.83	571.05	511.0	647.07	808.0	718.08	1191.69	981.29	47.5	148.09	59.97	119.26	48.52	71.5	92.7	138.1	78.89	110.43	102.97	94.67	0.0
TDRD1	15.34	8.51	37.05	49.91	37.85	17.9	3.17	57.49	42.41	12.74	5.77	29.06	7.4	48.87	13.62	35.76	29.91	9.63	10.0	11.13	12.74	19.25	18.03	24.46	20.71	0.0	2.43	0.0	0.0	0.0	0.0	0.0	4.21	0.45	9.13	1.97	2.48	0.0
THRAP3	934.76	995.0	684.02	1437.15	878.17	1119.56	1167.14	785.88	1191.69	1167.14	1073.91	1388.16	693.58	1447.15	1277.29	1359.57	1498.22	1127.35	759.08	974.5	1073.91	1159.07	1111.82	1208.34	1066.48	486.75	693.58	559.28	780.44	400.71	660.68	575.03	669.92	599.49	571.05	583.07	595.34	866.07
TIFA	191.67	107.38	209.84	217.27	183.82	159.9	122.64	204.07	307.69	236.21	88.88	171.45	119.26	265.87	165.57	206.94	177.53	163.28	121.79	111.21	85.82	128.79	100.83	144.01	170.25	197.09	128.79	75.11	95.34	154.42	150.17	106.63	96.68	78.34	42.11	136.19	135.24	0.0
TJP2	1378.57	928.3	412.0	1651.0	785.88	1594.73	708.18	624.99	1628.26	1037.29	961.07	1304.15	813.63	1250.98	1044.52	1388.16	1437.15	928.3	647.07	1051.79	921.88	928.3	1191.69	896.64	1104.13	409.15	633.73	409.15	651.58	483.38	480.04	567.1	660.68	759.08	595.34	536.45	599.49	0.0
TLR5	232.94	186.4	414.87	371.22	791.35	264.03	167.9	660.68	426.57	409.15	177.53	343.89	63.0	392.44	187.71	341.51	463.65	241.19	98.04	153.34	181.28	291.04	223.41	293.07	260.38	15.91	42.11	8.71	28.24	29.91	26.28	11.13	28.45	14.45	13.52	14.03	19.97	0.0
TMEM158	53.57	54.72	215.77	50.98	130.6	23.42	63.89	102.25	82.29	48.18	48.52	119.26	26.1	57.49	49.21	75.11	37.59	64.34	53.95	31.0	37.32	48.87	70.51	59.97	80.01	5.68	17.64	8.71	13.12	3.56	12.64	5.15	12.93	14.45	11.47	9.63	7.82	0.0
TMEM164	493.56	414.87	555.41	733.19	463.65	928.3	728.11	571.05	629.35	802.41	406.31	693.58	277.2	684.02	435.55	629.35	616.37	579.04	277.2	429.54	463.65	575.03	406.31	595.34	497.0	63.0	65.26	33.54	81.71	54.72	73.03	24.46	38.67	12.45	22.75	22.26	24.63	0.0
TMEM38B	842.36	1096.5	3190.46	1313.23	1709.26	753.83	1467.37	2935.74	1259.69	1159.07	830.75	1175.27	775.05	836.53	1427.22	941.27	967.76	723.08	1111.82	902.89	796.86	842.36	854.13	1225.22	934.76	193.01	199.85	140.04	262.2	316.37	162.14	127.0	224.97	132.44	120.94	182.55	221.86	0.0
TMEM72	2777.33	3212.66	18689.27	10959.3	27745.15	7966.99	8901.53	14262.1	4239.45	4268.94	2090.03	4358.66	1044.52	4419.52	3325.99	3564.78	3540.14	4328.55	2224.63	2303.12	2816.11	3901.01	3212.66	4671.57	2701.35	0.0	1.38	0.82	1.53	0.83	0.0	2.58	0.99	0.48	0.91	1.48	1.5	0.0
TRAF3IP2	406.31	351.14	339.14	441.64	432.53	389.72	209.84	339.14	339.14	334.46	269.6	412.0	194.36	441.64	305.55	400.71	373.81	406.31	351.14	267.73	301.33	248.0	327.56	329.84	358.54	277.2	279.14	157.68	253.23	165.57	387.02	244.57	389.72	246.28	214.27	241.19	111.21	0.0
