	TCGA.A7.A26I.01B.06R.A22O.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.ZLV1.0526.SM.4WWD4	GTEX.S4Q7.0626.SM.4AD5M	GTEX.13FLV.1126.SM.5J2NO	TCGA.MZ.A7D7.01A.21R.A34R.07	TCGA.BA.4074.01A.01R.1436.07	TCGA.CV.7438.11A.01R.2132.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.64.1678.01A.01R.0946.07	TCGA.35.5375.01A.01R.1628.07	TCGA.50.5055.01A.01R.1628.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.50.5049.01A.01R.1628.07	TCGA.50.5066.01A.01R.1628.07	TCGA.50.5068.01A.01R.1628.07	TCGA.33.4589.01A.01R.1443.07	TCGA.37.4133.01A.01R.1100.07	TCGA.37.4133.01A.01R.1100.07.1	TCGA.34.5234.01A.01R.1635.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.IN.AB1X.11A.21R.A39E.31	TCGA.IN.AB1V.11A.11R.A414.31
OSTC	836.53	2485.67	1143.1	1819.35	1127.35	1733.13	1286.18	1605.83	1359.57	1135.2	6294.04	18560.17	2400.97	4210.15	16727.26	5076.84	5672.41	0.36	4937.99	8479.89	10585.95	7589.61	4937.99	4937.99	14765.09	4152.18	1781.89	1583.71	1757.34	1832.01	1844.76	1183.45	1233.75
PARK7	1950.0	3303.0	3039.3	5041.77	2645.74	3395.89	3081.75	2591.27	2976.74	3190.46	10808.41	13306.94	7130.55	5292.48	20881.4	13306.94	11504.21	0.96	9673.69	11345.82	12676.65	8901.53	7642.41	7642.41	11267.44	10084.54	3874.05	4769.75	4239.45	4802.93	3540.14	2400.97	2777.33
PHF5A	473.41	872.1	669.92	941.27	660.68	1088.92	521.76	441.64	483.38	497.0	3794.3	5329.3	1001.93	1427.22	2609.3	1745.2	1407.55	0.72	1551.09	2303.12	2895.31	3589.58	2520.38	2520.38	4450.27	2609.3	1135.2	1001.93	825.0	890.44	981.29	432.53	339.14
PHPT1	743.43	3212.66	1745.2	1909.85	2018.8	2163.77	1857.6	1407.55	1277.29	1936.53	4903.87	3614.55	2335.28	2956.17	8538.88	4869.99	3639.7	878.17	4481.23	5517.27	6207.38	5292.48	4543.8	4543.8	5006.93	2502.97	1757.34	1844.76	2664.15	1832.01	1487.87	1277.29	1051.79
POLE4	348.71	587.13	928.3	1819.35	728.11	1407.55	902.89	825.0	698.41	780.44	5147.73	5913.33	1685.71	2502.97	7857.29	5831.91	3060.45	0.73	2537.92	4639.29	5479.15	5292.48	5954.47	5954.47	7589.61	2645.74	1457.23	1407.55	1233.75	1685.71	1259.69	536.45	669.92
POLR2F	403.5	1529.73	1950.0	1674.06	1583.71	2104.58	1651.0	1304.15	1233.75	1340.84	6607.01	9540.5	2502.97	2997.45	30999.42	3665.02	2682.69	0.79	3060.45	4095.0	6935.54	5041.77	5041.77	5041.77	6337.83	3467.27	2384.37	2032.85	1857.6	2075.59	2075.59	1175.27	1059.11
POLR2K	1216.75	660.68	1225.22	1870.53	995.0	1561.89	866.07	575.03	665.29	791.35	4704.07	3564.78	1199.98	1467.37	5872.48	5594.3	2645.74	0.8	2255.7	4010.71	4543.8	4239.45	3146.52	3146.52	3443.31	2148.82	764.36	836.53	738.29	769.69	961.07	1001.93	1008.9
POP7	536.45	954.43	1088.92	1111.82	981.29	981.29	813.63	669.92	764.36	567.1	2319.15	1572.76	1111.82	1437.15	2573.36	2609.3	1233.75	0.28	1191.69	3124.78	1923.14	3212.66	2104.58	2104.58	1651.0	1594.73	1304.15	1015.93	1015.93	1259.69	1369.04	532.74	460.44
PSMA5	1001.93	2816.11	2335.28	2591.27	2303.12	2915.45	2451.44	1819.35	1674.06	1369.04	5791.62	11909.94	3540.14	4575.41	6079.61	6983.79	4298.64	0.59	4181.07	7180.15	7280.4	7081.29	5147.73	5147.73	5672.41	6294.04	3443.31	2796.65	2875.3	3395.89	4095.0	1617.0	1617.0
PSMA6	1008.9	5255.91	3639.7	4298.64	3768.09	4869.99	2720.15	2573.36	2367.9	2119.22	10959.3	21320.18	4769.75	6935.54	48307.85	17927.91	7749.1	0.93	7130.55	13968.57	11189.6	27363.16	8247.98	8247.98	14765.09	12502.12	6079.61	4152.18	6471.02	5831.91	5711.87	2018.8	1883.54
PSMB3	1583.71	4512.4	5831.91	4972.34	4704.07	8901.53	3395.89	1733.13	2090.03	2777.33	11584.24	18950.18	5995.9	6471.02	15075.35	13968.57	8305.36	0.89	7537.18	11424.74	11112.3	11504.21	15715.58	15715.58	11992.79	9808.75	6121.9	5441.3	4450.27	4972.34	4298.64	3190.46	2645.74
PSMB7	1662.49	3124.78	3847.29	3742.05	3515.68	4481.23	3280.18	2895.31	2502.97	2701.35	7642.41	11035.54	4836.35	5711.87	6121.9	6426.31	4239.45	0.99	4066.71	5147.73	3742.05	11424.74	5112.16	5112.16	4972.34	10154.69	5517.27	3901.01	4268.94	4607.24	4972.34	2816.11	2591.27
PTPMT1	536.45	1268.46	981.29	819.3	836.53	954.43	813.63	665.29	909.17	769.69	1697.45	2627.46	1216.75	1286.18	2255.7	3168.41	2133.97	0.27	1709.26	2701.35	5041.77	2255.7	1745.2	1745.2	2915.45	1498.22	764.36	836.53	1159.07	921.88	836.53	679.29	603.67
RBM18	392.44	182.55	228.13	358.54	215.77	223.41	185.11	146.03	124.37	115.97	688.78	890.44	312.0	361.04	507.46	466.88	275.28	0.05	253.23	532.74	435.55	476.71	629.35	629.35	470.14	447.82	255.0	312.0	171.45	220.32	275.28	209.84	287.01
RBX1	759.08	2061.24	1427.22	1467.37	1477.58	1498.22	1417.35	1135.2	1088.92	1104.13	5711.87	9151.82	1883.54	3257.52	4543.8	3395.89	2701.35	0.83	2287.2	3443.31	4869.99	6250.56	3190.46	3190.46	6381.92	3716.2	3325.99	1832.01	2271.4	2148.82	2682.69	1295.13	1096.5
RNF181	1950.0	7433.4	3716.2	3325.99	3690.52	4704.07	3467.27	2303.12	2468.49	2018.8	6164.49	9088.59	3794.3	6164.49	17681.08	17558.94	8598.28	1.11	6887.62	16045.82	17197.56	12676.65	13968.57	13968.57	13306.94	5292.48	3081.75	3372.43	6337.83	3280.18	4095.0	2485.67	2090.03
RP11-345J4.5	231.32	559.28	395.18	1119.56	325.29	642.59	241.19	373.81	444.72	291.04	2915.45	2609.3	575.03	854.13	1674.06	2417.67	660.68	0.19	995.0	2451.44	1242.34	2875.3	2400.97	2400.97	2271.4	723.08	476.71	896.64	1199.98	529.06	414.87	486.75	435.55
RPL26L1	279.14	988.12	866.07	796.86	769.69	1044.52	688.78	567.1	651.58	438.59	2255.7	3639.7	1540.37	1447.15	4512.4	2796.65	1617.0	0.22	988.12	2047.0	3443.31	2682.69	2193.99	2193.99	2875.3	2367.9	1639.59	1551.09	1059.11	1662.49	1199.98	493.56	470.14
RPS27A	5791.62	33455.53	35609.13	31432.17	31870.96	34876.28	48307.85	30361.44	30151.71	36610.26	120609.84	93974.69	50011.46	48643.87	158046.64	76861.91	62865.33	1.69	48643.87	95949.32	66449.85	62431.08	85876.94	85876.94	102125.66	64632.75	32767.0	23820.89	33688.23	31215.04	56657.31	32092.64	27938.14
RRP7A	135.24	555.41	551.56	603.67	426.57	532.74	500.46	403.5	599.49	493.56	1794.29	2895.31	1008.9	500.46	733.19	1051.79	1001.93	105.15	733.19	536.45	1259.69	2104.58	872.1	872.1	1037.29	1350.18	463.65	651.58	497.0	551.56	429.54	373.81	397.93
SEC11A	2163.77	2075.59	1781.89	1794.29	1674.06	1617.0	1769.57	1359.57	1242.34	1388.16	5831.91	7230.1	2400.97	3349.13	10883.59	3716.2	3874.05	0.91	3794.3	5791.62	7230.1	3419.52	2758.13	2758.13	6983.79	5594.3	1709.26	2032.85	1572.76	1806.78	2163.77	1447.15	1407.55
SEC61B	1896.65	4210.15	2875.3	2915.45	2682.69	4010.71	2997.45	2956.17	3515.68	3168.41	7433.4	8658.09	6250.56	5633.22	17804.06	7803.01	7966.99	0.67	6121.9	9474.59	8538.88	10585.95	7485.11	7485.11	9540.5	7589.61	4607.24	4152.18	4268.94	4066.71	4181.07	2520.38	2018.8
SEP15	2090.03	2609.3	2075.59	3419.52	1757.34	2351.53	1551.09	1721.16	1844.76	1991.0	12502.12	19214.73	3443.31	4937.99	11112.3	10225.32	9606.86	0.87	10225.32	16496.96	21468.49	7642.41	9151.82	9151.82	19618.49	6079.61	2148.82	2915.45	2032.85	2400.97	2915.45	1498.22	1572.76
