	TCGA.AC.A2BM.01A.11R.A21T.07	TCGA.AR.A1AU.01A.11R.A12P.07	TCGA.D8.A1XF.01A.11R.A14D.07	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.B6.A0IM.01A.11R.A034.07	TCGA.AR.A24O.01A.11R.A169.07	TCGA.PE.A5DC.01A.12R.A27Q.07	TCGA.BH.A0DT.01A.21R.A12D.07	TCGA.OL.A5D8.01A.11R.A27Q.07	TCGA.BH.A1FH.01A.12R.A13Q.07	TCGA.A2.A25A.01A.12R.A16F.07	TCGA.E9.A1NE.01A.21R.A14M.07	TCGA.AO.A0JI.01A.21R.A056.07	TCGA.AR.A0TQ.01A.11R.A084.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.AR.A2LO.01A.31R.A18M.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.B6.A0RG.01A.11R.A056.07	TCGA.BH.A0DS.01A.11R.A056.07	TCGA.BH.A0HW.01A.11R.A034.07	TCGA.BH.A6R8.01A.21R.A33J.07	TCGA.EW.A1PD.01A.11R.A144.07	TCGA.D8.A27I.01A.11R.A16F.07	TCGA.A1.A0SD.01A.11R.A115.07	TCGA.A7.A13F.01A.11R.A12P.07	TCGA.A8.A079.01A.21R.A00Z.07	TCGA.E2.A105.01A.11R.A10J.07	TCGA.AQ.A1H2.01A.11R.A13Q.07	TCGA.BH.A0DK.01A.21R.A056.07	TCGA.D8.A27W.01A.11R.A16F.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.A8.A09M.01A.11R.A00Z.07	TCGA.AR.A24T.01A.11R.A169.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.3C.AAAU.01A.11R.A41B.07	TCGA.A2.A0ER.01A.21R.A034.07	TCGA.E9.A295.01A.11R.A16F.07	TCGA.E2.A14S.01A.11R.A12D.07	TCGA.A1.A0SE.01A.11R.A084.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.E9.A1N3.01A.12R.A157.07	TCGA.OL.A66J.01A.11R.A29R.07	TCGA.A8.A06N.01A.11R.A00Z.07	TCGA.A2.A0CV.01A.31R.A115.07	TCGA.BH.A0H3.01A.11R.A12P.07	TCGA.A8.A09E.01A.11R.A00Z.07	TCGA.BH.A0W5.01A.11R.A109.07	TCGA.BH.A0C3.01A.21R.A12P.07	TCGA.C8.A133.01A.32R.A12D.07	TCGA.E9.A2JS.01A.11R.A180.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.EW.A2FV.01A.11R.A17B.07	TCGA.E2.A15S.01A.11R.A115.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.AR.A2LN.01A.21R.A18M.07	TCGA.A8.A06T.01A.11R.A00Z.07	TCGA.AC.A2FM.01A.11R.A19W.07	TCGA.C8.A1HI.01A.11R.A137.07	TCGA.S3.AA12.01A.11R.A41B.07	TCGA.BH.A1FB.01A.11R.A13Q.07	TCGA.A2.A04R.01A.41R.A109.07	TCGA.E9.A5UO.01A.11R.A28M.07	TCGA.B6.A0RL.01A.11R.A084.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.E9.A5UP.01A.11R.A28M.07	TCGA.E9.A1NI.01A.11R.A14D.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
PROS1	80.01	339.14	59.97	85.82	120.94	591.22	177.53	368.65	51.35	813.63	941.27	460.44	159.9	177.53	66.65	387.02	52.82	105.15	194.36	63.89	28.04	327.56	551.56	389.72	145.02	64.8	91.41	37.85	406.31	149.12	124.37	58.3	563.18	285.03	55.89	119.26	246.28	112.77	312.0	133.36	75.11	283.05	23.25	406.31	490.14	77.25	255.0	435.55	39.22	68.55	59.55	339.14	116.78	82.87	571.05	55.1	111.99	470.14	27.05	647.07	120.94	53.19	4.82	70.01	40.36	18.29	115.97	0.0	0.45
PTGFRN	728.11	1119.56	244.57	466.88	1081.39	2956.17	1242.34	1832.01	860.08	2915.45	2796.65	1427.22	656.11	909.17	575.03	1639.59	1844.76	1151.06	2400.97	483.38	543.96	1407.55	1794.29	1896.65	1295.13	1096.5	743.43	1540.37	1199.98	713.11	1277.29	1378.57	2816.11	2090.03	1081.39	620.67	2047.0	878.17	1923.14	2148.82	738.29	1628.26	255.0	2351.53	2485.67	1143.1	1561.89	1519.15	414.87	1277.29	1088.92	1104.13	759.08	1183.45	2400.97	830.75	616.37	1896.65	420.68	2018.8	1127.35	507.46	612.11	1674.06	1963.57	332.14	1529.73	848.22	432.53
PTX3	1.46	120.94	2.51	6.31	10.0	82.29	80.01	35.25	2.68	78.89	118.43	21.63	7.22	36.27	6.31	90.14	2.36	1.17	13.12	4.98	3.79	22.43	64.8	19.97	4.66	4.82	1.87	1.08	37.05	4.21	3.96	1.19	11.82	9.85	5.06	15.45	6.16	1.22	23.93	5.68	7.57	43.63	1.08	108.14	63.45	10.0	13.52	103.69	1.51	9.63	1.19	40.93	3.5	4.54	153.34	4.66	7.57	11.82	2.39	215.77	13.72	4.5	7.11	9.93	2.07	0.0	6.52	0.0	0.21
RECK	89.51	150.17	26.47	55.49	76.71	305.55	54.72	149.12	52.45	406.31	236.21	189.02	38.4	60.39	43.63	157.68	68.07	60.82	100.83	18.43	28.65	120.94	248.0	143.01	63.0	29.91	30.56	37.05	152.28	113.56	80.01	44.57	260.38	151.22	36.27	57.08	138.1	48.52	173.85	68.55	37.85	84.04	8.92	127.0	212.78	36.27	169.07	273.37	11.3	67.12	19.97	114.36	58.71	77.79	343.89	77.79	42.11	110.43	32.82	293.07	64.34	19.25	1.31	44.25	13.83	8.78	120.94	0.0	0.45
RUNX1	379.04	1417.35	1191.69	954.43	1551.09	2796.65	995.0	2384.37	954.43	1870.53	2664.15	1044.52	363.56	669.92	395.18	1819.35	392.44	1857.6	1883.54	684.02	262.2	1417.35	1268.46	1233.75	1277.29	1051.79	1081.39	271.48	1286.18	551.56	836.53	363.56	2434.5	1059.11	1977.24	1023.0	595.34	493.56	1819.35	346.29	769.69	1030.12	28.04	2104.58	2004.85	529.06	1745.2	1407.55	336.79	791.35	429.54	981.29	249.73	633.73	1583.71	318.57	1066.48	1250.98	312.0	1709.26	1051.79	854.13	412.0	665.29	406.31	1250.98	612.11	547.75	55.49
RUNX1T1	28.86	57.08	16.75	8.85	24.99	135.24	26.28	57.89	22.92	237.86	164.42	82.87	16.39	34.02	5.77	81.14	18.97	23.93	35.76	5.15	9.41	63.45	136.19	57.49	25.35	7.06	17.38	11.73	60.82	29.27	35.0	14.03	93.35	40.07	14.14	14.78	77.79	18.84	64.8	24.99	21.63	35.5	2.27	37.32	107.38	10.24	86.43	131.51	1.13	16.15	13.03	54.72	25.54	17.51	118.43	37.32	16.15	31.9	6.62	111.21	26.1	2.84	1.01	29.06	7.51	4.94	49.21	0.0	0.38
SELE	34.75	131.51	11.64	81.71	40.93	137.14	57.89	93.35	15.34	429.54	295.11	176.29	62.56	55.49	16.03	96.01	64.8	11.47	67.59	10.47	14.24	93.35	149.12	54.72	3.82	5.87	17.9	15.34	74.06	24.11	26.47	35.76	36.27	20.86	12.74	76.71	138.1	22.75	39.5	64.34	49.91	40.64	2.1	264.03	217.27	12.18	87.03	150.17	3.79	14.03	8.06	90.14	4.58	26.28	579.04	40.64	18.84	33.06	6.89	884.29	13.72	2.34	3.35	27.44	8.78	0.46	17.25	0.0	0.0
SHISA6	3.03	80.57	0.35	5.02	11.3	24.28	9.13	17.38	11.91	70.01	18.43	11.3	4.21	15.68	1.51	11.04	6.62	11.3	12.36	1.62	1.97	21.01	15.22	33.06	10.88	8.38	38.12	6.21	10.0	20.56	8.92	2.25	30.34	54.33	3.53	3.79	25.72	2.97	10.31	3.2	4.43	10.16	1.19	14.03	46.18	4.39	12.36	33.06	0.0	23.59	0.67	13.93	4.58	18.56	38.67	4.98	4.74	6.78	7.22	38.12	23.59	2.01	0.59	13.22	1.2	2.01	32.36	0.0	0.01
SNCAIP	10.0	132.44	4.74	10.79	19.25	81.14	34.75	262.2	23.25	137.14	197.09	75.11	13.72	26.28	13.72	100.13	17.51	36.79	32.59	2.66	15.56	70.01	114.36	62.12	26.86	7.69	26.67	5.82	48.87	15.22	27.84	7.11	125.24	25.35	19.53	15.8	72.01	22.75	50.27	14.03	10.63	82.87	1.53	127.0	102.25	8.92	69.03	69.03	7.34	10.39	6.78	50.98	12.64	15.22	109.66	7.22	15.11	42.11	36.01	78.34	19.11	1.51	1.48	19.68	10.0	2.66	29.27	0.0	0.27
TBX18	24.46	56.28	10.39	20.86	43.32	132.44	20.56	38.95	16.51	211.31	127.0	73.03	18.7	24.46	14.35	43.32	29.48	22.26	24.63	5.28	10.24	97.36	125.24	65.26	18.97	8.32	17.13	10.55	56.28	42.71	22.92	19.97	89.51	44.57	19.82	11.91	47.84	12.74	46.84	25.17	11.82	29.91	2.03	50.98	67.59	12.36	56.68	99.43	1.51	24.28	7.0	39.5	19.11	25.17	130.6	34.51	16.88	28.65	11.47	93.35	31.9	8.38	1.06	23.93	4.9	2.92	45.53	0.0	0.37
TCEAL7	18.03	90.14	26.47	31.67	44.89	158.79	39.5	87.65	11.55	273.37	187.71	96.01	26.28	46.84	10.63	111.99	22.1	62.12	61.25	15.45	12.74	119.26	242.88	90.77	44.25	8.78	29.7	23.42	110.43	38.12	26.86	9.2	248.0	132.44	17.64	11.3	63.45	15.34	117.6	11.13	25.17	91.41	2.73	195.72	215.77	19.39	52.08	128.79	10.0	25.35	18.16	93.35	30.12	26.86	193.01	26.28	59.55	155.5	7.57	132.44	56.68	28.04	4.62	40.93	10.79	2.41	86.43	0.0	0.26
TMEM200A	58.3	447.82	53.19	54.33	83.45	197.09	36.53	118.43	80.01	426.57	287.01	159.9	46.18	80.01	21.78	138.1	63.89	60.82	103.69	12.83	19.82	150.17	186.4	159.9	102.97	30.78	56.68	25.54	206.94	115.97	129.69	53.95	256.78	241.19	98.73	58.3	67.59	56.68	114.36	110.43	55.1	87.65	3.38	167.9	244.57	28.24	178.77	183.82	5.59	73.54	15.45	103.69	31.9	92.7	150.17	62.56	35.25	88.26	22.92	244.57	101.54	8.0	1.22	102.25	7.63	6.26	129.69	0.0	0.43
TNN	66.65	273.37	15.8	19.25	9.2	159.9	31.0	237.86	26.47	166.73	167.9	297.17	76.71	41.22	2.48	146.03	9.56	223.41	14.45	5.5	4.86	74.58	118.43	228.13	104.42	12.55	20.86	11.73	463.65	39.22	57.08	12.83	175.07	38.95	9.13	62.12	122.64	10.55	165.57	3.92	24.99	41.22	3.29	45.21	105.89	23.25	154.42	170.25	1.03	14.89	14.67	108.14	14.24	27.05	229.72	20.86	48.18	30.12	4.82	361.04	47.84	21.78	1.2	75.11	5.96	0.64	90.14	0.0	0.0
TSHZ2	20.11	142.01	69.52	10.39	19.97	144.01	22.59	94.67	12.36	353.59	258.57	167.9	28.04	44.25	6.62	152.28	13.03	20.56	19.11	2.94	4.82	68.07	156.59	101.54	44.89	11.47	21.47	5.23	110.43	31.0	44.57	16.03	109.66	50.27	17.77	27.64	48.52	28.45	105.89	29.06	24.99	33.54	1.53	78.34	144.01	8.25	78.89	127.0	3.23	15.91	4.24	122.64	19.68	14.14	151.22	17.77	19.25	87.65	4.21	242.88	28.45	1.79	0.64	29.06	5.06	1.22	18.03	0.0	0.32
TSHZ3	39.22	177.53	54.72	60.82	90.77	212.78	47.84	145.02	50.27	329.84	228.13	148.09	98.73	116.78	41.52	141.02	57.49	66.65	92.05	33.06	22.75	156.59	166.73	144.01	77.25	41.52	50.63	29.48	191.67	96.01	59.13	32.82	253.23	189.02	38.12	47.17	111.21	76.71	145.02	58.3	22.59	87.03	9.34	104.42	185.11	32.59	123.5	138.1	4.86	72.01	25.17	109.66	38.95	70.01	211.31	43.63	45.85	84.63	43.94	185.11	83.45	42.11	11.04	75.64	13.72	16.03	130.6	0.0	0.65
ZCCHC24	145.02	281.09	55.89	90.14	221.86	748.61	119.26	353.59	109.66	1051.79	928.3	412.0	180.02	162.14	88.26	688.78	130.6	144.01	223.41	46.5	84.04	397.93	802.41	389.72	104.42	147.06	143.01	90.14	381.68	215.77	265.87	154.42	698.41	209.84	115.97	158.79	366.09	113.56	423.61	111.99	183.82	490.14	60.39	351.14	624.99	103.69	463.65	780.44	52.82	157.68	90.14	249.73	151.22	154.42	878.17	224.97	236.21	241.19	175.07	616.37	239.52	101.54	52.45	142.01	59.13	35.5	132.44	0.0	0.61
