	TCGA.AC.A62Y.01A.11R.A29R.07	TCGA.A8.A0A6.01A.12R.A056.07	TCGA.A7.A26E.01A.11R.A169.07	TCGA.A2.A04X.01A.21R.A034.07	TCGA.BH.A208.01A.11R.A157.07	TCGA.E9.A24A.01A.11R.A169.07	TCGA.A2.A04W.01A.31R.A115.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.A2.A3KD.01A.12R.A213.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.AR.A24M.01A.11R.A169.07	TCGA.D8.A1JN.01A.11R.A13Q.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.D8.A73W.01A.22R.A352.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.A8.A094.01A.11R.A00Z.07	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.A1.A0SQ.01A.21R.A144.07	TCGA.A1.A0SM.01A.11R.A084.07	TCGA.BH.A1EW.11B.33R.A137.07	TCGA.BH.A1FE.11B.14R.A13Q.07	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13QIC.2326.SM.5LU5N	GTEX.T6MO.1426.SM.4DM73	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.DD.AAVQ.01A.11R.A41C.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A3A8.11A.11R.A22L.07
TRIM23	122.64	189.02	289.02	72.52	175.07	241.19	48.87	244.57	163.28	155.5	70.01	206.94	256.78	157.68	147.06	186.4	100.83	175.07	136.19	95.34	26.86	181.28	139.07	381.68	356.05	314.17	379.04	136.19	37.32	65.26	51.35	49.56	27.84	66.18	35.76
TRIM33	183.82	1259.69	536.45	180.02	285.03	389.72	320.8	466.88	426.57	255.0	169.07	406.31	460.44	368.65	332.14	277.2	497.0	332.14	301.33	234.57	127.89	265.87	297.17	651.58	603.67	543.96	473.41	273.37	41.52	98.04	163.28	65.72	99.43	56.68	55.49
TRMT10A	80.01	169.07	289.02	130.6	57.08	189.02	37.59	242.88	156.59	130.6	126.12	187.71	228.13	165.57	223.41	157.68	75.11	125.24	94.67	178.77	38.67	134.3	183.82	314.17	206.94	100.13	277.2	48.87	12.0	46.18	106.63	42.41	79.45	59.13	65.26
UBA5	511.0	848.22	733.19	551.56	417.77	759.08	417.77	748.61	921.88	603.67	567.1	860.08	860.08	616.37	511.0	1167.14	603.67	559.28	638.15	529.06	361.04	435.55	629.35	638.15	796.86	1233.75	743.43	486.75	185.11	591.22	397.93	595.34	412.0	353.59	353.59
UBR2	212.78	381.68	511.0	473.41	363.56	486.75	149.12	503.95	320.8	334.46	164.42	463.65	521.76	346.29	253.23	351.14	361.04	303.44	329.84	371.22	90.77	281.09	253.23	490.14	575.03	371.22	432.53	173.85	68.55	190.34	85.82	115.97	159.9	98.04	121.79
USP38	127.0	361.04	387.02	181.28	187.71	320.8	164.42	406.31	293.07	229.72	94.67	351.14	329.84	241.19	201.25	275.28	466.88	167.9	301.33	287.01	59.97	185.11	309.83	423.61	371.22	363.56	429.54	128.79	66.18	77.79	85.22	84.63	77.79	96.01	105.15
YTHDC2	169.07	363.56	463.65	251.48	151.22	444.72	108.14	435.55	336.79	325.29	150.17	384.34	289.02	201.25	251.48	246.28	236.21	305.55	281.09	166.73	99.43	329.84	229.72	555.41	500.46	371.22	339.14	171.45	28.86	91.41	102.25	96.01	79.45	105.89	56.28
ZCCHC7	346.29	368.65	387.02	361.04	381.68	379.04	441.64	395.18	457.25	289.02	273.37	381.68	348.71	507.46	414.87	346.29	426.57	312.0	283.05	246.28	126.12	363.56	318.57	412.0	587.13	708.18	503.95	373.81	35.5	195.72	131.51	137.14	158.79	117.6	31.9
ZMYM4	327.56	595.34	902.89	260.38	511.0	713.11	312.0	808.0	587.13	497.0	265.87	684.02	947.83	493.56	543.96	260.38	511.0	507.46	500.46	323.03	133.36	336.79	753.83	848.22	954.43	1135.2	921.88	579.04	53.19	123.5	108.14	84.04	82.87	110.43	49.91
ZNF143	267.73	476.71	420.68	414.87	316.37	409.15	332.14	353.59	353.59	341.51	295.11	435.55	536.45	447.82	343.89	329.84	371.22	363.56	334.46	242.88	138.1	387.02	417.77	454.09	583.07	490.14	403.5	205.5	87.65	320.8	195.72	164.42	214.27	162.14	62.56
ZNF189	236.21	353.59	447.82	187.71	271.48	269.6	205.5	473.41	246.28	336.79	152.28	392.44	381.68	571.05	346.29	249.73	299.25	289.02	237.86	194.36	95.34	223.41	180.02	555.41	607.87	457.25	417.77	231.32	162.14	170.25	131.51	85.82	214.27	113.56	83.45
ZNF37A	221.86	199.85	348.71	166.73	118.43	253.23	97.36	336.79	228.13	167.9	127.89	220.32	277.2	183.82	155.5	228.13	132.44	255.0	194.36	150.17	41.22	119.26	150.17	312.0	265.87	275.28	148.09	157.68	21.63	60.39	41.81	28.86	46.18	29.91	20.41
ZNF510	69.03	181.28	299.25	105.15	149.12	187.71	59.97	265.87	159.9	176.29	78.34	253.23	244.57	172.65	137.14	146.03	172.65	155.5	167.9	97.36	36.01	182.55	81.14	277.2	244.57	336.79	138.1	121.79	14.24	40.07	29.91	19.82	31.0	18.84	12.83
ZNF782	52.82	68.55	94.67	31.0	47.17	69.03	23.76	84.04	55.89	66.18	23.42	94.67	76.71	102.25	42.11	57.89	66.65	75.11	54.33	31.0	19.11	38.67	19.68	96.01	101.54	73.54	71.5	42.11	10.71	17.9	31.9	28.45	26.67	32.13	10.55
