	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.QEG4.0726.SM.4R1JL	GTEX.Q2AH.0826.SM.48TZN	GTEX.Y3IK.1126.SM.51MSV	GTEX.RU1J.0326.SM.46MUM	GTEX.QDVJ.0726.SM.48U1W	GTEX.14E1K.1226.SM.5S2PD	GTEX.VJYA.0726.SM.4KL1T	GTEX.RWS6.0826.SM.47JXF	GTEX.13PVR.1826.SM.5Q5CC	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A3A2.11A.11R.A213.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.DD.A1EB.11A.11R.A131.07	TCGA.BC.A10X.11A.11R.A131.07	TCGA.DD.A39W.11A.11R.A213.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.145MF.0826.SM.5QGQA	GTEX.14DAQ.1726.SM.5S2R2	GTEX.14753.1626.SM.5NQ9L	TCGA.IN.8663.11A.01R.2402.13
SP2	343.89	387.02	312.0	358.54	426.57	351.14	348.71	403.5	289.02	389.72	438.59	361.04	514.56	423.61	318.57	94.01	115.97	121.79	158.79	164.42	146.03	127.0	130.6	118.43	158.79	107.38	363.56
SPATA2	116.78	237.86	201.25	177.53	256.78	162.14	303.44	275.28	92.05	215.77	182.55	189.02	217.27	170.25	154.42	84.04	100.13	148.09	106.63	137.14	182.55	91.41	73.54	118.43	88.88	75.11	118.43
STX5	1104.13	785.88	813.63	785.88	915.51	819.3	1127.35	1044.52	684.02	1044.52	981.29	854.13	1051.79	842.36	1037.29	884.29	660.68	656.11	785.88	825.0	872.1	733.19	796.86	723.08	728.11	708.18	808.0
SUPT6H	624.99	981.29	836.53	808.0	954.43	808.0	890.44	848.22	669.92	934.76	872.1	890.44	1066.48	743.43	543.96	473.41	450.94	463.65	583.07	532.74	536.45	450.94	381.68	384.34	529.06	267.73	656.11
TBL2	463.65	540.19	470.14	334.46	476.71	400.71	500.46	728.11	307.69	769.69	441.64	341.51	679.29	500.46	403.5	325.29	289.02	281.09	353.59	358.54	320.8	285.03	271.48	305.55	277.2	166.73	320.8
TMEM201	120.94	291.04	325.29	173.85	255.0	191.67	325.29	193.01	97.36	183.82	180.02	145.02	244.57	187.71	127.0	34.26	23.25	25.35	36.27	26.86	26.47	40.64	21.47	18.7	38.67	6.41	124.37
TNK2	2075.59	1819.35	2682.69	1883.54	2468.49	1721.16	1781.89	2434.5	836.53	1963.57	1277.29	981.29	2224.63	1769.57	981.29	358.54	224.97	426.57	447.82	312.0	248.0	336.79	392.44	387.02	221.86	356.05	961.07
TRABD	860.08	1295.13	1950.0	1008.9	1594.73	1417.35	2119.22	1417.35	759.08	1304.15	1242.34	947.83	1286.18	1183.45	872.1	403.5	395.18	348.71	525.39	403.5	551.56	432.53	660.68	457.25	397.93	289.02	848.22
TRAF3	119.26	229.72	275.28	143.01	279.14	162.14	186.4	229.72	108.14	167.9	167.9	113.56	242.88	164.42	126.12	58.3	54.33	85.82	116.78	74.06	66.18	74.06	77.25	43.32	57.49	55.89	95.34
TSR1	432.53	583.07	529.06	438.59	511.0	429.54	521.76	579.04	366.09	642.59	620.67	529.06	713.11	521.76	432.53	143.01	148.09	167.9	212.78	199.85	177.53	169.07	119.26	120.1	119.26	88.88	336.79
TTYH2	18.16	87.65	51.35	19.68	70.51	52.08	51.71	42.71	34.51	31.67	35.76	28.04	54.33	32.59	46.18	15.0	18.43	17.77	27.64	17.9	21.16	17.51	63.89	8.78	51.71	19.39	31.0
U2AF2	1963.57	4095.0	4066.71	2997.45	3515.68	2895.31	2895.31	2956.17	1977.24	2609.3	3303.0	2935.74	3235.01	3212.66	2032.85	1340.84	1066.48	1225.22	1685.71	1233.75	1350.18	1015.93	947.83	785.88	1088.92	616.37	1923.14
UBAP2	759.08	529.06	435.55	629.35	521.76	559.28	660.68	842.36	500.46	647.07	555.41	555.41	563.18	503.95	373.81	89.51	80.57	90.14	143.01	129.69	111.99	107.38	134.3	67.59	102.25	39.5	493.56
UFSP1	35.25	91.41	68.07	40.07	52.08	63.89	59.13	59.55	32.59	52.82	53.95	29.91	61.68	34.26	30.12	35.76	31.9	35.25	43.32	29.91	34.51	26.47	40.07	35.0	45.21	31.0	26.67
URB1	118.43	232.94	237.86	150.17	189.02	202.66	140.04	209.84	107.38	205.5	152.28	152.28	291.04	163.28	108.9	43.02	41.52	46.5	72.52	38.95	59.55	52.45	34.75	58.71	37.85	28.04	115.97
VPS4A	796.86	1745.2	1819.35	1583.71	1359.57	1923.14	2319.15	2018.8	1277.29	1159.07	1250.98	1417.35	1617.0	1572.76	1437.15	866.07	884.29	775.05	842.36	785.88	819.3	884.29	642.59	688.78	878.17	1127.35	1529.73
WDR4	249.73	366.09	540.19	172.65	289.02	307.69	358.54	476.71	249.73	384.34	295.11	231.32	392.44	271.48	164.42	73.03	93.35	105.15	109.66	67.12	88.26	105.15	85.22	70.51	71.5	54.33	126.12
WDR46	551.56	941.27	1674.06	785.88	1159.07	866.07	1066.48	941.27	808.0	1059.11	1199.98	813.63	1066.48	941.27	743.43	728.11	616.37	698.41	616.37	587.13	612.11	567.1	435.55	529.06	476.71	316.37	660.68
WDR55	281.09	441.64	463.65	379.04	511.0	409.15	595.34	660.68	387.02	551.56	638.15	521.76	698.41	555.41	460.44	258.57	231.32	253.23	237.86	228.13	242.88	231.32	211.31	199.85	165.57	146.03	358.54
WWC3	358.54	371.22	320.8	341.51	299.25	406.31	279.14	320.8	205.5	376.41	229.72	271.48	361.04	301.33	239.52	49.56	50.98	48.87	62.12	59.55	42.41	55.1	67.12	34.51	46.5	15.22	251.48
XPO5	346.29	647.07	660.68	486.75	703.28	470.14	665.29	884.29	332.14	599.49	595.34	414.87	974.5	500.46	368.65	178.77	138.1	173.85	190.34	190.34	140.04	185.11	120.94	127.89	150.17	52.82	358.54
ZBTB7B	4181.07	4066.71	3146.52	3928.15	2739.08	4152.18	4010.71	3443.31	1781.89	3190.46	2956.17	2240.11	2997.45	2796.65	2367.9	486.75	674.59	511.0	486.75	334.46	575.03	466.88	392.44	348.71	320.8	476.71	2018.8
ZC3H18	281.09	633.73	753.83	518.15	616.37	507.46	780.44	555.41	346.29	460.44	551.56	518.15	638.15	551.56	444.72	316.37	228.13	224.97	353.59	299.25	320.8	316.37	277.2	209.84	287.01	105.15	320.8
ZC3H4	376.41	473.41	454.09	403.5	409.15	379.04	476.71	457.25	293.07	426.57	414.87	305.55	438.59	389.72	309.83	149.12	153.34	140.04	151.22	153.34	167.9	180.02	107.38	100.13	144.01	60.39	293.07
ZMYND19	559.28	518.15	620.67	412.0	660.68	547.75	1143.1	563.18	486.75	728.11	769.69	603.67	718.08	595.34	532.74	277.2	343.89	289.02	231.32	166.73	211.31	218.79	164.42	197.09	194.36	154.42	438.59
ZNF124	19.39	45.53	32.82	34.26	40.36	35.25	32.59	44.89	30.56	81.14	64.34	41.52	53.95	53.95	22.26	14.78	28.04	25.35	29.27	23.59	23.42	34.26	20.41	2.56	12.55	8.78	35.25
ZNF573	15.68	26.47	19.53	31.67	22.92	43.02	46.5	47.5	21.78	81.71	32.13	48.52	98.04	90.14	35.25	4.28	16.15	15.34	13.93	18.7	22.1	18.43	18.56	59.55	15.68	14.45	47.5
ZNF579	111.21	165.57	176.29	121.79	212.78	131.51	267.73	307.69	187.71	246.28	198.47	218.79	189.02	189.02	101.54	141.02	78.34	59.97	62.56	83.45	81.71	124.37	52.08	124.37	141.02	29.7	150.17
ZNF587B	72.52	81.14	63.89	70.01	89.51	59.55	104.42	134.3	75.64	119.26	127.0	57.89	158.79	141.02	97.36	75.64	43.94	34.02	62.12	45.21	49.56	45.21	78.34	42.11	64.8	19.39	74.58
ZNF628	43.94	175.07	165.57	147.06	217.27	177.53	135.24	95.34	87.65	126.12	136.19	82.29	156.59	146.03	138.1	33.54	35.5	33.3	29.06	33.3	44.89	34.51	33.78	29.91	39.22	29.06	114.36
ZNHIT2	195.72	283.05	470.14	267.73	323.03	303.44	366.09	339.14	190.34	323.03	273.37	206.94	334.46	236.21	287.01	211.31	183.82	165.57	183.82	157.68	242.88	228.13	309.83	214.27	223.41	155.5	173.85
