	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KM.8439.01A.11R.2315.07	TCGA.KN.8433.01A.11R.2315.07	TCGA.KN.8437.01A.11R.2315.07	TCGA.B0.4834.01A.01R.1305.07	TCGA.B8.4619.01A.02R.1325.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.11ZUS.2526.SM.59872	GTEX.WZTO.0626.SM.4PQYY	GTEX.11NV4.1326.SM.5HL6V	GTEX.SJXC.1226.SM.4DM78	TCGA.RD.A8N9.01A.12R.A39E.31	TCGA.HU.A4GY.01A.21R.A24K.31	TCGA.BR.A4CR.01A.11R.A24K.31	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.CD.A48A.01A.12R.A36D.31	TCGA.CG.4466.01A.01R.1157.13	TCGA.3M.AB47.01A.22R.A414.31	GTEX.Y5V6.1326.SM.4VDTF	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.EM.A3SY.01A.11R.A22U.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.EM.A3O9.01A.11R.A220.07
POM121C	842.36	334.46	432.53	361.04	748.61	490.14	723.08	607.87	358.54	234.57	309.83	409.15	285.03	417.77	325.29	191.67	214.27	713.11	896.64	1617.0	1015.93	713.11	1540.37	493.56	473.41	748.61	466.88	669.92	438.59	368.65	470.14	656.11	361.04	441.64
PPHLN1	1233.75	525.39	624.99	293.07	591.22	1081.39	1250.98	684.02	780.44	536.45	808.0	988.12	363.56	255.0	189.02	281.09	309.83	599.49	1044.52	1540.37	988.12	1417.35	1059.11	723.08	397.93	579.04	493.56	738.29	775.05	1111.82	836.53	679.29	583.07	708.18
PSIP1	1388.16	384.34	435.55	248.0	688.78	1127.35	1044.52	1008.9	1001.93	486.75	387.02	493.56	109.66	144.01	191.67	348.71	221.86	1242.34	2104.58	3443.31	1457.23	775.05	693.58	1233.75	753.83	559.28	684.02	518.15	713.11	1304.15	620.67	665.29	656.11	796.86
PTGES3	6121.9	3103.19	2367.9	1397.83	3303.0	4481.23	5006.93	3982.99	5006.93	2287.2	3716.2	5441.3	2520.38	2004.85	2502.97	2209.26	2627.46	4239.45	4450.27	6887.62	4123.49	7081.29	7803.01	5711.87	3303.0	2976.74	2367.9	5403.7	2796.65	3467.27	5517.27	4607.24	3349.13	2485.67
PTPRA	1757.34	947.83	708.18	1015.93	995.0	1350.18	1407.55	1088.92	1151.06	473.41	656.11	620.67	334.46	256.78	183.82	232.94	297.17	967.76	1143.1	2664.15	1081.39	679.29	1572.76	743.43	599.49	1268.46	1359.57	1583.71	1119.56	967.76	1081.39	890.44	884.29	947.83
PUS7L	183.82	53.57	41.81	34.26	102.25	105.15	149.12	62.56	72.01	16.39	40.07	35.5	4.74	6.21	20.71	10.24	11.3	66.65	131.51	353.59	156.59	96.01	218.79	59.13	91.41	68.07	39.5	54.33	30.34	42.71	162.14	83.45	36.53	43.32
QSER1	406.31	12.55	47.17	33.3	128.79	119.26	117.6	144.01	186.4	44.89	84.63	87.03	14.24	35.76	46.18	25.91	48.87	208.38	285.03	327.56	241.19	132.44	312.0	120.1	96.01	141.02	87.03	104.42	82.87	120.1	94.67	88.88	81.71	73.03
RAD51D	161.02	55.49	106.63	111.99	138.1	113.56	128.79	155.5	142.01	73.03	152.28	141.02	78.34	96.01	61.68	96.68	105.15	170.25	215.77	295.11	128.79	201.25	146.03	121.79	71.5	211.31	155.5	183.82	186.4	98.04	178.77	199.85	164.42	82.87
RANBP2	842.36	221.86	191.67	110.43	351.14	665.29	830.75	438.59	559.28	79.45	169.07	143.01	84.63	120.1	132.44	217.27	103.69	559.28	629.35	1594.73	723.08	612.11	884.29	473.41	473.41	346.29	309.83	249.73	323.03	305.55	251.48	343.89	325.29	193.01
RBM12B	279.14	57.08	57.89	46.5	105.15	127.89	121.79	145.02	141.02	37.85	55.89	58.3	17.25	23.08	77.25	49.56	38.95	236.21	287.01	316.37	224.97	139.07	191.67	134.3	59.55	94.01	81.71	89.51	93.35	88.26	105.89	127.0	79.45	53.19
RECQL	813.63	145.02	99.43	77.79	234.57	417.77	463.65	285.03	358.54	181.28	256.78	447.82	34.51	29.7	48.52	72.52	71.5	529.06	718.08	1127.35	460.44	246.28	420.68	351.14	209.84	241.19	177.53	231.32	183.82	547.75	323.03	265.87	197.09	166.73
RICTOR	351.14	101.54	69.03	56.28	114.36	381.68	466.88	198.47	169.07	51.35	49.91	72.52	24.11	57.89	103.69	58.71	73.54	348.71	457.25	848.22	435.55	191.67	529.06	208.38	74.58	113.56	71.5	137.14	104.42	119.26	82.29	127.0	87.65	70.01
RIF1	438.59	51.71	39.22	33.78	85.82	143.01	153.34	111.99	151.22	40.36	37.85	58.71	14.03	43.32	48.87	44.25	33.78	265.87	312.0	559.28	312.0	251.48	470.14	178.77	57.49	84.63	79.45	127.0	75.64	103.69	65.26	111.99	71.0	51.35
RLIM	463.65	129.69	162.14	114.36	228.13	400.71	327.56	301.33	339.14	110.43	126.12	153.34	51.35	58.3	55.89	52.08	71.0	460.44	363.56	591.22	329.84	163.28	351.14	384.34	126.12	262.2	155.5	215.77	172.65	197.09	198.47	269.6	186.4	162.14
RNF8	346.29	156.59	346.29	273.37	325.29	339.14	366.09	323.03	309.83	86.43	214.27	175.07	109.66	201.25	127.0	72.01	111.21	305.55	283.05	417.77	258.57	224.97	414.87	209.84	237.86	356.05	242.88	279.14	283.05	220.32	208.38	248.0	220.32	343.89
RNGTT	220.32	44.89	65.72	51.71	175.07	249.73	291.04	152.28	150.17	70.01	102.25	166.73	81.71	33.54	64.34	69.52	60.39	158.79	237.86	293.07	194.36	149.12	312.0	146.03	136.19	178.77	97.36	96.01	75.64	87.65	129.69	98.73	81.71	103.69
RPRD1A	954.43	384.34	616.37	187.71	854.13	1008.9	1096.5	813.63	713.11	201.25	476.71	555.41	180.02	289.02	363.56	291.04	343.89	571.05	693.58	1447.15	693.58	579.04	884.29	733.19	412.0	607.87	624.99	819.3	1127.35	764.36	503.95	825.0	954.43	703.28
SCAF11	1378.57	463.65	460.44	409.15	791.35	1088.92	1191.69	825.0	775.05	301.33	450.94	441.64	117.6	305.55	291.04	281.09	312.0	934.76	1561.89	2224.63	1487.87	1447.15	1457.23	941.27	583.07	791.35	463.65	688.78	429.54	890.44	884.29	660.68	543.96	536.45
SERBP1	3794.3	1073.91	1870.53	775.05	2682.69	1519.15	1540.37	2816.11	3443.31	2502.97	2209.26	2701.35	1896.65	1477.58	1286.18	1651.0	1685.71	2796.65	3742.05	9215.48	3794.3	3103.19	5479.15	3515.68	2875.3	2777.33	2664.15	2163.77	1806.78	2956.17	2417.67	1870.53	2255.7	1977.24
SERPINE3	31.22	5.68	5.06	4.62	8.38	23.93	15.68	16.15	15.45	6.41	5.28	5.63	1.46	10.39	8.92	9.48	3.69	13.62	21.47	43.02	22.1	10.55	52.45	10.24	12.64	16.03	8.38	15.11	11.21	5.23	11.04	11.64	18.7	6.84
SF3A3	1628.26	457.25	728.11	406.31	854.13	651.58	733.19	860.08	995.0	454.09	579.04	540.19	470.14	438.59	297.17	400.71	353.59	1066.48	1159.07	2148.82	1216.75	909.17	1467.37	890.44	743.43	813.63	854.13	674.59	567.1	825.0	708.18	595.34	656.11	759.08
SHPRH	211.31	22.92	38.12	22.43	118.43	81.71	108.14	82.87	84.63	13.93	13.42	17.13	5.23	6.57	22.59	20.71	16.51	137.14	171.45	253.23	165.57	87.65	158.79	80.01	30.56	128.79	46.84	82.29	52.45	40.07	87.03	98.73	39.5	44.89
SLC36A4	201.25	78.34	262.2	50.63	651.58	323.03	379.04	195.72	208.38	75.64	135.24	171.45	29.48	13.03	30.56	33.3	34.02	237.86	232.94	813.63	182.55	239.52	463.65	80.01	54.33	387.02	223.41	264.03	134.3	152.28	346.29	144.01	105.15	279.14
SLC38A2	3081.75	1268.46	1001.93	336.79	1651.0	2209.26	2384.37	1322.37	1304.15	473.41	633.73	1651.0	934.76	629.35	1015.93	1331.57	2739.08	2520.38	1963.57	4095.0	2303.12	1923.14	2224.63	1991.0	1457.23	1119.56	1051.79	1540.37	819.3	1233.75	1639.59	1857.6	633.73	934.76
SMAD5	775.05	162.14	223.41	102.25	392.44	371.22	395.18	400.71	507.46	101.54	128.79	137.14	84.63	170.25	241.19	152.28	140.04	460.44	463.65	629.35	587.13	267.73	507.46	381.68	221.86	269.6	180.02	281.09	228.13	228.13	224.97	316.37	212.78	199.85
SOCS4	275.28	155.5	135.24	81.71	226.54	299.25	220.32	221.86	265.87	47.84	100.83	93.35	13.83	33.78	38.95	29.27	28.04	236.21	246.28	387.02	269.6	136.19	283.05	182.55	120.1	166.73	131.51	199.85	114.36	120.94	92.7	223.41	109.66	111.99
SSR1	2915.45	426.57	808.0	262.2	1498.22	1519.15	1628.26	1295.13	1769.57	860.08	921.88	1008.9	954.43	624.99	915.51	728.11	651.58	2335.28	1757.34	4704.07	2303.12	1216.75	2451.44	1540.37	1066.48	1233.75	1081.39	830.75	743.43	1313.23	1159.07	1044.52	1175.27	728.11
STAG2	1605.83	242.88	371.22	242.88	612.11	802.41	738.29	791.35	909.17	336.79	400.71	253.23	94.67	169.07	170.25	136.19	218.79	981.29	1143.1	1594.73	954.43	521.76	651.58	1051.79	480.04	718.08	366.09	813.63	486.75	551.56	466.88	728.11	540.19	366.09
STMN1	3901.01	896.64	1745.2	813.63	1427.22	1540.37	1487.87	1991.0	2209.26	2148.82	2271.4	2777.33	275.28	267.73	264.03	346.29	323.03	3874.05	2645.74	10659.59	2485.67	5403.7	5711.87	3847.29	947.83	2075.59	2682.69	1388.16	2090.03	3794.3	684.02	1757.34	1794.29	1721.16
STT3A	3540.14	2032.85	1143.1	1806.78	1628.26	1066.48	2104.58	1857.6	2271.4	1127.35	1508.65	1183.45	1572.76	825.0	1225.22	1037.29	896.64	2335.28	1781.89	3901.01	2319.15	1304.15	4066.71	1757.34	2133.97	1447.15	1561.89	2224.63	2178.83	1991.0	3190.46	1991.0	3103.19	1540.37
STT3B	2627.46	995.0	836.53	339.14	1322.37	3190.46	2520.38	1250.98	1268.46	775.05	842.36	1651.0	563.18	503.95	612.11	665.29	591.22	2018.8	1685.71	3060.45	1923.14	1066.48	2018.8	1832.01	1397.83	1143.1	1081.39	1225.22	1059.11	1175.27	1268.46	1781.89	1135.2	902.89
SUZ12	543.96	120.1	212.78	151.22	450.94	728.11	607.87	384.34	371.22	149.12	162.14	262.2	54.72	114.36	154.42	120.94	105.89	514.56	511.0	819.3	460.44	325.29	708.18	381.68	223.41	480.04	334.46	463.65	249.73	255.0	417.77	426.57	256.78	229.72
TAF9B	733.19	85.82	249.73	73.54	332.14	470.14	438.59	543.96	612.11	181.28	234.57	162.14	81.14	63.45	113.56	76.71	77.79	563.18	334.46	764.36	287.01	327.56	406.31	275.28	214.27	412.0	414.87	444.72	301.33	353.59	277.2	356.05	285.03	255.0
TCF12	1407.55	258.57	387.02	244.57	669.92	915.51	902.89	748.61	1008.9	205.5	301.33	336.79	87.03	112.77	223.41	148.09	127.0	1340.84	1331.57	1529.73	1143.1	665.29	1745.2	1295.13	450.94	444.72	361.04	368.65	353.59	733.19	301.33	466.88	371.22	253.23
TCP1	3847.29	1096.5	1977.24	1183.45	2367.9	3820.7	3395.89	2739.08	3280.18	2367.9	2148.82	2573.36	1561.89	866.07	1331.57	1407.55	974.5	2816.11	3081.75	5633.22	2400.97	4038.61	5555.65	3280.18	1896.65	3690.52	3820.7	2739.08	1745.2	2417.67	4704.07	2664.15	1977.24	2485.67
TDP1	356.05	39.22	120.94	105.15	137.14	120.1	128.79	159.9	171.45	57.89	64.34	132.44	75.64	52.08	57.89	63.89	79.45	165.57	264.03	312.0	271.48	211.31	327.56	215.77	129.69	76.17	48.18	76.71	41.52	95.34	69.52	93.35	38.4	68.55
TM9SF2	3303.0	1304.15	967.76	1242.34	2104.58	2645.74	3124.78	2400.97	3103.19	1044.52	1487.87	1757.34	1832.01	1268.46	1216.75	1388.16	1477.58	3794.3	3280.18	7331.05	2573.36	1572.76	1498.22	1674.06	2417.67	1832.01	884.29	2271.4	1628.26	1662.49	1950.0	2351.53	1529.73	1286.18
TRIM37	483.38	92.7	190.34	125.24	320.8	486.75	559.28	212.78	249.73	151.22	283.05	336.79	63.45	56.68	63.0	114.36	71.5	387.02	293.07	624.99	283.05	303.44	351.14	283.05	136.19	470.14	206.94	381.68	220.32	167.9	281.09	532.74	223.41	166.73
TRRAP	325.29	140.04	163.28	190.34	246.28	273.37	376.41	175.07	226.54	97.36	119.26	215.77	73.03	51.35	87.03	77.79	78.89	320.8	397.93	669.92	316.37	358.54	429.54	201.25	78.89	277.2	182.55	291.04	191.67	189.02	215.77	279.14	177.53	185.11
UBQLN2	748.61	432.53	312.0	460.44	507.46	830.75	775.05	587.13	693.58	246.28	457.25	336.79	279.14	307.69	346.29	363.56	368.65	1127.35	753.83	1081.39	647.07	371.22	497.0	796.86	540.19	599.49	540.19	518.15	693.58	693.58	463.65	629.35	713.11	368.65
UBXN7	348.71	68.55	74.06	31.9	111.21	198.47	191.67	158.79	182.55	47.5	68.55	93.35	39.22	30.34	45.85	26.86	35.0	258.57	271.48	271.48	215.77	194.36	248.0	161.02	110.43	129.69	93.35	111.21	133.36	146.03	77.25	177.53	110.43	81.14
UCHL5	703.28	267.73	500.46	183.82	703.28	366.09	381.68	500.46	579.04	409.15	409.15	339.14	119.26	231.32	271.48	295.11	251.48	497.0	450.94	967.76	497.0	301.33	860.08	476.71	389.72	358.54	232.94	307.69	169.07	289.02	444.72	281.09	180.02	366.09
USP1	836.53	176.29	197.09	156.59	314.17	202.66	214.27	283.05	376.41	99.43	116.78	159.9	48.52	119.26	131.51	100.83	120.1	470.14	599.49	1369.04	521.76	497.0	679.29	450.94	323.03	351.14	293.07	309.83	204.07	289.02	275.28	312.0	211.31	215.77
USP36	791.35	232.94	376.41	500.46	486.75	878.17	1183.45	656.11	409.15	381.68	511.0	529.06	228.13	420.68	483.38	341.51	403.5	785.88	954.43	1605.83	902.89	775.05	1183.45	559.28	507.46	848.22	460.44	1030.12	708.18	457.25	616.37	1015.93	441.64	316.37
USP37	176.29	15.22	19.97	5.15	66.65	60.39	65.26	49.56	81.71	10.96	26.28	15.22	4.24	3.53	22.59	11.04	12.27	97.36	102.25	301.33	108.9	57.08	86.43	44.57	25.54	39.79	28.24	26.47	28.45	45.85	36.53	44.25	30.78	12.36
USP9X	896.64	285.03	307.69	435.55	486.75	995.0	1183.45	551.56	688.78	232.94	264.03	258.57	251.48	291.04	303.44	307.69	242.88	1561.89	819.3	1104.13	808.0	454.09	860.08	688.78	295.11	775.05	348.71	579.04	348.71	406.31	435.55	718.08	368.65	334.46
UTP14C	379.04	86.43	130.6	68.07	283.05	483.38	450.94	309.83	336.79	72.52	120.1	120.1	70.01	96.01	140.04	140.04	117.6	312.0	381.68	1183.45	303.44	172.65	246.28	215.77	209.84	237.86	88.88	249.73	169.07	121.79	191.67	249.73	172.65	116.78
VEZF1	1551.09	341.51	381.68	384.34	728.11	1498.22	1662.49	947.83	988.12	346.29	417.77	500.46	72.01	120.1	144.01	118.43	123.5	884.29	733.19	1044.52	954.43	587.13	1295.13	718.08	669.92	679.29	571.05	698.41	480.04	647.07	591.22	860.08	497.0	332.14
WBP11	1378.57	514.56	679.29	429.54	733.19	1529.73	1286.18	1143.1	1183.45	660.68	842.36	928.3	514.56	466.88	358.54	423.61	555.41	1167.14	1104.13	2148.82	1175.27	842.36	1685.71	1242.34	638.15	759.08	759.08	988.12	728.11	947.83	896.64	1030.12	669.92	518.15
WDR3	463.65	26.47	66.65	40.64	182.55	176.29	191.67	175.07	231.32	62.12	69.03	77.79	158.79	141.02	71.0	79.45	55.1	303.44	246.28	607.87	248.0	122.64	466.88	165.57	129.69	170.25	107.38	115.16	105.89	98.73	139.07	130.6	99.43	84.04
WDR35	297.17	45.85	64.8	22.59	100.13	201.25	312.0	171.45	161.02	68.55	72.01	92.05	13.93	12.93	17.38	17.13	29.7	108.14	193.01	316.37	180.02	122.64	159.9	80.57	40.36	90.77	110.43	104.42	110.43	95.34	44.89	79.45	98.04	44.25
WTAP	2224.63	387.02	775.05	353.59	1096.5	1250.98	1583.71	1191.69	1127.35	470.14	819.3	1268.46	323.03	563.18	356.05	423.61	358.54	1350.18	1651.0	1757.34	1628.26	1529.73	1883.54	1295.13	981.29	1498.22	1008.9	934.76	934.76	1427.22	909.17	1073.91	872.1	974.5
XPO4	236.21	48.18	54.33	44.89	145.02	291.04	281.09	156.59	151.22	38.4	51.71	66.18	37.32	27.64	35.0	29.27	34.26	206.94	336.79	595.34	241.19	129.69	248.0	163.28	66.18	130.6	65.72	143.01	84.63	69.52	94.67	132.44	85.22	88.26
XRN2	1685.71	555.41	426.57	1151.06	656.11	1127.35	1208.34	743.43	961.07	289.02	497.0	490.14	297.17	309.83	256.78	295.11	435.55	1286.18	1250.98	2777.33	947.83	679.29	2133.97	1073.91	591.22	688.78	559.28	878.17	540.19	753.83	830.75	791.35	543.96	647.07
ZBTB11	265.87	71.5	62.12	38.12	145.02	191.67	180.02	156.59	186.4	68.07	77.79	85.82	23.25	61.25	75.64	78.34	49.91	287.01	327.56	269.6	314.17	166.73	253.23	218.79	173.85	115.97	95.34	156.59	127.89	145.02	129.69	171.45	101.54	114.36
ZBTB24	169.07	28.65	102.97	28.45	139.07	111.99	92.05	95.34	99.43	30.78	47.17	52.82	17.77	63.0	25.17	21.47	24.46	150.17	236.21	264.03	201.25	78.34	181.28	138.1	82.87	116.78	59.55	78.34	62.12	69.03	48.87	90.14	59.97	49.56
ZBTB33	412.0	143.01	94.01	95.34	197.09	473.41	518.15	159.9	221.86	48.87	82.87	96.01	87.03	98.04	106.63	157.68	100.13	454.09	397.93	543.96	305.55	149.12	281.09	435.55	150.17	232.94	122.64	212.78	256.78	215.77	208.38	224.97	248.0	140.04
ZBTB41	281.09	62.12	54.33	53.95	183.82	101.54	98.04	150.17	144.01	36.79	65.26	67.59	9.56	20.56	42.11	24.11	38.12	135.24	127.0	244.57	135.24	53.57	143.01	102.25	57.49	115.16	69.03	100.83	56.28	64.34	85.22	103.69	65.26	73.03
ZBTB6	220.32	52.82	46.5	35.76	107.38	143.01	119.26	94.01	113.56	39.22	45.85	55.89	28.45	62.12	46.18	46.84	31.45	180.02	175.07	209.84	165.57	105.89	353.59	143.01	116.78	65.26	29.7	63.45	65.72	67.12	43.02	92.7	81.71	37.32
ZFR	1225.22	483.38	583.07	447.82	954.43	1119.56	1295.13	934.76	1051.79	417.77	470.14	366.09	148.09	348.71	343.89	297.17	295.11	1369.04	974.5	2119.22	890.44	620.67	1457.23	890.44	941.27	651.58	575.03	748.61	583.07	743.43	733.19	748.61	633.73	463.65
ZNF445	162.14	58.3	58.3	38.95	73.03	154.42	159.9	109.66	90.14	36.01	44.57	59.97	22.1	22.26	53.95	35.76	31.45	169.07	186.4	295.11	137.14	101.54	111.99	111.21	62.12	77.79	54.72	72.52	61.25	72.01	58.3	92.7	54.33	48.18
ZNF699	69.52	28.45	9.78	37.85	47.5	59.97	44.57	32.36	40.36	3.47	12.0	8.99	1.17	1.83	2.39	12.0	0.28	46.18	71.5	123.5	68.55	19.97	28.45	38.12	17.77	15.68	12.18	24.11	14.89	17.9	21.01	32.82	17.64	11.13
ZW10	323.03	143.01	131.51	121.79	198.47	239.52	226.54	186.4	221.86	88.26	106.63	130.6	114.36	114.36	115.16	130.6	95.34	325.29	224.97	368.65	193.01	205.5	454.09	212.78	217.27	183.82	181.28	148.09	111.21	157.68	260.38	98.73	124.37	159.9
ZXDB	206.94	120.94	73.54	116.78	139.07	113.56	107.38	113.56	120.94	32.82	49.91	49.56	98.73	59.55	68.55	73.54	90.14	201.25	157.68	249.73	180.02	96.68	246.28	176.29	68.07	123.5	73.54	148.09	59.97	46.84	71.5	118.43	59.13	74.06
