	TCGA.E5.A4TZ.01A.11R.A31N.07	TCGA.E7.A97Q.01A.11R.A38B.07	TCGA.DK.AA76.01A.11R.A39I.07	TCGA.GU.A42R.01A.11R.A23N.07	TCGA.FJ.A3ZF.01A.11R.A23N.07	TCGA.ZF.A9RL.01A.11R.A38B.07	TCGA.GV.A3QH.01A.11R.A220.07	TCGA.H4.A2HO.01A.11R.A180.07	TCGA.LT.A5Z6.01A.11R.A28M.07	GTEX.146FQ.1026.SM.5LU8I	GTEX.133LE.0626.SM.5IFFJ	TCGA.KN.8435.11A.01R.2315.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KL.8329.11A.01R.2315.07	TCGA.KL.8339.11A.01R.2315.07	GTEX.13NYB.1726.SM.5N9G2	GTEX.QDVN.1626.SM.48TZC	GTEX.P4QS.1126.SM.3NMD5	GTEX.1497J.0826.SM.5NQAJ	GTEX.Y5V6.2026.SM.5IFHO	GTEX.12WSG.0826.SM.5EQ5A	TCGA.T7.A92I.01A.11R.A37O.07	TCGA.B0.5402.01A.01R.1503.07	TCGA.BP.5190.01A.01R.1426.07	TCGA.CZ.5462.01A.01R.1503.07	TCGA.A3.3387.11A.01R.1541.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.CJ.5676.11A.01R.1541.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.CZ.5451.11A.01R.1503.07	TCGA.CW.5585.11A.01R.1541.07	TCGA.CZ.5988.11A.01R.1672.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.B0.5696.11A.01R.1541.07	TCGA.CW.5587.11A.01R.1541.07	TCGA.B0.5699.11A.01R.1541.07	TCGA.CJ.5677.11A.01R.1541.07	TCGA.B0.5709.11A.01R.1541.07	TCGA.A3.3358.11A.01R.1541.07	TCGA.CW.5581.11A.01R.1541.07	TCGA.CJ.6030.11A.01R.1672.07	TCGA.B0.5402.11A.01R.1503.07	TCGA.CZ.5466.11A.01R.1503.07	TCGA.B2.5636.11A.01R.1541.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.BQ.7046.11A.01R.1965.07	TCGA.BQ.5890.11A.01R.1592.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.GL.6846.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.DZ.6133.11A.01R.1965.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.BQ.5877.11A.01R.1592.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.BQ.7045.11A.01R.1965.07	TCGA.BQ.5884.11A.01R.1592.07	TCGA.BQ.5878.11A.01R.1592.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.1497J.0726.SM.5Q5D1	GTEX.REY6.1226.SM.48FDR	TCGA.60.2716.01A.01R.0851.07	TCGA.BJ.A191.01A.11R.A13Y.07	GTEX.ZYW4.1126.SM.5SI99	GTEX.S7SF.0226.SM.5SI7H	GTEX.12WSK.0926.SM.5CVNQ	GTEX.11P81.0126.SM.5HL5Y	GTEX.1497J.0126.SM.5Q5BK	GTEX.QEL4.0726.SM.3GIJ5	GTEX.SE5C.0726.SM.4BRWY	GTEX.ZXG5.0926.SM.5NQ8H	GTEX.1399U.0326.SM.5P9G5	GTEX.146FR.0326.SM.5SI8U	GTEX.VJYA.0426.SM.3GIJK	GTEX.ZGAY.1026.SM.4WWBR	GTEX.XMK1.0626.SM.4B65A	GTEX.U3ZM.0126.SM.3DB8M	GTEX.11LCK.0526.SM.5A5M9	GTEX.13OVI.0826.SM.5KLZ8	GTEX.12WSL.0626.SM.5GCOY	GTEX.1211K.0726.SM.5FQUW	GTEX.VUSG.0426.SM.3GIKD	GTEX.117YX.1226.SM.5H11S
GPX3	1769.57	135693.24	483.38	961.07	684.02	241.19	212.78	130165.62	1233.75	9540.5	6381.92	353168.2	783730.52	391864.76	394590.4	417089.23	327241.36	299043.36	378516.38	212926.09	355624.68	365622.68	286861.53	336441.4	492579.5	736332.6	434801.29	334117.42	434801.29	450134.56	303217.87	641014.63	327241.36	417089.23	316094.29	296977.71	517068.97	482442.34	311742.51	322736.12	296977.71	305326.92	299043.36	561916.97	318292.9	400098.69	383800.28	389157.95	472513.8	186652.11	299043.36	389157.95	453265.5	772940.66	358098.26	422911.59	378516.38	711250.37	668235.84	767601.56	524287.0	466008.55	577714.63	696613.03	17078.76	320506.81	180294.02	46986.85	249727.34	546551.29	499455.67	419990.32	405683.88	246289.25	275175.93	290865.98	338781.54	320506.81	269512.87	275175.93	313910.86	269512.87	288856.81	305326.92	428815.23	284880.02	513497.31	204252.32	301123.38
HIST1H2AM	85.22	38.67	7.17	78.34	91.41	61.68	43.32	14.14	130.6	41.22	32.13	1.39	0.0	0.0	2.92	0.0	0.0	6.78	10.08	0.0	0.0	15.56	30.12	25.17	7.4	2.39	0.0	26.47	0.0	0.0	0.0	1.64	0.0	0.0	3.26	2.78	0.0	0.0	0.0	1.87	0.0	0.0	1.81	9.78	2.32	1.48	0.0	0.0	1.95	0.0	28.65	1.41	5.92	1.48	0.0	3.44	5.87	3.29	0.0	0.0	3.26	0.0	7.11	1.58	0.0	8.85	3.44	31.22	24.63	0.0	52.08	12.36	48.18	18.97	80.57	34.02	25.35	32.82	6.67	39.5	9.27	35.5	12.55	71.0	19.25	52.82	12.83	56.68	0.0
HSPA14	587.13	417.77	387.02	567.1	366.09	543.96	567.1	336.79	988.12	733.19	941.27	348.71	432.53	339.14	438.59	366.09	169.07	199.85	283.05	182.55	460.44	387.02	392.44	397.93	620.67	336.79	323.03	470.14	358.54	348.71	403.5	363.56	358.54	323.03	318.57	346.29	368.65	341.51	327.56	299.25	327.56	366.09	412.0	397.93	293.07	325.29	339.14	363.56	336.79	159.9	123.5	325.29	332.14	314.17	246.28	297.17	244.57	275.28	271.48	329.84	334.46	314.17	255.0	307.69	71.0	120.94	109.66	511.0	341.51	447.82	371.22	400.71	470.14	368.65	334.46	420.68	368.65	518.15	389.72	476.71	454.09	441.64	366.09	406.31	423.61	412.0	543.96	438.59	490.14
INTS8	536.45	2240.11	665.29	941.27	974.5	890.44	1295.13	536.45	612.11	679.29	629.35	264.03	182.55	194.36	221.86	152.28	127.89	139.07	202.66	208.38	299.25	373.81	403.5	381.68	555.41	176.29	190.34	371.22	262.2	231.32	297.17	201.25	256.78	269.6	228.13	297.17	236.21	297.17	228.13	289.02	239.52	289.02	264.03	189.02	177.53	279.14	289.02	297.17	264.03	152.28	116.78	209.84	275.28	161.02	133.36	152.28	236.21	155.5	195.72	199.85	262.2	223.41	158.79	205.5	98.73	297.17	182.55	511.0	748.61	571.05	633.73	571.05	684.02	599.49	981.29	703.28	884.29	441.64	607.87	684.02	555.41	629.35	463.65	656.11	536.45	713.11	423.61	1088.92	525.39
KIF18A	108.9	29.27	62.56	33.3	128.79	36.79	78.34	20.41	115.16	126.12	165.57	8.13	5.68	6.89	6.84	3.76	2.63	7.28	4.21	3.59	15.8	4.74	18.97	16.03	19.53	3.63	6.62	51.71	5.45	8.71	10.24	9.85	8.38	7.0	9.85	5.63	6.26	10.71	5.32	8.65	8.06	6.52	5.87	6.31	5.45	6.36	7.46	8.85	10.24	2.46	0.39	4.62	9.27	5.23	4.31	5.77	7.51	7.34	4.35	4.17	4.74	7.06	3.59	6.36	1.43	0.79	1.25	46.5	44.57	13.62	19.25	19.53	36.27	24.28	88.26	29.7	24.11	25.35	28.65	56.28	28.45	37.05	21.78	19.82	14.67	30.56	23.59	46.5	31.9
MCM3	2193.99	595.34	1066.48	2032.85	2104.58	1870.53	1427.22	2417.67	3467.27	1769.57	2573.36	802.41	267.73	493.56	417.77	368.65	587.13	616.37	529.06	647.07	723.08	974.5	669.92	728.11	514.56	293.07	476.71	1151.06	536.45	620.67	607.87	507.46	521.76	518.15	555.41	587.13	314.17	525.39	612.11	583.07	571.05	536.45	529.06	417.77	547.75	551.56	684.02	587.13	629.35	521.76	525.39	457.25	607.87	423.61	684.02	571.05	591.22	397.93	406.31	454.09	480.04	591.22	490.14	486.75	248.0	460.44	142.01	1540.37	698.41	420.68	679.29	444.72	688.78	647.07	693.58	583.07	638.15	591.22	703.28	738.29	503.95	684.02	656.11	595.34	486.75	718.08	490.14	769.69	599.49
MIS18BP1	285.03	208.38	406.31	376.41	236.21	343.89	417.77	242.88	902.89	470.14	540.19	170.25	66.18	92.7	98.73	65.26	75.11	48.18	69.03	36.01	69.52	194.36	248.0	82.29	169.07	64.34	91.41	158.79	87.65	118.43	143.01	84.04	110.43	98.04	84.04	127.0	112.77	97.36	94.67	100.13	120.94	100.83	114.36	88.26	67.12	88.88	140.04	115.16	128.79	49.21	33.54	76.17	145.02	68.55	75.64	92.7	76.17	64.34	55.49	87.03	88.88	108.14	62.12	56.68	16.27	57.08	58.3	293.07	256.78	248.0	172.65	229.72	226.54	234.57	208.38	185.11	194.36	209.84	249.73	244.57	172.65	128.79	178.77	212.78	204.07	305.55	187.71	149.12	236.21
MPHOSPH10	1088.92	954.43	819.3	1059.11	1883.54	878.17	1030.12	656.11	830.75	961.07	896.64	346.29	253.23	346.29	314.17	242.88	221.86	211.31	285.03	303.44	316.37	368.65	441.64	511.0	444.72	285.03	387.02	381.68	299.25	307.69	429.54	255.0	343.89	316.37	323.03	414.87	291.04	389.72	332.14	293.07	323.03	356.05	379.04	275.28	314.17	329.84	327.56	379.04	397.93	115.16	19.11	323.03	312.0	279.14	279.14	279.14	303.44	226.54	269.6	305.55	339.14	291.04	283.05	267.73	40.36	246.28	204.07	575.03	669.92	555.41	571.05	587.13	633.73	381.68	651.58	476.71	616.37	656.11	551.56	713.11	540.19	642.59	507.46	503.95	525.39	629.35	595.34	563.18	708.18
MSH2	769.69	368.65	463.65	297.17	713.11	490.14	638.15	343.89	836.53	480.04	583.07	248.0	125.24	191.67	163.28	239.52	153.34	177.53	126.12	246.28	209.84	323.03	289.02	255.0	329.84	124.37	220.32	441.64	209.84	242.88	228.13	163.28	251.48	204.07	224.97	269.6	138.1	231.32	249.73	228.13	241.19	229.72	239.52	154.42	231.32	231.32	237.86	255.0	231.32	126.12	55.89	180.02	220.32	153.34	190.34	205.5	189.02	138.1	161.02	190.34	175.07	176.29	176.29	183.82	44.89	69.03	51.35	366.09	269.6	303.44	334.46	314.17	356.05	239.52	381.68	363.56	379.04	307.69	463.65	555.41	303.44	412.0	297.17	256.78	297.17	395.18	299.25	435.55	309.83
MTBP	127.89	148.09	114.36	87.65	85.82	88.26	154.42	36.53	60.82	94.67	138.1	28.65	9.93	18.03	11.47	21.16	13.72	13.52	15.68	17.77	15.0	24.46	30.78	25.35	31.9	15.34	20.41	51.71	19.39	17.0	20.26	15.68	25.72	23.59	16.51	22.92	24.63	22.92	14.45	16.51	23.08	22.26	24.99	18.56	17.51	15.34	15.45	25.54	24.81	9.78	1.83	14.89	23.08	15.0	16.51	18.84	22.1	9.93	8.25	13.72	21.47	20.11	6.41	12.36	3.86	4.24	4.17	53.95	33.06	42.11	24.81	23.08	36.53	29.06	42.41	21.78	27.25	22.1	16.39	29.48	31.9	22.26	19.25	26.28	28.04	29.7	30.56	23.42	17.25
NOL8	642.59	389.72	466.88	518.15	825.0	547.75	447.82	320.8	460.44	647.07	647.07	253.23	153.34	218.79	149.12	161.02	163.28	158.79	220.32	150.17	265.87	339.14	279.14	379.04	205.5	214.27	229.72	303.44	299.25	241.19	262.2	183.82	260.38	237.86	212.78	281.09	224.97	265.87	258.57	262.2	244.57	264.03	265.87	239.52	256.78	195.72	223.41	262.2	325.29	114.36	43.32	206.94	305.55	205.5	172.65	234.57	197.09	189.02	209.84	241.19	251.48	260.38	223.41	199.85	38.95	181.28	186.4	642.59	511.0	514.56	500.46	532.74	674.59	466.88	599.49	420.68	616.37	397.93	426.57	651.58	395.18	387.02	371.22	432.53	518.15	525.39	450.94	493.56	525.39
NUP107	563.18	860.08	934.76	1081.39	1037.29	718.08	866.07	599.49	684.02	529.06	713.11	279.14	169.07	269.6	201.25	183.82	187.71	186.4	226.54	198.47	339.14	293.07	356.05	361.04	301.33	180.02	209.84	373.81	221.86	229.72	297.17	214.27	237.86	231.32	242.88	332.14	182.55	305.55	232.94	265.87	289.02	251.48	256.78	205.5	218.79	273.37	232.94	271.48	293.07	195.72	108.9	185.11	265.87	186.4	164.42	183.82	202.66	158.79	197.09	211.31	221.86	234.57	181.28	194.36	94.67	111.21	83.45	358.54	348.71	463.65	285.03	381.68	400.71	325.29	332.14	366.09	264.03	353.59	363.56	403.5	438.59	366.09	327.56	323.03	651.58	351.14	363.56	409.15	320.8
PCGF3	651.58	896.64	1963.57	995.0	934.76	1322.37	1044.52	395.18	1216.75	785.88	854.13	279.14	172.65	236.21	218.79	138.1	206.94	145.02	155.5	137.14	323.03	285.03	435.55	346.29	358.54	231.32	215.77	265.87	339.14	198.47	297.17	195.72	239.52	226.54	189.02	237.86	211.31	221.86	224.97	215.77	246.28	287.01	269.6	239.52	217.27	193.01	241.19	208.38	234.57	291.04	189.02	218.79	283.05	211.31	176.29	229.72	264.03	220.32	176.29	251.48	332.14	275.28	241.19	190.34	167.9	176.29	205.5	842.36	909.17	764.36	559.28	624.99	599.49	336.79	521.76	651.58	651.58	743.43	409.15	323.03	603.67	490.14	376.41	490.14	483.38	543.96	435.55	518.15	529.06
PFKFB4	220.32	128.79	52.08	145.02	381.68	486.75	381.68	104.42	555.41	131.51	169.07	47.5	19.82	31.9	27.84	11.04	31.0	26.86	36.01	12.45	28.24	46.5	191.67	329.84	397.93	21.63	32.82	169.07	33.78	28.04	40.64	31.9	27.84	29.91	34.26	29.7	29.7	25.35	30.12	40.36	25.91	44.57	33.78	28.04	37.05	37.59	38.12	29.48	47.17	81.14	75.64	39.5	46.5	24.28	30.34	37.32	35.25	26.1	23.25	23.93	35.76	40.93	36.79	37.05	8.65	77.25	34.75	180.02	138.1	59.55	38.95	47.5	65.26	46.84	31.9	55.89	82.87	41.81	43.94	69.03	38.95	82.87	45.21	33.06	46.5	52.82	43.94	76.17	62.12
PLK4	234.57	249.73	205.5	158.79	363.56	177.53	470.14	102.25	220.32	190.34	343.89	28.45	8.92	36.79	12.55	16.51	8.45	21.47	24.46	10.63	22.59	37.05	41.22	23.08	34.26	9.7	8.92	108.14	22.43	16.15	13.42	21.94	12.09	17.38	14.03	16.15	13.42	19.68	15.34	26.1	28.04	23.93	16.88	16.27	23.42	21.01	23.42	16.75	21.32	16.03	11.82	11.73	29.06	10.96	6.73	13.93	17.9	15.45	9.56	13.03	14.24	31.0	9.63	15.22	5.36	8.19	4.82	124.37	35.5	45.53	31.22	42.11	38.67	31.45	45.21	22.75	25.72	28.86	25.17	37.59	48.52	35.76	15.0	20.56	33.06	34.26	24.81	59.97	43.32
PTPN2	759.08	450.94	796.86	738.29	934.76	836.53	848.22	555.41	1857.6	785.88	808.0	371.22	400.71	417.77	409.15	332.14	275.28	248.0	281.09	226.54	327.56	318.57	463.65	376.41	518.15	307.69	320.8	414.87	420.68	379.04	503.95	318.57	384.34	341.51	341.51	400.71	366.09	363.56	371.22	316.37	307.69	387.02	409.15	356.05	320.8	435.55	441.64	454.09	381.68	271.48	186.4	332.14	417.77	332.14	289.02	289.02	297.17	264.03	316.37	283.05	325.29	334.46	221.86	271.48	113.56	197.09	265.87	688.78	934.76	748.61	684.02	583.07	723.08	629.35	791.35	587.13	743.43	543.96	551.56	708.18	612.11	595.34	480.04	551.56	656.11	688.78	555.41	633.73	669.92
RBM6	1519.15	1030.12	2018.8	1844.76	2384.37	2701.35	2739.08	1088.92	2935.74	1397.83	1127.35	796.86	389.72	559.28	454.09	463.65	395.18	457.25	612.11	473.41	890.44	1088.92	529.06	397.93	426.57	460.44	470.14	713.11	1111.82	426.57	493.56	514.56	493.56	599.49	457.25	791.35	563.18	785.88	575.03	642.59	551.56	629.35	713.11	780.44	571.05	500.46	583.07	429.54	698.41	423.61	289.02	633.73	759.08	441.64	503.95	595.34	796.86	563.18	414.87	698.41	921.88	483.38	551.56	480.04	204.07	1143.1	450.94	1388.16	2664.15	2485.67	1909.85	2451.44	1794.29	1909.85	3325.99	1757.34	2758.13	1561.89	1781.89	1369.04	1477.58	1073.91	1322.37	1519.15	1844.76	1857.6	1151.06	2835.7	1662.49
RPP38	423.61	525.39	808.0	743.43	836.53	660.68	723.08	540.19	1250.98	571.05	497.0	339.14	368.65	381.68	381.68	229.72	305.55	325.29	426.57	293.07	346.29	518.15	356.05	412.0	480.04	356.05	368.65	371.22	293.07	301.33	435.55	373.81	327.56	356.05	332.14	348.71	339.14	341.51	343.89	351.14	295.11	346.29	381.68	329.84	316.37	305.55	332.14	432.53	400.71	198.47	176.29	414.87	336.79	295.11	297.17	332.14	323.03	256.78	329.84	363.56	334.46	336.79	314.17	314.17	177.53	336.79	195.72	529.06	532.74	555.41	511.0	414.87	521.76	450.94	486.75	486.75	529.06	529.06	532.74	587.13	536.45	532.74	480.04	409.15	507.46	529.06	444.72	490.14	665.29
SASS6	132.44	180.02	126.12	98.73	221.86	95.34	109.66	46.84	123.5	146.03	190.34	30.78	12.83	21.16	22.26	29.91	15.91	19.97	22.43	19.25	44.57	17.64	46.18	22.1	21.94	18.56	24.81	65.26	28.45	30.34	29.27	17.77	33.78	25.35	24.28	35.25	24.28	31.9	31.22	31.22	29.48	29.7	34.75	28.86	25.72	22.1	20.56	32.13	34.75	13.03	2.58	19.53	30.56	23.59	19.68	21.47	22.1	22.43	19.39	22.1	25.54	25.72	19.53	22.75	4.98	13.72	17.51	53.95	53.57	68.55	45.53	55.1	55.1	32.36	60.39	43.94	52.82	40.93	41.81	36.79	42.11	33.06	24.99	30.12	43.63	45.53	41.52	49.21	44.57
SEC61A2	78.89	194.36	157.68	363.56	144.01	201.25	137.14	50.27	332.14	102.25	98.73	87.03	61.68	62.56	54.72	50.27	52.45	69.52	90.77	60.39	180.02	143.01	87.65	60.82	108.9	49.56	45.85	68.07	96.68	33.54	71.0	61.68	40.64	68.55	45.21	70.01	69.03	65.26	65.72	60.82	57.49	76.17	70.01	84.04	49.56	48.18	49.21	61.25	69.52	37.59	67.59	59.97	89.51	56.28	47.5	45.53	42.11	54.33	29.27	69.03	75.64	48.87	39.22	45.53	95.34	82.29	73.54	133.36	134.3	150.17	146.03	111.99	149.12	145.02	206.94	135.24	114.36	130.6	120.94	198.47	118.43	156.59	127.89	163.28	134.3	199.85	149.12	183.82	126.12
SEPT8	842.36	1662.49	1304.15	1322.37	1104.13	981.29	1037.29	4512.4	4543.8	1037.29	915.51	748.61	246.28	532.74	447.82	429.54	460.44	595.34	620.67	540.19	866.07	693.58	693.58	1037.29	1259.69	376.41	457.25	660.68	642.59	612.11	633.73	483.38	547.75	536.45	521.76	536.45	346.29	497.0	587.13	587.13	579.04	599.49	536.45	529.06	579.04	493.56	728.11	595.34	603.67	301.33	493.56	473.41	669.92	417.77	486.75	567.1	559.28	441.64	438.59	454.09	595.34	651.58	532.74	486.75	134.3	460.44	67.12	511.0	665.29	921.88	656.11	988.12	830.75	836.53	1081.39	981.29	796.86	713.11	1135.2	629.35	603.67	941.27	915.51	1001.93	679.29	954.43	483.38	1208.34	571.05
SMC4	1769.57	1008.9	1242.34	607.87	1008.9	612.11	1651.0	320.8	1709.26	1583.71	2032.85	164.42	116.78	137.14	145.02	69.52	69.03	118.43	149.12	164.42	246.28	197.09	312.0	406.31	412.0	95.34	209.84	536.45	153.34	190.34	182.55	151.22	239.52	178.77	171.45	194.36	149.12	241.19	173.85	151.22	145.02	177.53	164.42	197.09	125.24	161.02	229.72	214.27	195.72	69.03	19.82	128.79	177.53	135.24	110.43	156.59	146.03	142.01	130.6	159.9	142.01	177.53	126.12	125.24	32.36	116.78	44.89	500.46	232.94	476.71	285.03	358.54	412.0	258.57	571.05	323.03	312.0	297.17	320.8	665.29	400.71	318.57	234.57	264.03	325.29	366.09	309.83	432.53	351.14
SMC5	603.67	232.94	190.34	171.45	262.2	305.55	214.27	301.33	397.93	547.75	624.99	180.02	87.65	163.28	115.97	116.78	109.66	123.5	185.11	99.43	249.73	166.73	173.85	133.36	78.89	143.01	199.85	220.32	208.38	170.25	209.84	177.53	236.21	172.65	157.68	231.32	153.34	237.86	186.4	186.4	191.67	214.27	170.25	131.51	178.77	164.42	177.53	202.66	232.94	60.82	13.32	145.02	204.07	123.5	123.5	149.12	150.17	116.78	136.19	169.07	175.07	175.07	136.19	135.24	32.36	109.66	172.65	202.66	285.03	536.45	395.18	426.57	403.5	291.04	332.14	373.81	320.8	423.61	353.59	316.37	384.34	307.69	387.02	379.04	432.53	414.87	384.34	435.55	293.07
SPICE1	182.55	289.02	185.11	180.02	199.85	167.9	267.73	162.14	312.0	181.28	169.07	133.36	86.43	93.35	94.01	111.99	102.97	66.18	98.73	97.36	143.01	100.83	181.28	105.15	102.97	89.51	82.29	146.03	120.1	87.03	111.99	92.7	112.77	113.56	91.41	133.36	82.29	127.0	130.6	111.99	132.44	143.01	105.89	100.83	115.16	127.89	114.36	104.42	109.66	69.52	36.01	100.83	97.36	94.67	80.57	75.11	91.41	85.22	62.12	88.26	89.51	87.03	78.34	54.72	40.36	75.11	84.04	167.9	241.19	218.79	166.73	209.84	236.21	185.11	371.22	144.01	183.82	134.3	244.57	170.25	137.14	133.36	127.0	167.9	165.57	236.21	148.09	293.07	139.07
SRSF10	2520.38	1923.14	1769.57	1909.85	1617.0	2104.58	1437.15	1191.69	2271.4	2193.99	2133.97	1111.82	995.0	896.64	1111.82	981.29	612.11	718.08	947.83	813.63	1277.29	947.83	1037.29	813.63	915.51	947.83	1051.79	1268.46	1216.75	1030.12	1277.29	866.07	1066.48	1008.9	902.89	1250.98	1023.0	1191.69	981.29	896.64	1015.93	1127.35	1135.2	988.12	941.27	941.27	1015.93	1001.93	1096.5	679.29	346.29	842.36	974.5	854.13	748.61	928.3	796.86	775.05	802.41	909.17	928.3	941.27	723.08	780.44	514.56	493.56	486.75	1662.49	2119.22	4298.64	2047.0	2645.74	2032.85	1733.13	2627.46	1936.53	1674.06	2537.92	1950.0	2075.59	2193.99	1883.54	1806.78	1883.54	3081.75	2240.11	2148.82	2468.49	2133.97
TARDBP	3280.18	2739.08	2537.92	2701.35	3235.01	2956.17	2351.53	2075.59	3235.01	2976.74	3018.3	1639.59	1023.0	1685.71	1313.23	1477.58	1268.46	1378.57	1806.78	1304.15	2537.92	1674.06	2255.7	1617.0	1674.06	1529.73	2032.85	2133.97	2178.83	1923.14	2104.58	1806.78	1883.54	1757.34	1685.71	2209.26	1437.15	2004.85	1950.0	1757.34	1769.57	2148.82	1769.57	1369.04	1628.26	2061.24	1923.14	1909.85	2075.59	1151.06	1191.69	1519.15	1540.37	1551.09	1457.23	1529.73	1508.65	1322.37	1617.0	1529.73	1561.89	1628.26	1594.73	1733.13	1277.29	1322.37	1143.1	2367.9	2777.33	3847.29	3081.75	3515.68	3060.45	2555.58	3614.55	2645.74	2777.33	2956.17	2796.65	2875.3	2682.69	2468.49	2255.7	2796.65	3018.3	2956.17	2855.44	3039.3	2701.35
TCERG1	902.89	1037.29	848.22	995.0	995.0	988.12	872.1	1096.5	1088.92	1572.76	1242.34	285.03	153.34	260.38	199.85	146.03	147.06	175.07	248.0	186.4	249.73	490.14	450.94	490.14	591.22	205.5	281.09	441.64	392.44	193.01	320.8	244.57	258.57	244.57	241.19	305.55	265.87	291.04	201.25	215.77	220.32	283.05	249.73	231.32	234.57	249.73	237.86	226.54	314.17	146.03	75.11	237.86	291.04	187.71	159.9	217.27	262.2	189.02	201.25	241.19	303.44	249.73	186.4	177.53	39.5	205.5	163.28	748.61	836.53	1111.82	503.95	819.3	656.11	511.0	954.43	551.56	684.02	836.53	521.76	647.07	599.49	563.18	563.18	633.73	796.86	684.02	669.92	674.59	684.02
TDG	559.28	595.34	848.22	921.88	665.29	718.08	728.11	514.56	571.05	603.67	579.04	220.32	154.42	197.09	194.36	135.24	201.25	165.57	265.87	193.01	239.52	163.28	309.83	199.85	346.29	218.79	175.07	265.87	241.19	158.79	267.73	166.73	211.31	249.73	187.71	229.72	190.34	193.01	165.57	182.55	190.34	214.27	229.72	262.2	211.31	189.02	223.41	236.21	208.38	180.02	100.83	177.53	214.27	134.3	115.16	164.42	154.42	114.36	150.17	178.77	197.09	212.78	129.69	128.79	87.65	153.34	127.89	346.29	389.72	341.51	368.65	332.14	454.09	318.57	429.54	309.83	289.02	329.84	351.14	412.0	275.28	314.17	273.37	341.51	285.03	420.68	325.29	503.95	325.29
THOC1	995.0	830.75	764.36	1015.93	2351.53	896.64	902.89	389.72	2664.15	890.44	651.58	277.2	209.84	258.57	269.6	164.42	159.9	131.51	223.41	147.06	438.59	351.14	336.79	363.56	267.73	190.34	177.53	371.22	412.0	228.13	251.48	194.36	246.28	199.85	193.01	301.33	232.94	271.48	186.4	228.13	197.09	307.69	312.0	265.87	201.25	202.66	232.94	249.73	339.14	87.03	45.85	231.32	224.97	197.09	162.14	223.41	221.86	154.42	166.73	260.38	348.71	178.77	161.02	170.25	84.63	201.25	265.87	575.03	902.89	1225.22	775.05	1066.48	961.07	567.1	1242.34	679.29	1096.5	591.22	651.58	693.58	571.05	612.11	571.05	638.15	764.36	791.35	551.56	890.44	780.44
TMEM165	1487.87	3124.78	2758.13	3540.14	1991.0	3146.52	4836.35	3349.13	5831.91	1923.14	1819.35	1191.69	1477.58	1119.56	1594.73	647.07	915.51	1030.12	1259.69	967.76	1427.22	1216.75	819.3	854.13	1225.22	1268.46	854.13	1059.11	1015.93	1104.13	1529.73	1008.9	825.0	934.76	1066.48	1015.93	1467.37	988.12	830.75	848.22	848.22	1044.52	1191.69	1359.57	860.08	954.43	1259.69	1340.84	1066.48	718.08	738.29	915.51	1001.93	1008.9	723.08	848.22	693.58	866.07	890.44	941.27	1051.79	947.83	759.08	896.64	112.77	551.56	293.07	1651.0	1008.9	1936.53	1340.84	1617.0	1167.14	1561.89	1104.13	1322.37	848.22	1369.04	1233.75	1487.87	1447.15	1096.5	1340.84	1529.73	1721.16	1639.59	1359.57	1561.89	1081.39
TMEM44	1001.93	397.93	759.08	967.76	896.64	454.09	575.03	303.44	514.56	204.07	206.94	130.6	59.13	78.34	100.83	86.43	43.02	49.21	101.54	46.18	69.03	120.94	825.0	426.57	287.01	69.03	63.45	144.01	111.99	124.37	92.05	80.57	72.52	97.36	136.19	87.65	62.56	70.51	72.01	75.64	98.73	93.35	113.56	90.77	65.72	93.35	176.29	89.51	119.26	128.79	158.79	74.06	120.94	68.07	94.01	83.45	86.43	62.56	60.82	74.06	129.69	117.6	90.77	70.51	64.8	162.14	38.67	796.86	454.09	265.87	239.52	173.85	164.42	215.77	307.69	206.94	291.04	155.5	163.28	124.37	209.84	101.54	209.84	262.2	242.88	262.2	185.11	155.5	181.28
TTC13	237.86	587.13	226.54	241.19	273.37	224.97	150.17	215.77	279.14	271.48	373.81	96.68	42.11	69.03	55.1	31.67	46.18	69.03	99.43	46.18	90.77	121.79	151.22	114.36	145.02	52.82	54.72	87.65	102.25	53.19	107.38	67.12	71.0	67.12	63.89	74.58	50.98	108.14	60.39	81.71	63.45	94.67	71.5	88.26	72.52	73.03	73.03	88.26	113.56	45.21	51.71	65.72	110.43	51.35	57.49	59.13	74.58	53.57	51.71	60.39	93.35	70.01	57.49	59.55	45.21	90.77	57.89	150.17	161.02	162.14	165.57	191.67	183.82	191.67	273.37	142.01	172.65	166.73	236.21	171.45	140.04	167.9	180.02	190.34	175.07	197.09	112.77	327.56	178.77
