	TCGA.AO.A0JC.01A.11R.A056.07	TCGA.BH.A0BS.01A.11R.A12P.07	TCGA.IG.A4QT.01A.21R.A260.31	GTEX.P4QS.1126.SM.3NMD5	TCGA.BP.4988.01A.01R.1334.07	GTEX.Y5LM.0426.SM.4VBRO	TCGA.86.A4P8.01A.11R.A24X.07	TCGA.99.AA5R.01A.11R.A39D.07	TCGA.38.4625.01A.01R.1206.07	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.YF7O.0626.SM.4W21R	GTEX.13U4I.1426.SM.5J2M3	GTEX.O5YW.0526.SM.2YUMX	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.WFJO.0326.SM.3GIL3	GTEX.117YX.1326.SM.5H125	GTEX.YEC3.0226.SM.5IFJO	GTEX.WFON.0426.SM.3GIL4	GTEX.X4EO.0926.SM.3P5Z2	GTEX.13N2G.0826.SM.5IJE6	GTEX.X4LF.0526.SM.3NMB6	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.XQ8I.1126.SM.4BOO2	GTEX.SUCS.0626.SM.32PM5	GTEX.PW2O.0526.SM.2I3DX	GTEX.OHPM.0526.SM.2YUMJ	TCGA.85.A4PA.01A.11R.A24Z.07	TCGA.98.A53C.01A.11R.A262.07	TCGA.VQ.A8PQ.01A.11R.A414.31	TCGA.IN.7808.01A.11R.2203.13
PRKD2	2032.85	723.08	4095.0	329.84	1551.09	249.73	1447.15	1781.89	0.0	961.07	620.67	698.41	954.43	791.35	728.11	802.41	743.43	775.05	802.41	1008.9	403.5	708.18	591.22	476.71	1388.16	1378.57	791.35	854.13	748.61	860.08	583.07	1088.92	854.13	3190.46	1605.83	1870.53	1950.0
RBM5	3190.46	866.07	3515.68	555.41	5791.62	287.01	4239.45	3257.52	0.0	954.43	647.07	579.04	2915.45	909.17	995.0	1322.37	1745.2	1794.29	1583.71	1143.1	1397.83	1242.34	1242.34	1529.73	3820.7	2004.85	1572.76	1605.83	813.63	1051.79	1457.23	2555.58	503.95	4671.57	3589.58	3564.78	2875.3
RBM6	2935.74	507.46	3928.15	457.25	4181.07	229.72	3039.3	2645.74	819.3	343.89	420.68	457.25	1529.73	579.04	723.08	1268.46	1167.14	693.58	1008.9	660.68	1191.69	1233.75	961.07	1191.69	2468.49	1709.26	988.12	1322.37	460.44	1331.57	1685.71	1477.58	575.03	5041.77	2997.45	2090.03	2193.99
RELT	356.05	21.78	967.76	18.84	447.82	23.59	450.94	358.54	0.0	161.02	86.43	106.63	244.57	83.45	204.07	72.01	149.12	121.79	88.26	137.14	84.04	74.58	96.68	65.26	361.04	148.09	155.5	120.1	117.6	320.8	142.01	209.84	122.64	1191.69	400.71	346.29	262.2
RLTPR	1208.34	5.87	785.88	8.85	1023.0	2.53	271.48	466.88	0.0	31.0	8.32	33.3	197.09	17.64	48.87	32.36	49.91	172.65	73.03	90.77	49.21	39.5	29.48	18.7	1508.65	42.41	94.01	131.51	35.76	21.94	108.14	66.65	15.8	3124.78	454.09	872.1	624.99
RNF166	1268.46	67.12	1896.65	133.36	1605.83	115.16	1769.57	995.0	0.0	334.46	279.14	336.79	733.19	262.2	511.0	432.53	518.15	603.67	703.28	791.35	339.14	497.0	371.22	258.57	3349.13	624.99	583.07	896.64	457.25	665.29	796.86	532.74	198.47	2777.33	1781.89	1135.2	1015.93
RP11-166B2.1	275.28	37.05	486.75	75.11	612.11	4.94	269.6	234.57	0.0	105.89	9.63	16.15	99.43	79.45	42.71	34.26	93.35	32.82	11.21	113.56	47.17	80.57	48.18	26.47	142.01	150.17	53.57	104.42	76.17	36.79	117.6	111.21	20.26	532.74	249.73	660.68	575.03
RP11-231C14.4	785.88	45.21	1605.83	22.75	1923.14	12.09	1304.15	961.07	0.0	246.28	47.5	87.03	432.53	253.23	116.78	120.1	309.83	193.01	48.18	493.56	190.34	120.94	176.29	136.19	1119.56	426.57	466.88	587.13	231.32	92.05	525.39	327.56	82.87	2555.58	1191.69	2384.37	2609.3
RP11-347C12.1	158.79	10.96	332.14	8.25	620.67	7.11	199.85	217.27	0.0	87.65	26.47	19.53	27.05	40.36	42.71	25.35	123.5	94.01	37.85	91.41	19.39	21.63	40.07	1.23	265.87	88.26	71.5	48.18	48.87	26.47	115.97	105.15	17.9	563.18	157.68	361.04	470.14
SBF1	1191.69	258.57	1769.57	353.59	1388.16	248.0	1127.35	842.36	521.76	363.56	363.56	258.57	620.67	387.02	363.56	476.71	417.77	500.46	511.0	647.07	293.07	297.17	412.0	275.28	1832.01	1015.93	525.39	647.07	320.8	571.05	591.22	551.56	426.57	2645.74	1135.2	1561.89	1844.76
SEC31B	420.68	8.06	698.41	12.83	599.49	8.78	417.77	312.0	0.0	23.42	58.3	28.86	309.83	35.5	68.55	102.25	82.29	127.89	102.25	48.52	66.18	53.19	90.77	59.13	543.96	131.51	155.5	139.07	72.52	125.24	358.54	145.02	10.39	769.69	368.65	329.84	320.8
SFTPC	56.28	0.0	61.25	5.41	0.0	8.25	447025.24	391864.76	64186.29	2.880867455E7	2.051249903E7	5.882801313E7	1.381756339E7	7.92550749E7	4.811555286E7	3.174442598E7	3.003205688E7	2.706640506E7	4.188702152E7	3.130739107E7	2.880867455E7	2.260282772E7	5.761735011E7	3.801327429E7	35856.82	4.878722096E7	2.706640506E7	2.525384881E7	5.228884881E7	1.0826562323E8	3.109113511E7	6.17527469E7	1.835920079E7	48307.85	169390.27	0.0	0.0
SIPA1	3901.01	775.05	3540.14	551.56	2271.4	543.96	2133.97	2895.31	0.0	713.11	854.13	848.22	1417.35	1023.0	708.18	1733.13	1268.46	764.36	2119.22	2520.38	860.08	981.29	620.67	769.69	2875.3	642.59	1119.56	1733.13	1023.0	872.1	1008.9	1583.71	1519.15	6561.36	2061.24	2468.49	2163.77
SLC35G5	4.74	0.0	12.27	0.01	18.84	0.0	11.82	11.21	0.0	0.57	1.69	0.52	2.41	0.58	2.92	2.01	0.92	2.23	0.69	1.41	0.35	0.34	1.95	0.0	6.36	3.63	1.07	1.45	1.55	1.39	1.75	3.26	0.33	8.85	4.35	14.56	15.45
SLC6A7	4.5	0.37	8.38	0.0	1.69	0.0	3.53	7.11	0.0	1.2	1.04	0.25	1.31	0.1	1.33	0.92	0.09	2.1	0.6	0.61	0.62	0.25	0.0	0.25	12.45	0.84	0.26	1.33	0.0	1.11	0.44	0.09	0.06	12.0	5.73	3.17	56.28
SPIN2A	24.99	3.32	31.9	0.38	28.45	0.68	21.94	17.25	0.0	1.57	2.43	3.59	12.74	2.27	2.25	3.99	8.78	12.74	10.63	3.0	1.81	4.1	5.15	8.25	17.77	20.56	8.78	5.02	3.23	8.78	7.28	16.88	1.31	33.78	25.54	34.75	27.44
STAT4	796.86	3.11	543.96	5.45	208.38	3.63	281.09	206.94	0.0	45.53	39.22	41.81	164.42	38.12	60.82	38.4	88.26	120.94	74.58	95.34	65.26	55.1	37.85	46.18	1015.93	88.26	86.43	87.65	52.82	79.45	73.03	76.17	50.98	490.14	297.17	473.41	384.34
STIM2	921.88	223.41	616.37	221.86	1104.13	149.12	547.75	583.07	341.51	409.15	450.94	353.59	551.56	371.22	511.0	470.14	785.88	547.75	679.29	500.46	802.41	629.35	466.88	334.46	708.18	514.56	500.46	521.76	371.22	514.56	466.88	555.41	251.48	1199.98	603.67	988.12	1030.12
TAS2R20	29.06	1.45	47.84	0.68	50.98	0.68	42.41	39.5	0.0	1.22	3.53	4.78	14.45	1.33	0.0	5.73	7.11	2.63	7.11	4.5	3.38	2.46	5.36	13.42	25.91	10.88	3.41	3.92	3.35	4.1	4.06	12.09	3.08	53.95	19.11	31.22	31.0
TAZ	1259.69	190.34	1950.0	199.85	1733.13	194.36	1216.75	1369.04	0.0	234.57	387.02	312.0	665.29	244.57	447.82	529.06	543.96	493.56	642.59	518.15	460.44	379.04	420.68	454.09	1313.23	607.87	642.59	718.08	400.71	587.13	780.44	642.59	181.28	1857.6	1081.39	1111.82	1331.57
TBX19	86.43	11.91	162.14	15.34	226.54	4.1	161.02	100.13	0.0	16.39	39.22	19.82	65.26	31.22	31.22	41.22	38.12	61.68	33.78	38.67	50.63	31.45	21.32	44.57	127.0	85.82	43.02	25.54	21.78	31.22	41.81	48.18	24.81	152.28	94.01	93.35	99.43
TMC6	3257.52	703.28	8421.31	120.94	2816.11	59.97	2573.36	2758.13	1051.79	1001.93	1159.07	872.1	3124.78	587.13	1111.82	647.07	2104.58	1277.29	2090.03	1806.78	1175.27	878.17	830.75	473.41	5479.15	2485.67	1733.13	1529.73	1277.29	1594.73	2047.0	2178.83	866.07	7695.57	2555.58	3212.66	2875.3
TMC8	2758.13	18.7	2224.63	19.82	2075.59	9.78	941.27	1023.0	0.0	90.77	124.37	161.02	791.35	92.7	220.32	156.59	314.17	543.96	217.27	409.15	314.17	231.32	253.23	111.99	5041.77	536.45	476.71	463.65	283.05	144.01	412.0	563.18	105.89	5329.3	995.0	3349.13	1832.01
TMEM86B	155.5	15.0	104.42	27.25	301.33	154.42	202.66	217.27	0.0	61.68	28.65	101.54	224.97	53.95	96.68	105.89	52.82	69.52	124.37	75.11	37.85	34.02	44.25	23.59	339.14	52.82	85.82	166.73	59.13	94.67	114.36	103.69	21.94	599.49	183.82	181.28	435.55
TNFRSF14	3665.02	780.44	4239.45	536.45	5255.91	384.34	5006.93	3639.7	0.0	674.59	1991.0	1340.84	4639.29	848.22	1477.58	2895.31	2148.82	2209.26	2485.67	1733.13	1519.15	1259.69	1769.57	1225.22	7081.29	2451.44	2915.45	1674.06	1350.18	2133.97	5006.93	2537.92	305.55	6164.49	3018.3	3639.7	3235.01
TNFRSF25	988.12	30.56	2555.58	63.89	909.17	21.16	921.88	748.61	90.77	39.79	29.06	85.22	395.18	50.63	92.05	154.42	137.14	133.36	132.44	99.43	49.56	78.34	78.34	34.75	1551.09	94.67	152.28	133.36	27.44	88.26	112.77	146.03	32.36	2224.63	759.08	703.28	1151.06
TTC24	149.12	0.0	87.65	0.0	346.29	0.0	24.28	56.68	0.0	0.87	0.0	0.57	22.75	1.07	5.63	4.86	2.63	5.11	7.75	10.24	1.19	2.89	1.79	0.0	30.56	3.38	1.93	5.87	3.11	0.23	3.2	8.45	0.0	249.73	30.34	99.43	150.17
TTLL3	802.41	109.66	1250.98	123.5	2777.33	26.86	1832.01	1313.23	0.0	281.09	249.73	105.89	1487.87	283.05	325.29	231.32	563.18	665.29	423.61	353.59	264.03	303.44	291.04	255.0	1832.01	514.56	511.0	476.71	237.86	397.93	674.59	813.63	94.67	1870.53	1081.39	1066.48	934.76
TUBGCP6	995.0	201.25	1216.75	169.07	1991.0	90.14	1359.57	1111.82	0.0	190.34	341.51	303.44	1331.57	318.57	473.41	423.61	612.11	738.29	423.61	583.07	392.44	267.73	607.87	320.8	1350.18	679.29	941.27	796.86	358.54	669.92	1191.69	748.61	142.01	1991.0	1104.13	1359.57	967.76
TVP23A	74.06	1.07	73.03	3.47	100.83	0.72	43.94	34.75	0.0	22.59	8.19	17.64	38.67	8.06	25.35	16.39	14.45	22.43	18.56	19.82	8.78	10.31	11.82	8.06	143.01	29.7	21.94	10.39	8.99	20.26	38.4	26.86	7.06	204.07	57.89	48.18	81.14
TYK2	4152.18	764.36	4972.34	866.07	7642.41	947.83	4575.41	4671.57	0.0	1135.2	802.41	1561.89	3589.58	665.29	1617.0	1143.1	1183.45	1572.76	2303.12	1572.76	1015.93	988.12	1135.2	669.92	4575.41	1331.57	2335.28	2193.99	1457.23	1745.2	2271.4	2303.12	493.56	8538.88	3665.02	4066.71	4268.94
UBA7	2935.74	511.0	2271.4	212.78	3982.99	368.65	3665.02	2915.45	0.0	665.29	1088.92	1066.48	4639.29	1044.52	830.75	713.11	1923.14	1388.16	2178.83	2004.85	1199.98	808.0	1340.84	872.1	7280.4	1529.73	2816.11	1216.75	896.64	1697.45	2075.59	2502.97	281.09	4095.0	2485.67	2855.44	2287.2
UBAP1L	58.3	3.23	74.58	8.38	144.01	4.5	99.43	87.65	0.0	14.89	16.88	26.1	47.84	24.11	60.82	43.63	47.17	31.0	39.5	38.67	24.11	27.84	31.45	11.13	56.68	30.78	90.77	54.72	16.15	60.82	59.13	43.02	16.15	118.43	82.29	112.77	74.06
VAMP1	854.13	46.5	2796.65	43.94	1127.35	72.52	303.44	486.75	0.0	39.22	85.82	98.73	251.48	41.22	129.69	108.9	126.12	226.54	105.89	86.43	74.06	72.01	73.54	81.14	323.03	264.03	211.31	231.32	82.29	237.86	108.9	154.42	44.25	1369.04	480.04	555.41	547.75
WASH4P	547.75	46.18	665.29	131.51	1508.65	59.55	1175.27	896.64	214.27	96.01	135.24	105.15	665.29	69.52	244.57	102.25	371.22	450.94	480.04	281.09	217.27	150.17	236.21	189.02	543.96	432.53	285.03	334.46	182.55	329.84	228.13	493.56	97.36	1529.73	836.53	656.11	872.1
WHAMM	258.57	84.63	241.19	117.6	256.78	127.0	214.27	189.02	63.0	92.05	129.69	143.01	158.79	135.24	148.09	158.79	144.01	147.06	126.12	124.37	138.1	189.02	130.6	127.89	244.57	281.09	163.28	134.3	132.44	154.42	172.65	133.36	129.69	285.03	187.71	320.8	277.2
ZAP70	2104.58	2.25	872.1	7.34	1936.53	4.54	941.27	836.53	0.0	47.5	34.26	50.98	463.65	47.17	61.68	85.82	182.55	186.4	133.36	194.36	61.25	77.25	40.36	46.84	3212.66	201.25	147.06	201.25	100.83	97.36	187.71	156.59	52.08	3419.52	961.07	1572.76	1167.14
ZCCHC11	1233.75	172.65	1304.15	397.93	1519.15	231.32	921.88	890.44	0.0	215.77	293.07	275.28	624.99	336.79	417.77	381.68	403.5	470.14	536.45	281.09	329.84	285.03	353.59	447.82	1104.13	769.69	521.76	351.14	226.54	563.18	368.65	679.29	228.13	1832.01	866.07	1331.57	1286.18
ZNF276	872.1	54.33	1844.76	108.9	1407.55	60.82	1051.79	848.22	0.0	180.02	146.03	149.12	567.1	215.77	248.0	157.68	303.44	343.89	281.09	351.14	217.27	275.28	293.07	128.79	1059.11	460.44	346.29	312.0	275.28	351.14	287.01	384.34	117.6	1674.06	921.88	1199.98	713.11
