	TCGA.CH.5739.01A.11R.1580.07	TCGA.EJ.7331.01A.11R.2118.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.XK.AAJ3.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.CH.5764.01A.21R.1580.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.VN.A88K.01A.11R.A352.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.7327.01A.11R.2118.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.CH.5750.01A.11R.1580.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.KK.A8IM.01A.11R.A36G.07	TCGA.HC.7212.01A.11R.2118.07	TCGA.G9.6384.01A.11R.1789.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.M7.A720.01A.12R.A32O.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.YL.A8SO.01B.31R.A37L.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.HC.7738.01A.11R.2118.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.EJ.7788.01A.11R.2118.07	TCGA.G9.A9S7.01A.11R.A41O.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7781.01A.11R.2118.07	TCGA.EJ.5495.01A.01R.1580.07	TCGA.EJ.A8FS.01A.11R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.J4.8198.01A.11R.2263.07	TCGA.2A.A8VV.01A.11R.A37L.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.KK.A7B3.01A.11R.A33R.07	TCGA.CH.5790.01A.11R.1580.07	TCGA.EJ.7115.01A.11R.2118.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7789.01A.11R.2118.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.KK.A59Y.01A.11R.A26U.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.EJ.5530.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.CH.5762.01A.11R.1580.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.G9.6377.01A.11R.1965.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07
GXYLT1	157.68	178.77	77.79	83.45	87.03	173.85	127.0	101.54	221.86	54.72	87.65	68.55	102.97	195.72	151.22	92.7	146.03	95.34	105.89	148.09	96.01	121.79	156.59	120.1	77.25	70.01	180.02	98.73	76.17	100.13	105.89	148.09	120.1	87.03	90.14	76.17	117.6	182.55	84.63	88.88	119.26	118.43	106.63	183.82	139.07	137.14	77.79	138.1	87.03	152.28	120.94	46.5	58.71	112.77	173.85	112.77	69.52	156.59	86.43	73.54	121.79	110.43	87.65	80.57	98.73	78.89	157.68	108.14	169.07	145.02	138.1	127.0	111.99	69.52	80.57	142.01	74.06	98.04	92.7	94.67	128.79	183.82	151.22	73.03	106.63	124.37	143.01	75.11	106.63	197.09	122.64	89.51	129.69	180.02	70.51	111.99	92.7	144.01	81.71	76.71	98.04	125.24	93.35	87.65	71.5	101.54	83.45	80.57	114.36	82.29	67.59	116.78	112.77	101.54	76.17
HELZ	197.09	220.32	59.13	81.14	111.99	237.86	256.78	84.04	277.2	65.26	99.43	119.26	138.1	277.2	258.57	111.99	260.38	92.7	133.36	178.77	111.99	145.02	232.94	185.11	87.03	118.43	253.23	101.54	77.25	110.43	82.29	172.65	127.0	115.16	120.94	110.43	132.44	226.54	91.41	88.88	189.02	134.3	102.25	197.09	91.41	191.67	85.82	170.25	89.51	166.73	125.24	53.57	50.27	277.2	260.38	103.69	63.0	209.84	103.69	60.82	123.5	88.26	74.58	85.82	108.9	90.14	212.78	144.01	183.82	163.28	173.85	148.09	103.69	87.03	87.03	234.57	157.68	97.36	101.54	108.14	88.88	231.32	205.5	84.04	111.21	138.1	218.79	71.0	111.21	191.67	98.04	107.38	180.02	231.32	78.34	99.43	102.25	169.07	108.14	74.06	103.69	117.6	82.87	141.02	92.7	128.79	85.22	112.77	183.82	137.14	111.21	167.9	234.57	112.77	89.51
HOOK1	429.54	351.14	100.13	120.1	150.17	575.03	420.68	198.47	395.18	87.65	96.01	141.02	120.94	438.59	395.18	163.28	368.65	120.1	273.37	334.46	183.82	201.25	395.18	299.25	198.47	111.21	366.09	199.85	138.1	170.25	144.01	325.29	255.0	176.29	99.43	251.48	239.52	239.52	199.85	159.9	353.59	239.52	166.73	275.28	185.11	269.6	199.85	299.25	138.1	476.71	182.55	127.0	99.43	591.22	483.38	224.97	108.9	305.55	128.79	229.72	217.27	148.09	145.02	144.01	180.02	100.83	429.54	164.42	389.72	303.44	264.03	307.69	346.29	105.89	116.78	379.04	224.97	120.94	153.34	167.9	358.54	409.15	269.6	119.26	295.11	212.78	291.04	164.42	226.54	423.61	209.84	141.02	329.84	361.04	111.99	204.07	214.27	371.22	134.3	111.21	136.19	205.5	172.65	169.07	159.9	241.19	205.5	232.94	178.77	117.6	84.63	204.07	239.52	167.9	108.14
IKZF5	389.72	312.0	147.06	149.12	202.66	417.77	441.64	214.27	361.04	135.24	190.34	231.32	244.57	343.89	332.14	187.71	327.56	218.79	241.19	348.71	287.01	255.0	299.25	325.29	153.34	215.77	397.93	253.23	163.28	237.86	199.85	303.44	181.28	206.94	182.55	246.28	262.2	361.04	164.42	208.38	346.29	234.57	214.27	283.05	221.86	325.29	186.4	325.29	208.38	256.78	301.33	93.35	105.15	406.31	297.17	255.0	151.22	285.03	218.79	150.17	253.23	189.02	229.72	166.73	176.29	171.45	314.17	234.57	312.0	285.03	251.48	229.72	186.4	152.28	151.22	379.04	283.05	173.85	262.2	226.54	267.73	339.14	348.71	137.14	201.25	212.78	309.83	183.82	193.01	325.29	201.25	191.67	301.33	387.02	129.69	175.07	191.67	346.29	197.09	163.28	191.67	183.82	206.94	204.07	181.28	236.21	164.42	199.85	281.09	307.69	218.79	244.57	279.14	231.32	187.71
IREB2	571.05	500.46	144.01	226.54	301.33	629.35	563.18	241.19	674.59	163.28	223.41	244.57	361.04	669.92	638.15	262.2	595.34	173.85	289.02	426.57	275.28	397.93	540.19	540.19	183.82	301.33	708.18	262.2	169.07	239.52	197.09	503.95	293.07	279.14	228.13	325.29	323.03	540.19	241.19	220.32	470.14	420.68	271.48	392.44	246.28	497.0	236.21	473.41	228.13	332.14	305.55	136.19	155.5	638.15	780.44	258.57	167.9	379.04	253.23	204.07	361.04	289.02	202.66	220.32	255.0	221.86	511.0	332.14	547.75	356.05	470.14	329.84	293.07	212.78	226.54	708.18	490.14	239.52	218.79	231.32	325.29	642.59	547.75	236.21	277.2	323.03	490.14	154.42	295.11	507.46	256.78	269.6	392.44	629.35	164.42	226.54	236.21	476.71	291.04	181.28	209.84	224.97	248.0	299.25	253.23	420.68	264.03	253.23	414.87	389.72	244.57	457.25	500.46	371.22	224.97
ITGAV	1088.92	1208.34	167.9	348.71	454.09	941.27	1143.1	316.37	1277.29	153.34	450.94	376.41	518.15	1457.23	1104.13	295.11	1059.11	503.95	1096.5	1277.29	684.02	525.39	941.27	723.08	507.46	373.81	1023.0	460.44	267.73	429.54	346.29	607.87	480.04	595.34	363.56	860.08	543.96	1617.0	387.02	591.22	748.61	583.07	503.95	988.12	507.46	909.17	312.0	1104.13	291.04	441.64	571.05	54.72	358.54	854.13	1268.46	540.19	305.55	583.07	514.56	412.0	743.43	507.46	329.84	361.04	423.61	379.04	1044.52	860.08	819.3	718.08	679.29	426.57	525.39	283.05	356.05	688.78	595.34	343.89	532.74	406.31	674.59	1250.98	813.63	281.09	417.77	551.56	988.12	187.71	500.46	1551.09	387.02	551.56	808.0	1233.75	269.6	532.74	406.31	902.89	339.14	332.14	339.14	309.83	368.65	536.45	305.55	532.74	423.61	351.14	616.37	665.29	389.72	642.59	802.41	518.15	373.81
KAT6B	273.37	273.37	53.57	96.01	190.34	323.03	289.02	143.01	343.89	61.68	134.3	149.12	127.0	283.05	246.28	172.65	307.69	159.9	181.28	218.79	197.09	204.07	218.79	329.84	138.1	170.25	318.57	150.17	76.71	164.42	143.01	237.86	181.28	146.03	185.11	198.47	239.52	242.88	116.78	173.85	255.0	208.38	157.68	237.86	141.02	241.19	122.64	301.33	130.6	258.57	182.55	63.89	64.34	392.44	291.04	125.24	86.43	162.14	144.01	113.56	187.71	167.9	167.9	118.43	151.22	111.99	258.57	218.79	256.78	223.41	273.37	198.47	190.34	108.14	141.02	264.03	258.57	173.85	135.24	172.65	137.14	316.37	241.19	96.68	218.79	231.32	316.37	90.77	166.73	289.02	120.1	162.14	249.73	269.6	100.13	128.79	106.63	214.27	165.57	111.21	128.79	120.1	113.56	170.25	139.07	209.84	137.14	158.79	285.03	185.11	180.02	249.73	320.8	185.11	125.24
KIAA0754	66.65	44.57	1.2	10.47	23.25	96.01	65.26	13.52	104.42	0.85	5.32	9.13	16.75	85.22	114.36	18.56	121.79	4.5	25.54	35.5	40.36	28.65	140.04	77.79	4.7	15.68	70.51	13.03	3.96	15.8	29.91	48.52	27.64	22.26	16.75	36.79	27.44	52.08	8.85	12.64	26.1	25.72	12.93	33.3	6.36	49.21	4.24	33.06	7.75	19.11	24.99	1.43	1.23	107.38	105.89	13.12	3.69	92.7	10.39	2.16	41.81	16.63	11.21	4.21	11.73	6.31	62.56	40.64	75.11	59.13	60.39	46.5	26.67	5.54	20.41	53.95	40.07	14.35	8.13	17.13	13.03	76.17	51.35	3.35	17.77	38.12	116.78	2.16	34.02	69.03	20.86	12.18	53.19	66.18	3.86	4.17	10.0	35.25	21.94	3.76	9.63	8.99	10.39	25.72	4.58	39.5	10.71	12.0	73.03	48.52	28.65	62.12	71.5	24.46	7.51
KIAA0947	228.13	226.54	85.82	127.0	175.07	291.04	265.87	149.12	269.6	107.38	127.0	153.34	185.11	246.28	277.2	154.42	249.73	116.78	171.45	242.88	189.02	236.21	262.2	224.97	114.36	183.82	277.2	150.17	125.24	149.12	147.06	234.57	156.59	141.02	145.02	163.28	176.29	264.03	111.21	124.37	234.57	186.4	139.07	198.47	132.44	234.57	124.37	194.36	125.24	156.59	190.34	98.04	88.26	285.03	387.02	162.14	96.01	232.94	132.44	102.25	180.02	154.42	126.12	113.56	147.06	123.5	236.21	193.01	231.32	187.71	208.38	145.02	161.02	149.12	156.59	271.48	190.34	129.69	125.24	159.9	137.14	271.48	251.48	134.3	150.17	165.57	241.19	96.68	161.02	246.28	202.66	158.79	218.79	256.78	102.25	131.51	145.02	214.27	164.42	112.77	117.6	141.02	145.02	161.02	118.43	157.68	124.37	128.79	237.86	191.67	155.5	218.79	256.78	185.11	102.25
KIAA1958	78.89	83.45	24.46	28.45	25.91	82.29	54.72	58.3	115.97	38.12	27.84	94.67	46.84	84.04	76.17	29.06	70.01	27.64	48.87	95.34	28.86	57.49	92.05	53.57	26.1	22.43	83.45	37.85	33.3	30.12	36.01	55.49	55.49	37.32	24.28	49.56	63.0	234.57	29.48	47.5	58.71	41.81	63.0	79.45	26.28	72.01	33.78	59.55	49.91	45.21	66.18	19.39	20.86	124.37	110.43	45.85	24.81	65.72	39.79	14.03	37.05	43.63	35.25	22.75	53.95	20.56	64.8	48.18	67.12	59.55	102.25	126.12	46.5	28.86	39.22	177.53	97.36	30.34	41.81	27.25	38.4	69.52	48.87	24.63	82.87	35.25	93.35	25.72	27.64	56.28	82.87	24.81	63.45	66.65	19.39	30.78	49.21	77.79	27.05	34.75	41.52	35.5	26.47	39.5	23.93	51.35	27.05	29.27	29.06	45.53	26.86	33.54	57.49	16.03	26.1
KIDINS220	555.41	599.49	231.32	307.69	426.57	571.05	674.59	329.84	698.41	201.25	341.51	289.02	366.09	612.11	708.18	353.59	684.02	320.8	454.09	603.67	420.68	466.88	624.99	563.18	371.22	397.93	684.02	414.87	255.0	339.14	323.03	511.0	493.56	403.5	395.18	420.68	470.14	684.02	283.05	327.56	551.56	432.53	387.02	624.99	316.37	642.59	332.14	536.45	341.51	638.15	514.56	129.69	191.67	703.28	684.02	412.0	231.32	698.41	351.14	218.79	476.71	356.05	371.22	273.37	384.34	323.03	620.67	466.88	555.41	426.57	460.44	559.28	395.18	255.0	358.54	656.11	603.67	320.8	358.54	356.05	343.89	718.08	607.87	228.13	400.71	397.93	575.03	231.32	353.59	555.41	384.34	366.09	532.74	603.67	244.57	351.14	297.17	559.28	371.22	291.04	348.71	435.55	341.51	457.25	353.59	397.93	267.73	303.44	575.03	414.87	395.18	563.18	624.99	454.09	299.25
KIF2A	275.28	361.04	63.0	117.6	145.02	273.37	299.25	107.38	392.44	49.91	82.29	131.51	185.11	336.79	273.37	163.28	327.56	73.03	182.55	269.6	195.72	198.47	361.04	193.01	86.43	177.53	356.05	92.05	91.41	108.14	99.43	255.0	165.57	191.67	102.25	84.04	187.71	325.29	77.25	127.0	283.05	146.03	112.77	271.48	106.63	283.05	81.71	249.73	123.5	125.24	231.32	62.56	68.07	327.56	441.64	124.37	57.08	253.23	104.42	50.98	193.01	156.59	105.15	78.89	104.42	104.42	248.0	214.27	264.03	199.85	198.47	161.02	151.22	63.45	131.51	297.17	143.01	111.99	115.97	88.26	138.1	389.72	256.78	98.73	123.5	175.07	273.37	60.39	138.1	303.44	132.44	112.77	256.78	297.17	74.06	55.1	100.13	234.57	162.14	62.12	101.54	80.57	127.89	120.1	57.08	199.85	108.14	86.43	239.52	241.19	115.16	229.72	351.14	165.57	119.26
KLHL11	64.8	77.79	5.28	19.68	19.82	74.58	49.91	21.78	76.17	8.92	14.24	17.64	19.11	72.01	81.14	23.25	87.03	12.09	36.01	68.55	45.21	43.02	91.41	44.25	9.56	28.24	71.0	22.59	5.92	16.15	20.41	68.55	27.25	16.88	14.89	25.72	37.59	92.05	13.93	11.3	26.1	28.24	21.94	43.32	11.82	58.71	11.04	46.84	11.55	16.75	27.05	2.27	2.46	80.57	100.83	21.78	7.46	40.93	13.62	4.31	29.91	27.44	19.53	4.31	12.64	10.47	53.57	40.36	77.25	53.95	65.72	78.89	19.68	7.63	22.1	98.73	59.13	14.14	9.41	21.94	17.51	74.06	51.71	5.28	27.84	22.1	61.25	2.51	23.76	67.59	21.94	18.56	48.87	76.71	8.45	7.57	12.36	60.39	26.1	8.85	12.27	9.63	11.73	37.59	11.47	29.91	10.0	7.57	49.56	49.91	17.38	53.95	55.1	24.11	12.74
KLHL24	674.59	521.76	94.67	170.25	293.07	567.1	563.18	163.28	656.11	37.05	246.28	444.72	285.03	607.87	563.18	215.77	591.22	186.4	309.83	500.46	412.0	279.14	575.03	441.64	145.02	249.73	500.46	172.65	191.67	202.66	175.07	379.04	193.01	320.8	273.37	400.71	444.72	878.17	232.94	214.27	454.09	387.02	244.57	460.44	234.57	444.72	232.94	387.02	170.25	356.05	299.25	72.01	98.04	616.37	679.29	228.13	201.25	438.59	384.34	157.68	341.51	271.48	158.79	186.4	223.41	273.37	638.15	307.69	579.04	400.71	356.05	444.72	460.44	138.1	204.07	460.44	466.88	175.07	198.47	221.86	423.61	525.39	444.72	131.51	265.87	299.25	438.59	126.12	214.27	595.34	262.2	191.67	395.18	483.38	167.9	164.42	226.54	323.03	201.25	152.28	191.67	260.38	193.01	303.44	140.04	307.69	206.94	205.5	417.77	379.04	218.79	371.22	466.88	211.31	182.55
KLK2	217400.14	246289.25	520665.48	236256.4	249727.34	163620.18	189257.69	391864.76	167058.21	228208.61	246289.25	280957.98	288856.81	174152.51	96616.71	329517.51	225066.78	284880.02	353168.2	184082.4	292889.12	258533.99	191899.64	163620.18	249727.34	244588.0	161367.56	320506.81	241220.67	324980.94	309589.14	236256.4	350728.68	378516.38	292889.12	353168.2	254974.66	229795.93	334117.42	341137.96	273275.14	311742.51	378516.38	318292.9	383800.28	153724.82	241220.67	303217.87	280957.98	386469.83	360589.03	341137.96	443937.41	182810.84	93325.55	292889.12	338781.54	168220.2	279017.26	269512.87	286861.53	311742.51	363097.14	324980.94	299043.36	225066.78	208544.12	294926.33	221968.2	329517.51	320506.81	303217.87	373305.21	221968.2	316094.29	320506.81	301123.38	419990.32	284880.02	345900.08	334117.42	177811.84	258533.99	311742.51	331809.5	324980.94	194578.47	279017.26	355624.68	221968.2	437825.58	260332.24	280957.98	119776.72	265802.39	256748.15	256748.15	253213.41	331809.5	244588.0	375901.76	389157.95	299043.36	365622.68	299043.36	239554.43	383800.28	402881.61	269512.87	284880.02	284880.02	267651.2	155870.75	370726.6	254974.66
KMT2E	620.67	808.0	139.07	444.72	476.71	842.36	842.36	334.46	775.05	212.78	392.44	397.93	460.44	490.14	902.89	454.09	703.28	426.57	426.57	660.68	532.74	571.05	785.88	836.53	371.22	389.72	785.88	540.19	305.55	414.87	599.49	620.67	454.09	429.54	511.0	423.61	486.75	769.69	275.28	361.04	679.29	536.45	392.44	733.19	297.17	669.92	417.77	591.22	466.88	764.36	599.49	178.77	158.79	921.88	928.3	423.61	281.09	884.29	373.81	209.84	447.82	429.54	329.84	251.48	470.14	318.57	693.58	567.1	543.96	457.25	543.96	780.44	432.53	287.01	351.14	890.44	387.02	373.81	379.04	348.71	267.73	836.53	629.35	283.05	500.46	400.71	629.35	226.54	384.34	669.92	420.68	450.94	669.92	785.88	327.56	376.41	435.55	583.07	466.88	303.44	373.81	457.25	334.46	540.19	381.68	395.18	277.2	299.25	802.41	603.67	587.13	679.29	718.08	507.46	376.41
LATS1	363.56	363.56	93.35	177.53	191.67	387.02	417.77	175.07	426.57	116.78	201.25	178.77	189.02	429.54	414.87	194.36	368.65	167.9	198.47	287.01	211.31	161.02	361.04	329.84	162.14	176.29	432.53	183.82	111.99	195.72	152.28	307.69	246.28	194.36	215.77	153.34	218.79	334.46	131.51	175.07	291.04	236.21	170.25	332.14	199.85	285.03	87.03	309.83	149.12	277.2	208.38	77.25	90.77	426.57	414.87	195.72	116.78	307.69	215.77	130.6	234.57	176.29	153.34	150.17	195.72	154.42	371.22	224.97	325.29	269.6	291.04	206.94	223.41	122.64	156.59	341.51	258.57	166.73	143.01	165.57	234.57	384.34	371.22	133.36	182.55	212.78	361.04	110.43	191.67	346.29	201.25	189.02	277.2	373.81	127.0	170.25	163.28	309.83	159.9	134.3	154.42	206.94	139.07	202.66	189.02	224.97	140.04	167.9	341.51	236.21	214.27	301.33	323.03	226.54	199.85
LIMD1	339.14	334.46	62.56	149.12	145.02	371.22	251.48	153.34	255.0	111.21	125.24	171.45	136.19	195.72	392.44	205.5	403.5	132.44	256.78	406.31	166.73	229.72	363.56	320.8	119.26	224.97	361.04	195.72	142.01	128.79	199.85	287.01	204.07	173.85	159.9	228.13	262.2	232.94	100.83	148.09	305.55	185.11	183.82	193.01	121.79	277.2	142.01	341.51	122.64	295.11	334.46	78.34	75.64	397.93	384.34	182.55	87.65	470.14	112.77	171.45	206.94	223.41	113.56	136.19	131.51	102.25	373.81	293.07	249.73	248.0	269.6	361.04	220.32	134.3	189.02	332.14	211.31	155.5	121.79	256.78	132.44	366.09	293.07	116.78	244.57	241.19	373.81	102.97	194.36	351.14	237.86	149.12	293.07	341.51	104.42	104.42	131.51	291.04	189.02	79.45	116.78	182.55	151.22	256.78	130.6	242.88	142.01	143.01	273.37	256.78	158.79	297.17	309.83	183.82	107.38
LIN54	113.56	121.79	43.32	65.72	75.64	130.6	143.01	66.18	153.34	50.63	70.51	48.87	47.17	115.97	148.09	76.17	101.54	77.25	67.59	113.56	77.79	78.34	107.38	103.69	70.01	64.8	127.0	76.71	58.71	65.26	65.26	88.26	70.01	64.8	65.72	66.65	80.01	111.99	51.71	50.63	112.77	67.59	66.18	264.03	58.71	98.04	65.26	112.77	72.01	106.63	92.05	60.39	37.32	146.03	122.64	100.13	47.84	94.01	67.12	60.82	82.87	77.25	84.63	52.45	74.06	46.84	93.35	102.97	90.77	80.01	116.78	120.1	83.45	60.82	47.84	162.14	90.14	53.19	62.12	78.89	72.01	131.51	106.63	48.87	85.22	73.54	95.34	43.02	63.0	106.63	76.71	73.03	99.43	115.16	43.94	75.11	51.71	108.14	57.49	51.71	59.13	70.51	61.25	62.56	61.25	63.0	54.72	59.13	97.36	100.83	69.03	104.42	106.63	64.8	73.54
LRRC8B	199.85	226.54	105.15	131.51	151.22	281.09	205.5	169.07	295.11	78.89	115.97	65.72	171.45	320.8	256.78	118.43	309.83	121.79	164.42	264.03	176.29	205.5	366.09	211.31	152.28	102.25	277.2	93.35	85.22	122.64	105.15	197.09	146.03	94.01	118.43	155.5	201.25	178.77	92.7	195.72	109.66	155.5	152.28	205.5	114.36	269.6	158.79	232.94	111.99	167.9	151.22	97.36	100.13	251.48	283.05	173.85	92.7	193.01	112.77	49.91	224.97	152.28	84.04	105.15	142.01	135.24	246.28	163.28	291.04	237.86	211.31	176.29	134.3	134.3	93.35	249.73	117.6	113.56	124.37	85.82	150.17	358.54	218.79	87.03	166.73	182.55	289.02	65.72	156.59	285.03	177.53	112.77	183.82	285.03	96.01	155.5	187.71	232.94	105.89	121.79	108.14	121.79	151.22	141.02	127.0	241.19	118.43	128.79	141.02	141.02	88.26	186.4	154.42	81.71	129.69
MAGI1	447.82	454.09	150.17	251.48	232.94	403.5	336.79	131.51	403.5	127.89	123.5	229.72	229.72	339.14	503.95	208.38	426.57	220.32	325.29	366.09	277.2	273.37	441.64	429.54	202.66	273.37	460.44	334.46	161.02	242.88	232.94	348.71	221.86	303.44	214.27	209.84	285.03	293.07	244.57	185.11	325.29	283.05	305.55	363.56	180.02	332.14	195.72	232.94	224.97	373.81	251.48	88.26	113.56	457.25	486.75	234.57	143.01	493.56	218.79	156.59	269.6	183.82	198.47	157.68	229.72	239.52	438.59	353.59	316.37	332.14	273.37	476.71	170.25	139.07	165.57	395.18	297.17	190.34	185.11	323.03	214.27	392.44	305.55	150.17	277.2	279.14	400.71	116.78	242.88	579.04	267.73	194.36	346.29	353.59	180.02	182.55	183.82	325.29	279.14	132.44	202.66	229.72	154.42	256.78	177.53	325.29	138.1	155.5	376.41	242.88	258.57	371.22	371.22	232.94	129.69
MAN1A2	341.51	525.39	151.22	197.09	269.6	289.02	463.65	229.72	486.75	198.47	223.41	195.72	212.78	447.82	395.18	212.78	473.41	197.09	307.69	307.69	262.2	258.57	426.57	301.33	181.28	232.94	441.64	239.52	145.02	246.28	189.02	339.14	221.86	291.04	224.97	309.83	314.17	262.2	153.34	221.86	327.56	244.57	221.86	371.22	220.32	325.29	204.07	339.14	175.07	183.82	253.23	119.26	158.79	454.09	490.14	211.31	169.07	289.02	193.01	176.29	273.37	285.03	180.02	153.34	212.78	167.9	395.18	327.56	348.71	373.81	368.65	334.46	189.02	175.07	206.94	414.87	239.52	202.66	201.25	194.36	244.57	409.15	447.82	159.9	202.66	236.21	363.56	183.82	221.86	521.76	212.78	204.07	423.61	441.64	187.71	191.67	201.25	414.87	241.19	186.4	182.55	185.11	220.32	170.25	170.25	229.72	206.94	166.73	403.5	323.03	206.94	384.34	470.14	260.38	218.79
MAP4K3	620.67	417.77	137.14	264.03	348.71	595.34	616.37	281.09	723.08	224.97	279.14	301.33	341.51	813.63	457.25	236.21	483.38	295.11	444.72	583.07	314.17	551.56	624.99	559.28	258.57	329.84	591.22	432.53	289.02	316.37	267.73	497.0	275.28	305.55	239.52	723.08	346.29	486.75	115.97	297.17	521.76	325.29	291.04	409.15	297.17	830.75	397.93	432.53	269.6	454.09	389.72	155.5	228.13	476.71	802.41	258.57	231.32	583.07	454.09	153.34	540.19	397.93	237.86	341.51	351.14	366.09	775.05	329.84	518.15	454.09	420.68	567.1	397.93	379.04	183.82	529.06	329.84	253.23	314.17	285.03	480.04	441.64	423.61	202.66	381.68	327.56	500.46	224.97	309.83	567.1	260.38	309.83	366.09	769.69	244.57	323.03	339.14	435.55	229.72	199.85	277.2	334.46	312.0	343.89	287.01	470.14	334.46	334.46	332.14	395.18	242.88	327.56	423.61	341.51	199.85
