	TCGA.GU.A767.01A.11R.A32O.07	TCGA.FD.A62N.01A.11R.A30C.07	TCGA.E9.A243.01A.21R.A169.07	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.BH.A1EW.11B.33R.A137.07	TCGA.G4.6307.01A.11R.1723.07	TCGA.CV.7238.11A.01R.2016.07	TCGA.CV.6955.11A.01R.2016.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.BC.A110.01A.11R.A131.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.BC.A10S.01A.22R.A131.07	TCGA.DD.A3A5.01A.11R.A22L.07	TCGA.ED.A7XO.01A.11R.A352.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.RC.A7SF.01A.11R.A352.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.55.7283.01A.11R.2039.07	TCGA.78.7536.01A.11R.2066.07	TCGA.05.4420.01A.01R.1206.07	TCGA.75.6206.01A.11R.1755.07	TCGA.55.7815.01A.11R.2170.07	TCGA.78.7161.01A.11R.2039.07	TCGA.55.7573.01A.11R.2039.07	TCGA.86.8674.01A.21R.2403.07	TCGA.78.7159.01A.11R.2039.07	TCGA.97.7938.01A.11R.2170.07	TCGA.55.8203.01A.11R.2241.07	TCGA.55.6642.01A.11R.1858.07	TCGA.55.6971.01A.11R.1949.07	TCGA.91.6849.01A.11R.1949.07	TCGA.55.6986.01A.11R.1949.07	TCGA.86.8359.01A.11R.2326.07	TCGA.86.8281.01A.11R.2287.07	TCGA.50.5932.01A.11R.1755.07	TCGA.55.8615.01A.11R.2403.07	TCGA.NJ.A4YF.01A.12R.A262.07	TCGA.86.8076.01A.31R.2241.07	TCGA.80.5608.01A.31R.1949.07	TCGA.05.4396.01A.21R.1858.07	TCGA.MP.A4TE.01A.22R.A466.07	TCGA.73.4675.01A.01R.1206.07	TCGA.99.8032.01A.11R.2241.07	TCGA.55.7724.01A.11R.2170.07	TCGA.64.5774.01A.01R.1628.07	TCGA.73.4659.01A.01R.1206.07	TCGA.05.4384.01A.01R.1755.07	TCGA.73.7498.01A.12R.2187.07	TCGA.91.8497.01A.11R.2403.07	TCGA.44.8119.01A.11R.2241.07	TCGA.44.7671.01A.11R.2066.07	TCGA.78.7537.01A.11R.2066.07	TCGA.99.7458.01A.11R.2039.07	TCGA.55.8508.01A.11R.2403.07	TCGA.05.4390.01A.02R.1755.07	TCGA.69.8253.01A.11R.2287.07	TCGA.55.7725.01A.11R.2170.07	TCGA.78.7167.01A.11R.2066.07	TCGA.J2.8194.01A.11R.2241.07	TCGA.NJ.A7XG.01A.12R.A39D.07	TCGA.86.7713.01A.11R.2066.07	TCGA.69.7764.01A.11R.2170.07	TCGA.55.6970.01A.11R.1949.07	GTEX.144GN.0426.SM.5O9AP	GTEX.WWYW.0926.SM.3NB2Z	GTEX.Q734.0626.SM.2I3EF	GTEX.145MF.0726.SM.5Q5BT	GTEX.13FH7.1726.SM.5IJE7
TANK	309.83	412.0	1427.22	277.2	2178.83	438.59	780.44	1001.93	141.02	665.29	703.28	341.51	406.31	529.06	536.45	529.06	287.01	307.69	665.29	170.25	928.3	1331.57	961.07	1331.57	1844.76	866.07	1081.39	934.76	842.36	1127.35	1233.75	665.29	1104.13	974.5	921.88	1388.16	1191.69	941.27	753.83	444.72	1096.5	647.07	1059.11	532.74	1059.11	866.07	1225.22	780.44	679.29	1225.22	1119.56	753.83	743.43	796.86	866.07	1073.91	497.0	616.37	1059.11	1250.98	1651.0	1437.15	703.28	703.28	954.43	1437.15	813.63	961.07	1104.13	1322.37	780.44
TAOK1	94.01	98.73	466.88	76.17	733.19	133.36	239.52	348.71	38.12	76.17	65.26	59.55	42.71	64.8	79.45	50.98	82.29	47.17	90.77	28.65	248.0	332.14	150.17	285.03	551.56	301.33	275.28	143.01	295.11	312.0	277.2	387.02	301.33	191.67	218.79	223.41	223.41	299.25	297.17	157.68	256.78	199.85	185.11	228.13	178.77	244.57	293.07	341.51	186.4	234.57	231.32	214.27	426.57	231.32	176.29	366.09	195.72	162.14	182.55	267.73	265.87	301.33	159.9	423.61	205.5	334.46	175.07	260.38	267.73	287.01	170.25
TATDN3	189.02	177.53	669.92	170.25	432.53	149.12	221.86	199.85	187.71	156.59	244.57	231.32	205.5	271.48	180.02	153.34	140.04	438.59	212.78	131.51	476.71	255.0	164.42	265.87	438.59	132.44	387.02	343.89	279.14	267.73	318.57	279.14	226.54	409.15	229.72	323.03	457.25	698.41	260.38	162.14	316.37	237.86	409.15	260.38	285.03	224.97	318.57	285.03	204.07	318.57	293.07	212.78	224.97	255.0	287.01	457.25	348.71	191.67	206.94	426.57	273.37	281.09	226.54	239.52	205.5	463.65	353.59	239.52	348.71	336.79	417.77
TCF12	236.21	165.57	759.08	176.29	1104.13	256.78	470.14	532.74	73.03	189.02	139.07	101.54	120.94	141.02	181.28	101.54	162.14	105.15	158.79	87.03	483.38	483.38	432.53	547.75	884.29	497.0	753.83	323.03	688.78	769.69	409.15	660.68	543.96	348.71	299.25	379.04	397.93	753.83	336.79	301.33	540.19	358.54	708.18	346.29	351.14	463.65	1051.79	518.15	420.68	483.38	583.07	620.67	629.35	493.56	438.59	551.56	325.29	269.6	314.17	493.56	397.93	647.07	287.01	603.67	688.78	571.05	466.88	460.44	830.75	579.04	320.8
TLK1	100.83	153.34	567.1	140.04	884.29	154.42	267.73	450.94	61.68	140.04	171.45	173.85	127.89	231.32	253.23	166.73	148.09	116.78	283.05	83.45	441.64	642.59	343.89	483.38	934.76	429.54	518.15	236.21	536.45	603.67	483.38	490.14	551.56	332.14	285.03	483.38	381.68	441.64	305.55	323.03	373.81	423.61	703.28	299.25	417.77	283.05	559.28	423.61	325.29	497.0	332.14	320.8	387.02	387.02	334.46	529.06	289.02	255.0	275.28	447.82	493.56	555.41	262.2	738.29	647.07	872.1	262.2	293.07	384.34	371.22	211.31
TMEM131	156.59	170.25	441.64	253.23	620.67	206.94	389.72	551.56	158.79	172.65	185.11	130.6	209.84	158.79	241.19	181.28	173.85	146.03	336.79	159.9	769.69	616.37	303.44	708.18	802.41	480.04	703.28	239.52	575.03	514.56	518.15	651.58	669.92	463.65	363.56	579.04	457.25	607.87	529.06	208.38	483.38	540.19	909.17	460.44	447.82	525.39	571.05	703.28	351.14	651.58	444.72	642.59	441.64	511.0	497.0	575.03	373.81	384.34	363.56	450.94	698.41	638.15	366.09	579.04	723.08	595.34	559.28	616.37	389.72	708.18	299.25
TMEM87B	116.78	185.11	429.54	152.28	684.02	146.03	273.37	389.72	92.05	117.6	65.72	69.52	76.17	80.01	72.52	38.12	88.26	68.07	72.52	55.1	503.95	400.71	397.93	454.09	981.29	341.51	483.38	220.32	624.99	460.44	466.88	473.41	423.61	450.94	356.05	450.94	473.41	679.29	232.94	131.51	309.83	275.28	698.41	189.02	426.57	297.17	713.11	441.64	429.54	540.19	325.29	314.17	287.01	384.34	438.59	420.68	232.94	295.11	371.22	521.76	532.74	441.64	281.09	318.57	441.64	796.86	289.02	273.37	295.11	392.44	297.17
TMPPE	2.63	10.63	30.56	8.99	19.97	9.13	17.13	32.59	17.64	6.67	3.44	2.53	5.32	3.82	6.01	6.31	6.57	2.29	4.06	3.56	13.12	23.08	11.38	27.84	33.3	16.39	20.86	14.35	23.76	29.91	19.11	17.51	40.07	18.16	13.83	11.55	26.67	40.64	23.42	13.52	14.67	19.97	40.93	23.08	10.31	18.16	34.51	14.89	15.22	23.42	18.56	13.83	18.16	18.03	10.39	45.85	16.63	16.03	9.7	29.7	36.01	24.28	10.0	25.91	30.12	24.28	48.87	13.52	53.19	21.16	31.9
TNKS2	136.19	127.89	567.1	153.34	1322.37	100.83	511.0	660.68	129.69	180.02	154.42	99.43	102.25	116.78	141.02	71.5	111.21	59.97	132.44	111.99	414.87	536.45	301.33	521.76	633.73	503.95	567.1	214.27	511.0	476.71	460.44	647.07	379.04	341.51	389.72	291.04	323.03	438.59	361.04	190.34	591.22	314.17	571.05	239.52	293.07	381.68	624.99	297.17	371.22	435.55	356.05	397.93	518.15	441.64	351.14	511.0	242.88	265.87	267.73	612.11	447.82	607.87	309.83	688.78	450.94	665.29	406.31	432.53	366.09	764.36	329.84
TNPO3	392.44	281.09	591.22	231.32	536.45	351.14	493.56	647.07	295.11	175.07	152.28	186.4	231.32	154.42	183.82	198.47	237.86	215.77	149.12	166.73	547.75	713.11	371.22	412.0	426.57	269.6	463.65	237.86	339.14	336.79	426.57	476.71	409.15	297.17	371.22	358.54	312.0	480.04	275.28	303.44	423.61	293.07	463.65	275.28	356.05	239.52	780.44	426.57	463.65	392.44	325.29	341.51	307.69	435.55	242.88	486.75	334.46	307.69	291.04	429.54	289.02	420.68	262.2	511.0	400.71	660.68	708.18	291.04	612.11	305.55	532.74
TOR1AIP1	285.03	395.18	1427.22	287.01	1498.22	100.83	1143.1	775.05	275.28	301.33	318.57	264.03	145.02	307.69	351.14	234.57	312.0	198.47	283.05	249.73	967.76	660.68	403.5	890.44	1340.84	406.31	1191.69	297.17	698.41	1023.0	679.29	780.44	769.69	591.22	616.37	559.28	1030.12	1225.22	607.87	237.86	764.36	497.0	713.11	376.41	599.49	473.41	1008.9	518.15	551.56	723.08	656.11	708.18	518.15	620.67	693.58	1127.35	486.75	392.44	587.13	1111.82	796.86	718.08	444.72	796.86	884.29	1159.07	854.13	476.71	1183.45	493.56	733.19
TP53BP2	204.07	177.53	688.78	167.9	583.07	187.71	371.22	376.41	221.86	397.93	181.28	361.04	285.03	253.23	291.04	275.28	518.15	314.17	281.09	220.32	480.04	642.59	249.73	620.67	587.13	133.36	624.99	473.41	511.0	507.46	483.38	414.87	500.46	470.14	281.09	518.15	638.15	967.76	551.56	336.79	503.95	435.55	514.56	486.75	299.25	447.82	543.96	543.96	392.44	426.57	497.0	320.8	497.0	447.82	426.57	651.58	571.05	277.2	346.29	536.45	532.74	612.11	397.93	525.39	651.58	567.1	444.72	483.38	423.61	638.15	563.18
TRAF3IP1	100.13	94.67	185.11	228.13	260.38	107.38	217.27	361.04	87.65	108.9	94.67	94.67	126.12	64.34	111.21	83.45	109.66	194.36	143.01	57.89	277.2	447.82	204.07	232.94	197.09	293.07	353.59	244.57	206.94	248.0	175.07	123.5	371.22	211.31	204.07	291.04	291.04	368.65	211.31	186.4	343.89	287.01	316.37	234.57	199.85	187.71	159.9	251.48	144.01	265.87	204.07	202.66	129.69	323.03	215.77	211.31	195.72	112.77	215.77	194.36	366.09	293.07	182.55	275.28	293.07	346.29	708.18	629.35	293.07	769.69	444.72
TRIP12	356.05	647.07	1883.54	511.0	2417.67	441.64	1508.65	1487.87	473.41	529.06	476.71	323.03	503.95	318.57	414.87	409.15	341.51	332.14	305.55	316.37	1322.37	1733.13	947.83	1832.01	2367.9	872.1	1857.6	660.68	1447.15	1733.13	1030.12	1437.15	1617.0	1008.9	1088.92	1369.04	1457.23	1508.65	1088.92	1242.34	1467.37	1378.57	1697.45	748.61	1081.39	915.51	1757.34	1199.98	1119.56	1487.87	1088.92	1008.9	1088.92	1477.58	802.41	1733.13	941.27	791.35	1023.0	1322.37	1457.23	1617.0	934.76	1745.2	1651.0	2255.7	1037.29	1651.0	1242.34	2627.46	1331.57
TROVE2	63.89	145.02	476.71	56.28	728.11	78.34	277.2	275.28	29.7	101.54	52.08	84.04	56.68	88.88	77.79	59.13	120.94	107.38	77.25	44.25	348.71	293.07	170.25	368.65	591.22	239.52	406.31	181.28	547.75	395.18	339.14	403.5	403.5	260.38	242.88	271.48	363.56	371.22	244.57	218.79	379.04	264.03	297.17	255.0	161.02	297.17	525.39	642.59	403.5	312.0	253.23	232.94	403.5	287.01	177.53	500.46	255.0	260.38	318.57	325.29	348.71	406.31	167.9	466.88	366.09	579.04	204.07	162.14	289.02	246.28	204.07
TRUB1	75.11	61.68	432.53	77.25	559.28	77.25	201.25	314.17	151.22	103.69	114.36	84.63	94.01	89.51	99.43	57.89	91.41	76.71	107.38	89.51	299.25	307.69	379.04	283.05	291.04	239.52	231.32	138.1	361.04	249.73	234.57	287.01	204.07	181.28	256.78	141.02	215.77	356.05	148.09	323.03	289.02	145.02	251.48	145.02	185.11	209.84	343.89	212.78	228.13	244.57	172.65	183.82	244.57	218.79	144.01	262.2	121.79	211.31	170.25	281.09	217.27	299.25	134.3	373.81	236.21	476.71	264.03	136.19	182.55	130.6	191.67
TSN	684.02	420.68	1111.82	540.19	1397.83	620.67	808.0	988.12	490.14	490.14	426.57	400.71	543.96	403.5	599.49	450.94	381.68	497.0	356.05	403.5	981.29	1175.27	1104.13	890.44	1151.06	723.08	1008.9	454.09	1250.98	981.29	759.08	860.08	967.76	651.58	748.61	785.88	802.41	974.5	473.41	909.17	665.29	780.44	909.17	647.07	612.11	808.0	1268.46	974.5	738.29	909.17	785.88	647.07	995.0	753.83	748.61	1167.14	493.56	915.51	651.58	915.51	928.3	1030.12	529.06	967.76	796.86	1081.39	995.0	400.71	830.75	521.76	1151.06
TSNAX	297.17	320.8	1477.58	248.0	1605.83	202.66	543.96	848.22	129.69	316.37	264.03	264.03	271.48	412.0	353.59	283.05	325.29	429.54	361.04	142.01	961.07	1059.11	665.29	974.5	1870.53	612.11	830.75	785.88	947.83	854.13	872.1	642.59	698.41	909.17	473.41	679.29	1757.34	1781.89	616.37	624.99	921.88	583.07	1119.56	713.11	483.38	769.69	830.75	796.86	1044.52	884.29	830.75	529.06	764.36	988.12	738.29	1037.29	713.11	551.56	796.86	860.08	1044.52	1378.57	476.71	1199.98	775.05	1697.45	842.36	511.0	603.67	669.92	878.17
TTC21B	106.63	49.56	123.5	71.5	323.03	94.67	86.43	98.73	30.12	47.5	59.13	68.55	47.17	38.67	71.5	75.11	56.28	33.78	120.1	45.53	142.01	229.72	96.68	170.25	165.57	115.97	218.79	80.57	108.14	221.86	205.5	103.69	124.37	123.5	106.63	93.35	125.24	144.01	108.14	35.0	190.34	86.43	172.65	70.51	115.16	117.6	202.66	126.12	101.54	149.12	133.36	193.01	146.03	94.67	108.14	173.85	71.0	60.82	75.11	262.2	199.85	158.79	87.65	289.02	172.65	217.27	226.54	507.46	221.86	417.77	158.79
UBE3A	165.57	209.84	796.86	228.13	1313.23	215.77	785.88	629.35	76.71	341.51	314.17	255.0	249.73	251.48	329.84	318.57	277.2	149.12	325.29	134.3	521.76	802.41	389.72	603.67	674.59	521.76	733.19	403.5	571.05	703.28	373.81	660.68	587.13	497.0	620.67	444.72	579.04	769.69	307.69	389.72	599.49	336.79	703.28	239.52	332.14	532.74	728.11	503.95	507.46	638.15	493.56	423.61	624.99	583.07	525.39	612.11	285.03	395.18	507.46	733.19	511.0	759.08	343.89	753.83	466.88	647.07	511.0	409.15	624.99	633.73	476.71
UBR2	142.01	154.42	389.72	90.77	490.14	146.03	255.0	356.05	68.55	125.24	149.12	99.43	115.97	98.04	125.24	161.02	176.29	104.42	125.24	121.79	361.04	285.03	297.17	339.14	283.05	291.04	327.56	199.85	248.0	348.71	277.2	368.65	218.79	206.94	201.25	206.94	301.33	381.68	199.85	194.36	281.09	193.01	232.94	154.42	135.24	175.07	291.04	195.72	163.28	285.03	316.37	275.28	194.36	239.52	171.45	341.51	171.45	194.36	131.51	392.44	262.2	376.41	201.25	473.41	295.11	420.68	197.09	279.14	332.14	312.0	147.06
UBR3	134.3	100.13	381.68	107.38	660.68	194.36	748.61	376.41	85.82	220.32	217.27	189.02	289.02	221.86	140.04	181.28	137.14	185.11	303.44	175.07	395.18	356.05	142.01	316.37	381.68	358.54	387.02	242.88	435.55	463.65	470.14	341.51	303.44	414.87	275.28	309.83	301.33	387.02	201.25	234.57	277.2	223.41	420.68	229.72	318.57	348.71	551.56	356.05	231.32	339.14	334.46	325.29	320.8	241.19	289.02	406.31	251.48	175.07	211.31	470.14	583.07	480.04	258.57	371.22	348.71	353.59	220.32	366.09	277.2	525.39	287.01
UBXN4	603.67	532.74	1923.14	460.44	2255.7	954.43	1111.82	1427.22	180.02	808.0	947.83	559.28	1059.11	967.76	555.41	748.61	536.45	493.56	1066.48	334.46	1519.15	1242.34	1427.22	1628.26	3257.52	1733.13	2209.26	1167.14	2047.0	1950.0	2609.3	1674.06	1936.53	1242.34	1277.29	1923.14	1388.16	1721.16	1498.22	1127.35	1519.15	1313.23	2148.82	1250.98	1286.18	1757.34	1806.78	1674.06	1304.15	1487.87	1331.57	1350.18	2047.0	1250.98	1388.16	1519.15	1037.29	1268.46	1096.5	2104.58	2047.0	2193.99	1208.34	1757.34	1651.0	2573.36	1216.75	1001.93	1066.48	2163.77	961.07
UEVLD	70.51	115.16	435.55	126.12	656.11	155.5	224.97	389.72	38.4	83.45	113.56	70.51	100.13	119.26	73.54	78.89	110.43	94.01	110.43	52.45	242.88	341.51	208.38	287.01	450.94	176.29	255.0	158.79	258.57	297.17	343.89	256.78	358.54	224.97	215.77	281.09	325.29	389.72	197.09	178.77	251.48	265.87	450.94	199.85	215.77	239.52	305.55	194.36	256.78	329.84	249.73	181.28	325.29	223.41	198.47	283.05	215.77	194.36	185.11	273.37	307.69	346.29	202.66	325.29	341.51	371.22	392.44	159.9	218.79	470.14	392.44
UHMK1	223.41	356.05	941.27	105.15	1277.29	133.36	297.17	547.75	136.19	218.79	583.07	221.86	172.65	341.51	301.33	234.57	309.83	241.19	285.03	228.13	825.0	775.05	490.14	954.43	1081.39	591.22	808.0	511.0	890.44	848.22	819.3	718.08	567.1	567.1	392.44	660.68	1008.9	854.13	583.07	403.5	753.83	476.71	813.63	438.59	547.75	447.82	764.36	616.37	603.67	1023.0	638.15	521.76	476.71	629.35	651.58	1044.52	693.58	305.55	595.34	1023.0	934.76	848.22	376.41	836.53	878.17	1508.65	486.75	669.92	497.0	579.04	381.68
UHRF1BP1	35.25	47.17	161.02	34.75	224.97	49.56	97.36	139.07	64.8	35.5	43.63	20.26	54.33	35.5	38.67	17.38	40.64	74.58	43.94	18.43	199.85	143.01	162.14	198.47	241.19	112.77	144.01	100.13	173.85	165.57	161.02	271.48	167.9	96.68	190.34	122.64	221.86	172.65	137.14	133.36	106.63	135.24	178.77	106.63	61.68	93.35	166.73	180.02	117.6	154.42	125.24	105.89	120.94	260.38	72.01	153.34	124.37	132.44	80.57	137.14	146.03	334.46	97.36	361.04	201.25	320.8	107.38	102.97	119.26	143.01	74.06
USP37	7.57	13.03	143.01	22.75	246.28	31.45	66.18	108.14	4.78	30.34	11.04	14.24	11.21	9.7	12.27	19.68	16.75	7.75	16.03	4.24	64.8	178.77	43.94	82.87	93.35	64.8	102.97	16.39	79.45	108.14	55.1	89.51	95.34	53.19	55.89	51.35	52.08	57.89	38.4	41.81	64.34	57.49	69.52	36.53	29.48	54.33	68.07	78.34	64.34	56.68	46.5	70.01	91.41	61.68	33.06	112.77	52.45	78.89	42.11	93.35	62.12	80.57	21.32	147.06	93.35	161.02	73.54	31.0	63.45	52.82	42.41
VPS26A	563.18	743.43	1561.89	457.25	1447.15	376.41	1044.52	1268.46	293.07	470.14	325.29	291.04	432.53	373.81	493.56	363.56	305.55	507.46	303.44	220.32	1030.12	1151.06	909.17	988.12	1583.71	941.27	825.0	684.02	896.64	1870.53	860.08	1073.91	698.41	854.13	860.08	483.38	928.3	1001.93	638.15	563.18	1030.12	708.18	1088.92	490.14	830.75	796.86	1561.89	583.07	934.76	1001.93	679.29	669.92	813.63	1001.93	656.11	1175.27	454.09	759.08	748.61	1104.13	775.05	1259.69	583.07	928.3	808.0	1551.09	836.53	764.36	647.07	1242.34	1059.11
WAC	563.18	708.18	2240.11	713.11	2520.38	409.15	1359.57	1447.15	420.68	595.34	476.71	323.03	366.09	441.64	529.06	395.18	638.15	463.65	483.38	343.89	2004.85	1896.65	1709.26	1844.76	2193.99	1745.2	1685.71	808.0	1819.35	1651.0	1457.23	2835.7	1870.53	1191.69	1119.56	1369.04	1583.71	1963.57	1709.26	1605.83	1594.73	1745.2	1674.06	1304.15	915.51	1304.15	2018.8	2224.63	1191.69	1529.73	1295.13	1447.15	1674.06	1457.23	1104.13	1745.2	1216.75	1427.22	1127.35	1781.89	1674.06	1977.24	947.83	1857.6	1674.06	2255.7	1066.48	1498.22	1427.22	1594.73	974.5
WDFY1	93.35	334.46	928.3	163.28	642.59	204.07	325.29	583.07	145.02	190.34	152.28	148.09	170.25	151.22	182.55	169.07	116.78	79.45	157.68	137.14	414.87	599.49	387.02	397.93	860.08	334.46	514.56	175.07	503.95	450.94	441.64	607.87	825.0	476.71	303.44	497.0	332.14	426.57	373.81	221.86	497.0	493.56	674.59	239.52	181.28	392.44	713.11	438.59	327.56	423.61	432.53	457.25	518.15	346.29	305.55	518.15	387.02	361.04	277.2	486.75	551.56	500.46	309.83	450.94	642.59	599.49	432.53	575.03	579.04	1008.9	368.65
ZBED6	1.69	0.72	189.02	5.11	403.5	4.82	81.14	144.01	7.0	4.7	6.89	1.04	4.1	2.12	6.31	1.0	6.06	2.12	12.18	6.67	87.65	79.45	55.49	93.35	253.23	183.82	181.28	12.45	111.99	218.79	69.52	214.27	172.65	59.97	38.12	103.69	226.54	285.03	69.03	20.41	102.97	95.34	167.9	64.8	30.34	103.69	117.6	107.38	76.71	120.1	214.27	109.66	88.88	108.14	64.8	312.0	70.01	39.5	75.64	132.44	173.85	123.5	63.0	208.38	108.9	190.34	48.18	62.56	164.42	68.55	52.45
ZBTB11	47.84	87.65	320.8	49.91	334.46	103.69	176.29	209.84	13.72	91.41	86.43	48.52	55.49	56.28	67.59	63.0	82.29	75.64	81.14	23.25	181.28	318.57	143.01	199.85	197.09	127.0	232.94	102.25	177.53	277.2	255.0	244.57	234.57	164.42	214.27	165.57	220.32	175.07	120.94	115.16	226.54	98.73	215.77	116.78	77.25	150.17	236.21	133.36	169.07	236.21	167.9	173.85	194.36	161.02	139.07	269.6	149.12	172.65	117.6	325.29	187.71	189.02	146.03	241.19	172.65	256.78	134.3	169.07	183.82	212.78	127.0
ZBTB41	32.59	46.18	273.37	22.26	403.5	37.85	78.89	100.83	10.24	25.35	30.12	31.45	24.46	43.63	34.02	22.59	38.95	107.38	56.28	9.56	206.94	265.87	126.12	142.01	285.03	106.63	186.4	120.94	229.72	202.66	182.55	155.5	133.36	114.36	108.14	169.07	256.78	169.07	136.19	47.84	190.34	85.82	194.36	133.36	114.36	119.26	148.09	153.34	122.64	166.73	138.1	95.34	121.79	158.79	154.42	221.86	130.6	82.87	92.05	191.67	185.11	199.85	78.89	215.77	150.17	287.01	87.65	59.97	152.28	127.89	56.68
ZKSCAN3	55.49	33.3	55.89	34.51	141.02	36.53	34.51	47.17	38.12	18.7	36.27	35.5	46.18	23.08	25.54	60.39	76.71	46.5	22.59	20.71	74.58	63.89	78.89	146.03	105.15	75.64	105.89	67.12	117.6	43.02	115.97	82.29	64.34	57.49	36.79	19.68	88.88	153.34	120.94	76.17	67.12	66.65	76.71	72.52	34.51	48.52	35.5	81.14	38.67	92.05	147.06	45.53	52.82	58.71	42.11	44.57	81.14	64.34	20.86	63.0	190.34	113.56	45.21	100.13	134.3	214.27	55.89	33.54	113.56	31.67	32.82
ZNF148	61.68	77.25	483.38	55.1	480.04	73.54	215.77	260.38	29.27	61.25	91.41	48.87	52.45	64.34	72.01	70.01	83.45	68.55	81.71	34.26	193.01	287.01	172.65	297.17	269.6	120.94	236.21	116.78	202.66	287.01	142.01	255.0	303.44	165.57	180.02	165.57	239.52	193.01	127.89	150.17	221.86	126.12	273.37	145.02	81.71	156.59	438.59	193.01	172.65	234.57	165.57	143.01	181.28	145.02	155.5	327.56	130.6	163.28	119.26	356.05	182.55	231.32	94.01	202.66	205.5	242.88	201.25	122.64	293.07	198.47	150.17
