	TCGA.GI.A2C8.11A.22R.A16F.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.IG.A5S3.01A.11R.A28J.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.JY.A6FD.01A.11R.A336.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.JY.A93D.01A.11R.A38D.31	TCGA.JY.A93E.01A.11R.A37I.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.X4XY.1726.SM.46MVO	TCGA.WA.A7GZ.11A.11R.A34R.07	TCGA.CV.7406.11A.01R.2081.07	TCGA.H7.A6C4.11A.21R.A466.07	TCGA.CV.7091.11A.01R.2016.07	TCGA.CV.6939.11A.01R.1915.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.11WQC.0626.SM.5EQMF	GTEX.ZQG8.2126.SM.4YCF1	GTEX.13NYC.2626.SM.5K7VN	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZC5H.2726.SM.5KLZW	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	GTEX.13CF2.2426.SM.5LZYL	TCGA.KB.A93G.01A.11R.A39E.31	TCGA.IN.8663.01A.11R.2402.13
NDUFB9	18819.27	4512.4	3515.68	5006.93	5441.3	4836.35	4066.71	3372.43	4704.07	4038.61	7485.11	4358.66	1991.0	15607.02	19082.0	23820.89	17804.06	26800.01	0.0	0.83	1135.2	15285.81	15607.02	7803.01	8305.36	7857.29	32092.64	7857.29	8778.97	9215.48	34635.37	2739.08	3874.05
NDUFC1	8134.41	4038.61	3325.99	2915.45	3103.19	3168.41	2956.17	2664.15	2720.15	3372.43	3467.27	3515.68	2451.44	6037.61	7433.4	7966.99	6840.04	7537.18	0.0	0.78	1378.57	7803.01	7180.15	6294.04	5219.6	4298.64	4937.99	5403.7	4704.07	6840.04	12502.12	1529.73	974.5
NDUFS1	7230.1	1096.5	825.0	808.0	366.09	759.08	583.07	591.22	703.28	718.08	738.29	738.29	543.96	3515.68	4038.61	3103.19	4972.34	5479.15	0.0	0.37	358.54	2319.15	2915.45	1857.6	1662.49	1477.58	3212.66	2061.24	1662.49	1857.6	5995.9	884.29	642.59
NDUFS3	7695.57	2119.22	1662.49	1819.35	1427.22	1540.37	1594.73	1369.04	1340.84	1769.57	2047.0	1936.53	1059.11	4607.24	4972.34	5292.48	5954.47	5872.48	0.0	0.32	802.41	4769.75	4869.99	3190.46	2573.36	2645.74	3901.01	2451.44	2520.38	3018.3	10512.82	1191.69	551.56
NDUFS4	6887.62	1757.34	1794.29	1519.15	1388.16	1407.55	1159.07	1191.69	1628.26	1605.83	1359.57	2075.59	1199.98	4210.15	5041.77	5076.84	5076.84	4937.99	0.0	0.88	708.18	3982.99	5831.91	2796.65	2193.99	2367.9	3639.7	2609.3	2287.2	3820.7	11584.24	941.27	723.08
NDUFS6	2720.15	1340.84	1628.26	1819.35	2335.28	2090.03	1674.06	2178.83	1685.71	1662.49	2075.59	1529.73	961.07	2895.31	2701.35	3491.39	3257.52	2915.45	0.0	0.77	389.72	2875.3	3280.18	3212.66	1950.0	2133.97	2997.45	2163.77	2855.44	3190.46	5791.62	1135.2	1268.46
NDUFS7	8778.97	2367.9	1216.75	3039.3	2163.77	1936.53	1639.59	1697.45	1674.06	2537.92	2835.7	3280.18	2224.63	6792.79	7642.41	7280.4	9215.48	9606.86	2468.49	703.28	836.53	4181.07	8658.09	4152.18	4328.55	3614.55	6983.79	3665.02	3690.52	5041.77	15075.35	1135.2	497.0
NDUFV2	13215.02	4802.93	2240.11	3280.18	3060.45	2591.27	2351.53	2178.83	2682.69	3395.89	3742.05	3564.78	2367.9	6607.01	8247.98	8247.98	8538.88	8191.0	0.0	0.92	1721.16	10512.82	7433.4	6079.61	5441.3	4268.94	6294.04	5672.41	4736.79	7331.05	17558.94	1936.53	2018.8
OGDH	7433.4	1407.55	1119.56	1529.73	1447.15	1572.76	1605.83	1208.34	1277.29	1250.98	1447.15	1721.16	1304.15	4575.41	4239.45	4123.49	6381.92	6840.04	0.0	0.61	954.43	2224.63	4239.45	2796.65	3257.52	2417.67	4836.35	2303.12	2739.08	2178.83	6792.79	1769.57	1551.09
PDHB	4066.71	1498.22	1127.35	1268.46	616.37	1208.34	1001.93	995.0	1001.93	1233.75	1199.98	1268.46	616.37	2739.08	3212.66	2976.74	3614.55	3395.89	0.0	0.38	638.15	3168.41	2739.08	2400.97	1909.85	1991.0	2816.11	1883.54	2148.82	1832.01	4450.27	961.07	633.73
PINK1	9025.81	1709.26	642.59	1674.06	1037.29	1208.34	878.17	934.76	934.76	1551.09	1159.07	2018.8	1857.6	6561.36	6471.02	6745.86	10296.45	9025.81	0.0	0.47	693.58	2609.3	4210.15	2061.24	1685.71	2075.59	5479.15	2502.97	2816.11	2287.2	17927.91	802.41	1467.37
PNPLA4	1111.82	2047.0	119.26	214.27	332.14	323.03	119.26	215.77	185.11	226.54	165.57	332.14	251.48	743.43	836.53	813.63	1023.0	974.5	0.0	0.04	54.72	1583.71	591.22	1427.22	974.5	679.29	791.35	660.68	1073.91	529.06	2976.74	79.45	67.12
PRADC1	2163.77	529.06	246.28	438.59	161.02	312.0	332.14	258.57	244.57	376.41	409.15	591.22	503.95	1304.15	1457.23	1561.89	2104.58	2061.24	0.0	0.13	162.14	1286.18	1096.5	579.04	915.51	579.04	1104.13	753.83	866.07	825.0	2816.11	209.84	121.79
RTN4IP1	409.15	178.77	98.73	75.11	103.69	91.41	73.03	112.77	77.79	90.77	105.89	84.04	144.01	341.51	301.33	275.28	366.09	414.87	0.0	0.0	15.0	232.94	248.0	143.01	189.02	138.1	211.31	195.72	232.94	130.6	878.17	118.43	76.17
SAMM50	2915.45	819.3	551.56	674.59	525.39	555.41	466.88	529.06	599.49	563.18	587.13	665.29	351.14	1721.16	1832.01	1721.16	2163.77	2796.65	0.0	0.26	232.94	1467.37	2224.63	1081.39	1143.1	1250.98	1794.29	1096.5	1340.84	1350.18	2816.11	567.1	497.0
SDHB	9409.14	2075.59	1819.35	1806.78	1963.57	1769.57	1498.22	1757.34	1781.89	1519.15	1977.24	2018.8	1037.29	4972.34	5711.87	5255.91	6121.9	6607.01	0.0	0.54	764.36	4298.64	4095.0	2777.33	3039.3	2591.27	4607.24	2956.17	3103.19	3235.01	9025.81	1378.57	1225.22
SLC25A11	5872.48	1242.34	1208.34	1216.75	954.43	947.83	802.41	915.51	981.29	848.22	995.0	1037.29	780.44	4152.18	4388.98	4268.94	6887.62	6935.54	0.0	0.0	583.07	2287.2	3467.27	1662.49	2271.4	1794.29	3303.0	1977.24	2255.7	1498.22	6426.31	629.35	674.59
SLC25A3	27553.49	7589.61	6983.79	9673.69	6745.86	9025.81	8658.09	7081.29	8718.32	9215.48	9540.5	13215.02	8718.32	20170.07	18689.27	16727.26	21026.65	22692.63	10225.32	775.05	4481.23	16611.71	14867.79	11745.96	9740.98	11664.82	15934.98	12076.21	14065.74	13968.57	37121.34	7911.95	6652.97
SLC28A1	35.5	1.81	0.88	2.43	0.87	2.34	0.0	2.56	1.38	0.0	3.08	0.89	0.0	26.47	37.32	19.25	29.06	49.21	0.0	0.07	0.48	2.1	2.61	1.71	3.82	0.47	7.69	2.73	2.56	0.0	10.88	0.0	0.13
SLIRP	6294.04	4869.99	2520.38	3928.15	3794.3	4268.94	2915.45	2777.33	3018.3	3874.05	5517.27	4038.61	1437.15	4450.27	5183.54	6935.54	4010.71	4419.52	0.0	0.68	642.59	10512.82	5183.54	7081.29	4769.75	3794.3	4903.87	4481.23	5255.91	6652.97	11827.67	2193.99	1977.24
SPAG7	3690.52	954.43	1277.29	1457.23	1340.84	1143.1	934.76	947.83	1111.82	995.0	1088.92	1225.22	1015.93	2701.35	2976.74	3124.78	3325.99	3372.43	0.0	0.65	733.19	2485.67	2777.33	1721.16	1023.0	1359.57	2609.3	1437.15	1572.76	2075.59	4704.07	866.07	633.73
STAU2	2400.97	1167.14	403.5	579.04	381.68	603.67	612.11	454.09	486.75	713.11	723.08	688.78	503.95	1277.29	1242.34	1167.14	1769.57	1709.26	0.0	0.56	1417.35	947.83	1143.1	915.51	1111.82	921.88	1350.18	708.18	981.29	748.61	1605.83	525.39	813.63
SUCLA2	4298.64	775.05	567.1	813.63	620.67	708.18	674.59	503.95	616.37	738.29	595.34	684.02	379.04	2148.82	2485.67	2018.8	3039.3	2468.49	0.0	0.49	327.56	1437.15	2417.67	830.75	890.44	884.29	1844.76	848.22	866.07	1135.2	3847.29	503.95	229.72
TACO1	1015.93	395.18	277.2	323.03	387.02	343.89	320.8	395.18	336.79	301.33	444.72	289.02	314.17	743.43	669.92	698.41	830.75	974.5	0.0	0.0	135.24	647.07	595.34	273.37	392.44	532.74	647.07	493.56	507.46	457.25	1427.22	246.28	199.85
THAP4	1857.6	1417.35	1044.52	1096.5	842.36	830.75	759.08	974.5	974.5	890.44	1175.27	1088.92	1111.82	1721.16	1709.26	1551.09	1923.14	2255.7	0.0	0.74	500.46	1628.26	2573.36	1277.29	2061.24	1923.14	1378.57	1806.78	2047.0	2148.82	2816.11	995.0	397.93
TPM3	110216.97	8658.09	2796.65	4869.99	7749.1	4095.0	8022.41	4836.35	4152.18	2720.15	7589.61	3103.19	3690.52	61571.56	80683.28	60304.42	65535.0	33224.42	16727.26	2976.74	7130.55	14163.58	16843.62	13399.51	13776.25	10512.82	22225.61	10512.82	10296.45	10225.32	81244.48	6121.9	8538.88
TRAK1	4268.94	1350.18	265.87	432.53	283.05	325.29	460.44	575.03	295.11	368.65	379.04	473.41	239.52	3124.78	2400.97	1896.65	3515.68	3716.2	218.79	94.67	1594.73	387.02	708.18	808.0	536.45	878.17	723.08	860.08	612.11	674.59	2417.67	708.18	785.88
UBAC1	3190.46	1295.13	1073.91	1259.69	1081.39	1359.57	967.76	1037.29	1143.1	1111.82	1250.98	1151.06	473.41	2720.15	2520.38	2664.15	3540.14	3491.39	0.0	0.67	536.45	1870.53	2682.69	1896.65	1794.29	1167.14	3081.75	1583.71	1313.23	1883.54	4481.23	518.15	1167.14
UGP2	13123.73	1617.0	1923.14	1883.54	1277.29	1832.01	2119.22	1923.14	1936.53	2434.5	2004.85	2209.26	1572.76	8840.04	6935.54	6840.04	12764.83	13033.07	1437.15	1023.0	1191.69	4239.45	3982.99	2061.24	2701.35	2627.46	5041.77	2335.28	2645.74	2335.28	13123.73	1457.23	1388.16
UQCR10	10959.3	4543.8	1467.37	2555.58	2502.97	1977.24	1709.26	2303.12	1857.6	2417.67	2875.3	2555.58	1304.15	7130.55	7081.29	8022.41	7857.29	7695.57	0.0	0.56	1304.15	5751.61	6983.79	3540.14	4328.55	3820.7	8247.98	4298.64	4358.66	4038.61	13586.57	1295.13	1051.79
UQCR11	14163.58	4239.45	2104.58	4066.71	2915.45	3443.31	3372.43	2997.45	2835.7	3716.2	3794.3	4450.27	3419.52	10883.59	8840.04	14361.31	12160.22	10368.08	0.0	0.78	1639.59	8598.28	8840.04	5041.77	4066.71	3614.55	11267.44	5872.48	4869.99	5791.62	21320.18	2796.65	1183.45
UQCRC1	20170.07	5147.73	2400.97	3190.46	2224.63	2485.67	1991.0	3018.3	2777.33	2591.27	3467.27	3491.39	2240.11	14663.09	13776.25	13776.25	16843.62	20451.65	0.0	0.77	1561.89	9151.82	13776.25	8247.98	8191.0	8778.97	12943.04	6745.86	8191.0	7589.61	21919.61	2976.74	6516.03
UQCRC2	14561.8	3303.0	2591.27	3303.0	2367.9	2664.15	2417.67	2240.11	2434.5	2701.35	2609.3	3303.0	1151.06	10512.82	9409.14	9151.82	10733.74	11345.82	0.0	1.11	1857.6	5672.41	11112.3	4575.41	4903.87	4903.87	9945.68	5112.16	4543.8	4736.79	14867.79	2520.38	1225.22
UQCRFS1	9409.14	2178.83	1331.57	1617.0	1151.06	1605.83	1322.37	1369.04	1498.22	1369.04	4836.35	1819.35	1104.13	6471.02	6935.54	7081.29	9215.48	8658.09	0.0	0.75	555.41	4512.4	4937.99	2956.17	3901.01	2758.13	6337.83	3212.66	2915.45	3325.99	12502.12	1242.34	1096.5
UQCRQ	19482.97	10959.3	4419.52	5479.15	4481.23	5076.84	3847.29	3665.02	3847.29	5366.37	4543.8	7081.29	5076.84	14163.58	15607.02	18950.18	14765.09	15499.21	7589.61	9673.69	1896.65	14867.79	12244.81	10883.59	8963.45	7803.01	13123.73	11345.82	9808.75	10296.45	25887.07	3716.2	3901.01
USMG5	12415.75	8718.32	6792.79	9409.14	8421.31	8191.0	7130.55	6516.03	7642.41	10808.41	10512.82	11189.6	4607.24	12076.21	13872.08	16045.82	11504.21	13033.07	0.0	1.06	2485.67	23492.92	16157.44	12502.12	11664.82	8363.13	11584.24	11664.82	11267.44	12329.98	28328.16	3901.01	5995.9
WWP1	2895.31	679.29	327.56	414.87	432.53	490.14	656.11	420.68	444.72	426.57	353.59	373.81	255.0	981.29	988.12	791.35	1519.15	1023.0	0.0	0.52	483.38	866.07	713.11	718.08	500.46	551.56	698.41	503.95	620.67	842.36	1059.11	603.67	866.07
