	TCGA.BH.A0DP.01A.21R.A056.07	TCGA.BH.A0HI.01A.11R.A084.07	TCGA.BH.A0BQ.01A.21R.A115.07	TCGA.E9.A1RD.01A.11R.A157.07	TCGA.A2.A0YC.01A.11R.A109.07	TCGA.E9.A249.01A.11R.A169.07	TCGA.D8.A1XC.01A.11R.A14D.07	TCGA.BH.A18S.01A.11R.A12D.07	TCGA.D8.A1XV.01A.11R.A14M.07	TCGA.E2.A1IK.01A.11R.A144.07	TCGA.BH.A0BS.01A.11R.A12P.07	TCGA.HC.7745.11A.01R.2118.07	TCGA.HC.7211.11A.01R.2118.07	TCGA.HC.7737.11A.02R.2118.07	TCGA.HC.8258.11A.01R.2263.07	TCGA.HC.7738.11A.01R.2118.07	TCGA.HC.7747.11A.01R.2118.07	TCGA.HC.7740.11A.01R.2118.07	GTEX.Y8E4.2126.SM.5RQHO	GTEX.113JC.0126.SM.5EGJW	GTEX.WWYW.0826.SM.3NB2X	GTEX.WHSE.0626.SM.4RGNF	GTEX.11EQ8.0826.SM.5N9FG	GTEX.145MI.1126.SM.5O9AK
TSNAX	1498.22	1088.92	988.12	1304.15	1594.73	1242.34	1519.15	2193.99	1832.01	796.86	1259.69	511.0	503.95	591.22	575.03	629.35	536.45	529.06	540.19	447.82	353.59	420.68	339.14	316.37
TTC27	339.14	275.28	351.14	307.69	348.71	283.05	251.48	423.61	318.57	271.48	318.57	142.01	102.25	151.22	125.24	123.5	146.03	133.36	255.0	98.04	215.77	135.24	172.65	177.53
TTLL12	476.71	934.76	1870.53	540.19	2119.22	1457.23	941.27	909.17	896.64	536.45	780.44	423.61	384.34	339.14	334.46	384.34	368.65	305.55	591.22	195.72	264.03	165.57	267.73	189.02
TXNDC9	599.49	915.51	775.05	915.51	698.41	738.29	629.35	941.27	796.86	759.08	1304.15	336.79	318.57	409.15	343.89	346.29	297.17	400.71	285.03	289.02	275.28	301.33	400.71	454.09
UBIAD1	309.83	387.02	279.14	281.09	368.65	236.21	348.71	406.31	363.56	381.68	287.01	209.84	170.25	186.4	161.02	167.9	159.9	171.45	215.77	104.42	178.77	162.14	208.38	221.86
UEVLD	521.76	438.59	387.02	493.56	551.56	521.76	441.64	559.28	463.65	318.57	669.92	224.97	159.9	244.57	190.34	226.54	190.34	229.72	256.78	126.12	133.36	105.15	169.07	182.55
UTP18	967.76	698.41	713.11	503.95	884.29	878.17	723.08	1250.98	1127.35	830.75	775.05	384.34	435.55	389.72	454.09	414.87	387.02	518.15	414.87	642.59	748.61	769.69	450.94	356.05
WARS2	412.0	348.71	353.59	518.15	429.54	312.0	500.46	896.64	403.5	486.75	438.59	141.02	100.83	186.4	138.1	158.79	132.44	172.65	149.12	172.65	244.57	206.94	231.32	157.68
YWHAB	3515.68	4903.87	4038.61	4450.27	4298.64	6294.04	4010.71	4152.18	4937.99	3982.99	5872.48	3395.89	3419.52	4066.71	2915.45	3303.0	3212.66	3395.89	2645.74	2400.97	2875.3	2701.35	2319.15	2367.9
ZCCHC10	514.56	698.41	460.44	1001.93	607.87	825.0	412.0	629.35	551.56	660.68	684.02	283.05	387.02	426.57	323.03	406.31	249.73	325.29	301.33	249.73	283.05	329.84	339.14	307.69
ZNF20	102.97	49.56	57.08	163.28	114.36	176.29	109.66	152.28	120.1	136.19	127.0	34.75	47.17	54.72	77.79	55.1	71.0	16.15	98.73	37.32	74.58	27.84	37.59	53.19
ZNF43	341.51	463.65	253.23	591.22	684.02	389.72	460.44	429.54	457.25	301.33	334.46	145.02	87.65	146.03	115.16	124.37	152.28	148.09	85.22	78.34	81.71	83.45	141.02	80.01
ZNF485	101.54	113.56	54.72	120.1	74.58	138.1	66.18	121.79	114.36	126.12	86.43	32.59	23.08	29.91	25.17	45.21	37.32	37.32	58.3	10.63	35.0	20.86	61.68	48.87
ZNF92	256.78	902.89	127.0	429.54	435.55	279.14	267.73	620.67	406.31	262.2	423.61	82.87	98.73	121.79	74.58	130.6	132.44	122.64	98.04	70.51	95.34	67.12	147.06	124.37
