	TCGA.BL.A13I.01A.11R.A277.07	TCGA.BL.A13I.01A.11R.A13Y.07	TCGA.XF.AAME.01A.12R.A42T.07	TCGA.AR.A1AO.01A.11R.A12P.07	TCGA.A8.A08H.01A.21R.A00Z.07	GTEX.14C38.2626.SM.5RQI4	TCGA.CN.6019.01A.11R.1686.07	TCGA.CJ.4890.01A.01R.1305.07	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.DD.AAEE.01A.11R.A41C.07	TCGA.DD.AAVY.01A.11R.A41C.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.BW.A5NQ.01A.11R.A27V.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.RG.A7D4.01A.12R.A33R.07	TCGA.DD.A3A4.01A.11R.A22L.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.FV.A496.01A.11R.A266.07	TCGA.K7.A5RG.01A.11R.A28V.07	TCGA.DD.A73D.01A.12R.A32O.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.DD.A73A.01A.12R.A32O.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AACW.01A.11R.A41C.07	TCGA.2Y.A9GX.01A.11R.A38B.07	TCGA.ED.A7XP.01A.11R.A352.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.DD.A39W.01A.11R.A213.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.RC.A6M4.01A.11R.A32O.07	TCGA.DD.AADC.01A.11R.A41C.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.MI.A75G.01A.11R.A32O.07	TCGA.MI.A75H.01A.11R.A32O.07	TCGA.2Y.A9H7.01A.11R.A39D.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.XR.A8TF.01A.11R.A36F.07	TCGA.DD.A1EL.01A.11R.A155.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.EP.A2KC.01A.11R.A213.07	TCGA.CC.A5UE.01A.11R.A28V.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.UB.A7MC.01A.11R.A33R.07	TCGA.UB.A7MD.01A.12R.A352.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.1399R.1226.SM.5P9GF	GTEX.REY6.1226.SM.48FDR	GTEX.R53T.0326.SM.48FEC	TCGA.78.8648.01A.11R.2403.07	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.95.7043.01A.11R.1949.07	TCGA.38.4632.11A.01R.1755.07	GTEX.ZZPU.0526.SM.5E44U	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.QV44.0926.SM.2S1RH	GTEX.P4QR.1026.SM.2I5GP	GTEX.ZTTD.1126.SM.51MRP	GTEX.YB5E.0726.SM.4VDSH	GTEX.O5YV.0526.SM.2I5GE	GTEX.ZAB4.0626.SM.5CVN3	GTEX.13FLV.0426.SM.5KLZA	GTEX.132QS.0726.SM.5IJE9	GTEX.PWOO.0726.SM.2I3EB	GTEX.SUCS.0626.SM.32PM5	GTEX.13OW8.1726.SM.5L3GO	TCGA.60.2709.01A.21R.1820.07	TCGA.18.3411.01A.01R.0980.07	TCGA.66.2737.01A.01R.0980.07	TCGA.43.6773.01A.41R.1949.07	TCGA.77.8007.11A.01R.2187.07	TCGA.34.7107.11A.01R.1949.07
EPB41L3	1857.6	796.86	525.39	934.76	1529.73	1119.56	620.67	1044.52	728.11	583.07	825.0	483.38	555.41	11.47	14.35	95.34	48.87	55.49	77.25	53.95	64.34	100.13	18.03	55.49	115.97	6.11	9.27	5.54	205.5	5.82	4.06	341.51	51.35	16.39	72.01	23.25	199.85	166.73	50.63	3.08	23.25	85.22	29.27	7.22	24.46	13.62	7.63	43.63	16.03	41.81	21.63	47.17	104.42	26.47	18.56	384.34	25.35	81.14	28.04	44.25	206.94	15.8	36.01	86.43	169.07	67.59	71.5	902.89	660.68	64.34	836.53	684.02	1467.37	423.61	447.82	656.11	536.45	1268.46	1037.29	3491.39	688.78	603.67	320.8	1508.65	547.75	129.69	438.59	660.68	723.08	743.43
EXOG	221.86	204.07	112.77	75.11	152.28	19.97	70.01	113.56	143.01	186.4	70.51	128.79	69.03	88.88	24.81	77.25	64.8	103.69	43.02	60.82	84.04	109.66	62.56	56.68	69.03	47.17	54.72	56.28	72.01	38.4	85.82	106.63	76.71	37.59	64.34	77.79	95.34	79.45	34.26	37.85	78.34	108.14	58.3	45.53	84.63	67.12	53.95	45.85	137.14	82.87	47.84	62.12	75.11	70.01	57.08	81.14	67.59	34.26	44.57	35.76	123.5	43.63	20.26	22.75	17.64	48.18	21.32	107.38	154.42	64.34	96.68	167.9	111.21	112.77	92.7	194.36	117.6	105.15	122.64	102.25	85.82	120.1	143.01	72.52	102.25	73.54	125.24	65.72	129.69	75.64
F13A1	22692.63	11189.6	1844.76	497.0	1991.0	44.25	1519.15	728.11	412.0	69.52	283.05	154.42	995.0	10.24	8.45	65.72	84.04	43.02	35.0	18.03	111.21	39.79	13.12	102.25	85.22	24.28	30.56	10.0	199.85	1.39	6.57	9.41	42.11	8.32	229.72	14.89	400.71	44.89	258.57	2.14	28.86	297.17	3.72	24.63	13.12	32.59	22.43	15.34	36.79	131.51	3.14	50.63	514.56	19.11	49.91	258.57	4.62	42.11	25.54	10.0	134.3	18.16	13.03	14.35	55.89	10.79	5.45	603.67	283.05	43.63	1268.46	1617.0	1508.65	2537.92	435.55	21.47	466.88	6699.25	4575.41	447.82	967.76	759.08	1794.29	764.36	198.47	420.68	1143.1	563.18	2935.74	1896.65
F2RL2	2075.59	2682.69	36.27	103.69	423.61	129.69	684.02	12.64	31.0	8.45	27.64	36.79	18.84	4.74	0.0	35.0	58.3	21.01	55.1	16.27	11.55	3.2	1.97	12.36	3.56	23.25	20.71	0.57	21.78	0.85	0.84	6.94	5.41	0.52	8.06	0.49	55.49	6.26	7.63	1.53	2.23	21.32	1.58	0.0	4.98	0.73	0.87	10.31	0.57	17.77	1.66	327.56	23.59	10.0	22.1	38.12	1.62	2.27	9.48	5.32	63.89	6.36	0.0	5.36	61.25	7.75	14.45	5.82	6.46	15.45	4.94	7.75	6.01	283.05	34.26	0.99	1.08	70.01	36.01	126.12	8.32	6.46	11.04	49.21	361.04	591.22	450.94	221.86	4.06	8.13
FAM101B	2417.67	1896.65	258.57	253.23	603.67	591.22	318.57	450.94	90.14	87.65	264.03	144.01	133.36	43.02	65.72	53.95	88.26	48.18	55.49	37.32	82.87	69.52	69.03	67.12	37.59	48.87	35.76	63.0	91.41	55.49	30.56	61.68	96.01	40.07	41.22	58.3	113.56	92.7	94.67	28.65	78.34	82.87	50.98	33.3	34.02	16.27	38.95	109.66	66.65	52.08	43.63	26.1	73.54	53.19	22.59	182.55	33.78	57.08	34.26	50.98	64.8	38.95	34.51	72.01	116.78	40.36	124.37	353.59	301.33	153.34	291.04	358.54	104.42	218.79	177.53	341.51	397.93	460.44	246.28	575.03	353.59	211.31	312.0	273.37	161.02	178.77	178.77	118.43	327.56	559.28
FBN1	2018.8	563.18	1467.37	1313.23	3212.66	603.67	4671.57	1769.57	84.04	130.6	830.75	253.23	186.4	114.36	16.27	224.97	217.27	58.71	190.34	45.21	175.07	54.72	46.5	85.22	31.0	57.89	68.55	28.86	202.66	11.13	17.9	172.65	49.21	30.12	133.36	41.22	813.63	279.14	173.85	14.89	47.84	368.65	73.03	21.16	89.51	22.59	26.28	48.52	33.54	40.36	34.51	31.67	323.03	82.87	22.92	480.04	81.14	154.42	47.17	83.45	64.8	49.21	31.22	17.51	88.88	13.03	47.5	2777.33	460.44	373.81	423.61	591.22	2104.58	607.87	1331.57	395.18	96.68	4802.93	5076.84	1066.48	1127.35	450.94	454.09	647.07	2047.0	373.81	2209.26	1508.65	703.28	1709.26
FCGBP	9409.14	1745.2	42.41	169.07	25.17	152.28	121.79	48.18	73.03	50.98	336.79	13.12	18.97	3.26	10.63	112.77	8.32	72.01	4.94	18.29	3.59	12.64	5.92	20.86	11.13	5.06	5.11	20.86	17.9	2.39	1.13	12.18	8.71	4.62	20.41	10.16	16.75	11.47	11.38	1.93	16.15	22.59	5.54	7.0	7.69	8.38	2.81	3.63	13.42	287.01	3.38	11.64	27.05	9.27	18.84	9.56	10.31	53.95	43.63	0.37	108.9	6.62	12.09	5.68	38.12	2.39	12.74	18.56	29.7	108.9	21.78	129.69	53.19	24.11	12.55	18.56	53.95	27.64	151.22	58.71	30.78	53.57	33.3	25.17	58.3	66.65	143.01	11.82	29.06	26.28
FMNL3	896.64	587.13	397.93	629.35	878.17	283.05	536.45	941.27	444.72	303.44	780.44	185.11	283.05	65.72	30.56	232.94	158.79	72.52	172.65	90.77	124.37	115.16	84.04	112.77	96.01	38.4	80.01	41.22	239.52	25.17	41.22	127.89	81.14	39.79	69.52	39.5	273.37	132.44	132.44	16.75	47.5	287.01	53.95	29.27	117.6	41.22	28.65	94.67	72.52	100.83	66.65	58.71	279.14	82.87	40.36	444.72	54.72	110.43	38.4	49.21	61.25	32.82	54.33	41.81	61.25	31.67	32.36	620.67	583.07	161.02	323.03	316.37	454.09	665.29	684.02	529.06	346.29	536.45	669.92	483.38	409.15	285.03	275.28	400.71	480.04	155.5	325.29	361.04	371.22	571.05
FOLR2	7749.1	11345.82	2287.2	2319.15	2133.97	94.67	1143.1	1936.53	3639.7	1437.15	3103.19	1051.79	5479.15	103.69	111.99	318.57	218.79	189.02	397.93	320.8	329.84	387.02	79.45	656.11	738.29	53.57	77.25	29.91	902.89	52.45	25.17	131.51	67.12	61.25	248.0	122.64	703.28	297.17	902.89	54.33	66.65	764.36	76.17	152.28	146.03	341.51	106.63	87.65	100.13	624.99	75.64	363.56	738.29	185.11	248.0	638.15	82.87	403.5	79.45	45.85	1104.13	52.08	253.23	1023.0	2537.92	336.79	1104.13	1769.57	2796.65	52.08	4388.98	3491.39	4239.45	4450.27	647.07	409.15	1697.45	3349.13	7331.05	7642.41	3614.55	1073.91	2956.17	15392.14	1199.98	438.59	1378.57	1051.79	3491.39	2351.53
FOXF1	1417.35	2004.85	988.12	10.55	4.7	679.29	176.29	43.63	12.55	13.83	25.54	12.27	33.78	15.22	5.5	60.39	55.1	17.0	44.57	5.06	11.47	6.57	10.79	19.39	4.28	7.82	10.47	2.84	32.36	1.95	8.78	30.78	5.92	15.0	15.45	8.71	87.03	17.77	15.11	6.16	5.96	80.01	9.78	3.32	20.41	5.59	7.17	11.73	0.82	5.02	9.13	6.73	77.25	18.56	4.62	64.34	11.55	21.16	9.48	48.18	24.28	54.33	52.82	38.12	17.77	71.5	27.44	397.93	457.25	40.36	366.09	463.65	165.57	336.79	733.19	432.53	896.64	218.79	358.54	693.58	429.54	132.44	409.15	1175.27	212.78	16.51	81.14	144.01	642.59	529.06
FOXF2	1427.22	2573.36	236.21	55.1	89.51	146.03	150.17	14.89	3.35	6.52	11.38	5.02	5.54	3.72	0.0	15.11	11.38	6.01	12.18	0.68	3.29	1.91	1.22	5.59	3.11	1.14	4.31	3.03	1.57	0.61	2.84	12.83	1.69	1.46	3.06	0.0	13.62	8.38	3.17	1.36	1.58	7.75	1.39	0.64	43.32	5.15	1.01	4.06	2.12	334.46	1.87	3.59	22.59	3.14	1.17	29.7	1.43	3.29	1.16	0.0	1.5	4.06	6.89	0.0	1.03	0.13	0.69	224.97	197.09	36.79	171.45	231.32	102.25	165.57	167.9	738.29	500.46	368.65	209.84	201.25	285.03	75.64	242.88	708.18	217.27	83.45	253.23	113.56	242.88	295.11
FOXL1	941.27	842.36	87.65	18.16	21.16	36.53	13.22	74.58	15.45	17.77	30.12	4.13	13.32	4.17	0.0	28.65	8.0	21.32	12.0	0.66	5.92	4.58	0.0	3.0	1.89	0.66	2.32	1.66	5.92	0.0	1.73	10.63	2.18	0.61	5.92	0.99	24.28	7.88	4.03	0.0	0.65	19.97	15.45	1.03	11.73	6.52	0.99	1.79	0.67	4.35	0.61	2.63	24.28	3.17	0.51	27.44	3.03	5.23	0.0	4.7	3.69	1.03	1.31	1.35	1.28	3.26	3.35	18.56	9.2	15.68	5.63	78.34	61.25	26.67	21.94	14.35	10.96	8.19	26.1	77.25	14.89	7.17	7.34	18.84	29.27	3.2	45.21	23.08	13.42	19.82
FTL	299043.36	459592.86	212926.09	469249.9	539026.74	1221310.69	535303.41	499455.67	1422501.74	919186.72	1355129.16	998912.34	1422501.74	757033.75	466008.55	1123834.93	971597.0	2111737.85	1327240.99	1452391.55	906531.99	654483.73	1393227.06	1055868.42	663619.99	706337.4	696613.03	691801.16	828417.36	419990.32	1514068.5	985160.01	721179.07	1100706.72	958220.73	593956.43	531605.79	746611.43	932018.1	212926.09	822695.06	857631.47	1147449.11	437825.58	894051.48	1493223.86	443937.41	649962.87	623486.02	992012.34	301123.38	900270.11	811368.76	925580.18	736332.6	881742.8	517068.97	822695.06	2294899.22	1179708.33	1327240.99	1147449.11	1374046.07	1055868.42	1131651.83	706337.4	2326934.84	492579.5	998912.34	1273174.62	1204496.53	834179.46	845824.19	1336472.68	938500.81	945028.61	971597.0	577714.63	875652.15	932018.1	887875.81	1327240.99	900270.11	1179708.33	558035.51	971597.0	383800.28	373305.21	971597.0	489177.0
GAS7	1277.29	271.48	463.65	423.61	603.67	1191.69	514.56	289.02	204.07	119.26	273.37	134.3	244.57	7.06	7.57	64.8	59.13	19.97	53.95	53.19	38.95	24.46	6.78	30.56	40.64	5.02	7.88	4.74	94.67	3.89	9.93	18.16	26.86	16.75	15.34	8.85	129.69	23.93	34.51	6.01	9.27	43.32	9.56	4.9	19.68	7.94	9.93	13.22	15.68	20.11	10.08	14.56	55.1	14.56	9.34	198.47	11.3	45.53	52.45	29.91	30.56	1.93	37.85	14.89	45.53	15.34	15.34	587.13	460.44	69.52	441.64	466.88	1447.15	376.41	438.59	647.07	120.1	3589.58	1340.84	329.84	612.11	476.71	373.81	185.11	435.55	51.35	237.86	293.07	397.93	764.36
GBGT1	297.17	334.46	198.47	246.28	490.14	128.79	271.48	332.14	511.0	237.86	525.39	329.84	813.63	9.93	9.27	71.5	46.18	42.41	27.84	44.25	42.11	21.63	15.45	34.75	26.86	10.08	24.28	16.63	53.57	3.72	10.88	100.13	30.78	10.31	17.64	12.09	84.63	36.27	45.85	7.34	18.43	68.07	13.42	10.55	21.16	21.63	9.13	23.93	11.3	29.48	10.71	23.76	72.01	18.84	21.78	156.59	8.92	61.25	14.89	9.7	25.91	13.93	20.71	17.25	31.0	16.39	18.03	466.88	387.02	47.17	325.29	387.02	555.41	1096.5	253.23	679.29	559.28	703.28	529.06	98.04	214.27	1044.52	813.63	320.8	206.94	107.38	275.28	244.57	441.64	412.0
GLDN	2303.12	1199.98	63.89	21.94	43.94	186.4	37.59	33.06	63.0	39.22	33.06	16.39	19.11	0.0	1.89	3.26	9.34	94.01	30.56	12.45	4.31	19.82	12.55	5.87	49.21	309.83	1.6	29.48	26.86	1.5	146.03	59.13	6.62	55.49	18.7	98.04	11.64	3.41	3.35	3.0	5.28	35.25	3.08	1.57	45.85	0.96	1.11	0.71	583.07	0.68	3.66	12.45	26.47	1.62	7.11	74.06	6.26	6.84	0.0	6.31	30.12	0.0	8.78	0.0	10.96	2.71	1.57	27.44	11.55	3.69	19.53	221.86	1030.12	305.55	165.57	209.84	1617.0	183.82	728.11	206.94	387.02	497.0	995.0	490.14	50.63	4.31	34.75	32.36	55.89	190.34
GLP2R	177.53	139.07	87.65	2.46	2.41	52.82	0.78	6.46	8.25	4.7	1.64	4.86	3.23	0.51	0.0	3.29	5.73	3.53	0.52	0.0	0.0	0.0	0.0	0.51	4.78	0.0	0.0	0.0	7.46	0.0	0.0	11.64	0.0	0.0	0.53	0.51	6.41	10.63	0.0	0.48	34.75	1.81	0.0	1.68	1.17	2.25	0.0	0.0	0.0	0.0	0.0	0.0	3.69	1.75	0.0	12.27	0.52	2.34	1.83	24.46	5.19	5.63	7.63	0.99	34.02	10.0	36.53	1.1	1.45	4.1	2.12	18.84	8.92	7.17	6.01	5.92	11.47	28.86	32.59	10.39	20.56	0.83	7.88	0.0	1.41	0.0	1.33	1.73	5.02	7.06
GNA15	656.11	575.03	1135.2	429.54	432.53	921.88	1313.23	299.25	384.34	193.01	507.46	154.42	251.48	10.96	7.82	96.01	39.5	69.03	61.68	29.48	55.49	37.59	15.68	40.64	46.5	4.28	12.27	3.69	75.64	3.56	9.2	25.72	24.28	8.45	31.0	13.03	101.54	37.05	59.97	1.97	18.7	82.29	11.73	8.65	14.03	29.48	7.69	30.78	22.59	62.56	6.16	32.59	85.82	24.63	20.56	241.19	11.73	68.55	21.94	18.43	86.43	11.55	10.24	47.17	61.25	49.21	41.22	497.0	555.41	236.21	587.13	486.75	1369.04	775.05	323.03	366.09	473.41	371.22	713.11	500.46	490.14	2367.9	248.0	366.09	536.45	796.86	718.08	438.59	633.73	532.74
GP1BB	246.28	351.14	39.79	27.25	12.36	16.88	70.01	82.29	11.04	27.64	94.67	14.89	32.36	28.65	4.98	21.32	23.59	24.46	8.38	8.85	17.38	7.11	8.99	8.71	8.19	3.17	7.75	3.29	15.0	1.83	10.79	155.5	19.11	7.17	7.17	2.78	22.1	16.03	34.02	8.71	16.27	40.36	27.25	6.16	63.45	32.36	7.28	11.21	128.79	12.83	11.73	8.06	18.43	5.41	19.68	22.1	8.78	12.36	5.87	6.16	6.78	8.51	8.19	6.84	10.79	6.94	2.61	87.03	23.25	30.34	28.65	53.57	38.4	80.01	32.36	52.08	57.89	39.22	52.45	14.14	26.1	25.17	16.27	42.41	74.58	75.11	93.35	178.77	22.75	79.45
GPR85	31.9	165.57	71.5	40.64	62.56	0.0	64.34	58.71	52.08	50.27	27.25	6.73	18.97	4.43	4.86	11.55	23.76	6.06	5.45	0.93	18.43	11.82	0.26	9.78	33.54	3.41	4.39	1.71	18.43	3.99	8.45	0.87	4.78	2.73	2.1	1.08	9.2	12.93	15.22	1.91	5.41	17.77	12.74	0.82	10.79	2.81	3.79	1.99	5.68	14.35	3.66	2.81	28.45	3.14	4.46	43.02	1.11	17.9	14.67	1.69	41.52	0.0	3.41	7.94	22.92	11.91	13.32	35.5	63.45	69.52	21.78	163.28	29.27	43.02	74.06	34.02	75.64	170.25	68.55	208.38	50.98	130.6	38.12	19.53	37.59	13.62	62.56	12.93	50.98	63.89
GSC	234.57	236.21	5.19	54.33	43.02	0.84	87.03	19.39	1.48	3.08	9.2	1.38	5.54	0.0	0.0	0.91	0.0	0.0	1.11	0.85	0.0	1.22	0.0	0.75	2.18	0.0	1.85	1.3	2.32	0.74	0.72	0.0	0.92	1.13	0.78	0.75	0.0	1.91	0.0	1.36	0.0	2.29	1.07	1.11	64.34	0.35	0.75	0.0	0.0	2.89	0.0	43.32	2.46	0.8	0.0	2.41	1.1	0.0	0.0	0.0	1.79	0.0	3.63	0.0	0.0	0.0	0.0	4.28	0.0	56.28	0.0	1.83	15.8	0.0	0.0	3.23	9.48	3.06	6.41	0.0	1.14	0.87	2.43	8.65	9.48	6.26	50.27	2.41	4.46	1.73
HDAC7	1447.15	1037.29	1304.15	995.0	1427.22	660.68	1233.75	954.43	830.75	808.0	1008.9	896.64	753.83	307.69	95.34	438.59	376.41	334.46	454.09	193.01	241.19	217.27	176.29	361.04	248.0	123.5	255.0	260.38	529.06	44.57	151.22	341.51	271.48	206.94	497.0	231.32	529.06	358.54	242.88	47.5	303.44	674.59	236.21	92.7	400.71	221.86	113.56	229.72	316.37	287.01	201.25	260.38	547.75	269.6	303.44	603.67	182.55	267.73	108.14	157.68	285.03	85.22	162.14	147.06	212.78	140.04	85.82	1551.09	1594.73	679.29	718.08	1127.35	1388.16	1030.12	2209.26	921.88	679.29	1322.37	1286.18	1477.58	1191.69	1037.29	1167.14	1519.15	1066.48	281.09	764.36	1135.2	1259.69	1769.57
HGF	4038.61	2451.44	183.82	151.22	647.07	309.83	60.39	363.56	119.26	74.06	205.5	65.26	56.28	7.0	9.13	84.04	60.39	2335.28	48.87	27.05	13.12	12.27	10.55	49.91	7.75	16.63	19.53	8.25	82.29	2.66	15.45	30.78	19.25	5.92	67.59	11.73	237.86	56.28	33.78	5.45	14.24	58.3	14.78	8.45	23.59	28.24	14.03	9.78	5.19	15.11	5.92	15.0	139.07	34.26	36.01	147.06	5.77	34.51	142.01	1175.27	175.07	145.02	583.07	102.25	81.71	61.68	57.89	423.61	264.03	82.29	205.5	163.28	226.54	323.03	551.56	232.94	63.45	473.41	450.94	1208.34	142.01	129.69	65.26	175.07	197.09	27.64	84.63	128.79	329.84	656.11
HK1	2976.74	2434.5	1437.15	1605.83	2384.37	2193.99	2520.38	1781.89	1135.2	587.13	1628.26	1088.92	1135.2	65.72	41.81	218.79	409.15	119.26	186.4	109.66	155.5	161.02	64.34	169.07	139.07	60.82	81.71	599.49	366.09	27.05	29.06	111.21	109.66	64.34	102.97	54.33	503.95	177.53	169.07	60.39	73.54	343.89	74.06	32.13	75.64	84.04	61.25	95.34	92.7	113.56	75.11	325.29	312.0	108.14	40.93	743.43	63.45	444.72	63.89	84.63	157.68	45.21	57.89	85.82	158.79	30.56	90.77	1331.57	1467.37	1427.22	1135.2	2032.85	1721.16	1757.34	1378.57	1015.93	1417.35	1745.2	1051.79	1950.0	2047.0	2520.38	1044.52	1216.75	1991.0	1721.16	2047.0	3168.41	1151.06	1806.78
HRH1	221.86	182.55	148.09	206.94	144.01	94.01	159.9	201.25	314.17	363.56	93.35	57.08	82.87	6.21	5.11	10.39	11.38	32.36	9.63	4.31	8.58	9.85	3.14	19.82	3.96	2.92	3.0	4.9	12.55	0.92	2.41	13.62	4.66	2.29	9.2	4.94	21.32	11.3	11.38	1.5	4.28	30.78	5.19	3.86	4.58	8.85	3.41	6.46	4.5	9.56	2.63	6.46	33.54	7.22	4.46	29.48	3.2	13.32	1.93	2.01	13.42	2.1	2.89	7.06	32.82	1.79	8.06	127.89	95.34	39.79	101.54	105.89	105.15	145.02	157.68	90.14	52.82	239.52	132.44	241.19	69.52	43.32	49.21	23.08	63.0	92.05	111.21	88.88	114.36	143.01
IFI16	1594.73	2956.17	4095.0	3820.7	5366.37	3742.05	2148.82	4358.66	1745.2	1378.57	2119.22	796.86	703.28	201.25	94.01	543.96	743.43	299.25	612.11	269.6	395.18	543.96	301.33	493.56	579.04	211.31	208.38	86.43	1167.14	91.41	144.01	283.05	323.03	152.28	389.72	183.82	921.88	341.51	417.77	57.49	159.9	967.76	325.29	65.26	295.11	264.03	148.09	295.11	295.11	234.57	152.28	493.56	981.29	860.08	127.0	1322.37	223.41	536.45	224.97	277.2	665.29	189.02	366.09	127.0	444.72	387.02	195.72	3103.19	1883.54	444.72	2319.15	1572.76	3235.01	3716.2	2434.5	2271.4	1167.14	3982.99	3039.3	7130.55	878.17	1674.06	915.51	1651.0	3039.3	5255.91	6652.97	5329.3	2915.45	3081.75
IGFBP6	5292.48	10659.59	4769.75	995.0	2468.49	6121.9	2047.0	995.0	3515.68	10585.95	2434.5	10225.32	1151.06	104.42	58.3	253.23	176.29	297.17	158.79	25.72	171.45	88.26	27.25	258.57	64.8	74.58	72.52	18.43	65.72	20.86	18.43	157.68	45.53	106.63	97.36	78.34	387.02	109.66	103.69	27.84	22.75	241.19	38.12	50.63	167.9	251.48	59.13	112.77	68.55	39.79	79.45	173.85	463.65	98.04	47.84	555.41	43.63	249.73	29.91	131.51	236.21	62.56	106.63	78.34	89.51	80.01	71.0	825.0	343.89	329.84	197.09	1857.6	842.36	470.14	2303.12	669.92	902.89	4639.29	1794.29	620.67	1745.2	223.41	1111.82	371.22	603.67	4903.87	493.56	1216.75	884.29	1369.04
IL12A	237.86	244.57	11.73	8.06	15.34	83.45	8.0	11.55	15.45	8.51	14.24	3.63	0.74	3.23	2.1	3.5	5.02	19.82	4.78	1.27	7.51	13.42	19.53	5.02	15.91	2.51	0.79	0.0	25.17	0.72	3.41	1.19	4.43	17.77	0.0	7.69	6.94	6.21	2.34	0.36	6.52	10.24	1.08	0.77	13.42	6.57	0.0	1.81	14.24	7.4	1.14	4.06	8.06	5.73	9.27	9.63	2.2	19.53	1.48	3.06	2.27	3.2	4.58	6.21	1.25	3.14	3.03	37.05	28.65	10.31	21.16	56.68	15.56	41.52	25.17	48.52	57.08	21.32	39.22	17.13	16.15	15.8	9.56	16.39	22.75	5.19	30.12	21.47	23.42	10.08
IL31RA	325.29	133.36	26.47	1.75	1.73	2.16	1.66	3.29	0.0	1.03	0.84	7.17	0.0	0.75	0.0	0.0	0.46	6.21	0.77	0.0	0.83	1.5	0.0	0.0	3.5	6.62	0.0	0.0	5.06	0.0	0.0	0.43	0.0	0.42	0.0	1.07	0.85	0.0	0.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.42	1.53	0.88	0.43	0.0	1.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.73	3.89	0.88	2.05	0.0	17.51	0.0	0.54	1.79	0.41	0.0	8.13	12.45	5.19	0.57	0.49	0.0	11.3	30.12	8.25	10.63	1.99	5.54
IMPDH1	3168.41	2645.74	1359.57	1991.0	1857.6	1923.14	1073.91	665.29	728.11	532.74	1233.75	723.08	718.08	78.89	37.05	218.79	165.57	860.08	293.07	85.22	275.28	137.14	58.71	264.03	177.53	53.19	80.57	122.64	420.68	28.65	54.72	567.1	144.01	48.87	113.56	59.97	289.02	217.27	142.01	23.42	116.78	325.29	764.36	35.76	373.81	791.35	104.42	100.13	115.16	172.65	66.65	503.95	327.56	91.41	102.25	603.67	135.24	169.07	102.97	89.51	267.73	34.51	88.88	102.97	145.02	72.01	62.56	1583.71	1359.57	629.35	848.22	1359.57	1167.14	2104.58	1023.0	1119.56	1991.0	1519.15	1369.04	748.61	490.14	3212.66	1721.16	567.1	1594.73	967.76	1572.76	3303.0	1135.2	1350.18
IQGAP1	2417.67	2701.35	2758.13	4181.07	4704.07	7803.01	3257.52	4358.66	1977.24	1721.16	2796.65	1111.82	571.05	202.66	103.69	563.18	381.68	351.14	470.14	305.55	389.72	466.88	162.14	287.01	341.51	187.71	229.72	176.29	890.44	101.54	139.07	334.46	265.87	169.07	229.72	146.03	890.44	555.41	312.0	164.42	156.59	775.05	273.37	104.42	307.69	149.12	205.5	211.31	170.25	273.37	198.47	361.04	733.19	297.17	277.2	1397.83	285.03	532.74	316.37	309.83	503.95	172.65	209.84	264.03	587.13	158.79	309.83	3372.43	3235.01	2627.46	4268.94	6164.49	3018.3	3081.75	5006.93	1781.89	3280.18	4802.93	4937.99	5147.73	4802.93	2451.44	3146.52	3039.3	3349.13	3928.15	2319.15	2701.35	3768.09	3874.05
