	GTEX.P4PP.0526.SM.2HMKE	GTEX.13D11.0326.SM.5LZXX	GTEX.O5YW.0526.SM.2YUMX	GTEX.ZZPU.0526.SM.5E44U	GTEX.QXCU.0626.SM.2TC69	GTEX.145LT.0326.SM.5LUAD	GTEX.13OVH.1026.SM.5J2NP	GTEX.P4QT.0526.SM.2I3EX	GTEX.ZT9X.0326.SM.51MTE	GTEX.SNOS.0426.SM.32PMH	GTEX.R55C.0526.SM.3GIKA	GTEX.S33H.0626.SM.2XCBJ	GTEX.14E7W.1326.SM.5RQIV	GTEX.R55G.0826.SM.2TC5U	GTEX.11EMC.0126.SM.5EGKV	GTEX.T6MO.0426.SM.32QOI	GTEX.1339X.0626.SM.5IJER	GTEX.13N1W.0726.SM.5MR57	GTEX.13VXU.2726.SM.5LU4N	GTEX.132QS.0726.SM.5IJE9	GTEX.UJHI.0726.SM.3DB92	GTEX.11TT1.1626.SM.5EQL7	GTEX.PLZ6.0426.SM.5IFK2	GTEX.S7SF.0426.SM.3K2B7	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZPIC.0626.SM.57WDY	GTEX.ZYWO.0826.SM.5E45W	GTEX.UPK5.1126.SM.3GAEJ	GTEX.Q2AI.0526.SM.2I3EJ	GTEX.1211K.0826.SM.5FQUP	GTEX.OXRL.0526.SM.2I3EZ	GTEX.XBED.0826.SM.47JYC	GTEX.QEG5.1126.SM.33HC2	GTEX.WYVS.0526.SM.3NM9W
TPRKB	476.71	1096.5	314.17	878.17	518.15	420.68	285.03	373.81	1331.57	607.87	1135.2	1104.13	289.02	698.41	414.87	974.5	392.44	435.55	353.59	507.46	521.76	595.34	1175.27	1697.45	395.18	743.43	830.75	1268.46	703.28	688.78	587.13	759.08	514.56	1073.91
TRAPPC3	1277.29	2417.67	1397.83	2209.26	921.88	1857.6	1159.07	1832.01	2240.11	2047.0	2835.7	2090.03	769.69	2367.9	1417.35	1662.49	1745.2	1397.83	698.41	1950.0	1572.76	2032.85	2816.11	2816.11	1417.35	1769.57	2400.97	2367.9	1936.53	2018.8	1437.15	1950.0	1277.29	2193.99
TSPAN31	1540.37	2104.58	1397.83	2193.99	395.18	1088.92	934.76	1295.13	1216.75	1388.16	2090.03	3039.3	728.11	1447.15	1594.73	2720.15	583.07	733.19	759.08	540.19	902.89	1551.09	2032.85	1540.37	1369.04	1883.54	1477.58	2367.9	1340.84	1417.35	1508.65	1745.2	1304.15	1242.34
TTC1	1167.14	1991.0	915.51	1594.73	638.15	1277.29	587.13	1088.92	2133.97	1529.73	1909.85	1697.45	329.84	1437.15	743.43	1651.0	1081.39	638.15	432.53	1242.34	1088.92	1583.71	1508.65	2178.83	921.88	1540.37	1745.2	1896.65	1662.49	1378.57	1159.07	1359.57	1167.14	1447.15
UBE2V2	915.51	1295.13	638.15	1143.1	607.87	842.36	466.88	599.49	1519.15	748.61	1651.0	1250.98	463.65	1175.27	723.08	1191.69	450.94	429.54	698.41	759.08	571.05	1111.82	1175.27	1832.01	514.56	1331.57	1233.75	1697.45	954.43	825.0	679.29	866.07	860.08	1733.13
UGP2	2119.22	2682.69	1721.16	2018.8	1008.9	2133.97	1519.15	1605.83	3103.19	1896.65	4152.18	2682.69	1216.75	2777.33	1508.65	3540.14	1605.83	974.5	1135.2	1304.15	1369.04	2502.97	2417.67	2758.13	1594.73	2090.03	2935.74	3564.78	2351.53	1844.76	1950.0	3018.3	2209.26	3280.18
VDAC3	1388.16	3443.31	575.03	3540.14	201.25	2240.11	854.13	2303.12	4095.0	2032.85	4450.27	2335.28	896.64	2520.38	1015.93	3303.0	1529.73	796.86	1233.75	1662.49	1819.35	2287.2	2777.33	4268.94	928.3	2351.53	3349.13	5711.87	2004.85	1685.71	1259.69	2485.67	1883.54	4639.29
VPS35	896.64	1191.69	1066.48	1030.12	633.73	941.27	339.14	896.64	1467.37	967.76	1277.29	1447.15	387.02	1340.84	384.34	1175.27	656.11	460.44	423.61	785.88	579.04	1059.11	764.36	1208.34	669.92	1199.98	1250.98	1551.09	1127.35	981.29	1066.48	1143.1	878.17	1794.29
VTA1	591.22	848.22	571.05	723.08	356.05	543.96	166.73	503.95	921.88	651.58	981.29	1199.98	190.34	884.29	241.19	836.53	316.37	218.79	208.38	591.22	339.14	708.18	708.18	890.44	376.41	743.43	848.22	1088.92	703.28	684.02	571.05	679.29	376.41	848.22
WDR92	100.13	185.11	129.69	193.01	46.5	94.01	59.97	131.51	153.34	136.19	163.28	183.82	41.22	172.65	60.82	142.01	125.24	75.11	56.28	96.01	132.44	111.99	164.42	154.42	108.9	172.65	169.07	204.07	131.51	111.99	165.57	136.19	75.64	169.07
ZCCHC17	665.29	884.29	521.76	1111.82	848.22	532.74	543.96	718.08	878.17	406.31	896.64	708.18	612.11	698.41	896.64	718.08	373.81	785.88	423.61	536.45	441.64	595.34	860.08	1143.1	521.76	1081.39	713.11	785.88	629.35	638.15	748.61	633.73	543.96	733.19
ZNF367	20.41	75.11	22.26	47.5	15.56	23.59	6.84	21.01	163.28	17.13	98.73	101.54	11.38	149.12	18.43	18.56	8.25	7.69	38.12	17.77	16.51	16.15	68.07	61.25	15.91	25.72	11.55	226.54	34.75	12.93	43.32	28.65	11.55	147.06
ZSCAN20	16.27	27.25	26.67	23.76	8.32	16.15	7.11	30.34	27.84	20.56	24.11	38.4	1.38	19.97	7.82	23.76	10.79	9.13	8.19	13.42	23.76	17.0	15.68	20.26	10.31	22.1	31.22	20.26	19.53	20.26	18.84	22.26	9.93	19.39
