	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.VS.A9U7.01A.11R.A42T.07	TCGA.C5.A1M5.01A.11R.A13Y.07	TCGA.C5.A1BL.01A.11R.A13Y.07	TCGA.ZJ.AAX4.01A.11R.A42T.07	TCGA.FU.A3WB.01A.11R.A22U.07	TCGA.VS.A957.01A.11R.A42T.07	TCGA.MY.A5BD.01A.11R.A26T.07	TCGA.C5.A1BI.01B.11R.A13Y.07	TCGA.EA.A1QT.01A.11R.A14Y.07	TCGA.VS.A8QM.01A.11R.A37O.07	TCGA.VS.A9UV.01A.11R.A42T.07	TCGA.VS.A8EG.01A.11R.A36F.07	TCGA.LN.A49S.01A.11R.A24K.31	TCGA.JY.A6FA.01A.11R.A336.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.JY.A6FG.01A.11R.A336.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.VR.A8ET.01A.11R.A406.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.VR.A8EX.01A.11R.A36D.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.ZLV1.0526.SM.4WWD4	GTEX.ZTSS.0626.SM.59867	GTEX.XBEW.1326.SM.4AT63	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.7411.01A.11R.2081.07	GTEX.13O3O.1826.SM.5IFGW	GTEX.11ZTS.3026.SM.5EQM7	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
RFC4	497.0	291.04	2758.13	3540.14	2935.74	1529.73	2875.3	3690.52	4607.24	2573.36	2520.38	1674.06	3190.46	2178.83	1119.56	2255.7	575.03	684.02	460.44	842.36	529.06	872.1	514.56	708.18	1143.1	223.41	113.56	148.09	226.54	145.02	197.09	111.21	221.86	191.67	258.57	182.55	314.17
RFC5	389.72	212.78	1233.75	878.17	775.05	718.08	1259.69	934.76	1572.76	808.0	1096.5	603.67	896.64	813.63	373.81	723.08	246.28	323.03	162.14	293.07	147.06	334.46	215.77	318.57	379.04	204.07	131.51	182.55	185.11	117.6	206.94	33.54	441.64	269.6	299.25	226.54	177.53
RIPPLY3	14.35	34.26	48.18	189.02	6.94	14.78	45.85	38.95	236.21	67.59	10.63	52.08	66.65	59.55	17.25	7.46	7.0	4.24	0.0	2.18	4.82	11.64	5.28	35.5	9.06	3.99	2.23	1.38	2.2	0.44	2.27	2.78	15.8	8.51	7.46	0.48	0.58
RNASEH2A	1259.69	363.56	2520.38	3103.19	1709.26	2119.22	2720.15	2417.67	3665.02	2148.82	3039.3	1721.16	3124.78	2148.82	1359.57	981.29	429.54	819.3	301.33	854.13	234.57	373.81	281.09	529.06	1167.14	420.68	159.9	170.25	303.44	176.29	473.41	51.71	1001.93	583.07	507.46	607.87	547.75
RNASEH2B	251.48	389.72	1268.46	1242.34	612.11	759.08	1167.14	708.18	1135.2	698.41	713.11	759.08	1051.79	802.41	559.28	389.72	703.28	351.14	351.14	476.71	400.71	660.68	334.46	348.71	525.39	400.71	251.48	299.25	309.83	173.85	237.86	214.27	432.53	476.71	409.15	392.44	551.56
RPL39L	708.18	909.17	3395.89	2367.9	4038.61	753.83	2335.28	1936.53	5112.16	884.29	529.06	1369.04	1950.0	1651.0	603.67	1572.76	334.46	890.44	559.28	954.43	525.39	603.67	389.72	559.28	854.13	232.94	41.22	64.8	236.21	144.01	43.94	0.97	49.91	82.29	135.24	111.99	72.01
RPP30	629.35	854.13	1561.89	1447.15	988.12	988.12	1561.89	1277.29	1572.76	1199.98	1498.22	1023.0	1322.37	1023.0	1015.93	514.56	733.19	579.04	511.0	902.89	769.69	928.3	728.11	684.02	796.86	660.68	392.44	429.54	432.53	444.72	543.96	358.54	529.06	529.06	376.41	616.37	660.68
S100A9	4.94682652E7	1.689390977E7	971597.0	256748.15	731246.37	716197.51	43537.38	241220.67	1369.04	1800541.22	191899.64	453265.5	857631.47	668235.84	5345893.74	3651352.71	6490957.04	4165330.83	9372482.82	4312220.94	4165330.83	3576208.94	9503317.82	7353500.77	2884719.27	1.047175463E7	539026.74	668235.84	447025.24	1656835.72	1019901.63	7485.11	6956835.58	3502611.6	6956835.58	5972898.43	8805660.77
SNRNP40	476.71	769.69	1378.57	1143.1	1437.15	1143.1	1407.55	1417.35	1540.37	1119.56	1745.2	1135.2	1388.16	1697.45	848.22	1111.82	728.11	967.76	563.18	780.44	547.75	848.22	603.67	884.29	909.17	532.74	353.59	490.14	511.0	429.54	551.56	490.14	878.17	633.73	934.76	723.08	921.88
STMN1	6699.25	2255.7	15824.9	25708.25	10659.59	20881.4	29736.59	20030.74	26248.46	12415.75	14971.21	11745.96	20310.37	19214.73	6037.61	6652.97	2384.37	3768.09	1529.73	5517.27	1561.89	5913.33	3060.45	2417.67	8538.88	2148.82	934.76	813.63	1467.37	693.58	1745.2	126.12	5594.3	4152.18	4639.29	3395.89	5791.62
TAF5	54.72	35.0	89.51	107.38	91.41	69.03	97.36	82.87	135.24	120.94	121.79	71.5	143.01	81.71	98.73	65.72	63.89	74.06	54.33	50.27	52.45	64.34	52.08	87.65	62.12	44.25	43.94	35.0	40.36	33.06	28.45	12.36	40.64	49.56	37.59	39.22	58.71
TCF19	599.49	336.79	1551.09	1733.13	1096.5	878.17	1216.75	1073.91	1857.6	1199.98	878.17	753.83	1806.78	1583.71	273.37	521.76	295.11	189.02	66.18	414.87	45.53	220.32	193.01	189.02	314.17	295.11	139.07	204.07	177.53	82.87	172.65	6.16	941.27	447.82	389.72	379.04	450.94
TEX30	126.12	115.16	1001.93	521.76	947.83	353.59	1104.13	660.68	753.83	854.13	1286.18	444.72	860.08	785.88	285.03	275.28	223.41	341.51	156.59	193.01	281.09	316.37	161.02	253.23	198.47	148.09	123.5	92.7	155.5	124.37	117.6	279.14	329.84	185.11	166.73	197.09	346.29
TIMELESS	579.04	185.11	1023.0	1487.87	941.27	1008.9	1540.37	1508.65	1896.65	866.07	1081.39	748.61	1199.98	1199.98	318.57	708.18	253.23	318.57	76.71	248.0	96.01	532.74	182.55	325.29	423.61	224.97	132.44	127.89	169.07	114.36	148.09	46.5	540.19	244.57	228.13	287.01	226.54
TK1	2976.74	351.14	4639.29	6079.61	2720.15	1437.15	3874.05	3349.13	4972.34	2758.13	2796.65	2400.97	5751.61	3212.66	1950.0	4607.24	1037.29	1572.76	307.69	2682.69	738.29	1844.76	656.11	1277.29	1617.0	708.18	113.56	156.59	363.56	273.37	890.44	96.01	2287.2	1277.29	1135.2	988.12	1066.48
TMEM39B	295.11	381.68	633.73	629.35	351.14	490.14	595.34	514.56	567.1	463.65	587.13	514.56	490.14	769.69	361.04	406.31	356.05	312.0	312.0	454.09	205.5	457.25	307.69	444.72	423.61	334.46	218.79	217.27	273.37	111.99	158.79	334.46	363.56	376.41	429.54	291.04	329.84
TMEM44	109.66	205.5	674.59	896.64	249.73	438.59	743.43	1143.1	1487.87	559.28	1051.79	529.06	693.58	866.07	190.34	954.43	262.2	256.78	205.5	295.11	215.77	162.14	269.6	414.87	265.87	154.42	209.84	158.79	253.23	107.38	108.14	26.1	66.18	143.01	70.01	55.89	64.34
TRA2B	2224.63	1757.34	3955.48	4769.75	3614.55	2895.31	4736.79	4152.18	4481.23	4152.18	5219.6	3190.46	4123.49	4972.34	2935.74	3690.52	2485.67	2645.74	1617.0	2520.38	1909.85	2451.44	2104.58	2193.99	3018.3	1883.54	1322.37	1883.54	1781.89	1286.18	1617.0	1844.76	2193.99	2287.2	1477.58	1498.22	2555.58
UBE2T	521.76	152.28	934.76	1340.84	1651.0	1216.75	2287.2	1617.0	1769.57	1896.65	2047.0	884.29	2758.13	1540.37	521.76	1225.22	189.02	412.0	138.1	239.52	293.07	571.05	149.12	400.71	842.36	194.36	103.69	99.43	146.03	111.99	148.09	7.17	651.58	356.05	366.09	265.87	551.56
USP1	356.05	309.83	825.0	1127.35	941.27	708.18	1151.06	1059.11	1037.29	848.22	915.51	785.88	1008.9	1199.98	463.65	547.75	339.14	332.14	215.77	358.54	329.84	532.74	303.44	384.34	409.15	236.21	226.54	255.0	237.86	180.02	218.79	93.35	400.71	387.02	253.23	346.29	518.15
VBP1	679.29	759.08	2163.77	1721.16	2224.63	1159.07	1427.22	1096.5	2193.99	1844.76	1286.18	1233.75	1477.58	1794.29	974.5	1417.35	713.11	967.76	802.41	743.43	928.3	1104.13	733.19	738.29	890.44	511.0	454.09	642.59	616.37	441.64	587.13	251.48	981.29	872.1	780.44	921.88	1331.57
VMA21	244.57	327.56	547.75	543.96	764.36	473.41	417.77	376.41	679.29	543.96	476.71	384.34	392.44	624.99	406.31	647.07	211.31	299.25	236.21	318.57	316.37	376.41	251.48	220.32	316.37	164.42	202.66	241.19	172.65	173.85	229.72	127.89	295.11	242.88	223.41	285.03	363.56
VRK1	432.53	146.03	406.31	961.07	961.07	665.29	1191.69	723.08	387.02	693.58	1096.5	412.0	753.83	497.0	275.28	232.94	148.09	253.23	42.11	177.53	133.36	239.52	114.36	193.01	358.54	104.42	149.12	189.02	198.47	98.73	141.02	70.01	429.54	417.77	273.37	447.82	348.71
WDHD1	187.71	100.83	275.28	432.53	587.13	507.46	575.03	450.94	397.93	450.94	463.65	279.14	366.09	426.57	186.4	323.03	75.11	153.34	37.59	109.66	121.79	295.11	76.17	81.14	143.01	52.08	23.25	37.32	48.52	42.11	74.06	21.47	264.03	76.71	94.01	116.78	145.02
WDR34	2701.35	1674.06	4210.15	2895.31	2796.65	1709.26	3467.27	3955.48	5329.3	2224.63	2682.69	2163.77	3235.01	2875.3	1135.2	1313.23	1242.34	842.36	769.69	1519.15	591.22	1066.48	1001.93	1721.16	1277.29	825.0	813.63	674.59	896.64	486.75	507.46	329.84	1111.82	1191.69	356.05	1015.93	518.15
YBX2	120.94	38.67	693.58	236.21	264.03	220.32	961.07	460.44	1199.98	343.89	221.86	309.83	218.79	547.75	157.68	209.84	85.82	15.45	13.52	50.27	19.97	129.69	136.19	137.14	246.28	88.26	59.55	63.89	136.19	0.0	4.21	15.91	23.08	190.34	30.56	61.25	81.71
ZNF367	438.59	41.52	194.36	392.44	217.27	175.07	332.14	334.46	262.2	267.73	258.57	195.72	376.41	271.48	74.58	253.23	46.5	39.79	10.63	55.1	36.79	59.55	43.94	77.25	54.33	28.45	16.15	23.42	21.63	17.64	22.26	387.02	237.86	77.79	92.05	88.26	105.89
