	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.VS.A8QM.01A.11R.A37O.07	TCGA.LN.A7HY.01A.12R.A354.31	TCGA.L5.A88S.01A.11R.A36D.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.Y111.1826.SM.4SOIR	GTEX.11OF3.2326.SM.5GU73	GTEX.12KS4.0926.SM.5BC5S	GTEX.X585.1226.SM.46MW7	GTEX.PSDG.1326.SM.48TD2	GTEX.ZAB4.1126.SM.5HL86	GTEX.N7MT.0326.SM.48TDP	GTEX.PLZ5.0926.SM.3TW8L	GTEX.ZYY3.1526.SM.5SIA9	GTEX.Y111.1726.SM.4SOIQ	GTEX.RNOR.1326.SM.48FDE	GTEX.YECK.1726.SM.5IFI3	TCGA.CV.7183.01A.11R.2016.07	TCGA.H7.7774.01A.21R.2081.07	TCGA.CV.A6K0.01B.21R.A31N.07	TCGA.CV.7252.11A.01R.2016.07	TCGA.CV.6943.11A.01R.1915.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.CV.7177.11A.01R.2016.07	TCGA.CV.7437.11A.01R.2132.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	GTEX.V1D1.0926.SM.4JBHQ
SPIN2B	79.45	211.31	356.05	187.71	138.1	156.59	144.01	144.01	176.29	490.14	480.04	291.04	332.14	151.22	220.32	198.47	172.65	220.32	490.14	441.64	444.72	44.25	150.17	125.24	111.21	124.37	102.25	95.34	120.1	0.0	0.41	119.26	57.49	83.45	71.0	53.95	79.45	48.87	368.65
STX16	583.07	890.44	2451.44	1051.79	1081.39	1540.37	1199.98	954.43	988.12	2303.12	1936.53	1369.04	1639.59	1151.06	1540.37	1268.46	1225.22	1225.22	2384.37	2434.5	2335.28	283.05	395.18	915.51	607.87	529.06	249.73	476.71	417.77	878.17	371.22	178.77	395.18	460.44	353.59	334.46	287.01	214.27	1519.15
SUGP2	379.04	703.28	1397.83	866.07	1001.93	866.07	743.43	878.17	954.43	2178.83	2502.97	1008.9	1617.0	1127.35	1175.27	1340.84	813.63	1044.52	2303.12	2148.82	1857.6	176.29	217.27	785.88	473.41	325.29	137.14	450.94	395.18	0.0	1.25	106.63	249.73	351.14	244.57	166.73	189.02	202.66	2148.82
TBRG1	186.4	460.44	1008.9	473.41	470.14	511.0	348.71	432.53	473.41	981.29	967.76	848.22	728.11	860.08	718.08	693.58	559.28	555.41	995.0	921.88	947.83	248.0	267.73	567.1	423.61	381.68	363.56	417.77	376.41	329.84	118.43	232.94	253.23	279.14	293.07	205.5	170.25	197.09	941.27
TDRP	9.78	63.0	327.56	80.57	66.65	76.17	102.97	67.59	65.26	281.09	320.8	125.24	713.11	100.83	105.89	104.42	92.05	234.57	239.52	412.0	332.14	152.28	154.42	77.79	106.63	100.83	23.25	46.18	29.91	0.0	0.57	13.32	10.63	92.05	28.04	37.32	12.74	12.36	1066.48
TK2	163.28	314.17	432.53	366.09	305.55	348.71	218.79	175.07	293.07	656.11	669.92	373.81	429.54	343.89	341.51	435.55	400.71	346.29	540.19	638.15	674.59	112.77	96.01	281.09	269.6	209.84	173.85	232.94	232.94	267.73	204.07	297.17	124.37	55.49	206.94	277.2	156.59	151.22	854.13
TLE6	11.55	55.1	149.12	22.75	16.15	30.78	23.93	10.88	25.35	67.12	97.36	28.04	96.68	51.35	56.68	49.56	37.85	139.07	51.71	11.55	21.16	5.32	5.23	20.26	24.46	18.03	10.24	12.64	21.01	0.0	0.35	10.71	3.0	61.68	20.26	4.86	12.0	3.79	688.78
TMCO6	217.27	409.15	748.61	500.46	457.25	417.77	389.72	447.82	441.64	403.5	323.03	463.65	551.56	629.35	647.07	525.39	490.14	651.58	483.38	521.76	339.14	124.37	164.42	267.73	136.19	132.44	129.69	195.72	226.54	0.0	0.33	114.36	94.01	155.5	242.88	78.89	131.51	90.14	480.04
TPRA1	599.49	941.27	1769.57	825.0	656.11	679.29	665.29	660.68	723.08	1104.13	1030.12	543.96	909.17	708.18	698.41	713.11	616.37	629.35	1023.0	941.27	1030.12	532.74	616.37	543.96	567.1	532.74	551.56	514.56	540.19	0.0	0.75	473.41	312.0	563.18	629.35	414.87	638.15	656.11	902.89
TTLL3	226.54	389.72	1143.1	497.0	579.04	497.0	607.87	420.68	529.06	3257.52	3039.3	1208.34	2061.24	902.89	1883.54	1540.37	579.04	1066.48	3280.18	2796.65	3847.29	38.95	44.57	316.37	256.78	117.6	49.91	120.1	139.07	0.0	1.08	11.3	123.5	80.57	98.73	43.94	39.79	24.11	1617.0
UCKL1	718.08	995.0	2367.9	1388.16	1447.15	1427.22	1407.55	1277.29	1447.15	2224.63	2032.85	1709.26	1844.76	1359.57	1709.26	1870.53	1135.2	1119.56	2417.67	2075.59	2271.4	323.03	346.29	764.36	728.11	629.35	547.75	638.15	612.11	1111.82	567.1	246.28	723.08	612.11	723.08	473.41	571.05	470.14	1437.15
VPS54	180.02	358.54	638.15	297.17	373.81	420.68	409.15	361.04	334.46	587.13	555.41	563.18	450.94	420.68	358.54	412.0	316.37	389.72	620.67	444.72	466.88	232.94	232.94	343.89	392.44	363.56	226.54	339.14	309.83	0.0	0.74	205.5	228.13	143.01	226.54	249.73	260.38	264.03	500.46
ZBTB26	35.5	84.04	128.79	68.07	65.26	105.15	67.12	71.5	52.45	167.9	180.02	98.04	143.01	85.82	135.24	111.99	111.21	119.26	171.45	178.77	151.22	16.03	27.84	68.55	48.87	41.52	29.7	48.18	37.85	0.0	0.45	19.82	20.56	21.32	41.22	21.94	21.63	17.64	220.32
ZNF135	14.89	37.32	178.77	45.53	32.82	26.1	35.76	14.35	55.1	197.09	201.25	73.03	83.45	35.5	39.5	71.0	38.12	63.89	246.28	176.29	187.71	2.16	2.14	31.9	28.86	25.35	11.3	15.34	13.03	0.0	0.38	6.89	9.7	7.17	36.01	24.11	8.51	7.57	343.89
ZNF354B	91.41	221.86	343.89	197.09	167.9	154.42	151.22	114.36	170.25	457.25	400.71	258.57	397.93	356.05	289.02	281.09	241.19	316.37	518.15	518.15	457.25	18.16	34.02	167.9	115.16	105.89	58.71	65.26	66.18	0.0	0.91	15.45	15.8	59.13	48.52	34.26	29.48	20.86	429.54
ZNF419	15.56	80.57	309.83	180.02	103.69	109.66	108.9	111.99	104.42	275.28	289.02	127.0	231.32	66.18	134.3	212.78	77.79	110.43	283.05	312.0	209.84	43.94	41.52	145.02	74.06	75.11	68.55	65.26	88.88	97.36	80.01	34.75	29.7	21.63	38.12	31.67	53.95	33.54	406.31
ZNF529	12.09	99.43	234.57	128.79	96.01	100.83	77.79	79.45	91.41	371.22	301.33	180.02	129.69	90.14	115.16	110.43	87.65	115.16	341.51	441.64	334.46	26.28	21.16	105.89	84.04	68.55	36.27	54.72	39.79	0.0	0.68	15.34	34.51	43.02	32.36	29.27	24.63	12.27	373.81
ZNF638	1143.1	1757.34	2956.17	1175.27	1233.75	1757.34	1508.65	1529.73	1295.13	3018.3	3257.52	2047.0	2485.67	1923.14	1628.26	1733.13	1467.37	2047.0	2997.45	2451.44	2645.74	796.86	796.86	1697.45	1427.22	1340.84	679.29	1225.22	1277.29	0.0	0.84	583.07	785.88	941.27	909.17	642.59	802.41	872.1	2915.45
ZSCAN18	65.72	500.46	1551.09	713.11	563.18	312.0	414.87	260.38	928.3	3639.7	2895.31	967.76	1417.35	579.04	693.58	1096.5	587.13	808.0	4010.71	3190.46	3515.68	56.28	34.51	343.89	518.15	409.15	158.79	301.33	432.53	0.0	0.92	41.52	105.15	825.0	332.14	164.42	110.43	100.83	3395.89
