	TCGA.AR.A0TY.01A.12R.A115.07	GTEX.T6MO.1426.SM.4DM73	TCGA.BP.4760.01A.02R.1420.07	TCGA.BP.4795.01A.02R.1420.07	TCGA.B4.5378.01A.01R.1503.07	TCGA.DV.5567.01A.01R.1541.07	TCGA.BP.4784.01A.01R.1305.07	TCGA.DV.5576.01A.01R.1541.07	TCGA.B2.5636.01A.02R.1541.07	TCGA.BP.4769.01A.01R.1289.07	TCGA.BP.4177.01A.02R.1420.07	TCGA.2Z.A9JJ.01A.11R.A42S.07	TCGA.A4.7828.01A.11R.2139.07	TCGA.5P.A9KF.01A.11R.A42S.07	TCGA.IA.A83T.01A.11R.A355.07	GTEX.PX3G.0826.SM.48TZS	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.QV44.0326.SM.4R1KD	GTEX.14E1K.0326.SM.5S2PE	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.1212Z.0226.SM.59HLF	GTEX.R53T.0326.SM.48FEC	TCGA.38.4625.01A.01R.1206.07	TCGA.EM.A3AN.01A.11R.A206.07	TCGA.EL.A3CP.01A.11R.A19O.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.DJ.A3UU.01A.11R.A22L.07	GTEX.13FH7.0126.SM.5KLZ1	GTEX.13N11.1026.SM.5K7XQ	GTEX.132AR.1126.SM.5P9GA	GTEX.11TT1.1126.SM.5P9GV
PTP4A3	271.48	265.87	1427.22	1721.16	1437.15	1540.37	3018.3	2148.82	1359.57	4298.64	1242.34	307.69	2119.22	540.19	373.81	110.43	34.26	35.5	89.51	26.1	47.17	92.05	102.25	20.26	0.0	1639.59	1250.98	2351.53	1467.37	651.58	373.81	470.14	1104.13
PTPRB	74.06	209.84	669.92	1259.69	1794.29	743.43	759.08	808.0	1909.85	470.14	684.02	49.21	536.45	12.09	28.04	79.45	50.27	102.97	84.04	83.45	108.9	343.89	148.09	100.83	0.0	187.71	287.01	301.33	237.86	346.29	255.0	123.5	167.9
RAB12	476.71	559.28	928.3	974.5	878.17	759.08	947.83	974.5	941.27	1369.04	1088.92	450.94	1023.0	486.75	532.74	392.44	603.67	679.29	412.0	486.75	400.71	547.75	518.15	426.57	603.67	808.0	698.41	500.46	507.46	543.96	884.29	420.68	414.87
RAMP3	287.01	1304.15	2004.85	3372.43	2468.49	2400.97	3146.52	3103.19	5751.61	2976.74	2520.38	170.25	3614.55	98.04	384.34	1605.83	165.57	1950.0	928.3	866.07	567.1	2609.3	941.27	1037.29	0.0	473.41	1119.56	995.0	1088.92	674.59	1037.29	860.08	1407.55
RFX8	7.75	7.11	10.24	16.03	26.47	18.84	14.35	17.25	36.27	17.38	15.68	2.25	17.25	1.31	0.0	5.02	1.69	1.13	2.03	1.06	1.43	5.54	2.94	0.0	0.0	35.5	13.72	17.25	5.06	9.41	8.71	4.7	5.23
RGS5	1572.76	1896.65	60304.42	66449.85	102836.01	51062.33	35118.87	27745.15	56657.31	76330.98	30572.63	543.96	41763.8	147.06	144.01	157.68	148.09	159.9	221.86	214.27	209.84	229.72	346.29	151.22	698.41	6652.97	5872.48	7180.15	4152.18	1088.92	1561.89	633.73	1331.57
RLF	156.59	138.1	361.04	155.5	381.68	371.22	251.48	303.44	307.69	264.03	181.28	136.19	156.59	81.71	28.04	45.21	63.89	53.95	76.17	58.3	37.85	61.25	96.01	58.71	0.0	117.6	162.14	103.69	123.5	133.36	166.73	143.01	90.77
ROBO4	144.01	277.2	884.29	1540.37	995.0	693.58	1073.91	1044.52	2335.28	688.78	825.0	41.81	813.63	23.08	102.97	186.4	59.55	253.23	98.04	100.13	182.55	397.93	125.24	95.34	0.0	361.04	318.57	441.64	260.38	387.02	387.02	161.02	633.73
ROCK2	361.04	234.57	339.14	476.71	406.31	339.14	358.54	320.8	507.46	463.65	279.14	217.27	289.02	128.79	40.07	63.45	87.65	154.42	176.29	159.9	134.3	117.6	121.79	133.36	149.12	177.53	232.94	156.59	186.4	283.05	186.4	173.85	320.8
RP11-404P21.8	2.89	0.0	112.77	73.54	20.56	55.49	57.89	72.52	56.28	94.67	45.53	5.63	79.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	3.59	7.88	3.2	0.0	0.0	5.68
S1PR1	275.28	698.41	1119.56	1844.76	2434.5	2148.82	2591.27	1857.6	2835.7	1331.57	1167.14	87.03	1540.37	23.59	171.45	334.46	248.0	753.83	218.79	258.57	463.65	563.18	237.86	177.53	0.0	563.18	429.54	738.29	583.07	896.64	392.44	583.07	909.17
SCD5	32.59	728.11	4736.79	3212.66	4298.64	5711.87	3491.39	4038.61	3665.02	2520.38	5633.22	579.04	2351.53	13.72	63.89	46.84	21.47	53.95	55.89	14.89	105.89	75.11	96.68	18.97	0.0	1977.24	2434.5	1819.35	1923.14	647.07	1322.37	775.05	808.0
SEMA3G	113.56	153.34	223.41	708.18	273.37	480.04	480.04	493.56	866.07	470.14	273.37	36.79	441.64	9.2	48.87	14.56	8.06	9.06	59.55	9.93	38.4	59.55	29.27	22.43	0.0	70.01	153.34	260.38	100.83	147.06	116.78	99.43	215.77
SLC7A1	21.16	244.57	3060.45	1175.27	1487.87	3419.52	2591.27	3103.19	2193.99	2520.38	1781.89	269.6	1950.0	56.68	73.03	3.92	4.46	4.9	15.8	8.65	5.77	11.73	6.16	7.22	194.36	78.89	169.07	108.14	117.6	921.88	65.26	417.77	138.1
SYNPO	299.25	450.94	2400.97	4123.49	3901.01	5292.48	3491.39	5594.3	5517.27	3742.05	2163.77	723.08	3257.52	40.07	249.73	1498.22	629.35	878.17	567.1	334.46	1487.87	490.14	579.04	1159.07	358.54	890.44	1250.98	1167.14	1199.98	902.89	285.03	748.61	974.5
TBXA2R	43.02	48.18	182.55	258.57	177.53	140.04	392.44	198.47	376.41	244.57	201.25	13.32	153.34	6.16	31.45	118.43	82.29	167.9	118.43	120.94	156.59	186.4	88.26	77.79	0.0	43.32	59.13	79.45	60.82	50.27	47.84	36.79	92.05
TMEM204	265.87	1950.0	2090.03	2434.5	3419.52	1322.37	3768.09	2384.37	3190.46	1806.78	1909.85	262.2	1605.83	63.45	134.3	161.02	94.67	205.5	262.2	158.79	275.28	327.56	180.02	144.01	0.0	748.61	559.28	1008.9	909.17	791.35	718.08	429.54	1037.29
UNC5B	175.07	208.38	988.12	1359.57	1208.34	1977.24	1529.73	1159.07	941.27	1081.39	466.88	214.27	1277.29	27.64	38.67	63.45	25.17	36.79	89.51	14.89	49.91	27.44	14.78	25.54	0.0	435.55	395.18	454.09	389.72	105.89	33.54	63.45	68.07
VAMP3	928.3	1781.89	2935.74	2956.17	2777.33	2367.9	2645.74	2417.67	2537.92	2537.92	2133.97	2255.7	2287.2	1119.56	1594.73	629.35	748.61	1477.58	1059.11	825.0	1350.18	1159.07	909.17	791.35	1487.87	1639.59	2468.49	1781.89	2104.58	1457.23	1628.26	1388.16	1313.23
ZNF44	406.31	204.07	616.37	406.31	525.39	490.14	429.54	540.19	595.34	583.07	651.58	267.73	642.59	246.28	59.55	98.73	99.43	78.34	81.71	92.05	88.88	113.56	208.38	75.64	0.0	171.45	273.37	199.85	301.33	275.28	312.0	441.64	285.03
