	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.FU.A3WB.01A.11R.A22U.07	TCGA.C5.A1BI.01B.11R.A13Y.07	TCGA.G4.6321.01A.11R.1723.07	TCGA.XP.A8T8.01A.11R.A36D.31	TCGA.R6.A6L4.01A.11R.A31P.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.JY.A6FG.01A.11R.A336.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.VR.A8EU.01A.11R.A36D.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.R55G.1026.SM.48FDI	GTEX.ZF29.1326.SM.4WWB6	GTEX.XGQ4.1526.SM.4AT6H	GTEX.RU72.0726.SM.46MUW	GTEX.ZLV1.0526.SM.4WWD4	GTEX.T6MO.0526.SM.4DM6R	GTEX.R55C.0826.SM.48FCL	GTEX.11P7K.1326.SM.5BC5G	GTEX.14H4A.1626.SM.5SI69	GTEX.REY6.1326.SM.48FDO	GTEX.11LCK.1726.SM.5S2OQ	GTEX.1399R.0826.SM.5IJEL	GTEX.S4Q7.0626.SM.4AD5M	GTEX.13OVI.2626.SM.5KM4T	GTEX.WFG8.1226.SM.4V6EI	GTEX.TML8.1526.SM.4DXUX	GTEX.ZG7Y.1126.SM.4WWEZ	GTEX.139YR.1726.SM.5IFFK	GTEX.QV44.1126.SM.4R1KO	GTEX.XMK1.1326.SM.4B65Q	GTEX.PWCY.0726.SM.48TCS	GTEX.VUSG.1226.SM.4KKZF	GTEX.OXRN.1726.SM.3NM9B	GTEX.Y8E4.1726.SM.5LU9G	GTEX.OIZG.1026.SM.3LK5X	GTEX.X4XY.1726.SM.46MVO	GTEX.14AS3.0626.SM.5QGQD	GTEX.133LE.0626.SM.5IFFJ	GTEX.132AR.2226.SM.5J2NT	GTEX.13OVG.0626.SM.5IFEP	TCGA.CV.7252.11A.01R.2016.07	TCGA.CV.6943.11A.01R.1915.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.CV.7177.11A.01R.2016.07	TCGA.CV.7437.11A.01R.2132.07	GTEX.11O72.1326.SM.5BC5A	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
DEPDC1	141.02	305.55	277.2	5.77	75.11	79.45	8.06	1.43	105.89	13.32	104.42	185.11	17.25	12.27	5.36	154.42	45.53	72.52	33.06	161.02	293.07	29.7	60.82	26.86	47.5	23.25	54.72	109.66	69.52	12.18	38.95	83.45	24.81	63.0	68.07	111.21	111.99	43.94	74.58	31.0	172.65	48.18	31.0	74.58	309.83	33.54	91.41	77.79	40.93	140.04	90.14	100.13	2.23	167.9	166.73	45.85	116.78	109.66	58.3	165.57
DEPDC1B	170.25	444.72	185.11	5.96	198.47	107.38	9.63	2.61	33.78	9.56	33.78	119.26	10.39	13.93	27.05	251.48	26.86	64.8	48.87	139.07	228.13	25.72	41.52	45.21	40.64	42.11	15.8	134.3	42.11	15.8	44.25	96.68	22.59	49.91	65.26	66.18	128.79	35.25	59.55	39.79	137.14	29.91	27.05	61.25	256.78	14.14	87.03	80.57	71.5	86.43	92.7	95.34	2.58	123.5	178.77	84.04	113.56	100.13	55.1	132.44
DLGAP5	209.84	684.02	651.58	0.57	607.87	105.89	14.24	3.56	86.43	57.89	162.14	102.25	12.45	21.94	15.11	325.29	99.43	112.77	81.71	334.46	429.54	42.71	117.6	77.25	55.89	74.06	70.01	256.78	93.35	17.77	70.51	211.31	57.49	118.43	99.43	165.57	253.23	75.11	105.15	31.45	309.83	101.54	29.7	147.06	629.35	32.36	186.4	152.28	141.02	171.45	218.79	253.23	7.0	293.07	329.84	115.16	260.38	234.57	136.19	279.14
DNMT1	866.07	2915.45	2104.58	432.53	1977.24	1277.29	1119.56	708.18	1561.89	1295.13	1378.57	1806.78	988.12	1233.75	1059.11	2520.38	796.86	674.59	624.99	1896.65	2224.63	400.71	728.11	909.17	587.13	616.37	884.29	1427.22	674.59	660.68	607.87	1322.37	514.56	884.29	759.08	825.0	1594.73	743.43	995.0	679.29	1340.84	665.29	612.11	813.63	2224.63	480.04	1066.48	967.76	651.58	224.97	713.11	928.3	591.22	638.15	1331.57	1111.82	603.67	555.41	629.35	529.06
DTL	305.55	583.07	532.74	2.05	748.61	155.5	17.51	4.7	87.03	21.32	116.78	358.54	16.51	22.59	11.21	198.47	31.9	38.95	35.5	150.17	220.32	7.51	54.72	24.28	40.93	44.89	16.88	121.79	42.71	14.35	39.5	97.36	32.82	47.84	84.63	69.03	116.78	53.57	53.57	33.3	162.14	51.35	14.56	37.32	236.21	32.36	77.25	103.69	81.14	53.95	74.58	84.04	24.63	124.37	221.86	59.13	115.97	120.94	128.79	81.14
DTYMK	748.61	1167.14	759.08	229.72	1794.29	909.17	555.41	529.06	503.95	1037.29	713.11	967.76	403.5	961.07	656.11	1088.92	363.56	351.14	334.46	860.08	1066.48	273.37	403.5	441.64	341.51	202.66	460.44	802.41	417.77	246.28	269.6	638.15	348.71	511.0	473.41	521.76	974.5	423.61	603.67	426.57	748.61	414.87	460.44	441.64	995.0	441.64	532.74	518.15	543.96	915.51	486.75	769.69	157.68	934.76	813.63	651.58	665.29	612.11	620.67	441.64
E2F1	373.81	780.44	450.94	50.63	426.57	244.57	154.42	50.63	381.68	392.44	111.99	303.44	78.34	269.6	107.38	273.37	111.99	73.03	100.83	237.86	295.11	59.97	111.21	116.78	64.8	69.52	81.71	132.44	122.64	58.71	90.77	156.59	46.84	147.06	93.35	94.01	209.84	115.16	115.97	114.36	183.82	121.79	59.55	81.14	223.41	49.91	140.04	111.99	51.71	41.22	84.63	114.36	19.11	129.69	281.09	48.18	98.73	145.02	153.34	114.36
ERCC6L	21.63	128.79	116.78	5.19	127.89	69.52	12.09	1.46	82.87	14.14	18.7	87.03	16.63	23.25	8.92	145.02	15.45	33.54	19.68	89.51	91.41	8.38	25.91	12.0	19.82	15.91	16.88	61.68	23.08	7.82	18.29	50.63	17.25	24.46	28.24	28.86	52.82	19.25	28.65	10.24	71.0	19.53	7.94	26.1	132.44	11.3	42.41	35.0	33.78	24.11	41.22	60.39	2.43	61.68	83.45	51.35	55.1	50.27	18.29	67.12
EXO1	135.24	336.79	323.03	4.17	543.96	173.85	30.56	2.89	62.12	33.06	83.45	201.25	14.67	41.81	14.67	170.25	23.76	36.01	46.5	141.02	175.07	15.91	42.11	22.43	37.85	47.84	21.16	127.0	48.87	13.93	37.85	96.01	24.46	58.71	64.34	96.01	134.3	32.13	46.84	44.89	123.5	50.63	9.13	47.5	236.21	34.75	79.45	76.17	75.64	63.89	57.08	90.77	8.38	157.68	123.5	95.34	102.25	76.17	125.24	74.58
EZH2	559.28	1617.0	1073.91	30.34	1127.35	205.5	190.34	64.34	647.07	105.89	176.29	587.13	289.02	339.14	70.01	301.33	514.56	305.55	325.29	450.94	551.56	303.44	358.54	303.44	305.55	279.14	223.41	426.57	253.23	255.0	361.04	397.93	293.07	291.04	289.02	309.83	403.5	264.03	289.02	285.03	486.75	271.48	228.13	336.79	660.68	201.25	389.72	305.55	301.33	251.48	281.09	376.41	59.55	368.65	759.08	327.56	336.79	493.56	351.14	665.29
FAM64A	291.04	1030.12	318.57	0.49	356.05	85.82	65.72	11.04	90.14	58.71	64.8	327.56	61.68	76.71	24.28	327.56	38.4	56.28	34.51	129.69	287.01	32.13	88.88	48.52	37.32	57.89	22.43	102.25	99.43	15.8	61.25	116.78	38.95	67.59	52.45	77.25	197.09	63.0	81.14	66.65	122.64	58.3	50.27	155.5	283.05	30.56	103.69	106.63	98.04	106.63	87.65	154.42	3.79	265.87	260.38	143.01	202.66	176.29	120.94	195.72
FANCD2	309.83	723.08	273.37	34.75	660.68	291.04	96.01	34.51	332.14	181.28	226.54	346.29	134.3	255.0	269.6	228.13	98.73	190.34	105.89	346.29	454.09	113.56	180.02	127.0	137.14	132.44	105.15	346.29	134.3	76.71	131.51	287.01	97.36	140.04	181.28	145.02	283.05	104.42	211.31	122.64	368.65	90.77	109.66	147.06	532.74	76.71	273.37	255.0	239.52	182.55	183.82	285.03	22.92	105.89	159.9	178.77	137.14	79.45	141.02	79.45
FANCI	988.12	1135.2	1037.29	46.18	1023.0	320.8	277.2	28.04	656.11	166.73	490.14	808.0	130.6	185.11	231.32	780.44	127.89	260.38	178.77	624.99	684.02	85.22	237.86	189.02	150.17	163.28	157.68	547.75	185.11	117.6	172.65	420.68	102.97	279.14	237.86	264.03	392.44	191.67	244.57	166.73	432.53	182.55	63.0	186.4	954.43	64.8	358.54	356.05	297.17	193.01	323.03	381.68	20.11	281.09	693.58	293.07	368.65	281.09	248.0	291.04
FEN1	532.74	1639.59	1322.37	155.5	1208.34	490.14	281.09	84.63	376.41	438.59	444.72	463.65	224.97	429.54	303.44	819.3	198.47	287.01	265.87	934.76	665.29	122.64	239.52	251.48	199.85	264.03	177.53	616.37	265.87	131.51	255.0	651.58	164.42	376.41	289.02	323.03	660.68	297.17	273.37	180.02	669.92	301.33	90.14	281.09	981.29	193.01	454.09	417.77	346.29	246.28	392.44	612.11	65.26	802.41	647.07	490.14	500.46	579.04	543.96	403.5
FOXM1	348.71	2090.03	1378.57	29.48	4607.24	269.6	127.89	18.56	239.52	941.27	387.02	2627.46	68.55	470.14	166.73	3982.99	269.6	291.04	258.57	802.41	974.5	139.07	343.89	239.52	187.71	173.85	161.02	571.05	244.57	102.25	187.71	514.56	129.69	316.37	253.23	358.54	642.59	185.11	441.64	246.28	656.11	312.0	181.28	271.48	961.07	128.79	454.09	314.17	255.0	116.78	353.59	470.14	11.91	769.69	1199.98	444.72	660.68	532.74	277.2	603.67
GINS1	283.05	521.76	476.71	9.41	162.14	156.59	44.57	2.41	99.43	31.22	98.73	171.45	31.0	90.77	21.32	518.15	61.25	67.12	58.71	204.07	271.48	34.02	78.34	55.49	63.89	61.25	39.5	163.28	89.51	36.53	60.82	172.65	35.0	101.54	105.89	129.69	183.82	68.07	113.56	108.9	217.27	65.26	39.5	83.45	314.17	55.49	153.34	114.36	120.94	199.85	100.13	147.06	2.01	211.31	293.07	163.28	137.14	178.77	131.51	212.78
GINS2	318.57	1135.2	514.56	8.51	1242.34	50.63	34.75	16.03	35.76	256.78	46.18	119.26	43.63	51.35	48.18	872.1	48.18	52.45	76.71	248.0	293.07	14.14	87.03	59.55	37.59	64.34	63.45	149.12	75.64	17.9	63.45	182.55	42.41	92.05	87.03	115.97	271.48	61.25	84.04	96.68	202.66	67.12	47.84	69.03	307.69	50.63	115.16	140.04	108.14	164.42	111.21	190.34	13.52	223.41	384.34	100.13	117.6	142.01	202.66	111.99
GINS4	193.01	205.5	232.94	16.15	244.57	28.65	45.85	2.71	94.01	119.26	84.04	139.07	40.64	87.65	22.59	262.2	36.79	36.79	40.64	148.09	189.02	9.78	45.21	46.18	42.41	34.75	18.56	131.51	38.12	11.64	41.81	82.29	49.91	43.94	55.1	47.84	89.51	61.68	82.29	42.71	109.66	63.89	7.94	40.64	334.46	13.93	96.68	90.14	84.04	50.98	55.49	107.38	29.48	387.02	141.02	115.16	185.11	59.97	38.67	34.51
GTSE1	206.94	642.59	426.57	3.2	616.37	189.02	45.85	2.36	193.01	81.14	39.5	339.14	16.88	48.52	27.25	387.02	80.01	115.16	61.68	287.01	400.71	58.3	115.97	69.03	57.49	53.57	70.51	221.86	78.89	25.17	98.04	204.07	69.03	100.83	76.71	106.63	212.78	84.63	128.79	54.72	255.0	64.34	52.45	135.24	406.31	34.75	161.02	86.43	65.26	44.89	104.42	145.02	10.88	134.3	169.07	84.63	166.73	154.42	63.45	116.78
H2AFX	2664.15	1819.35	2032.85	373.81	2303.12	1073.91	1030.12	466.88	921.88	2451.44	511.0	1605.83	902.89	1674.06	981.29	2335.28	1081.39	909.17	703.28	2104.58	3235.01	591.22	1151.06	915.51	543.96	529.06	708.18	1757.34	674.59	679.29	521.76	1437.15	629.35	967.76	743.43	836.53	2520.38	848.22	808.0	896.64	1781.89	915.51	967.76	954.43	2835.7	934.76	1023.0	642.59	733.19	638.15	651.58	1427.22	198.47	1745.2	1583.71	2796.65	1331.57	1199.98	1119.56	1697.45
HELLS	236.21	860.08	454.09	15.22	336.79	161.02	49.56	5.96	223.41	65.26	102.25	258.57	38.95	49.91	92.7	170.25	36.27	89.51	82.87	312.0	480.04	34.75	128.79	108.14	107.38	108.9	62.56	318.57	98.04	66.65	102.25	231.32	67.59	154.42	149.12	206.94	356.05	118.43	156.59	148.09	397.93	120.1	122.64	157.68	547.75	34.26	248.0	163.28	145.02	66.18	144.01	183.82	15.91	141.02	503.95	170.25	125.24	145.02	217.27	149.12
HJURP	142.01	353.59	229.72	1.1	555.41	389.72	24.46	3.08	144.01	44.57	42.41	246.28	15.0	55.49	22.43	267.73	94.01	96.68	38.12	221.86	463.65	48.52	115.16	49.56	52.45	38.67	83.45	169.07	100.13	35.25	71.5	165.57	52.08	99.43	100.83	162.14	229.72	68.07	164.42	70.51	309.83	95.34	70.51	139.07	466.88	29.7	170.25	65.26	53.19	91.41	120.1	181.28	9.06	166.73	124.37	124.37	133.36	194.36	84.63	198.47
KIAA1524	101.54	525.39	256.78	18.03	423.61	107.38	68.55	22.75	158.79	93.35	208.38	228.13	38.67	111.21	70.01	368.65	33.78	63.89	49.91	206.94	229.72	34.02	58.71	51.35	50.98	39.79	43.94	108.14	52.82	16.75	36.53	98.73	40.93	58.3	88.26	79.45	80.57	53.19	70.01	30.34	111.21	50.27	23.76	63.89	237.86	19.39	79.45	95.34	70.51	64.8	79.45	89.51	22.75	163.28	111.21	53.19	117.6	96.68	59.55	78.89
KIF11	647.07	842.36	620.67	8.85	412.0	164.42	47.5	1.87	251.48	28.45	186.4	529.06	47.84	37.05	42.41	392.44	218.79	175.07	121.79	277.2	444.72	81.14	154.42	94.67	133.36	118.43	92.7	271.48	128.79	60.39	108.14	277.2	84.04	140.04	155.5	193.01	248.0	139.07	128.79	82.29	336.79	117.6	42.71	166.73	591.22	60.39	231.32	279.14	198.47	129.69	201.25	277.2	7.34	420.68	483.38	198.47	351.14	361.04	229.72	463.65
KIF15	297.17	684.02	176.29	6.16	258.57	75.11	36.01	10.63	162.14	33.54	69.52	205.5	36.27	62.56	46.18	91.41	25.72	58.71	39.22	148.09	191.67	35.0	76.71	41.52	59.13	63.89	40.07	137.14	65.72	19.68	59.13	134.3	38.4	76.71	67.59	84.63	150.17	45.21	66.18	33.78	138.1	40.64	26.47	51.71	249.73	35.5	139.07	124.37	94.01	63.45	69.03	154.42	14.03	126.12	191.67	59.97	177.53	132.44	66.18	132.44
KIF18A	65.72	182.55	208.38	2.94	129.69	54.72	10.24	1.14	211.31	14.14	37.32	64.8	6.46	16.27	18.97	241.19	19.97	44.89	20.71	91.41	130.6	18.29	30.56	17.64	24.81	18.97	28.45	54.33	24.81	11.3	19.97	61.68	21.94	33.54	35.76	48.52	68.55	22.26	23.76	15.68	92.05	24.46	15.22	46.5	165.57	16.51	53.19	68.55	39.5	50.63	65.72	63.45	3.47	96.01	94.67	55.89	63.0	71.0	37.32	110.43
KIF18B	172.65	551.56	262.2	0.83	514.56	122.64	38.67	1.35	120.94	59.97	57.49	138.1	10.88	59.97	6.21	361.04	190.34	132.44	74.06	358.54	503.95	59.55	120.94	78.34	85.22	48.52	81.14	211.31	99.43	28.45	60.82	181.28	68.55	140.04	152.28	154.42	239.52	85.82	201.25	83.45	255.0	101.54	57.49	186.4	397.93	49.56	197.09	63.45	42.41	29.27	88.88	120.1	3.44	108.14	152.28	88.88	127.89	119.26	88.26	111.99
KIF20A	307.69	1037.29	571.05	1.66	1191.69	181.28	90.14	10.55	185.11	98.04	122.64	480.04	50.27	91.41	24.28	842.36	163.28	166.73	94.67	450.94	642.59	70.51	169.07	70.51	89.51	77.25	80.01	325.29	144.01	30.56	129.69	277.2	99.43	151.22	131.51	215.77	397.93	108.14	139.07	46.5	392.44	113.56	53.57	182.55	723.08	41.52	271.48	183.82	134.3	132.44	244.57	325.29	9.41	414.87	395.18	111.99	373.81	318.57	194.36	325.29
KIF22	1457.23	3372.43	1733.13	161.02	2915.45	941.27	974.5	389.72	842.36	1268.46	1259.69	1216.75	633.73	836.53	660.68	1340.84	759.08	575.03	642.59	1119.56	1628.26	583.07	759.08	624.99	529.06	503.95	435.55	981.29	571.05	567.1	583.07	1066.48	688.78	638.15	525.39	713.11	1183.45	595.34	813.63	688.78	1030.12	647.07	480.04	599.49	1457.23	403.5	928.3	723.08	674.59	665.29	620.67	1073.91	299.25	764.36	1183.45	633.73	723.08	825.0	743.43	1015.93
KIF23	287.01	1037.29	854.13	10.71	521.76	426.57	122.64	32.36	825.0	195.72	295.11	909.17	87.65	241.19	202.66	551.56	148.09	155.5	138.1	432.53	642.59	92.05	214.27	117.6	115.97	114.36	178.77	343.89	151.22	70.51	106.63	255.0	80.01	181.28	143.01	189.02	309.83	131.51	190.34	122.64	403.5	122.64	99.43	215.77	684.02	61.68	279.14	214.27	137.14	126.12	277.2	281.09	29.7	373.81	417.77	189.02	348.71	358.54	221.86	389.72
KIF24	53.19	136.19	64.34	9.13	66.18	59.55	27.84	7.34	104.42	25.35	34.75	46.84	24.63	39.22	20.11	39.5	16.63	22.1	20.26	47.5	63.89	17.64	32.13	16.03	16.63	20.71	15.34	46.84	22.43	11.91	19.97	34.26	13.52	27.84	26.28	28.45	38.95	20.11	21.78	15.34	56.28	17.77	15.22	23.59	79.45	15.68	36.27	35.76	26.1	12.27	26.28	36.01	5.63	58.71	92.7	45.85	44.25	55.89	44.89	72.52
KIF2C	406.31	1268.46	884.29	9.41	764.36	267.73	94.01	18.56	195.72	429.54	353.59	967.76	45.85	275.28	55.49	599.49	285.03	158.79	96.01	403.5	483.38	87.03	170.25	85.82	86.43	90.14	97.36	267.73	114.36	50.98	85.22	281.09	82.29	146.03	127.89	177.53	325.29	93.35	146.03	75.64	334.46	133.36	72.01	162.14	612.11	55.89	251.48	158.79	127.89	115.16	249.73	346.29	7.94	420.68	426.57	159.9	327.56	320.8	199.85	384.34
KIF4A	231.32	500.46	381.68	2.86	503.95	171.45	24.99	3.86	136.19	23.93	38.12	197.09	10.0	28.86	22.1	309.83	49.91	74.58	52.82	214.27	248.0	29.27	73.03	53.19	41.81	40.07	50.63	144.01	59.97	18.7	57.08	145.02	42.71	72.52	67.59	98.73	148.09	47.17	72.01	37.05	159.9	61.25	39.22	96.01	307.69	27.05	117.6	104.42	80.57	43.32	120.1	133.36	4.43	185.11	183.82	94.67	166.73	159.9	98.73	190.34
KIFC1	616.37	1685.71	1119.56	7.34	1883.54	447.82	67.59	4.5	234.57	212.78	81.14	633.73	57.89	194.36	34.02	559.28	642.59	214.27	120.1	583.07	759.08	120.94	224.97	163.28	115.97	118.43	120.94	384.34	187.71	64.34	122.64	389.72	154.42	220.32	221.86	289.02	397.93	164.42	241.19	99.43	480.04	178.77	69.03	264.03	708.18	69.52	334.46	279.14	262.2	217.27	332.14	536.45	25.91	500.46	624.99	381.68	483.38	493.56	327.56	417.77
KPNA2	1073.91	3325.99	4704.07	299.25	4836.35	1662.49	896.64	656.11	1519.15	2032.85	1242.34	2645.74	507.46	1350.18	808.0	6294.04	1015.93	830.75	848.22	2777.33	2720.15	450.94	769.69	848.22	603.67	718.08	1015.93	1950.0	718.08	432.53	486.75	1304.15	435.55	890.44	954.43	1059.11	1832.01	679.29	981.29	567.1	2061.24	612.11	265.87	1066.48	3168.41	529.06	1304.15	1583.71	1397.83	915.51	1369.04	2090.03	353.59	2664.15	1896.65	2400.97	1769.57	1733.13	1437.15	2178.83
LIG1	825.0	2209.26	1340.84	142.01	866.07	941.27	612.11	141.02	1119.56	497.0	693.58	1277.29	384.34	518.15	450.94	995.0	447.82	454.09	376.41	954.43	1023.0	325.29	438.59	450.94	389.72	356.05	224.97	842.36	454.09	361.04	316.37	753.83	543.96	366.09	493.56	480.04	967.76	426.57	583.07	575.03	878.17	441.64	275.28	371.22	1143.1	318.57	764.36	723.08	480.04	264.03	457.25	796.86	265.87	159.9	629.35	547.75	417.77	397.93	293.07	363.56
LMNB1	1529.73	3372.43	1936.53	34.51	2645.74	149.12	194.36	9.34	239.52	185.11	197.09	1806.78	135.24	150.17	120.94	743.43	400.71	341.51	287.01	934.76	1167.14	142.01	353.59	253.23	267.73	339.14	189.02	791.35	387.02	143.01	297.17	791.35	256.78	486.75	384.34	595.34	775.05	314.17	420.68	217.27	988.12	316.37	180.02	423.61	1487.87	171.45	595.34	679.29	583.07	215.77	583.07	802.41	368.65	967.76	1561.89	967.76	866.07	915.51	559.28	759.08
LMNB2	848.22	2075.59	1477.58	244.57	2997.45	698.41	890.44	463.65	753.83	1127.35	647.07	1286.18	514.56	1030.12	624.99	2319.15	638.15	607.87	563.18	1561.89	1819.35	406.31	607.87	607.87	395.18	426.57	540.19	1233.75	633.73	356.05	412.0	1051.79	435.55	743.43	595.34	738.29	1191.69	551.56	808.0	579.04	954.43	688.78	532.74	642.59	1870.53	532.74	802.41	791.35	693.58	182.55	693.58	1088.92	220.32	1151.06	1757.34	1819.35	954.43	1001.93	909.17	921.88
MAD2L1	802.41	1572.76	836.53	41.52	1437.15	743.43	117.6	33.78	334.46	273.37	607.87	1594.73	84.63	400.71	145.02	884.29	234.57	208.38	189.02	603.67	825.0	100.83	275.28	157.68	132.44	145.02	185.11	473.41	183.82	64.8	155.5	392.44	97.36	299.25	305.55	312.0	540.19	208.38	287.01	189.02	547.75	136.19	101.54	271.48	1037.29	110.43	316.37	265.87	255.0	497.0	285.03	387.02	36.79	884.29	638.15	392.44	480.04	400.71	297.17	759.08
MCM10	84.04	269.6	223.41	1.43	175.07	43.02	52.82	0.72	98.04	66.65	131.51	183.82	8.78	34.51	9.85	429.54	47.17	37.85	32.13	158.79	151.22	9.41	22.92	37.59	18.56	24.28	19.53	131.51	37.05	9.2	26.28	79.45	8.65	73.54	66.18	59.13	82.29	49.56	38.12	43.63	97.36	29.7	15.11	43.02	208.38	27.05	74.58	74.58	53.19	47.5	59.97	94.67	2.43	112.77	121.79	87.65	71.0	59.97	66.65	54.33
MCM2	1697.45	2855.44	1844.76	43.02	3665.02	177.53	232.94	61.25	251.48	438.59	493.56	1487.87	164.42	267.73	154.42	1572.76	180.02	224.97	190.34	733.19	743.43	81.14	248.0	172.65	162.14	172.65	149.12	518.15	262.2	111.21	182.55	591.22	167.9	293.07	309.83	329.84	603.67	217.27	248.0	126.12	612.11	232.94	96.68	220.32	854.13	158.79	392.44	447.82	341.51	190.34	318.57	521.76	43.02	748.61	1447.15	249.73	429.54	555.41	693.58	312.0
MCM3	2119.22	4419.52	1963.57	414.87	2573.36	1605.83	1159.07	616.37	974.5	1572.76	1199.98	2018.8	981.29	1447.15	1143.1	1594.73	679.29	660.68	555.41	1896.65	2209.26	301.33	753.83	543.96	457.25	497.0	587.13	1388.16	819.3	412.0	518.15	1427.22	403.5	934.76	808.0	974.5	1508.65	583.07	775.05	432.53	1617.0	688.78	260.38	620.67	2573.36	583.07	1023.0	988.12	872.1	473.41	802.41	1233.75	426.57	1059.11	2004.85	718.08	1059.11	738.29	1066.48	660.68
MCM5	1378.57	5076.84	2367.9	316.37	3515.68	791.35	1151.06	454.09	791.35	1709.26	1322.37	1651.0	819.3	1295.13	884.29	2816.11	642.59	414.87	460.44	1508.65	1709.26	185.11	624.99	514.56	373.81	579.04	395.18	1175.27	587.13	336.79	521.76	1417.35	395.18	698.41	511.0	511.0	1487.87	490.14	518.15	334.46	1191.69	738.29	173.85	406.31	1697.45	289.02	825.0	733.19	656.11	314.17	718.08	1259.69	131.51	656.11	1781.89	444.72	808.0	693.58	995.0	616.37
MCM6	947.83	1709.26	629.35	107.38	896.64	612.11	329.84	137.14	325.29	363.56	435.55	890.44	269.6	325.29	412.0	813.63	177.53	189.02	226.54	718.08	708.18	69.52	223.41	214.27	151.22	242.88	239.52	595.34	255.0	124.37	181.28	567.1	186.4	348.71	239.52	346.29	743.43	224.97	241.19	102.97	759.08	209.84	108.9	264.03	1066.48	111.99	348.71	450.94	341.51	258.57	309.83	511.0	218.79	591.22	603.67	409.15	271.48	295.11	291.04	206.94
MELK	279.14	808.0	780.44	8.99	90.14	624.99	30.12	8.32	186.4	43.63	228.13	148.09	20.26	102.25	35.76	624.99	260.38	167.9	141.02	429.54	503.95	70.01	181.28	123.5	121.79	127.0	114.36	351.14	139.07	50.63	154.42	307.69	52.45	181.28	172.65	218.79	318.57	133.36	231.32	111.99	371.22	140.04	84.04	156.59	723.08	80.01	248.0	193.01	173.85	190.34	234.57	267.73	3.69	376.41	473.41	323.03	327.56	309.83	248.0	363.56
MIS18A	429.54	1015.93	825.0	78.34	316.37	223.41	140.04	80.01	157.68	156.59	255.0	224.97	147.06	358.54	133.36	269.6	115.16	135.24	129.69	371.22	514.56	73.03	169.07	124.37	112.77	130.6	109.66	279.14	159.9	83.45	146.03	291.04	105.15	171.45	156.59	176.29	395.18	141.02	164.42	125.24	358.54	121.79	94.67	190.34	493.56	91.41	215.77	187.71	229.72	163.28	158.79	287.01	61.68	312.0	287.01	150.17	212.78	155.5	115.16	234.57
MKI67	339.14	902.89	1268.46	5.41	432.53	150.17	43.02	0.64	343.89	215.77	110.43	470.14	29.27	69.52	61.68	371.22	258.57	281.09	197.09	723.08	915.51	81.71	264.03	186.4	156.59	158.79	141.02	532.74	237.86	60.39	173.85	543.96	147.06	303.44	269.6	353.59	376.41	143.01	277.2	121.79	583.07	206.94	92.05	361.04	941.27	75.64	412.0	395.18	204.07	44.89	493.56	529.06	12.83	521.76	813.63	329.84	493.56	532.74	339.14	486.75
MND1	157.68	688.78	265.87	17.13	332.14	96.68	27.64	11.04	64.34	34.02	121.79	392.44	41.22	51.35	24.63	253.23	43.02	61.25	49.56	164.42	175.07	13.52	62.12	47.5	47.5	25.17	27.25	145.02	53.57	19.82	29.91	111.99	27.44	86.43	63.45	59.55	167.9	42.41	80.57	53.57	140.04	32.82	25.54	51.35	293.07	20.11	94.67	66.65	71.0	107.38	97.36	137.14	4.98	116.78	170.25	59.97	126.12	122.64	69.03	107.38
MTFR2	65.72	234.57	103.69	9.27	346.29	346.29	55.1	14.67	165.57	88.88	111.99	129.69	27.44	78.89	42.41	703.28	33.78	40.36	42.71	134.3	172.65	17.38	64.34	15.8	26.86	36.01	22.59	141.02	34.75	15.45	27.05	82.87	29.48	33.78	36.79	55.89	124.37	37.32	57.89	28.65	118.43	37.32	20.26	48.52	212.78	14.78	86.43	59.55	41.22	74.06	108.14	87.03	9.7	81.14	128.79	33.54	80.01	80.57	82.87	87.65
MTHFD1	1745.2	2193.99	1651.0	435.55	1457.23	728.11	961.07	836.53	1135.2	1066.48	1191.69	921.88	819.3	947.83	884.29	1447.15	748.61	791.35	802.41	1781.89	1745.2	567.1	860.08	753.83	785.88	753.83	928.3	1467.37	921.88	579.04	647.07	1277.29	521.76	921.88	842.36	909.17	1508.65	884.29	848.22	603.67	1350.18	878.17	327.56	961.07	2104.58	423.61	1127.35	1151.06	1143.1	769.69	941.27	1143.1	400.71	1594.73	1832.01	1781.89	1151.06	981.29	1561.89	1407.55
