	TCGA.C8.A8HR.01A.11R.A36F.07	TCGA.BH.A1F0.01A.11R.A137.07	TCGA.BH.A0B2.01A.11R.A10J.07	TCGA.A2.A25F.01A.11R.A169.07	TCGA.BH.A0B2.01A.11R.A10J.07.1	TCGA.AR.A1AO.01A.11R.A12P.07	TCGA.GM.A2DI.01A.31R.A18M.07	TCGA.E9.A1ND.01A.11R.A144.07	TCGA.BH.A0BL.01A.11R.A115.07	TCGA.AQ.A7U7.01A.22R.A352.07	TCGA.BH.A1FB.01A.11R.A13Q.07	TCGA.A2.A0T6.01A.11R.A084.07	TCGA.BH.A0BW.11A.12R.A115.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.LN.A49S.01A.11R.A24K.31	TCGA.IG.A5B8.01A.11R.A28J.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.JY.A93F.01A.21R.A37I.31	TCGA.JY.A6FG.01A.11R.A336.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.VR.A8ET.01A.11R.A406.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.CR.7391.01A.11R.2016.07	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
RGPD4	0.34	0.34	2.41	0.35	2.41	1.08	1.45	1.68	0.69	0.35	0.73	0.36	0.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RNASE1	8658.09	12244.81	8363.13	12415.75	8363.13	14663.09	4152.18	22692.63	5791.62	7230.1	6699.25	4671.57	3372.43	1467.37	3639.7	500.46	1417.35	2664.15	708.18	264.03	432.53	1407.55	1721.16	1561.89	785.88	299.25	1685.71	2573.36	201.25	4736.79	759.08	1819.35	2720.15	2875.3	4328.55	2609.3
RRBP1	2664.15	2335.28	5147.73	2271.4	5147.73	3515.68	2537.92	5872.48	4869.99	3103.19	1844.76	2573.36	2701.35	2133.97	1685.71	1350.18	1242.34	1407.55	1417.35	954.43	1051.79	1896.65	1151.06	1183.45	1127.35	848.22	1286.18	1551.09	954.43	2240.11	1051.79	1359.57	1572.76	1628.26	1617.0	866.07
RUNX1	1044.52	703.28	1096.5	995.0	1096.5	915.51	1950.0	529.06	1183.45	1583.71	1709.26	1447.15	1757.34	265.87	441.64	90.77	96.68	74.06	146.03	33.54	186.4	301.33	211.31	11.47	178.77	33.78	148.09	348.71	134.3	420.68	74.06	237.86	633.73	204.07	318.57	165.57
S100A9	13033.07	7803.01	7537.18	3443.31	7537.18	39785.74	633.73	805764.22	42346.82	258.57	1794.29	684.02	4937.99	4.94682652E7	1.689390977E7	5345893.74	3551506.25	6490957.04	4165330.83	1355129.16	9372482.82	2564061.5	4312220.94	4165330.83	3576208.94	9503317.82	7353500.77	3178687.03	1.047175463E7	726195.27	6956835.58	5092701.46	3502611.6	6956835.58	5972898.43	8805660.77
S1PR1	575.03	651.58	463.65	988.12	463.65	759.08	1135.2	271.48	387.02	808.0	457.25	454.09	1096.5	63.89	191.67	81.14	13.12	283.05	53.57	30.12	21.01	264.03	183.82	37.05	158.79	72.52	129.69	242.88	205.5	376.41	239.52	253.23	150.17	57.89	78.34	124.37
S1PR2	105.15	76.71	84.63	194.36	84.63	112.77	201.25	151.22	117.6	147.06	132.44	111.21	146.03	10.0	14.03	33.78	38.95	56.68	49.91	53.95	48.18	51.71	52.82	33.78	24.28	14.35	36.79	49.56	50.98	90.14	26.1	37.85	30.12	24.46	53.19	8.32
SEC23B	1037.29	974.5	3212.66	1059.11	3212.66	1167.14	1417.35	2303.12	1378.57	1467.37	1388.16	1286.18	1159.07	1073.91	884.29	679.29	316.37	612.11	808.0	185.11	163.28	679.29	688.78	599.49	547.75	493.56	660.68	802.41	559.28	988.12	909.17	896.64	1001.93	1001.93	1023.0	748.61
SIGLEC5	39.22	63.45	68.55	38.12	68.55	18.16	9.85	52.82	18.7	68.07	8.19	27.05	41.81	2.89	13.52	6.89	2.71	5.87	7.4	2.03	0.6	7.75	12.74	4.31	4.24	5.28	8.25	9.2	8.06	27.64	0.0	7.22	10.08	1.79	4.5	0.83
SIGLEC9	55.1	151.22	63.0	202.66	63.0	320.8	103.69	232.94	87.65	79.45	60.39	75.11	88.88	4.46	9.48	38.95	17.0	37.85	23.42	11.13	13.03	63.89	65.72	22.75	16.39	10.63	33.54	29.06	6.73	75.11	8.45	18.56	34.75	12.0	14.67	18.56
SLA	258.57	708.18	329.84	1073.91	329.84	620.67	1417.35	547.75	323.03	753.83	406.31	314.17	1605.83	27.84	110.43	87.03	42.11	156.59	64.8	53.95	28.24	239.52	130.6	42.41	108.9	58.3	74.58	122.64	84.63	262.2	35.5	119.26	104.42	34.51	42.71	63.45
SLAMF8	334.46	1119.56	327.56	2555.58	327.56	1819.35	988.12	1268.46	599.49	607.87	507.46	209.84	660.68	34.02	48.52	127.89	117.6	183.82	101.54	55.89	53.57	295.11	178.77	57.89	100.83	116.78	142.01	121.79	52.08	457.25	36.79	51.71	78.89	27.25	22.26	19.82
SLC41A2	134.3	470.14	234.57	518.15	234.57	368.65	195.72	291.04	348.71	224.97	237.86	234.57	249.73	3.53	10.31	9.93	4.94	10.47	4.86	1.0	3.32	22.26	11.64	12.09	7.28	1.93	18.29	32.82	5.32	92.05	7.4	11.38	38.4	8.06	18.43	1.91
SLC7A7	291.04	1044.52	633.73	1721.16	633.73	1350.18	483.38	988.12	547.75	603.67	361.04	435.55	500.46	12.0	60.39	115.97	143.01	214.27	108.9	59.55	70.01	397.93	208.38	120.1	115.97	96.01	368.65	343.89	48.87	400.71	17.51	24.11	143.01	36.01	59.13	49.21
SMAP2	866.07	1709.26	718.08	2502.97	718.08	1051.79	3103.19	890.44	575.03	1242.34	1183.45	1059.11	1832.01	305.55	414.87	395.18	358.54	555.41	329.84	366.09	339.14	591.22	463.65	293.07	403.5	343.89	376.41	384.34	438.59	785.88	332.14	409.15	591.22	269.6	444.72	493.56
SP140	120.1	432.53	180.02	651.58	180.02	289.02	293.07	224.97	172.65	406.31	175.07	98.73	595.34	21.78	37.05	57.89	19.68	31.0	13.52	45.21	18.97	58.3	45.85	31.45	46.18	14.24	25.91	71.5	63.89	154.42	7.88	31.67	22.43	31.0	11.82	0.83
SPATA13	318.57	595.34	429.54	616.37	429.54	656.11	536.45	285.03	209.84	395.18	518.15	532.74	583.07	22.26	47.5	50.98	14.89	59.13	25.91	33.3	10.88	128.79	38.67	58.71	55.89	29.06	69.52	162.14	45.85	187.71	35.0	87.03	92.7	16.75	48.18	8.06
SRGN	2573.36	7857.29	2701.35	11112.3	2701.35	8191.0	8778.97	4328.55	2915.45	3955.48	3768.09	3443.31	6337.83	111.99	514.56	693.58	361.04	848.22	633.73	265.87	241.19	1617.0	1286.18	423.61	684.02	384.34	679.29	1295.13	651.58	2796.65	674.59	1175.27	703.28	376.41	305.55	551.56
ST18	4.35	9.78	7.11	8.65	7.11	20.56	16.51	4.66	2.76	3.41	8.19	4.28	11.04	0.0	0.0	1.16	0.0	1.43	0.15	0.0	0.95	4.78	0.07	3.38	0.38	0.0	1.38	3.29	0.51	2.92	0.73	0.27	2.29	1.69	0.02	1.68
STARD8	140.04	129.69	98.73	138.1	98.73	155.5	181.28	63.0	111.99	155.5	94.67	127.0	119.26	4.9	27.84	21.32	17.9	64.8	18.16	7.11	6.16	72.01	49.56	9.63	34.75	28.04	49.21	33.3	26.67	63.89	36.53	53.57	40.93	11.82	24.28	17.0
SYTL3	133.36	260.38	201.25	201.25	201.25	253.23	312.0	441.64	167.9	169.07	215.77	131.51	211.31	94.67	397.93	110.43	28.45	98.04	33.06	48.87	61.25	83.45	92.7	58.3	79.45	85.22	53.95	78.34	117.6	151.22	32.13	100.13	140.04	41.22	95.34	68.07
TBC1D16	208.38	334.46	346.29	305.55	346.29	363.56	698.41	651.58	629.35	376.41	521.76	802.41	379.04	6.73	16.15	87.65	79.45	220.32	194.36	181.28	155.5	156.59	199.85	69.52	195.72	105.15	116.78	94.67	115.16	316.37	29.91	72.01	125.24	69.52	145.02	45.85
TFEC	129.69	466.88	226.54	1208.34	226.54	463.65	303.44	226.54	155.5	397.93	153.34	94.67	242.88	3.32	18.84	34.02	11.04	24.46	8.85	17.13	9.2	79.45	38.12	31.22	15.45	21.47	29.48	39.5	18.29	72.01	6.57	6.84	14.89	12.64	3.35	2.92
TLN2	157.68	242.88	208.38	118.43	208.38	189.02	277.2	249.73	234.57	104.42	242.88	244.57	153.34	6.67	73.54	38.67	21.16	52.82	30.12	23.42	31.45	147.06	47.84	64.8	60.82	23.42	59.13	90.77	21.63	55.1	28.04	15.22	42.11	11.47	51.35	13.12
TLR2	177.53	518.15	258.57	507.46	258.57	361.04	299.25	1191.69	327.56	273.37	244.57	150.17	376.41	21.01	45.21	237.86	127.0	104.42	143.01	42.71	101.54	299.25	145.02	237.86	158.79	107.38	92.05	111.21	41.22	153.34	20.56	48.52	158.79	72.01	87.65	44.57
TM9SF1	1167.14	836.53	2178.83	981.29	2178.83	884.29	1295.13	1529.73	1127.35	1378.57	1529.73	1540.37	1001.93	961.07	1216.75	620.67	764.36	759.08	753.83	543.96	656.11	753.83	1037.29	748.61	753.83	647.07	909.17	842.36	660.68	1104.13	529.06	629.35	954.43	629.35	1030.12	555.41
TMEM119	2777.33	638.15	2367.9	2400.97	2367.9	1295.13	1467.37	283.05	1059.11	2451.44	1242.34	1950.0	802.41	293.07	3395.89	34.51	12.36	59.13	24.63	10.16	16.88	175.07	50.98	53.57	33.54	22.1	56.68	102.97	52.08	412.0	99.43	32.13	31.67	49.56	47.84	6.94
TMEM123	1819.35	8305.36	4388.98	6561.36	4388.98	7130.55	4639.29	10883.59	6337.83	2777.33	5292.48	5255.91	7180.15	3190.46	2664.15	1991.0	1594.73	1551.09	1733.13	1331.57	2384.37	1923.14	1073.91	2758.13	2104.58	1191.69	1225.22	2004.85	1340.84	2468.49	981.29	836.53	2451.44	775.05	1745.2	934.76
TMEM150B	41.52	149.12	85.82	217.27	85.82	211.31	44.57	191.67	72.01	69.03	34.75	23.93	22.26	0.0	3.92	10.55	19.25	87.65	21.63	20.56	11.21	73.54	60.82	44.89	16.63	9.78	77.79	37.85	8.51	82.29	1.85	8.32	17.77	13.12	2.18	9.48
TMEM150C	145.02	260.38	336.79	170.25	336.79	205.5	387.02	117.6	283.05	571.05	293.07	126.12	500.46	195.72	974.5	56.28	11.64	57.08	17.64	13.32	11.82	52.08	45.85	28.45	82.29	53.19	32.59	44.25	83.45	139.07	10.47	44.57	149.12	71.5	100.83	45.53
TMEM170B	46.18	63.45	56.28	98.73	56.28	56.28	91.41	35.5	82.29	48.18	69.52	90.14	76.17	1.93	0.72	33.78	3.23	14.56	2.53	1.87	1.41	28.04	17.77	3.63	8.65	5.36	5.82	11.04	7.06	12.36	2.48	6.01	7.06	1.1	2.63	1.04
TNFSF13	967.76	733.19	802.41	1322.37	802.41	1304.15	1111.82	1331.57	603.67	1199.98	830.75	860.08	878.17	336.79	928.3	271.48	82.29	295.11	103.69	104.42	61.68	244.57	217.27	122.64	165.57	181.28	246.28	389.72	139.07	490.14	49.21	119.26	285.03	146.03	182.55	90.14
TNFSF13B	363.56	769.69	417.77	1023.0	417.77	463.65	432.53	591.22	381.68	536.45	291.04	206.94	332.14	141.02	80.57	68.55	117.6	59.97	18.7	39.79	25.17	131.51	75.11	59.97	63.45	46.5	37.85	67.59	26.47	195.72	70.51	19.39	12.18	40.93	12.64	11.21
TSPAN33	460.44	890.44	620.67	1081.39	620.67	480.04	503.95	1208.34	902.89	669.92	435.55	341.51	796.86	283.05	660.68	146.03	127.89	169.07	37.05	72.52	63.0	96.68	195.72	47.84	103.69	162.14	194.36	125.24	153.34	503.95	85.22	83.45	140.04	191.67	198.47	29.06
UCP2	1745.2	4066.71	2997.45	5292.48	2997.45	5006.93	3081.75	1769.57	2555.58	4937.99	3325.99	4181.07	4268.94	490.14	684.02	435.55	132.44	555.41	125.24	77.79	75.11	616.37	514.56	224.97	325.29	193.01	420.68	860.08	351.14	1709.26	140.04	967.76	629.35	269.6	575.03	61.68
USP51	27.25	19.97	29.48	49.91	29.48	43.32	36.27	54.33	81.14	47.5	45.85	43.02	51.35	2.51	19.97	11.64	4.35	6.94	1.89	1.53	2.36	7.94	5.92	3.76	12.45	5.92	3.0	5.06	4.54	16.15	5.82	5.59	9.48	4.7	4.46	3.79
VEPH1	29.48	139.07	71.0	47.17	71.0	57.08	140.04	91.41	132.44	183.82	194.36	119.26	60.82	12.36	41.81	5.54	9.06	5.36	2.43	1.31	1.13	10.08	16.39	3.08	4.9	0.0	11.82	8.78	1.03	30.34	0.0	2.36	14.56	1.41	21.32	0.0
VSIG4	420.68	1378.57	273.37	1733.13	273.37	1175.27	629.35	2573.36	743.43	265.87	629.35	633.73	291.04	41.81	153.34	189.02	325.29	802.41	141.02	21.01	43.02	223.41	830.75	78.89	97.36	199.85	142.01	169.07	24.99	332.14	30.78	124.37	336.79	65.72	234.57	376.41
ZNF253	93.35	112.77	178.77	175.07	178.77	193.01	273.37	241.19	256.78	140.04	301.33	329.84	258.57	48.52	164.42	61.25	8.92	41.52	10.16	6.21	4.82	34.26	28.04	39.22	38.95	41.81	32.13	46.18	53.19	57.08	6.36	11.55	38.67	12.18	11.21	11.04
ZNF93	145.02	140.04	178.77	221.86	178.77	267.73	281.09	301.33	466.88	136.19	217.27	220.32	175.07	81.14	32.36	54.33	13.52	25.35	7.46	31.67	8.65	93.35	13.93	23.42	31.67	34.51	35.0	35.25	38.67	39.22	6.67	4.78	48.18	27.44	36.79	8.38
