	GTEX.11P82.1026.SM.5BC5J	GTEX.Y9LG.1526.SM.4WWDR	GTEX.11LCK.2026.SM.5A5MA	GTEX.1211K.1726.SM.5FQUJ	GTEX.139T6.1326.SM.5IFFO	GTEX.WH7G.1326.SM.4LVMS	GTEX.XBEW.1926.SM.4SOJO	GTEX.YEC3.2426.SM.5IFJR	GTEX.13O21.2426.SM.5MR4A	GTEX.13QBU.1826.SM.5IJG3	GTEX.ZPIC.2226.SM.57WDX	GTEX.14DAR.1526.SM.5RQIX	GTEX.Y3IK.1826.SM.4WWDS	GTEX.11VI4.1526.SM.5EQKC	GTEX.ZT9W.1826.SM.51MQX	TCGA.KN.8422.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KN.8437.01A.11R.2315.07	GTEX.ZYFD.1526.SM.5NQ7T	TCGA.B0.5117.01A.01R.1420.07	TCGA.B0.5121.01A.02R.1420.07	TCGA.A3.3374.01A.02R.1325.07	TCGA.AK.3465.01A.02R.1325.07	TCGA.B9.4617.01A.01R.1193.07	TCGA.DD.A4NG.01A.11R.A27V.07	TCGA.BR.8682.01A.11R.2402.13	TCGA.CD.8534.01A.11R.2343.13	TCGA.BR.8483.01A.31R.2402.13	TCGA.HU.A4G3.11A.11R.A24K.31	GTEX.WFON.1126.SM.4LVMA	GTEX.Y5V6.1326.SM.4VDTF	TCGA.DJ.A1QG.01A.11R.A14Y.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.EM.A3O9.01A.11R.A220.07
NBEAL1	363.56	236.21	163.28	237.86	265.87	163.28	124.37	97.36	234.57	206.94	217.27	285.03	198.47	269.6	236.21	50.63	42.71	127.0	90.77	35.25	89.51	40.64	84.63	47.5	96.01	336.79	126.12	101.54	99.43	162.14	89.51	63.89	46.18	45.85
NDUFA10	6652.97	6121.9	5995.9	5147.73	6607.01	4639.29	6294.04	4937.99	7589.61	6516.03	8778.97	6887.62	8421.31	5555.65	8191.0	5329.3	3820.7	6471.02	2835.7	4095.0	2163.77	3146.52	4802.93	2591.27	2682.69	2367.9	2075.59	3303.0	2875.3	6294.04	5954.47	2061.24	1721.16	5292.48
NR1I2	2287.2	1963.57	1359.57	2468.49	2287.2	1519.15	1175.27	633.73	2163.77	1651.0	2075.59	2004.85	1268.46	1583.71	1819.35	0.0	0.99	0.84	2.46	0.0	4.74	0.44	1.81	8.0	214.27	473.41	98.04	128.79	0.21	733.19	8.92	1.69	2.41	6.52
NR2F6	1883.54	1781.89	1561.89	1583.71	1529.73	1369.04	1551.09	981.29	1651.0	1572.76	1733.13	1883.54	1769.57	1167.14	2047.0	1277.29	1030.12	575.03	400.71	1208.34	389.72	316.37	748.61	521.76	1225.22	780.44	1051.79	1427.22	500.46	1605.83	1617.0	638.15	551.56	915.51
OVOL1	988.12	1059.11	915.51	896.64	1066.48	819.3	743.43	713.11	1015.93	1111.82	928.3	1088.92	1066.48	791.35	974.5	208.38	124.37	195.72	16.51	224.97	17.64	547.75	108.14	119.26	7.06	325.29	183.82	162.14	0.0	72.52	149.12	6.11	23.76	52.82
PANK3	1340.84	708.18	642.59	638.15	723.08	490.14	525.39	480.04	708.18	775.05	796.86	802.41	603.67	860.08	753.83	189.02	205.5	406.31	281.09	178.77	180.02	173.85	435.55	82.29	476.71	376.41	291.04	144.01	236.21	289.02	211.31	249.73	156.59	175.07
PAQR8	3103.19	1936.53	1151.06	1923.14	1857.6	1487.87	928.3	915.51	1457.23	1457.23	2271.4	2915.45	2004.85	1685.71	2047.0	20.26	79.45	151.22	102.97	82.29	98.73	111.21	52.08	48.52	77.25	291.04	358.54	246.28	136.19	902.89	348.71	43.94	76.71	37.05
PIP5K1B	2335.28	909.17	620.67	928.3	1286.18	813.63	571.05	693.58	1233.75	878.17	1159.07	1477.58	928.3	1051.79	1651.0	104.42	379.04	1991.0	65.26	199.85	185.11	500.46	423.61	45.21	4.24	620.67	1709.26	332.14	11.64	559.28	332.14	28.86	17.64	476.71
PKP3	3124.78	3395.89	3491.39	3491.39	3146.52	2664.15	2895.31	1583.71	3349.13	3467.27	3257.52	3564.78	3372.43	2835.7	3716.2	234.57	256.78	6.89	90.77	303.44	3.76	0.44	129.69	417.77	9.41	1277.29	909.17	2400.97	2.03	1023.0	651.58	392.44	361.04	318.57
PLCD3	8538.88	5913.33	3901.01	3874.05	4419.52	3589.58	2720.15	2384.37	3716.2	5517.27	3901.01	6699.25	5076.84	3901.01	6561.36	866.07	46.84	55.49	329.84	55.49	204.07	77.79	136.19	2682.69	117.6	1662.49	836.53	1208.34	679.29	1417.35	255.0	591.22	2451.44	253.23
PLEKHG6	3847.29	3690.52	2627.46	3639.7	3794.3	3372.43	2976.74	1304.15	2609.3	5913.33	3039.3	3419.52	2835.7	2287.2	3847.29	13.62	30.34	31.0	149.12	32.13	61.25	42.71	11.64	199.85	110.43	748.61	281.09	412.0	6.41	406.31	151.22	80.01	73.54	35.0
PLIN3	1757.34	1369.04	1159.07	1551.09	1397.83	1467.37	1081.39	1088.92	1216.75	1331.57	1561.89	1437.15	1378.57	1427.22	2351.53	587.13	273.37	309.83	733.19	412.0	633.73	813.63	325.29	961.07	563.18	830.75	629.35	1030.12	473.41	1286.18	775.05	571.05	785.88	633.73
PLS1	12764.83	6164.49	2935.74	4937.99	7485.11	3847.29	2163.77	2468.49	6471.02	5441.3	7032.37	7280.4	5147.73	5751.61	9606.86	114.36	111.99	253.23	66.65	50.98	182.55	60.39	148.09	947.83	299.25	1923.14	808.0	525.39	1.48	656.11	387.02	80.01	75.11	34.02
PPARG	3235.01	2178.83	1806.78	2240.11	2335.28	1583.71	1769.57	1167.14	2351.53	1991.0	3103.19	2895.31	2537.92	2367.9	2664.15	432.53	1250.98	555.41	145.02	1233.75	713.11	848.22	1457.23	791.35	624.99	460.44	1023.0	483.38	77.25	620.67	249.73	258.57	178.77	226.54
PPP1R14D	11504.21	8305.36	7911.95	7331.05	7230.1	5913.33	6840.04	4543.8	9151.82	7280.4	10585.95	7749.1	13776.25	7180.15	10368.08	6.84	5.28	19.53	17.64	22.92	825.0	3.41	14.67	55.49	48.87	224.97	123.5	157.68	0.0	60.82	25.17	13.42	11.73	14.35
PPP1R36	325.29	563.18	346.29	616.37	607.87	293.07	258.57	193.01	532.74	555.41	406.31	460.44	363.56	514.56	358.54	72.01	45.53	18.16	37.05	11.38	4.58	23.59	54.33	0.78	0.0	110.43	162.14	108.14	20.11	156.59	106.63	7.94	20.86	13.32
PRSS3	10368.08	9540.5	6699.25	9740.98	10512.82	5954.47	4607.24	4038.61	10440.2	9151.82	9151.82	10225.32	8901.53	7749.1	15180.22	1.45	40.64	8.85	24.99	95.34	0.0	7.46	10.55	4.35	0.0	961.07	551.56	1540.37	25.91	1467.37	267.73	14.03	22.26	131.51
PSD4	934.76	902.89	909.17	1119.56	1183.45	769.69	813.63	660.68	808.0	848.22	902.89	1008.9	688.78	848.22	1008.9	128.79	108.14	241.19	221.86	144.01	417.77	162.14	58.71	249.73	441.64	928.3	473.41	1268.46	5.92	928.3	620.67	825.0	351.14	379.04
PTK6	3235.01	2682.69	2816.11	2976.74	2434.5	1685.71	2485.67	1159.07	3039.3	3467.27	3103.19	2816.11	2485.67	2148.82	2777.33	5.28	2.84	8.06	2.41	1.46	3.26	6.67	3.96	7.51	17.25	1781.89	463.65	1183.45	3.56	591.22	193.01	3.23	10.24	3.14
PTPRF	5517.27	5112.16	4575.41	6037.61	5441.3	4358.66	3901.01	2915.45	5555.65	6121.9	5479.15	5913.33	4543.8	4152.18	5366.37	1467.37	830.75	1857.6	890.44	693.58	420.68	848.22	1208.34	1119.56	1540.37	3443.31	2319.15	1216.75	660.68	2645.74	1540.37	1008.9	1268.46	595.34
PTPRH	3235.01	1697.45	1427.22	2287.2	2075.59	1199.98	1277.29	629.35	2335.28	2018.8	2119.22	2163.77	1639.59	1447.15	2701.35	1.46	2.39	1.64	0.0	2.43	1.41	7.06	3.53	18.03	420.68	1008.9	503.95	473.41	6.01	521.76	277.2	1.17	4.13	17.51
RBM47	5255.91	3168.41	2555.58	2609.3	3395.89	2047.0	2178.83	1769.57	3820.7	2777.33	3639.7	3742.05	3060.45	3168.41	4239.45	1551.09	1806.78	1685.71	1844.76	1769.57	607.87	591.22	1639.59	1183.45	356.05	1583.71	1551.09	842.36	6.21	1769.57	1250.98	1037.29	575.03	669.92
RHOF	2739.08	1175.27	703.28	791.35	1208.34	693.58	796.86	583.07	1167.14	1088.92	1104.13	967.76	603.67	842.36	3928.15	536.45	470.14	665.29	79.45	693.58	129.69	258.57	269.6	830.75	72.01	460.44	180.02	244.57	239.52	872.1	525.39	450.94	503.95	743.43
RNF125	154.42	199.85	146.03	155.5	202.66	87.65	110.43	127.89	400.71	180.02	212.78	195.72	125.24	204.07	84.04	5.28	21.94	28.04	12.18	13.93	85.22	21.78	21.01	8.65	120.94	197.09	120.94	50.98	32.59	98.04	208.38	38.67	86.43	30.12
RP11-595B24.2	30.34	52.45	62.12	50.63	38.95	18.43	48.87	24.28	117.6	39.79	60.82	18.56	73.03	80.57	28.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.73	6.57	18.84	110.43	0.0	84.04	15.11	0.0	0.0	0.0
SDCBP2	12764.83	8022.41	5292.48	8778.97	8963.45	5479.15	4903.87	2720.15	9606.86	8901.53	8598.28	9740.98	7537.18	5995.9	13399.51	2319.15	3614.55	67.12	1685.71	5147.73	120.94	6121.9	547.75	86.43	37.32	1250.98	169.07	1628.26	7.34	2271.4	791.35	78.89	226.54	389.72
SEMA4G	2032.85	2090.03	2434.5	2240.11	2047.0	1769.57	1950.0	1268.46	2591.27	2319.15	1896.65	2645.74	2163.77	2018.8	2061.24	15.68	20.71	269.6	29.7	22.75	128.79	31.45	38.12	392.44	854.13	1529.73	679.29	341.51	93.35	412.0	120.1	94.67	68.07	29.91
SERINC2	12415.75	13123.73	9215.48	12415.75	12853.63	9540.5	8538.88	5913.33	13306.94	13492.72	11664.82	14163.58	10084.54	9540.5	20881.4	12415.75	2209.26	4450.27	1757.34	1662.49	4038.61	2255.7	6121.9	2255.7	5791.62	2997.45	10808.41	9215.48	3.96	4328.55	3060.45	3639.7	2255.7	4268.94
SH3BP1	2520.38	1733.13	1977.24	1757.34	1259.69	1250.98	1572.76	1322.37	1832.01	1757.34	1909.85	1628.26	1909.85	1340.84	2434.5	40.64	88.26	79.45	63.0	96.01	125.24	164.42	55.49	67.12	45.53	258.57	137.14	309.83	46.5	229.72	176.29	150.17	205.5	98.73
SLC16A5	941.27	1044.52	896.64	947.83	884.29	587.13	802.41	426.57	896.64	1073.91	974.5	1001.93	796.86	1322.37	759.08	819.3	130.6	379.04	2148.82	299.25	45.53	138.1	144.01	17.25	18.56	563.18	265.87	575.03	28.65	660.68	159.9	81.71	94.67	39.79
SLC35C1	1268.46	941.27	1111.82	872.1	860.08	796.86	830.75	665.29	860.08	915.51	902.89	1015.93	1023.0	836.53	1313.23	318.57	348.71	204.07	195.72	271.48	220.32	248.0	146.03	307.69	2335.28	490.14	688.78	457.25	119.26	591.22	620.67	248.0	264.03	151.22
SLC37A1	1350.18	1628.26	1350.18	1909.85	1605.83	1167.14	1127.35	802.41	1304.15	1540.37	1540.37	1407.55	954.43	1572.76	1529.73	95.34	169.07	221.86	176.29	173.85	194.36	559.28	69.52	135.24	86.43	738.29	1794.29	607.87	108.14	480.04	273.37	483.38	339.14	346.29
SLC39A4	4419.52	2915.45	4869.99	6935.54	6121.9	3820.7	3190.46	3395.89	5791.62	5594.3	8134.41	3874.05	3325.99	3847.29	11345.82	2739.08	1242.34	647.07	368.65	1096.5	954.43	156.59	738.29	5292.48	15.34	4869.99	2004.85	4123.49	748.61	2209.26	1540.37	1745.2	1540.37	551.56
SLC44A4	19214.73	18304.63	17927.91	20451.65	19892.37	16157.44	15180.22	10296.45	22692.63	20310.37	20737.16	20881.4	16727.26	17927.91	23169.48	9.27	66.65	14.78	13.32	50.63	72.52	64.34	217.27	4937.99	13.93	5633.22	8778.97	4388.98	0.0	2004.85	1286.18	14.89	15.0	2.97
SMAP1	1340.84	915.51	532.74	708.18	902.89	723.08	629.35	633.73	988.12	825.0	1250.98	860.08	693.58	915.51	1378.57	209.84	320.8	486.75	277.2	343.89	438.59	217.27	318.57	299.25	189.02	525.39	780.44	967.76	587.13	733.19	1030.12	514.56	559.28	555.41
SMPD3	854.13	1104.13	1183.45	1467.37	1208.34	915.51	1008.9	525.39	1662.49	1088.92	1175.27	1233.75	1088.92	1216.75	842.36	4.39	14.78	2.48	14.78	12.74	7.57	11.82	17.9	3.63	4.39	429.54	305.55	166.73	19.82	866.07	172.65	12.27	19.39	11.38
STX19	607.87	441.64	414.87	555.41	486.75	346.29	299.25	246.28	915.51	503.95	674.59	728.11	518.15	511.0	638.15	2.81	0.45	0.39	0.0	0.93	3.2	0.0	2.58	12.0	0.85	215.77	175.07	68.07	1.35	223.41	198.47	2.25	3.17	1.62
SULT1A4	2777.33	2956.17	2335.28	2287.2	2537.92	1870.53	2976.74	2075.59	3564.78	3349.13	2627.46	2739.08	3491.39	3955.48	2627.46	195.72	305.55	144.01	91.41	234.57	493.56	120.1	166.73	129.69	305.55	435.55	384.34	348.71	101.54	320.8	346.29	285.03	318.57	420.68
TJP3	7130.55	6652.97	6652.97	7803.01	6207.38	5219.6	5751.61	3325.99	7485.11	7485.11	7589.61	7642.41	7130.55	5555.65	9876.98	1119.56	1051.79	1030.12	84.04	836.53	52.45	256.78	500.46	647.07	251.48	1896.65	2915.45	2004.85	0.0	1923.14	1685.71	813.63	785.88	1023.0
TLCD2	480.04	267.73	231.32	325.29	293.07	170.25	185.11	112.77	248.0	237.86	251.48	237.86	265.87	264.03	307.69	10.55	38.4	36.53	10.79	7.75	11.13	10.79	19.25	15.0	115.97	99.43	242.88	67.59	43.02	90.77	42.71	24.11	15.22	7.4
TMEM102	444.72	348.71	417.77	379.04	353.59	353.59	309.83	246.28	476.71	444.72	503.95	503.95	454.09	358.54	507.46	66.65	127.89	152.28	63.89	85.82	140.04	205.5	67.59	400.71	69.03	183.82	244.57	124.37	5.63	229.72	193.01	90.14	88.88	55.1
TMEM45B	14361.31	8305.36	5995.9	8778.97	9151.82	6887.62	4937.99	3280.18	9344.14	8538.88	9808.75	10440.2	8305.36	7966.99	12764.83	10.88	13.93	988.12	309.83	6.21	18.29	1.66	45.85	6.62	1104.13	2384.37	872.1	1216.75	0.72	1721.16	688.78	305.55	181.28	373.81
TMEM54	24660.96	19618.49	19214.73	19754.96	15934.98	13306.94	14561.8	11112.3	21320.18	18950.18	21468.49	22380.2	25179.16	15392.14	28525.2	193.01	480.04	493.56	316.37	161.02	813.63	403.5	287.01	4704.07	825.0	2271.4	4769.75	2976.74	497.0	5872.48	2163.77	1844.76	1977.24	358.54
TNK1	490.14	500.46	473.41	607.87	583.07	420.68	497.0	297.17	476.71	642.59	583.07	591.22	384.34	470.14	603.67	57.49	48.87	195.72	124.37	30.34	119.26	41.81	51.71	220.32	104.42	167.9	305.55	242.88	21.78	305.55	197.09	131.51	96.68	78.89
TTC22	1259.69	1127.35	909.17	1242.34	1417.35	967.76	878.17	493.56	1685.71	1199.98	1295.13	1651.0	1015.93	1066.48	1277.29	161.02	54.33	185.11	36.27	20.71	166.73	11.47	34.75	289.02	14.56	603.67	181.28	204.07	37.59	769.69	281.09	159.9	117.6	169.07
TTLL12	2193.99	2133.97	2271.4	2090.03	2178.83	1733.13	2032.85	1397.83	2255.7	2061.24	2209.26	2451.44	2319.15	1857.6	2224.63	107.38	211.31	224.97	178.77	166.73	327.56	381.68	320.8	432.53	866.07	1104.13	466.88	642.59	255.0	1233.75	872.1	163.28	193.01	194.36
UBALD2	1697.45	3372.43	2400.97	3349.13	3081.75	1963.57	1397.83	1745.2	2895.31	2591.27	3349.13	3168.41	2104.58	2451.44	4152.18	629.35	915.51	688.78	1359.57	521.76	708.18	890.44	529.06	738.29	743.43	1583.71	3716.2	2935.74	647.07	1909.85	1628.26	1242.34	1572.76	1066.48
VILL	3540.14	3467.27	3540.14	3690.52	3325.99	2682.69	2777.33	1583.71	4181.07	3982.99	4095.0	3716.2	4298.64	3039.3	3820.7	14.67	35.5	16.15	58.71	53.95	111.99	55.1	53.95	96.01	13.03	1159.07	808.0	493.56	42.41	2224.63	759.08	123.5	88.88	77.25
VPS37B	2047.0	1674.06	1685.71	1832.01	1697.45	1487.87	1583.71	1051.79	2075.59	1857.6	1685.71	2061.24	1359.57	1457.23	1883.54	941.27	432.53	368.65	1551.09	525.39	297.17	1617.0	842.36	780.44	99.43	718.08	1417.35	647.07	316.37	1286.18	1225.22	373.81	392.44	381.68
XPNPEP1	1936.53	1508.65	1733.13	1794.29	1498.22	1183.45	1561.89	1397.83	1757.34	1950.0	1745.2	1617.0	1572.76	1498.22	1498.22	480.04	460.44	791.35	674.59	529.06	836.53	728.11	764.36	1175.27	915.51	1561.89	1733.13	703.28	624.99	1135.2	607.87	896.64	825.0	595.34
ZDHHC12	2835.7	3168.41	2835.7	2875.3	2468.49	1936.53	2434.5	1977.24	3103.19	2796.65	3540.14	2895.31	3874.05	2573.36	3039.3	1225.22	866.07	674.59	258.57	995.0	854.13	921.88	1277.29	2032.85	693.58	1467.37	2319.15	1467.37	232.94	2367.9	2018.8	412.0	536.45	603.67
ZNF57	392.44	297.17	267.73	279.14	305.55	211.31	316.37	206.94	242.88	295.11	305.55	312.0	323.03	293.07	314.17	214.27	112.77	209.84	73.54	96.01	53.95	100.83	128.79	87.65	44.89	171.45	197.09	167.9	115.97	291.04	271.48	69.52	68.07	87.03
hsa-mir-1199	547.75	967.76	1119.56	890.44	738.29	651.58	1044.52	647.07	1030.12	1066.48	954.43	954.43	1023.0	616.37	764.36	854.13	193.01	363.56	915.51	246.28	220.32	79.45	195.72	297.17	177.53	158.79	460.44	444.72	59.97	490.14	629.35	144.01	167.9	395.18
