	TCGA.A8.A08B.01A.11R.A00Z.07	TCGA.B6.A0RO.01A.22R.A084.07	TCGA.BH.A0AZ.01A.21R.A12P.07	TCGA.A8.A0A6.01A.12R.A056.07	TCGA.D8.A1X7.01A.11R.A14M.07	TCGA.BH.A1FH.01A.12R.A13Q.07	TCGA.5T.A9QA.01A.11R.A41B.07	TCGA.A2.A0CZ.01A.11R.A034.07	TCGA.BH.A202.01A.11R.A14M.07	TCGA.A2.A04X.01A.21R.A034.07	TCGA.BH.A208.01A.11R.A157.07	TCGA.E9.A24A.01A.11R.A169.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.AC.A8OS.01A.12R.A41B.07	TCGA.E2.A10E.01A.21R.A10J.07	TCGA.A8.A06Q.01A.11R.A034.07	TCGA.AN.A0XP.01A.11R.A109.07	TCGA.AC.A23G.01A.11R.A213.07	TCGA.A1.A0SH.01A.11R.A084.07	TCGA.A2.A3KD.01A.12R.A213.07	TCGA.BH.A0DV.01A.21R.A12P.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.D8.A1XR.01A.11R.A14M.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.A8.A06N.01A.11R.A00Z.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.E9.A1NG.01A.21R.A14M.07	TCGA.A2.A0ET.01A.31R.A034.07	TCGA.D8.A1JN.01A.11R.A13Q.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.BH.A6R9.01A.21R.A32P.07	TCGA.OK.A5Q2.01A.11R.A27Q.07	TCGA.E2.A1IJ.01A.11R.A144.07	TCGA.D8.A73W.01A.22R.A352.07	TCGA.D8.A1XV.01A.11R.A14M.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.AC.A3HN.01A.11R.A213.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.AC.A2B8.01A.11R.A17B.07	TCGA.A8.A094.01A.11R.A00Z.07	TCGA.AR.A0TR.01A.11R.A084.07	TCGA.BH.A0DH.01A.11R.A084.07	TCGA.AN.A0FN.01A.11R.A034.07	TCGA.A1.A0SQ.01A.21R.A144.07	TCGA.A1.A0SM.01A.11R.A084.07	GTEX.1313W.0826.SM.5EQ4T	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
MAFB	384.34	329.84	1096.5	802.41	277.2	1268.46	149.12	1104.13	583.07	629.35	1417.35	718.08	303.44	1073.91	258.57	228.13	267.73	1397.83	785.88	688.78	995.0	244.57	325.29	142.01	384.34	323.03	915.51	301.33	406.31	249.73	3540.14	748.61	733.19	688.78	226.54	854.13	1059.11	438.59	669.92	941.27	674.59	123.5	301.33	1447.15	387.02	796.86	406.31	312.0	547.75
MAP3K7CL	19.39	66.65	176.29	150.17	92.7	125.24	35.25	124.37	113.56	99.43	283.05	171.45	77.79	116.78	96.01	32.13	183.82	287.01	108.14	76.71	244.57	329.84	58.3	75.64	80.01	111.21	226.54	85.82	50.98	77.25	204.07	143.01	162.14	258.57	40.64	153.34	105.15	48.52	96.01	94.01	155.5	36.01	63.45	371.22	101.54	72.52	232.94	0.0	0.0
MAP7D1	1119.56	454.09	1909.85	1199.98	1369.04	1819.35	1216.75	2400.97	1242.34	1151.06	1883.54	878.17	890.44	1605.83	890.44	511.0	954.43	2271.4	2209.26	1487.87	2075.59	1378.57	967.76	1225.22	1216.75	1151.06	2537.92	947.83	591.22	1498.22	3794.3	1857.6	1923.14	1268.46	848.22	2032.85	2061.24	1745.2	1936.53	1662.49	1030.12	896.64	1369.04	2997.45	848.22	2664.15	2240.11	1697.45	1242.34
MDGA1	45.53	42.71	172.65	7.17	29.06	197.09	0.92	125.24	28.65	26.28	125.24	63.0	100.13	72.52	59.13	6.16	47.17	152.28	96.01	29.48	87.65	57.08	27.64	2.16	8.58	43.94	51.35	14.67	15.68	46.84	387.02	64.8	99.43	37.32	16.27	76.71	107.38	11.91	48.18	50.98	65.72	15.0	14.89	139.07	17.38	46.84	82.29	0.0	0.3
MFAP5	486.75	77.25	5403.7	872.1	1437.15	902.89	53.19	2047.0	1242.34	808.0	9474.59	2319.15	571.05	551.56	518.15	70.51	1529.73	3690.52	4481.23	551.56	4450.27	934.76	1015.93	72.01	6.06	703.28	8901.53	177.53	118.43	599.49	2032.85	896.64	3395.89	1175.27	423.61	2935.74	1407.55	325.29	1175.27	1651.0	1167.14	4.5	633.73	5366.37	536.45	2075.59	5041.77	0.0	0.28
MMP16	4.39	13.83	155.5	28.86	30.34	239.52	36.53	107.38	35.25	7.69	264.03	58.71	127.0	52.82	23.08	0.72	13.03	82.29	194.36	40.07	115.97	52.08	36.79	0.59	4.03	30.12	37.05	18.29	5.59	79.45	139.07	28.86	89.51	25.17	66.18	18.7	116.78	5.23	34.51	217.27	13.72	2.12	7.63	136.19	54.72	28.04	112.77	0.0	0.02
MMP19	46.84	40.07	571.05	150.17	100.13	629.35	123.5	466.88	164.42	131.51	825.0	212.78	195.72	341.51	163.28	22.59	139.07	583.07	507.46	142.01	616.37	182.55	111.99	32.13	18.03	90.14	450.94	36.27	30.78	246.28	1216.75	199.85	343.89	279.14	24.46	212.78	429.54	123.5	140.04	277.2	226.54	18.29	102.97	583.07	52.45	339.14	242.88	0.0	0.36
MOXD1	68.07	90.14	236.21	163.28	68.55	400.71	2.73	105.15	165.57	48.87	387.02	163.28	106.63	105.89	30.34	40.36	109.66	283.05	170.25	43.63	283.05	24.81	99.43	8.32	2.48	40.07	363.56	21.16	16.27	68.07	486.75	94.01	173.85	57.89	36.53	291.04	87.03	22.92	400.71	176.29	99.43	10.71	46.84	231.32	40.36	92.05	24.99	0.0	0.66
MRC2	363.56	323.03	2956.17	738.29	620.67	3235.01	198.47	3847.29	591.22	497.0	2997.45	1015.93	514.56	2032.85	616.37	71.5	848.22	4543.8	4512.4	638.15	3716.2	713.11	583.07	88.26	24.81	521.76	3146.52	157.68	88.26	813.63	4575.41	1304.15	2609.3	2018.8	171.45	1104.13	3419.52	368.65	1963.57	1417.35	660.68	91.41	1794.29	3325.99	277.2	1819.35	1991.0	0.0	0.71
MRVI1	41.52	29.06	379.04	154.42	186.4	551.56	17.0	167.9	221.86	76.17	1008.9	193.01	147.06	173.85	95.34	33.54	202.66	329.84	373.81	85.22	303.44	212.78	60.39	29.7	17.77	84.63	417.77	24.99	22.92	98.04	429.54	189.02	228.13	128.79	43.94	267.73	232.94	71.5	182.55	171.45	111.99	9.34	55.49	332.14	75.64	164.42	441.64	0.0	0.59
MXRA5	571.05	206.94	5791.62	780.44	599.49	3690.52	30.78	3372.43	872.1	361.04	6887.62	1832.01	1397.83	1721.16	633.73	305.55	1119.56	3928.15	5954.47	665.29	4575.41	941.27	753.83	19.97	13.03	624.99	3794.3	102.25	147.06	738.29	4239.45	633.73	4038.61	1159.07	223.41	2061.24	2417.67	236.21	1519.15	2758.13	764.36	16.63	543.96	4268.94	232.94	2976.74	1001.93	0.0	0.06
NDN	102.97	122.64	660.68	206.94	127.0	612.11	19.11	825.0	164.42	112.77	728.11	206.94	170.25	379.04	183.82	69.03	206.94	718.08	579.04	170.25	733.19	262.2	121.79	35.0	10.88	127.89	612.11	40.07	45.85	211.31	1467.37	406.31	603.67	143.01	35.0	228.13	457.25	269.6	140.04	358.54	118.43	32.82	164.42	902.89	73.03	232.94	934.76	0.0	0.61
NEFM	0.0	0.64	18.56	4.46	4.13	18.97	0.0	17.13	3.23	1.28	32.36	3.0	3.96	9.2	1.03	0.0	1.33	69.52	19.68	5.87	16.75	3.11	0.35	0.0	0.0	2.29	15.22	0.0	0.35	1.03	432.53	6.52	25.17	1.68	0.79	1.6	7.63	1.16	1.19	10.79	5.19	0.0	4.17	14.35	0.69	4.24	5.92	0.0	0.26
NPTX2	6.46	33.54	101.54	18.16	6.21	181.28	15.34	89.51	52.45	50.98	51.71	7.94	14.24	31.22	19.53	0.0	61.25	139.07	101.54	0.89	95.34	74.06	8.0	45.85	2.71	18.03	128.79	0.45	5.02	67.59	79.45	11.04	99.43	35.0	5.23	301.33	41.52	7.75	17.9	98.04	18.84	1.45	6.26	100.13	6.84	95.34	6.73	0.0	0.21
OAF	249.73	156.59	974.5	318.57	125.24	1359.57	351.14	909.17	351.14	299.25	1044.52	314.17	470.14	1233.75	277.2	36.53	674.59	1151.06	265.87	511.0	1583.71	579.04	205.5	447.82	144.01	381.68	351.14	93.35	679.29	463.65	1037.29	728.11	599.49	1151.06	332.14	525.39	1167.14	651.58	373.81	441.64	189.02	316.37	215.77	1191.69	220.32	258.57	1733.13	0.0	0.29
OLFML1	43.94	51.35	624.99	163.28	98.04	470.14	14.24	463.65	100.13	103.69	884.29	204.07	148.09	264.03	117.6	15.8	205.5	417.77	486.75	125.24	769.69	194.36	95.34	18.16	6.78	98.73	486.75	40.64	23.59	158.79	595.34	183.82	438.59	170.25	38.67	287.01	346.29	96.01	122.64	209.84	149.12	37.85	73.03	780.44	85.22	264.03	860.08	0.0	0.15
OMD	21.94	53.19	1508.65	98.04	88.88	353.59	0.0	332.14	64.34	183.82	902.89	161.02	299.25	167.9	55.89	12.36	59.55	547.75	1909.85	88.88	775.05	146.03	82.87	5.63	0.0	92.7	536.45	50.27	12.09	122.64	339.14	189.02	941.27	67.12	33.54	169.07	325.29	612.11	121.79	435.55	57.08	22.92	48.52	1023.0	74.58	748.61	1127.35	0.0	0.14
PCDHGA12	0.0	11.13	135.24	16.63	24.28	113.56	5.11	150.17	21.78	11.55	108.9	59.97	36.27	81.14	22.1	2.2	73.03	130.6	73.54	33.06	109.66	23.08	30.34	4.66	3.96	20.11	120.1	5.63	6.84	34.02	104.42	51.71	96.68	82.87	15.45	76.71	96.01	24.99	40.36	50.63	40.36	8.0	17.64	102.97	43.02	15.45	78.34	0.0	0.35
PCOLCE	595.34	669.92	8479.89	909.17	854.13	5633.22	473.41	5711.87	902.89	1757.34	8479.89	2193.99	1143.1	4210.15	1540.37	348.71	3716.2	8840.04	6887.62	1208.34	7537.18	1991.0	1119.56	473.41	127.0	848.22	5403.7	346.29	343.89	1794.29	12076.21	3039.3	5555.65	2335.28	387.02	2451.44	4481.23	825.0	1508.65	2090.03	1388.16	713.11	1242.34	7911.95	775.05	4239.45	4066.71	0.0	0.87
PDGFRB	318.57	420.68	4903.87	1023.0	1127.35	4181.07	229.72	3665.02	884.29	921.88	6381.92	2287.2	1844.76	2796.65	1437.15	204.07	2240.11	4481.23	3467.27	1277.29	4512.4	2271.4	1378.57	237.86	126.12	1073.91	4836.35	346.29	348.71	1639.59	7642.41	1769.57	3168.41	2875.3	444.72	2255.7	3280.18	921.88	1167.14	2209.26	967.76	197.09	842.36	5041.77	1111.82	1991.0	2193.99	0.0	1.03
PDLIM7	1119.56	551.56	2090.03	872.1	718.08	2240.11	1651.0	2701.35	718.08	607.87	3190.46	738.29	511.0	2319.15	1104.13	384.34	1001.93	4543.8	2758.13	928.3	2090.03	954.43	532.74	420.68	194.36	688.78	2895.31	157.68	420.68	796.86	6983.79	2956.17	2956.17	1870.53	246.28	1199.98	2739.08	518.15	909.17	1832.01	775.05	275.28	1081.39	2701.35	511.0	1806.78	1427.22	2400.97	381.68
PGF	62.12	93.35	384.34	146.03	159.9	248.0	120.94	463.65	71.0	185.11	540.19	232.94	104.42	167.9	69.03	9.85	301.33	785.88	98.04	208.38	500.46	406.31	218.79	73.54	59.97	80.01	723.08	53.95	44.57	218.79	500.46	429.54	303.44	579.04	76.17	152.28	371.22	153.34	96.01	193.01	98.73	18.03	141.02	848.22	183.82	120.1	327.56	0.0	0.69
PLXDC1	1322.37	101.54	1359.57	384.34	309.83	1175.27	169.07	921.88	285.03	241.19	2335.28	718.08	457.25	785.88	289.02	48.52	1191.69	1127.35	551.56	395.18	1151.06	769.69	480.04	141.02	53.95	299.25	1151.06	217.27	102.25	341.51	2163.77	409.15	708.18	813.63	180.02	660.68	947.83	177.53	457.25	620.67	152.28	58.71	236.21	1437.15	309.83	915.51	356.05	0.0	0.4
PLXNA1	120.1	90.77	395.18	343.89	273.37	450.94	63.45	423.61	162.14	147.06	336.79	249.73	129.69	264.03	209.84	258.57	208.38	483.38	511.0	273.37	285.03	172.65	161.02	38.4	89.51	147.06	297.17	215.77	66.18	285.03	1191.69	264.03	412.0	353.59	177.53	334.46	358.54	121.79	543.96	339.14	256.78	124.37	102.97	289.02	121.79	423.61	320.8	145.02	52.82
PODN	112.77	158.79	2855.44	371.22	348.71	2240.11	31.67	2163.77	201.25	229.72	4388.98	483.38	684.02	2163.77	327.56	113.56	299.25	2537.92	2555.58	551.56	3614.55	551.56	251.48	23.76	9.06	358.54	1781.89	69.03	92.05	403.5	1340.84	1313.23	2193.99	591.22	92.05	723.08	2178.83	684.02	651.58	1369.04	175.07	185.11	400.71	3257.52	314.17	954.43	1417.35	273.37	1037.29
PPAPDC3	0.79	16.88	107.38	31.22	23.59	99.43	4.98	83.45	13.83	12.09	81.71	21.01	22.1	63.89	21.78	1.91	30.12	140.04	102.97	36.27	94.01	37.32	25.54	6.52	0.73	17.13	95.34	11.91	5.36	22.1	116.78	72.52	88.26	56.68	4.9	38.4	86.43	34.02	35.5	45.85	22.59	3.56	20.26	85.22	11.13	18.29	74.06	0.0	0.34
PPIC	543.96	3325.99	2835.7	1950.0	1183.45	2367.9	285.03	2018.8	1225.22	1551.09	4095.0	1073.91	995.0	1369.04	1286.18	1832.01	1662.49	2468.49	3443.31	934.76	2875.3	1378.57	1397.83	1015.93	358.54	1127.35	2193.99	476.71	967.76	1250.98	2895.31	1378.57	2520.38	941.27	507.46	2255.7	1896.65	842.36	2075.59	1519.15	1540.37	656.11	1233.75	3124.78	1096.5	2178.83	2434.5	638.15	603.67
PRDM6	17.25	21.16	159.9	21.94	11.3	84.63	4.1	82.29	29.91	8.19	107.38	27.44	15.11	23.93	30.56	87.03	12.83	57.89	126.12	8.38	72.52	14.03	12.0	10.39	4.31	16.15	44.57	6.01	27.05	13.83	30.56	55.1	43.94	20.41	19.97	52.45	49.91	2.46	25.91	53.57	26.86	8.13	12.45	102.97	3.92	30.12	21.32	0.0	0.42
PRKCDBP	124.37	161.02	1183.45	381.68	271.48	547.75	72.01	791.35	241.19	226.54	854.13	295.11	123.5	698.41	289.02	58.3	466.88	2335.28	947.83	638.15	775.05	620.67	271.48	82.29	33.54	137.14	947.83	34.51	180.02	518.15	1519.15	909.17	947.83	808.0	182.55	285.03	928.3	180.02	1073.91	389.72	291.04	41.81	316.37	1081.39	189.02	638.15	1594.73	0.0	0.55
PRRX1	529.06	271.48	4298.64	780.44	543.96	3349.13	102.25	2895.31	624.99	334.46	3982.99	1437.15	1051.79	1378.57	872.1	103.69	738.29	2224.63	3955.48	599.49	3280.18	785.88	764.36	48.87	20.86	454.09	3847.29	101.54	81.71	759.08	4066.71	902.89	2061.24	1015.93	159.9	1508.65	1721.16	346.29	813.63	1551.09	890.44	115.16	277.2	4671.57	212.78	1769.57	3540.14	0.0	0.61
PTRF	688.78	785.88	4268.94	1950.0	1617.0	5219.6	249.73	5441.3	1551.09	1151.06	7032.37	1378.57	1183.45	3515.68	1417.35	271.48	1583.71	8022.41	6337.83	1457.23	6887.62	2485.67	1233.75	432.53	249.73	775.05	6294.04	358.54	406.31	1551.09	9409.14	3190.46	4607.24	2384.37	403.5	2004.85	4095.0	1721.16	2956.17	2701.35	1487.87	275.28	1277.29	6840.04	1111.82	2502.97	10084.54	1963.57	1427.22
RCVRN	0.0	3.41	11.38	0.0	0.36	10.79	0.56	9.63	0.77	1.0	2.68	7.51	3.76	7.69	2.07	0.0	0.69	8.85	23.76	0.39	3.11	4.28	0.0	0.0	1.22	0.71	4.86	0.95	0.0	1.06	16.63	1.31	7.88	8.13	1.58	1.64	10.79	3.5	10.31	2.48	1.04	0.95	3.35	19.39	0.0	0.0	10.47	0.0	0.16
RECK	48.52	38.4	420.68	149.12	96.68	406.31	10.31	202.66	108.9	41.22	748.61	150.17	176.29	202.66	65.26	19.68	75.64	299.25	473.41	121.79	325.29	120.94	52.82	8.85	8.92	62.12	366.09	17.77	31.9	77.79	273.37	106.63	356.05	122.64	27.84	153.34	232.94	64.8	176.29	172.65	89.51	18.29	48.18	403.5	63.89	182.55	389.72	0.0	0.45
RNF175	0.0	4.06	37.85	67.12	6.89	53.19	1.93	15.68	15.91	5.19	51.35	17.38	17.25	22.1	84.04	0.78	5.02	44.57	35.0	7.11	26.86	12.0	3.03	1.79	1.85	7.0	36.27	4.66	2.32	6.84	44.89	20.11	53.57	10.08	4.74	11.21	13.52	7.75	118.43	9.78	14.56	2.53	9.85	20.26	4.13	40.93	19.25	0.0	0.35
RP11-676J12.7	0.0	3.56	17.0	11.47	5.15	40.93	3.35	43.32	9.2	4.03	16.03	7.82	8.78	15.8	17.51	0.0	10.63	31.67	13.42	10.71	13.12	16.51	7.82	2.14	0.0	3.53	29.7	0.71	2.39	7.82	92.7	8.99	13.93	6.36	0.0	8.78	28.04	6.06	2.14	15.56	9.78	0.0	1.79	52.82	7.11	15.0	13.52	0.0	0.0
SCGB2A2	881742.8	736332.6	762299.34	1800541.22	845824.19	215898.44	320506.81	336441.4	800198.39	978355.0	857631.47	938500.81	1318073.06	875652.15	919186.72	301123.38	1163466.92	6652.97	659036.03	1238359.56	41475.31	1788103.97	1034138.94	1751305.3	395.18	2279047.19	378516.38	3.92	1668359.93	1422501.74	500.46	887875.81	783730.52	1600397.78	834179.46	1524599.69	303217.87	8805660.77	1345768.59	225066.78	912837.43	47.17	894051.48	168220.2	1578364.61	1187913.85	1442359.14	0.0	0.0
SLC6A6	110.43	115.97	412.0	368.65	567.1	253.23	211.31	291.04	473.41	194.36	748.61	438.59	426.57	281.09	239.52	62.12	237.86	607.87	412.0	165.57	373.81	273.37	423.61	21.32	131.51	262.2	988.12	187.71	63.45	181.28	429.54	309.83	638.15	438.59	190.34	363.56	403.5	206.94	1662.49	660.68	226.54	56.68	256.78	532.74	242.88	305.55	205.5	0.0	0.61
SMIM3	0.0	0.0	4.62	0.0	0.0	4.5	0.0	8.99	0.0	0.0	10.96	2.89	5.06	0.0	1.45	2.2	0.0	10.79	4.9	0.0	5.73	2.63	1.04	1.2	0.95	1.07	7.17	0.0	2.39	0.0	6.36	0.0	6.84	5.02	0.0	4.28	6.52	0.0	1.27	7.17	2.48	3.23	0.0	5.92	1.81	8.58	0.0	0.0	0.0
SPON2	1044.52	624.99	1936.53	423.61	228.13	2976.74	239.52	3103.19	896.64	215.77	1757.34	457.25	470.14	2178.83	884.29	65.26	551.56	3874.05	1794.29	1119.56	2104.58	503.95	363.56	96.01	163.28	511.0	1268.46	71.5	130.6	738.29	6840.04	1529.73	1977.24	1030.12	47.5	607.87	3081.75	316.37	583.07	1378.57	351.14	102.25	723.08	1594.73	249.73	2224.63	872.1	0.0	1.14
SSC5D	44.57	128.79	583.07	119.26	547.75	1304.15	5.28	1008.9	119.26	148.09	884.29	62.56	173.85	866.07	133.36	16.39	166.73	514.56	320.8	397.93	1088.92	177.53	100.13	6.84	5.63	100.13	334.46	23.93	24.99	78.89	587.13	366.09	325.29	237.86	884.29	295.11	441.64	62.12	135.24	269.6	81.14	21.16	109.66	420.68	55.1	232.94	521.76	0.0	0.27
ST3GAL2	67.12	81.71	293.07	167.9	149.12	381.68	46.5	316.37	87.65	81.14	239.52	143.01	111.99	264.03	111.99	49.91	90.77	521.76	341.51	119.26	348.71	193.01	126.12	34.02	72.52	65.26	248.0	72.52	34.75	120.1	656.11	185.11	305.55	201.25	39.79	159.9	381.68	119.26	137.14	190.34	135.24	34.26	85.82	376.41	189.02	176.29	162.14	121.79	87.65
TGFB1I1	314.17	260.38	2417.67	733.19	473.41	1561.89	551.56	1844.76	379.04	339.14	3190.46	728.11	457.25	848.22	620.67	103.69	660.68	2224.63	2163.77	423.61	1883.54	607.87	480.04	176.29	71.5	420.68	2075.59	127.0	93.35	743.43	2537.92	1008.9	1378.57	684.02	186.4	878.17	1001.93	253.23	500.46	947.83	454.09	77.79	376.41	2240.11	339.14	988.12	1674.06	0.0	0.89
TLN1	2351.53	808.0	3467.27	2645.74	2148.82	3235.01	1909.85	4671.57	2303.12	2047.0	4210.15	2303.12	1950.0	3491.39	2591.27	1963.57	2537.92	4152.18	4450.27	2591.27	4358.66	2645.74	2417.67	1896.65	1498.22	2209.26	3820.7	1883.54	1832.01	2555.58	4010.71	3982.99	3614.55	3467.27	1508.65	3928.15	3665.02	2935.74	3794.3	3639.7	1721.16	1242.34	2319.15	4972.34	2520.38	2976.74	4210.15	2855.44	63.89
TMEM233	18.03	3.56	18.16	11.04	8.51	8.51	2.29	18.16	4.62	4.31	31.45	11.21	11.38	22.43	6.89	1.0	15.34	25.35	10.47	7.57	26.67	35.76	13.52	4.66	5.96	8.99	23.59	5.59	6.21	14.03	11.91	6.52	19.11	23.76	5.63	15.45	21.78	10.08	563.18	7.46	10.63	1.77	6.06	40.07	10.47	7.34	16.88	0.0	0.09
TNFAIP6	194.36	155.5	961.07	224.97	256.78	1096.5	15.22	698.41	242.88	150.17	1088.92	403.5	473.41	202.66	567.1	13.12	381.68	819.3	743.43	70.51	612.11	473.41	301.33	30.56	8.0	217.27	651.58	43.32	33.78	201.25	2417.67	169.07	651.58	503.95	63.0	351.14	450.94	44.89	157.68	379.04	217.27	1.19	133.36	1259.69	53.57	525.39	764.36	169.07	323.03
TRAPPC3L	6.31	0.58	5.36	6.73	1.89	5.63	0.0	2.01	1.77	2.48	8.25	3.66	1.95	2.97	2.63	0.0	4.86	4.28	4.46	0.67	6.78	4.86	0.61	0.54	0.27	0.62	2.16	2.36	0.92	0.65	5.02	0.6	7.69	2.61	1.87	3.92	3.14	0.73	1.53	2.73	0.0	0.0	1.58	6.57	1.31	1.39	4.66	0.0	0.0
TRPC4	0.0	1.91	14.56	5.5	7.0	8.32	4.58	6.41	8.71	2.63	44.57	9.13	13.52	5.87	3.14	1.79	32.82	13.22	5.11	3.29	15.0	24.99	5.02	2.63	1.51	5.45	11.82	3.14	2.94	6.94	34.02	5.59	5.77	13.83	4.39	9.48	9.2	7.11	5.68	7.94	2.76	0.95	3.06	17.51	4.17	3.72	12.18	0.0	0.24
TSHZ3	23.25	22.43	392.44	68.07	70.01	329.84	54.33	271.48	57.08	31.0	332.14	107.38	99.43	134.3	76.17	9.13	65.26	295.11	320.8	111.21	307.69	79.45	55.89	6.67	9.34	72.52	336.79	14.67	15.68	72.01	579.04	98.73	234.57	113.56	24.63	131.51	242.88	32.59	98.04	183.82	72.52	19.82	49.91	348.71	39.79	189.02	279.14	0.0	0.65
ZCCHC5	0.0	0.33	6.84	2.73	4.66	13.83	0.0	3.41	1.5	1.64	10.96	2.78	2.07	12.18	1.73	0.0	2.03	2.46	7.69	6.94	23.42	1.81	0.67	0.0	0.31	2.03	15.68	0.32	0.34	2.07	18.43	3.92	4.21	2.41	0.8	5.77	3.66	0.4	3.66	3.23	0.69	0.0	0.35	4.06	0.71	5.19	4.66	0.0	0.0
