	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A1FD.11B.21R.A13Q.07	TCGA.BH.A0H9.11A.22R.A466.07	TCGA.BH.A18R.11A.42R.A12D.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A203.11A.42R.A169.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.BH.A18P.11A.43R.A12D.07	TCGA.BH.A18Q.11A.34R.A12D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.E2.A15I.11A.32R.A137.07	TCGA.BH.A1FM.11B.23R.A13Q.07	TCGA.A7.A13G.11A.51R.A13Q.07	TCGA.E2.A1BC.11A.32R.A12P.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.ZPIC.1126.SM.5BC7F	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.11P81.1926.SM.5BC53	GTEX.11ZTT.2326.SM.5EQLG	GTEX.132AR.0826.SM.5EGK6	GTEX.TMMY.0726.SM.33HBE	GTEX.13CF3.2126.SM.5IFJP	GTEX.ZQG8.0726.SM.5P9H9	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.1117F.2826.SM.5GZXL	GTEX.13113.1726.SM.5GCOO	GTEX.13OVG.1426.SM.5K7VP	GTEX.13W3W.2126.SM.5K7UX	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.13OVI.1026.SM.5L3EM
NCOA6	595.34	540.19	591.22	348.71	529.06	521.76	536.45	620.67	665.29	607.87	483.38	473.41	559.28	412.0	480.04	571.05	476.71	567.1	703.28	497.0	647.07	454.09	529.06	575.03	525.39	775.05	454.09	249.73	343.89	521.76	603.67	376.41	265.87	346.29	267.73	223.41	187.71	438.59
NOL9	236.21	167.9	150.17	84.63	165.57	182.55	140.04	212.78	309.83	204.07	129.69	128.79	223.41	112.77	142.01	185.11	143.01	126.12	223.41	177.53	132.44	123.5	163.28	101.54	141.02	256.78	102.25	115.97	124.37	161.02	199.85	81.71	106.63	76.17	48.52	47.17	47.5	139.07
PAPD4	1081.39	928.3	860.08	368.65	890.44	713.11	514.56	1015.93	1191.69	1015.93	665.29	738.29	981.29	607.87	854.13	915.51	785.88	633.73	1359.57	738.29	470.14	503.95	759.08	490.14	293.07	1111.82	441.64	444.72	476.71	454.09	579.04	571.05	444.72	145.02	208.38	130.6	283.05	947.83
PARP2	642.59	629.35	543.96	241.19	642.59	400.71	379.04	599.49	796.86	595.34	423.61	480.04	775.05	389.72	403.5	738.29	395.18	379.04	775.05	368.65	279.14	283.05	571.05	303.44	325.29	575.03	253.23	265.87	329.84	356.05	559.28	265.87	289.02	130.6	202.66	194.36	212.78	842.36
PASK	146.03	141.02	73.03	29.7	105.89	44.25	40.07	144.01	204.07	115.97	50.98	84.63	195.72	44.89	58.3	111.21	53.57	30.78	167.9	73.54	60.82	40.36	143.01	31.22	57.08	147.06	47.17	15.56	57.08	99.43	108.14	92.7	57.89	79.45	20.41	15.8	57.49	130.6
PAXBP1	660.68	567.1	379.04	101.54	620.67	358.54	186.4	603.67	902.89	607.87	329.84	379.04	638.15	249.73	363.56	591.22	392.44	234.57	753.83	305.55	316.37	242.88	426.57	141.02	214.27	738.29	182.55	152.28	258.57	332.14	412.0	244.57	181.28	17.38	93.35	39.22	90.77	490.14
PCDHA2	10.88	7.28	8.65	1.51	6.62	2.46	1.66	5.87	7.57	10.63	5.68	7.69	4.78	2.51	3.63	8.38	3.92	1.28	40.93	8.13	8.38	1.41	5.28	7.88	6.01	8.65	0.3	4.82	0.0	5.82	2.66	4.9	0.17	3.32	0.0	0.0	0.58	18.84
PCDHA3	35.76	34.75	24.99	10.39	9.7	7.57	3.29	22.43	24.28	44.57	24.99	28.04	18.16	8.13	17.0	34.02	13.52	9.34	120.94	39.22	6.52	3.82	23.42	1.73	11.91	64.34	0.0	6.84	14.24	8.58	25.91	13.22	5.23	26.47	0.0	0.84	2.36	90.14
PIAS3	1397.83	1015.93	854.13	299.25	1119.56	612.11	368.65	1127.35	1175.27	1143.1	595.34	802.41	1417.35	441.64	603.67	1175.27	616.37	435.55	1199.98	688.78	629.35	241.19	872.1	339.14	532.74	1167.14	325.29	228.13	466.88	854.13	896.64	620.67	540.19	327.56	107.38	86.43	96.01	1066.48
PLAGL2	234.57	237.86	134.3	55.49	170.25	105.89	61.68	176.29	183.82	201.25	102.97	130.6	185.11	73.54	120.94	159.9	95.34	60.82	178.77	167.9	158.79	106.63	176.29	67.12	120.1	264.03	112.77	88.88	135.24	134.3	209.84	116.78	90.14	52.82	28.86	38.4	33.06	161.02
PNN	1268.46	1127.35	836.53	361.04	1191.69	629.35	607.87	1498.22	1639.59	1388.16	738.29	819.3	1407.55	551.56	651.58	1378.57	633.73	587.13	1498.22	947.83	703.28	575.03	1191.69	571.05	995.0	1447.15	493.56	493.56	633.73	854.13	1037.29	684.02	629.35	118.43	376.41	158.79	392.44	1662.49
POLR3C	642.59	679.29	718.08	503.95	713.11	583.07	518.15	612.11	780.44	559.28	529.06	591.22	638.15	500.46	656.11	698.41	503.95	642.59	753.83	583.07	119.26	500.46	728.11	373.81	363.56	1081.39	674.59	353.59	423.61	620.67	679.29	420.68	480.04	444.72	153.34	149.12	170.25	738.29
POU2F1	163.28	111.99	96.68	33.06	116.78	120.94	59.13	133.36	134.3	124.37	100.83	104.42	164.42	77.25	78.89	109.66	90.77	52.45	121.79	70.01	85.82	50.63	92.7	59.13	33.06	134.3	59.13	47.84	80.57	71.0	96.01	75.64	49.91	16.27	16.88	13.52	28.65	197.09
PRPF38B	890.44	708.18	547.75	265.87	698.41	518.15	395.18	1015.93	1081.39	878.17	503.95	476.71	854.13	432.53	473.41	825.0	500.46	358.54	785.88	511.0	476.71	373.81	872.1	403.5	447.82	1250.98	429.54	366.09	454.09	674.59	684.02	450.94	532.74	48.52	173.85	46.18	167.9	708.18
PTBP2	381.68	376.41	295.11	122.64	339.14	197.09	236.21	438.59	854.13	400.71	186.4	307.69	532.74	182.55	363.56	395.18	206.94	289.02	612.11	291.04	190.34	199.85	379.04	129.69	236.21	638.15	143.01	129.69	202.66	297.17	376.41	224.97	189.02	68.55	34.75	20.71	48.18	371.22
QRICH1	1250.98	1081.39	1167.14	638.15	1167.14	1008.9	896.64	1286.18	1277.29	1175.27	909.17	915.51	1340.84	921.88	947.83	1233.75	995.0	708.18	1135.2	674.59	713.11	728.11	1111.82	775.05	599.49	1794.29	902.89	679.29	878.17	629.35	1259.69	941.27	902.89	507.46	348.71	358.54	353.59	1447.15
RAF1	1477.58	1407.55	1295.13	884.29	1417.35	1331.57	1081.39	1508.65	1662.49	1388.16	1081.39	1259.69	1721.16	1119.56	1286.18	1697.45	1286.18	954.43	1757.34	1051.79	1001.93	830.75	1111.82	848.22	896.64	2061.24	967.76	723.08	1127.35	1369.04	1359.57	1594.73	1208.34	713.11	995.0	1001.93	1127.35	1331.57
RBBP6	1008.9	1104.13	775.05	346.29	1001.93	616.37	583.07	1073.91	1304.15	1044.52	607.87	825.0	974.5	543.96	825.0	1104.13	723.08	607.87	1104.13	647.07	624.99	612.11	769.69	466.88	555.41	934.76	406.31	450.94	493.56	698.41	665.29	775.05	563.18	231.32	285.03	133.36	305.55	1088.92
RFX3	111.21	90.77	61.25	27.05	77.25	52.45	28.24	105.15	129.69	105.89	60.39	62.56	106.63	44.89	55.49	77.79	54.33	38.95	111.21	29.27	63.0	37.59	85.22	16.03	16.75	134.3	24.99	16.51	61.25	55.49	72.01	71.5	50.27	12.45	9.41	6.52	7.4	125.24
RFXAP	149.12	198.47	138.1	79.45	173.85	79.45	97.36	155.5	232.94	150.17	94.67	115.16	149.12	81.14	187.71	162.14	119.26	95.34	220.32	128.79	64.34	129.69	131.51	74.58	115.97	241.19	40.93	45.53	88.26	115.97	82.29	85.22	82.87	24.28	17.51	15.34	25.54	325.29
RIC3	536.45	325.29	202.66	25.17	287.01	40.93	35.0	476.71	490.14	384.34	169.07	204.07	551.56	40.07	116.78	454.09	43.63	112.77	902.89	116.78	51.35	25.72	249.73	1.77	3.76	395.18	6.94	9.48	12.64	101.54	163.28	32.13	27.64	7.28	4.1	13.32	29.27	271.48
RNF115	620.67	540.19	595.34	273.37	500.46	457.25	368.65	575.03	486.75	438.59	376.41	409.15	579.04	409.15	460.44	444.72	460.44	371.22	379.04	432.53	154.42	463.65	400.71	432.53	206.94	555.41	612.11	466.88	325.29	368.65	679.29	414.87	314.17	339.14	127.0	149.12	193.01	525.39
RNF146	1073.91	1059.11	928.3	674.59	934.76	1059.11	902.89	1066.48	915.51	1096.5	1059.11	961.07	921.88	934.76	1183.45	878.17	1008.9	981.29	928.3	866.07	848.22	688.78	921.88	743.43	780.44	1477.58	603.67	624.99	733.19	775.05	884.29	688.78	559.28	361.04	244.57	214.27	334.46	1498.22
RP11-849H4.2	66.65	67.12	41.52	35.76	69.03	73.03	22.75	78.89	111.99	67.12	49.91	63.0	100.13	56.28	42.71	83.45	48.87	42.11	94.01	64.8	59.13	24.99	82.87	44.89	39.22	75.64	9.34	23.59	22.43	27.64	66.18	67.59	47.84	16.88	33.06	25.54	8.25	70.01
RTTN	249.73	260.38	198.47	113.56	246.28	105.89	102.25	195.72	381.68	211.31	117.6	169.07	273.37	87.65	237.86	249.73	154.42	154.42	444.72	146.03	112.77	141.02	208.38	97.36	81.14	379.04	94.67	61.68	151.22	142.01	218.79	137.14	80.01	43.32	53.95	110.43	78.89	186.4
RWDD4	521.76	563.18	559.28	301.33	525.39	438.59	454.09	514.56	759.08	551.56	406.31	480.04	473.41	420.68	500.46	503.95	363.56	336.79	555.41	629.35	358.54	444.72	409.15	379.04	320.8	660.68	432.53	351.14	336.79	532.74	463.65	371.22	376.41	162.14	169.07	180.02	241.19	571.05
SCAF8	718.08	738.29	647.07	246.28	743.43	463.65	406.31	819.3	1059.11	723.08	429.54	540.19	830.75	417.77	555.41	808.0	473.41	406.31	915.51	529.06	514.56	392.44	733.19	353.59	264.03	1127.35	368.65	295.11	346.29	567.1	674.59	463.65	384.34	88.88	123.5	101.54	147.06	2520.38
SEC61A2	149.12	136.19	88.26	51.71	111.21	103.69	61.68	146.03	178.77	141.02	72.52	72.01	185.11	74.06	102.25	134.3	72.52	50.98	166.73	62.12	76.17	53.57	111.99	57.49	66.18	264.03	53.19	39.5	96.01	99.43	94.67	74.06	80.57	67.59	84.63	95.34	142.01	93.35
SENP7	447.82	441.64	287.01	92.05	387.02	309.83	126.12	500.46	679.29	529.06	249.73	256.78	480.04	211.31	348.71	366.09	281.09	187.71	603.67	271.48	277.2	185.11	353.59	170.25	163.28	348.71	92.05	169.07	172.65	155.5	242.88	221.86	171.45	13.03	44.25	15.91	58.71	603.67
SERPINE3	33.3	31.22	24.46	6.26	23.76	13.72	9.2	30.78	55.49	24.11	17.38	21.16	28.65	10.16	23.59	23.76	16.03	12.45	17.77	20.26	12.55	25.54	10.24	10.24	14.35	15.11	10.0	18.56	7.69	6.46	21.16	20.86	7.82	0.71	4.62	1.46	6.84	33.54
SFPQ	5403.7	4388.98	3742.05	2018.8	4328.55	3018.3	2875.3	6337.83	5329.3	4704.07	2956.17	2915.45	5872.48	2855.44	2271.4	6079.61	2609.3	2178.83	6381.92	3955.48	2997.45	2855.44	4671.57	2591.27	3491.39	5555.65	2855.44	2335.28	2739.08	4671.57	4769.75	4095.0	3794.3	1216.75	1651.0	723.08	1111.82	5913.33
SFSWAP	802.41	466.88	587.13	320.8	651.58	406.31	318.57	669.92	669.92	595.34	389.72	460.44	679.29	387.02	466.88	607.87	417.77	497.0	738.29	327.56	457.25	376.41	500.46	256.78	307.69	579.04	379.04	267.73	395.18	575.03	571.05	466.88	429.54	180.02	220.32	142.01	147.06	934.76
SIN3B	796.86	591.22	486.75	351.14	769.69	435.55	381.68	890.44	616.37	642.59	409.15	511.0	921.88	441.64	490.14	728.11	540.19	490.14	988.12	346.29	435.55	309.83	567.1	287.01	277.2	693.58	511.0	371.22	521.76	819.3	703.28	450.94	470.14	518.15	157.68	150.17	109.66	941.27
SLC25A14	334.46	323.03	265.87	182.55	301.33	195.72	152.28	339.14	346.29	312.0	181.28	221.86	353.59	172.65	226.54	301.33	206.94	132.44	423.61	244.57	151.22	161.02	264.03	125.24	199.85	341.51	161.02	108.9	169.07	253.23	234.57	223.41	182.55	154.42	145.02	57.49	56.28	312.0
SLC37A3	947.83	921.88	591.22	356.05	629.35	796.86	493.56	656.11	890.44	591.22	571.05	454.09	688.78	529.06	511.0	698.41	518.15	301.33	884.29	332.14	529.06	339.14	642.59	234.57	301.33	934.76	417.77	253.23	638.15	723.08	688.78	432.53	466.88	327.56	141.02	124.37	125.24	1199.98
SLC38A2	2915.45	3081.75	2976.74	785.88	2148.82	1977.24	1487.87	3589.58	2485.67	2935.74	1199.98	1540.37	2400.97	1407.55	1857.6	1806.78	1529.73	884.29	1709.26	1733.13	1540.37	2537.92	1745.2	1745.2	1583.71	4010.71	2520.38	1487.87	1594.73	1639.59	2915.45	2319.15	1583.71	320.8	1477.58	934.76	1639.59	3491.39
SNIP1	246.28	239.52	185.11	123.5	217.27	161.02	98.73	228.13	242.88	226.54	150.17	175.07	220.32	128.79	170.25	260.38	119.26	136.19	312.0	165.57	158.79	136.19	208.38	105.15	120.1	299.25	145.02	104.42	114.36	144.01	226.54	154.42	139.07	93.35	59.13	109.66	97.36	181.28
SNW1	1277.29	1477.58	1417.35	1023.0	1407.55	1143.1	1191.69	1561.89	1519.15	1350.18	1159.07	1135.2	1477.58	1199.98	1143.1	1551.09	921.88	1135.2	1977.24	1378.57	1233.75	1127.35	1397.83	785.88	921.88	1721.16	1066.48	743.43	1059.11	1313.23	1295.13	1359.57	921.88	529.06	563.18	503.95	525.39	1857.6
SON	4268.94	3847.29	3168.41	1216.75	3874.05	3515.68	2351.53	4268.94	5076.84	3716.2	2915.45	3146.52	4298.64	2609.3	3124.78	4268.94	3467.27	2133.97	3820.7	3665.02	3303.0	3212.66	3982.99	2758.13	3081.75	5219.6	2777.33	2664.15	3235.01	3280.18	4095.0	2502.97	2664.15	603.67	974.5	665.29	1066.48	3146.52
SP3	1572.76	1594.73	1216.75	490.14	1407.55	995.0	728.11	1617.0	2047.0	1397.83	947.83	1073.91	1551.09	759.08	1159.07	1417.35	947.83	915.51	1572.76	1096.5	1167.14	733.19	1417.35	486.75	708.18	1721.16	500.46	514.56	802.41	1457.23	1175.27	860.08	567.1	135.24	239.52	155.5	287.01	1870.53
SPG20	1225.22	1340.84	1388.16	1015.93	1477.58	1417.35	1369.04	1487.87	1806.78	1417.35	1427.22	1268.46	1407.55	1467.37	1674.06	1617.0	1388.16	1030.12	1594.73	2018.8	2367.9	1023.0	1322.37	764.36	941.27	4802.93	587.13	656.11	791.35	1242.34	1208.34	583.07	796.86	285.03	32.59	144.01	198.47	2468.49
SREK1	1359.57	1183.45	738.29	265.87	1111.82	819.3	579.04	1407.55	1794.29	1331.57	723.08	836.53	1407.55	660.68	813.63	1208.34	796.86	540.19	1617.0	764.36	780.44	490.14	1286.18	358.54	547.75	1963.57	567.1	297.17	438.59	651.58	988.12	612.11	483.38	43.94	177.53	66.65	206.94	1259.69
SRGAP1	182.55	115.16	75.11	22.59	114.36	95.34	35.25	134.3	111.99	145.02	99.43	68.07	129.69	70.01	78.34	82.87	85.82	53.19	119.26	51.35	57.89	30.12	76.71	50.63	53.57	165.57	36.01	20.71	104.42	81.14	60.82	65.26	41.81	104.42	10.55	8.0	8.0	49.56
SRSF10	2240.11	2178.83	1594.73	802.41	1769.57	1561.89	981.29	2271.4	3103.19	2224.63	1268.46	1397.83	2351.53	1199.98	1437.15	2224.63	1369.04	1030.12	1909.85	1427.22	1250.98	1037.29	1662.49	860.08	1295.13	1936.53	1119.56	947.83	1059.11	2178.83	1781.89	1806.78	1540.37	346.29	723.08	514.56	764.36	2047.0
SRSF11	3847.29	3081.75	2335.28	842.36	3491.39	2075.59	2004.85	4095.0	4010.71	3280.18	2148.82	2400.97	3589.58	1757.34	2335.28	3690.52	2485.67	1617.0	3491.39	2032.85	1883.54	1583.71	2895.31	1781.89	1529.73	5517.27	1883.54	1350.18	1295.13	2090.03	2835.7	2148.82	1662.49	161.02	629.35	191.67	579.04	5292.48
SUPT16H	1540.37	1662.49	1397.83	934.76	1639.59	1250.98	1104.13	1519.15	1806.78	1467.37	1286.18	1331.57	1561.89	1225.22	1340.84	1721.16	1191.69	1135.2	1832.01	1487.87	1175.27	1030.12	1769.57	909.17	1233.75	2018.8	1111.82	764.36	1331.57	1369.04	1529.73	748.61	819.3	392.44	444.72	323.03	460.44	2047.0
TAF2	414.87	429.54	281.09	114.36	320.8	358.54	199.85	373.81	460.44	353.59	253.23	289.02	379.04	262.2	305.55	309.83	293.07	180.02	406.31	217.27	241.19	148.09	343.89	113.56	194.36	514.56	239.52	178.77	212.78	334.46	493.56	241.19	229.72	36.53	124.37	46.18	100.83	260.38
TARDBP	3146.52	2645.74	2351.53	1583.71	2502.97	2303.12	2758.13	3060.45	3395.89	2701.35	2255.7	2224.63	3018.3	2047.0	1896.65	2720.15	2032.85	1733.13	2956.17	2417.67	2075.59	1950.0	2739.08	1909.85	2537.92	2895.31	1662.49	1745.2	2004.85	2451.44	2485.67	1697.45	1870.53	1191.69	1561.89	1277.29	1437.15	2537.92
TCERG1	1143.1	836.53	693.58	256.78	854.13	620.67	493.56	902.89	1674.06	947.83	490.14	567.1	1015.93	447.82	543.96	860.08	579.04	432.53	1051.79	507.46	406.31	412.0	860.08	379.04	376.41	866.07	633.73	336.79	571.05	688.78	718.08	480.04	447.82	75.11	193.01	39.5	94.67	708.18
TEX10	406.31	395.18	309.83	135.24	363.56	260.38	185.11	376.41	698.41	336.79	226.54	234.57	409.15	194.36	283.05	389.72	244.57	166.73	591.22	262.2	226.54	165.57	432.53	111.99	211.31	486.75	143.01	116.78	291.04	417.77	400.71	172.65	170.25	115.16	88.88	57.89	95.34	366.09
TGS1	343.89	356.05	267.73	122.64	312.0	236.21	162.14	293.07	409.15	316.37	212.78	264.03	332.14	205.5	273.37	341.51	228.13	177.53	457.25	285.03	201.25	291.04	273.37	144.01	172.65	567.1	229.72	163.28	199.85	239.52	334.46	195.72	169.07	21.63	146.03	19.39	74.06	327.56
THOC2	1191.69	1242.34	780.44	283.05	1088.92	764.36	620.67	1159.07	1572.76	947.83	603.67	780.44	1119.56	616.37	708.18	1127.35	723.08	500.46	1447.15	679.29	718.08	555.41	1104.13	429.54	555.41	1427.22	470.14	476.71	511.0	733.19	1015.93	500.46	363.56	43.32	463.65	76.71	201.25	1183.45
THUMPD2	256.78	260.38	234.57	89.51	237.86	172.65	111.99	293.07	599.49	279.14	151.22	206.94	400.71	147.06	180.02	327.56	197.09	120.1	389.72	173.85	141.02	125.24	248.0	93.35	105.89	325.29	107.38	102.25	151.22	277.2	241.19	132.44	161.02	32.59	62.56	22.75	48.52	287.01
TMEM131	642.59	638.15	463.65	195.72	603.67	486.75	271.48	571.05	743.43	629.35	423.61	447.82	651.58	384.34	536.45	599.49	511.0	323.03	525.39	466.88	483.38	271.48	529.06	265.87	309.83	753.83	351.14	271.48	312.0	281.09	633.73	547.75	457.25	158.79	158.79	159.9	176.29	587.13
TMEM31	15.91	11.91	8.25	10.79	8.51	3.38	1.33	16.88	18.97	21.01	1.45	8.0	14.24	3.06	3.32	19.53	1.43	1.79	27.64	3.92	2.25	0.4	10.31	1.14	1.77	12.36	1.97	0.0	0.0	6.52	5.68	8.99	4.35	7.4	0.0	0.0	5.32	29.7
TMEM41B	518.15	466.88	341.51	157.68	379.04	211.31	173.85	463.65	514.56	426.57	212.78	334.46	420.68	159.9	332.14	329.84	273.37	177.53	473.41	211.31	142.01	167.9	368.65	180.02	182.55	444.72	148.09	172.65	157.68	285.03	256.78	379.04	269.6	158.79	532.74	217.27	323.03	409.15
TMEM67	295.11	358.54	211.31	63.0	295.11	112.77	62.56	283.05	406.31	236.21	102.97	155.5	420.68	78.89	177.53	273.37	126.12	67.12	264.03	92.7	120.1	82.87	329.84	64.34	65.72	241.19	49.56	39.79	83.45	194.36	251.48	97.36	75.11	37.59	15.45	6.01	35.25	218.79
TRAPPC2	373.81	285.03	242.88	130.6	271.48	197.09	124.37	285.03	376.41	366.09	164.42	178.77	329.84	130.6	226.54	248.0	152.28	142.01	346.29	177.53	211.31	131.51	253.23	120.94	142.01	361.04	85.22	91.41	183.82	202.66	201.25	133.36	123.5	80.01	120.1	63.89	78.34	358.54
TRIM33	567.1	503.95	327.56	107.38	429.54	307.69	165.57	563.18	603.67	514.56	258.57	373.81	497.0	253.23	305.55	441.64	293.07	201.25	567.1	249.73	289.02	195.72	397.93	169.07	141.02	703.28	175.07	128.79	202.66	301.33	466.88	251.48	127.0	41.52	56.68	55.49	96.01	599.49
TSSK3	87.65	47.5	25.91	5.11	53.95	30.78	7.34	75.11	88.88	48.18	29.7	45.53	74.58	36.53	37.05	68.07	44.25	26.47	76.71	31.0	52.08	10.31	52.82	13.83	16.03	86.43	10.08	19.53	23.08	21.47	27.25	18.03	3.44	1.93	41.52	47.5	11.3	100.83
TTC32	429.54	579.04	323.03	122.64	463.65	147.06	105.15	575.03	607.87	543.96	267.73	242.88	540.19	158.79	209.84	438.59	215.77	264.03	387.02	285.03	102.25	127.0	289.02	167.9	119.26	511.0	88.88	86.43	161.02	279.14	275.28	273.37	218.79	57.08	108.14	161.02	155.5	780.44
TULP3	624.99	669.92	547.75	332.14	603.67	514.56	435.55	567.1	607.87	521.76	470.14	470.14	665.29	412.0	642.59	616.37	529.06	466.88	638.15	486.75	507.46	301.33	536.45	228.13	460.44	884.29	287.01	209.84	387.02	579.04	563.18	325.29	309.83	204.07	77.79	59.13	77.25	708.18
UHRF2	753.83	642.59	473.41	264.03	647.07	503.95	281.09	738.29	1208.34	679.29	409.15	450.94	769.69	334.46	603.67	684.02	536.45	376.41	780.44	409.15	435.55	341.51	660.68	249.73	346.29	896.64	215.77	166.73	334.46	473.41	651.58	432.53	373.81	170.25	144.01	82.87	120.94	902.89
VEZF1	1519.15	1551.09	1096.5	397.93	1369.04	825.0	543.96	1540.37	1963.57	1259.69	791.35	941.27	1583.71	651.58	909.17	1617.0	708.18	579.04	1832.01	947.83	1081.39	616.37	1350.18	314.17	497.0	2335.28	363.56	332.14	518.15	819.3	1350.18	753.83	514.56	161.02	115.97	72.01	197.09	1697.45
VPS13B	376.41	371.22	279.14	123.5	358.54	358.54	198.47	351.14	384.34	323.03	307.69	303.44	363.56	285.03	309.83	320.8	320.8	180.02	454.09	343.89	277.2	124.37	343.89	97.36	166.73	595.34	98.73	88.26	232.94	220.32	293.07	208.38	190.34	63.45	143.01	54.33	76.17	368.65
VRK1	305.55	392.44	285.03	194.36	283.05	198.47	187.71	293.07	438.59	325.29	205.5	237.86	275.28	205.5	204.07	356.05	175.07	239.52	314.17	334.46	133.36	209.84	384.34	127.0	81.14	260.38	223.41	128.79	132.44	186.4	242.88	211.31	208.38	27.44	88.26	34.26	61.25	457.25
VWA9	848.22	769.69	748.61	409.15	713.11	483.38	343.89	759.08	981.29	743.43	493.56	571.05	802.41	392.44	571.05	813.63	466.88	361.04	1037.29	583.07	441.64	540.19	791.35	363.56	384.34	928.3	497.0	373.81	450.94	450.94	713.11	571.05	507.46	293.07	353.59	316.37	392.44	723.08
WBP11	1388.16	1378.57	1447.15	819.3	1397.83	1111.82	1008.9	1277.29	1572.76	1359.57	1051.79	1183.45	1359.57	1088.92	1096.5	1477.58	1111.82	934.76	1277.29	1427.22	819.3	813.63	1135.2	896.64	532.74	2018.8	1135.2	854.13	738.29	915.51	1477.58	1447.15	1159.07	559.28	395.18	514.56	595.34	1457.23
WDR45B	1651.0	1417.35	1651.0	1151.06	1529.73	1191.69	1088.92	1617.0	2193.99	1583.71	1104.13	1233.75	1697.45	1175.27	1066.48	1685.71	1044.52	1030.12	1781.89	878.17	1135.2	743.43	1286.18	575.03	518.15	1628.26	947.83	603.67	1030.12	1457.23	1111.82	1340.84	1437.15	1313.23	796.86	638.15	713.11	1844.76
WDR75	698.41	753.83	551.56	299.25	633.73	511.0	358.54	718.08	981.29	647.07	450.94	460.44	629.35	366.09	543.96	567.1	460.44	447.82	974.5	536.45	341.51	412.0	624.99	229.72	412.0	988.12	392.44	283.05	483.38	620.67	426.57	305.55	346.29	66.18	166.73	78.34	180.02	703.28
ZBED5	1191.69	941.27	813.63	312.0	909.17	603.67	371.22	1008.9	1498.22	1030.12	555.41	674.59	1104.13	473.41	620.67	961.07	532.74	403.5	1191.69	713.11	371.22	412.0	796.86	289.02	536.45	1059.11	363.56	358.54	363.56	595.34	698.41	551.56	470.14	117.6	111.99	37.85	129.69	1135.2
ZCCHC11	660.68	748.61	518.15	305.55	669.92	444.72	366.09	769.69	967.76	813.63	432.53	579.04	769.69	320.8	536.45	733.19	575.03	420.68	1191.69	279.14	579.04	185.11	890.44	118.43	303.44	1508.65	150.17	171.45	483.38	486.75	693.58	392.44	287.01	96.68	256.78	92.05	232.94	860.08
ZFP28	195.72	153.34	173.85	82.29	167.9	107.38	102.25	204.07	182.55	165.57	122.64	125.24	180.02	116.78	148.09	164.42	111.99	87.65	400.71	98.04	218.79	60.82	138.1	41.52	36.79	279.14	23.59	45.53	59.97	163.28	153.34	92.7	52.08	25.17	13.12	2.03	8.78	173.85
ZNF10	312.0	267.73	162.14	38.4	269.6	118.43	71.0	297.17	346.29	279.14	100.13	127.89	332.14	92.05	119.26	295.11	96.01	62.56	426.57	144.01	113.56	95.34	265.87	72.52	57.49	275.28	49.21	56.68	86.43	128.79	175.07	111.99	108.9	21.16	37.85	16.27	33.54	218.79
ZNF112	176.29	127.89	81.71	25.17	111.21	62.56	44.89	137.14	148.09	133.36	56.68	76.17	142.01	42.11	57.89	88.88	50.63	38.12	146.03	87.65	67.12	50.27	129.69	28.86	80.57	220.32	32.13	39.22	73.54	102.97	67.59	30.56	30.12	12.55	9.56	3.96	13.12	86.43
ZNF135	167.9	171.45	145.02	51.71	198.47	68.07	73.03	164.42	197.09	165.57	78.34	113.56	214.27	87.03	88.88	185.11	105.15	63.45	303.44	78.34	172.65	38.4	228.13	38.4	120.1	59.97	13.03	42.41	102.25	209.84	150.17	53.95	42.41	45.53	4.7	5.5	7.88	92.05
ZNF136	289.02	258.57	209.84	78.89	281.09	140.04	103.69	289.02	397.93	277.2	121.79	178.77	334.46	117.6	199.85	258.57	180.02	117.6	392.44	130.6	141.02	106.63	318.57	67.12	87.03	297.17	72.01	75.11	100.83	187.71	228.13	135.24	75.11	23.42	18.56	18.16	41.81	293.07
ZNF181	466.88	297.17	381.68	141.02	397.93	244.57	182.55	438.59	356.05	389.72	283.05	325.29	341.51	212.78	318.57	325.29	212.78	293.07	620.67	248.0	371.22	271.48	273.37	172.65	267.73	511.0	127.0	217.27	232.94	329.84	285.03	158.79	149.12	13.03	98.04	45.53	170.25	429.54
ZNF224	529.06	356.05	283.05	146.03	429.54	314.17	161.02	587.13	381.68	518.15	279.14	295.11	493.56	273.37	291.04	387.02	320.8	162.14	460.44	262.2	279.14	154.42	476.71	159.9	161.02	603.67	140.04	154.42	180.02	264.03	299.25	299.25	158.79	36.01	44.25	40.93	77.25	713.11
