	TCGA.ET.A3DS.01A.11R.A19O.07	TCGA.EL.A3H2.01A.11R.A20F.07	TCGA.FY.A3NM.01A.11R.A21D.07	GTEX.Y111.1926.SM.4SOIS	GTEX.RM2N.0526.SM.2TF4N	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.13OW8.0126.SM.5IJE5	GTEX.131XH.0526.SM.5DUX7	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.1313W.0726.SM.5EGK1	GTEX.T5JW.1226.SM.3GACY	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.11TTK.0826.SM.5N9EG	GTEX.YEC3.0826.SM.4WWFP	GTEX.13FLW.0326.SM.5J2M4	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.144GO.0126.SM.5LUAO	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.QXCU.0326.SM.2TC63	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2
RPS25	18052.61	18431.96	12160.22	39237.98	16843.62	31650.8	22380.2	16960.78	42054.3	31870.96	14765.09	31870.96	26431.04	35363.15	34635.37	17078.76	19754.96	23330.64	23492.92	18304.63	25179.16	24153.43	34635.37	46339.95	30785.28	22692.63	36864.92	25354.3	46662.28	19482.97	39237.98	36106.23	25354.3	47974.16	21468.49	18560.17	34158.52	25708.25	25179.16	20737.16	24321.43	24660.96	31870.96	23169.48	25179.16	19214.73	23656.34	40904.3	36610.26	36106.23	32092.64
RPS27A	13215.02	24321.43	17317.18	42937.97	26614.89	48307.85	34396.12	26248.46	53973.86	46339.95	20310.37	50709.61	34876.28	55107.99	56657.31	31215.04	30572.63	33688.23	35363.15	33224.42	32315.87	35363.15	47974.16	65990.84	41763.8	34158.52	42641.37	42937.97	73221.53	25005.23	54727.32	45386.27	40621.74	76330.98	36357.37	29943.43	45701.96	39785.74	38164.99	33224.42	38697.77	33922.56	45072.75	24832.5	31215.04	27363.16	30361.44	49322.93	48307.85	46339.95	42054.3
RPS4X	16269.83	15075.35	15180.22	37121.34	20881.4	46662.28	25179.16	27938.14	40062.48	45072.75	13776.25	47313.67	29736.59	39510.91	58655.36	27553.49	24153.43	24832.5	28328.16	21026.65	23986.58	30999.42	43236.64	45386.27	41188.81	45072.75	42054.3	42641.37	82378.63	15607.02	50359.33	44761.41	28923.41	55107.99	19892.37	19892.37	32540.65	31650.8	27174.14	35118.87	22535.88	34635.37	46339.95	17437.64	32994.92	20030.74	21026.65	70238.75	41475.31	35609.13	39785.74
RPS5	18819.27	15180.22	8840.04	35118.87	13968.57	23330.64	20451.65	14561.8	40062.48	27363.16	9945.68	24153.43	21768.19	34876.28	34876.28	16045.82	19754.96	22072.07	23986.58	22072.07	21919.61	19754.96	33224.42	49666.0	26986.43	21768.19	35363.15	25708.25	53973.86	16611.71	38430.46	35118.87	21768.19	49322.93	22072.07	16496.96	25354.3	19892.37	19214.73	20030.74	25887.07	16269.83	29327.18	14065.74	19892.37	17558.94	14663.09	37379.55	34635.37	26986.43	25887.07
RPS7	9540.5	16727.26	12853.63	35118.87	17197.56	28525.2	23169.48	17437.64	31432.17	32315.87	12764.83	30151.71	23492.92	30361.44	33455.53	17078.76	19348.38	21320.18	22535.88	19754.96	23169.48	24153.43	32092.64	42346.82	27553.49	22225.61	33455.53	25005.23	45701.96	23009.42	34158.52	31650.8	24660.96	46019.85	23492.92	22380.2	34635.37	28723.62	23330.64	18304.63	23656.34	23656.34	32540.65	16960.78	27938.14	20737.16	20170.07	31870.96	36106.23	30785.28	25354.3
RPS8	17681.08	20593.91	20593.91	45072.75	19214.73	37121.34	22535.88	20881.4	50011.46	37121.34	13399.51	33922.56	31650.8	45701.96	40621.74	22692.63	25354.3	28723.62	30151.71	24153.43	26248.46	27745.15	37901.36	57847.82	37379.55	27174.14	44452.21	30361.44	69753.56	20593.91	49322.93	44761.41	30999.42	62865.33	27553.49	23492.92	35609.13	33455.53	27745.15	23330.64	34635.37	27553.49	41763.8	19348.38	27745.15	20310.37	23656.34	49666.0	51062.33	38966.94	30151.71
RPS9	20030.74	14361.31	14867.79	54727.32	21468.49	29531.18	28525.2	23009.42	50709.61	46339.95	13586.57	34396.12	31650.8	49322.93	37379.55	23820.89	29943.43	38430.46	36610.26	26614.89	29736.59	26614.89	48643.87	46339.95	37901.36	28525.2	48307.85	31870.96	75803.72	25530.66	51775.15	46339.95	37379.55	74760.09	36610.26	27938.14	48307.85	36864.92	27938.14	29124.6	44145.15	28723.62	46019.85	18304.63	30361.44	25005.23	24490.61	54727.32	50359.33	27363.16	40062.48
RPSA	16045.82	24153.43	13215.02	38966.94	18689.27	28132.47	25530.66	19618.49	32994.92	30785.28	13681.08	26431.04	26248.46	43236.64	28328.16	20593.91	20881.4	23820.89	26067.14	23492.92	22535.88	22380.2	33922.56	43236.64	27174.14	21172.91	30151.71	27553.49	65990.84	23169.48	40062.48	41475.31	25005.23	52497.92	31870.96	22380.2	30999.42	25887.07	21172.91	27553.49	39237.98	23820.89	33455.53	16383.0	25179.16	19214.73	18052.61	37901.36	31432.17	38430.46	26248.46
TG	1063212.58	783730.52	811368.76	1282030.25	1019901.63	2068278.89	2247670.86	2126426.15	1085552.95	1751305.3	1503610.06	2375828.71	2111737.85	1611529.43	1622738.51	1041331.96	1493223.86	1739208.14	1838374.44	1997825.68	1984025.69	1997825.68	1984025.69	2986448.72	1567462.05	2025714.3	2425749.94	1929772.37	1327240.99	1943195.01	1100706.72	1622738.51	1727194.55	857631.47	2636147.11	2263304.65	1775752.63	2111737.85	1691649.38	1800541.22	3178687.03	3886391.01	1645391.11	1055868.42	1622738.51	2263304.65	1535204.12	2672946.37	1567462.05	1864037.21	1634025.56
UBA52	17558.94	9474.59	12244.81	32994.92	14065.74	24153.43	22535.88	15392.14	28525.2	27938.14	14065.74	23492.92	18178.19	29943.43	36106.23	16383.0	18689.27	22535.88	24153.43	21172.91	22072.07	19082.0	34876.28	38430.46	28525.2	25354.3	28723.62	25005.23	42346.82	20030.74	30361.44	30361.44	22380.2	41475.31	23009.42	17317.18	22692.63	20881.4	17927.91	16269.83	27745.15	20451.65	26431.04	13586.57	16269.83	17681.08	17437.64	32994.92	31870.96	30151.71	27174.14
