	TCGA.L5.A88W.01A.11R.A354.31	TCGA.JY.A93F.01A.21R.A37I.31	TCGA.L5.A43J.01A.12R.A24K.31	TCGA.IC.A6RE.01A.11R.A336.31	TCGA.VR.A8EZ.01A.11R.A36D.31	TCGA.LN.A49O.01A.11R.A24K.31	TCGA.LN.A5U7.01A.11R.A31P.31	TCGA.LN.A4A1.01A.21R.A260.31	TCGA.LN.A5U7.01A.11R.A31P.31.1	TCGA.VR.AA7D.01A.11R.A406.31	TCGA.IG.A3QL.01A.11R.A24K.31	TCGA.IG.A6QS.01A.12R.A336.31	GTEX.13O61.1226.SM.5KM21	TCGA.38.4625.01A.01R.1206.07	TCGA.60.2698.01A.01R.0851.07	TCGA.F5.6702.01A.11R.1830.07	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.D7.6521.01A.11R.1802.13	TCGA.HF.7132.01A.11R.2055.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.6563.01A.13R.2055.13	TCGA.BR.4267.01A.01R.1131.13	TCGA.CD.8530.01A.11R.2343.13	TCGA.CG.4301.01A.01R.1157.13	TCGA.D7.6527.01A.11R.1802.13	TCGA.BR.8687.01A.11R.2402.13	TCGA.BR.7716.11A.01R.2055.13	TCGA.CG.5720.11A.01R.1602.13	TCGA.CG.5722.11A.02R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.6457.11A.01R.1802.13	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13
MLK4	3.03	36.79	11.04	35.76	109.66	12.36	32.13	32.59	32.13	7.63	16.63	12.93	43.02	0.0	158.79	15.34	305.55	348.71	366.09	186.4	101.54	229.72	164.42	473.41	403.5	271.48	346.29	170.25	191.67	624.99	232.94	182.55	253.23	381.68	119.26
MLPH	29.06	17.0	44.25	242.88	36.01	20.11	25.35	50.63	25.35	27.64	33.06	21.32	1977.24	0.0	738.29	599.49	5219.6	1572.76	4388.98	8658.09	1350.18	9344.14	1721.16	10154.69	10225.32	6745.86	10084.54	5594.3	10959.3	8658.09	2720.15	3540.14	7382.04	6652.97	2915.45
MYH13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.0	0.0	1.28	0.0	0.0	1.77	31.22	2.76	29.91	12.83	6.84	0.0	32.13	5.59	1.43	0.0	4.46	6.73	21.94	24.11	39.5	1.27	12.27	17.38	1.22
MYO5C	12.64	7.82	16.88	113.56	29.27	24.81	10.39	15.45	10.39	6.41	38.4	5.36	157.68	114.36	100.83	128.79	860.08	175.07	583.07	651.58	198.47	78.34	336.79	567.1	182.55	624.99	708.18	361.04	764.36	603.67	215.77	190.34	323.03	314.17	186.4
MYPN	0.0	0.0	0.0	0.78	0.0	1.04	0.0	1.22	0.0	1.87	0.0	0.39	2.48	0.0	0.48	0.13	4.66	2.51	2.14	6.62	0.3	5.87	1.79	2.39	0.0	2.68	22.59	10.55	37.05	14.78	4.31	1.95	4.03	6.26	1.14
MYRF	1.91	9.63	7.46	48.87	2.76	3.86	3.38	2.84	3.38	1.51	2.27	1.69	995.0	0.0	157.68	159.9	2417.67	2090.03	1417.35	7803.01	299.25	6079.61	1674.06	2384.37	2133.97	8479.89	5219.6	5292.48	7695.57	10368.08	3467.27	2148.82	6037.61	5954.47	1572.76
NIPAL3	76.71	122.64	158.79	178.77	118.43	271.48	147.06	121.79	147.06	187.71	130.6	107.38	170.25	256.78	332.14	211.31	384.34	361.04	384.34	379.04	256.78	226.54	356.05	277.2	178.77	361.04	343.89	327.56	599.49	511.0	371.22	303.44	412.0	414.87	316.37
NNT	141.02	115.97	303.44	228.13	283.05	273.37	379.04	223.41	379.04	139.07	214.27	106.63	785.88	0.0	486.75	612.11	961.07	599.49	1119.56	796.86	633.73	1111.82	688.78	769.69	941.27	954.43	684.02	486.75	688.78	1378.57	748.61	796.86	718.08	981.29	612.11
OSBPL7	14.67	20.56	93.35	103.69	30.78	34.51	54.33	52.82	54.33	28.65	67.12	28.04	409.15	0.0	112.77	159.9	1167.14	224.97	1781.89	1350.18	414.87	209.84	253.23	688.78	529.06	1350.18	3081.75	1697.45	2104.58	2720.15	1183.45	890.44	1572.76	995.0	665.29
PACSIN1	0.0	0.0	1.58	5.15	1.55	0.37	0.04	0.13	0.04	0.61	0.0	0.0	12.74	0.0	27.05	3.5	43.94	26.67	19.82	57.89	38.67	2.58	27.44	12.45	32.59	96.01	13.03	29.48	24.46	34.26	18.43	58.71	40.93	49.21	49.21
PET117	146.03	142.01	332.14	253.23	271.48	128.79	234.57	186.4	234.57	217.27	229.72	206.94	285.03	0.0	305.55	251.48	356.05	392.44	403.5	532.74	305.55	258.57	497.0	316.37	438.59	543.96	563.18	348.71	507.46	620.67	392.44	258.57	454.09	447.82	351.14
PGC	0.0	0.0	0.0	40.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8046889.67	0.0	503.95	55.49	2310861.52	1535204.12	2310861.52	2310861.52	828417.36	3200796.55	1916442.45	1393227.06	1.011504819E7	5128124.01	1851161.35	1956711.0	2068278.89	5690009.96	2025714.3	2025714.3	2126426.15	4885245.74	2654482.97
PIP5K1B	1.22	1.03	2.01	46.5	8.51	4.06	0.85	1.28	0.85	2.39	2.05	2.01	147.06	0.0	41.81	251.48	954.43	381.68	1159.07	884.29	511.0	941.27	277.2	1030.12	775.05	281.09	1250.98	819.3	995.0	1096.5	1225.22	536.45	769.69	909.17	463.65
PLA2G10	0.0	0.0	1.71	17.64	0.0	0.0	1.39	2.39	1.39	0.0	0.61	0.0	134.3	0.0	66.18	65.72	679.29	651.58	764.36	808.0	698.41	403.5	76.17	529.06	503.95	738.29	2287.2	1617.0	2133.97	1487.87	728.11	500.46	3124.78	1870.53	684.02
PPP2R1B	241.19	246.28	100.13	178.77	101.54	229.72	84.04	104.42	84.04	116.78	142.01	92.05	214.27	0.0	273.37	264.03	441.64	334.46	480.04	599.49	334.46	361.04	400.71	521.76	281.09	323.03	420.68	329.84	334.46	624.99	389.72	412.0	312.0	438.59	432.53
PRDM16	1.0	0.0	2.66	14.67	3.29	4.7	3.41	0.73	3.41	10.39	9.13	6.26	128.79	0.0	32.59	7.88	249.73	159.9	198.47	339.14	60.82	123.5	155.5	77.79	128.79	332.14	291.04	293.07	441.64	417.77	447.82	150.17	260.38	395.18	107.38
PRKCD	473.41	454.09	269.6	414.87	195.72	232.94	379.04	283.05	379.04	209.84	384.34	176.29	438.59	0.0	679.29	738.29	1135.2	1001.93	1781.89	1794.29	759.08	703.28	748.61	988.12	1167.14	988.12	3564.78	1844.76	2956.17	2758.13	1896.65	1199.98	1896.65	1819.35	1030.12
PRSS1	0.0	0.0	1.5	2.12	1.77	0.0	1.43	0.0	1.43	0.0	0.0	0.0	2.18	0.0	67.12	8.32	54.72	102.97	26.86	791.35	106.63	271.48	253.23	3901.01	1388.16	4095.0	1685.71	651.58	84.04	4181.07	1757.34	5791.62	8778.97	5913.33	890.44
PSAPL1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.63	0.0	2.51	0.61	303.44	5.82	346.29	1832.01	2.68	32.82	38.95	132.44	8.65	571.05	1628.26	1295.13	3955.48	2855.44	1277.29	493.56	1819.35	4328.55	156.59
PTPRH	11.91	30.56	9.63	31.45	0.69	0.75	6.67	4.03	6.67	8.92	1.73	2.68	139.07	0.0	73.54	60.39	674.59	647.07	684.02	1721.16	239.52	591.22	348.71	629.35	358.54	941.27	1651.0	2485.67	1806.78	1167.14	1896.65	379.04	1008.9	1208.34	379.04
PTPRN2	1.1	0.79	8.71	26.47	4.28	2.12	1.14	1.48	1.14	2.51	5.23	1.71	279.14	0.0	33.3	201.25	802.41	802.41	723.08	974.5	420.68	46.84	112.77	332.14	708.18	974.5	1242.34	733.19	1819.35	1697.45	633.73	684.02	1030.12	819.3	371.22
RAP1GAP	26.67	31.22	7.06	44.57	18.56	6.31	31.67	26.67	31.67	5.96	44.89	3.69	842.36	0.0	224.97	134.3	1844.76	2047.0	1183.45	2271.4	244.57	1143.1	229.72	1191.69	4937.99	7485.11	1457.23	1313.23	1304.15	2645.74	1268.46	3212.66	2682.69	6516.03	2133.97
RAP1GAP2	36.79	63.0	102.97	120.94	66.65	112.77	155.5	83.45	155.5	118.43	60.39	88.26	616.37	157.68	176.29	249.73	698.41	170.25	397.93	723.08	165.57	169.07	307.69	373.81	239.52	830.75	441.64	665.29	642.59	1030.12	412.0	490.14	603.67	902.89	275.28
RASEF	1.43	0.0	3.56	38.4	8.51	22.26	0.42	3.38	0.42	15.8	0.0	13.03	48.52	0.0	60.82	23.25	1008.9	237.86	674.59	961.07	142.01	1030.12	189.02	595.34	204.07	555.41	1340.84	525.39	1183.45	1135.2	167.9	181.28	497.0	543.96	202.66
RBM47	43.94	101.54	20.86	269.6	11.47	70.01	21.16	22.43	21.16	135.24	28.65	4.13	153.34	571.05	285.03	75.64	3372.43	836.53	2303.12	3103.19	571.05	2384.37	2417.67	1883.54	1350.18	2976.74	2417.67	3212.66	2627.46	3768.09	3212.66	890.44	2119.22	4575.41	713.11
RELL1	71.0	39.22	52.82	58.71	43.32	120.94	72.52	54.33	72.52	82.87	57.08	32.13	251.48	0.0	150.17	55.1	389.72	241.19	267.73	371.22	142.01	267.73	595.34	293.07	165.57	376.41	295.11	316.37	366.09	406.31	283.05	262.2	299.25	381.68	371.22
RHOBTB1	37.05	4.31	291.04	198.47	32.36	107.38	40.36	71.5	40.36	22.1	99.43	36.79	679.29	0.0	123.5	400.71	718.08	429.54	473.41	723.08	303.44	599.49	1769.57	759.08	229.72	551.56	450.94	412.0	483.38	995.0	273.37	432.53	432.53	356.05	406.31
RHPN2	18.03	28.04	36.53	86.43	32.36	37.85	12.83	17.51	12.83	24.99	26.28	13.83	62.56	0.0	395.18	134.3	1331.57	1467.37	981.29	2004.85	435.55	1295.13	1037.29	1662.49	878.17	1594.73	1963.57	2163.77	2047.0	1844.76	1529.73	400.71	928.3	748.61	567.1
RIPK4	156.59	145.02	211.31	42.71	14.67	40.93	144.01	246.28	144.01	78.34	165.57	47.84	46.84	0.0	400.71	146.03	255.0	178.77	271.48	403.5	76.17	587.13	61.68	343.89	248.0	450.94	559.28	309.83	1233.75	808.0	316.37	131.51	409.15	316.37	87.03
RORC	0.72	5.63	0.0	19.68	0.0	0.0	0.0	0.0	0.0	0.38	0.0	1.91	95.34	0.0	119.26	81.14	497.0	265.87	540.19	435.55	169.07	323.03	256.78	171.45	1583.71	759.08	819.3	392.44	802.41	1135.2	854.13	733.19	567.1	603.67	450.94
SALL1	4.1	2.05	3.5	14.24	5.15	2.66	4.43	3.35	4.43	10.79	3.2	0.24	3.14	0.0	4.24	32.59	60.39	29.91	23.25	77.25	24.81	22.92	121.79	42.71	26.47	22.59	47.5	61.25	109.66	54.33	131.51	45.53	59.55	88.26	30.34
SCAMP2	1806.78	2468.49	1769.57	2061.24	1233.75	1781.89	1023.0	1350.18	1023.0	2209.26	1159.07	1378.57	2193.99	0.0	1909.85	2075.59	2555.58	2287.2	4095.0	4298.64	3103.19	1733.13	1447.15	2997.45	2816.11	2997.45	5292.48	3665.02	4869.99	4575.41	3794.3	2739.08	4239.45	3665.02	2224.63
SEC14L1	426.57	559.28	406.31	438.59	376.41	381.68	480.04	417.77	480.04	281.09	387.02	249.73	647.07	0.0	708.18	684.02	1322.37	1096.5	791.35	1322.37	915.51	1151.06	1151.06	1111.82	1159.07	723.08	743.43	1159.07	1286.18	1322.37	1322.37	884.29	1216.75	1059.11	830.75
SGSM3	974.5	878.17	934.76	981.29	674.59	529.06	463.65	947.83	463.65	603.67	995.0	974.5	1757.34	0.0	1066.48	995.0	3103.19	1923.14	2976.74	4419.52	1135.2	1378.57	1250.98	1175.27	1685.71	3742.05	6337.83	3820.7	6840.04	5555.65	2573.36	3820.7	3690.52	3639.7	2502.97
SHH	0.0	0.0	0.0	4.21	0.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	113.56	0.0	22.59	100.13	164.42	124.37	256.78	507.46	40.93	113.56	49.91	102.97	111.21	486.75	647.07	303.44	1225.22	583.07	242.88	89.51	607.87	514.56	114.36
SHROOM3	11.21	4.9	29.7	171.45	37.85	33.54	51.35	18.56	51.35	23.93	42.11	30.12	226.54	0.0	82.87	195.72	813.63	1277.29	1594.73	1477.58	358.54	674.59	376.41	603.67	759.08	1745.2	1008.9	1216.75	1977.24	1477.58	1208.34	224.97	819.3	878.17	260.38
SIDT2	158.79	226.54	236.21	406.31	198.47	140.04	170.25	251.48	170.25	162.14	199.85	140.04	1268.46	0.0	559.28	595.34	1088.92	890.44	1208.34	1437.15	1066.48	543.96	941.27	1104.13	1745.2	2255.7	2367.9	2502.97	2627.46	4298.64	2777.33	1427.22	2178.83	2224.63	967.76
SIK2	59.13	47.84	57.49	70.01	31.9	65.72	64.8	62.56	64.8	48.52	63.45	35.25	346.29	0.0	115.16	214.27	532.74	348.71	379.04	371.22	329.84	438.59	392.44	265.87	351.14	348.71	289.02	371.22	417.77	629.35	301.33	381.68	466.88	624.99	351.14
SLC25A35	50.27	27.25	122.64	161.02	111.99	79.45	81.71	87.65	81.71	130.6	60.82	126.12	236.21	0.0	99.43	162.14	258.57	186.4	161.02	185.11	164.42	72.01	273.37	154.42	88.88	153.34	228.13	244.57	224.97	191.67	186.4	197.09	253.23	172.65	159.9
SLC26A5	0.0	0.0	0.0	0.33	3.63	0.0	0.0	0.09	0.0	0.0	0.44	0.0	4.5	0.0	1.77	1.5	19.25	0.92	13.72	7.82	5.28	7.22	8.71	7.63	34.51	2.48	22.43	8.78	15.91	46.5	0.99	7.82	9.93	2.03	4.58
SLC35E1	567.1	493.56	403.5	447.82	444.72	493.56	551.56	476.71	551.56	444.72	514.56	339.14	429.54	503.95	743.43	490.14	1183.45	1519.15	1225.22	1378.57	884.29	1286.18	1088.92	974.5	1104.13	1963.57	1104.13	1242.34	1359.57	1378.57	1066.48	743.43	1111.82	1001.93	890.44
SLC39A11	144.01	112.77	81.14	348.71	373.81	88.88	198.47	152.28	198.47	269.6	406.31	194.36	283.05	872.1	819.3	463.65	567.1	890.44	1159.07	638.15	454.09	848.22	414.87	575.03	738.29	921.88	1551.09	713.11	1583.71	1397.83	780.44	420.68	921.88	551.56	414.87
SLC41A1	140.04	177.53	175.07	229.72	189.02	253.23	277.2	208.38	277.2	289.02	229.72	228.13	532.74	0.0	429.54	387.02	693.58	555.41	493.56	432.53	381.68	660.68	825.0	540.19	848.22	460.44	325.29	323.03	450.94	934.76	358.54	595.34	543.96	679.29	536.45
SLC41A2	4.86	1.0	7.51	50.98	7.82	16.75	8.78	17.13	8.78	13.62	5.63	13.42	264.03	248.0	141.02	157.68	902.89	684.02	884.29	660.68	450.94	612.11	559.28	941.27	1250.98	791.35	1104.13	1008.9	1023.0	1709.26	974.5	583.07	819.3	819.3	473.41
SLC44A2	647.07	872.1	1397.83	1313.23	638.15	642.59	1030.12	890.44	1030.12	1030.12	1167.14	334.46	1806.78	2956.17	1781.89	1417.35	3467.27	3716.2	3690.52	5112.16	2075.59	1923.14	2537.92	2537.92	2287.2	3614.55	6471.02	3820.7	5329.3	7433.4	2997.45	3349.13	5006.93	5751.61	2895.31
SLC45A4	63.45	90.14	143.01	126.12	81.14	141.02	175.07	123.5	175.07	96.01	108.14	76.71	205.5	0.0	193.01	208.38	551.56	412.0	915.51	1457.23	248.0	420.68	432.53	275.28	511.0	1350.18	1216.75	733.19	1313.23	1167.14	432.53	406.31	651.58	599.49	334.46
SLC9A1	575.03	470.14	217.27	406.31	287.01	603.67	289.02	579.04	289.02	447.82	172.65	543.96	571.05	0.0	656.11	563.18	2384.37	1143.1	2271.4	7081.29	1119.56	967.76	1250.98	1119.56	1104.13	3794.3	5711.87	5219.6	8538.88	4972.34	3982.99	1572.76	6887.62	6792.79	1639.59
SLCO2A1	88.26	54.33	246.28	376.41	145.02	69.03	205.5	72.01	205.5	147.06	112.77	60.39	466.88	0.0	540.19	161.02	921.88	1963.57	728.11	928.3	1030.12	164.42	1313.23	463.65	612.11	420.68	1467.37	1111.82	1457.23	1059.11	1015.93	624.99	1191.69	1159.07	432.53
SMPD3	3.06	12.18	9.63	49.91	3.23	4.21	7.22	6.94	7.22	4.21	3.32	5.41	108.14	0.0	31.0	72.52	525.39	320.8	819.3	1304.15	303.44	71.5	56.28	149.12	154.42	842.36	1313.23	1651.0	1583.71	1498.22	1769.57	289.02	848.22	961.07	277.2
SOWAHB	0.0	3.44	0.0	43.32	10.79	0.56	0.39	3.5	0.39	0.0	0.0	0.0	6.73	0.0	42.71	4.28	75.11	148.09	297.17	205.5	43.63	128.79	45.85	50.98	142.01	180.02	246.28	137.14	297.17	231.32	201.25	44.89	150.17	128.79	42.41
SPIRE2	14.24	31.0	43.32	258.57	105.89	18.7	71.5	193.01	71.5	22.75	40.64	63.45	124.37	0.0	91.41	223.41	361.04	273.37	529.06	679.29	236.21	246.28	186.4	115.97	395.18	309.83	718.08	723.08	1322.37	718.08	323.03	271.48	728.11	463.65	105.89
SRBD1	75.11	83.45	131.51	78.89	59.55	155.5	109.66	83.45	109.66	102.97	89.51	68.55	113.56	0.0	150.17	134.3	293.07	125.24	271.48	211.31	178.77	169.07	138.1	312.0	159.9	165.57	229.72	117.6	173.85	299.25	135.24	195.72	156.59	173.85	190.34
SSTR1	0.0	0.0	0.0	4.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.49	0.0	18.43	4.5	241.19	82.29	265.87	1081.39	76.17	320.8	199.85	256.78	138.1	1583.71	1059.11	830.75	743.43	1498.22	753.83	206.94	444.72	595.34	208.38
SYTL2	24.63	26.47	53.57	193.01	45.53	59.13	77.79	37.59	77.79	40.64	53.19	33.3	633.73	0.0	307.69	878.17	2351.53	500.46	1781.89	1757.34	884.29	624.99	866.07	1844.76	195.72	688.78	2384.37	1551.09	3235.01	2468.49	802.41	791.35	2075.59	1322.37	728.11
TCEB3	444.72	392.44	205.5	239.52	211.31	264.03	262.2	353.59	262.2	426.57	215.77	289.02	457.25	412.0	444.72	466.88	753.83	571.05	684.02	848.22	387.02	320.8	718.08	579.04	587.13	733.19	633.73	514.56	674.59	1030.12	500.46	647.07	514.56	679.29	567.1
TECPR1	138.1	124.37	105.15	406.31	104.42	126.12	158.79	226.54	158.79	248.0	155.5	115.16	466.88	121.79	176.29	229.72	376.41	642.59	361.04	521.76	234.57	211.31	371.22	175.07	242.88	366.09	351.14	420.68	612.11	529.06	400.71	351.14	426.57	403.5	232.94
TJP3	1.22	11.47	6.36	866.07	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	208.38	0.0	447.82	253.23	1388.16	2209.26	2163.77	2875.3	1340.84	1781.89	406.31	1191.69	1628.26	1369.04	4123.49	4607.24	4802.93	3614.55	2573.36	2384.37	5147.73	4639.29	1191.69
TMEM51	318.57	305.55	161.02	400.71	202.66	397.93	79.45	435.55	79.45	343.89	62.12	381.68	470.14	346.29	463.65	521.76	728.11	1498.22	785.88	928.3	775.05	400.71	890.44	629.35	1208.34	1304.15	1407.55	830.75	1286.18	1135.2	813.63	718.08	1135.2	1059.11	825.0
TMPRSS3	0.01	0.11	2.46	38.95	0.61	8.25	2.41	0.49	2.41	10.24	0.0	5.54	218.79	0.0	110.43	19.53	1104.13	256.78	995.0	708.18	379.04	733.19	1225.22	547.75	1508.65	1051.79	2417.67	1216.75	2739.08	1605.83	511.0	543.96	1359.57	1304.15	638.15
TXNRD2	231.32	273.37	366.09	438.59	327.56	151.22	320.8	262.2	320.8	283.05	163.28	297.17	674.59	0.0	314.17	395.18	397.93	470.14	486.75	642.59	363.56	412.0	555.41	343.89	988.12	493.56	607.87	723.08	547.75	902.89	540.19	743.43	769.69	836.53	511.0
UNC5C	1.35	1.08	5.63	9.7	5.02	2.84	2.46	5.54	2.46	4.98	5.68	2.01	24.11	0.0	17.51	27.44	81.71	41.22	51.71	26.86	70.51	33.54	61.68	53.57	22.43	35.76	34.75	34.02	55.89	63.0	76.71	25.72	52.45	25.91	22.43
UTS2R	0.25	0.0	1.66	1.25	0.0	0.0	0.23	0.0	0.23	0.97	0.57	0.0	0.0	0.0	0.39	4.46	12.74	1.39	5.23	29.48	4.03	0.26	3.89	0.06	3.0	49.21	9.63	15.34	21.16	19.68	34.26	22.75	26.1	20.56	15.22
VILL	18.97	55.89	32.82	135.24	12.64	14.24	22.43	27.84	22.43	18.7	26.86	14.45	466.88	0.0	320.8	267.73	1427.22	567.1	1697.45	6079.61	620.67	1674.06	441.64	915.51	2209.26	1081.39	4802.93	3820.7	7966.99	5366.37	3955.48	1417.35	4836.35	4152.18	1119.56
VPS37C	403.5	450.94	358.54	361.04	351.14	363.56	599.49	429.54	599.49	332.14	323.03	363.56	463.65	0.0	547.75	555.41	503.95	616.37	733.19	1001.93	346.29	599.49	603.67	571.05	579.04	647.07	1015.93	753.83	1151.06	1088.92	860.08	454.09	775.05	656.11	583.07
VSIG1	0.0	0.0	0.19	2.58	0.01	0.06	0.0	0.35	0.0	0.0	0.0	0.48	1477.58	2.94	11.3	1.33	7695.57	1143.1	3589.58	31870.96	503.95	22072.07	10368.08	4972.34	3716.2	16843.62	20737.16	9740.98	19618.49	18560.17	5751.61	5112.16	10154.69	14461.21	5872.48
VWA2	1.11	0.75	6.21	16.39	0.0	0.71	0.0	2.18	0.0	1.08	7.94	0.0	19.25	0.0	64.34	48.87	202.66	85.22	137.14	131.51	204.07	267.73	77.79	130.6	28.04	175.07	267.73	113.56	307.69	409.15	85.82	117.6	172.65	141.02	102.97
VWA7	5.54	12.55	14.24	21.01	2.61	4.54	9.06	11.55	9.06	18.56	3.99	8.51	36.79	0.0	64.8	35.5	183.82	115.16	217.27	271.48	62.12	167.9	64.34	124.37	198.47	366.09	348.71	256.78	400.71	493.56	275.28	132.44	409.15	218.79	108.9
ZFPM1	36.27	47.17	53.19	88.26	57.49	31.9	53.95	63.0	53.95	29.91	34.75	48.18	128.79	0.0	44.89	141.02	293.07	902.89	679.29	1059.11	348.71	371.22	348.71	161.02	928.3	1096.5	1015.93	647.07	587.13	796.86	633.73	329.84	620.67	460.44	412.0
ZNF579	80.57	111.21	183.82	193.01	217.27	133.36	163.28	147.06	163.28	142.01	392.44	98.73	575.03	0.0	127.89	320.8	417.77	603.67	273.37	651.58	432.53	435.55	567.1	193.01	669.92	1175.27	647.07	473.41	753.83	723.08	341.51	486.75	728.11	669.92	409.15
