	TCGA.CU.A3YL.01A.11R.A22U.07	TCGA.A7.A426.01A.22R.A24H.07	TCGA.AZ.4323.01A.21R.1839.07	TCGA.L5.A8NN.01A.11R.A37I.31	TCGA.QK.A6IF.01A.11R.A31N.07	TCGA.ZP.A9CZ.01A.11R.A38B.07	TCGA.RC.A7S9.01A.11R.A33R.07	TCGA.K7.A5RG.01A.11R.A28V.07	TCGA.DD.AAVQ.01A.11R.A41C.07	TCGA.UB.A7ME.01A.11R.A33J.07	TCGA.UB.A7MF.01A.11R.A33J.07	TCGA.CC.5263.01A.01R.A131.07	TCGA.2Y.A9H5.01A.11R.A38B.07	TCGA.GJ.A9DB.01A.11R.A37K.07	TCGA.G3.A7M6.01A.11R.A33R.07	TCGA.FV.A3I0.11A.11R.A22L.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11ZTS.1426.SM.5EQMM	GTEX.WZTO.0626.SM.4PQYY	GTEX.U3ZN.0226.SM.3DB8D	GTEX.11NV4.1326.SM.5HL6V	GTEX.X4EO.1126.SM.4QARQ	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.ZPU1.0826.SM.57WG2	GTEX.14AS3.0126.SM.5Q5F4	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.12WSM.0726.SM.5GCOW	GTEX.QEG4.1826.SM.4R1JN	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.12WSD.1426.SM.5GCN9	GTEX.T6MN.1226.SM.3NMA5	GTEX.1399R.1226.SM.5P9GF	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.RWSA.1426.SM.47JXA	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	GTEX.R53T.0326.SM.48FEC	TCGA.49.AAR4.01A.12R.A41B.07	TCGA.49.AAR0.01A.21R.A39D.07	TCGA.V1.A8WV.01A.11R.A37L.07	TCGA.V1.A9OY.01A.11R.A41O.07	TCGA.AX.A2IN.01A.12R.A180.07	TCGA.5S.A9Q8.01A.11R.A40A.07	TCGA.D1.A3DG.01A.11R.A19W.07
HDGFRP2	2520.38	1721.16	1417.35	1051.79	1388.16	1183.45	1529.73	1096.5	1896.65	1369.04	1066.48	1378.57	1199.98	1277.29	1417.35	571.05	476.71	769.69	884.29	603.67	287.01	753.83	497.0	854.13	616.37	409.15	642.59	921.88	1081.39	591.22	738.29	587.13	490.14	854.13	718.08	860.08	733.19	759.08	785.88	633.73	836.53	624.99	669.92	902.89	860.08	651.58	698.41	718.08	620.67	435.55	848.22	743.43	579.04	1551.09	1407.55	1457.23	1331.57	2303.12	1963.57	1806.78
IPO13	909.17	395.18	579.04	514.56	435.55	525.39	599.49	353.59	318.57	336.79	536.45	363.56	275.28	463.65	551.56	197.09	138.1	275.28	208.38	389.72	129.69	307.69	202.66	301.33	241.19	175.07	166.73	175.07	173.85	212.78	215.77	334.46	269.6	193.01	189.02	221.86	234.57	171.45	450.94	202.66	193.01	293.07	152.28	169.07	195.72	285.03	215.77	241.19	105.15	158.79	249.73	244.57	305.55	674.59	607.87	447.82	547.75	679.29	733.19	738.29
KAT2A	3901.01	1167.14	1781.89	3982.99	1242.34	1208.34	1498.22	753.83	1639.59	616.37	890.44	1733.13	1143.1	1127.35	4869.99	182.55	395.18	638.15	412.0	878.17	130.6	624.99	429.54	909.17	327.56	117.6	708.18	287.01	567.1	444.72	194.36	473.41	571.05	567.1	848.22	366.09	503.95	438.59	693.58	309.83	563.18	813.63	265.87	457.25	476.71	412.0	426.57	759.08	180.02	423.61	647.07	511.0	447.82	2682.69	1674.06	2682.69	1467.37	1277.29	1950.0	2209.26
KIAA0907	1259.69	1167.14	2018.8	1277.29	1159.07	656.11	551.56	575.03	381.68	432.53	780.44	660.68	514.56	525.39	1551.09	127.0	204.07	251.48	178.77	271.48	110.43	279.14	195.72	309.83	199.85	87.65	185.11	201.25	309.83	138.1	127.89	332.14	197.09	155.5	295.11	102.25	231.32	171.45	320.8	110.43	323.03	384.34	140.04	249.73	193.01	237.86	316.37	325.29	58.71	61.68	275.28	303.44	134.3	872.1	1015.93	1008.9	796.86	743.43	1233.75	595.34
KLHL17	476.71	384.34	791.35	571.05	189.02	130.6	162.14	183.82	181.28	137.14	108.9	181.28	177.53	457.25	830.75	39.5	53.57	59.97	69.03	122.64	18.03	81.71	48.52	119.26	52.82	28.86	110.43	28.86	100.13	48.87	31.0	46.5	40.36	55.1	84.63	44.57	52.82	50.98	72.52	36.27	87.65	80.01	75.64	60.39	80.01	60.39	73.54	74.58	21.01	27.64	58.3	49.56	64.8	647.07	376.41	361.04	220.32	255.0	454.09	127.89
LEMD2	2351.53	1594.73	1457.23	1572.76	780.44	1059.11	1059.11	813.63	1259.69	1088.92	1467.37	1199.98	1806.78	954.43	1378.57	420.68	775.05	454.09	616.37	620.67	295.11	567.1	547.75	708.18	466.88	420.68	412.0	529.06	642.59	490.14	397.93	563.18	507.46	647.07	620.67	463.65	460.44	536.45	638.15	341.51	775.05	764.36	466.88	703.28	529.06	518.15	490.14	587.13	395.18	392.44	669.92	521.76	426.57	1628.26	1350.18	1857.6	1331.57	1540.37	1378.57	2018.8
LIG1	1594.73	934.76	1175.27	2367.9	3639.7	1369.04	915.51	890.44	1407.55	1073.91	733.19	995.0	902.89	656.11	1175.27	155.5	234.57	361.04	400.71	293.07	106.63	376.41	172.65	579.04	267.73	108.14	363.56	361.04	316.37	325.29	327.56	223.41	132.44	638.15	334.46	356.05	368.65	507.46	366.09	241.19	473.41	791.35	305.55	368.65	563.18	281.09	493.56	429.54	208.38	255.0	518.15	303.44	190.34	1208.34	796.86	775.05	466.88	1651.0	1051.79	1923.14
LRRC37B	381.68	231.32	265.87	473.41	273.37	83.45	128.79	117.6	147.06	68.07	217.27	142.01	157.68	131.51	366.09	37.05	65.72	66.65	71.0	85.22	47.17	27.84	38.4	124.37	25.72	26.47	61.68	38.95	101.54	29.91	51.71	87.03	41.81	40.36	116.78	33.3	41.52	86.43	62.56	29.48	119.26	59.55	64.8	50.27	60.82	36.79	64.34	95.34	22.26	29.7	42.11	58.3	43.32	387.02	309.83	521.76	215.77	185.11	312.0	299.25
MAPK8IP2	185.11	220.32	473.41	177.53	466.88	198.47	62.56	20.86	237.86	100.83	435.55	291.04	186.4	108.9	88.26	8.25	3.47	4.24	9.06	6.21	4.78	6.06	12.74	32.82	3.17	0.15	44.25	1.81	4.54	6.84	1.83	20.56	7.94	3.17	22.43	4.82	4.46	6.73	15.0	12.83	31.22	24.46	11.13	64.34	10.71	9.13	6.31	8.45	5.41	4.74	37.59	3.44	14.35	316.37	341.51	224.97	285.03	802.41	50.27	146.03
MBD6	1295.13	1819.35	1388.16	2133.97	1277.29	808.0	890.44	738.29	954.43	775.05	1199.98	1073.91	890.44	896.64	1340.84	420.68	651.58	780.44	403.5	1030.12	397.93	825.0	303.44	669.92	486.75	414.87	332.14	334.46	915.51	532.74	406.31	1015.93	444.72	536.45	961.07	708.18	543.96	514.56	599.49	343.89	808.0	1104.13	679.29	497.0	633.73	521.76	620.67	679.29	351.14	435.55	878.17	441.64	265.87	1208.34	8598.28	1674.06	1457.23	1250.98	2303.12	902.89
MCF2L	674.59	878.17	1529.73	190.34	791.35	301.33	688.78	86.43	163.28	221.86	339.14	287.01	371.22	332.14	281.09	62.56	92.7	41.81	80.01	231.32	59.13	209.84	218.79	341.51	151.22	42.11	64.8	50.63	115.16	111.21	82.87	59.13	190.34	40.36	118.43	103.69	57.08	198.47	111.21	108.9	248.0	209.84	124.37	120.94	56.28	249.73	79.45	159.9	35.25	144.01	127.89	46.5	86.43	514.56	1001.93	896.64	1119.56	1313.23	287.01	353.59
MCRS1	1794.29	1331.57	1819.35	1639.59	1757.34	1167.14	1111.82	1175.27	1322.37	1233.75	1369.04	1175.27	1119.56	1096.5	1407.55	366.09	339.14	454.09	532.74	738.29	332.14	629.35	633.73	693.58	470.14	361.04	470.14	450.94	521.76	318.57	397.93	633.73	543.96	490.14	638.15	420.68	532.74	486.75	759.08	397.93	624.99	684.02	476.71	511.0	457.25	435.55	473.41	629.35	177.53	343.89	559.28	583.07	318.57	1073.91	1397.83	1119.56	1407.55	1561.89	1572.76	2451.44
MED24	3419.52	1561.89	1883.54	2119.22	1594.73	1583.71	1030.12	1781.89	1322.37	1127.35	1583.71	2664.15	1044.52	1322.37	2434.5	679.29	698.41	603.67	884.29	1191.69	473.41	967.76	954.43	1295.13	547.75	420.68	688.78	583.07	1286.18	543.96	444.72	842.36	540.19	954.43	915.51	642.59	660.68	791.35	1081.39	555.41	1104.13	890.44	669.92	947.83	679.29	791.35	698.41	928.3	376.41	551.56	743.43	507.46	559.28	2468.49	2209.26	2303.12	1313.23	1540.37	2777.33	1991.0
MEF2BNB-MEF2B	291.04	224.97	201.25	164.42	231.32	214.27	127.0	176.29	175.07	169.07	251.48	167.9	208.38	178.77	246.28	33.78	34.02	92.05	59.55	84.63	10.0	97.36	35.0	119.26	136.19	65.72	13.62	78.34	74.06	59.97	97.36	120.94	61.25	81.71	135.24	40.36	49.56	107.38	88.88	58.3	116.78	161.02	68.55	63.89	87.03	69.52	32.59	99.43	53.57	56.28	67.59	84.04	73.54	193.01	287.01	265.87	208.38	140.04	224.97	137.14
MLLT6	1037.29	1191.69	2351.53	921.88	1909.85	503.95	363.56	595.34	591.22	332.14	432.53	915.51	486.75	356.05	1407.55	94.01	134.3	299.25	220.32	409.15	159.9	176.29	215.77	521.76	204.07	80.01	318.57	121.79	309.83	193.01	194.36	198.47	165.57	249.73	423.61	119.26	175.07	356.05	279.14	269.6	423.61	500.46	271.48	162.14	221.86	158.79	279.14	339.14	55.1	159.9	307.69	139.07	198.47	1651.0	878.17	1331.57	1088.92	802.41	2485.67	1127.35
MOGS	1250.98	1135.2	1340.84	1286.18	1081.39	1167.14	1250.98	1359.57	1159.07	1250.98	1313.23	1487.87	1697.45	1059.11	1457.23	728.11	890.44	713.11	518.15	1467.37	633.73	1088.92	713.11	981.29	743.43	642.59	915.51	796.86	647.07	733.19	748.61	928.3	872.1	759.08	713.11	713.11	532.74	656.11	743.43	791.35	669.92	1143.1	842.36	947.83	759.08	693.58	669.92	791.35	507.46	346.29	638.15	536.45	753.83	1487.87	1127.35	1662.49	1950.0	1111.82	1857.6	1417.35
MRGBP	432.53	441.64	1015.93	928.3	473.41	376.41	466.88	303.44	733.19	543.96	406.31	514.56	514.56	460.44	842.36	199.85	145.02	162.14	212.78	507.46	107.38	285.03	187.71	264.03	148.09	187.71	212.78	171.45	226.54	155.5	158.79	265.87	285.03	202.66	169.07	186.4	241.19	180.02	293.07	98.73	262.2	242.88	186.4	209.84	224.97	144.01	228.13	241.19	124.37	98.04	251.48	215.77	148.09	493.56	536.45	587.13	305.55	612.11	329.84	743.43
MUS81	813.63	1199.98	1551.09	1883.54	1250.98	738.29	872.1	728.11	1030.12	665.29	748.61	860.08	848.22	954.43	1467.37	289.02	525.39	397.93	514.56	595.34	212.78	486.75	543.96	551.56	420.68	217.27	414.87	373.81	432.53	353.59	264.03	454.09	301.33	555.41	414.87	318.57	400.71	454.09	563.18	234.57	265.87	473.41	395.18	412.0	420.68	353.59	373.81	412.0	260.38	314.17	454.09	454.09	291.04	2047.0	1242.34	1023.0	981.29	1605.83	1225.22	759.08
NAIF1	275.28	281.09	389.72	256.78	239.52	171.45	318.57	198.47	323.03	242.88	195.72	279.14	214.27	277.2	376.41	75.11	170.25	116.78	154.42	224.97	82.87	167.9	106.63	175.07	163.28	144.01	181.28	133.36	151.22	162.14	131.51	208.38	205.5	190.34	124.37	206.94	193.01	111.21	173.85	164.42	138.1	209.84	105.15	143.01	165.57	115.16	119.26	136.19	85.22	90.14	281.09	169.07	204.07	215.77	327.56	327.56	236.21	417.77	239.52	281.09
NCAPH2	1104.13	928.3	954.43	909.17	2720.15	1674.06	1268.46	842.36	1806.78	1350.18	1313.23	1427.22	954.43	974.5	1259.69	466.88	583.07	591.22	486.75	808.0	277.2	607.87	728.11	748.61	518.15	307.69	356.05	460.44	854.13	559.28	373.81	470.14	463.65	775.05	703.28	769.69	514.56	525.39	579.04	293.07	638.15	616.37	414.87	514.56	571.05	723.08	454.09	500.46	264.03	961.07	679.29	397.93	209.84	1457.23	1519.15	921.88	872.1	2485.67	1304.15	1583.71
NPIPA1	1175.27	2004.85	3716.2	1832.01	3515.68	1594.73	1225.22	941.27	1950.0	921.88	1023.0	1561.89	1407.55	1081.39	2104.58	161.02	400.71	348.71	599.49	825.0	218.79	718.08	397.93	1001.93	507.46	198.47	620.67	275.28	708.18	376.41	194.36	543.96	400.71	441.64	633.73	343.89	429.54	571.05	620.67	303.44	493.56	733.19	379.04	356.05	429.54	316.37	518.15	532.74	104.42	253.23	785.88	507.46	384.34	1447.15	1806.78	3467.27	1721.16	1950.0	2502.97	759.08
NUP85	2209.26	1508.65	1313.23	2075.59	1844.76	1733.13	1277.29	1322.37	1304.15	1030.12	1233.75	1662.49	830.75	1037.29	2104.58	518.15	753.83	1259.69	651.58	1088.92	603.67	1359.57	753.83	934.76	620.67	409.15	339.14	543.96	1081.39	470.14	447.82	603.67	476.71	486.75	791.35	536.45	974.5	1175.27	1001.93	507.46	884.29	1081.39	703.28	703.28	571.05	665.29	540.19	660.68	583.07	466.88	1066.48	438.59	379.04	2319.15	1662.49	1467.37	1001.93	2104.58	1685.71	3235.01
NUPL2	802.41	579.04	981.29	718.08	884.29	693.58	603.67	381.68	679.29	796.86	723.08	651.58	551.56	743.43	738.29	251.48	265.87	417.77	303.44	493.56	279.14	587.13	358.54	483.38	312.0	299.25	339.14	371.22	271.48	295.11	277.2	387.02	381.68	343.89	368.65	139.07	432.53	368.65	473.41	220.32	400.71	480.04	271.48	314.17	246.28	420.68	368.65	476.71	181.28	172.65	325.29	543.96	493.56	743.43	669.92	1073.91	780.44	688.78	1088.92	785.88
NXF1	3168.41	2956.17	2895.31	2855.44	2367.9	1397.83	1857.6	1529.73	2133.97	1651.0	1794.29	1350.18	1331.57	1540.37	2193.99	718.08	684.02	872.1	836.53	1639.59	665.29	1369.04	961.07	1628.26	848.22	660.68	1023.0	947.83	1008.9	860.08	775.05	1628.26	1242.34	1313.23	1286.18	1208.34	808.0	1135.2	1304.15	769.69	1208.34	1397.83	669.92	819.3	1015.93	1127.35	1111.82	1073.91	579.04	1127.35	1397.83	1066.48	769.69	2591.27	2701.35	2468.49	2777.33	3018.3	2468.49	1594.73
PABPN1	5292.48	3325.99	4704.07	6607.01	4607.24	2997.45	4095.0	2434.5	2816.11	3639.7	3395.89	2351.53	2573.36	2555.58	2935.74	1096.5	1477.58	2047.0	2090.03	2645.74	1183.45	2133.97	1127.35	2555.58	2004.85	830.75	1950.0	1685.71	2104.58	1674.06	1304.15	2367.9	1794.29	1832.01	2287.2	1540.37	2047.0	1447.15	2319.15	1437.15	2645.74	2240.11	1437.15	2287.2	2133.97	1769.57	2148.82	2777.33	1487.87	860.08	2271.4	1950.0	1639.59	4388.98	4152.18	4358.66	4152.18	5872.48	5076.84	4010.71
PACS2	1242.34	1437.15	988.12	753.83	836.53	616.37	470.14	406.31	713.11	547.75	351.14	872.1	728.11	723.08	1313.23	147.06	320.8	287.01	346.29	420.68	87.65	334.46	291.04	525.39	223.41	103.69	277.2	217.27	387.02	293.07	194.36	336.79	256.78	320.8	426.57	248.0	273.37	314.17	346.29	181.28	441.64	457.25	262.2	226.54	253.23	242.88	255.0	371.22	166.73	229.72	366.09	277.2	171.45	2367.9	1651.0	1059.11	954.43	1286.18	1407.55	1950.0
PAK4	3103.19	1781.89	1104.13	1733.13	1498.22	684.02	1225.22	647.07	656.11	547.75	1051.79	583.07	583.07	583.07	1806.78	406.31	291.04	373.81	480.04	579.04	135.24	426.57	303.44	638.15	559.28	373.81	285.03	412.0	738.29	320.8	346.29	540.19	447.82	521.76	547.75	361.04	698.41	476.71	511.0	223.41	656.11	808.0	387.02	423.61	429.54	417.77	607.87	470.14	221.86	299.25	647.07	497.0	279.14	1143.1	842.36	1551.09	2148.82	1023.0	718.08	1857.6
PIH1D1	3515.68	2758.13	4038.61	3768.09	3443.31	2434.5	2855.44	1651.0	2855.44	2032.85	2303.12	2875.3	1977.24	2224.63	5041.77	1268.46	1059.11	1127.35	1023.0	1896.65	890.44	1572.76	1259.69	1883.54	1477.58	995.0	1322.37	1259.69	1757.34	1242.34	967.76	1199.98	1233.75	1594.73	2018.8	1605.83	981.29	1286.18	1651.0	1030.12	1135.2	1519.15	1508.65	1119.56	1572.76	1378.57	1350.18	1250.98	785.88	1594.73	1540.37	1051.79	890.44	2537.92	1963.57	2976.74	2627.46	3901.01	3794.3	4769.75
PNKP	1639.59	1457.23	1313.23	1250.98	1417.35	1088.92	1286.18	688.78	896.64	848.22	928.3	909.17	743.43	967.76	1909.85	318.57	371.22	351.14	309.83	529.06	228.13	470.14	473.41	314.17	301.33	426.57	275.28	366.09	500.46	325.29	271.48	281.09	190.34	409.15	432.53	318.57	289.02	460.44	325.29	281.09	457.25	457.25	532.74	332.14	503.95	414.87	447.82	417.77	293.07	395.18	343.89	220.32	320.8	1685.71	1073.91	1769.57	1757.34	1540.37	1757.34	1977.24
PPCDC	723.08	571.05	275.28	432.53	353.59	339.14	353.59	351.14	486.75	417.77	460.44	514.56	503.95	269.6	381.68	173.85	214.27	239.52	323.03	183.82	172.65	299.25	143.01	166.73	205.5	186.4	185.11	301.33	170.25	329.84	197.09	363.56	149.12	194.36	228.13	229.72	228.13	231.32	511.0	242.88	303.44	301.33	279.14	198.47	201.25	260.38	220.32	232.94	231.32	68.55	143.01	201.25	135.24	373.81	674.59	1104.13	571.05	884.29	708.18	890.44
PPOX	796.86	961.07	921.88	607.87	656.11	915.51	490.14	463.65	769.69	708.18	842.36	738.29	414.87	543.96	1313.23	148.09	307.69	249.73	295.11	339.14	102.97	361.04	150.17	518.15	246.28	115.16	273.37	229.72	379.04	314.17	197.09	255.0	182.55	387.02	343.89	260.38	251.48	341.51	320.8	167.9	316.37	429.54	379.04	277.2	258.57	189.02	381.68	336.79	163.28	157.68	351.14	293.07	189.02	878.17	896.64	718.08	703.28	866.07	1628.26	698.41
PPP2R3B	532.74	314.17	318.57	147.06	281.09	137.14	138.1	127.0	101.54	88.88	193.01	133.36	112.77	124.37	202.66	23.93	38.67	43.63	72.01	82.29	15.11	108.14	48.52	86.43	39.5	10.39	60.82	67.12	72.52	59.13	33.3	57.08	43.02	94.01	64.8	63.89	62.12	73.54	70.51	43.02	90.77	93.35	49.21	47.17	65.72	54.72	55.1	77.79	24.63	46.18	82.29	40.36	35.5	297.17	387.02	503.95	283.05	559.28	470.14	297.17
PRKRIP1	1059.11	1001.93	769.69	713.11	872.1	480.04	483.38	500.46	642.59	514.56	536.45	480.04	507.46	432.53	775.05	198.47	220.32	255.0	221.86	309.83	112.77	312.0	246.28	301.33	209.84	131.51	212.78	218.79	237.86	232.94	157.68	289.02	260.38	267.73	356.05	220.32	291.04	249.73	318.57	190.34	325.29	336.79	258.57	239.52	204.07	258.57	283.05	273.37	119.26	236.21	332.14	246.28	148.09	1233.75	1208.34	1159.07	1151.06	728.11	1111.82	1059.11
PRPF31	1697.45	1457.23	2061.24	2075.59	1806.78	1250.98	1259.69	1583.71	1286.18	1417.35	1167.14	1268.46	1037.29	1508.65	3081.75	819.3	480.04	1037.29	591.22	902.89	514.56	733.19	599.49	934.76	819.3	738.29	967.76	848.22	988.12	836.53	1015.93	878.17	559.28	860.08	967.76	514.56	890.44	825.0	954.43	1143.1	674.59	988.12	1081.39	808.0	961.07	836.53	679.29	825.0	638.15	703.28	708.18	532.74	934.76	1540.37	1369.04	1651.0	1467.37	1819.35	1639.59	2777.33
PRR14	1359.57	1651.0	1233.75	915.51	1030.12	848.22	1037.29	599.49	1286.18	1628.26	728.11	708.18	947.83	684.02	1127.35	480.04	397.93	514.56	454.09	785.88	221.86	571.05	441.64	698.41	480.04	327.56	438.59	403.5	624.99	363.56	307.69	480.04	490.14	607.87	571.05	547.75	447.82	470.14	629.35	289.02	698.41	532.74	438.59	457.25	412.0	493.56	429.54	575.03	279.14	392.44	616.37	529.06	412.0	1651.0	1388.16	2090.03	974.5	2178.83	1397.83	967.76
PRR3	358.54	353.59	878.17	583.07	279.14	241.19	190.34	228.13	224.97	183.82	264.03	400.71	262.2	194.36	297.17	126.12	101.54	89.51	153.34	231.32	75.64	173.85	149.12	209.84	139.07	68.07	109.66	74.58	217.27	112.77	86.43	149.12	105.89	136.19	163.28	127.0	150.17	78.34	127.89	68.07	152.28	220.32	115.97	90.77	143.01	127.0	148.09	161.02	33.06	170.25	183.82	148.09	46.84	299.25	426.57	503.95	249.73	785.88	441.64	206.94
QRICH2	157.68	93.35	48.18	110.43	988.12	113.56	139.07	101.54	177.53	49.21	141.02	94.67	172.65	95.34	92.7	15.0	6.73	55.1	28.65	87.03	7.34	50.27	9.56	98.73	38.4	5.92	42.11	22.1	25.91	22.43	32.59	30.56	181.28	40.36	52.08	33.06	50.63	22.26	34.75	41.22	44.57	73.54	12.83	70.51	44.25	37.85	24.99	38.4	14.56	24.28	69.52	60.39	47.17	59.97	48.87	151.22	134.3	76.71	75.64	122.64
RAD9A	1059.11	733.19	521.76	1331.57	1066.48	521.76	780.44	400.71	612.11	684.02	718.08	587.13	435.55	420.68	921.88	117.6	139.07	135.24	217.27	291.04	51.35	183.82	108.9	232.94	122.64	77.79	138.1	185.11	289.02	126.12	90.77	226.54	124.37	211.31	265.87	167.9	139.07	277.2	336.79	102.97	269.6	295.11	127.0	176.29	151.22	122.64	176.29	279.14	103.69	96.68	281.09	182.55	144.01	1191.69	616.37	1037.29	490.14	441.64	603.67	450.94
RBM10	1313.23	961.07	1127.35	1350.18	1088.92	769.69	708.18	813.63	559.28	896.64	713.11	748.61	651.58	612.11	988.12	423.61	356.05	616.37	555.41	521.76	341.51	551.56	363.56	703.28	435.55	265.87	555.41	426.57	703.28	460.44	420.68	532.74	525.39	514.56	575.03	409.15	555.41	536.45	486.75	493.56	607.87	563.18	400.71	438.59	507.46	483.38	426.57	511.0	275.28	423.61	547.75	525.39	412.0	872.1	954.43	1313.23	981.29	1340.84	1127.35	1369.04
RBM4B	647.07	733.19	624.99	718.08	748.61	447.82	493.56	638.15	409.15	575.03	356.05	466.88	262.2	323.03	567.1	111.99	251.48	264.03	201.25	441.64	134.3	323.03	120.1	376.41	185.11	123.5	301.33	182.55	307.69	167.9	273.37	361.04	194.36	236.21	312.0	185.11	281.09	190.34	256.78	221.86	323.03	444.72	189.02	215.77	221.86	234.57	341.51	316.37	102.97	74.58	406.31	242.88	185.11	457.25	503.95	995.0	669.92	988.12	825.0	406.31
RTEL1	316.37	279.14	476.71	497.0	332.14	291.04	110.43	151.22	348.71	277.2	305.55	305.55	189.02	262.2	305.55	54.72	115.16	70.51	70.51	131.51	81.14	156.59	110.43	147.06	86.43	82.87	98.04	76.71	209.84	88.26	71.5	122.64	93.35	181.28	128.79	191.67	59.55	84.04	129.69	67.59	134.3	129.69	85.82	57.89	54.72	126.12	88.26	127.0	68.07	74.58	114.36	102.97	73.03	373.81	358.54	260.38	191.67	403.5	312.0	249.73
SDR39U1	2047.0	2240.11	2047.0	2240.11	1733.13	2018.8	2255.7	1268.46	1857.6	2627.46	2090.03	1540.37	1662.49	1963.57	2240.11	1104.13	1242.34	1225.22	1159.07	1844.76	529.06	1487.87	1322.37	1639.59	813.63	500.46	1242.34	947.83	1417.35	1304.15	813.63	1407.55	1295.13	1551.09	1378.57	684.02	1081.39	1191.69	1447.15	679.29	1183.45	1519.15	878.17	1259.69	1073.91	1143.1	1066.48	1242.34	808.0	1340.84	1583.71	1044.52	974.5	2720.15	2335.28	2701.35	2319.15	2664.15	2018.8	4328.55
SH2B1	1963.57	1709.26	1242.34	961.07	1417.35	1051.79	1407.55	896.64	718.08	780.44	1030.12	567.1	785.88	1096.5	1127.35	264.03	384.34	403.5	454.09	941.27	177.53	547.75	341.51	825.0	457.25	162.14	417.77	339.14	567.1	490.14	351.14	532.74	503.95	579.04	616.37	500.46	457.25	371.22	525.39	389.72	518.15	902.89	414.87	412.0	423.61	409.15	470.14	525.39	241.19	212.78	571.05	397.93	392.44	915.51	1572.76	2047.0	1378.57	1199.98	1909.85	595.34
SIRT7	2209.26	802.41	738.29	1051.79	813.63	521.76	329.84	591.22	633.73	525.39	447.82	543.96	412.0	483.38	830.75	163.28	164.42	271.48	212.78	224.97	107.38	414.87	165.57	356.05	336.79	131.51	346.29	170.25	480.04	189.02	171.45	271.48	199.85	281.09	309.83	242.88	341.51	165.57	363.56	195.72	287.01	444.72	229.72	180.02	224.97	177.53	237.86	384.34	111.99	115.97	303.44	246.28	253.23	1467.37	842.36	532.74	429.54	412.0	808.0	796.86
SLC4A2	2835.7	2935.74	3982.99	2502.97	2627.46	4736.79	6561.36	2032.85	6840.04	3280.18	4181.07	7857.29	4210.15	3928.15	4607.24	1709.26	1628.26	1359.57	1745.2	2664.15	1127.35	2319.15	1844.76	1977.24	2163.77	2090.03	1721.16	1709.26	2240.11	1709.26	1277.29	2061.24	1963.57	2047.0	1551.09	2468.49	2163.77	1159.07	2193.99	1757.34	2224.63	2645.74	1685.71	2133.97	2400.97	2004.85	2209.26	2271.4	703.28	1870.53	1991.0	2627.46	2119.22	5255.91	5751.61	5995.9	1977.24	3665.02	3280.18	4736.79
SMPD4	1769.57	1605.83	1662.49	1583.71	1417.35	934.76	1059.11	967.76	1259.69	836.53	728.11	1143.1	684.02	728.11	1268.46	379.04	493.56	361.04	420.68	738.29	275.28	353.59	447.82	733.19	470.14	341.51	457.25	356.05	551.56	438.59	285.03	463.65	480.04	511.0	698.41	406.31	460.44	406.31	616.37	246.28	483.38	848.22	297.17	400.71	460.44	497.0	395.18	629.35	236.21	511.0	435.55	429.54	271.48	1529.73	1388.16	1437.15	1059.11	1529.73	1540.37	1119.56
SRRT	3443.31	2976.74	3372.43	3257.52	3589.58	2133.97	2915.45	1745.2	2178.83	1628.26	2451.44	2047.0	1806.78	1685.71	2555.58	909.17	759.08	884.29	1151.06	2061.24	532.74	1883.54	1313.23	2224.63	1088.92	684.02	896.64	884.29	1721.16	813.63	743.43	1417.35	1242.34	1651.0	1870.53	1697.45	1277.29	1561.89	1572.76	656.11	1551.09	1583.71	1561.89	860.08	1183.45	1304.15	1447.15	1397.83	507.46	1457.23	2178.83	1037.29	698.41	3103.19	4512.4	3847.29	2133.97	4419.52	2976.74	8134.41
STARD3	3982.99	1397.83	1583.71	1977.24	1359.57	1540.37	713.11	1487.87	1388.16	1037.29	1081.39	2485.67	1096.5	1304.15	1697.45	713.11	713.11	651.58	665.29	872.1	450.94	638.15	616.37	1015.93	647.07	460.44	620.67	529.06	884.29	698.41	733.19	713.11	567.1	860.08	642.59	693.58	638.15	967.76	713.11	791.35	961.07	1143.1	947.83	941.27	825.0	866.07	796.86	1051.79	476.71	612.11	723.08	525.39	642.59	2224.63	1378.57	1378.57	909.17	1030.12	5147.73	1447.15
