	GTEX.TMMY.1526.SM.4DXST	TCGA.CU.A5W6.01A.11R.A28M.07	TCGA.BT.A20X.01A.11R.A16R.07	TCGA.BT.A0YX.01A.11R.A10U.07	TCGA.XF.A9T8.01A.11R.A39I.07	TCGA.CU.A72E.01A.12R.A33J.07	TCGA.BT.A20U.11A.11R.A14Y.07	TCGA.BT.A2LB.11A.11R.A18C.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.UC.A7PF.01A.11R.A352.07	TCGA.EK.A2RC.01A.11R.A18M.07	TCGA.C5.A1BM.01A.11R.A13Y.07	TCGA.C5.A1MK.01A.11R.A14Y.07	TCGA.Q1.A6DW.01A.11R.A32P.07	TCGA.JW.A5VL.01A.11R.A28H.07	TCGA.DS.A5RQ.01A.11R.A28H.07	TCGA.VS.A9UI.01A.11R.A42T.07	TCGA.EK.A2RO.01A.11R.A18M.07	TCGA.EA.A3HU.01A.11R.A213.07	TCGA.DS.A1OB.01A.11R.A14Y.07	TCGA.C5.A1BQ.01C.11R.A213.07	TCGA.C5.A1BE.01B.11R.A13Y.07	TCGA.C5.A2LZ.01A.11R.A213.07	TCGA.XP.A8T8.01A.11R.A36D.31	TCGA.LN.A49S.01A.11R.A24K.31	TCGA.IG.A8O2.01A.11R.A36D.31	TCGA.L5.A88S.01A.11R.A36D.31	TCGA.IG.A5B8.01A.11R.A28J.31	TCGA.Z6.A8JD.01A.11R.A36D.31	TCGA.JY.A6FA.01A.11R.A336.31	TCGA.VR.A8ER.01A.11R.A36D.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.LN.A8I0.01A.11R.A36D.31	TCGA.JY.A6FG.01A.11R.A336.31	TCGA.JY.A6FD.01A.11R.A336.31	TCGA.R6.A6L6.01B.11R.A336.31	TCGA.LN.A7HV.01A.21R.A354.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.VR.A8EZ.01A.11R.A36D.31	TCGA.VR.A8ET.01A.11R.A406.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.IG.A97H.01A.11R.A38D.31	TCGA.LN.A4MR.01A.11R.A28J.31	TCGA.XP.A8T6.01A.11R.A36D.31	TCGA.IG.A4P3.01A.11R.A260.31	TCGA.Z6.AAPN.01A.11R.A406.31	TCGA.LN.A5U6.01A.11R.A28J.31	TCGA.LN.A4A1.01A.21R.A260.31	TCGA.LN.A49R.01A.11R.A24K.31	TCGA.LN.A4A9.01A.11R.A28J.31	TCGA.V5.AASV.01A.11R.A38D.31	TCGA.LN.A8I1.01A.11R.A36D.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.L5.A88Z.01A.11R.A36D.31	TCGA.IG.A3QL.01A.11R.A24K.31	TCGA.VR.A8EX.01A.11R.A36D.31	TCGA.VR.A8EW.01A.11R.A36D.31	TCGA.IG.A3YC.01A.11R.A24K.31	TCGA.IG.A6QS.01A.12R.A336.31	TCGA.VR.A8EU.01A.11R.A36D.31	TCGA.L5.A43H.01A.11R.A24K.31	TCGA.LN.A9FO.01A.11R.A38D.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.ZTTD.1226.SM.51MS2	GTEX.PVOW.1626.SM.48TC9	GTEX.145LV.1326.SM.5S2QI	GTEX.ZVE2.1326.SM.5NQ94	GTEX.144FL.2726.SM.5O98Z	GTEX.13U4I.1126.SM.5LU3S	GTEX.11ONC.1526.SM.5GU6S	GTEX.12WSA.1426.SM.5EGJU	GTEX.R45C.1226.SM.48FEE	GTEX.13O3Q.0826.SM.5IFGF	GTEX.QVUS.0626.SM.447CC	GTEX.T5JC.1726.SM.4DM6U	GTEX.XK95.1026.SM.4GIDV	GTEX.13NZB.1226.SM.5J2MW	GTEX.145LS.1826.SM.5LUAZ	GTEX.X4LF.0626.SM.4QASB	GTEX.11DYG.1326.SM.5N9DO	GTEX.YFC4.1226.SM.5LU9R	GTEX.WVLH.1426.SM.4MVNX	GTEX.11ZU8.1526.SM.5EGHX	GTEX.139TU.1226.SM.5J2NL	GTEX.X585.1226.SM.46MW7	GTEX.ZTPG.1626.SM.5DUX2	GTEX.PLZ4.1626.SM.3P618	GTEX.11NUK.1326.SM.5P9GN	GTEX.RNOR.1226.SM.48FDQ	GTEX.UPK5.1226.SM.4IHL8	GTEX.ZAB4.1126.SM.5HL86	GTEX.ZF3C.1626.SM.4WWB4	GTEX.XQ3S.1126.SM.4BOPK	GTEX.14BIN.2726.SM.5RQIE	GTEX.P78B.1026.SM.3NMC4	GTEX.XQ8I.1526.SM.4BOOH	GTEX.11ZTS.2626.SM.5EGIC	GTEX.132AR.2226.SM.5J2NT	GTEX.S33H.0826.SM.4AD5Y	GTEX.132AR.2326.SM.5IJDY	TCGA.QK.A6VC.01A.23R.A34R.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CN.6021.01A.11R.1686.07	TCGA.UF.A71D.01A.12R.A34R.07	TCGA.CV.6955.01A.11R.2016.07	TCGA.H7.7774.01A.21R.2081.07	TCGA.CV.6935.01A.11R.1915.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.CV.A45V.01A.21R.A24Z.07	TCGA.CV.7421.01A.11R.2081.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.CV.6961.11A.01R.1915.07	GTEX.YFC4.1126.SM.5RQJN	GTEX.ZUA1.1026.SM.4YCEA	TCGA.85.A4JC.01A.11R.A24Z.07	TCGA.21.5784.01A.01R.1635.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.IN.7806.11A.01R.2055.13	GTEX.YJ8A.1526.SM.5P9FT	GTEX.WWYW.2826.SM.4MVOQ	GTEX.PWN1.2026.SM.48TD9	GTEX.R55G.1626.SM.48FF4
DOCK1	414.87	109.66	299.25	341.51	295.11	348.71	234.57	255.0	480.04	307.69	353.59	158.79	305.55	320.8	269.6	275.28	371.22	195.72	164.42	228.13	193.01	358.54	395.18	363.56	409.15	460.44	521.76	429.54	454.09	318.57	429.54	432.53	389.72	265.87	441.64	307.69	226.54	384.34	426.57	318.57	493.56	323.03	473.41	348.71	651.58	392.44	463.65	563.18	368.65	575.03	473.41	297.17	356.05	358.54	441.64	314.17	253.23	490.14	368.65	379.04	441.64	406.31	483.38	356.05	264.03	595.34	624.99	684.02	679.29	656.11	432.53	780.44	540.19	679.29	733.19	547.75	660.68	361.04	733.19	414.87	928.3	412.0	563.18	1044.52	620.67	525.39	327.56	599.49	473.41	836.53	540.19	764.36	791.35	480.04	656.11	780.44	507.46	480.04	273.37	525.39	376.41	432.53	303.44	237.86	363.56	232.94	205.5	287.01	131.51	281.09	371.22	255.0	120.94	169.07	599.49	872.1	253.23	181.28	224.97	297.17	275.28	417.77	201.25	314.17	169.07	318.57	143.01	327.56	733.19	463.65
EFHC1	102.25	78.89	74.06	38.67	81.71	108.9	71.5	97.36	78.89	109.66	90.77	22.59	96.01	101.54	92.7	100.13	141.02	136.19	84.04	108.14	177.53	135.24	209.84	221.86	248.0	346.29	214.27	120.1	236.21	182.55	195.72	175.07	161.02	158.79	141.02	209.84	132.44	156.59	237.86	145.02	234.57	518.15	194.36	191.67	185.11	163.28	156.59	212.78	287.01	212.78	130.6	239.52	178.77	244.57	293.07	260.38	226.54	130.6	262.2	221.86	171.45	241.19	163.28	142.01	142.01	205.5	450.94	366.09	269.6	262.2	217.27	343.89	412.0	265.87	406.31	358.54	244.57	234.57	361.04	279.14	414.87	231.32	351.14	287.01	368.65	426.57	129.69	376.41	239.52	277.2	320.8	376.41	287.01	120.1	384.34	320.8	217.27	190.34	133.36	307.69	181.28	85.82	36.53	37.59	60.39	42.11	55.1	99.43	51.71	78.89	151.22	30.78	70.51	35.25	271.48	1594.73	334.46	256.78	18.29	71.0	27.84	75.64	35.0	67.12	58.3	137.14	30.34	420.68	162.14	94.01
ELMOD3	208.38	395.18	112.77	191.67	211.31	279.14	169.07	116.78	221.86	483.38	325.29	173.85	256.78	265.87	256.78	262.2	395.18	198.47	334.46	366.09	312.0	283.05	389.72	392.44	529.06	381.68	289.02	253.23	323.03	896.64	339.14	346.29	356.05	392.44	262.2	220.32	363.56	389.72	291.04	307.69	305.55	400.71	381.68	511.0	540.19	353.59	353.59	547.75	450.94	616.37	525.39	277.2	316.37	438.59	348.71	217.27	305.55	366.09	320.8	376.41	242.88	336.79	341.51	341.51	698.41	301.33	525.39	583.07	579.04	476.71	327.56	616.37	669.92	341.51	603.67	460.44	571.05	406.31	540.19	346.29	540.19	211.31	351.14	283.05	559.28	656.11	287.01	543.96	463.65	503.95	579.04	595.34	579.04	381.68	547.75	669.92	511.0	435.55	518.15	529.06	656.11	191.67	79.45	120.94	153.34	152.28	110.43	182.55	99.43	201.25	189.02	84.63	139.07	87.65	201.25	195.72	305.55	169.07	136.19	126.12	132.44	143.01	106.63	117.6	92.7	277.2	236.21	579.04	134.3	264.03
ERCC5	575.03	947.83	500.46	878.17	921.88	988.12	1037.29	764.36	854.13	954.43	1745.2	718.08	1037.29	567.1	819.3	902.89	633.73	748.61	1081.39	466.88	769.69	915.51	1199.98	599.49	713.11	813.63	651.58	1001.93	665.29	432.53	555.41	753.83	638.15	629.35	429.54	1199.98	473.41	575.03	536.45	1001.93	884.29	1427.22	890.44	775.05	909.17	896.64	703.28	848.22	728.11	819.3	775.05	490.14	769.69	753.83	629.35	500.46	693.58	624.99	1111.82	493.56	486.75	674.59	547.75	693.58	1104.13	633.73	1651.0	1950.0	1757.34	1350.18	1605.83	1909.85	1857.6	1923.14	1369.04	1143.1	1199.98	1208.34	1651.0	1096.5	1519.15	1143.1	1388.16	878.17	1697.45	1721.16	651.58	1242.34	1605.83	1519.15	1242.34	1605.83	1417.35	791.35	1594.73	1457.23	915.51	1819.35	583.07	1350.18	872.1	947.83	466.88	273.37	743.43	563.18	575.03	587.13	417.77	656.11	395.18	571.05	409.15	454.09	638.15	1001.93	1268.46	470.14	381.68	808.0	285.03	638.15	493.56	547.75	748.61	518.15	384.34	921.88	665.29	514.56
ERMARD	205.5	414.87	255.0	217.27	323.03	733.19	400.71	314.17	287.01	353.59	325.29	198.47	320.8	229.72	248.0	271.48	500.46	297.17	208.38	486.75	497.0	371.22	571.05	412.0	1015.93	314.17	507.46	540.19	312.0	283.05	277.2	387.02	432.53	339.14	406.31	361.04	1191.69	346.29	503.95	616.37	450.94	363.56	463.65	273.37	327.56	651.58	348.71	463.65	346.29	603.67	476.71	624.99	361.04	348.71	226.54	186.4	412.0	248.0	532.74	536.45	417.77	316.37	420.68	341.51	379.04	275.28	743.43	595.34	848.22	607.87	429.54	713.11	633.73	423.61	703.28	441.64	511.0	376.41	679.29	703.28	629.35	435.55	529.06	563.18	802.41	733.19	511.0	507.46	603.67	583.07	454.09	713.11	470.14	540.19	575.03	679.29	529.06	647.07	325.29	432.53	406.31	417.77	131.51	159.9	281.09	249.73	202.66	211.31	130.6	343.89	291.04	162.14	400.71	260.38	285.03	406.31	392.44	438.59	195.72	305.55	111.99	251.48	255.0	246.28	255.0	195.72	64.8	536.45	351.14	295.11
EZH1	642.59	271.48	84.04	197.09	228.13	287.01	283.05	183.82	412.0	368.65	293.07	181.28	341.51	305.55	299.25	165.57	291.04	176.29	251.48	248.0	514.56	256.78	514.56	620.67	753.83	444.72	595.34	212.78	497.0	384.34	780.44	753.83	603.67	543.96	406.31	173.85	543.96	563.18	414.87	660.68	674.59	291.04	748.61	684.02	775.05	262.2	733.19	275.28	802.41	836.53	733.19	559.28	884.29	571.05	708.18	438.59	559.28	397.93	679.29	503.95	521.76	819.3	759.08	785.88	665.29	647.07	791.35	1191.69	848.22	669.92	836.53	1685.71	1447.15	872.1	1135.2	1175.27	995.0	775.05	1066.48	624.99	842.36	441.64	718.08	579.04	1023.0	1628.26	567.1	1233.75	748.61	813.63	1030.12	1295.13	1259.69	435.55	748.61	967.76	974.5	808.0	703.28	921.88	1407.55	269.6	127.89	108.14	221.86	129.69	133.36	135.24	95.34	154.42	206.94	103.69	107.38	72.01	836.53	351.14	463.65	164.42	98.73	248.0	142.01	256.78	140.04	189.02	124.37	529.06	182.55	1923.14	309.83	348.71
FAAH	80.57	397.93	204.07	265.87	62.56	325.29	256.78	209.84	624.99	258.57	156.59	59.13	289.02	281.09	231.32	457.25	346.29	414.87	157.68	316.37	93.35	366.09	444.72	163.28	178.77	514.56	177.53	251.48	187.71	305.55	32.59	180.02	202.66	153.34	127.89	718.08	256.78	221.86	169.07	101.54	215.77	215.77	185.11	368.65	170.25	195.72	295.11	208.38	37.85	262.2	132.44	180.02	164.42	223.41	54.72	143.01	325.29	215.77	211.31	279.14	128.79	88.26	194.36	164.42	432.53	325.29	947.83	669.92	974.5	595.34	454.09	981.29	988.12	441.64	1001.93	713.11	884.29	830.75	500.46	339.14	1001.93	571.05	620.67	426.57	1044.52	961.07	373.81	1397.83	486.75	967.76	1127.35	928.3	1001.93	426.57	470.14	1268.46	591.22	361.04	457.25	890.44	114.36	432.53	27.25	13.03	156.59	177.53	112.77	81.14	129.69	185.11	351.14	169.07	143.01	117.6	351.14	271.48	819.3	195.72	65.26	104.42	127.0	221.86	128.79	120.1	100.83	212.78	185.11	1088.92	87.65	34.02
FAM156A	76.17	177.53	109.66	59.55	134.3	109.66	105.15	89.51	91.41	423.61	190.34	138.1	316.37	145.02	316.37	232.94	406.31	103.69	363.56	105.89	191.67	108.14	320.8	281.09	563.18	371.22	371.22	242.88	309.83	236.21	307.69	316.37	316.37	269.6	351.14	226.54	403.5	514.56	480.04	244.57	403.5	412.0	429.54	239.52	264.03	583.07	212.78	346.29	414.87	830.75	547.75	769.69	307.69	275.28	417.77	253.23	303.44	81.71	536.45	460.44	255.0	417.77	579.04	336.79	595.34	432.53	679.29	780.44	674.59	336.79	454.09	620.67	665.29	490.14	836.53	438.59	460.44	356.05	967.76	414.87	693.58	264.03	363.56	366.09	733.19	884.29	384.34	441.64	500.46	400.71	603.67	476.71	624.99	339.14	426.57	525.39	500.46	466.88	327.56	575.03	493.56	206.94	31.0	64.34	123.5	47.17	69.52	91.41	15.68	164.42	106.63	45.85	56.68	29.06	156.59	166.73	397.93	77.25	10.88	77.79	23.42	76.17	49.91	14.67	29.48	130.6	58.71	748.61	182.55	231.32
FAM160A2	336.79	260.38	305.55	358.54	323.03	493.56	358.54	583.07	271.48	518.15	559.28	387.02	571.05	258.57	629.35	507.46	571.05	420.68	429.54	363.56	348.71	511.0	454.09	463.65	551.56	587.13	587.13	579.04	607.87	555.41	403.5	595.34	743.43	842.36	579.04	483.38	599.49	642.59	417.77	743.43	629.35	753.83	591.22	518.15	591.22	620.67	511.0	575.03	559.28	1044.52	669.92	595.34	595.34	595.34	723.08	392.44	480.04	480.04	825.0	583.07	579.04	500.46	454.09	587.13	1143.1	473.41	836.53	830.75	1037.29	1023.0	595.34	679.29	902.89	559.28	1143.1	769.69	842.36	624.99	981.29	733.19	1066.48	591.22	890.44	1286.18	819.3	1143.1	616.37	848.22	825.0	928.3	854.13	890.44	896.64	647.07	928.3	1127.35	1191.69	514.56	743.43	934.76	1111.82	503.95	275.28	312.0	231.32	287.01	194.36	450.94	251.48	503.95	208.38	346.29	164.42	429.54	769.69	432.53	595.34	341.51	137.14	206.94	295.11	309.83	251.48	220.32	186.4	414.87	381.68	785.88	486.75	620.67
FAM160B2	497.0	511.0	669.92	688.78	1001.93	1081.39	723.08	444.72	693.58	825.0	1104.13	1073.91	567.1	1617.0	733.19	830.75	928.3	368.65	603.67	915.51	974.5	612.11	1519.15	2271.4	1427.22	2209.26	1896.65	1467.37	1991.0	1008.9	1073.91	1697.45	2240.11	2090.03	2240.11	1037.29	2018.8	1936.53	1331.57	2351.53	1870.53	1427.22	2319.15	1350.18	1350.18	738.29	813.63	1594.73	2047.0	2573.36	3081.75	1561.89	1594.73	1896.65	1662.49	1340.84	1605.83	1066.48	1909.85	1268.46	1151.06	2609.3	1397.83	1529.73	2240.11	1950.0	2573.36	3235.01	3235.01	1936.53	1651.0	2209.26	2935.74	2645.74	2627.46	2061.24	2319.15	1697.45	2319.15	1551.09	2935.74	1044.52	1819.35	2240.11	3018.3	3982.99	1268.46	3491.39	1769.57	2193.99	2997.45	2956.17	3372.43	1721.16	1857.6	3564.78	2018.8	1628.26	1806.78	2485.67	1769.57	679.29	277.2	571.05	775.05	591.22	579.04	368.65	624.99	1059.11	500.46	536.45	205.5	432.53	476.71	791.35	934.76	559.28	115.97	438.59	669.92	620.67	503.95	348.71	251.48	819.3	775.05	2104.58	540.19	579.04
FAM178A	154.42	73.03	127.0	156.59	131.51	171.45	163.28	61.68	95.34	267.73	220.32	114.36	239.52	195.72	217.27	154.42	190.34	148.09	176.29	177.53	127.89	205.5	312.0	206.94	285.03	199.85	205.5	220.32	312.0	218.79	303.44	195.72	148.09	120.1	234.57	151.22	111.99	170.25	246.28	134.3	258.57	189.02	226.54	138.1	303.44	183.82	314.17	209.84	190.34	444.72	237.86	156.59	204.07	176.29	271.48	122.64	135.24	149.12	323.03	242.88	244.57	175.07	281.09	181.28	277.2	108.9	361.04	293.07	291.04	320.8	191.67	395.18	332.14	208.38	361.04	186.4	155.5	189.02	316.37	258.57	392.44	180.02	161.02	182.55	307.69	264.03	180.02	164.42	275.28	368.65	202.66	273.37	253.23	170.25	194.36	348.71	181.28	258.57	182.55	255.0	356.05	147.06	71.5	78.89	98.73	111.21	71.5	142.01	89.51	98.04	90.14	45.53	111.99	53.19	115.97	140.04	117.6	94.67	94.01	144.01	57.89	100.83	92.05	84.63	46.84	137.14	98.73	346.29	842.36	299.25
FAM193B	412.0	1225.22	312.0	466.88	647.07	896.64	896.64	503.95	616.37	1225.22	1208.34	688.78	1037.29	878.17	1819.35	796.86	1369.04	1015.93	733.19	934.76	1059.11	1467.37	1639.59	1304.15	1651.0	1540.37	1397.83	1457.23	1674.06	1127.35	1277.29	1617.0	1001.93	2351.53	1199.98	1963.57	1397.83	1769.57	2061.24	3491.39	1572.76	2319.15	2485.67	1191.69	1857.6	1397.83	1250.98	1331.57	1651.0	3794.3	3060.45	1639.59	1806.78	2367.9	1617.0	718.08	1697.45	928.3	1721.16	1350.18	1175.27	1870.53	1127.35	1295.13	2303.12	2224.63	2591.27	2720.15	3325.99	1991.0	2573.36	2468.49	3081.75	3235.01	2573.36	2451.44	2104.58	2061.24	3467.27	1674.06	2319.15	1437.15	2209.26	1757.34	3540.14	3168.41	1183.45	3190.46	2417.67	2573.36	2682.69	2997.45	3614.55	1950.0	2485.67	2609.3	2271.4	2367.9	1540.37	2434.5	2664.15	961.07	185.11	217.27	403.5	457.25	435.55	356.05	429.54	684.02	318.57	642.59	332.14	486.75	1605.83	599.49	1819.35	400.71	93.35	490.14	392.44	656.11	323.03	307.69	269.6	981.29	583.07	2367.9	583.07	624.99
FCHSD1	126.12	358.54	176.29	164.42	281.09	291.04	146.03	178.77	426.57	397.93	511.0	166.73	376.41	486.75	381.68	283.05	521.76	49.91	371.22	341.51	309.83	120.1	511.0	493.56	447.82	536.45	279.14	1151.06	660.68	379.04	480.04	521.76	389.72	120.1	441.64	420.68	271.48	466.88	358.54	813.63	400.71	432.53	872.1	595.34	642.59	152.28	124.37	486.75	738.29	703.28	180.02	567.1	368.65	473.41	693.58	353.59	241.19	363.56	607.87	241.19	679.29	733.19	575.03	379.04	435.55	353.59	447.82	860.08	674.59	591.22	368.65	808.0	748.61	612.11	638.15	866.07	536.45	363.56	616.37	414.87	684.02	218.79	392.44	301.33	559.28	974.5	275.28	802.41	341.51	620.67	934.76	1008.9	1268.46	457.25	381.68	738.29	466.88	281.09	476.71	412.0	490.14	248.0	191.67	63.45	271.48	232.94	409.15	128.79	65.26	314.17	56.68	323.03	92.05	112.77	447.82	295.11	384.34	99.43	24.28	129.69	373.81	241.19	211.31	76.17	105.15	205.5	123.5	441.64	128.79	140.04
FLJ00104	22.75	17.9	16.27	16.03	12.93	19.97	14.45	24.63	22.92	34.26	16.03	24.99	29.06	70.01	30.56	15.45	56.28	15.68	41.81	23.93	53.57	24.63	61.68	60.82	63.45	66.18	47.5	37.59	49.91	55.49	43.94	40.93	51.35	38.12	49.56	47.5	28.45	57.89	52.08	47.84	40.07	34.02	65.26	38.95	79.45	30.56	52.08	85.82	77.25	100.13	108.9	78.89	41.81	34.02	53.95	22.26	59.55	43.94	48.18	56.68	44.57	56.68	74.58	40.36	102.25	42.41	59.97	111.99	122.64	61.25	49.21	120.94	93.35	86.43	115.97	58.71	85.22	54.33	62.56	49.21	165.57	41.52	42.71	73.54	66.65	76.71	55.89	61.68	44.89	96.68	68.07	100.83	99.43	33.06	66.18	89.51	78.34	56.68	39.79	89.51	73.54	18.84	4.7	7.75	18.7	9.63	18.84	17.64	11.04	17.25	15.0	9.2	5.19	8.38	22.75	14.03	27.84	9.13	1.19	7.46	10.08	15.22	9.13	8.51	5.41	21.63	21.63	59.97	14.56	13.83
FLJ00418	10.16	4.78	0.74	3.66	2.01	7.22	12.0	5.82	3.72	6.16	3.99	7.4	9.63	13.72	3.56	5.92	19.82	1.3	1.73	4.54	2.23	1.23	6.89	26.67	37.32	27.25	23.08	13.52	26.86	27.44	27.05	36.79	22.43	17.64	13.93	14.56	17.77	36.79	21.63	16.63	25.72	13.93	23.76	27.84	31.22	16.63	12.55	32.59	29.27	38.95	108.9	46.84	38.67	32.13	27.44	7.75	32.59	27.05	28.24	18.29	20.71	36.79	52.45	38.12	15.91	49.21	59.55	49.91	33.78	59.13	29.48	43.02	43.63	17.51	51.35	52.08	39.5	35.25	17.13	29.48	43.02	25.72	33.3	20.71	35.76	55.89	40.07	34.51	21.63	43.63	71.0	27.44	28.86	17.0	22.75	28.04	41.81	29.27	52.45	32.13	25.35	16.88	0.71	1.04	8.13	5.77	3.79	2.51	3.29	11.13	4.78	3.5	6.41	3.96	3.69	37.59	14.24	4.78	0.27	8.45	5.45	7.22	7.11	7.11	4.06	17.13	12.74	20.26	13.12	11.21
GBA2	1233.75	575.03	412.0	500.46	514.56	373.81	629.35	656.11	264.03	733.19	954.43	444.72	647.07	915.51	967.76	567.1	665.29	575.03	791.35	1151.06	679.29	665.29	808.0	693.58	698.41	902.89	1088.92	543.96	669.92	878.17	525.39	1127.35	1427.22	866.07	1023.0	1183.45	595.34	1023.0	1378.57	718.08	981.29	457.25	1159.07	995.0	866.07	813.63	733.19	813.63	909.17	1457.23	1127.35	1417.35	860.08	1397.83	1304.15	612.11	684.02	450.94	1008.9	1081.39	743.43	1427.22	665.29	1037.29	3039.3	1304.15	2061.24	1857.6	1388.16	1397.83	934.76	2351.53	1721.16	1313.23	1757.34	1111.82	1447.15	1498.22	1467.37	1359.57	2485.67	860.08	1216.75	2032.85	1617.0	2061.24	872.1	1769.57	1350.18	1628.26	1487.87	1697.45	1508.65	1208.34	1388.16	2400.97	1477.58	1437.15	878.17	1119.56	1651.0	435.55	371.22	323.03	1044.52	153.34	346.29	463.65	253.23	651.58	351.14	295.11	256.78	305.55	1397.83	1388.16	703.28	358.54	85.82	251.48	303.44	435.55	281.09	309.83	221.86	780.44	1498.22	1175.27	1044.52	915.51
GPR89C	14.35	45.21	27.25	10.96	60.39	58.3	62.56	24.81	29.91	50.27	29.06	39.79	69.52	80.01	43.02	31.67	102.97	34.26	31.67	56.68	42.71	41.81	97.36	28.45	56.68	81.14	37.32	65.72	34.26	32.36	12.18	44.89	71.0	38.12	22.75	36.53	62.56	39.22	60.39	47.17	41.81	46.84	82.29	51.35	129.69	78.89	48.52	88.88	64.34	41.22	62.12	105.89	50.27	43.63	42.11	27.64	52.08	25.72	99.43	56.68	44.57	31.0	93.35	32.82	134.3	38.67	232.94	126.12	199.85	158.79	37.32	169.07	253.23	60.39	154.42	37.85	113.56	92.7	113.56	103.69	152.28	48.18	59.97	159.9	138.1	221.86	76.17	31.22	122.64	120.1	42.71	125.24	96.01	129.69	129.69	91.41	186.4	73.03	82.87	140.04	177.53	52.08	6.62	15.34	47.5	11.55	19.11	17.13	15.34	13.72	27.25	14.03	16.51	13.62	38.4	49.21	63.45	89.51	11.3	12.27	13.12	35.0	19.39	0.65	17.38	12.83	19.25	91.41	29.48	21.01
HAUS3	120.1	218.79	163.28	91.41	151.22	144.01	123.5	108.14	143.01	183.82	171.45	177.53	147.06	226.54	215.77	113.56	149.12	171.45	281.09	169.07	214.27	106.63	134.3	144.01	212.78	166.73	194.36	170.25	163.28	158.79	155.5	147.06	139.07	90.14	253.23	127.0	224.97	155.5	197.09	151.22	205.5	237.86	218.79	211.31	201.25	299.25	138.1	205.5	218.79	299.25	215.77	130.6	177.53	151.22	180.02	170.25	249.73	171.45	206.94	162.14	159.9	190.34	246.28	147.06	169.07	164.42	239.52	251.48	329.84	211.31	223.41	267.73	287.01	285.03	237.86	275.28	217.27	143.01	267.73	182.55	220.32	267.73	163.28	139.07	236.21	264.03	176.29	185.11	157.68	275.28	182.55	299.25	279.14	122.64	209.84	327.56	134.3	154.42	128.79	193.01	197.09	314.17	77.25	93.35	208.38	123.5	80.57	73.03	130.6	150.17	84.63	95.34	140.04	111.99	134.3	182.55	159.9	102.25	87.03	77.25	94.01	82.87	92.05	87.03	80.57	134.3	92.05	108.14	116.78	114.36
HECTD3	438.59	563.18	423.61	708.18	361.04	967.76	728.11	540.19	373.81	616.37	764.36	780.44	775.05	878.17	409.15	651.58	1143.1	629.35	796.86	693.58	660.68	616.37	884.29	607.87	878.17	1183.45	1023.0	941.27	866.07	764.36	483.38	1037.29	848.22	981.29	842.36	954.43	1088.92	1030.12	684.02	728.11	954.43	728.11	813.63	1015.93	718.08	915.51	934.76	1088.92	808.0	1073.91	802.41	651.58	1037.29	1242.34	579.04	529.06	836.53	620.67	1051.79	961.07	1008.9	486.75	620.67	1037.29	974.5	854.13	1498.22	1242.34	1447.15	1277.29	872.1	1191.69	1331.57	728.11	1313.23	836.53	915.51	1051.79	1037.29	1277.29	1151.06	830.75	775.05	1216.75	1331.57	1066.48	961.07	1313.23	1250.98	1286.18	1051.79	1350.18	1044.52	967.76	1508.65	1151.06	1127.35	1359.57	1037.29	1313.23	769.69	432.53	457.25	366.09	470.14	780.44	642.59	353.59	656.11	708.18	423.61	703.28	514.56	713.11	246.28	211.31	1216.75	599.49	381.68	728.11	387.02	718.08	511.0	842.36	450.94	872.1	808.0	429.54	540.19	567.1
HECTD4	444.72	466.88	303.44	251.48	241.19	423.61	325.29	339.14	432.53	366.09	559.28	265.87	320.8	332.14	248.0	258.57	316.37	212.78	346.29	229.72	381.68	348.71	400.71	334.46	543.96	718.08	511.0	305.55	371.22	497.0	444.72	599.49	490.14	743.43	368.65	363.56	457.25	529.06	684.02	397.93	583.07	332.14	567.1	395.18	536.45	525.39	466.88	483.38	708.18	1216.75	591.22	476.71	753.83	579.04	387.02	287.01	420.68	305.55	591.22	447.82	334.46	473.41	633.73	775.05	934.76	872.1	1059.11	1135.2	890.44	872.1	1119.56	915.51	967.76	1378.57	1242.34	1242.34	1104.13	1175.27	1331.57	753.83	1059.11	928.3	1066.48	1477.58	1216.75	1628.26	612.11	1427.22	934.76	1096.5	1111.82	1191.69	1111.82	878.17	1167.14	1030.12	995.0	1008.9	890.44	954.43	902.89	414.87	122.64	251.48	269.6	271.48	312.0	181.28	265.87	264.03	253.23	255.0	157.68	154.42	406.31	536.45	406.31	128.79	95.34	559.28	229.72	251.48	223.41	279.14	376.41	753.83	283.05	633.73	295.11	264.03
