	GTEX.ZYFG.1926.SM.5GID5	GTEX.WFON.1426.SM.4LVMT	GTEX.U3ZH.1326.SM.4DXSF	GTEX.13G51.2126.SM.5IJD9	GTEX.YJ8O.1426.SM.5PNV9	GTEX.139TS.2226.SM.5J2N1	GTEX.139TS.1926.SM.5IJFO	GTEX.131YS.2926.SM.5EGKI	GTEX.ZPU1.1726.SM.4WWFV	GTEX.11ZTS.1526.SM.5N9G7	GTEX.111YS.1626.SM.5GZZ9	GTEX.ZYFG.1826.SM.5GZWX	GTEX.Y9LG.1526.SM.4WWDR	GTEX.Y8LW.1226.SM.4WWDP	GTEX.R55G.1226.SM.48FDC	GTEX.14E6E.1526.SM.5RQIG	GTEX.11DXY.2026.SM.5N9CZ	GTEX.1212Z.1826.SM.5FQSH	GTEX.14E6E.1726.SM.5S2R6	GTEX.11DXX.1826.SM.5H126	GTEX.11ZTT.1626.SM.5EQKR	GTEX.117XS.2226.SM.5GIE1	GTEX.ZP4G.1526.SM.57WE5	GTEX.13CF2.1826.SM.5N9GK	GTEX.OXRL.1426.SM.3NM9E	GTEX.ZYFC.2626.SM.5NQ6S	GTEX.WHWD.1526.SM.4OORV	GTEX.1399S.1926.SM.5J2M5	GTEX.11TTK.2426.SM.5PNYO	GTEX.13D11.0826.SM.5KLZJ	GTEX.11P81.1426.SM.5P9JN	GTEX.11PRG.2026.SM.5GU5F	GTEX.WHPG.1626.SM.4M1ZL	GTEX.X15G.1526.SM.4PQZM	GTEX.13OW8.2726.SM.5L3FZ	GTEX.YECK.2826.SM.5IFHF	GTEX.13VXT.2026.SM.5L3EW	GTEX.12WSD.2626.SM.5EGJE	GTEX.UJMC.1326.SM.4IHLS	GTEX.P4PP.1426.SM.3NM9L	GTEX.13111.1926.SM.5GCOL	GTEX.13O21.2426.SM.5MR4A	GTEX.R55C.1126.SM.48FCJ	GTEX.ZPIC.2626.SM.57WE2	GTEX.ZVT2.1926.SM.5GU5T	GTEX.ZYY3.2226.SM.5E45A	GTEX.147JS.2626.SM.5S2UX	GTEX.1122O.1526.SM.5N9CL	GTEX.11P7K.1826.SM.5HL5A	GTEX.1399R.2126.SM.5K7WZ	GTEX.T6MO.0826.SM.4DM51	GTEX.OHPM.1426.SM.3TW8Y	GTEX.XPVG.1826.SM.4B64X	GTEX.11DXZ.1726.SM.5H12M	GTEX.V955.1726.SM.4JBHF	GTEX.11EMC.1426.SM.5N9E4	GTEX.11P81.1126.SM.5GU5G	GTEX.TKQ2.1326.SM.4DXT9	GTEX.11ZVC.2126.SM.5EGJ1	GTEX.11ONC.1926.SM.5GU75	GTEX.11GS4.1826.SM.5HL4T	GTEX.13OW6.2226.SM.5N9FL	GTEX.139UW.2326.SM.5KM1Y	GTEX.14DAR.1526.SM.5RQIX	GTEX.131XE.1026.SM.5EGKE	GTEX.13QBU.2026.SM.5KLZB	GTEX.U3ZM.1126.SM.4DXUB	GTEX.ZT9W.1726.SM.51MS3	GTEX.13FH7.1626.SM.5J2O9	GTEX.11GSP.1626.SM.5986N	GTEX.12ZZX.2726.SM.5N9FT	GTEX.YF7O.1626.SM.5IFII	GTEX.XV7Q.2226.SM.4BRVY	GTEX.14A5I.2426.SM.5Q5CP	GTEX.132NY.2726.SM.5PNY2	GTEX.QEL4.1926.SM.4R1JI	GTEX.11EI6.2626.SM.5PNVT	GTEX.O5YW.1426.SM.3MJHF	GTEX.12C56.0626.SM.5EGGC	GTEX.13OW5.2626.SM.5MR3M	GTEX.YJ8O.0326.SM.5RQJW	GTEX.11NUK.1726.SM.5A5L2	GTEX.1212Z.2026.SM.5N9EA	GTEX.13NYB.0826.SM.5MR4V	GTEX.13113.1026.SM.5LZWM	TCGA.KM.8438.01A.11R.2315.07	TCGA.KL.8324.01A.11R.2315.07	TCGA.KN.8433.01A.11R.2315.07	TCGA.KL.8346.01A.11R.2315.07	TCGA.KN.8431.01A.11R.2315.07	TCGA.KO.8408.01A.11R.2315.07	TCGA.KO.8414.01A.11R.2315.07	TCGA.2Z.A9J1.01A.11R.A38C.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.SX.A7SL.01A.11R.A355.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.M7.A71Z.01A.12R.A32O.07	TCGA.M7.A720.01A.12R.A32O.07	TCGA.M7.A724.01A.12R.A32O.07	GTEX.12BJ1.1226.SM.5LUAE	GTEX.V1D1.1926.SM.4JBGX	GTEX.YB5E.1826.SM.5IFI4	GTEX.ZUA1.2826.SM.59HLE	GTEX.Y9LG.1826.SM.4VBQC	GTEX.11TUW.2126.SM.5GU7B	TCGA.AG.3732.11A.01R.1660.07	GTEX.13CF2.2426.SM.5LZYL	TCGA.HU.A4HB.11A.11R.A251.31	TCGA.HU.A4G3.11A.11R.A24K.31	GTEX.PX3G.1526.SM.48U11	GTEX.WFON.1126.SM.4LVMA	GTEX.RWS6.0926.SM.47JXE	GTEX.QXCU.1926.SM.48FE4	GTEX.Y5V6.1326.SM.4VDTF	GTEX.QLQW.0726.SM.447AA
SERINC3	2193.99	1191.69	1781.89	1467.37	1457.23	854.13	830.75	1183.45	1674.06	830.75	2400.97	1709.26	1268.46	1923.14	1127.35	1216.75	808.0	1277.29	2255.7	1175.27	1844.76	1111.82	1745.2	896.64	1806.78	1359.57	1977.24	1242.34	1709.26	1388.16	1709.26	1350.18	1896.65	884.29	878.17	1250.98	2133.97	1331.57	1081.39	1781.89	2451.44	1175.27	1519.15	1870.53	1397.83	967.76	1242.34	1331.57	2224.63	1709.26	1991.0	1936.53	728.11	1225.22	1008.9	961.07	1685.71	1119.56	1088.92	909.17	1561.89	961.07	1151.06	1331.57	1208.34	1561.89	1127.35	1991.0	2061.24	974.5	825.0	1551.09	1487.87	1407.55	1407.55	1447.15	1242.34	1963.57	1175.27	1388.16	1397.83	1350.18	1044.52	1286.18	1832.01	928.3	785.88	703.28	567.1	947.83	748.61	748.61	1183.45	679.29	848.22	902.89	872.1	1369.04	638.15	2935.74	915.51	1508.65	890.44	1857.6	1447.15	1806.78	802.41	1519.15	1605.83	1208.34	1242.34	1001.93	1199.98	1551.09	1066.48
SIRT1	343.89	190.34	373.81	312.0	329.84	264.03	162.14	283.05	314.17	267.73	400.71	332.14	234.57	429.54	208.38	153.34	289.02	273.37	373.81	157.68	376.41	301.33	297.17	262.2	343.89	291.04	400.71	162.14	435.55	205.5	358.54	232.94	454.09	220.32	323.03	289.02	490.14	260.38	214.27	303.44	409.15	187.71	303.44	403.5	183.82	256.78	248.0	218.79	329.84	356.05	397.93	258.57	145.02	212.78	224.97	226.54	470.14	193.01	232.94	285.03	258.57	291.04	343.89	241.19	332.14	327.56	262.2	406.31	438.59	175.07	285.03	307.69	341.51	277.2	244.57	273.37	289.02	318.57	221.86	295.11	258.57	262.2	224.97	237.86	339.14	129.69	198.47	94.67	77.25	154.42	90.14	122.64	102.25	80.01	145.02	122.64	127.89	224.97	109.66	500.46	205.5	223.41	197.09	389.72	217.27	525.39	148.09	447.82	432.53	163.28	167.9	148.09	253.23	241.19	223.41
SMAD2	1733.13	616.37	1594.73	1268.46	1135.2	808.0	909.17	1277.29	1594.73	603.67	1757.34	1561.89	551.56	2047.0	743.43	412.0	860.08	1208.34	2061.24	591.22	1685.71	1685.71	1508.65	1111.82	1250.98	1143.1	1674.06	551.56	2104.58	708.18	1950.0	1127.35	2061.24	928.3	1143.1	1757.34	1498.22	1127.35	679.29	1066.48	1662.49	780.44	902.89	1977.24	698.41	1250.98	1417.35	638.15	1832.01	2351.53	2032.85	1104.13	444.72	679.29	974.5	1167.14	1870.53	825.0	1322.37	836.53	1487.87	738.29	1023.0	571.05	1819.35	1135.2	819.3	1605.83	1794.29	819.3	1417.35	1447.15	1674.06	1135.2	1127.35	941.27	1519.15	1427.22	563.18	1427.22	540.19	603.67	575.03	954.43	813.63	1051.79	802.41	406.31	708.18	1268.46	1096.5	480.04	638.15	665.29	395.18	348.71	633.73	902.89	221.86	2224.63	791.35	1030.12	660.68	915.51	642.59	1583.71	567.1	1268.46	1447.15	743.43	988.12	872.1	848.22	928.3	1119.56
SMC3	660.68	371.22	647.07	547.75	493.56	289.02	351.14	429.54	579.04	190.34	764.36	688.78	435.55	603.67	339.14	262.2	301.33	341.51	769.69	366.09	693.58	387.02	540.19	376.41	511.0	551.56	713.11	389.72	463.65	466.88	656.11	353.59	540.19	366.09	470.14	318.57	796.86	438.59	283.05	595.34	665.29	371.22	460.44	753.83	432.53	376.41	363.56	387.02	633.73	587.13	529.06	480.04	307.69	457.25	371.22	329.84	785.88	463.65	476.71	429.54	400.71	295.11	346.29	435.55	603.67	555.41	392.44	633.73	514.56	379.04	368.65	567.1	647.07	305.55	366.09	543.96	351.14	551.56	409.15	412.0	332.14	366.09	281.09	339.14	555.41	285.03	285.03	127.89	155.5	320.8	155.5	152.28	204.07	47.17	217.27	73.54	366.09	379.04	242.88	934.76	289.02	400.71	279.14	507.46	260.38	759.08	368.65	651.58	733.19	336.79	361.04	201.25	275.28	341.51	305.55
STX7	1030.12	514.56	738.29	884.29	902.89	603.67	511.0	830.75	599.49	497.0	764.36	743.43	624.99	1127.35	802.41	514.56	620.67	679.29	967.76	579.04	733.19	934.76	518.15	669.92	607.87	733.19	896.64	647.07	860.08	674.59	896.64	713.11	928.3	679.29	769.69	769.69	890.44	769.69	551.56	1008.9	934.76	529.06	543.96	842.36	616.37	679.29	693.58	753.83	1250.98	1135.2	878.17	748.61	348.71	713.11	587.13	660.68	866.07	571.05	1008.9	748.61	796.86	444.72	518.15	674.59	813.63	480.04	447.82	616.37	796.86	703.28	775.05	819.3	981.29	674.59	647.07	629.35	616.37	934.76	559.28	796.86	353.59	379.04	258.57	473.41	463.65	414.87	248.0	173.85	132.44	384.34	218.79	264.03	518.15	769.69	229.72	108.9	106.63	395.18	121.79	1250.98	212.78	438.59	265.87	435.55	316.37	1066.48	540.19	624.99	848.22	620.67	1030.12	466.88	432.53	426.57	624.99
TAB2	1313.23	575.03	1183.45	1096.5	1233.75	902.89	733.19	1051.79	1242.34	796.86	1322.37	1397.83	603.67	1477.58	775.05	836.53	967.76	1008.9	1617.0	624.99	1208.34	1388.16	1096.5	1073.91	1051.79	1073.91	1417.35	708.18	1487.87	780.44	1259.69	1199.98	1397.83	1008.9	1369.04	1183.45	1388.16	995.0	665.29	1001.93	1295.13	679.29	866.07	1250.98	775.05	1051.79	1127.35	780.44	1191.69	1457.23	1397.83	1030.12	518.15	698.41	902.89	988.12	1407.55	769.69	954.43	1030.12	1225.22	866.07	1350.18	759.08	1519.15	1175.27	738.29	1519.15	1233.75	890.44	1407.55	1135.2	1313.23	1023.0	1066.48	860.08	1225.22	1159.07	540.19	1304.15	583.07	595.34	493.56	995.0	902.89	395.18	260.38	239.52	264.03	371.22	217.27	271.48	291.04	236.21	142.01	334.46	493.56	878.17	381.68	1651.0	624.99	703.28	669.92	947.83	688.78	1950.0	521.76	2739.08	2384.37	848.22	796.86	743.43	1135.2	813.63	819.3
TANK	813.63	483.38	759.08	759.08	595.34	575.03	642.59	551.56	624.99	599.49	890.44	674.59	551.56	769.69	651.58	759.08	591.22	679.29	848.22	603.67	703.28	607.87	713.11	669.92	775.05	708.18	802.41	579.04	718.08	764.36	540.19	764.36	775.05	551.56	551.56	575.03	961.07	748.61	529.06	718.08	748.61	624.99	536.45	909.17	624.99	638.15	529.06	854.13	1104.13	629.35	616.37	612.11	470.14	656.11	665.29	563.18	733.19	551.56	599.49	791.35	679.29	718.08	743.43	543.96	607.87	884.29	480.04	836.53	896.64	366.09	808.0	764.36	642.59	723.08	599.49	1008.9	656.11	748.61	669.92	633.73	473.41	521.76	547.75	616.37	603.67	351.14	212.78	231.32	202.66	348.71	289.02	339.14	414.87	141.02	384.34	170.25	260.38	511.0	387.02	890.44	444.72	497.0	463.65	656.11	547.75	878.17	575.03	1015.93	915.51	454.09	511.0	454.09	974.5	616.37	414.87
TAOK1	289.02	81.14	291.04	232.94	221.86	147.06	106.63	183.82	208.38	226.54	312.0	228.13	115.97	242.88	138.1	89.51	202.66	209.84	334.46	92.7	303.44	255.0	229.72	193.01	246.28	281.09	273.37	132.44	201.25	108.14	164.42	271.48	299.25	145.02	178.77	178.77	348.71	226.54	131.51	194.36	351.14	87.65	157.68	332.14	133.36	209.84	229.72	127.89	260.38	249.73	312.0	140.04	115.16	143.01	187.71	215.77	269.6	149.12	218.79	234.57	277.2	215.77	246.28	105.89	220.32	275.28	151.22	171.45	262.2	236.21	165.57	281.09	229.72	183.82	187.71	180.02	205.5	258.57	112.77	202.66	211.31	253.23	139.07	198.47	112.77	121.79	111.21	76.71	110.43	105.15	120.94	77.79	163.28	38.12	148.09	28.65	84.04	148.09	89.51	579.04	127.0	264.03	140.04	246.28	204.07	379.04	193.01	426.57	500.46	130.6	130.6	94.67	201.25	130.6	141.02
TEAD1	624.99	113.56	547.75	470.14	429.54	273.37	150.17	414.87	633.73	295.11	723.08	633.73	153.34	775.05	169.07	82.29	301.33	414.87	878.17	126.12	674.59	366.09	638.15	432.53	503.95	470.14	599.49	125.24	518.15	149.12	511.0	423.61	743.43	397.93	348.71	414.87	579.04	400.71	214.27	356.05	836.53	108.14	287.01	660.68	117.6	420.68	343.89	149.12	825.0	708.18	713.11	279.14	126.12	131.51	403.5	305.55	624.99	251.48	368.65	269.6	497.0	307.69	480.04	121.79	551.56	656.11	244.57	624.99	733.19	318.57	400.71	607.87	595.34	285.03	336.79	191.67	327.56	420.68	137.14	373.81	260.38	271.48	226.54	343.89	384.34	103.69	170.25	92.7	129.69	84.63	162.14	115.97	190.34	46.18	228.13	59.55	21.94	211.31	21.32	1250.98	126.12	435.55	113.56	361.04	190.34	2485.67	1242.34	2104.58	2502.97	180.02	198.47	120.94	493.56	157.68	199.85
TLK1	591.22	291.04	638.15	543.96	547.75	389.72	325.29	529.06	651.58	473.41	684.02	529.06	341.51	665.29	387.02	389.72	441.64	563.18	651.58	329.84	674.59	567.1	547.75	567.1	511.0	583.07	571.05	395.18	595.34	366.09	441.64	511.0	612.11	332.14	591.22	507.46	587.13	571.05	346.29	551.56	753.83	376.41	384.34	775.05	414.87	432.53	483.38	417.77	759.08	665.29	575.03	400.71	320.8	409.15	363.56	450.94	559.28	379.04	470.14	547.75	607.87	493.56	500.46	406.31	476.71	563.18	376.41	708.18	647.07	435.55	518.15	529.06	518.15	457.25	454.09	423.61	521.76	567.1	307.69	406.31	358.54	490.14	356.05	466.88	397.93	363.56	273.37	231.32	255.0	366.09	283.05	348.71	204.07	61.68	255.0	83.45	341.51	397.93	988.12	1104.13	486.75	497.0	612.11	473.41	387.02	791.35	162.14	813.63	1216.75	454.09	351.14	307.69	579.04	356.05	392.44
UPF2	366.09	191.67	476.71	381.68	409.15	253.23	258.57	351.14	406.31	189.02	460.44	409.15	204.07	426.57	228.13	189.02	275.28	305.55	518.15	181.28	368.65	395.18	332.14	312.0	334.46	341.51	426.57	199.85	379.04	211.31	444.72	231.32	363.56	251.48	414.87	316.37	412.0	291.04	234.57	305.55	444.72	220.32	305.55	486.75	193.01	363.56	297.17	206.94	423.61	490.14	435.55	314.17	172.65	242.88	237.86	253.23	500.46	241.19	301.33	316.37	371.22	229.72	353.59	236.21	457.25	358.54	248.0	420.68	470.14	217.27	423.61	339.14	356.05	253.23	244.57	307.69	358.54	379.04	214.27	332.14	248.0	287.01	211.31	400.71	420.68	96.01	102.25	69.52	53.95	110.43	73.54	61.68	119.26	25.17	146.03	38.12	140.04	361.04	162.14	563.18	202.66	226.54	638.15	307.69	223.41	563.18	181.28	575.03	543.96	244.57	208.38	151.22	267.73	275.28	193.01
VEZF1	1088.92	406.31	1023.0	878.17	825.0	620.67	476.71	896.64	941.27	713.11	1183.45	1023.0	447.82	1135.2	514.56	309.83	698.41	708.18	1242.34	381.68	1066.48	872.1	1059.11	830.75	902.89	872.1	1023.0	406.31	769.69	454.09	954.43	890.44	1001.93	819.3	780.44	679.29	1081.39	753.83	529.06	698.41	1199.98	387.02	591.22	1119.56	450.94	842.36	780.44	432.53	1225.22	1111.82	1030.12	684.02	376.41	497.0	896.64	769.69	1023.0	607.87	825.0	802.41	878.17	718.08	708.18	432.53	1044.52	1008.9	521.76	1059.11	1096.5	872.1	665.29	974.5	1008.9	684.02	796.86	733.19	743.43	872.1	473.41	791.35	819.3	954.43	633.73	723.08	854.13	454.09	429.54	384.34	551.56	536.45	379.04	507.46	579.04	161.02	543.96	72.01	218.79	674.59	283.05	2417.67	551.56	954.43	583.07	1059.11	567.1	1844.76	532.74	1870.53	2209.26	579.04	529.06	417.77	825.0	669.92	698.41
WAC	1721.16	1001.93	1870.53	1540.37	1685.71	1250.98	1081.39	1519.15	1857.6	1268.46	2090.03	1745.2	1030.12	2193.99	1135.2	890.44	1167.14	1477.58	2178.83	1015.93	1923.14	1757.34	1519.15	1417.35	1583.71	1561.89	2090.03	1044.52	2032.85	1059.11	2018.8	1572.76	1709.26	1143.1	1757.34	1427.22	1883.54	1498.22	1037.29	1388.16	1832.01	1059.11	1427.22	1950.0	1151.06	1340.84	1572.76	1191.69	1923.14	2119.22	2061.24	1572.76	836.53	1119.56	1331.57	1572.76	2061.24	1119.56	1322.37	1467.37	1605.83	1417.35	1819.35	1111.82	2335.28	1498.22	1151.06	2104.58	2004.85	1437.15	1605.83	1594.73	2061.24	1583.71	1427.22	1437.15	1594.73	1594.73	1030.12	1794.29	1088.92	1286.18	896.64	1350.18	1519.15	642.59	688.78	490.14	389.72	733.19	371.22	460.44	563.18	420.68	638.15	343.89	802.41	1277.29	665.29	2434.5	872.1	1388.16	921.88	1498.22	1313.23	2664.15	825.0	2502.97	2777.33	1331.57	1233.75	934.76	2287.2	1457.23	1467.37
ZDBF2	43.02	8.45	75.64	38.4	44.57	18.56	5.92	29.91	37.05	46.84	58.3	36.01	11.3	55.49	9.48	2.81	31.0	38.67	49.56	2.29	47.84	28.45	31.45	40.07	44.25	63.45	46.84	9.06	38.4	11.82	19.97	63.45	53.57	31.22	33.54	39.22	58.71	43.32	14.35	19.11	59.55	9.13	12.93	57.89	7.22	56.68	41.22	7.57	57.89	25.91	69.03	16.15	4.46	8.25	39.22	34.02	64.8	21.01	38.4	37.32	33.3	33.06	41.22	10.79	40.64	52.82	14.35	26.86	45.21	42.71	26.47	46.84	36.01	39.5	30.78	20.26	24.11	35.5	15.56	47.17	48.18	43.63	23.08	36.01	25.72	4.03	26.86	1.91	15.0	12.09	31.67	1.5	0.35	2.58	16.75	4.03	20.71	28.65	14.45	74.58	18.84	62.12	14.03	46.84	81.14	88.26	15.91	85.22	113.56	15.91	13.72	5.87	21.78	12.74	34.75
ZMYM5	148.09	75.64	275.28	212.78	204.07	149.12	108.9	158.79	129.69	185.11	155.5	209.84	120.94	181.28	92.7	87.65	224.97	224.97	172.65	68.55	178.77	156.59	171.45	217.27	208.38	251.48	178.77	80.57	275.28	94.67	131.51	248.0	185.11	155.5	228.13	384.34	223.41	197.09	121.79	139.07	226.54	85.22	100.83	211.31	106.63	193.01	183.82	78.89	159.9	155.5	228.13	90.14	108.9	120.1	149.12	143.01	176.29	108.9	164.42	201.25	232.94	186.4	301.33	108.14	131.51	221.86	151.22	138.1	161.02	170.25	187.71	180.02	156.59	156.59	150.17	154.42	195.72	162.14	162.14	159.9	139.07	165.57	121.79	197.09	94.01	88.88	75.11	47.17	51.35	68.55	82.29	85.22	109.66	25.54	123.5	25.35	105.15	193.01	156.59	221.86	166.73	163.28	161.02	249.73	221.86	215.77	139.07	312.0	301.33	90.14	111.99	97.36	170.25	104.42	96.68
ZNF148	228.13	97.36	260.38	285.03	212.78	144.01	116.78	169.07	217.27	156.59	320.8	202.66	134.3	279.14	143.01	135.24	170.25	199.85	314.17	109.66	258.57	224.97	172.65	198.47	198.47	251.48	260.38	125.24	253.23	122.64	185.11	241.19	267.73	138.1	199.85	159.9	348.71	198.47	124.37	189.02	309.83	135.24	144.01	295.11	117.6	176.29	205.5	156.59	234.57	258.57	237.86	141.02	92.05	147.06	140.04	147.06	267.73	140.04	177.53	191.67	214.27	162.14	148.09	138.1	253.23	211.31	129.69	218.79	208.38	155.5	178.77	202.66	177.53	163.28	166.73	195.72	173.85	275.28	107.38	190.34	153.34	194.36	111.99	142.01	109.66	106.63	59.97	48.87	128.79	100.13	117.6	72.52	114.36	29.27	113.56	34.26	75.64	146.03	60.39	878.17	129.69	228.13	186.4	262.2	206.94	323.03	90.77	283.05	379.04	185.11	145.02	108.14	255.0	157.68	118.43
ZNF639	555.41	242.88	624.99	571.05	579.04	450.94	297.17	540.19	587.13	341.51	688.78	532.74	332.14	567.1	256.78	194.36	511.0	500.46	599.49	258.57	575.03	612.11	571.05	473.41	521.76	579.04	559.28	241.19	693.58	260.38	450.94	559.28	638.15	356.05	587.13	500.46	693.58	493.56	353.59	426.57	571.05	273.37	368.65	633.73	234.57	409.15	493.56	269.6	607.87	555.41	642.59	346.29	249.73	256.78	384.34	457.25	571.05	293.07	420.68	450.94	616.37	486.75	587.13	307.69	543.96	612.11	406.31	743.43	607.87	450.94	591.22	547.75	607.87	483.38	503.95	356.05	595.34	507.46	255.0	514.56	518.15	713.11	490.14	669.92	587.13	309.83	224.97	157.68	470.14	291.04	429.54	246.28	256.78	161.02	267.73	139.07	463.65	486.75	406.31	1096.5	480.04	486.75	460.44	698.41	583.07	819.3	255.0	967.76	974.5	409.15	307.69	239.52	708.18	307.69	343.89
