	TCGA.L5.A88T.01A.11R.A354.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.RU72.0726.SM.46MUW	GTEX.PVOW.1626.SM.48TC9	GTEX.R3RS.1326.SM.48FE7	GTEX.T5JC.1726.SM.4DM6U	GTEX.X585.1226.SM.46MW7	GTEX.PLZ4.1626.SM.3P618	GTEX.UPK5.1226.SM.4IHL8	GTEX.ZF3C.1626.SM.4WWB4	GTEX.N7MT.0326.SM.48TDP	GTEX.S33H.0826.SM.4AD5Y	TCGA.BA.5557.01A.01R.1514.07	TCGA.CV.A45V.01A.21R.A24Z.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
TRPM4	511.0	409.15	497.0	503.95	764.36	1242.34	878.17	1561.89	954.43	1508.65	1369.04	1111.82	723.08	293.07	703.28	186.4	518.15	122.64	297.17	283.05	211.31	346.29	226.54
TRPV4	325.29	264.03	525.39	172.65	100.83	154.42	381.68	323.03	426.57	476.71	426.57	397.93	400.71	74.06	221.86	0.0	0.14	23.08	8.38	78.89	36.79	107.38	46.5
TSC2	1313.23	1407.55	1628.26	1617.0	1519.15	1674.06	1757.34	2502.97	2119.22	2224.63	1883.54	1963.57	1697.45	651.58	842.36	587.13	728.11	234.57	579.04	638.15	808.0	591.22	583.07
TTC31	392.44	339.14	343.89	493.56	234.57	400.71	341.51	575.03	420.68	486.75	497.0	351.14	384.34	167.9	193.01	0.0	0.57	136.19	154.42	126.12	135.24	156.59	82.87
TTC7A	854.13	785.88	836.53	476.71	540.19	642.59	579.04	708.18	688.78	848.22	713.11	656.11	551.56	476.71	368.65	0.0	0.64	297.17	547.75	575.03	454.09	441.64	454.09
TUBA3D	9.34	5.92	3.32	4.78	2.58	6.36	6.26	16.15	12.18	9.93	3.79	13.72	9.93	1.91	0.53	0.0	0.0	0.0	1.36	1.93	2.07	7.94	1.07
TUBGCP6	555.41	543.96	599.49	764.36	633.73	698.41	669.92	1508.65	819.3	1059.11	896.64	947.83	713.11	206.94	336.79	0.0	1.22	65.26	141.02	246.28	134.3	149.12	95.34
UCK1	551.56	571.05	591.22	620.67	486.75	616.37	529.06	660.68	647.07	693.58	483.38	620.67	571.05	334.46	356.05	0.0	0.59	395.18	171.45	255.0	438.59	444.72	358.54
USF2	2875.3	2816.11	2976.74	2351.53	2351.53	3124.78	2855.44	3982.99	3928.15	3395.89	2875.3	3124.78	3349.13	2701.35	2224.63	0.0	1.04	2075.59	2351.53	1857.6	1909.85	2485.67	2468.49
VPS26B	693.58	603.67	796.86	884.29	688.78	759.08	866.07	1030.12	928.3	974.5	764.36	759.08	830.75	384.34	470.14	0.0	0.71	283.05	466.88	368.65	395.18	441.64	429.54
VPS8	373.81	414.87	353.59	438.59	291.04	454.09	368.65	684.02	412.0	511.0	599.49	334.46	514.56	309.83	249.73	0.0	0.79	262.2	220.32	297.17	265.87	281.09	242.88
WDR13	1551.09	1477.58	1697.45	1508.65	1519.15	2682.69	1427.22	3060.45	3018.3	2645.74	1819.35	2367.9	2367.9	1639.59	1191.69	0.0	0.95	1225.22	1127.35	967.76	1350.18	1359.57	981.29
WDR59	620.67	743.43	780.44	769.69	981.29	884.29	954.43	1662.49	1143.1	1295.13	1199.98	1044.52	967.76	248.0	490.14	0.0	0.79	157.68	336.79	356.05	414.87	279.14	262.2
WDR6	2351.53	1268.46	1127.35	1781.89	896.64	1870.53	1457.23	3614.55	3690.52	3874.05	3280.18	2287.2	3146.52	361.04	1059.11	0.0	1.04	224.97	392.44	791.35	733.19	460.44	277.2
ZDHHC16	493.56	466.88	435.55	813.63	500.46	571.05	647.07	612.11	723.08	830.75	595.34	753.83	723.08	483.38	525.39	0.0	0.3	642.59	358.54	674.59	406.31	647.07	447.82
ZFYVE19	693.58	981.29	1540.37	830.75	514.56	674.59	1081.39	1104.13	1313.23	1437.15	1015.93	1119.56	941.27	423.61	500.46	0.0	0.35	371.22	368.65	343.89	665.29	674.59	514.56
ZMIZ2	1769.57	1697.45	1594.73	1963.57	2682.69	2739.08	2090.03	2997.45	2468.49	2682.69	2895.31	2573.36	2400.97	624.99	1044.52	0.0	1.2	177.53	511.0	753.83	571.05	525.39	241.19
ZNF32	480.04	353.59	595.34	665.29	406.31	555.41	567.1	866.07	802.41	791.35	693.58	796.86	698.41	301.33	379.04	0.0	0.56	1697.45	187.71	384.34	620.67	647.07	444.72
ZNF329	57.49	57.08	89.51	82.87	25.91	98.04	71.5	166.73	107.38	154.42	108.9	100.13	89.51	34.51	60.39	0.0	0.39	64.34	36.27	50.98	130.6	57.89	75.11
ZNF354B	167.9	151.22	170.25	287.01	151.22	329.84	232.94	397.93	275.28	356.05	387.02	281.09	202.66	36.53	71.0	0.0	0.91	15.45	15.8	59.13	34.26	29.48	20.86
ZNF384	1096.5	884.29	967.76	1119.56	423.61	988.12	921.88	1191.69	1023.0	1313.23	1127.35	1073.91	1088.92	409.15	587.13	476.71	1467.37	248.0	480.04	287.01	514.56	400.71	251.48
ZNF524	587.13	579.04	674.59	633.73	483.38	665.29	808.0	1015.93	884.29	909.17	1037.29	934.76	1191.69	457.25	497.0	0.0	0.29	429.54	269.6	291.04	454.09	555.41	579.04
ZNF577	126.12	108.14	186.4	224.97	127.89	371.22	277.2	432.53	329.84	279.14	438.59	361.04	229.72	20.86	74.06	0.0	0.65	17.51	40.36	18.16	35.25	43.94	16.03
ZNF630	33.3	29.27	48.87	85.22	24.81	101.54	59.97	100.13	72.01	87.03	99.43	64.8	114.36	18.29	3.82	0.0	0.25	17.9	15.8	10.71	9.78	27.44	11.38
ZNF737	28.86	33.3	73.03	103.69	8.71	57.08	75.11	244.57	148.09	185.11	226.54	239.52	182.55	7.06	5.59	0.0	0.36	22.43	15.8	11.91	8.19	21.01	5.82
ZNF785	151.22	104.42	133.36	190.34	101.54	187.71	133.36	255.0	212.78	271.48	244.57	267.73	206.94	19.68	64.8	0.0	0.62	22.43	49.56	29.91	44.89	34.51	16.15
ZNF814	173.85	180.02	195.72	202.66	157.68	507.46	208.38	591.22	301.33	348.71	420.68	392.44	244.57	46.5	189.02	0.0	0.74	22.1	21.78	32.59	64.8	61.25	26.28
